"Date","Aleutians East","Aleutians West","Anchorage","Bethel","Bristol Bay","Denali","Dillingham","Fairbanks North Star","Haines","Hoonah-Angoon","Juneau","Kenai Peninsula","Ketchikan Gateway","Kodiak Island","Kusilvak","Lake and Peninsula","Matanuska-Susitna","Nome","North Slope","Northwest Arctic","Petersburg","Prince of Wales-Hyder","Sitka","Skagway","Southeast Fairbanks","Valdez-Cordova","Wrangell","Yakutat","Yukon-Koyukuk"
2020-05-15,0,0,199,1,0,0,0,84,0,0,29,24,16,1,0,0,21,1,0,0,4,2,1,0,3,0,0,0,1
2020-05-16,0,0,199,1,0,0,0,84,0,0,29,24,16,1,0,0,21,1,0,0,4,2,1,0,3,0,0,0,1
2020-05-17,0,0,199,1,0,0,0,84,0,0,29,24,16,1,0,0,21,1,0,0,4,2,1,0,3,0,0,0,1
2020-05-18,0,0,199,1,0,0,0,84,0,0,29,24,16,1,0,0,21,1,0,0,4,2,1,0,3,0,0,0,1
2020-05-19,0,0,205,2,0,0,0,85,0,0,30,26,16,1,0,0,22,1,0,0,4,2,1,0,3,0,0,0,1
2020-05-20,0,0,206,2,0,0,0,85,0,0,30,26,16,1,0,0,22,1,0,1,4,2,1,0,3,0,0,0,1
2020-05-21,0,0,206,2,0,0,0,85,0,0,30,26,16,1,0,0,22,1,0,1,4,2,1,0,3,0,0,0,1
2020-05-22,0,0,206,2,0,0,0,85,0,0,31,26,16,1,0,0,22,2,0,1,4,2,1,0,3,0,0,0,1
2020-05-23,0,0,206,2,0,0,0,85,0,0,31,26,16,1,0,0,24,3,0,2,4,2,1,0,3,0,0,0,1
2020-05-24,0,0,206,2,0,0,0,85,0,0,31,26,16,1,0,0,24,3,0,2,4,2,1,0,3,0,0,0,1
2020-05-25,0,0,206,2,0,0,0,85,0,0,31,27,16,1,0,0,24,3,0,2,4,2,1,0,3,0,0,0,1
2020-05-26,0,0,207,2,0,0,0,85,0,0,31,27,16,1,0,0,24,3,0,2,4,2,2,0,3,0,0,0,1
2020-05-27,0,0,207,3,0,0,0,85,0,0,31,27,16,1,0,0,24,3,0,2,4,2,2,0,3,0,0,0,1
2020-05-28,0,0,211,3,0,0,0,85,0,0,32,34,16,1,0,0,24,3,1,2,4,2,2,0,3,0,0,0,1
2020-05-29,0,0,213,3,0,0,0,85,0,0,33,36,16,1,0,0,24,3,1,2,4,2,2,0,3,0,0,0,1
2020-05-30,0,0,214,3,0,0,0,85,0,0,33,38,16,1,0,0,25,3,1,2,4,2,2,0,3,0,0,0,1
2020-05-31,0,0,229,3,0,0,0,85,0,0,33,45,16,1,0,0,29,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-01,0,0,232,3,0,0,0,85,0,0,33,49,16,1,0,0,29,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-02,0,0,247,3,0,0,0,85,0,0,33,54,16,1,0,0,29,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-03,0,0,254,3,0,0,0,85,0,0,33,60,16,1,0,0,34,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-04,0,0,258,3,0,0,0,85,0,0,33,63,16,1,0,0,35,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-05,0,0,264,3,0,0,0,85,0,0,33,68,16,1,0,0,35,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-06,0,0,266,3,0,0,0,85,0,0,33,78,16,1,0,0,35,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-07,0,0,272,3,0,0,0,85,0,0,34,79,16,1,0,0,35,3,1,2,4,2,2,0,3,0,0,0,1
2020-06-08,0,0,283,3,0,0,0,85,0,0,35,83,16,1,0,0,37,3,1,2,4,2,2,0,3,0,1,0,1
2020-06-09,0,0,288,3,0,0,0,85,1,0,35,85,16,1,0,0,37,4,1,3,4,2,2,0,3,0,1,0,1
2020-06-10,0,0,297,3,0,0,0,85,1,0,35,94,16,1,0,0,38,4,1,3,4,2,3,0,3,0,1,0,1
2020-06-11,0,0,301,3,0,0,0,88,1,0,37,97,16,2,0,0,39,4,1,4,4,2,5,0,3,0,1,0,1
2020-06-12,0,0,307,3,0,0,0,89,1,0,37,102,16,2,0,0,41,4,1,4,4,2,6,0,3,0,1,0,1
2020-06-13,0,0,315,4,0,0,0,92,1,0,37,108,19,2,0,0,43,5,1,4,4,4,8,0,3,0,2,0,1
2020-06-14,0,0,319,4,0,0,0,96,1,0,37,108,19,2,0,0,44,5,1,4,4,2,8,0,3,0,2,0,1
2020-06-15,0,0,320,4,0,0,0,96,1,0,37,109,19,2,0,0,45,5,1,4,4,2,8,0,3,0,2,0,1
2020-06-16,0,0,326,5,0,0,0,96,1,0,37,113,19,2,0,0,46,5,1,4,4,2,8,0,3,0,2,0,1
2020-06-17,0,0,330,5,0,0,0,102,1,0,38,115,20,3,0,0,48,5,2,4,4,2,9,0,3,0,3,0,1
2020-06-18,0,0,332,5,0,0,0,106,1,0,39,116,21,3,0,0,51,5,2,4,4,2,9,0,3,0,3,0,1
2020-06-19,0,0,338,6,0,0,0,107,2,0,39,117,21,3,0,0,53,5,3,4,4,2,9,0,3,0,3,0,1
2020-06-20,0,0,346,6,0,0,0,114,2,0,39,119,21,3,0,0,54,5,3,4,4,2,11,0,3,0,3,0,2
2020-06-21,0,0,352,6,0,0,0,117,2,0,39,120,21,3,0,0,55,5,3,4,4,2,11,0,3,0,3,0,2
2020-06-22,0,0,355,6,0,0,0,117,2,0,39,120,21,3,0,0,57,5,4,4,4,2,11,0,3,0,3,0,2
2020-06-23,0,0,355,6,0,0,0,117,3,0,39,120,21,3,0,0,57,5,4,4,4,2,11,0,4,0,3,0,2
2020-06-24,0,0,373,7,0,0,0,122,2,0,39,121,22,3,0,0,61,6,4,4,4,2,11,0,3,0,3,0,2
2020-06-25,0,0,381,8,0,0,0,130,2,0,39,126,21,3,0,0,63,6,4,4,4,2,11,0,3,1,3,0,2
2020-06-26,0,0,387,8,0,0,0,133,2,0,42,128,21,3,0,0,68,6,4,4,4,2,12,0,3,1,3,0,2
2020-06-27,0,0,396,9,0,0,0,134,2,0,43,130,21,3,0,0,71,6,4,4,4,2,12,0,3,1,3,0,3
2020-06-28,0,0,411,9,0,0,0,137,2,0,44,133,21,3,0,0,75,6,4,4,4,2,12,0,5,2,3,0,3
2020-06-29,0,0,418,9,0,0,0,139,2,0,44,141,21,3,0,0,78,7,4,4,4,2,12,0,5,2,3,0,3
2020-06-30,0,0,440,9,0,0,0,144,2,0,44,146,21,3,0,0,81,7,4,4,4,2,12,0,5,3,3,0,3
2020-07-01,0,0,457,9,0,0,0,147,2,0,44,151,22,3,0,0,88,8,4,5,4,2,12,0,8,3,3,0,3
2020-07-02,0,0,472,9,0,0,0,149,2,0,44,155,22,4,0,0,102,8,4,5,4,2,13,0,10,3,3,0,3
2020-07-03,0,0,493,10,0,0,0,160,2,0,45,159,22,4,1,0,107,9,4,5,4,2,13,0,10,4,3,0,3
2020-07-04,0,0,525,11,0,0,0,164,2,0,45,160,22,4,1,0,114,9,4,5,5,2,13,0,10,4,3,0,4
2020-07-05,0,0,547,11,0,0,0,166,2,0,45,162,22,4,1,0,115,9,4,5,5,2,13,0,10,4,3,0,4
2020-07-06,0,0,565,11,0,0,0,172,2,0,45,165,22,4,1,0,116,9,4,5,5,2,13,0,10,4,3,0,4
2020-07-07,0,0,577,11,0,0,0,172,2,0,45,166,23,4,1,0,118,9,4,5,5,2,13,0,10,5,3,0,5
2020-07-08,0,1,597,11,0,0,0,177,2,0,46,175,23,4,2,0,121,9,4,6,5,2,13,0,10,6,3,0,5
2020-07-09,0,1,619,12,0,0,0,185,2,0,46,182,23,4,2,0,127,10,4,6,6,2,13,0,10,6,3,0,5
2020-07-10,0,1,641,12,3,0,0,201,2,0,47,189,23,4,2,0,131,12,4,6,6,2,13,0,10,6,3,0,5
2020-07-11,0,1,671,13,3,0,0,224,2,0,48,191,23,4,2,0,134,12,4,6,6,2,13,0,10,6,3,0,7
2020-07-12,0,1,705,14,3,0,0,245,2,0,51,200,23,5,2,0,146,15,4,6,6,2,13,0,10,10,3,0,13
2020-07-13,0,1,740,16,5,0,0,255,2,0,51,203,23,6,2,0,151,15,5,7,6,2,13,0,10,10,3,0,13
2020-07-14,0,1,758,16,5,0,0,260,2,0,52,209,23,6,2,0,158,15,5,7,6,2,13,0,10,12,3,0,14
2020-07-15,0,1,790,16,5,0,0,267,2,0,53,209,25,7,3,0,161,15,5,7,6,2,13,0,10,15,3,0,16
2020-07-16,0,1,815,16,5,0,1,289,3,0,53,220,23,5,3,0,162,15,5,8,6,2,13,0,10,17,3,0,18
2020-07-17,0,1,837,16,5,0,1,291,3,0,56,225,23,5,3,0,168,15,5,8,6,2,15,0,10,17,3,0,19
2020-07-18,0,1,870,16,5,0,1,300,3,0,58,233,24,5,3,0,174,15,6,8,6,2,15,0,10,19,3,0,19
2020-07-19,0,1,910,16,5,0,1,308,3,0,62,240,25,5,3,0,183,16,6,8,6,2,15,0,11,17,3,0,29
2020-07-20,0,1,962,16,6,1,1,316,3,0,63,245,25,5,3,0,190,16,6,8,6,2,15,0,11,17,3,0,29
