"Date","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
2020-03-29,270,0,2,5,3,1,168,0,12,43,1,18,25,8,51,2,0,0,1829,15,74,0,3,8,0,11,36,10,12,431,53,0,195,164,14,76,484,340,113,67,277,64,646,41,4,0,3,34,58,29,6,0,0,29,0,109,16,3
2020-03-30,283,0,2,5,3,1,187,0,12,43,1,18,25,8,60,2,0,0,2474,18,93,0,4,9,0,13,36,14,17,464,53,0,291,224,14,111,515,374,123,71,309,68,848,44,4,0,4,34,58,31,6,0,0,35,0,126,16,4
2020-03-31,313,0,2,8,3,1,212,0,15,53,2,21,33,8,83,3,0,0,3019,21,99,0,4,10,0,13,40,14,21,502,57,0,371,224,17,125,603,397,136,80,309,88,890,45,6,0,3,43,73,33,9,0,0,43,2,149,24,6
2020-04-01,313,1,2,8,3,1,249,0,18,68,2,27,38,9,110,4,0,0,3518,23,107,0,4,10,0,13,42,15,26,606,78,1,371,224,21,183,733,434,151,80,388,99,956,49,7,0,3,49,78,39,10,0,0,45,2,160,25,7
2020-04-02,359,1,3,9,3,1,250,0,18,82,2,28,43,9,142,5,0,0,4045,25,108,0,4,12,0,18,48,18,26,656,90,1,493,314,23,254,849,450,173,89,453,111,1019,54,7,0,3,54,91,44,14,0,0,74,2,177,28,8
2020-04-03,443,1,3,10,3,1,307,1,19,94,2,37,52,10,173,5,0,0,4566,28,118,0,4,16,0,18,53,18,30,711,97,1,493,390,23,304,966,497,180,93,486,139,1019,57,11,0,3,61,95,51,14,0,0,81,2,189,33,8
2020-04-04,443,1,3,11,4,2,307,2,22,100,2,44,55,10,210,5,0,0,4605,28,131,0,4,16,0,19,57,20,31,786,97,2,638,390,23,353,1112,529,185,93,538,152,1148,59,12,0,3,73,105,58,16,1,0,81,2,203,37,9
2020-04-05,566,1,0,11,4,2,386,2,22,103,2,44,57,11,230,5,0,0,5955,28,137,0,4,27,0,19,62,20,31,834,103,3,799,442,23,372,1209,568,191,95,555,168,1207,69,17,0,3,73,107,65,16,1,0,116,2,221,37,9
2020-04-06,588,1,3,11,5,2,417,2,22,108,2,44,65,11,239,5,1,0,6377,28,141,0,4,29,0,19,62,22,32,882,106,3,946,462,23,373,1326,583,206,95,579,174,1207,69,20,0,4,73,111,71,16,1,0,135,2,226,37,11
2020-04-07,634,1,3,12,5,2,442,2,22,124,2,49,68,11,252,5,1,0,6936,28,143,0,4,29,0,19,62,22,32,931,106,3,1016,525,23,530,1404,622,217,95,589,192,1285,76,21,0,4,88,111,81,16,1,0,157,2,243,50,11
2020-04-08,674,1,3,13,5,3,462,2,28,146,2,50,73,11,271,5,2,0,7559,28,148,0,4,34,0,19,64,25,34,1016,117,3,1179,580,33,547,1454,676,223,99,617,218,1380,76,23,0,4,99,120,90,19,1,0,157,1,263,56,13
