"Date","Fairfield","Hartford","Litchfield","Middlesex","New Haven","New London","Tolland","Windham"
2020-06-29,16664,11623,1487,1295,12318,1255,909,606
2020-06-30,16703,11662,1490,1305,12359,1268,913,610
2020-07-01,16717,11691,1490,1304,12368,1268,913,612
2020-07-02,16733,11716,1492,1311,12383,1273,915,612
2020-07-03,16757,11728,1494,1308,12409,1277,915,616
2020-07-04,16757,11728,1494,1308,12409,1277,915,616
2020-07-05,16757,11728,1494,1308,12409,1277,915,616
2020-07-06,16823,11794,1504,1321,12462,1296,925,624
2020-07-07,16837,11812,1508,1320,12473,1304,925,627
2020-07-08,16859,11835,1509,1331,12486,1308,926,626
2020-07-09,16886,11866,1510,1334,12509,1319,928,630
2020-07-10,16906,11892,1510,1335,12532,1322,928,632
2020-07-11,16906,11892,1510,1335,12532,1322,928,632
2020-07-12,16906,11892,1510,1335,12532,1322,928,632
2020-07-13,16954,11949,1512,1340,12612,1328,935,636
2020-07-14,16960,11950,1512,1341,12617,1334,935,638
2020-07-15,16993,11980,1517,1346,12643,1339,937,639
2020-07-16,17027,12016,1520,1351,12686,1345,937,642
2020-07-17,17069,12046,1523,1357,12733,1347,939,651
2020-07-18,17069,12046,1523,1357,12733,1347,939,651
2020-07-19,17069,12046,1523,1357,12733,1347,939,651
2020-07-20,17112,12082,1524,1359,12788,1356,948,652
