"Date","Addison","Bennington","Caledonia","Chittenden","Essex","Franklin","Grand Isle","Lamoille","Orange","Orleans","Rutland","Washington","Windham","Windsor"
2020-06-23,68,69,18,590,3,102,8,30,9,14,61,41,91,55
2020-06-24,68,69,18,598,3,102,9,30,9,14,71,41,92,55
2020-06-25,68,70,19,599,3,103,10,30,9,14,71,41,93,56
2020-06-26,68,71,19,601,3,103,10,30,9,14,73,41,93,58
2020-06-27,68,71,19,601,3,104,10,30,9,14,73,41,94,58
2020-06-28,68,71,19,602,3,104,10,30,9,14,73,41,94,58
2020-06-29,68,72,19,607,3,104,10,30,9,14,73,41,94,58
2020-06-30,68,72,19,607,3,104,10,30,9,14,73,41,94,58
2020-07-01,68,72,19,608,3,105,10,30,9,14,73,41,94,58
2020-07-02,68,72,20,617,3,108,10,31,9,14,73,41,97,59
2020-07-03,68,73,20,622,3,110,10,31,9,14,74,41,97,59
2020-07-04,68,73,20,623,3,110,10,32,9,14,74,41,97,59
2020-07-05,68,73,21,629,3,110,10,34,10,14,74,42,97,59
2020-07-06,68,73,21,630,4,110,10,34,10,14,74,42,97,59
2020-07-07,68,73,21,631,4,110,10,34,10,14,75,42,98,59
2020-07-08,68,73,21,632,4,110,10,34,10,14,75,42,97,61
2020-07-09,68,74,21,643,5,110,10,36,10,14,75,42,98,61
2020-07-10,68,74,21,645,5,110,10,37,10,14,75,42,99,62
2020-07-11,68,74,21,650,5,110,10,37,10,14,75,43,99,62
2020-07-12,68,74,21,658,5,110,13,38,10,14,76,43,99,62
2020-07-13,68,74,22,659,5,110,13,39,10,14,78,43,99,62
2020-07-14,68,74,22,662,5,110,13,40,10,14,78,43,99,62
2020-07-15,70,76,23,667,5,110,13,40,10,14,78,44,99,64
2020-07-16,70,76,24,672,5,110,13,41,10,14,78,44,99,64
2020-07-17,70,76,24,679,5,110,13,41,10,14,79,44,99,65
2020-07-18,70,76,24,681,5,110,13,41,10,14,79,45,99,65
2020-07-19,70,79,24,683,5,110,13,42,11,14,80,45,100,65
2020-07-20,71,79,25,688,5,110,13,42,11,14,80,45,100,67
