"Date","Albany","Big Horn","Campbell","Carbon","Converse","Crook","Fremont","Goshen","Hot Springs","Johnson","Laramie","Lincoln","Natrona","Niobrara","Park","Platte","Sheridan","Sublette","Sweetwater","Teton","Uinta","Washakie","Weston"
2020-05-23,14,3,30,16,24,5,244,5,9,16,182,15,68,2,2,1,16,3,25,100,12,21,0
2020-05-24,17,4,30,16,24,5,248,5,10,18,182,15,71,2,2,1,16,3,25,100,12,32,0
2020-05-25,20,5,30,16,24,5,249,5,10,18,183,15,71,2,2,1,16,3,25,100,12,31,0
2020-05-26,23,5,30,16,24,5,250,5,10,18,183,15,72,2,2,1,16,3,25,100,12,33,0
2020-05-27,23,5,30,16,24,5,255,5,12,18,185,15,72,2,2,1,16,3,25,100,12,33,1
2020-05-28,24,5,30,16,24,5,261,5,12,18,188,15,75,2,2,1,16,3,26,100,12,35,1
2020-05-29,25,5,31,16,24,5,273,5,12,18,188,15,76,2,2,1,16,3,26,100,12,35,1
2020-05-30,25,5,31,16,24,5,277,5,12,18,188,15,76,2,2,1,16,3,27,100,12,37,1
2020-05-31,25,6,31,16,24,5,278,5,12,18,188,15,77,2,2,1,16,3,30,100,12,36,1
2020-06-01,25,6,31,16,24,5,282,5,12,18,188,15,79,2,2,1,16,3,30,100,12,37,1
2020-06-02,25,6,31,16,24,5,283,5,12,18,188,15,79,2,2,1,16,3,30,100,13,37,1
2020-06-03,25,6,31,16,24,5,285,5,12,18,188,15,79,2,2,1,16,3,31,100,13,37,1
2020-06-04,25,6,32,16,24,5,287,5,12,18,188,15,79,2,2,1,16,3,32,100,13,39,1
2020-06-05,26,6,32,16,24,5,289,5,12,18,188,15,82,2,2,1,16,3,32,100,19,39,1
2020-06-06,26,6,32,16,24,5,295,5,12,18,188,15,82,2,2,1,16,3,32,100,19,39,1
2020-06-07,26,8,32,16,24,5,295,5,12,18,188,15,82,2,2,1,18,3,32,100,23,39,1
2020-06-08,26,8,35,16,24,5,297,5,12,18,188,15,87,2,2,1,18,3,33,100,25,39,1
2020-06-09,26,9,35,16,24,5,295,5,12,18,188,15,87,2,2,1,18,3,34,100,35,39,1
2020-06-10,26,9,37,16,24,5,296,5,12,18,188,15,87,2,2,1,19,3,35,101,39,39,1
2020-06-11,26,10,39,20,24,5,302,5,12,18,188,15,87,2,2,1,19,3,36,102,53,39,1
2020-06-12,25,10,40,20,24,5,303,5,12,18,191,15,87,2,3,1,19,3,38,104,62,39,1
2020-06-13,26,11,41,22,24,5,304,5,12,18,195,15,87,2,5,1,19,3,40,104,71,39,1
2020-06-14,26,11,44,24,24,6,305,5,12,18,195,15,87,2,5,1,19,3,40,105,73,39,1
2020-06-15,27,11,45,22,24,6,308,5,12,18,196,15,87,2,5,1,19,3,40,105,88,39,1
2020-06-16,28,11,46,22,24,6,310,5,12,18,196,15,88,2,7,1,19,3,40,105,91,39,1
2020-06-17,28,11,46,21,24,6,315,5,12,19,197,15,88,2,8,1,19,3,43,107,104,39,1
2020-06-18,28,11,46,22,24,6,319,5,12,19,203,15,90,2,10,1,19,4,44,108,116,39,1
2020-06-19,28,11,46,22,24,6,326,5,12,19,204,15,95,2,9,1,19,4,48,109,128,39,1
2020-06-20,28,11,46,22,24,6,327,5,12,19,204,15,95,2,11,1,19,4,49,109,130,39,1
2020-06-21,28,11,47,22,24,6,329,5,12,19,204,16,96,2,11,1,19,4,53,110,138,39,1
2020-06-22,29,11,47,22,25,6,335,5,12,19,211,15,98,2,12,2,19,5,56,111,148,39,1
2020-06-23,29,11,50,22,25,7,339,5,12,19,215,15,98,2,16,2,19,5,58,113,152,39,1
2020-06-24,31,11,54,22,25,7,340,5,12,19,219,15,102,2,17,2,19,5,65,113,157,39,1
2020-06-25,31,11,55,22,25,7,345,5,12,19,225,16,107,2,22,2,22,5,73,118,162,39,1
2020-06-26,32,12,55,22,25,7,349,5,12,20,240,17,109,2,25,2,24,5,80,119,166,39,1
2020-06-27,32,12,55,22,26,7,352,5,12,20,246,17,114,2,31,2,24,6,81,119,167,39,1
2020-06-28,32,12,55,22,26,7,355,5,12,20,250,17,118,2,37,2,26,6,82,123,168,39,1
2020-06-29,34,14,55,22,26,7,356,5,12,20,256,18,120,2,40,2,26,6,86,128,174,39,2
2020-06-30,34,20,56,23,26,7,355,5,12,20,261,23,121,2,50,3,27,6,90,129,176,39,2
2020-07-01,34,20,56,23,26,7,358,5,12,20,270,24,126,2,56,4,27,6,89,131,177,39,2
2020-07-02,34,20,57,23,26,7,361,5,12,20,282,27,131,2,57,4,27,6,92,136,180,39,2
2020-07-03,35,21,58,24,26,7,362,6,12,20,286,33,134,2,61,4,27,6,100,135,182,39,2
2020-07-04,36,23,63,26,26,7,366,7,12,20,287,34,136,2,61,4,27,6,102,137,183,39,2
2020-07-05,37,23,70,26,26,7,370,8,12,20,288,35,140,2,62,4,27,6,106,140,184,39,2
2020-07-06,38,23,74,26,27,7,370,8,12,20,292,36,149,2,66,4,27,6,113,145,190,39,1
2020-07-07,43,24,75,27,27,7,370,8,12,20,298,37,153,2,70,4,27,6,122,146,190,40,1
2020-07-08,45,25,75,29,27,7,373,9,12,20,302,37,155,2,76,4,27,6,124,149,192,43,1
2020-07-09,45,26,75,29,27,7,379,9,12,20,307,39,158,2,80,4,27,6,126,149,198,43,1
2020-07-10,45,29,82,29,27,7,378,9,12,20,310,41,158,2,81,4,29,6,128,150,200,42,1
2020-07-11,49,30,85,29,28,7,384,9,12,21,323,41,159,2,84,4,29,7,136,155,201,43,1
2020-07-12,49,30,88,29,28,7,386,9,12,21,329,41,165,2,85,4,29,7,138,157,202,43,1
2020-07-13,49,30,88,29,28,7,387,10,12,21,338,41,167,2,84,4,33,10,150,162,205,43,3
2020-07-14,52,30,89,29,28,8,397,10,12,22,352,43,171,2,84,4,33,10,156,164,208,43,3
2020-07-15,53,30,93,29,28,8,407,10,12,22,357,43,172,2,88,4,36,10,157,170,208,43,3
2020-07-16,54,31,93,31,28,9,413,10,12,22,359,45,173,2,89,4,38,11,158,181,217,43,3
2020-07-17,55,31,93,31,29,9,417,11,13,22,367,52,174,2,89,4,39,17,162,187,219,43,3
2020-07-18,58,31,93,33,29,9,421,11,13,22,372,55,174,2,89,4,39,17,171,197,221,43,4
2020-07-19,59,31,93,33,29,9,421,11,14,22,373,55,175,2,89,4,39,17,173,208,221,44,4
2020-07-20,67,31,96,35,29,9,426,11,14,22,383,60,178,2,89,4,40,17,181,223,222,44,4
