"","Anderson","Bedford","Benton","Bledsoe","Blount","Bradley","Campbell","Cannon","Carroll","Carter","Cheatham","Chester","Claiborne","Clay","Cocke","Coffee","Crockett","Cumberland","Davidson","Decatur","DeKalb","Dickson","Dyer","Fayette","Fentress","Franklin","Gibson","Giles","Grainger","Greene","Grundy","Hamblen","Hamilton","Hancock","Hardeman","Hardin","Hawkins","Haywood","Henderson","Henry","Hickman","Houston","Humphreys","Jackson","Jefferson","Johnson","Knox","Lake","Lauderdale","Lawrence","Lewis","Lincoln","Loudon","Macon","Madison","Marion","Marshall","Maury","McMinn","McNairy","Meigs","Monroe","Montgomery","Moore","Morgan","Obion","Overton","Perry","Pickett","Polk","Putnam","Rhea","Roane","Robertson","Rutherford","Scott","Sequatchie","Sevier","Shelby","Smith","Stewart","Sullivan","Sumner","Tipton","Trousdale","Unicoi","Union","Van Buren","Warren","Washington","Wayne","Weakley","White","Williamson","Wilson"
"Sevier",351.01,391.444,175.728,403.139,45.687,179.651,215.046,291.814,543.078,27.317,371.362,549.24,112.623,244.067,40.069,335.451,637.146,157.808,208.036,150.904,251.717,399.951,592.744,614.605,185.927,360.151,567.182,444.407,66.003,94.291,277.193,61.248,157.321,524.592,592.377,552.845,100.469,579.046,549.24,549.509,258.683,511.634,453.243,548.543,267.948,123.515,46.696,653.268,617.025,537.16,453.531,380.665,100.614,639.036,339.789,162.156,152.245,400.379,140.549,563.062,150.904,227.633,128.915,367.021,118.169,639.151,670.884,474.737,248.261,639.713,210.082,174.5,104.381,573.893,600.377,145.085,274.857,0,674.571,515.317,466.687,149.996,319.246,669.73,323.381,166.83,94.893,615.908,623.71,151.361,491.459,474.202,230.028,360.151,750.778
"Shelby",450.641,397.48,616.183,417.273,640.213,593.869,472.49,419.785,144.435,651.11,336.718,170.17,701.785,512.929,707.581,435.082,241.979,522.076,547.769,602.998,453.072,291.568,188.34,83.677,547.772,334.439,162.778,349.325,682.306,740.775,487.674,707.732,803.805,226.358,122.317,197.461,746.953,104.214,170.17,212.548,425.492,236.347,261.169,143.087,483.087,602.084,631.71,200.31,88.947,145.525,294.705,381.862,619.182,71.005,355.172,743.693,798.729,318.986,633.598,183.935,602.998,513.535,607.467,429.925,563.727,212.286,17.458,270.502,534.163,225.378,469.79,604.121,574.105,152.239,195.973,591.342,497.869,675.04,0,175.966,296.934,796.48,386.654,42.218,393.913,813.314,684.186,117.911,70.897,797.845,248.289,342.727,493.398,334.439,78.556
"Smith",291.836,238.675,457.378,258.468,481.408,435.064,313.685,260.98,31.856,492.305,177.913,61.614,542.98,354.124,548.776,276.277,95.193,363.271,388.964,444.193,294.267,132.763,63.166,116.165,388.967,175.634,41.497,258.699,523.501,581.97,328.869,548.927,645,73.115,93.937,82.579,588.148,80.606,61.614,59.305,266.687,136.131,102.364,50.103,324.282,443.279,472.905,154.828,118.585,38.72,135.9,304.438,460.377,140.596,196.367,584.888,639.924,160.181,474.793,90.951,444.193,354.73,448.662,271.12,404.922,140.711,172.444,111.697,375.358,95.251,310.985,445.316,415.3,101.782,69.719,432.537,339.064,516.235,176.131,0,138.129,637.675,227.849,171.29,235.108,654.509,525.381,117.468,125.27,639.04,141.78,211.36,334.593,175.634,252.338
"Stewart",237.417,184.256,402.959,204.049,431.629,380.645,263.906,206.561,164.65,442.526,91.637,170.812,493.201,304.345,498.997,221.858,135.015,313.492,339.185,394.414,244.488,61.575,144.152,236.177,339.188,121.215,132.625,204.28,473.722,532.191,274.45,499.148,595.221,65.548,213.949,174.417,538.369,200.618,170.812,78.148,216.908,175.284,35.961,170.115,274.503,393.5,423.126,191.665,238.597,158.732,120.485,250.019,410.598,260.608,136.576,535.109,590.145,128.64,420.374,184.634,394.414,304.951,398.883,216.701,355.143,172.586,292.456,96.282,325.579,154.06,261.206,390.897,365.521,195.465,140.49,382.758,284.645,466.456,296.143,136.889,0,587.896,168.058,291.302,175.317,604.73,475.602,237.48,245.282,589.261,140.556,234.075,284.814,121.215,326.176
"Sullivan",472.082,512.516,296.8,524.211,196.595,300.723,336.118,412.886,664.15,148.389,492.434,670.312,155.367,365.139,137.726,456.523,758.218,278.88,329.108,271.976,372.789,521.023,713.816,735.677,306.999,481.223,688.254,565.479,140.591,70.351,398.265,103.694,7.321,645.664,713.449,673.917,79.649,700.118,670.312,670.581,379.755,632.706,574.315,669.615,389.02,244.587,167.768,774.34,738.097,658.232,574.603,501.737,221.686,760.108,460.861,211.411,46.009,521.451,261.621,684.134,271.976,348.705,249.987,488.093,239.241,760.223,791.956,595.809,369.333,760.785,331.154,295.572,225.453,694.965,721.449,266.157,395.929,150.339,795.643,636.389,587.759,0,440.318,790.802,444.453,61.97,178.695,736.98,744.782,46.501,612.531,595.274,351.1,481.223,871.85
"Sumner",135.494,120.246,301.036,131.941,284.594,278.722,116.871,104.638,257.668,295.491,74.094,263.83,346.166,105.842,351.962,119.935,340.111,166.457,192.15,247.379,97.453,114.541,307.334,329.195,192.153,84.039,281.772,169.394,326.687,385.156,172.527,352.113,448.186,214.618,306.967,267.435,391.334,293.636,263.83,227.218,69.873,236.621,167.833,263.133,127.468,246.465,276.091,370.821,331.615,251.75,178.518,215.133,263.563,353.626,40.039,388.074,443.11,125.366,303.498,277.652,247.379,157.916,251.848,144.991,208.108,347.826,385.474,189.327,178.544,342.678,114.171,240.446,218.486,288.483,314.967,235.723,182.722,319.421,389.161,229.907,169.652,440.861,0,384.32,6.513,457.695,328.567,330.498,338.3,442.226,216.446,199.189,137.779,84.039,465.368
"Tipton",421.25,368.089,586.792,387.882,610.822,564.478,443.099,390.394,115.044,621.719,307.327,140.779,672.394,483.538,678.19,405.691,152.48,492.685,518.378,573.607,423.681,262.177,129.993,54.286,518.381,305.048,111.259,388.113,652.915,711.384,458.283,678.341,774.414,196.967,92.926,168.07,717.562,59.018,140.779,183.157,396.101,206.956,231.778,113.696,453.696,572.693,602.319,124.976,47.145,116.134,265.314,433.852,589.791,66.927,325.781,714.302,769.338,289.595,604.207,154.544,573.607,484.144,578.076,400.534,534.336,122.787,27.454,241.111,504.772,135.879,440.399,574.73,544.714,122.848,139.572,561.951,468.478,645.649,38.936,146.575,267.543,767.089,357.263,0,364.522,783.923,654.795,136.712,66.819,768.454,218.898,288.478,464.007,305.048,115.143
"Trousdale",139.647,124.399,305.189,136.094,288.747,282.875,121.024,108.791,261.846,299.644,78.272,268.008,350.319,102.655,356.115,124.088,344.289,170.61,196.303,251.532,101.606,118.719,311.512,333.373,196.306,88.217,285.95,173.572,330.84,389.309,176.68,356.266,452.339,218.796,311.145,271.613,395.487,297.814,268.008,231.396,74.026,240.799,172.011,267.311,131.621,250.618,280.244,374.999,335.793,255.928,182.696,219.311,267.716,357.804,44.217,356.492,447.263,129.544,307.651,281.83,251.532,162.069,256.001,149.144,212.261,352.004,389.652,193.505,182.697,346.856,118.324,244.599,222.639,292.661,319.145,239.876,186.875,323.574,393.339,234.085,173.83,445.014,6.513,388.498,0,461.848,332.72,334.676,342.478,446.379,220.624,203.367,141.932,88.217,469.546
"Unicoi",489.424,529.858,314.142,541.553,213.937,318.065,353.46,430.228,681.492,165.731,509.776,687.654,172.709,382.481,155.068,473.865,775.56,296.222,346.45,289.318,390.131,538.365,731.158,753.019,324.341,498.565,705.596,582.821,157.933,67.084,415.607,121.036,42.474,663.006,730.791,691.259,96.738,717.46,687.654,687.923,397.097,650.048,591.657,686.957,406.362,261.929,185.11,791.682,755.439,675.574,591.945,519.079,239.028,777.45,478.203,228.753,63.098,538.793,278.963,701.476,289.318,366.047,267.329,505.435,256.583,777.565,809.298,613.151,386.675,778.127,348.496,312.914,242.795,712.307,738.791,283.499,413.271,167.681,812.985,653.731,605.101,61.145,457.66,808.144,461.795,0,196.037,754.322,762.124,27.802,629.873,612.616,368.442,498.565,889.192
"Union",359.742,400.176,184.46,411.871,87.546,188.383,223.778,300.546,551.81,54.574,380.094,557.972,25.779,252.799,122.373,344.183,645.878,166.54,183.055,159.636,260.449,408.683,601.476,623.337,160.946,368.883,575.914,453.139,55.579,123.636,285.925,78.248,186.666,533.324,601.109,561.577,90.478,587.778,557.972,558.241,267.415,520.366,461.975,557.275,276.68,132.247,61.129,662,625.757,545.892,462.263,389.397,109.346,647.768,348.521,81.823,130.709,409.111,149.281,571.794,159.636,236.365,103.934,375.753,126.901,647.883,679.616,483.469,200.52,648.445,218.814,183.232,113.113,582.625,609.109,153.817,283.589,95.156,683.303,524.049,475.419,179.341,327.978,678.462,332.113,196.175,0,624.64,632.442,180.706,500.191,482.934,238.76,368.883,759.51
"Van Buren",383.894,288.327,549.436,282.432,573.466,527.122,405.743,353.038,84.718,584.363,269.971,65.208,635.038,446.182,640.834,368.335,165.689,455.329,481.022,536.251,386.325,224.821,128.623,34.918,481.025,267.692,103.061,225.661,615.559,674.028,420.927,640.985,737.058,166.641,23.511,98.655,680.206,77.898,65.208,152.831,358.745,137.541,194.422,67.939,416.34,535.337,564.963,183.237,109.326,74.108,193.297,297.773,552.435,52.169,288.425,676.946,731.982,239.482,566.851,73.895,536.251,446.788,540.72,301.58,496.98,169.12,121.655,147.355,467.416,182.212,403.043,537.374,507.358,53.433,136.256,524.595,431.122,608.293,119.192,109.219,230.187,729.733,319.907,135.76,327.166,746.567,617.439,0,44.023,731.098,149.483,219.063,426.651,267.692,193.4
"Warren",398.537,345.376,564.079,365.169,588.109,541.765,420.386,367.681,92.331,599.006,284.614,80.762,649.681,460.825,655.477,382.978,173.025,469.972,495.665,550.894,400.968,239.464,136.236,9.133,495.668,282.335,110.674,250.026,630.202,688.671,435.57,655.628,751.701,174.254,47.876,123.02,694.849,52.11,80.762,160.444,373.388,161.906,209.065,90.983,430.983,549.98,579.606,157.449,72.201,93.421,242.601,320.467,567.078,12.849,303.068,691.589,746.625,266.882,581.494,92.039,550.894,461.431,555.363,325.945,511.623,143.332,67.011,162.909,482.059,156.424,417.686,552.017,522.001,77.798,143.869,539.238,445.765,622.936,70.991,123.862,244.83,744.376,334.55,65.857,341.809,761.21,632.082,44.052,0,745.741,173.848,243.428,441.294,282.335,147.198
"Washington",474.495,514.929,299.213,526.624,199.008,303.136,338.531,415.299,666.563,150.802,494.847,672.725,157.78,367.552,83.86,458.936,760.631,281.293,331.521,274.389,375.202,523.436,716.229,738.09,309.412,483.636,690.667,567.892,143.004,40.173,400.678,106.107,31.476,648.077,715.862,676.33,81.809,702.531,672.725,672.994,382.168,635.119,576.728,672.028,391.433,247,170.181,776.753,740.51,660.645,577.016,504.15,224.099,762.521,463.274,213.824,48.169,523.864,264.034,686.547,274.389,351.118,252.4,490.506,241.654,762.636,794.369,598.222,371.746,763.198,333.567,297.985,227.866,697.378,723.862,268.57,398.342,152.752,798.056,638.802,590.172,46.216,442.731,793.215,446.866,26.985,181.108,739.393,747.195,0,614.944,597.687,353.513,483.636,874.263
"Wayne",178.445,140.212,364.314,134.317,456.415,342,288.692,206.468,143.468,467.312,175.181,105.938,517.987,329.131,523.783,221.765,227.208,338.278,363.971,392.975,233.087,129.701,193.134,164.989,363.974,132.962,167.572,77.546,498.508,556.977,235.806,523.934,620.007,150.25,126.23,50.938,563.155,179.436,105.938,162.803,241.694,20.175,106.946,133.406,247.303,410.42,447.912,253.658,217.415,137.55,45.976,147.987,435.384,183.737,182.387,559.895,614.931,91.367,381.729,105.399,392.975,329.737,423.669,153.465,379.929,239.541,239.895,47.92,350.365,226.039,285.992,352.252,390.307,109.398,200.767,391.899,246,491.242,248.091,140.94,142.711,612.682,213.869,238.741,221.128,629.516,500.388,149.761,174.094,614.047,0,70.948,309.6,132.962,332.567
"Weakley",118.397,80.164,304.266,74.269,425.887,281.952,258.164,175.94,212.116,436.784,169.565,174.586,487.459,298.603,493.255,132.829,295.856,307.75,333.443,332.927,202.559,161.434,261.782,233.637,333.446,110.523,236.22,17.498,467.98,526.449,175.758,493.406,589.479,218.898,194.878,119.586,532.627,248.084,174.586,231.451,211.166,90.191,159.931,202.054,216.775,350.372,417.384,322.306,286.063,206.198,75.071,87.939,360.732,252.385,151.859,529.367,584.403,60.622,321.681,174.047,332.927,299.209,393.141,93.417,349.401,308.189,308.543,117.472,319.837,294.687,255.464,292.204,359.779,178.046,269.415,331.851,185.952,460.714,344.133,209.588,195.696,582.154,183.341,307.389,190.6,598.988,469.86,218.409,242.742,583.519,70.016,0,279.072,110.523,418.341
"White",99.531,147.983,189.843,149.499,195.343,167.529,25.855,76.853,362.312,206.24,190.596,368.474,256.915,85.029,262.711,83.972,456.38,44.104,102.829,113.184,34.151,219.185,411.978,433.839,103.755,179.385,386.416,263.641,237.436,295.905,84.332,262.862,358.935,343.826,411.611,372.079,302.083,398.28,368.474,368.743,77.917,330.868,272.477,367.777,44.885,157.214,186.84,472.502,436.259,356.394,272.765,182.379,174.312,458.27,159.023,298.823,353.859,219.613,214.247,382.296,113.184,68.595,162.597,123.4,118.857,458.385,490.118,293.971,89.223,458.947,29.316,90.235,129.235,393.127,419.611,107.134,118.652,230.17,493.805,334.551,285.921,351.61,138.48,488.964,142.615,368.444,239.316,435.142,442.944,352.975,310.693,293.436,0,179.385,570.012
"Williamson",126.52,79.666,292.062,92.964,325.508,269.748,157.785,95.664,222.341,336.405,67.624,228.503,387.08,198.224,392.876,110.961,280.848,207.371,233.064,320.723,138.367,79.214,272.007,293.868,233.067,0,246.445,93.195,367.601,426.07,163.553,393.027,489.1,203.855,271.64,181.624,432.248,258.309,228.503,228.772,110.787,152.229,132.506,227.806,168.382,287.379,317.005,332.531,296.288,216.423,94.79,138.934,304.477,318.299,49.918,428.988,484.024,49.167,309.477,242.325,320.723,198.83,292.762,105.804,249.022,318.414,350.147,154,219.458,304.912,155.085,280,259.4,253.156,279.64,276.637,173.748,360.335,353.834,194.58,140.53,481.775,81.4,348.993,88.659,498.609,369.481,295.171,302.973,483.14,132.054,122.99,178.693,0,430.041
"Wilson",526.68,473.519,692.222,493.312,716.252,669.908,548.529,495.824,220.474,727.149,412.757,246.209,777.824,588.968,783.62,511.121,184.869,598.115,623.808,679.037,529.111,367.607,162.382,159.716,623.811,410.478,188.773,423.286,758.345,816.814,563.713,783.771,879.844,252.225,198.356,280.284,822.992,180.253,246.209,249.298,501.531,319.17,337.208,219.126,559.126,678.123,707.749,143.2,163.662,221.564,370.744,455.823,695.221,147.044,431.211,819.732,874.768,395.025,709.637,259.974,679.037,589.574,683.506,505.964,639.766,155.176,93.497,346.541,610.202,168.268,545.829,680.16,650.144,228.278,171.961,667.381,573.908,751.079,78.714,252.005,326.189,872.519,462.693,118.257,469.952,889.353,760.225,191.872,146.936,873.884,331.112,416.688,569.437,410.478,0
