"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Marion",275.617,180.9,143.183,318.233,175.383,261.017,120.183,178.217,258.817,158.25,156.667,162.083,94.05,194.317,126.067,266,272.15,123.633,183.017,291.567,93.567,265,167.35,233.183,93.567,198.567,174,182.85,331.35,51.817,218.25,260.25,269.05,272.233,158.55,267.517,248.767,224.683,54.333,82.9,43.117,133.65,383.9,153.6,144.65,216.467,284.833,260.317,73.267,246.133,132.933,275,118.517,37.75,160.75,145.067,103,0,137.733,82.95,46.817,264.733,324.333,201.867,82.383,305.467,55.683,295.85,138.467,133.867,313.05,224.283,216.833,160.883,222.017,89.167,39.917,257.217,191.35,111.517,303.95,105.383,170.733,230.733,291.033,128.633,101.433,257.4,328.883,215.983,315.35,159.217,139.183,357.15,225.45,299.183,69.05,320.55,233.5,121.567,307.45,215.417
"Marshall",211.583,170.033,48.9,254.183,111.35,196.983,85.55,59.583,215.367,94.217,124.7,181.883,85.75,126.067,66.683,201.95,208.117,22.75,118.983,227.517,53.05,200.967,39.65,170.367,53.05,134.533,109.967,181.467,268.533,165.367,154.2,196.2,282.5,267.75,178.35,204.683,184.733,132.983,188.033,111.1,176.8,153.45,319.867,121.633,164.45,152.417,220.8,197.5,116.15,182.083,55.833,210.95,125.483,171.433,112.467,153.533,133.533,140.217,0,62.917,180.5,242.133,260.3,137.817,197.467,242.65,186.667,231.8,51.167,81.267,250.217,161.467,214.7,96.833,157.983,102.067,173.617,193.167,127.317,69.3,241.133,112.933,112.233,227.233,226.983,90.05,144.783,194.583,264.85,149.683,251.3,31.517,5.15,293.117,161.4,235.15,131.367,256.517,169.467,128.3,243.4,151.367
"Mason",198.2,135.433,95.9,240.8,97.95,183.6,70.133,100.783,212.583,80.833,89.483,140.817,26.833,112.683,48.633,188.567,194.717,46.217,105.6,214.133,16.15,187.567,89.933,156.983,16.15,121.15,96.583,137.383,255.15,130.567,140.817,182.817,247.9,241.533,137.283,191.3,171.35,147.267,131.95,67.583,120.717,112.383,306.483,86.417,123.367,139.033,207.417,184.117,60.067,168.7,87.55,197.567,84.417,115.35,88.15,112.467,92.467,84.133,60.317,0,124.417,224.667,246.917,124.433,141.383,229.25,139.283,218.417,61.033,56.45,236.833,148.067,180.117,83.45,144.583,43.7,117.533,179.783,113.933,34.083,227.75,71.867,93.317,190.667,213.6,51.2,103.717,181.2,251.467,136.3,237.917,81.783,61.767,279.733,148.017,221.767,103.333,243.133,156.083,87.233,230.017,137.983
"Massac",317.3,222.583,185.05,359.9,217.067,302.7,161.833,219.883,300.5,199.933,198.35,203.767,135.717,236,167.75,307.683,313.833,165.317,224.7,333.25,135.25,306.683,209.033,274.867,135.25,240.25,215.683,224.517,373.033,84.25,259.933,301.917,310.733,313.917,200.233,309.183,290.45,266.367,19.983,124.567,7.117,175.333,425.583,195.283,186.317,258.15,326.517,302,114.95,287.8,174.817,316.683,160.2,14.583,202.417,186.75,144.667,47.5,179.417,124.633,0,306.417,366.017,243.55,122.7,347.15,64.467,337.533,180.15,175.55,354.717,265.967,258.517,202.55,263.7,130.85,46.433,298.9,233.033,153.2,345.633,147.067,212.417,272.417,332.7,170.317,143.117,299.083,370.567,257.65,357.017,200.9,180.867,398.833,267.133,340.867,101.683,362.233,275.183,163.25,349.117,257.1
"McDonough",169.45,92.85,292.317,194.067,158.317,137.033,288.433,203.933,31.983,162.633,141.417,120.517,248.733,134.783,192.833,220.433,218.217,236.4,142.617,166.85,220.667,181.783,215.317,84.617,220.667,164.367,180.65,102.267,125.383,314.267,134.367,168.9,45.583,26.133,131.783,58.583,132.317,221.867,315.65,281.017,304.433,133.767,180.833,150.467,131.117,205.283,181.333,67.383,224.933,141.783,299.25,162.217,154.467,299.067,148.433,142.467,181.333,267.833,243.7,229,308.117,0,232.95,109.3,250.367,64.767,322.983,193.667,201.55,178.2,67.9,99.667,71.25,181.333,147.267,217.5,301.233,127.05,125.633,200.1,89.533,178.983,159.083,37.55,166.867,182.883,191.55,100.483,176.567,111.433,199.383,233.35,245.15,183.017,111.9,204.933,287.033,117.45,217.867,157.133,183.283,142.283
"McHenry",108.867,231.267,307.817,41.867,177.667,139.617,301,219.883,229.967,178.567,238.183,293.567,268.567,185.533,218.583,71.567,76.517,251.883,188.833,83.383,237.15,85.267,230.8,191.8,237.15,150.533,156.433,243.05,146.217,370.733,155.2,101.983,269.483,250.033,304.267,182.883,147.217,152.65,372.133,306.167,360.9,290.267,156.5,244.75,291.983,118.35,93.8,189.65,300.25,119.15,314.733,96.317,257.817,355.533,216.717,263.75,288.85,324.317,259.2,247.017,364.6,232.883,0,172.183,358.917,196.05,379.45,82.05,217.033,231.3,214.9,185.083,275.933,201.4,139.667,286.167,357.717,142.583,167.833,240.05,167.95,282.333,214.55,265.667,77.367,247.567,300.1,179.483,101.483,179,37.45,248.85,260.65,129.75,176.517,55.917,343.517,131.367,108.317,260.483,80.05,145.55
"McLean",100.117,64.55,186.1,142.717,52.1,85.517,179.283,97.717,87.217,56.417,71.467,126.85,146.85,28.567,96.883,134.6,131.217,130.183,36.4,116.05,115.433,94.783,109.1,53.867,115.433,63.617,74.433,76.35,152.033,249.033,42.733,86.367,152.15,132.7,137.55,88.2,73.267,121.1,250.417,184.467,239.2,123.55,206.55,80.517,125.267,104.517,110.967,81,161.55,70.617,193.033,99.483,91.1,233.833,59.733,97.033,122.133,202.6,137.483,125.3,242.883,107.083,173.233,0,192.2,126.15,257.75,127.867,95.333,91.6,133.733,44.967,109.217,76.767,46.5,148.683,236,81.7,19.417,114.533,124.633,115.617,57.567,96.25,115.517,95.317,133.383,78.083,153.383,26.1,148.033,127.133,138.933,181.633,49.933,145.233,221.8,145.05,117.117,93.767,131.933,39.9
"Menard",285.5,167.333,206.85,328.1,234.367,269.233,183.733,237.183,245.25,217.233,158.383,146.617,153.017,201.483,185.033,320,316.617,182.617,214.633,301.45,152.55,280.183,226.333,219.617,152.55,249,232.983,171.933,317.783,129.75,228.133,271.767,240.667,243.85,143.083,253.95,253.35,283.667,128.367,146.567,117.15,118.2,372.3,153.633,129.183,275.45,296.35,246.75,95.033,256,196.617,284.883,104.95,111.783,180.85,129.617,88.65,81.4,196.717,141.933,120.85,249.283,358.617,193,0,291.9,133.617,313.25,197.45,192.85,299.483,210.717,201.367,218.233,231.9,128.6,96.367,259.25,205.95,170.5,290.383,100.3,197.033,215.283,300.9,182.55,66.117,243.833,338.767,202.417,333.433,218.2,198.167,367.033,216.417,330.633,141.067,309.85,292.483,108,317.317,225.3
"Mercer",133.283,154.367,289.15,157.883,155.15,96.333,282.35,200.767,84.983,159.467,170.233,182.017,249.917,142.05,199.933,184.267,182.033,233.233,145.35,130.683,218.5,145.6,212.15,73.233,218.5,156.6,179.4,163.767,89.217,353.033,120.883,132.717,97.833,81.767,193.283,43.833,105.467,214.083,354.417,287.517,343.183,195.267,128.433,179.283,192.633,188.2,145.15,56,260.317,105.617,296.083,126.033,189.867,337.833,173.5,195.8,220.9,306.6,240.533,228.35,346.883,64.6,196.767,126.583,290.967,0,361.75,157.5,198.383,201.467,18.633,84.317,132.75,178.183,139.483,252.883,340,97.783,124.35,221.4,39.367,214.383,171.067,99.05,130.683,209.083,232.15,89.033,140.4,109.533,163.217,230.183,241.983,146.833,100.517,168.767,325.8,81.283,183.417,192.533,147.1,129.25
"Monroe",326.933,232.217,139.333,369.533,226.7,312.333,116.117,229.533,310.133,209.567,207.983,213.4,124.667,245.633,177.383,317.317,323.467,179.083,234.333,342.883,144.883,316.317,222.833,284.5,144.883,249.883,225.317,234.15,382.667,28.183,269.567,311.567,320.367,323.55,209.867,318.833,300.083,276,60.1,87.933,60.833,184.967,435.217,204.917,195.95,267.783,336.15,311.633,124.583,297.45,129.1,326.317,169.833,61.783,212.067,196.383,154.3,55.833,184.633,134.267,64.533,316.05,375.65,253.183,132.533,356.783,0,347.167,189.783,185.183,364.35,275.6,268.15,212.183,273.333,140.483,90.85,308.533,242.667,162.833,355.267,156.7,222.05,282.05,342.35,179.95,152.75,308.717,380.2,267.283,366.667,214.7,188.583,408.467,276.767,350.5,55.967,371.867,284.817,172.883,358.75,266.733
