"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Putnam",61.217,132.483,240.4,103.817,106.4,9.983,233.583,152.017,105.85,110.717,139.4,194.783,201.15,93.3,151.167,113.35,109.967,184.483,96.6,77.15,169.733,73.533,163.383,50.267,169.733,102.383,128.817,144.267,91.85,303.333,52.15,60.65,163.8,144.367,205.483,73.35,8.967,144.433,304.717,238.767,293.483,191.483,156.8,148.45,193.2,113.917,73.083,77.25,229.483,33.55,247.333,60.583,159.033,288.133,124.467,164.967,190.067,256.9,191.783,179.6,297.183,127.2,142.7,79.933,260.133,96.633,312.05,92.033,149.633,152.7,115.483,52.967,172.55,129.433,67.95,213.417,290.3,0,75.6,172.65,72.45,183.533,122.3,133.767,76.617,160.05,201.317,36.55,105.217,78.7,109.133,181.433,193.233,139.117,60.067,115.233,276.1,77,111.35,161.7,93.033,45.4
"Randolph",94.217,79.283,174.25,136.817,40.25,79.617,167.433,85.867,98,44.567,76.683,141.583,135,20.833,85.017,128.717,125.333,118.333,28.667,110.167,103.583,88.9,97.233,53,103.583,59.817,62.567,91.083,151.167,237.183,36.85,80.483,167.967,148.533,152.3,87.333,67.367,115.217,238.567,172.617,227.333,138.3,202.5,80.033,140,98.633,105.067,80.133,164.683,64.733,181.183,93.6,105.833,221.983,52,111.767,136.867,190.75,125.633,113.45,231.033,122.9,167.35,18.6,206.933,125.283,245.9,121.967,83.483,83.867,132.867,44.1,123.967,63.283,40.617,140.95,224.15,75.817,0,106.8,123.767,130.35,49.833,112.083,109.633,87.583,148.117,77.217,147.483,32.317,142.15,115.283,127.083,175.75,44.05,139.35,209.95,139.15,111.233,108.5,126.033,34.017
"Richland",194.567,110.7,107.7,237.183,91.817,179.967,94.3,94.633,183.733,74.683,60.633,154.717,56.4,89.033,22.85,182.417,188.567,55.033,84.35,210.517,26.533,181.433,86.717,153.35,26.533,115,90.433,117.4,251.517,158.583,137.2,176.667,223.15,216.783,150.283,187.683,167.717,141.117,159.967,97.15,148.75,125.4,302.85,57.567,136.383,132.883,201.267,180.483,88.083,165.083,108.2,193.95,97.417,143.383,54.183,110.883,105.483,112.15,69.117,34.85,152.433,199.917,240.767,114.833,169.417,225.633,167.3,212.267,53.483,22.483,233.217,144.45,155.367,62.417,140.967,74.017,145.55,176.167,105.35,0,224.117,84.867,59.35,165.917,209.983,17.25,116.733,177.567,247.833,132.667,231.767,85.8,70.567,276.1,144.4,215.617,131.35,239.5,149.933,100.25,226.4,134.367
"Rock Island",106.117,162.967,288.817,131.083,154.817,69.167,282,200.433,95.967,159.133,169.883,206.917,249.567,141.717,199.583,157.45,154.883,232.9,145.017,103.883,218.15,118.45,211.8,72.883,218.15,161.6,179.067,174.767,62.417,352.683,114.283,105.567,126.1,106.667,218.183,48.883,81.5,198.867,354.067,287.167,342.85,220.167,102.933,178.933,217.517,161.033,118,55.65,259.983,78.467,295.733,99.233,189.517,337.483,173.167,195.467,220.55,306.267,240.2,228.017,346.55,89.5,169.967,126.233,290.617,39,361.4,130.683,198.05,201.117,57.85,83.983,157.65,177.85,127.167,252.533,339.667,72.533,124.017,221.067,0,214.033,170.717,123.95,103.883,208.733,231.8,88.883,113.583,109.183,136.4,229.85,241.65,120.033,100.167,141.95,325.467,54.483,156.267,192.183,120.3,104.617
"Saline",210.817,92.667,138.617,253.417,139.25,194.567,125.217,142.083,170.567,122.133,83.7,82.4,84.617,125.633,89.933,229.867,236.017,87.517,137.033,226.767,57.45,205.5,131.233,144.95,57.45,162.45,137.883,94.6,243.1,156.75,153.45,197.083,195.883,198.75,78.867,179.267,178.667,188.567,158.133,124.783,146.917,53.967,297.617,78.95,64.95,180.333,221.667,172.083,50.05,181.333,139.117,210.2,30.267,141.55,92.05,68.167,34.05,110.317,101.617,62.867,150.617,181.883,283.95,118.317,104.117,217.217,165.467,238.567,102.333,97.75,224.8,136.033,137.15,124.75,157.217,53.183,143.717,184.567,131.267,75.383,215.7,0,117.133,147.883,226.233,82.25,45.3,169.15,264.083,127.733,258.75,123.083,103.067,292.35,141.733,255.95,129.533,235.167,197.383,33.317,242.633,150.617
"Sangamon",140.983,69.333,159.75,183.583,63.417,126.383,150.233,90.033,139.233,48.167,54.117,131.617,113.25,32.483,49.167,156.367,162.517,103.817,38.017,156.917,83.367,135.667,82.117,99.767,83.367,83.983,64.367,81.117,197.933,215.417,83.6,127.233,181.783,177.383,142.333,134.083,114.133,115.05,216.8,153.983,205.583,128.333,249.267,57.467,130.05,106.833,151.833,126.9,140.017,111.483,166.667,140.35,95.867,200.217,27.35,101.817,126.9,169,111.133,91.7,209.283,159.1,214.1,58.267,196.983,172.05,224.133,168.733,68.967,34.533,179.617,90.867,114,31.05,87.367,116.3,202.4,122.567,48.8,57.467,170.533,120.383,0,126.517,156.383,41.8,138.167,123.983,194.25,79.083,188.9,100.783,112.583,222.517,90.8,186.1,188.2,185.917,123.867,98.533,172.8,80.767
"Schuyler",193.333,60.083,269.067,230.367,144.2,143.883,255.667,189.817,44.983,148.517,108.633,87.733,215.967,120.667,160.067,226.7,223.317,217.617,128.5,203.167,187.9,186.883,197.85,94.433,187.9,155.7,166.517,69.483,161.7,281.483,127.067,178.467,75,54.583,99,94.883,129.25,213.2,282.883,248.233,271.65,100.983,214.6,117.7,98.35,196.617,203.05,96.617,192.167,163.833,269.567,192.7,121.7,266.283,115.65,109.683,148.567,235.067,227.133,196.217,275.35,37.717,265.333,95.167,217.583,98.533,290.2,219.95,184.983,145.417,101.65,92.367,40.25,147.517,138.6,184.717,268.467,133.883,111.517,167.317,123.3,146.217,126.317,0,203.167,150.1,158.767,118.8,212.867,97.317,235.683,216.783,228.583,219.317,110.217,237.333,254.267,153.767,209.217,124.367,219.583,132
"Scott",52.667,172.9,274.267,39.333,140.267,73.35,267.467,185.883,163.7,144.583,179.817,235.2,235.033,127.167,185.05,83.467,87.017,218.35,130.467,35.367,203.617,85.067,197.267,125.533,203.617,136.25,162.7,184.683,79.95,337.2,88.933,80.817,203.217,183.783,245.9,116.617,80.95,155.933,338.583,272.633,327.367,231.9,102.267,186.383,233.617,121.617,69.75,123.4,269.9,52.883,281.2,30.05,199.45,322,158.35,205.383,230.483,290.783,225.667,213.483,331.067,166.617,78.217,113.817,300.55,129.8,345.917,62.167,183.5,186.583,148.65,124.533,217.567,163.3,101.817,247.3,324.183,76.317,109.467,206.517,101.683,223.95,156.183,202.217,0,193.917,241.733,113.217,47.25,120.633,44.65,215.317,227.1,75.517,110.25,64.717,309.983,65.1,111.6,202.117,25.817,79.283
"Shelby",179,93.45,124.283,221.6,99.75,164.4,110.883,102.567,166.483,82.617,43.383,137.467,72.983,70.5,30.783,190.367,196.517,71.6,73.717,194.933,43.117,173.683,94.667,138.7,43.117,119.7,98.367,100.133,236.85,175.167,121.617,165.25,205.9,199.533,144.6,173.017,152.15,149.05,176.55,113.733,165.317,120.15,287.283,40.3,126.85,140.833,189.85,165.833,104.683,149.5,124.783,178.367,87.683,159.967,36.933,93.617,111.917,128.733,85.7,51.433,169.017,182.667,248.7,97.6,181.983,210.967,183.883,206.75,61.417,30.417,218.55,129.783,138.117,63.667,125.4,80.967,162.133,160.583,86.817,17.2,209.467,91.317,41.567,148.667,194.4,0,123.167,162.917,232.267,117.1,226.933,93.75,87.15,260.533,128.817,224.133,147.933,223.933,157.867,90.35,210.817,118.783
"St. Clair",225.317,107.167,174.683,267.933,177.95,209.067,148.783,182.217,185.067,162.25,98.2,86.45,118.067,141.3,130.067,259.817,256.433,127.633,154.45,241.267,97.583,220,171.35,159.45,97.583,188.817,178,111.75,257.6,148,167.95,211.583,194.517,197.7,82.917,193.767,193.167,228.683,149.383,114.75,138.167,58.017,312.133,93.467,69,220.467,236.167,186.583,61.75,195.833,164.783,224.7,44.767,132.8,120.667,69.433,28.467,101.567,141.733,103,141.85,189.1,298.45,132.833,65.967,231.717,156.717,253.067,142.467,137.867,239.3,150.533,141.2,158.067,171.717,89.1,134.967,199.067,145.767,115.517,230.217,40.117,136.85,155.1,240.733,122.383,0,183.667,278.583,142.233,273.25,163.217,143.183,306.85,156.233,270.45,120.767,249.667,237.5,47.817,257.15,165.117
"Stark",98.3,114.983,240.817,140.9,106.817,47.6,234.017,152.433,78.683,111.133,121.9,177.267,201.567,93.717,151.6,150.967,147.583,184.9,97.017,114.25,170.15,111.15,163.817,24.967,170.15,108.25,131.067,126.767,107.9,304.7,65.433,98.267,138.25,118.817,187.983,51.667,32.967,159.117,306.083,239.183,294.85,173.983,172.867,130.95,175.7,133.233,110.7,42.633,211.983,68.8,247.75,97.683,141.533,289.483,125.167,147.467,172.567,258.267,192.2,180.017,298.55,101.65,179.783,78.25,242.633,88.217,313.417,129.65,150.05,153.117,97.183,35.983,155.567,129.85,82.617,204.55,291.667,37.6,76.017,173.067,87.867,166.033,122.717,116.783,113.7,160.75,183.817,0,132.283,61.183,146.233,181.85,193.65,158.567,50.95,152.317,277.467,93.017,146.617,144.2,130.117,60.083
"Stephenson",90.1,210.333,311.7,62.783,177.7,101.317,304.9,223.317,172.8,182.017,217.25,272.633,272.467,164.6,222.483,106.917,113.733,255.783,167.9,72.8,241.05,122.483,234.7,149.867,241.05,173.683,193.633,222.117,67.333,374.633,126.367,118.25,212.317,192.867,283.333,125.717,113.633,189.867,376.017,310.067,364.8,269.333,64.417,223.817,271.05,155.55,107.183,132.483,307.333,90.317,318.633,67.483,236.883,359.433,195.783,242.817,267.917,328.217,263.1,250.917,368.5,175.717,101.667,151.25,337.983,138.883,383.35,99.6,220.933,224.017,157.733,152.583,245.017,200.733,139.25,284.733,361.617,104.667,146.9,243.95,110.783,261.383,193.617,211.317,46.167,231.35,279.167,132.217,0,158.067,68.117,252.75,264.533,37.667,147.683,88.167,347.417,65.383,145.533,239.55,26.383,116.717
"Tazewell",106.283,75.633,196.75,148.883,62.75,87.5,189.933,108.367,82.733,67.067,82.55,137.917,157.5,49.633,107.517,140.767,137.4,140.817,52.933,122.217,126.083,100.967,119.733,37.883,126.083,69.783,85.067,87.417,136.05,259.683,48.283,92.533,154.55,135.117,148.633,72.2,71.6,127.283,261.067,195.1,249.833,134.633,190.567,91.6,136.35,110.7,117.133,65.017,172.633,76.783,203.667,105.65,102.167,244.467,80.817,108.117,133.2,213.25,148.133,135.95,253.533,109.5,179.4,26.483,203.283,110.167,268.4,134.033,105.967,109.05,117.733,28.983,120.3,85.783,52.667,165.2,246.65,77.517,31.933,129,108.65,126.683,78.65,98.667,121.683,116.4,144.467,62.1,159.55,0,154.2,137.783,149.583,187.817,29.25,151.4,232.45,128.117,123.283,104.833,138.1,46.067
"Union",76.783,205.883,298.65,30.35,168.5,106.35,291.833,210.717,196.7,169.417,212.8,268.183,259.4,160.167,209.417,60.55,67.367,242.733,163.467,47.733,227.983,76.117,221.633,158.533,227.983,141.367,147.267,217.683,112.933,361.583,121.933,92.817,236.217,216.767,278.9,149.617,113.95,143.5,362.967,297.017,351.733,264.9,123.233,219.367,266.617,109.183,75.117,156.383,291.083,85.883,305.567,63.05,232.433,346.367,191.333,238.383,263.467,315.15,250.033,237.85,355.433,199.6,37.1,146.8,333.533,162.783,370.3,67.933,207.883,219.567,181.633,157.533,250.567,192.25,130.517,277,348.55,109.317,142.467,230.9,134.683,256.95,189.167,235.2,44.083,226.917,274.717,146.2,68.217,153.617,0,239.683,251.483,96.483,143.25,41.8,334.35,98.1,99.167,235.1,46.767,112.267
"Vermilion",200.817,162.8,81.483,243.417,100.583,186.217,113.117,48.217,204.6,83.45,137.983,203.067,106.933,115.3,71.217,191.183,197.35,47.983,108.217,216.75,74.233,190.2,28.283,159.6,74.233,123.767,99.2,174.6,257.767,197.933,143.433,185.433,276.433,256.983,199.533,193.917,173.967,114.167,209.217,132.283,197.983,174.633,309.1,134.917,185.633,141.65,210.033,186.733,137.333,171.317,88.4,200.183,146.667,192.617,106.217,174.717,154.717,161.4,32.867,84.1,201.683,231.367,249.533,127.05,218.65,231.883,219.233,221.033,44.05,85.817,239.45,150.7,207.483,86.067,147.217,123.25,194.8,182.4,116.55,87.1,230.367,134.117,101.467,220,216.217,94.6,165.967,183.817,254.083,138.917,240.533,0,25.1,282.35,150.633,224.383,163.933,245.75,158.7,149.5,232.633,140.6
"Wabash",211.95,171.25,54.5,254.55,111.717,197.35,91.15,59.967,215.733,94.583,125.067,182.25,86.133,126.45,67.883,202.333,208.483,25.183,119.35,227.9,53.417,201.333,40.033,170.733,53.417,134.9,110.333,181.833,268.9,170.967,154.583,196.583,283.7,268.133,178.717,205.067,185.1,127.833,188.4,111.483,177.183,153.833,320.233,122,164.817,152.8,221.167,197.867,116.517,182.467,61.417,211.333,125.85,171.817,113.667,153.917,133.917,140.583,5.883,63.283,180.867,242.5,260.667,138.2,197.85,243.017,192.25,232.183,52.383,82.467,250.6,161.833,215.917,97.2,158.35,102.45,173.983,193.55,127.683,69.683,241.5,113.3,112.6,228.433,227.367,86.8,145.167,194.95,265.217,150.05,251.683,24.983,0,293.483,161.783,235.517,136.95,256.883,169.833,128.683,243.767,151.75
"Warren",118.75,238.983,340.367,91.433,206.367,135.833,333.55,251.983,180.533,210.683,245.9,302.017,301.117,193.25,251.133,135.583,142.383,284.433,196.55,101.45,269.7,151.133,263.35,157.45,269.7,202.333,222.283,250.783,68.8,403.3,155.017,146.9,220.05,200.6,313.283,133.45,148.15,218.517,404.683,338.717,393.45,297.983,34.367,252.467,299.7,184.217,135.833,140.217,335.983,118.983,347.283,96.15,265.533,388.083,224.433,271.467,296.567,356.867,291.75,279.567,397.15,183.433,130.333,179.9,366.633,146.617,412.017,128.267,249.583,252.667,165.467,168.55,252.75,229.4,167.9,313.383,390.267,139.183,175.55,272.617,118.517,290.05,222.267,219.05,74.817,260.017,307.817,158.7,37.617,186.717,96.767,281.4,293.2,0,176.333,116.833,376.067,66.85,174.183,268.2,55.05,145.367
"Washington",95.217,90.983,208.783,137.817,74.783,68.917,201.983,120.4,79.283,79.1,97.9,153.283,169.55,61.683,119.567,143.7,140.333,152.867,64.983,111.167,138.133,103.9,131.783,29.183,138.133,77.2,99.033,102.783,127.333,271.717,27.1,95.467,150.1,130.65,164,63.5,47.033,129.217,273.1,207.15,261.883,150,181.85,106.95,151.717,113.633,107.617,56.317,188,65.717,215.717,94.6,117.533,256.517,92.867,123.467,148.567,225.3,160.167,147.983,265.583,113.45,176.7,48.333,218.633,101.45,280.433,126.567,118.017,121.1,109.033,20.817,135.667,97.817,49.867,180.55,258.7,58.917,43.983,141.033,99.933,142.05,90.7,107.2,110.617,128.433,159.817,50.617,148.483,28.9,143.15,149.817,161.617,176.75,0,149.233,244.5,119.4,126.217,120.2,127.033,35.017
"Wayne",68.183,203.033,283.05,67.2,149.433,114.083,276.25,195.117,203.933,153.817,209.95,265.333,243.8,157.3,193.833,54.483,56.7,227.133,160.6,45.4,212.383,57.033,206.05,166.267,212.383,122.3,131.667,214.833,120.183,345.983,129.667,76.9,243.45,224.017,276.033,156.867,121.683,127.9,347.367,281.417,336.15,262.033,145.967,216.517,263.75,93.6,53.117,163.633,275.483,93.617,289.983,62.45,229.583,330.783,188.483,235.517,260.617,299.55,234.433,222.25,339.85,206.85,57.2,143.95,330.683,170.033,354.7,41.367,192.283,206.55,188.883,156.85,247.7,176.65,111.433,261.417,332.95,117.05,139.6,215.3,141.917,254.1,186.317,237.433,66.817,222.8,271.867,153.95,90.95,150.767,43.65,224.083,235.883,119.217,150.983,0,318.767,105.35,83.567,232.25,69.5,120
"White",298.033,201.317,85.35,340.65,197.8,283.45,62.133,188.783,279.233,180.667,177.083,182.5,86.35,214.733,147.533,288.417,294.567,125.1,205.45,313.983,116.233,287.417,168.85,253.6,116.233,220.983,196.433,203.267,351.767,46.583,240.667,282.667,289.467,292.65,178.967,287.933,271.2,247.117,107.467,49.617,98.367,154.067,406.333,174.017,165.067,238.883,307.25,280.733,93.683,268.55,75.117,297.417,138.933,96.633,181.167,165.5,123.417,69.233,130.65,108.583,102.067,285.15,346.767,224.283,140.683,325.883,56.017,318.267,151.267,154.283,333.467,244.7,237.25,183.3,244.433,109.583,106.967,279.633,213.783,131.933,324.367,125.8,191.15,251.15,313.45,149.05,121.85,277.817,351.317,236.15,337.767,160.717,134.6,379.567,247.867,321.6,0,342.983,255.933,141.983,329.867,237.833
"Whiteside",85.133,182.033,302.4,93.667,168.4,71.967,295.6,214.017,115.017,172.717,188.95,236.5,263.167,155.3,213.183,120.05,118.117,246.483,158.6,66.467,231.75,116.183,225.4,91.95,231.75,164.383,190.833,193.833,15.617,365.333,117.067,108.35,154.55,135.1,247.767,67.95,84.283,187.033,366.717,300.767,355.5,241.033,80.583,198,247.117,152.733,100.867,74.717,279.033,81.25,309.333,61.817,208.583,350.133,186.483,214.517,239.617,318.917,253.8,241.617,359.2,117.933,132.55,141.95,309.683,81.117,374.05,93.283,211.633,214.717,99.967,103.033,187.233,191.433,129.95,271.6,352.317,75.317,137.6,234.65,53.017,233.1,184.317,153.533,66.467,222.05,250.867,93.2,65.65,128.25,99,243.45,255.233,66.283,119.233,104.55,338.117,0,142.7,211.25,85.25,107.417
"Will",98.017,171.583,218.2,122.683,91.333,109.15,211.4,130.267,183.217,88.967,157.683,233.867,178.95,123.233,128.983,49.783,55.933,162.283,115.9,88.9,147.533,49.933,141.2,138.217,147.533,78.067,66.817,183.367,157.233,281.133,104.783,56.717,255.1,235.667,244.583,170.95,117.383,63.05,282.517,216.567,271.3,230.583,201.433,161.033,232.3,28.75,70.9,165.35,210.633,89.183,225.133,106.65,198.117,265.933,133.017,204.067,228.033,234.7,169.583,157.4,275,217.383,108.117,116.4,291.967,184.117,289.85,79.633,127.433,141.7,202.967,129.317,216.25,111.8,83.9,196.567,268.1,112.117,112.067,150.45,155.633,207.417,124.267,209.9,111.167,157.95,239.283,146.833,146.417,123.217,99.133,159.233,171.033,174.683,125.15,82.967,253.917,142.4,0,200.783,124.983,95.133
"Williamson",186.817,68.65,165.483,229.417,139.45,170.55,152.083,166.3,146.567,124.2,59.7,82.383,111.483,102.8,120.867,221.317,217.933,114.383,115.95,202.767,84.317,181.5,158.1,120.933,84.317,150.317,140.4,70.6,219.1,169.883,129.45,173.083,181.117,174.75,78.85,155.267,154.667,191.083,171.283,136.633,160.05,53.95,273.617,54.95,64.933,182.867,197.667,148.067,78.25,157.317,165.983,186.2,3.567,154.683,82.167,40.917,37.75,123.467,128.483,89.733,163.75,157.883,259.933,94.317,107.817,193.217,178.6,214.567,129.217,114.05,200.8,112.033,113.333,119.55,133.217,79.383,156.867,160.567,107.267,102.25,191.7,31.233,98.35,123.883,202.217,90.083,49,145.15,240.083,103.733,234.75,149.967,129.933,268.35,117.733,231.95,142.667,211.167,199.9,0,218.633,126.617
"Winnebago",68.083,188.317,289.683,40.767,155.683,88.767,282.867,201.3,179.117,160,195.217,250.6,250.433,142.583,200.467,84.9,91.7,233.767,145.883,50.767,219.017,100.45,212.683,140.95,219.017,151.667,171.617,200.1,88.9,352.617,104.35,96.217,218.633,199.183,261.317,132.033,96.367,167.833,354,288.05,342.783,247.317,82.167,201.783,249.033,133.533,85.167,138.8,285.317,68.3,296.617,45.467,214.85,337.417,173.767,220.8,245.883,306.183,241.067,228.883,346.467,182.017,79.65,129.217,315.95,145.2,361.333,77.583,198.917,201.983,164.05,139.95,232.983,178.717,117.233,262.7,339.583,91.733,124.883,221.933,117.1,239.367,171.583,217.633,24.133,209.333,257.133,128.633,27.15,136.033,46.083,230.717,242.517,55.4,125.667,66.15,325.383,80.517,123.5,217.517,0,94.683
"Woodford",63.5,97.983,199.367,106.1,65.367,48.9,192.55,110.983,105.717,69.683,104.9,160.283,160.117,52.267,110.133,112.917,109.533,143.45,55.567,79.433,128.7,73.1,122.35,57.767,128.7,59.283,87.783,109.783,123.267,262.3,9.65,64.683,177.6,158.15,171,92.083,36.65,100.167,263.683,197.733,252.45,157,171.783,111.467,158.717,82.833,75.9,84.9,195,34,206.3,62.867,124.533,247.1,83.433,130.483,155.567,215.867,150.75,138.567,256.15,139.883,144.983,38.9,225.633,130.033,271.017,94.833,108.6,111.667,137.617,49.4,142.667,88.4,23.667,172.383,249.267,45.083,34.567,131.617,103.883,149.05,81.267,132.4,78.9,119.017,166.817,60.117,116.767,45.717,111.417,140.4,152.2,145.017,35.35,117.517,235.067,108.433,95.417,127.2,95.317,0
