"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Caguas",73.4,118.75,111.133,14.167,46.45,116.9,66,51.35,53.867,62.667,31.917,107.267,0,76.4,42.983,36.867,31.05,20.433,45.433,64.25,29.367,55.15,45.6,54.5,-1,39.767,49.55,71.117,80.6,45.633,69.933,23.167,13.233,73.25,96.767,26.217,96.65,98.867,50.817,16.45,100.9,92.467,132.917,24.217,48.25,55.75,52.783,118.167,50.967,106.217,115.117,62.3,39.783,52.4,86.433,56.9,72.5,62.617,85.517,129.667,44.883,85.083,38.767,92.133,30.05,18.083,112.3,50.017,42.1,37.967,28.583,88.683,44.233,46.45,-1,63.317,38.017,74.767
"Camuy",62.35,47.467,39.85,79.917,118.533,56.767,18.633,123.083,27.683,99.917,55.783,77.55,76.05,0,77.917,71.783,55.65,88.733,104.833,45.017,97.667,110.117,87.15,59.717,-1,49.3,96.7,42.117,93.483,117.367,98.25,61.617,78.1,5.8,70.35,91.083,25.367,79.483,88.883,81.317,85.783,40.617,68.667,89.083,83.717,91.217,33.217,91.367,115.833,62.3,43.833,49.017,104.65,74.55,73.417,125.2,97.75,83.25,14.233,61.117,80.367,84.817,102.967,81.367,64.667,84.483,48.25,104.267,49.467,48.5,71.767,40.433,41.15,38.817,-1,101.383,102.883,94.65
"Canovanas",108.567,119.95,112.333,46.767,81.617,129.25,67.183,86.517,55.067,86.267,33.1,142.433,42.9,77.6,0,8.433,32.233,55.6,36.583,65.433,64.533,90.317,66.433,55.7,-1,40.967,28.467,72.3,115.767,80.783,105.1,32.65,38.883,74.45,131.933,44.767,97.85,117.683,85.983,35.017,136.067,93.65,134.117,42.783,11.95,22.967,53.983,146.8,69.517,134.783,116.317,63.483,43.8,53.583,87.883,89.383,107.667,97.767,86.717,133.6,11.833,120.233,73.917,127.3,26.55,45.7,113.483,85.183,43.283,39.15,20.6,89.867,45.433,47.633,-1,98.483,56.583,109.917
"Carolina",104.55,115.933,108.317,42.75,77.6,125.233,63.167,82.5,51.05,82.25,29.083,138.417,38.883,73.583,11.167,0,28.217,51.583,43.5,61.417,60.517,86.3,62.417,51.683,-1,36.95,35.367,68.283,111.75,76.767,101.083,28.633,40.933,70.433,127.917,52.467,93.833,113.667,81.967,42.717,132.05,89.633,130.1,50.483,18.85,29.883,49.967,142.783,77.217,130.767,112.3,59.467,50.717,49.567,83.867,88.05,103.65,93.75,82.7,129.583,18.75,116.217,69.9,123.283,22.533,47.317,109.467,81.167,39.267,35.133,16.75,85.85,41.417,43.617,-1,94.467,64.283,105.9
"Catano",90.317,98.467,90.85,36,70.85,107.767,45.717,75.75,33.583,64.967,11.8,128.55,32.133,56.117,34,27.867,0,44.817,60.917,43.967,53.75,79.533,45.133,34.217,-1,19.483,52.783,50.833,104.983,70.017,94.333,17.7,34.183,52.967,121.35,47.167,76.367,96.2,75.2,37.4,125.283,72.183,112.65,45.167,39.8,47.3,32.5,125.333,71.917,113.3,94.833,42.017,60.733,32.283,66.4,81.283,96.883,87,65.233,112.117,36.45,109.467,63.15,116.533,20.75,40.567,92.017,74.4,21.817,17.683,27.85,68.4,23.95,26.167,-1,87.717,58.967,99.15
"Cayey",63,117.767,120.383,28.167,31.783,106.5,80.1,40.95,67.983,46.117,46.017,96.867,21.233,90.517,57.1,50.967,45.15,0,60.583,78.35,17.917,44.75,33.967,68.617,-1,53.883,64.683,85.217,70.2,35.217,59.533,37.267,28.367,87.367,86.367,41.35,110.767,88.467,40.417,31.583,90.5,109.517,128.6,39.35,62.367,69.85,66.9,107.767,62.517,95.817,121.05,76.4,54.917,57.283,69.867,47.8,62.1,52.2,99.633,119.25,59,74.667,28.35,81.733,44.15,37.033,129.35,39.617,56.2,52.067,42.7,90.333,58.35,60.55,-1,52.917,53.15,64.35
"Ceiba",113.85,147.517,139.883,52.067,86.9,156.817,94.75,70.633,82.617,108.483,60.667,147.717,46.6,105.15,36.117,41.867,59.8,60.883,0,93,69.817,95.6,83.5,83.267,-1,68.533,8.567,99.867,121.05,75.667,110.383,57.283,37.95,102,137.217,23.517,125.417,139.317,91.267,32.617,141.35,121.217,161.683,29.117,39.367,15.317,81.533,158.617,44.95,146.683,143.867,91.05,12.917,81.15,115.45,64.8,112.95,103.067,114.267,161.15,28.9,125.533,79.217,132.583,54.117,44.883,141.05,90.467,70.85,66.717,47.383,117.433,72.983,75.2,-1,103.767,32,115.217
"Ciales",83.583,88.217,80.583,68.067,86.35,97.517,35.45,107.817,23.317,67.733,43.933,118.3,64.2,45.85,66.067,59.95,43.8,76.9,93,0,85.833,84.883,75.3,40.983,-1,37.467,84.867,26.4,118.183,102.083,107.533,49.783,66.25,42.7,111.083,79.233,66.117,54.317,83.283,69.483,126.517,61.917,102.383,77.233,71.883,79.367,17.233,115.067,103.983,103.033,84.567,16.833,92.817,62.717,41.217,113.367,110.083,100.2,54.967,101.85,68.517,122.667,103.4,122.1,52.833,72.633,81.75,104.717,37.633,36.65,59.917,61.667,29.3,27.117,-1,70.683,91.033,112.35
"Cidra",75.533,130.3,133.033,21.05,29.583,119.033,87.9,53.483,75.767,42.933,53.817,109.4,29.033,98.3,64.9,58.767,52.95,16.117,68.367,86.15,0,55.067,18.783,62.833,-1,61.683,72.483,93.017,82.733,47.75,72.067,45.067,36.167,95.15,98.9,49.15,118.567,101,52.95,39.383,103.033,114.367,141.133,47.15,70.15,77.65,74.683,120.3,73.9,108.35,133.583,77.75,62.717,42.083,68.65,60.333,74.633,64.733,107.417,131.783,66.8,87.2,40.883,94.267,51.95,44.833,134.2,52.15,56.917,59.867,50.483,102.867,66.133,68.35,-1,65.45,60.95,76.883
"Coamo",50.85,105.617,108.233,60.817,25.983,94.367,96.883,46.35,95.9,35.75,78.683,84.733,53.883,108.05,89.75,83.617,77.8,43.85,93.233,84.967,55.267,0,60.717,78.683,-1,86.533,97.333,108.083,58.05,40.617,47.4,69.917,61.017,104.9,74.233,74,128.3,76.333,27,64.233,78.367,97.383,116.467,72,95.017,102.5,94.817,95.633,67.917,83.683,108.917,72.317,87.583,70.733,45.483,53.2,49.95,40.067,117.167,107.117,91.65,62.533,26.217,69.6,76.8,69.683,117.217,26.933,92.25,84.717,75.35,78.2,94.867,92,-1,29.267,84.15,52.217
"Comerio",92.817,130.267,122.633,28.717,36.417,136.317,77.5,70.767,65.383,26.3,39.467,126.683,41.9,87.9,67.3,61.167,44.783,33.4,81.017,75.75,19.233,61.883,0,44.05,-1,51.3,85.133,82.617,100.017,65.033,89.35,47.983,48.817,84.75,116.183,61.8,108.167,109.967,70.233,52.033,120.317,103.967,144.433,59.8,73.1,80.6,64.283,137.583,86.55,125.633,126.617,59.833,75.367,23.3,52.017,77.617,91.917,82.033,97.017,143.9,69.733,104.5,58.183,111.55,54.05,55.2,123.8,69.433,38.133,49.483,61.15,100.183,53.917,57.95,-1,75.067,73.6,94.167
"Corozal",96.1,104.267,96.633,57.7,64.8,113.567,51.5,97.433,39.367,42.567,33.733,134.35,53.833,61.9,55.7,49.567,33.433,66.517,82.617,41.25,61.5,78.15,44.317,0,-1,26.783,74.483,56.617,130.483,91.717,119.817,39.4,55.883,58.75,127.133,68.867,82.167,92.083,100.7,59.1,142.567,77.967,118.433,66.867,61.5,69,38.283,131.117,93.6,119.083,100.617,26.767,82.433,23.283,51.933,102.983,122.383,112.483,71.017,117.9,58.133,134.95,84.85,138.15,42.45,62.267,97.8,99.367,23.517,24.983,49.55,74.183,22.95,30.85,-1,89.267,80.667,124.633
"Culebra",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dorado",83.4,91.567,83.933,44.083,78.933,100.867,38.8,83.833,26.667,69.367,19.95,121.65,40.217,49.2,42.083,35.95,19.817,52.9,69,37.05,61.833,87.617,51.467,26.75,-1,0,60.883,43.917,113.067,78.1,102.417,25.8,42.267,46.05,114.433,55.25,69.467,89.283,83.283,45.483,129.867,65.267,105.733,53.25,47.883,55.383,25.583,118.417,80,106.383,87.917,35.1,68.817,39.433,59.5,89.367,104.967,95.083,58.317,105.2,44.533,117.55,71.233,125.45,28.85,48.65,85.1,82.483,14.35,4.917,35.933,61.483,17.033,19.25,-1,95.8,67.05,107.233
"Fajardo",116.267,140.583,132.967,54.483,89.333,149.883,87.833,73.067,75.7,106.917,53.75,150.133,49.017,98.233,29.183,34.95,52.883,63.3,8.117,86.067,72.233,98.017,85.917,76.333,-1,61.6,0,92.933,123.467,78.1,112.817,53.3,40.367,95.083,139.65,25.933,118.483,138.317,93.683,35.033,143.767,114.3,154.75,31.533,32.433,8.383,74.617,161.05,47.367,149.1,136.95,84.133,15.333,74.233,108.517,67.233,115.367,105.483,107.35,154.233,21.983,127.95,81.633,135.017,47.2,47.317,134.133,92.883,63.933,59.8,40.45,110.517,66.067,68.283,-1,106.2,34.417,117.633
"Florida",72.517,83.733,76.117,72.783,109.383,93.033,30.983,112.533,20.55,90.767,48.65,113.817,68.917,41.383,70.783,64.65,48.517,81.6,97.7,25.967,90.533,107.917,80.017,52.583,-1,42.167,89.583,0,120.05,106.8,109.383,54.5,70.967,38.233,106.617,83.95,61.633,50.65,94.1,74.183,122.05,57.45,97.917,81.95,76.583,84.083,23.767,110.6,108.7,98.567,80.1,39.867,97.517,67.417,64.267,118.067,107.9,93.417,50.5,97.383,73.233,121.083,99.933,117.633,57.55,77.35,77.283,114.433,42.35,41.367,64.633,50.6,34.017,31.7,-1,81.5,95.75,114.2
"Guanica",54.333,59.267,61.883,89.817,81.583,48,100.35,75.35,109.967,91.35,107.667,38.367,82.883,95.333,118.75,112.617,106.8,72.85,122.217,120.9,88.517,62.367,104.55,134.283,-1,115.533,126.333,121.083,0,69.617,15.85,98.917,90.017,93.967,27.867,103,79.15,79.8,41.133,93.233,20.417,97.217,70.1,101,124,131.5,115.5,49.267,96.917,37.317,62.55,129.2,116.567,126.333,102.367,82.2,27.1,32.25,82.917,60.75,120.65,16.167,55.217,23.233,105.8,98.683,79.6,55.267,117.85,113.717,104.333,81.667,119.983,121.1,-1,53.65,113.15,12.25
"Guayama",58.933,113.7,116.317,51.05,50.1,102.45,104.967,11.267,90.85,66.45,68.9,92.817,44.117,116.133,79.967,73.85,68.033,34.067,76.65,101.233,49.733,40.683,65.783,91.483,-1,76.75,80.75,108.1,66.133,0,55.483,60.15,51.233,112.983,82.317,63.967,136.383,84.417,36.35,54.467,86.45,105.467,124.55,62.233,85.233,87.5,89.767,103.717,32.833,91.767,117,107.533,71,89.083,80.683,18.117,58.033,48.15,125.25,115.2,81.867,70.617,24.3,77.683,67.033,59.9,125.3,35.55,79.083,74.95,65.567,86.283,81.217,83.433,-1,48.867,49.05,60.3
"Guayanilla",41.5,62.283,64.9,77,68.767,51.017,87.533,62.517,97.15,78.517,94.85,41.383,70.067,98.683,105.917,99.8,93.983,60.017,109.4,108.067,75.683,49.55,91.733,121.467,-1,102.7,113.5,108.267,14.717,56.783,0,86.1,77.183,95.533,30.883,90.167,82.167,66.967,28.317,80.417,35.017,88.033,73.117,88.183,111.183,118.683,102.683,52.283,84.083,40.333,65.567,116.383,103.75,113.5,89.533,69.383,14.283,19.417,85.933,63.767,107.817,19.183,42.383,26.25,92.983,85.85,82.617,42.433,105.033,100.9,91.517,68.85,107.167,108.283,-1,40.817,100.317,8.867
"Guaynabo",88.467,104.4,96.767,23.417,61.517,113.7,51.633,66.417,39.5,68.667,17.233,122.333,22.8,62.033,32.317,26.183,16.683,35.5,56.5,49.883,44.433,70.217,48.833,40.15,-1,25.417,51.117,56.75,95.667,60.7,85,0,24.3,58.883,111.833,37.283,82.3,102.117,65.883,27.517,115.967,78.1,118.567,35.283,38.117,45.617,38.417,133.233,62.017,119.217,100.75,47.933,50.85,35.983,72.333,71.967,87.567,77.683,71.15,118.033,34.767,100.15,53.833,107.2,19.15,30.683,97.933,65.083,27.733,23.6,20.85,74.317,29.867,32.083,-1,78.383,49.083,89.833
"Gurabo",81.067,120.4,112.783,19.283,54.117,124.567,67.65,59.017,55.517,75.7,33.567,114.933,13.817,78.05,39.067,38.5,32.683,28.1,37.583,65.883,37.033,62.817,50.717,56.15,-1,41.417,41.683,72.75,88.267,53.3,77.6,24.5,0,74.9,104.433,18.35,98.3,106.533,58.483,8.583,108.567,94.1,134.567,16.35,46.817,48.433,54.433,125.833,43.1,113.883,116.767,63.95,31.933,54.033,88.333,62.617,80.167,70.283,87.167,134.05,46.717,92.75,46.433,99.8,31.683,16.467,113.933,57.683,43.75,39.6,30.933,90.317,45.883,48.083,-1,70.983,30.15,82.433
"Hatillo",58.75,47.333,39.717,76.3,114.933,56.65,15.017,119.483,24.083,96.3,52.167,77.433,72.433,5.817,74.3,68.183,52.033,85.133,101.233,41.4,94.067,106.5,83.533,56.1,-1,45.7,93.1,38.5,93.367,113.75,95.617,58.017,74.483,0,70.217,87.467,25.233,75.867,85.283,77.717,85.65,37.017,69,85.467,80.117,87.6,29.617,91.717,112.217,62.167,43.7,45.417,101.05,70.95,69.8,121.6,94.133,79.65,14.1,60.983,76.75,84.683,99.35,81.233,61.067,80.867,48.6,100.667,45.867,44.883,68.15,36.833,37.533,35.217,-1,97.783,99.267,94.533
"Hormigueros",69.85,34.033,36.65,105.35,97.117,22.783,82.933,90.867,92,106.883,120.083,14.067,98.417,70.1,134.267,128.15,119.95,88.367,137.75,109.317,104.033,77.9,120.083,124.017,-1,113.617,141.867,106.417,26.617,85.15,31.367,114.45,105.55,68.733,0,118.533,53.917,95.333,56.667,108.767,17.9,71.983,51.6,116.533,139.533,147.033,97.517,40.833,112.433,12.1,37.317,113.317,132.1,138.867,117.883,97.733,42.633,47.767,57.683,35.533,136.183,17.95,70.733,14.5,121.333,114.217,54.367,70.8,113.783,112.8,119.867,97.2,105.45,103.133,-1,69.167,128.667,27.783
"Humacao",95.167,134.5,126.883,33.383,68.233,138.683,81.75,55.333,69.617,89.8,47.667,129.033,27.917,92.15,45.35,51.233,46.8,42.2,21.633,80,51.133,76.917,64.817,70.25,-1,55.517,25.733,86.867,102.367,60.367,91.717,38.617,19.267,89,118.55,0,112.4,120.65,72.583,13.933,122.667,108.217,148.683,10.433,53.1,32.483,68.533,139.95,29.633,128,130.867,78.05,15.983,68.15,102.433,49.5,94.267,84.383,101.267,148.15,46.083,106.85,60.533,113.917,45.8,26.217,128.05,71.783,57.85,53.717,44.033,104.433,59.983,62.2,-1,85.1,16.7,96.533
"Isabela",82.4,31.583,23.95,99.967,138.583,40.883,38.683,143.133,47.733,119.967,75.833,61.667,96.083,25.85,97.95,91.833,75.683,108.783,124.883,65.05,117.717,130.167,107.183,79.75,-1,69.35,116.75,62.15,77.6,137.4,82.35,81.667,98.133,24.467,54.45,111.117,0,99.533,108.933,101.367,69.883,58.95,63.6,109.133,103.767,111.25,53.267,86.317,135.867,46.417,27.933,69.067,124.7,94.6,93.45,145.25,93.617,98.75,13.417,45.217,100.4,68.933,123,65.467,84.717,104.533,41.2,121.767,69.517,68.533,91.8,60.483,61.2,58.867,-1,121.433,122.933,78.767
"Jayuya",39.167,122.433,114.817,106.583,92.333,115.217,68.917,92.117,75.683,78.633,96.3,105.583,99.667,80.083,118.417,112.3,96.15,89.617,139,55,105.283,79.15,103.783,91.733,-1,89.817,137.217,51.533,78.917,86.383,68.25,102.133,106.783,76.933,95.083,119.767,100.333,0,57.917,110.017,99.217,85.7,126.167,117.767,124.233,131.717,69.583,116.483,113.683,104.533,121.833,67.583,133.35,115.067,68.783,98.967,69.183,52.283,89.2,127.967,120.867,83.4,71.983,90.45,105.183,115.45,105.533,73.3,89.983,89,112.267,41.567,81.667,79.467,-1,50.633,129.917,73.067
"Juana Diaz",30.3,85.067,87.683,57.317,49.083,73.8,76.333,42.85,85.933,58.85,75.167,64.167,50.383,87.483,86.25,80.117,74.3,40.35,89.717,81.783,56.017,29.1,72.05,101.783,-1,83.033,93.833,93.4,37.5,37.117,26.833,66.417,57.517,84.333,53.667,70.5,107.733,55.767,0,60.733,57.8,76.833,95.917,68.5,91.5,99,96.367,75.067,64.417,63.117,88.35,89.383,84.067,93.833,62.533,49.7,29.4,19.517,96.6,86.55,88.15,41.983,22.717,49.033,73.3,66.183,96.667,24.017,85.35,81.217,71.833,57.633,87.483,89.7,-1,14.533,80.65,31.65
"Juncos",85.367,124.7,117.083,23.583,58.417,128.867,71.933,62.467,59.817,79.983,37.85,119.233,18.117,82.35,35.55,41.417,36.983,32.4,31.25,70.183,41.333,67.117,55.017,60.45,-1,45.717,35.35,77.05,92.567,57.583,81.9,28.8,9.467,79.2,108.733,12.017,102.6,110.833,62.783,0,112.867,98.4,138.867,10.017,43.283,42.1,58.733,130.133,36.767,118.183,121.067,68.233,25.6,58.333,92.633,56.633,84.467,74.583,91.467,138.35,43.183,97.05,50.733,104.1,35.983,14.6,118.233,61.983,48.033,43.9,34.217,94.617,50.183,52.383,-1,75.283,23.817,86.717
"Lajas",73.817,50.283,52.9,109.317,101.083,39.033,99.183,94.833,108.25,110.833,127.167,19.067,102.383,86.35,138.233,132.117,126.3,92.333,141.717,125.567,108,81.867,124.05,140.267,-1,129.867,145.817,122.667,20.683,89.1,35.333,118.417,109.5,84.983,18.4,122.483,70.167,99.283,60.633,112.733,0,88.233,62.083,120.5,143.5,151,113.767,44.3,116.4,28.35,53.567,129.567,136.067,145.817,121.85,101.7,46.6,51.733,73.933,51.783,140.133,21.917,74.7,9.6,125.3,118.167,70.617,74.75,130.033,129.05,123.833,101.167,121.7,119.383,-1,73.133,132.633,31.75
"Lares",50.433,48.7,46.383,95.5,120.083,58.767,33.767,113.833,43.267,115.5,71.35,79.55,91.617,41.283,93.483,87.367,71.217,104.317,120.417,60.583,113.25,100.867,102.717,75.283,-1,64.883,112.283,57.683,95.483,108.1,89.967,77.2,93.667,38.133,72.35,106.65,56.3,87.733,79.633,96.9,87.783,0,41.017,104.667,99.3,106.783,48.8,53.7,135.4,64.3,36.7,64.6,120.233,90.133,88.983,120.7,86.2,74,46.583,62.35,95.933,78.267,93.7,83.367,80.25,100.05,20.4,95.017,65.05,64.067,87.333,48.683,56.733,54.4,-1,92.133,118.467,90.983
"Las Marias",90.133,54.433,52.1,135.2,140.7,37.4,73.467,134.467,82.967,150.467,111.067,58.667,131.333,67.5,133.2,127.067,110.933,131.967,160.117,100.283,147.633,121.5,142.417,115,-1,104.583,151.983,97.383,70.217,128.733,74.967,116.9,133.383,67,51.45,146.367,62.017,127.433,100.267,136.6,62.483,40.267,0,144.367,139,146.5,88.5,22.7,156.033,40.033,42.433,104.3,159.933,129.833,128.683,141.317,86.233,91.367,64.9,56.617,135.633,56.3,114.333,53.717,119.95,139.767,22.233,114.383,104.75,103.767,127.05,88.383,96.433,94.1,-1,112.767,158.167,71.383
"Las Piedras",91.767,131.1,123.483,29.983,64.833,135.283,78.35,60.383,66.217,86.4,44.267,125.65,24.517,88.75,41.95,47.833,43.4,38.8,29.167,76.6,47.733,73.517,61.417,66.85,-1,52.133,33.283,83.467,98.967,65.433,88.317,35.217,15.867,85.6,115.15,9.95,109,117.25,69.183,10.533,119.283,104.817,145.283,0,49.7,40.033,65.133,136.55,34.7,124.6,127.467,74.65,23.517,64.75,99.05,54.55,90.867,80.983,97.867,144.75,49.6,103.45,57.133,110.517,42.4,22.25,124.65,68.383,54.45,50.317,40.633,101.033,56.583,58.8,-1,81.7,21.75,93.133
"Loiza",114.85,126.583,118.967,53.05,87.9,135.9,73.833,92.8,61.7,92.917,39.75,148.717,49.183,84.233,11.05,16.817,38.883,61.883,40.433,72.083,70.817,96.6,73.083,62.333,-1,47.617,32.317,78.95,122.05,87.067,111.383,39.3,46.733,81.083,138.217,52.633,104.483,124.317,92.267,42.867,142.35,100.3,140.767,50.633,0,26.817,60.617,153.45,77.383,141.417,122.95,70.133,47.65,60.233,94.533,97.233,113.95,104.067,93.35,140.233,15.633,126.533,80.217,133.583,33.2,53.55,120.133,91.467,49.933,45.8,26.45,96.517,52.067,54.283,-1,104.767,64.433,116.2
"Luquillo",122.367,134.1,126.483,60.567,95.417,143.417,81.35,81.5,69.217,100.433,47.267,156.233,56.7,91.75,22.717,28.467,46.4,69.4,16.567,79.6,78.333,104.117,80.6,69.85,-1,55.133,8.433,86.467,129.567,86.533,118.9,46.817,48.817,88.6,145.733,34.383,112,131.833,99.783,43.467,149.867,107.817,148.283,39.983,25.967,0,68.133,160.967,55.8,148.933,130.467,77.65,23.767,67.75,102.05,75.667,121.467,111.583,100.867,147.75,15.5,134.05,87.733,141.1,40.717,55.75,127.65,98.983,57.45,53.317,33.967,104.033,59.583,61.8,-1,112.283,42.867,123.717
"Manati",67.583,75.733,68.117,56.883,95.517,85.033,22.983,96.633,8.5,76.883,32.75,105.817,53.017,33.383,54.883,48.767,32.617,65.717,81.817,17.167,74.65,94.05,64.117,36.683,-1,26.283,73.683,21.05,115.1,90.9,104.45,38.6,55.067,30.233,98.617,68.05,53.633,69.417,98.383,58.283,114.05,49.45,89.9,66.05,60.7,68.183,0,102.583,92.8,90.567,72.1,25.983,81.633,51.533,50.383,102.183,102.967,88.483,42.5,89.383,57.333,113.083,84.033,109.633,41.65,61.45,69.283,95.3,26.45,25.467,48.733,45.667,18.117,15.983,-1,85.783,79.85,109.267
"Maricao",96.767,66.967,69.583,128.417,120.183,48.267,84.45,113.933,93.95,129.933,122.05,52.133,121.483,88.333,144.167,138.05,121.9,111.433,160.817,111.267,127.1,100.967,143.15,125.967,-1,115.567,164.917,108.367,49.683,108.2,54.433,127.883,128.6,87.85,40.717,141.583,82.867,118.383,79.733,131.833,48.95,51.25,20.833,139.6,149.983,157.467,99.483,0,135.5,44.083,63.267,115.283,155.167,140.817,140.95,120.8,65.7,70.833,85.733,68.467,146.617,35.767,93.8,40.183,130.933,137.267,43.067,93.85,115.733,114.75,142.933,99.367,107.417,105.083,-1,92.233,151.733,50.85
"Maunabo",86.367,141.133,143.75,60.05,77.533,129.883,108.417,27.317,96.283,93.883,74.333,120.25,54.583,118.817,72.017,77.9,73.467,61.5,46.583,106.667,77.167,68.117,91.483,96.917,-1,82.2,50.7,113.533,93.567,32.35,82.917,65.283,45.933,115.667,109.75,33.9,139.067,111.85,63.783,40.6,113.883,132.9,151.983,37.1,79.767,57.45,95.2,131.15,0,119.2,144.433,104.717,40.933,94.817,108.117,21.483,85.467,75.583,127.933,142.633,71.033,98.05,51.733,105.117,72.467,52.883,152.733,62.983,84.517,80.383,70.7,113.717,86.65,88.867,-1,76.3,16.617,87.733
"Mayaguez",79.417,26.217,28.833,114.917,106.683,14.95,75.117,100.433,84.167,116.45,112.267,20.25,107.983,62.283,134.4,128.267,112.133,97.933,147.317,101.483,113.6,87.467,129.65,116.2,-1,105.783,153.183,98.6,36.183,94.717,40.933,118.1,115.117,60.917,13.05,128.1,46.1,104.9,66.233,118.333,28.483,64.167,39.5,126.1,140.2,147.7,89.7,39.733,122.017,0,29.5,105.5,141.667,131.033,127.45,107.3,52.2,57.35,49.867,27.7,136.85,27.517,80.317,24.067,121.15,123.783,46.55,80.367,105.95,104.983,128.25,96.917,97.633,95.3,-1,78.733,138.233,37.35
