"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Rio Grande",112.483,124.217,116.6,50.683,85.533,133.533,71.467,90.433,59.333,90.55,37.383,146.35,46.817,81.867,10.917,16.683,36.517,59.517,30.667,69.717,68.45,94.233,70.717,59.967,-1,45.25,22.533,76.583,119.683,84.7,109.017,36.933,46.6,78.717,135.85,48.483,102.117,121.95,89.9,42.733,139.983,97.933,138.4,50.5,14.133,17.033,58.25,151.083,69.9,139.05,120.583,67.767,37.867,57.867,92.167,89.767,111.583,101.7,90.983,137.867,0,124.167,77.85,131.217,30.833,53.417,117.767,89.1,47.567,43.433,24.083,94.15,49.7,51.917,-1,102.4,56.967,113.833
"Sabana Grande",57.2,47.817,50.433,92.7,84.467,36.567,96.717,78.217,105.783,94.217,110.55,26.917,85.767,83.883,121.617,115.5,109.683,75.717,125.1,123.767,91.383,65.25,107.433,137.167,-1,118.4,129.2,120.2,13.967,72.483,18.717,101.8,92.883,82.517,16.417,105.867,67.717,82.667,44.017,96.117,20.55,85.767,53.917,103.883,126.883,134.383,111.317,33.083,99.783,25.883,51.1,132.083,119.45,129.2,105.233,85.083,29.983,35.117,71.467,49.317,123.517,0,58.083,11.783,108.683,101.55,68.15,58.133,120.733,116.6,107.217,84.55,119.233,116.917,-1,56.517,116.017,15.133
"Salinas",45.517,100.283,102.9,43.083,42.15,89.017,91.533,28.6,82.883,56.233,60.933,79.383,36.15,102.7,72,65.883,60.067,26.1,75.483,93.267,41.767,27.267,57.817,83.517,-1,68.8,79.6,100.133,52.717,22.883,42.05,52.183,43.283,99.55,68.883,56.267,122.95,70.983,22.933,46.5,73.017,92.033,111.117,54.267,77.267,84.767,81.8,90.283,50.167,78.333,103.567,94.1,69.833,81.133,67.25,35.467,44.617,34.717,111.817,101.767,73.917,57.183,0,64.25,59.067,51.95,111.867,16.333,71.117,66.983,57.6,72.85,73.25,75.467,-1,35.433,66.4,46.867
"San German",64.967,45.5,48.117,100.45,92.217,34.233,94.4,85.983,103.467,101.983,118.3,15.117,93.517,81.567,129.383,123.25,117.433,83.483,132.85,120.783,99.15,73,115.183,135.483,-1,125.083,136.967,117.883,21.717,80.25,26.483,109.55,100.65,80.2,13.45,113.633,65.383,90.433,51.767,103.867,8.75,83.45,53.217,111.633,134.633,142.133,108.983,35.45,107.55,23.55,48.783,124.783,127.2,136.967,113,92.833,37.733,42.883,69.15,47,131.283,13.05,65.85,0,116.433,109.317,65.833,65.9,125.25,124.267,114.967,92.3,116.917,114.6,-1,64.283,123.783,22.883
"San Juan",94.65,105.683,98.05,32.85,67.7,114.983,52.917,72.6,40.783,72,18.833,128.517,28.983,63.317,27.333,21.217,17.967,41.683,54.267,51.167,50.617,76.4,52.167,41.433,-1,26.7,46.133,58.033,101.85,66.867,91.183,18.25,31.033,60.167,118.017,44.017,83.583,103.4,72.067,34.25,122.15,79.383,119.85,42.017,33.15,40.633,39.7,132.533,68.767,120.5,102.033,49.217,57.6,39.317,73.617,78.15,93.75,83.85,72.433,119.317,29.783,106.317,60,113.383,0,37.417,99.217,71.267,29.017,24.883,24.7,75.6,31.15,33.367,-1,84.567,55.817,96
"San Lorenzo",90.35,127.133,119.5,26,63.417,133.867,74.367,65.967,62.233,82.417,40.283,124.217,18.017,84.767,45.867,45.233,39.417,37.383,43.267,72.617,46.317,72.1,57.433,62.867,-1,48.15,47.367,79.483,97.55,62.583,86.9,31.233,14.1,81.617,113.733,24.033,105.033,115.833,67.767,14.3,117.85,100.833,141.3,21.45,53.617,54.117,61.15,135.133,48.783,123.183,123.483,70.667,37.6,60.767,95.067,54.233,89.45,79.567,93.883,140.767,53.5,102.033,55.717,109.1,38.417,0,120.667,66.967,50.467,46.333,36.65,97.05,52.6,54.817,-1,80.283,35.833,91.717
"San Sebastian",71.367,32.95,30.633,116.433,141.017,41.95,54.7,134.783,64.217,136.433,92.3,63.8,112.567,48.9,114.433,108.317,92.167,125.267,141.35,81.533,134.183,121.8,123.667,96.233,-1,85.833,133.233,78.633,79.733,129.05,84.5,98.15,114.617,48.4,56.6,127.6,40.55,108.667,100.583,117.833,72.033,21.5,23.617,125.6,120.233,127.733,69.733,46.317,156.35,48.55,20.95,85.533,141.167,111.067,109.933,141.633,95.75,94.95,46.3,46.6,116.883,71.067,114.65,67.617,101.2,121,0,115.967,86,85.017,108.283,69.633,77.667,75.35,-1,113.083,139.4,80.9
"Santa Isabel",44.55,99.317,101.933,53.767,44.917,88.067,90.583,39.3,93.583,54.683,71.633,78.417,46.85,101.75,82.7,76.583,70.767,36.8,86.183,101.733,52.467,25.717,68.517,97.617,-1,79.483,90.283,111.317,51.75,33.567,41.1,62.883,53.967,98.6,67.933,66.95,122,70.017,21.967,57.2,72.05,91.083,110.167,64.95,87.967,95.45,92.5,89.333,60.867,77.383,102.617,92.55,80.533,89.667,65.7,46.15,43.65,34.683,110.867,100.817,84.6,56.233,16.683,63.283,69.767,62.633,110.917,0,81.817,77.667,68.3,71.9,83.95,86.167,-1,34.467,77.1,45.917
"Toa Alta",84.6,92.767,85.133,44.7,72.9,102.067,40,84.45,27.867,57.15,20.75,122.85,40.833,50.4,42.7,36.583,20.433,53.533,69.617,38.25,54.983,92.733,37.8,23.333,-1,13.8,61.5,45.117,113.683,78.717,103.033,26.417,42.883,47.25,115.633,55.867,70.667,90.483,83.917,46.1,131.067,66.467,106.933,53.867,48.5,56,26.783,119.617,80.617,107.583,89.117,36.3,69.433,27.217,60.7,90,105.583,95.7,59.517,106.4,45.15,118.167,71.85,126.65,29.467,49.267,86.3,83.117,0,11.983,36.55,62.683,16.417,20.45,-1,96.417,67.667,107.85
"Toa Baja",81.617,89.767,82.15,42.3,77.133,99.067,37.017,82.033,24.883,67.583,18.167,119.85,38.433,47.417,40.3,34.167,18.033,51.117,67.217,35.267,60.05,85.833,49.683,24.967,-1,5.417,59.083,42.133,111.283,76.317,100.633,24,40.483,44.267,112.65,53.467,67.667,87.5,81.5,43.7,128.083,63.483,103.933,51.467,46.1,53.6,23.8,116.617,78.2,104.6,86.133,33.317,67.033,37.633,57.7,87.583,103.183,93.3,56.533,103.417,42.733,115.767,69.45,123.667,27.05,46.867,83.317,80.7,12.567,0,34.15,59.7,15.25,17.467,-1,94,65.267,105.45
"Trujillo Alto",93.583,115.783,108.167,31.8,66.65,125.083,63.033,71.55,50.9,82.117,28.95,127.45,27.933,73.433,22.683,16.717,28.083,40.617,49.45,61.283,49.55,75.333,63.233,51.533,-1,36.8,41.317,68.15,100.783,65.817,90.133,21.183,29.417,70.283,116.967,42.4,93.683,113.517,71,32.633,121.083,89.5,129.95,40.4,28.333,35.833,49.817,138.367,67.15,126.417,112.15,59.333,55.967,49.433,83.717,77.083,92.683,82.8,82.55,129.433,24.967,105.267,58.95,112.317,26.3,35.8,109.333,70.2,39.133,35,0,85.717,41.267,43.483,-1,83.5,54.2,94.95
"Utuado",34.35,83.517,75.9,91.85,101.333,92.817,30,95.083,39.617,111.1,67.7,108.55,87.967,41.167,89.833,83.717,67.567,92.583,116.767,56.933,108.25,82.117,99.067,71.633,-1,61.233,108.633,50.733,81.883,89.367,71.233,73.55,90.017,38.017,98.05,103,61.417,42.117,60.883,93.25,102.183,48.783,89.233,101.017,95.65,103.133,45.15,101.917,116.65,98.35,84.917,60.95,116.583,86.483,85.333,101.95,69.75,55.25,50.283,97.167,92.283,86.367,74.95,93.417,76.6,96.4,68.617,76.267,61.4,60.417,83.683,0,53.083,50.75,-1,73.383,114.817,76.05
"Vega Alta",76.35,84.5,76.883,47.633,82.483,93.8,31.75,87.383,19.617,68.9,23.5,114.583,43.767,42.15,45.633,39.517,23.367,56.467,72.55,29.983,65.383,96.1,51.567,20.333,-1,17.033,64.433,36.85,116.617,81.65,105.967,29.35,45.817,39,107.383,58.8,62.4,82.233,86.85,49.033,122.817,58.217,98.667,56.8,51.433,58.933,18.533,111.35,83.55,99.333,80.867,28.05,72.367,38.967,52.433,92.933,108.517,97.25,51.267,98.15,48.083,121.85,74.783,118.4,32.4,52.2,78.05,86.05,13.9,16.417,39.483,54.433,0,11.083,-1,98.6,70.6,110.783
"Vega Baja",74.5,82.667,75.033,51.2,86.05,91.967,29.9,90.95,17.767,74.733,27.067,112.75,47.333,40.3,49.2,43.067,26.933,60.017,76.117,28.15,68.95,91.9,58.433,29.633,-1,20.583,67.983,35.017,122.033,85.217,111.367,32.9,49.383,37.15,105.533,62.367,60.567,80.383,90.4,52.6,120.967,56.367,96.833,60.367,55,62.5,16.683,109.517,87.117,97.483,79.017,23.85,75.933,45.833,48.233,96.483,109.9,95.4,49.417,96.3,51.65,120,78.35,116.55,35.95,55.767,76.2,89.6,20.75,19.783,43.05,52.583,11.067,0,-1,96.767,74.167,116.2
"Vieques",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
"Villalba",43.833,98.583,101.217,70.85,55.4,87.333,89.85,56.367,90.35,50.267,88.7,77.7,63.917,101.017,99.767,93.65,87.833,53.867,103.25,69.667,69.533,29.417,75.4,90.65,-1,104.483,107.367,81.283,51.017,50.65,40.367,79.95,71.05,97.867,67.2,84.033,121.267,56.967,16.117,74.267,71.333,90.35,109.433,82.033,105.033,112.533,84.25,88.6,77.933,76.65,101.883,74.85,97.6,82.683,48,63.233,42.917,33.033,110.133,100.083,101.683,55.5,36.233,62.567,86.833,79.717,110.183,37.55,104.65,94.75,85.367,71.167,96.333,94.133,-1,0,94.167,45.183
"Yabucoa",102.75,146.133,138.517,45.017,79.85,146.25,93.367,43.683,81.25,101.417,59.283,136.617,39.55,103.783,56.983,62.85,58.417,53.833,31.533,91.617,62.767,84.5,76.45,81.883,-1,67.15,35.65,98.483,109.95,48.717,99.283,50.233,30.9,100.633,126.117,18.867,124.033,128.217,80.167,25.567,130.25,119.833,160.3,22.067,64.717,42.4,80.167,147.517,17.15,135.567,142.5,89.667,25.883,79.767,114.067,37.85,101.85,91.967,112.9,159.783,55.983,114.433,68.117,121.483,57.417,37.833,139.667,79.367,69.467,65.333,55.65,116.05,71.617,73.817,-1,92.667,0,104.1
"Yauco",47.367,58.1,60.717,82.85,74.617,46.85,93.383,68.383,103,84.383,100.7,37.2,75.917,94.167,111.783,105.65,99.833,65.883,115.25,113.933,81.533,55.4,97.583,127.317,-1,108.567,119.367,114.117,10.533,62.65,8.883,91.95,83.05,92.8,26.7,96.033,77.983,72.833,34.167,86.267,30.833,89.667,68.95,94.033,117.033,124.533,108.533,48.1,89.95,36.167,61.383,122.233,109.6,119.367,95.4,75.233,20.133,25.283,81.75,59.6,113.683,15.017,48.25,22.067,98.833,91.717,78.433,48.3,110.883,106.75,97.367,74.7,113.017,114.133,-1,46.683,106.167,0
