"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Orocovis",83.593,127.925,121.475,50.26,26.574,141.771,69.139,75.552,48.353,15.975,65.453,131.432,65.726,83.081,97.253,91.035,66.763,44.736,137.321,27.888,42.937,28.351,32.081,31.277,-1,56.486,128.171,46.199,103.542,69.838,86.641,76.549,102.205,80.77,129.454,123.913,104.156,40.339,45.218,108.915,124.787,96.066,124.34,117.407,108.689,120.543,43.07,132.607,96.306,138.754,121.907,18.847,141.817,30.252,0,81.839,85.352,65.436,94.168,137.819,109.094,110.571,48.984,120.309,79.881,108.328,111.098,43.112,55.653,56.416,86.653,95.212,44.947,38.007,-1,29.572,137.762,94.118
"Patillas",93.534,171.656,176.533,79.376,54.643,160.043,139.356,7.871,149.891,65.524,108.201,141.373,71.113,153.77,80.385,103.862,105.846,54.918,70.39,155.325,63.132,56.151,73.266,129.776,-1,121.201,77.843,162.909,113.483,12.222,96.582,89.554,43.615,151.459,139.395,45.959,174.845,107.098,62.832,58.627,134.728,125.743,155.32,52.228,87.6,85.38,144.608,142.548,18.175,148.695,177.301,100.74,58.532,88.706,81.967,0,95.293,75.377,164.857,170.301,99.832,120.512,37.311,130.25,103.491,34.397,140.775,53.033,120.96,119.153,90.592,113.697,129.327,131.474,-1,73.235,27.192,104.059
"Penuelas",17.522,88.21,93.087,115.33,75.563,76.597,82.167,88.737,100.681,81.761,144.155,57.927,107.067,96.581,146.034,139.816,141.8,90.872,170.218,88.02,99.086,59.781,109.22,107.2,-1,157.155,177.671,89.731,30.037,83.023,13.136,125.508,118.748,94.27,55.949,140.456,111.325,49.909,36.406,125.458,51.282,51.261,71.874,133.95,164.706,176.56,105.686,59.102,109.491,65.249,93.855,104.37,158.36,103.623,85.597,95.024,0,20.799,118.299,86.855,165.111,37.066,62.169,46.804,139.445,117.218,108.62,46.162,156.914,155.107,126.546,56.508,124.361,117.686,-1,46.809,118.508,20.613
"Ponce",26.207,97.088,101.965,95.249,55.482,85.475,72.029,68.656,90.543,61.68,124.074,66.805,86.986,86.443,125.953,119.735,121.719,70.791,150.137,67.939,79.005,39.7,89.139,126.705,-1,137.074,157.59,79.593,38.915,62.942,22.014,105.427,98.667,84.132,64.827,120.375,120.203,39.771,16.325,105.377,60.16,58.416,80.752,113.869,144.625,156.479,95.548,67.98,89.41,74.127,102.733,118.773,138.279,83.542,65.516,74.943,20.725,0,97.53,95.733,145.03,45.944,42.088,55.682,119.364,97.137,73.448,26.419,136.833,135.026,106.465,46.37,114.223,107.548,-1,26.728,98.427,29.491
"Quebradillas",72.764,34.297,27.847,130.615,120.396,48.143,24.773,158.517,48.54,109.797,92.726,69.157,126.633,11.803,124.526,118.308,94.036,146.779,164.594,68.017,147.328,129.561,109.456,84.702,-1,83.759,155.444,57.425,98.51,152.803,106.88,103.822,129.478,13.671,63.201,151.186,10.528,78.125,106.186,136.188,77.221,33.215,44,144.68,135.962,147.816,53.545,57.246,172.934,54.804,28.279,76.77,169.09,98.014,93.821,170.13,118.571,96.612,0,44.191,136.367,82.028,131.949,76.672,107.154,135.601,29.87,126.11,82.926,83.689,113.926,55.142,72.22,65.545,-1,116.589,165.035,98.891
"Rincon",120.712,10.057,17.341,174.844,150.476,16.596,69.002,163.65,92.769,156.674,136.955,37.586,170.862,56.032,168.755,162.537,138.265,165.785,208.823,112.246,173.999,134.694,153.685,128.931,-1,127.988,199.673,101.654,66.939,157.936,75.309,148.051,173.707,57.9,31.63,195.415,37.742,134.276,111.319,180.417,45.65,48.749,42.07,188.909,180.191,192.045,97.774,47.486,184.404,23.233,20.109,120.999,213.319,142.243,138.05,169.937,87,95.712,44.716,0,180.596,50.457,137.082,45.101,151.383,179.83,34.874,121.075,127.155,127.918,158.155,99.371,116.449,109.774,-1,121.722,209.264,67.32
"Rio Grande",166.286,169.586,163.136,67.296,102.236,183.432,110.8,126.156,90.014,86.666,48.324,214.125,63.314,124.742,7.485,14.227,45.969,83.46,30.668,95.448,84.009,128.903,73.927,69.899,-1,61.324,21.518,103.032,186.235,120.442,169.334,46.97,34.117,122.431,212.147,56.72,145.817,127.47,135.584,29.814,207.48,137.727,166.001,38.306,11.645,13.89,84.731,170.207,78.628,190.093,163.568,91.794,41.966,64.857,108.845,96.361,168.045,148.129,135.829,179.48,0,193.264,110.063,203.002,38.493,37.207,152.759,125.785,61.083,59.276,24.302,136.873,69.45,71.597,-1,145.987,70.729,176.811
"Sabana Grande",71.009,51.722,56.599,140.54,100.773,40.109,106.097,113.947,129.864,106.971,169.365,21.439,132.277,93.127,171.244,165.026,167.01,116.082,195.428,113.23,124.296,84.991,134.43,132.41,-1,182.365,202.881,138.749,17.236,108.233,25.606,150.718,143.958,94.995,19.461,165.666,74.837,84.573,61.616,150.668,14.794,86.007,34.807,159.16,189.916,201.77,134.869,22.035,134.701,28.761,57.367,129.58,183.57,128.833,110.807,120.234,37.297,46.009,81.811,50.367,190.321,0,87.379,10.316,164.655,142.428,72.132,71.372,182.124,180.317,151.756,91.172,153.544,146.869,-1,72.019,143.718,17.617
"Salinas",60.801,138.923,143.8,57.316,32.583,127.31,106.623,30.723,127.831,45.398,86.141,108.64,49.053,121.037,88.02,81.802,83.786,32.858,112.204,133.265,41.072,23.418,51.206,107.716,-1,99.141,119.657,140.849,80.75,25.009,63.849,67.494,60.734,118.726,106.662,82.442,142.112,74.365,30.099,67.444,101.995,93.01,122.587,75.936,106.692,118.546,122.548,109.815,51.477,115.962,144.568,68.007,100.346,66.646,49.234,37.01,62.56,42.644,132.124,137.568,107.097,87.779,0,97.517,81.431,59.204,108.042,12.952,98.9,97.093,68.532,80.964,107.267,109.414,-1,40.502,60.494,71.326
"San German",80.258,45.568,50.445,149.789,110.022,33.955,99.943,123.196,123.71,116.22,178.614,11.122,141.526,86.973,180.493,174.275,176.259,125.331,204.677,143.187,133.545,94.24,143.679,159.872,-1,158.929,212.13,132.595,26.485,117.482,34.855,159.967,153.207,88.841,11.64,174.915,68.683,93.822,70.865,159.917,4.477,79.853,35.808,168.409,199.165,211.019,128.715,18.654,143.95,22.607,51.213,151.94,192.819,138.082,120.056,129.483,46.546,55.258,75.657,44.213,199.57,10.003,96.628,0,173.904,151.677,65.978,80.621,158.096,158.859,161.005,100.421,147.39,140.715,-1,81.268,152.967,26.866
