"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"Adjuntas",0,71.592,70.741,114.411,74.644,119.012,46.599,87.818,65.113,80.842,109.299,100.342,106.148,61.013,145.115,138.897,110.609,89.953,169.299,84.59,98.167,58.862,108.301,101.275,-1,100.332,176.752,54.163,72.452,82.104,55.551,124.589,117.829,58.702,98.364,139.537,82.088,24.895,35.487,124.539,93.697,32.66,60.934,133.031,163.787,175.641,70.118,58.039,108.572,107.664,62.068,93.343,157.441,114.587,62.569,94.105,18.019,25.913,72.1,129.27,164.192,79.481,61.25,89.219,138.526,116.299,47.692,55.411,99.499,100.262,125.627,20.94,88.793,82.118,-1,45.89,117.589,63.028
"Aguada",71.288,0,7.283,164.786,152.127,18.223,58.944,165.301,82.711,158.325,126.897,39.237,160.804,45.974,158.697,152.479,128.207,167.436,198.765,102.188,175.65,136.345,143.627,118.873,-1,117.93,189.615,91.596,68.59,159.587,76.96,137.993,163.649,47.842,33.281,185.357,27.684,112.296,112.97,170.359,47.301,38.691,39.334,178.851,170.133,181.987,87.716,49.137,186.055,24.884,10.051,110.941,203.261,132.185,127.992,171.588,88.651,97.363,34.658,10.161,170.538,52.108,138.733,46.752,141.325,169.772,24.816,122.726,117.097,117.86,148.097,89.313,106.391,99.716,-1,123.373,199.206,68.971
"Aguadilla",70.731,7.521,0,158.079,156.425,22.521,52.237,169.599,76.004,137.261,120.19,43.535,154.097,39.267,151.99,145.772,121.5,171.734,192.058,95.481,174.792,140.643,136.92,112.166,-1,111.223,182.908,84.889,72.888,163.885,81.258,131.286,156.942,41.135,37.579,178.65,20.977,105.589,117.268,163.652,51.599,38.134,38.777,172.144,163.426,175.28,81.009,53.435,190.353,29.182,9.494,104.234,196.554,125.478,121.285,175.886,92.949,101.661,27.951,17.415,163.831,56.406,143.031,51.05,134.618,163.065,24.259,127.024,110.39,111.153,141.39,82.606,99.684,93.009,-1,127.671,192.499,73.269
"Aguas Buenas",112.467,164.721,158.271,0,32.318,178.976,105.935,72.337,85.149,34.327,27.517,160.306,9.302,119.877,45.338,39.12,41.104,29.641,69.522,90.583,13.507,75.084,18.432,65.034,-1,56.459,76.975,98.167,132.416,66.623,115.515,15.636,18.052,117.566,158.328,39.76,140.952,126.031,81.765,24.762,153.661,132.862,161.136,33.254,64.01,75.864,79.866,161.481,61.508,167.628,158.703,86.929,57.664,28.045,50.419,52.992,114.226,94.31,130.964,189.234,64.415,139.445,56.244,149.183,38.749,24.175,147.894,71.966,56.218,54.411,25.85,132.008,64.585,66.732,-1,92.168,53.609,122.992
"Aibonito",73.495,151.617,156.494,32.824,0,140.004,96.234,48.15,75.448,12.573,78.133,121.334,41.045,110.176,80.012,73.794,75.778,20.342,104.196,54.983,19.822,16.998,22.516,38.012,-1,91.133,111.649,73.294,93.444,42.436,76.543,59.486,52.726,107.865,119.356,74.434,131.251,60.608,42.793,59.436,114.689,105.704,135.281,67.928,98.684,110.538,70.165,122.509,68.904,128.656,157.262,45.942,92.338,34.435,27.094,54.437,75.254,55.338,121.263,150.262,99.089,100.473,32.057,110.211,73.423,51.196,120.736,33.014,48.1,89.085,60.524,93.658,58.249,101.406,-1,38.635,88.283,84.02
"Anasco",110.718,17.916,22.793,180.249,140.482,0,72.291,153.656,96.058,146.68,140.244,27.592,171.986,59.321,172.044,165.826,141.554,155.791,212.112,115.535,164.005,124.7,156.974,132.22,-1,131.277,202.962,104.943,56.945,147.942,65.315,151.34,183.667,61.189,21.636,205.375,41.031,124.282,101.325,190.377,35.656,52.201,23.046,198.869,183.48,195.334,101.063,29.443,174.41,13.239,23.561,124.288,223.279,145.532,141.339,159.943,77.006,85.718,48.005,16.596,183.885,40.463,127.088,35.107,154.672,182.137,26.452,111.081,130.444,131.207,161.444,102.66,119.738,113.063,-1,111.728,183.427,57.326
"Arecibo",48.389,58.608,52.158,106.717,96.498,72.454,0,134.142,24.642,85.899,68.828,93.468,102.735,13.764,100.628,94.41,70.138,122.881,140.696,44.119,123.43,105.186,85.558,60.804,-1,59.861,131.546,33.527,118.776,128.428,101.875,79.924,105.58,11.453,87.512,127.288,34.839,53.75,81.811,112.29,101.532,29.529,57.803,120.782,112.064,123.918,29.647,62.009,149.036,79.115,52.59,52.872,145.192,74.116,69.923,140.429,68.313,72.237,24.851,68.502,112.469,106.339,107.574,100.983,83.256,111.703,44.561,101.735,59.028,59.791,90.028,30.767,48.322,41.647,-1,92.214,141.137,109.352
"Arroyo",87.299,165.421,170.298,73.141,48.408,153.808,133.121,0,143.656,59.289,101.966,135.138,64.878,147.535,103.845,97.627,99.611,48.683,74.51,149.09,56.897,49.916,67.031,123.541,-1,114.966,81.963,156.674,107.248,5.987,90.347,83.319,76.559,145.224,133.16,50.079,168.61,100.863,56.597,83.269,128.493,119.508,149.085,56.348,122.517,89.5,138.373,136.313,22.295,142.46,171.066,94.505,62.652,82.471,75.732,7.828,89.058,69.142,158.622,164.066,122.922,114.277,31.076,124.015,97.256,41.954,134.54,46.798,114.725,112.918,84.357,107.462,123.092,125.239,-1,67,31.312,97.824
"Barceloneta",67.068,82.159,75.709,85.12,74.901,96.005,23.373,143.98,0,64.302,47.231,117.019,81.138,37.315,79.031,72.813,48.541,101.284,119.099,22.522,101.833,76.603,63.961,39.207,-1,38.264,109.949,15.605,137.455,138.266,120.554,58.327,83.983,35.004,111.063,105.691,58.39,54.544,100.49,90.693,125.083,50.3,78.574,99.185,90.467,102.321,7.449,82.78,127.439,102.666,76.141,31.275,123.595,52.519,48.326,124.635,86.992,90.916,48.402,92.053,90.872,129.89,127.887,124.534,61.659,90.106,65.332,143.609,37.431,38.194,68.431,49.446,26.725,20.05,-1,64.579,119.54,128.031
"Barranquitas",79.84,157.962,137.451,34.284,12.72,146.349,85.115,58.977,64.329,0,39.205,127.679,43.587,99.057,75.427,69.209,45.397,30.882,103.807,43.864,26.961,23.343,16.105,25.465,-1,45.365,106.345,62.175,99.789,53.263,82.888,47.63,52.337,96.746,125.701,74.045,120.132,52.574,49.138,59.047,121.034,112.042,141.626,67.539,86.863,98.717,59.046,128.854,79.731,135.001,163.607,34.823,91.949,21.888,15.975,65.264,81.599,61.683,110.144,156.607,87.268,106.818,45.231,116.556,58.055,58.46,127.074,39.359,35.553,43.317,64.827,100.003,45.702,53.852,-1,32.638,87.894,90.365
"Bayamon",110.965,126.056,119.606,42.769,49.153,139.902,67.27,101.629,46.484,40.172,0,160.916,38.787,81.212,36.68,30.462,6.65,58.933,76.748,51.918,37.883,104.376,27.433,23.659,-1,17.794,67.598,59.502,161.708,95.915,144.807,9.755,41.632,78.901,154.96,63.34,102.287,83.94,111.057,48.342,182.953,94.197,122.471,56.834,48.116,59.97,41.201,126.677,85.088,146.563,120.038,48.264,81.244,18.363,65.315,82.284,143.518,123.602,92.299,135.95,48.521,168.737,85.536,178.475,19.308,47.755,109.229,101.258,14.843,15.746,26.08,93.343,25.92,28.067,-1,121.46,77.189,152.284
"Cabo Rojo",100.316,39.109,43.986,169.847,130.08,27.496,93.484,143.254,117.251,136.278,161.437,0,161.584,80.514,200.551,194.333,162.747,145.389,224.735,136.728,153.603,114.298,163.737,153.413,-1,152.47,232.188,126.136,46.543,137.54,54.913,180.025,173.265,82.382,11.234,194.973,62.224,113.88,90.923,179.975,13.785,73.394,41.379,188.467,219.223,231.077,122.256,36.709,164.008,16.148,44.754,145.481,212.877,166.725,140.114,149.541,66.604,75.316,69.198,37.754,219.628,30.061,116.686,12.017,193.962,171.735,59.519,100.679,151.637,152.4,181.063,120.479,140.931,134.256,-1,101.326,173.025,46.924
"Caguas",105.214,159.976,153.526,9.292,41.164,171.723,101.19,65.084,80.404,51.47,38.714,153.053,0,115.132,40.593,34.375,36.359,22.388,60.157,85.838,22.937,67.831,27.725,60.289,-1,51.714,67.61,93.422,125.163,59.37,108.262,20.067,8.687,112.821,151.075,30.395,136.207,118.778,74.512,15.397,146.408,128.117,156.391,23.889,59.265,71.119,75.121,154.228,52.143,160.375,153.958,82.184,48.299,55.247,65.991,45.739,106.973,87.057,126.219,181.981,59.67,132.192,48.991,141.93,34.004,10.289,143.149,64.713,51.473,49.666,21.105,127.263,59.84,61.987,-1,84.915,44.244,115.739
"Camuy",61.533,46.045,39.595,119.384,109.165,59.891,13.542,147.286,37.309,98.566,81.495,80.905,115.402,0,113.295,107.077,82.805,135.548,153.363,56.786,136.097,118.33,98.225,73.471,-1,72.528,144.213,46.194,110.258,141.572,118.628,92.591,118.247,2.752,74.949,139.955,22.276,66.894,94.955,124.957,88.969,38.63,45.403,133.449,124.731,136.585,42.314,58.649,161.703,66.552,40.027,65.539,157.859,86.783,82.59,158.899,81.457,85.381,12.288,55.939,125.136,93.776,120.718,88.42,95.923,124.37,31.273,114.879,71.695,72.458,102.695,43.911,60.989,54.314,-1,105.358,153.804,110.639
"Canovanas",144.305,158.256,151.806,45.315,80.255,172.102,99.47,104.175,78.684,75.336,36.994,192.144,41.333,113.412,0,6.733,34.639,61.479,40.057,84.118,62.028,106.922,62.597,58.569,-1,49.994,30.907,91.702,164.254,98.461,147.353,35.64,27.28,111.101,190.166,37.975,134.487,116.14,113.603,22.977,185.499,126.397,154.671,31.469,8.578,23.279,73.401,158.877,59.723,178.763,152.238,80.464,51.355,53.527,97.515,77.456,146.064,126.148,124.499,168.15,8.395,171.283,88.082,181.021,27.163,30.37,141.429,103.804,49.753,47.946,13.447,125.543,58.12,60.267,-1,124.006,51.824,154.83
"Carolina",138.633,152.584,146.134,39.643,74.583,166.43,93.798,98.503,73.012,69.664,31.322,186.472,35.661,107.74,6.63,0,28.967,55.807,45.877,78.446,56.356,101.25,56.925,52.897,-1,44.322,36.727,86.03,158.582,92.789,141.681,29.968,38.506,105.429,184.494,44.037,128.815,110.468,107.931,29.039,179.827,120.725,148.999,37.531,14.398,29.099,67.729,153.205,65.785,173.091,146.566,74.792,57.175,47.855,91.843,79.158,140.392,120.476,118.827,162.478,14.215,165.611,82.41,175.349,21.491,44.629,135.757,98.132,44.081,42.274,8.478,119.871,52.448,54.595,-1,118.334,57.886,149.158
"Catano",112.719,127.81,121.36,41.436,76.376,141.656,69.024,100.296,48.238,45.233,6.891,162.67,37.454,82.966,35.347,29.129,0,57.6,75.415,53.672,58.149,103.043,32.494,28.123,-1,19.548,66.265,61.256,160.375,94.582,143.474,14.643,40.299,80.655,156.714,62.007,104.041,85.694,109.724,47.009,181.62,95.951,124.225,55.501,46.783,58.637,42.955,128.431,83.755,148.317,121.792,50.018,79.911,23.424,67.069,80.951,142.185,122.269,94.053,137.704,47.188,167.404,84.203,177.142,17.975,46.422,110.983,99.925,19.307,17.5,24.747,95.097,27.674,29.821,-1,120.127,75.856,150.951
"Cayey",88.744,166.866,171.743,31.15,19.725,155.253,122.451,48.614,101.665,30.92,59.975,136.583,22.887,136.393,61.854,55.636,57.62,0,86.038,107.099,10.045,51.361,20.179,81.55,-1,72.975,93.491,114.683,108.693,42.9,91.792,41.328,34.568,134.082,134.605,56.276,157.468,102.308,58.042,41.278,129.938,120.953,150.53,49.77,80.526,92.38,96.382,137.758,69.368,143.905,172.511,103.445,74.18,35.619,45.441,54.901,90.503,70.587,147.48,165.511,80.931,115.722,32.521,125.46,55.265,33.038,135.985,48.243,72.734,70.927,42.366,108.907,81.101,83.248,-1,68.445,70.125,99.269
"Ceiba",167.129,198.183,191.733,68.139,103.079,212.029,139.397,70.814,118.611,102.467,76.921,214.968,58.311,153.339,38.625,45.367,74.566,84.303,0,124.045,84.852,129.746,86.572,98.496,-1,89.921,8.988,131.629,187.078,75.165,170.177,72.517,51.023,151.028,212.99,26.884,174.414,180.693,136.427,43.995,208.323,166.324,194.598,37.596,42.808,16.525,113.328,216.143,48.792,222.29,192.165,120.391,12.13,93.454,137.442,66.525,168.888,148.972,164.426,208.077,30.977,194.107,110.906,203.845,67.09,46.591,181.356,126.628,89.68,87.873,52.899,165.47,98.047,100.194,-1,146.83,40.893,177.654
"Ciales",63.042,102.344,95.894,89.799,54.66,116.19,43.558,148.659,22.772,44.061,51.91,137.204,85.817,57.5,83.71,77.492,53.22,105.963,123.778,0,106.512,56.362,68.64,24.847,-1,42.943,114.628,19.092,105.921,142.945,89.02,63.006,88.662,55.189,131.248,110.37,78.575,32.063,52.415,95.372,145.268,70.485,98.759,103.864,95.146,107,12.599,102.965,132.118,122.851,96.326,11.034,128.274,57.198,28.085,129.314,87.731,67.815,68.587,112.238,95.551,112.95,81.503,144.719,66.338,94.785,85.517,75.664,42.11,42.873,73.11,45.42,31.404,22.492,-1,42.098,124.219,96.497
"Cidra",96.191,174.313,174.9,13.333,19.325,162.7,122.564,56.061,101.778,26.863,60.088,144.03,23,136.506,61.967,55.749,57.733,9.468,86.151,107.212,0,36.324,11.224,38.083,-1,73.088,93.604,114.796,116.14,50.347,99.239,41.441,34.681,134.195,142.052,56.389,157.581,109.755,65.489,41.391,137.385,149.491,157.977,49.883,80.639,92.493,96.495,145.205,78.137,151.352,179.958,43.259,74.293,26.664,42.955,62.348,97.95,78.034,147.593,172.958,81.044,123.169,39.968,132.907,55.378,33.151,164.523,55.69,36.962,71.04,42.479,116.354,81.214,83.361,-1,75.892,70.238,106.716
"Coamo",57.803,135.925,140.802,76.355,17.145,124.312,103.625,49.762,76.602,23.343,105.18,105.642,68.092,118.039,107.059,100.841,102.825,51.897,131.243,56.137,36.348,0,39.422,48.782,-1,118.18,138.696,74.448,77.752,44.048,60.851,86.533,79.773,115.728,103.664,101.481,139.114,71.367,19.428,86.483,98.997,90.012,119.589,94.975,125.731,137.585,71.319,106.817,70.516,112.964,141.57,47.096,119.385,45.205,28.323,56.049,59.562,39.646,129.126,134.57,126.136,84.781,23.194,94.519,100.47,78.243,105.044,17.322,58.87,116.132,87.571,77.966,73.196,66.256,-1,21.636,79.533,68.328
"Comerio",107.052,143.343,136.893,18.251,22.167,173.561,84.557,66.922,63.771,16.342,26.192,154.891,27.554,98.499,62.414,56.196,32.384,20.329,87.774,69.205,11.493,39.659,0,27.533,-1,36.867,95.227,76.789,127.001,61.208,110.1,34.617,36.304,96.188,152.913,58.012,119.574,68.829,76.35,43.014,148.246,111.484,139.758,51.506,73.85,85.704,58.488,156.066,79.76,162.213,137.325,32.173,75.916,16.114,32.434,73.209,108.811,88.895,109.586,153.237,74.255,134.03,50.829,143.768,45.042,42.427,126.516,66.551,26.412,34.819,51.814,110.63,37.204,45.354,-1,48.893,71.861,117.577
"Corozal",104.019,119.11,112.66,64.343,38.17,132.956,60.324,123.203,39.538,25.476,23.574,153.97,60.361,74.266,58.254,52.036,27.764,80.507,98.322,24.82,38.804,48.793,28.354,0,-1,19.291,89.172,52.556,125.239,117.489,108.338,37.55,63.206,71.955,148.014,84.914,95.341,56.258,74.588,69.916,162.034,87.251,115.525,78.408,69.69,81.544,34.255,119.731,106.662,139.617,113.092,13.891,102.818,12.172,31.408,103.858,107.049,87.133,85.353,129.004,70.095,132.268,107.11,161.485,40.882,69.329,102.283,64.809,12.875,17.243,47.654,86.397,12.987,20.737,-1,56.807,98.763,115.815
"Culebra",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Dorado",104.042,119.133,112.683,56.791,91.731,132.979,60.347,115.651,39.561,45.06,18.902,153.993,52.809,74.289,50.702,44.484,20.212,72.955,90.77,44.995,73.504,118.398,37.367,19.052,-1,0,81.62,52.579,175.73,109.937,158.829,29.998,55.654,71.978,148.037,77.362,95.364,77.017,125.079,62.364,162.057,87.274,115.548,70.856,62.138,73.992,34.278,119.754,99.11,139.64,113.115,41.341,95.266,25.324,58.392,96.306,157.54,137.624,85.376,129.027,62.543,182.759,99.558,161.508,33.33,61.777,102.306,115.28,10.236,3.178,40.102,86.42,18.997,21.144,-1,135.482,91.211,166.306
"Fajardo",175.446,189.481,183.031,76.456,111.396,203.327,130.695,79.131,109.909,106.561,68.219,223.285,66.628,144.637,29.923,36.665,65.864,92.62,9.149,115.343,93.169,138.063,94.889,89.794,-1,81.219,0,122.927,195.395,83.482,178.494,66.865,59.34,142.326,221.307,35.201,165.712,147.365,144.744,52.312,216.64,157.622,185.896,45.913,34.106,7.823,104.626,224.46,57.109,230.607,183.463,111.689,20.447,84.752,128.74,74.842,177.205,157.289,155.724,199.375,22.275,202.424,119.223,212.162,58.388,54.908,172.654,134.945,80.978,79.171,44.197,156.768,89.345,91.492,-1,155.147,49.21,185.971
"Florida",55.447,91.268,84.818,97.28,72.811,105.114,32.482,156.14,15.205,62.212,59.391,126.128,93.298,46.424,91.191,84.973,60.701,113.444,131.259,18.97,113.993,74.513,76.121,51.367,-1,50.424,122.109,0,125.834,150.426,108.933,70.487,96.143,44.113,120.172,117.851,67.499,32.185,59.067,102.853,134.192,59.409,87.683,111.345,102.627,114.481,18.891,91.889,139.599,111.775,85.25,29.185,135.755,64.679,46.236,136.795,75.371,79.295,57.511,101.162,103.032,138.999,140.047,133.643,73.819,102.266,74.441,108.793,49.591,50.354,80.591,37.825,38.885,32.21,-1,48.75,131.7,116.41
"Guanica",64.452,69.546,74.423,133.983,94.216,57.933,110.274,107.39,128.788,100.414,162.808,39.263,125.72,110.951,164.687,158.469,160.453,109.525,188.871,106.673,117.739,78.434,127.873,125.853,-1,175.808,196.324,117.838,0,101.676,19.049,144.161,137.401,112.819,37.285,159.109,92.661,78.016,55.059,144.111,21.984,103.831,53.21,152.603,183.359,195.213,133.793,40.438,128.144,46.585,75.191,123.023,177.013,122.276,104.25,113.677,30.74,39.452,99.635,68.191,183.764,18.402,80.822,28.14,158.098,135.871,89.956,64.815,175.567,173.76,145.199,84.615,183.934,145.793,-1,65.462,137.161,11.06
"Guayama",81.46,159.582,164.459,67.302,42.569,147.969,127.282,5.95,137.817,53.45,96.127,129.299,59.039,141.696,98.006,91.788,93.772,42.844,78.919,143.251,51.058,44.077,61.192,117.702,-1,109.127,86.372,150.835,101.409,0,84.508,77.48,70.72,139.385,127.321,54.488,162.771,95.024,50.758,77.43,122.654,113.669,143.246,85.922,116.678,93.909,132.534,130.474,26.704,136.621,165.227,88.666,67.061,76.632,69.893,12.237,83.219,63.303,152.783,158.227,117.083,108.438,25.237,118.176,91.417,69.19,128.701,40.959,108.886,107.079,78.518,101.623,117.253,119.4,-1,61.161,35.721,91.985
"Guayanilla",46.899,76.78,81.657,116.43,76.663,65.167,92.721,89.837,111.235,82.861,145.255,46.497,108.167,107.135,147.134,140.916,142.9,91.972,171.318,89.12,100.186,60.881,110.32,108.3,-1,158.255,178.771,100.285,18.607,84.123,0,126.608,119.848,104.824,44.519,141.556,99.895,60.463,37.506,126.558,39.852,79.108,60.444,135.05,165.806,177.66,116.24,47.672,110.591,53.819,82.425,105.47,159.46,104.723,86.697,96.124,13.187,21.899,106.869,75.425,166.211,25.636,63.269,35.374,140.545,118.318,97.19,47.262,158.014,156.207,127.646,67.062,166.381,128.24,-1,47.909,119.608,9.183
"Guaynabo",123.813,138.856,132.406,16.368,59.763,152.702,80.07,83.683,59.284,48.758,13.103,171.652,20.841,94.012,35.892,29.674,15.239,40.987,75.124,64.718,41.536,86.43,36.019,39.169,-1,30.594,66.81,72.302,143.762,77.969,126.861,0,23.654,91.701,169.674,45.362,115.087,96.74,93.111,30.364,165.007,106.997,135.271,38.856,47.328,59.182,54.001,172.827,67.11,159.363,132.838,61.064,63.266,26.949,78.115,64.338,125.572,105.656,105.099,148.75,47.733,150.791,67.59,160.529,16.916,29.777,122.029,83.312,30.353,28.546,14.004,106.143,38.72,40.867,-1,103.514,59.211,134.338
"Gurabo",117.438,163.056,156.606,18.448,53.388,183.947,104.27,77.308,83.484,52.776,41.794,165.277,8.62,118.212,27.545,37.455,39.439,34.612,53.08,88.918,35.161,80.055,36.881,63.369,-1,54.794,60.533,96.502,137.387,71.594,120.486,22.826,0,115.901,163.299,23.318,139.287,131.002,86.736,8.32,158.632,131.197,159.471,16.812,34.76,68.07,78.201,166.452,45.066,172.599,157.038,85.264,41.222,58.327,102.315,43.989,119.197,99.281,129.299,172.95,34.577,144.416,61.215,154.154,37.084,9.86,146.229,76.937,54.553,52.746,18.345,130.343,62.92,65.067,-1,97.139,37.167,127.963
"Hatillo",59.307,47.427,40.977,117.158,106.939,61.273,11.316,145.06,35.083,96.34,79.269,82.287,113.176,2.898,111.069,104.851,80.579,133.322,151.137,54.56,133.871,116.104,95.999,71.245,-1,70.302,141.987,43.968,111.64,139.346,112.793,90.365,116.021,0,76.331,137.729,23.658,64.668,92.729,122.731,90.351,36.404,47.209,131.223,122.505,134.359,40.088,60.455,159.477,67.934,41.409,63.313,155.633,84.557,80.364,156.673,79.231,83.155,13.67,57.321,122.91,95.158,118.492,89.802,93.697,122.144,33.079,112.653,69.469,70.232,100.469,41.685,58.763,52.088,-1,103.132,151.578,112.021
"Hormigueros",89.859,33.044,37.921,159.39,119.623,21.431,87.419,132.797,111.186,125.821,155.372,11.839,151.127,74.449,190.094,183.876,156.682,134.932,214.278,130.663,143.146,103.841,153.28,147.348,-1,146.405,221.731,120.071,36.086,127.083,44.456,169.568,162.808,76.317,0,184.516,56.159,103.423,80.466,169.518,14.793,67.329,35.314,178.01,208.766,220.62,116.191,26.252,153.551,10.083,38.689,139.416,202.42,160.66,129.657,139.084,56.147,64.859,63.133,31.689,209.171,19.604,106.229,14.248,183.505,161.278,53.454,90.222,145.572,146.335,170.606,110.022,134.866,128.191,-1,90.869,162.568,36.467
"Humacao",139.523,185.141,178.691,40.533,75.473,206.032,126.355,47.338,105.569,74.861,63.879,187.362,30.705,140.297,38.147,44.718,61.524,56.697,28.02,111.003,57.246,102.14,58.966,85.454,-1,76.879,35.473,118.587,159.472,51.689,142.571,44.911,23.417,137.986,185.384,0,161.372,153.087,108.821,16.389,180.717,153.282,181.556,9.99,45.362,43.01,100.286,188.537,25.316,194.684,179.123,107.349,16.162,80.412,124.4,43.049,141.282,121.366,151.384,195.035,57.462,166.501,83.3,176.239,59.169,18.985,168.314,99.022,76.638,74.831,45.949,152.428,85.005,87.152,-1,119.224,17.417,150.048
"Isabela",82.761,27.252,20.802,140.612,130.393,41.098,34.77,168.514,58.537,119.794,102.723,62.112,136.63,21.8,134.523,128.305,104.033,156.776,174.591,78.014,157.325,139.558,119.453,94.699,-1,93.756,165.441,67.422,91.465,162.8,99.835,113.819,139.475,23.668,56.156,161.183,0,88.122,116.183,146.185,70.176,43.144,41.724,154.677,145.959,157.813,63.542,54.97,182.931,47.759,21.234,86.767,179.087,108.011,103.818,180.127,111.526,120.238,10.484,37.146,146.364,74.983,141.946,69.627,117.151,145.598,27.206,145.601,92.923,93.686,123.923,65.139,82.217,75.542,-1,126.586,175.032,91.846
"Jayuya",25.001,112.231,105.781,128.086,56.401,132.687,52.973,101.493,54.811,48.236,83.949,114.017,119.823,67.387,115.749,109.531,85.259,103.628,182.974,32.152,111.842,72.537,64.341,56.222,-1,74.982,146.667,32.326,86.127,95.779,69.226,95.045,131.504,65.076,112.039,153.212,88.462,0,49.162,138.214,107.372,57.21,85.484,146.706,127.185,139.039,44.638,115.192,122.247,121.339,86.618,42.409,171.116,89.237,40.407,107.78,38.809,39.588,78.474,142.945,127.59,93.156,74.925,102.894,98.377,129.974,72.242,69.086,74.149,74.912,105.149,23.352,63.443,54.531,-1,28.427,131.264,76.703
"Juana Diaz",34.135,112.257,117.134,82.827,43.06,100.644,79.957,56.234,98.471,49.258,111.652,81.974,74.564,94.371,113.531,107.313,109.297,58.369,137.715,52.271,66.583,19.811,76.717,74.697,-1,124.652,145.168,58.975,54.084,50.52,37.183,93.005,86.245,92.06,79.996,107.953,115.446,47.699,0,92.955,75.329,66.344,95.921,101.447,132.203,144.057,64.757,83.149,76.988,89.296,117.902,59.406,125.857,71.12,40.633,62.521,35.894,15.978,105.458,110.902,132.608,61.113,29.666,70.851,106.942,84.715,81.376,23.827,124.411,122.604,94.043,54.298,132.778,134.925,-1,11.06,86.005,44.66
"Juncos",124.375,169.993,163.543,25.385,60.325,190.884,111.207,59.663,90.421,59.713,48.731,172.214,15.557,125.149,22.999,29.57,46.376,41.549,45.655,95.855,42.098,86.992,43.818,70.306,-1,61.731,53.108,103.439,144.324,78.531,127.423,29.763,8.269,122.838,170.236,15.893,146.224,137.939,93.673,0,165.569,138.134,166.408,9.387,30.214,60.645,85.138,173.389,37.641,179.536,163.975,92.201,33.797,65.264,109.252,55.374,126.134,106.218,136.236,179.887,30.031,151.353,68.152,161.091,44.021,8.867,153.166,83.874,61.49,59.683,30.801,137.28,69.857,72.004,-1,104.076,29.742,134.9
"Lajas",85.563,47.063,51.94,155.094,115.327,35.45,101.438,128.501,125.205,121.525,183.919,13.785,146.831,88.468,185.798,179.58,181.564,130.636,209.982,144.682,138.85,99.545,148.984,161.367,-1,160.424,217.435,134.09,21.558,122.787,40.16,165.272,158.512,90.336,14.797,180.22,70.178,99.127,76.17,165.222,0,81.348,41.113,173.714,204.47,216.324,130.21,23.959,149.255,24.102,52.708,153.435,198.124,143.387,125.361,134.788,51.851,60.563,77.152,45.708,204.875,15.308,101.933,5.474,179.209,156.982,67.473,85.926,159.591,160.354,166.31,105.726,148.885,142.21,-1,86.573,158.272,32.171
"Lares",32.605,38.942,38.091,132.18,106.805,52.517,29.234,119.979,50.105,111.362,94.291,73.531,128.198,39.839,126.091,119.873,95.601,148.344,166.159,69.582,148.893,91.023,111.021,86.267,-1,85.324,157.009,58.99,102.884,114.265,87.712,105.387,131.043,37.528,67.575,152.751,41.164,51.827,67.648,137.753,81.595,0,28.284,146.245,137.527,149.381,55.11,32.49,140.733,59.178,29.418,78.335,170.655,99.579,95.386,126.266,50.625,58.074,33.097,48.836,137.932,47.467,93.411,81.046,108.719,137.166,15.042,87.572,84.491,85.254,115.491,28.844,73.785,67.11,-1,78.051,166.6,53.86
"Las Marias",60.759,39.728,38.877,160.334,135.783,23.064,57.388,148.957,78.259,141.981,122.445,41.297,156.352,44.921,154.245,148.027,123.755,151.092,194.313,97.736,159.306,120.001,139.175,114.421,-1,113.478,185.163,87.144,52.246,143.243,60.616,133.541,159.197,47.065,35.341,180.905,41.95,79.981,96.626,165.907,41.316,28.162,0,174.399,165.681,177.535,83.264,13.245,169.711,25.493,30.204,106.489,198.809,127.733,123.54,155.244,72.307,81.019,43.645,41.93,166.086,35.202,122.389,36.838,136.873,165.32,14.528,106.382,112.645,113.408,143.645,56.998,101.939,95.264,-1,107.029,194.754,52.627
