"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Osage",143.837,314.839,274.896,429.055,383.947,233.334,327.632,307.266,212.407,385.634,248.457,161.863,158.094,11.834,231.418,326.013,354.572,235.174,68.31,319.984,122.565,92.486,336.497,156.981,376.528,374.696,327.107,424.106,317.003,361.402,121.335,275.724,185.567,190.125,264.233,127.832,190.519,230.825,260.463,280.89,452.145,384.712,358.783,220.82,160.738,135.686,232.017,262.606,197.768,240.35,143.954,220.038,112.395,116.361,180.316,125.867,0,212.312,45.52,256.899,235.664,234.316,154.775,293.136,366.881,176.539,147.442,96.119,308.206,822.813,389.867,65.575,129.165,224.022,287.351,167.074,297.254
"Ottawa",73.565,450.457,324.708,603.843,519.565,422.059,377.444,357.078,223.297,521.252,423.245,297.481,340.753,199.687,319.171,461.631,490.19,274.953,167.454,455.602,90.799,127.161,511.285,331.769,426.499,510.314,377.078,559.724,491.791,536.19,168.612,270.039,321.185,364.913,401.487,252.386,365.789,280.637,270.007,275.205,587.763,559.5,494.401,395.608,335.526,89.287,367.635,256.921,208.658,377.604,154.844,355.656,94.896,235.739,315.934,205.508,211.522,0,236.404,392.517,285.476,371.57,290.393,343.107,541.976,44.249,284.696,102.174,443.824,872.625,525.485,147.015,130.145,359.64,422.969,302.692,472.042
"Pawnee",168.946,283.137,300.005,376.453,352.245,190.962,297.045,288.227,237.516,353.932,195.855,134.829,115.722,33.686,243.748,294.311,322.87,260.283,93.419,288.282,179.895,127.744,294.626,104.379,401.637,342.994,352.216,392.404,275.132,308.8,146.444,300.833,153.865,137.523,254.304,86.71,148.147,255.934,285.572,305.999,420.443,332.11,327.081,168.218,93.402,160.795,200.315,287.715,222.877,234.103,169.063,188.336,169.725,140.612,148.614,150.976,45.536,237.421,0,225.197,260.773,224.387,126.195,318.245,324.509,234.6,137.513,143.79,276.504,822.504,358.165,90.684,154.274,192.32,255.649,140.04,244.652
"Payne",324.436,133.737,164.22,425.898,230.893,178.446,189.787,186.403,219.246,226.988,330.194,102.613,124.628,245.241,141.924,104.788,133.957,211.128,229.705,211.989,338.607,322.772,315.801,207.681,300.665,134.451,251.244,242.333,296.307,349.171,284.428,268.858,74.549,240.96,136.181,268.249,147.01,180.237,237.582,274.024,257.201,381.555,134.334,230.472,157.957,316.285,26.09,274.786,264.851,92.251,290.813,44.516,328.437,207.753,83.279,235.578,257.091,392.911,224.993,0,185.075,122.563,107.12,216.441,298.363,390.09,113.317,299.28,86.981,629.757,194.923,249.396,306.975,28.25,92.369,98.076,294.097
"Pittsburg",212.426,371.469,48.908,590.523,440.577,343.071,101.644,81.278,62.375,442.264,448.106,222.024,289.002,224.548,43.371,248.825,281.493,26.719,161.837,376.614,262.756,247.805,480.426,356.63,186.3,226.065,136.879,419.253,460.932,513.796,146.3,91.711,240.946,389.774,113.609,340.605,311.635,4.838,60.435,96.877,434.121,546.18,169.42,395.097,322.331,197.737,173.942,118.257,77.227,138.292,135.482,187.725,252.586,138.232,235.695,112.445,236.383,286.677,261.265,185.741,0,102.755,184.375,102.908,462.988,282.151,117.346,222.198,234.506,596.825,347.881,174.429,158.306,192.379,269.289,213.95,458.722
"Pontotoc",303.47,248.266,63.959,523.621,373.675,276.169,82.386,73.568,155.177,375.362,410.711,155.122,222.1,223.391,59.327,153.629,186.297,128.531,208.739,309.712,317.641,301.806,413.524,319.466,198.467,151.417,149.046,321.146,394.03,446.894,241.785,193.523,174.044,352.379,29.916,290.702,244.733,97.64,162.247,198.689,336.014,479.278,94.772,328.195,255.429,295.319,111.551,211.059,170.029,41.34,228.284,125.334,307.471,165.047,168.793,192.872,235.241,371.945,224.485,123.35,102.478,0,110.8,114.243,396.086,369.124,87.42,278.314,139.31,577.567,252.685,228.43,251.108,129.988,206.898,147.048,391.82
"Pottawatomie",222.191,198.057,152.371,417.111,267.165,169.659,183.372,174.554,167.845,268.852,304.201,48.612,115.59,142.996,130.075,199.908,228.467,182.204,127.46,203.202,236.362,220.527,307.014,212.956,288.816,216.302,239.395,307.324,287.52,340.384,166.285,238.747,67.534,245.869,140.631,184.192,138.223,177.855,207.493,243.913,326.04,372.768,174.341,221.685,148.919,214.04,81.629,225.629,146.645,94.681,172.607,61.887,226.192,89.547,62.283,117.372,154.846,290.666,126.185,107.723,182.694,110.714,0,204.592,289.576,287.845,34.484,197.035,182.101,669.764,263.762,147.151,195.431,96.574,161.246,40.538,285.31
"Pushmataha",269.203,341.681,51.796,646.919,496.973,399.467,95.498,82.981,119.152,498.66,504.502,278.42,345.398,280.944,74.157,257.655,290.837,112.541,218.233,433.01,319.152,304.201,536.822,413.026,91.015,227.813,41.594,426.154,517.328,570.192,203.077,134.537,297.342,446.17,115.312,397.001,368.031,98.133,105.326,134.62,441.022,602.576,171.168,451.493,378.727,254.514,204.966,175.034,134.004,146.348,192.259,218.749,308.982,194.628,292.091,168.841,292.779,343.454,317.661,216.765,102.972,114.218,204.215,0,519.384,338.928,188.421,278.594,244.318,586.578,366.744,230.825,215.083,223.403,300.313,270.346,515.118
"Roger Mills",473.878,138.945,436.342,204.034,37.018,134.47,466.352,458.525,446.298,57.541,231.908,253.329,214.125,353.857,414.046,285.412,258.057,460.657,379.147,80.232,488.049,472.214,61.884,237.452,602.011,343.802,552.59,89.872,78.117,152.664,433.87,517.2,226.467,278.654,412.746,367.74,180.489,456.308,485.946,522.366,152.938,159.691,410.899,173.36,237.616,465.727,284.133,504.082,425.098,368.816,451.06,272.154,477.879,368,228.594,395.825,365.707,542.353,324.484,309.015,461.147,394.685,289.64,518.619,0,539.532,318.455,448.722,275.004,832.374,185.661,398.838,456.417,276.138,177.307,258.323,119.671
"Rogers",70.375,447.601,321.518,550.235,516.709,419.203,374.254,353.888,220.107,518.396,342.995,294.625,337.897,196.831,315.981,458.775,487.334,271.763,164.598,452.746,56.246,92.608,508.429,328.913,423.309,507.458,373.888,556.868,488.935,455.94,165.756,266.849,318.329,294.627,398.631,222.987,362.933,277.447,266.817,272.015,584.907,556.644,491.545,392.752,332.67,86.097,364.779,253.731,205.468,374.748,151.654,352.8,64.641,232.883,313.078,202.652,176.413,44.249,233.548,389.661,282.286,368.714,287.537,339.917,539.12,0,281.84,95.135,440.968,869.435,522.629,144.159,126.955,356.784,420.113,299.836,469.186
"Seminole",216.514,227.498,128.995,446.552,296.606,199.1,159.996,151.178,121.664,298.293,333.642,78.053,145.031,136.435,106.699,203.905,257.908,130.517,121.783,232.643,230.685,214.85,336.455,242.397,272.145,214.998,222.724,336.765,316.961,369.825,154.829,187.082,96.975,275.31,117.255,216.93,167.664,112.613,155.806,192.248,355.481,402.209,173.037,251.126,178.36,208.363,87.196,183.546,106.61,93.372,161.151,78.645,220.515,78.091,91.724,105.916,148.285,284.989,137.529,113.29,117.452,87.338,29.694,188.753,319.017,282.168,0,191.358,189.586,655.177,293.203,141.474,183.975,97.666,190.687,69.979,314.751
"Sequoyah",32.851,357.127,261.207,510.513,426.235,328.729,313.943,293.577,165.257,427.922,329.915,204.151,247.423,106.357,255.67,368.301,396.86,216.913,74.124,362.272,55.166,80.636,417.955,238.439,362.839,416.984,313.418,466.394,398.461,442.86,75.282,228.574,227.855,271.583,308.157,222.414,272.459,217.136,228.542,233.74,494.433,466.17,401.071,302.278,242.196,37.014,274.305,215.456,150.618,284.274,96.804,262.326,44.996,142.409,222.604,112.178,96.001,103.235,143.074,299.187,221.975,278.24,197.063,279.447,448.646,95.144,191.366,0,350.494,809.124,432.155,53.685,70.16,266.31,329.639,209.362,378.712
"Stephens",375.271,130.691,194.019,433.041,232.615,185.589,190.458,201.915,270.621,212.289,308.791,154.252,172.816,296.076,191.165,16.686,49.354,260.369,280.54,204.434,389.442,373.607,322.944,255.869,328.527,83.836,279.106,179.535,303.45,356.314,335.263,325.361,122.737,289.148,147.539,319.084,156.864,229.478,294.085,330.527,194.403,388.698,135.005,237.615,206.145,367.12,118.243,326.161,316.463,103.609,342.425,127.285,379.272,259.365,129.517,287.19,307.926,443.746,275.828,87.002,234.316,139.335,181.005,244.303,271.356,440.925,190.041,350.115,0,603.669,115.742,300.231,357.81,109.054,109.722,149.688,301.24
"Texas",800.011,740.143,548.688,1035.732,802.513,788.28,497.725,517.758,649.96,788.084,927.757,700.176,734.211,812.133,569.755,595.021,640.613,623.314,749.422,821.823,850.341,835.39,925.635,817.264,516.112,552.696,545.557,748.834,906.141,959.005,733.885,688.306,683.556,869.425,544.951,865.812,756.844,592.423,657.03,693.472,731.019,991.389,499.78,840.306,767.54,785.322,623.681,705.842,664.812,582.959,723.067,642.107,840.171,702.101,680.842,700.03,823.968,874.262,822.556,630.321,597.261,578.113,669.885,593.871,839.525,869.736,655.714,809.783,610.955,0,672.47,762.014,745.891,642.573,719.174,695.639,903.931
"Tillman",457.201,125.448,316.344,378.496,148.643,208.157,273.929,285.386,419.593,135.826,304.628,236.182,254.746,378.006,304.62,99.81,67.542,373.824,362.47,140.058,471.372,455.537,247.483,337.799,421.209,158.14,371.788,94.964,256.577,312.994,417.193,490.495,204.667,371.078,253.027,401.014,239.58,342.933,459.241,495.661,95.516,345.378,214.77,246.08,288.075,449.05,198.903,477.377,398.393,217.064,424.355,209.215,461.202,341.295,211.447,369.12,389.856,525.676,357.758,194.595,347.771,252.79,262.935,366.628,185.655,522.855,291.75,432.045,115.744,664.692,0,382.161,439.74,190.984,133.459,231.618,257.92
"Tulsa",80.072,305.765,211.468,457.73,374.873,277.367,264.204,243.838,148.084,376.56,277.132,152.789,196.061,53.574,205.931,316.939,345.498,171.746,22.762,310.91,91.021,75.186,365.172,185.656,313.1,365.622,263.679,415.032,345.678,390.077,57.012,211.401,176.493,218.8,256.795,169.631,221.097,167.397,197.035,216.567,443.071,413.387,349.709,249.495,189.413,71.921,222.943,198.283,133.445,232.912,79.631,210.964,80.851,92.67,171.242,62.439,65.409,148.547,90.291,247.825,172.236,226.878,145.701,229.708,397.284,145.726,140.004,54.916,299.132,759.385,380.793,0,64.842,214.948,278.277,158,325.929
"Wagoner",57.087,363.69,197.631,521.115,432.798,335.292,250.367,230.001,96.22,434.485,340.517,210.714,253.986,116.959,192.094,374.864,403.423,147.876,80.687,368.835,134.214,134.102,428.557,249.041,299.422,374.788,250.001,472.957,409.063,453.462,40.898,142.962,234.418,282.185,262.332,233.016,279.022,153.56,142.93,148.128,500.996,476.772,318.143,312.88,252.798,42.398,280.868,129.844,81.581,276.421,27.767,268.889,124.044,125.333,229.167,95.102,128.794,131.338,153.676,305.75,158.399,251.478,194.989,216.03,455.209,126.812,183.513,70.704,357.057,745.548,438.718,63.729,0,272.873,336.202,215.925,389.314
"Washington",291.538,130.106,170.856,405.271,255.325,157.819,201.802,193.039,253.153,257.012,297.296,69.715,103.75,212.343,148.56,126.331,155.997,217.764,196.807,191.362,305.709,289.874,295.174,186.803,307.301,155.994,257.88,238.702,275.68,328.544,251.53,324.055,53.095,238.964,148.196,235.351,126.383,186.873,244.218,329.221,253.57,360.928,146.349,209.845,137.079,283.387,18.344,310.937,231.953,104.266,257.915,29.442,295.539,174.855,50.381,202.68,224.193,360.013,192.095,28.245,191.711,129.199,96.495,223.077,277.736,357.192,96.79,266.382,108.524,641.772,191.292,216.498,274.077,0,88.738,65.178,273.47
"Washita",355.023,38.587,247.775,359.566,140.511,107.897,276.213,269.958,317.415,124.379,239.31,134.004,152.568,275.828,225.479,125.559,98.204,331.774,260.292,112.33,369.194,353.359,240.486,184.736,384.22,192.709,334.799,127.406,231.166,282.839,315.015,388.317,102.489,228.634,222.607,298.836,120.763,263.792,357.063,393.483,195.777,315.223,220.76,180.762,185.897,346.872,96.686,375.199,296.215,178.677,322.177,107.037,359.024,239.117,109.269,266.942,287.678,423.498,255.58,92.378,268.63,206.118,160.757,299.996,179.252,420.677,189.572,329.867,115.151,711.977,133.499,279.983,337.562,88.767,0,129.44,227.765
"Woods",234.515,166.797,187.768,385.851,235.905,138.399,218.769,209.951,197.724,237.592,272.941,7.202,84.33,155.32,165.472,168.648,197.207,212.083,139.784,171.942,248.686,232.851,275.754,181.696,353.437,215.988,304.016,276.064,256.26,309.124,194.507,268.626,36.274,214.609,176.028,210.996,106.963,207.734,237.372,273.792,294.78,341.508,200.075,190.425,117.659,226.364,73.309,255.508,176.524,130.078,202.486,61.33,238.516,119.426,31.023,147.251,167.17,302.99,139.319,98.191,212.573,146.111,41.066,270.045,258.316,300.169,69.881,209.359,150.841,695.498,232.502,159.475,217.054,65.314,129.986,0,254.05
"Woodward",404.194,189.108,432.368,131.801,151.115,116.614,462.378,454.551,442.324,152.802,129.058,249.355,196.269,285.863,410.072,318.938,308.22,456.683,328.667,117.873,415.143,350.977,57.79,140.765,598.037,386.088,548.616,191.274,58.561,55.074,381.692,513.226,222.493,175.804,408.772,254.516,162.633,452.334,481.972,518.392,254.34,87.458,406.925,96.013,184.895,396.043,280.159,500.108,421.124,364.842,404.311,268.18,404.973,364.026,224.62,386.224,297.713,472.669,244.946,305.041,457.173,390.711,285.666,514.645,119.654,469.848,314.481,379.038,301.131,902.348,257.908,325.932,389.522,272.164,227.47,254.349,0
