"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Greer",491.379,113.77,375.571,282.754,52.901,192.674,372.01,383.467,463.799,38.472,289.145,270.83,288.924,412.184,375.843,194.549,167.194,478.158,396.648,119.515,505.55,489.715,151.741,297.676,510.079,252.968,460.658,0,167.974,246.276,451.371,534.701,243.968,335.891,329.091,435.192,240.445,473.809,503.447,539.867,63.068,249.548,309.598,230.597,295.82,483.228,247.05,521.583,442.599,285.161,468.561,257.362,495.38,385.501,246.095,413.326,424.034,559.854,391.936,242.742,418.994,320.887,307.141,425.855,89.913,557.033,335.956,466.223,184.141,741.54,94.827,416.339,473.918,239.131,127.129,275.824,191.202
"Harmon",423.734,192.38,434.575,161.643,115.093,118.821,464.585,456.758,444.531,135.616,167.123,251.562,198.476,305.403,412.279,321.145,311.492,458.89,377.38,118.836,434.683,389.042,19.493,172.667,600.244,388.295,550.823,167.947,0,103.508,432.103,515.433,224.7,213.869,410.979,292.781,164.84,454.541,484.179,520.599,231.013,117.3,409.132,108.575,187.102,415.583,282.366,502.315,423.331,367.049,449.293,270.387,424.513,366.233,226.827,394.058,317.253,492.209,275.268,307.248,459.38,392.918,287.873,516.852,78.131,489.388,316.688,398.578,303.338,904.555,256.56,345.472,409.062,274.371,230.742,256.556,58.576
"Harper",468.615,244.276,487.536,94.629,189.536,171.782,517.546,509.719,497.492,207.97,121.837,304.523,251.437,350.284,465.24,374.106,363.388,511.851,393.088,173.041,397.489,360.953,90.71,195.933,653.205,441.256,603.784,242.39,101.762,0,446.113,568.394,277.661,185.367,463.94,241.815,217.801,507.502,537.14,573.56,305.456,80.05,462.093,151.181,240.063,460.464,335.327,555.276,476.292,420.01,468.732,323.348,387.327,419.194,279.788,450.645,362.134,537.09,309.367,360.209,512.341,445.879,340.834,569.813,152.574,455.714,369.649,443.459,356.299,957.516,313.076,390.353,453.943,327.332,282.638,309.517,55.168
"Haskell",101.776,343.274,185.405,513.818,412.382,314.876,238.141,217.775,83.994,414.069,333.22,190.298,233.57,109.662,179.868,354.448,383.007,135.65,52.354,348.419,126.917,126.805,452.231,241.744,287.196,367.291,237.775,452.541,432.737,446.165,0,155.139,214.002,274.888,250.106,225.719,258.606,141.334,140.858,160.305,480.58,469.475,305.917,305.583,245.501,79.723,260.452,142.021,69.355,245.665,35.086,224.973,116.747,88.178,208.751,57.947,121.497,170.251,146.379,285.334,146.173,239.631,164.233,203.804,434.793,167.43,152.757,76.62,336.641,733.322,418.302,56.432,40.309,252.457,315.786,195.509,382.017
"Hughes",197.555,426.271,139.953,645.325,495.379,397.873,192.689,172.323,95.675,497.066,488.576,276.826,343.804,265.018,134.416,339.87,372.538,64.991,228.746,431.416,282.273,282.161,535.228,397.1,204.333,317.11,171.499,535.538,515.734,568.598,154.493,0,295.748,430.244,204.654,381.075,366.437,95.883,31.637,9.812,554.254,600.982,260.465,460.939,377.133,182.866,257.134,45.438,90.089,229.337,116.235,299.917,272.103,193.034,290.497,167.581,276.853,271.806,301.735,268.933,91.456,193.8,239.177,133.971,517.79,267.28,186.979,228.735,325.551,687.87,491.976,211.788,143.435,324.788,389.46,268.752,513.524
"Jackson",253.049,135.915,214.239,354.969,205.023,107.517,242.97,236.422,224.195,206.71,222.644,31.226,53.699,173.854,191.943,141.25,169.809,238.554,158.318,141.06,267.22,251.385,244.872,136.752,379.908,208.4,330.487,245.182,225.378,278.242,213.041,295.097,0,170.031,189.364,196.862,76.081,234.205,263.843,300.263,267.382,310.626,187.517,159.543,87.028,244.898,60.751,281.979,202.995,145.434,228.957,48.772,257.05,145.897,6.673,173.722,185.704,321.524,153.606,85.633,239.044,172.582,67.537,296.516,227.434,318.703,96.352,227.893,123.443,682.94,205.104,178.009,235.588,52.756,102.588,36.22,223.168
"Jefferson",293.684,238.328,389.207,279.662,295.964,149.222,420.208,411.39,362.254,297.651,67.296,200.211,113.48,175.353,366.911,303.528,332.087,385.021,218.157,210.958,222.535,185.999,235.207,44.542,526.375,370.678,476.954,336.123,215.713,185.367,271.182,425.571,165.363,0,351.642,80.502,107.823,380.672,410.31,430.737,399.189,265.083,349.795,105.525,86.269,285.533,223.029,412.453,347.615,307.712,293.801,211.05,212.373,265.35,167.227,275.714,187.203,362.159,134.436,247.911,385.511,347.55,242.505,442.983,280.498,294.401,271.32,268.528,285.721,845.218,367.382,215.422,279.012,215.034,228.335,211.188,175.769
"Johnston",316.344,277.115,65.021,541.558,391.612,294.106,54.511,47.828,166.293,393.299,433.583,185.039,240.037,253.308,69.579,147.128,183.35,139.647,238.656,327.649,347.558,331.723,431.461,323.09,189.375,121.5,139.954,329.368,411.967,464.831,250.218,204.639,189.382,375.251,0,320.619,262.67,108.756,173.363,209.805,338.9,497.215,64.855,346.132,273.366,301.655,129.507,222.175,181.145,49.562,239.4,155.251,337.388,194.964,186.668,216.363,265.158,401.862,254.402,136.147,113.594,29.916,140.717,115.305,414.023,399.041,117.337,308.231,147.532,549.692,245.799,258.347,262.224,148.399,216.14,176.965,409.757
"Kay",248.349,326.576,331.657,336.138,395.684,234.401,362.658,353.84,316.919,397.371,128.898,201.032,159.161,120.319,309.361,337.75,366.309,339.686,172.822,331.721,184.903,153.933,314.154,129.419,481.04,386.433,431.619,435.843,294.66,241.843,225.847,380.236,197.304,80.53,319.917,0,191.586,335.337,364.975,385.402,463.882,321.559,370.52,184.472,133.176,240.198,243.754,367.118,302.28,273.967,248.466,231.775,165.149,220.015,192.053,230.379,127.925,251.375,86.793,268.636,340.176,290,184.955,397.648,367.948,222.757,216.979,223.193,319.943,865.943,401.604,170.087,233.677,235.759,299.088,212.009,254.561
"Kingfisher",299.165,130.504,285.813,294.425,199.612,46.973,314.977,307.996,295.769,201.299,147.24,102.204,37.794,177.526,263.517,174.55,206.758,310.128,204.434,113.716,313.336,297.501,184.328,63.972,451.482,241.7,402.061,239.771,164.834,217.698,259.157,366.671,75.938,107.87,261.371,191.409,0,305.779,335.417,371.837,302.837,250.082,259.524,102.608,62.116,291.014,132.758,353.553,274.569,217.441,296.493,120.779,303.166,217.471,78.065,231.062,189.376,367.64,148.153,157.64,310.618,244.156,139.111,368.09,180.52,364.819,167.926,274.009,156.743,754.947,242.053,224.125,281.704,124.763,120.511,107.794,162.624
