"","Bristol","Kent","Newport","Providence","Washington"
"Bristol",0,42.015,21.613,27.895,55.755
"Kent",40.879,0,38.981,18.953,17.548
"Newport",22.317,37.851,0,54.019,45.484
"Providence",27.285,19.355,54.528,0,33.095
"Washington",52.743,14.649,42.103,30.817,0
