"","Appling","Atkinson","Bacon","Baker","Baldwin","Banks","Barrow","Bartow","Ben Hill","Berrien","Bibb","Bleckley","Brantley","Brooks","Bryan","Bulloch","Burke","Butts","Calhoun","Camden","Candler","Carroll","Catoosa","Charlton","Chatham","Chattahoochee","Chattooga","Cherokee","Clarke","Clay","Clayton","Clinch","Cobb","Coffee","Colquitt","Columbia","Cook","Coweta","Crawford","Crisp","Dade","Dawson","Decatur","DeKalb","Dodge","Dooly","Dougherty","Douglas","Early","Echols","Effingham","Elbert","Emanuel","Evans","Fannin","Fayette","Floyd","Forsyth","Franklin","Fulton","Gilmer","Glascock","Glynn","Gordon","Grady","Greene","Gwinnett","Habersham","Hall","Hancock","Haralson","Harris","Hart","Heard","Henry","Houston","Irwin","Jackson","Jasper","Jeff Davis","Jefferson","Jenkins","Johnson","Jones","Lamar","Lanier","Laurens","Lee","Liberty","Lincoln","Long","Lowndes","Lumpkin","Macon","Madison","Marion","McDuffie","McIntosh","Meriwether","Miller","Mitchell","Monroe","Montgomery","Morgan","Murray","Muscogee","Newton","Oconee","Oglethorpe","Paulding","Peach","Pickens","Pierce","Pike","Polk","Pulaski","Putnam","Quitman","Rabun","Randolph","Richmond","Rockdale","Schley","Screven","Seminole","Spalding","Stephens","Stewart","Sumter","Talbot","Taliaferro","Tattnall","Taylor","Telfair","Terrell","Thomas","Tift","Toombs","Towns","Treutlen","Troup","Turner","Twiggs","Union","Upson","Walker","Walton","Ware","Warren","Washington","Wayne","Webster","Wheeler","White","Whitfield","Wilcox","Wilkes","Wilkinson","Worth"
"Dade",224.083,375.25,318.117,304.9,177.2,176.25,157.333,264.1,124.65,293.233,189.433,227.233,237.1,166.85,296.167,295.483,262.85,293.917,63.917,378.083,157.017,150.017,37.85,379.583,319.7,117.517,230.733,110.05,180.967,282.2,191.967,334.833,247.883,331.517,306.933,236.117,282.167,151.6,193.9,235.067,0,258.833,130.383,130.383,248.483,226.833,149.217,310.817,283.683,327.083,318.667,217,268.683,236.117,117.867,150.183,121.517,168.817,178.583,119.6,101.883,224.833,364.633,214.45,330.833,167.833,140.35,80.3,157.067,209.767,168.95,191.333,203.983,206.7,147.9,188.917,277.5,163.7,106.75,289.083,162.483,285.167,151.083,344.667,252.35,302.283,234.517,269.483,195.1,235.167,330.533,304.267,235.567,191.417,171.267,201.267,215.75,334.95,208.517,306.933,226.6,170.05,331.117,280.317,66.917,203.817,304.9,249.267,234.6,113.783,209.133,106.75,349.483,181.217,105.1,277.417,242.6,315.933,191.967,255.283,241.183,121.8,292.9,348.067,316.7,227.833,202.217,169.633,275.133,217.483,195.933,286.933,222.783,260.65,198.95,336.733,266.767,271.35,274.75,245.667,172.033,248.633,209.017,253.583,196.783,285.45,170.05,344.1,80.433,218.983,147.967,244.35,257.55,82.1,168.7,258.083,218.983,226.867,249.033
"Dawson",237.9,188.533,160.9,53.283,217.8,216.85,197.933,196.467,143.8,104.533,114.117,110.033,61.917,147.133,212.95,212.25,232.583,211.8,203.867,216.017,197.617,152.733,226.983,189.55,236.467,147.967,281.483,178.5,221.567,52.967,250.133,144.8,42.117,175.2,64.567,249.95,93.45,120.4,233.383,58.8,258.3,0,161.183,161.183,119.517,63.783,200.3,131.183,55.25,138.383,235.433,263.117,185.45,249.95,233.817,146.967,161.433,128.35,128.383,147.317,218.083,211.733,221.383,141.917,86.05,208.417,180.95,187.95,197.667,183.717,135.667,90.917,244.567,100.733,158.333,124.883,98.817,148.483,197.95,152.617,203.083,221.417,191.667,251.85,43.017,219.05,151.283,24.333,197.783,248.983,217.233,115.55,37.633,115.317,190,128.717,225.833,247.85,160.483,64.567,203.567,195.35,247.883,29.2,228.15,64.617,53.283,175.75,62.4,182.433,92.3,197.95,166,127.3,198.6,194.183,52.7,115.083,250.133,29.933,255.017,154.867,63.9,187.167,82.4,66.133,224.317,167.9,24.283,87.483,209.767,197.033,77.817,125.733,126.4,92.45,76.733,178.25,139.85,162.433,103.433,62.533,133.767,46.967,107.417,28.6,195.35,154.067,208.633,233.8,188.567,28.567,138.467,184.733,103.117,93.8,233.8,154.333,67.35
"Decatur",114.583,272.483,215.367,202.133,75.917,74.983,56.05,154.6,30,190.483,86.667,124.483,139.483,69.233,193.417,192.733,153.367,184.433,78.15,275.333,55.733,69.133,101.267,276.833,216.933,26.533,139.617,52.767,79.683,184.6,108.267,232.067,145.133,228.767,209.317,126.633,179.417,53.983,92.617,132.3,132.6,161.217,0,0,145.733,124.083,65.517,208.067,186.067,224.333,215.917,115.717,165.933,126.633,108.083,52.5,40,66.067,77.383,18.167,92.367,115.35,261.883,111.7,228.067,66.55,39.067,62.233,55.783,100.267,71.35,93.717,102.7,103.95,45.15,94.267,174.733,60.95,72.233,186.317,61.2,175.667,49.8,241.917,149.6,199.517,131.767,166.733,85.6,125.683,227.783,201.517,137.95,88.667,61.783,98.5,106.25,232.2,99.033,209.317,117.117,63.433,228.367,182.7,102.433,106.2,202.133,139.767,131.85,60.817,106.383,72.233,246.733,78.583,88.85,174.667,144.983,213.183,108.267,157.667,131.7,29.917,190.15,245.317,219.083,125.083,100.933,60.15,172.383,119.867,86.45,184.183,120.017,157.883,96.2,233.983,164.017,168.6,172,142.9,74.417,145.883,106.25,155.967,94.033,187.833,63.433,241.35,82.917,109.5,46.683,146.733,154.8,59.033,71.083,155.333,109.5,124.117,146.283
"DeKalb",114.583,272.483,215.367,202.133,75.917,74.983,56.05,154.6,30,190.483,86.667,124.483,139.483,69.233,193.417,192.733,153.367,184.433,78.15,275.333,55.733,69.133,101.267,276.833,216.933,26.533,139.617,52.767,79.683,184.6,108.267,232.067,145.133,228.767,209.317,126.633,179.417,53.983,92.617,132.3,132.6,161.217,0,0,145.733,124.083,65.517,208.067,186.067,224.333,215.917,115.717,165.933,126.633,108.083,52.5,40,66.067,77.383,18.167,92.367,115.35,261.883,111.7,228.067,66.55,39.067,62.233,55.783,100.267,71.35,93.717,102.7,103.95,45.15,94.267,174.733,60.95,72.233,186.317,61.2,175.667,49.8,241.917,149.6,199.517,131.767,166.733,85.6,125.683,227.783,201.517,137.95,88.667,61.783,98.5,106.25,232.2,99.033,209.317,117.117,63.433,228.367,182.7,102.433,106.2,202.133,139.767,131.85,60.817,106.383,72.233,246.733,78.583,88.85,174.667,144.983,213.183,108.267,157.667,131.7,29.917,190.15,245.317,219.083,125.083,100.933,60.15,172.383,119.867,86.45,184.183,120.017,157.883,96.2,233.983,164.017,168.6,172,142.9,74.417,145.883,106.25,155.967,94.033,187.833,63.433,241.35,82.917,109.5,46.683,146.733,154.8,59.033,71.083,155.333,109.5,124.117,146.283
"Dodge",155.017,142.4,85.267,133.783,197.7,196.75,177.833,86.917,138.233,102.2,66.183,22.633,114.8,133.033,105.85,105.167,124.683,104.7,194.45,169.867,177.5,185.067,217.567,153.717,129.367,142.45,261.383,169.067,178.933,171.883,230.033,115.05,76.133,98.683,163.1,166.167,105.717,156.55,178.083,63.95,248.883,118.917,144.567,144.567,0,55.1,186.8,70.367,169.483,144.3,128.35,208.767,77.55,166.167,224.383,140.833,155.917,85.35,179.933,133.233,208.65,121.667,157.367,71.817,161.9,182.2,160.85,178.533,177.567,114.867,142.9,153.617,225.583,55.983,115.083,198.85,67.317,105.233,188.517,56.233,182.967,114.333,171.567,154.35,80.6,111.95,41.733,98.367,140.35,173.25,123.8,127.817,138.567,70.65,141.15,50.417,145.883,144.617,99.75,163.1,113.5,164.133,140.8,143.3,218.733,145.383,133.783,74.117,69.433,176.75,69.35,188.517,116.633,117.883,204.783,87.083,98.75,139.483,230.033,148.867,163.2,145.833,117.6,115.233,180.9,62.65,169.033,125.3,102.35,121.233,145.15,92.633,96.683,26.117,65.45,159.483,90.65,73.85,40.233,46.067,177.1,70.433,52.9,159.85,120.333,123.45,164.133,118.217,199.217,168.483,168.467,114.367,34,175.317,172.15,28.167,168.483,67.05,75.067
"Dooly",174.7,159.65,120.65,86.883,177.75,176.8,157.883,133.267,118.283,74.317,50.917,46.833,75.117,113.1,149.733,149.05,169.383,148.6,174.5,187.133,157.567,165.117,197.617,160.667,173.267,122.5,241.433,149.133,166.233,116.583,210.083,115.917,20.833,134.95,116.2,186.75,63.25,136.6,170.183,12.667,228.95,63.617,124.617,124.617,56.317,0,166.85,90.933,118.883,108.167,172.233,199.9,122.25,186.75,204.433,120.9,135.967,65.417,160,113.283,188.717,148.533,192.483,78.717,112.817,169.517,140.9,158.583,157.617,120.517,122.967,119.417,212.883,37.533,95.133,165.983,58.583,85.283,168.583,105.967,163.033,158.217,151.633,198.233,25.3,155.85,88.083,51.467,134.583,185.783,173.533,85.35,83.267,52.117,126.8,65.517,162.617,188.517,97.283,116.2,140.367,147.067,184.683,92.817,198.8,105.7,86.883,112.55,29.75,156.8,42.35,168.583,137.117,97.933,184.833,130.983,59.067,97.017,210.083,93.567,191.817,125.9,73.983,158.283,134,25.367,161.117,104.7,47.05,87.05,146.567,140.5,63.05,75.85,63.2,117.817,47.85,124.917,89.967,99.233,144.517,29.717,70.567,104.55,93.333,76.55,147.067,125.183,179.267,170.6,148.517,59.067,88.517,155.383,144.2,44.967,170.6,91.117,30.117
"Dougherty",159.617,312.367,255.25,242.017,63.2,67.05,75.467,199.633,66.817,230.367,126.55,164.35,177.583,107.333,233.3,232.617,198.4,229.467,93.7,315.217,42.283,104.933,118.417,316.717,256.817,59.683,131.45,60.183,91.767,222.683,95.467,271.95,185.017,268.65,247.417,171.667,219.3,92.083,109.017,172.183,149.733,199.3,65.05,65.05,185.617,163.967,0,247.95,224.15,264.217,255.8,124.033,205.817,171.667,66.05,90.583,63.667,105.95,115.467,56.733,49.15,160.383,301.75,151.583,267.95,87.25,67.683,83.167,34.317,145.3,109.433,131.8,108.6,143.833,85.033,132.35,214.617,100.833,41.45,226.2,66.417,220.7,51.45,281.8,189.483,239.4,171.65,206.6,130.633,164.6,267.667,241.4,176.05,128.55,106.8,138.383,151.283,272.067,144.067,247.417,162.15,97.6,268.25,220.8,82.117,144.283,242.017,184.8,171.733,93.433,146.267,41.45,286.6,118.35,119.283,214.533,183.083,253.067,95.467,195.75,176.733,62.083,230.033,285.2,257.183,164.967,117.317,105.183,212.267,157.95,131.483,224.067,159.9,197.767,136.067,273.867,203.9,208.483,211.883,182.783,112.517,185.767,146.133,194.05,133.917,225.917,97.6,281.217,100.283,144.15,47.1,184.817,194.683,74.017,109.183,195.217,144.15,164,186.167
"Douglas",202.783,83.267,31.867,131.1,257.35,256.4,237.467,138.317,197.883,47.983,131.9,94.233,164.417,192.683,124.917,141.05,164.017,135.95,254.1,110.733,237.15,244.717,277.217,84.283,162.133,202.1,321.033,228.717,238.3,181.1,289.683,45.633,97.417,46.167,158.917,211.5,65.85,216.2,238.65,83.35,308.533,128.65,204.217,204.217,73.433,89.083,246.45,0,171.317,74.883,160.383,259.75,116.65,211.5,284.033,200.483,215.567,145,239.583,192.883,268.3,176.267,117.083,136.383,138.467,241.567,220.5,238.183,237.217,175.583,202.55,206.2,284.15,120.45,174.733,253.533,30.683,164.883,248.167,40.017,242.617,145.583,231.217,138.383,107.367,131.017,96.333,103.867,201.383,221.017,98.05,74.95,166.283,131.7,200.533,115.3,193.65,128.667,155.483,158.917,168.1,226.667,168.817,145.133,278.383,193.267,131.1,128.7,119.033,236.4,121.933,248.167,60.733,177.517,264.433,119.117,148.367,97.583,289.683,156.783,203.933,205.483,92.8,73.267,176.717,114.65,229.583,184.3,120.733,173.817,205.7,89.733,149.267,51.967,131.833,122.267,54.033,81.417,59.833,89.617,232.083,65.283,117.483,173.817,172.917,125.483,226.667,48.783,258.867,223.067,228.117,145.383,64.7,234.967,228.533,60.333,223.067,122.783,69.9
"Early",273.633,229.617,201.117,49.417,244.95,244,225.067,248.033,170.95,144.983,164.7,161.6,94.917,174.283,264.5,263.817,284.15,263.367,231,257.083,224.75,179.867,254.117,230.633,288.033,175.117,308.633,205.65,248.7,23.717,277.283,181.367,97.133,215.417,25.633,285.683,126.767,147.55,261.65,112.317,285.45,55.017,188.333,188.333,171.083,118.8,227.45,174.067,0,169.233,287,284.733,237.017,285.683,260.95,174.1,188.583,170.433,155.517,174.467,245.233,262.317,262.45,192.5,74.833,235.567,208.083,215.083,224.817,234.3,162.817,118.067,271.717,151.3,189.7,152.033,141.717,196.95,225.1,200.133,230.217,272.983,218.817,292.933,98.05,270.617,202.85,79.35,248.367,284.717,258.317,145.433,51.75,165.883,220.817,179.3,265.3,288.917,211.067,25.633,254.15,222.483,299.45,34.233,255.3,91.75,49.417,230.1,112.9,209.583,142.967,225.1,207.067,166.217,225.75,245.75,93.417,124.233,277.283,36.217,290.75,182.017,96,228.233,34.333,116.783,260.983,216.367,79.3,123.183,245.5,243.167,119.917,175.533,176.983,95.05,117.817,228.05,189.65,214,130.567,110.05,184.35,53.25,149.517,51.65,222.483,195.133,235.767,268.55,215.717,65.35,188.267,211.883,130.25,143.6,268.55,204.9,115.717
"Echols",274.733,108.383,97.817,123.767,277.017,276.067,257.15,210.267,217.55,59.35,150.183,147.083,184.083,212.35,182.167,197.7,235.983,207.917,273.767,126.75,256.817,264.383,296.883,97.133,198.217,221.767,340.7,248.383,265.5,187.5,309.35,40.433,117.083,105.833,147.033,283.467,50.55,235.867,269.433,103.017,328.2,137.917,223.883,223.883,147.183,108.75,266.117,76.15,168.9,0,218.35,299.167,188.617,283.467,303.7,220.15,235.233,164.667,265.467,212.55,287.967,250,141.217,177.983,99.35,268.767,240.167,257.85,256.883,219.783,222.217,225.867,312.15,136.783,194.4,261.983,87.05,184.55,267.833,111.967,262.283,217.533,250.883,171.7,127.033,188.267,170.067,123.533,233.85,292.967,137.083,25.467,174.717,151.367,226.067,164.783,265.617,167.7,196.55,147.033,241.833,246.333,201.167,151.533,298.05,201.717,123.767,202.433,138.7,256.067,141.6,267.833,85.85,197.2,284.1,189.333,168.033,48.1,309.35,166.017,275.9,225.15,81.433,107.017,147.75,134.317,260.383,203.967,140.4,193.5,245.817,154.833,168.933,125.7,162.467,75.033,68.95,153.367,131.8,161.583,240.533,84.95,169.833,183.033,192.583,134.7,246.333,73.917,278.533,269.85,247.783,165.05,138.433,254.633,240.217,120.383,269.85,196.533,89.583
"Effingham",129.967,109.783,132.833,251.05,263.433,253.383,232.2,98.95,209.3,205.033,137.233,126.8,218.967,204.1,38.417,46.083,77.2,66.717,265.517,103.333,248.567,256.117,288.633,132.783,46.633,213.517,292.783,240.133,215.35,289.15,300.333,179.533,193.4,133.583,280.367,125.25,222.883,227.6,193,181.217,319.95,236.183,215.633,215.633,126.533,172.367,257.85,159.433,286.75,220.067,0,197.533,83.65,125.25,295.45,211.9,226.983,156.417,251,204.3,279.717,128.167,89.883,141.733,276.983,220.3,231.9,249.6,248.633,154.15,213.967,240.367,221.95,147.217,186.15,269.917,184.467,176.3,259.583,122.333,239.383,58.817,242.633,69.917,197.867,35.55,100.083,215.65,179.933,159.033,88.9,220.567,255.85,141.717,185.5,120.65,134.467,60.2,163,280.367,131.6,215.15,56.683,260.567,289.8,240.667,251.05,129.183,186.7,247.8,162.533,259.583,137.233,188.933,275.85,53.033,216.033,243.183,300.333,266.133,115.233,216.9,239.067,118.783,298.167,179.917,188.3,196.367,219.617,207.983,158.4,78.567,185.667,126.233,137.183,270.133,207.8,80,125.183,83.683,248.15,197.45,122.817,277.117,192.917,240.717,215.15,146.083,270.283,163.3,239.533,231.633,113.8,246.383,243.217,155.183,163.3,130.3,195.2
"Elbert",76.117,284.9,238.083,275.65,76.233,66.2,71.617,124.133,128.433,264,153.317,189.25,232.733,167.683,204.717,174.817,118.033,149.1,165.25,286.633,81.3,167.967,188.383,304.1,228.25,125.683,98.433,139.883,48.883,283.033,105.983,300.467,218.65,248.533,304.967,88.85,252.933,152.417,35.633,205.817,219.7,261.417,117.55,117.55,208.55,197.6,123.717,257.267,284.5,297.85,195.4,0,148.517,88.85,176.517,150.933,129.283,146,175.817,117.083,172.883,92.517,273.183,137.583,301.583,57.5,92.35,149.333,92.45,90.633,169.783,192.15,27.6,177.467,137.983,192.7,248.25,136.133,165.183,220.183,66.45,140.333,100.75,253.217,223.1,210.833,168.767,240.233,85.283,48.383,239.65,275.033,236.4,156.917,78.917,167.017,69.4,243.5,118.217,304.967,94.283,76.733,239.667,285.167,189.55,204.633,275.65,135.95,205.367,159.05,179.9,165.183,259.9,178.517,184.917,180.55,234.7,286.683,105.983,256.1,96.367,122.417,263.667,257.45,322.767,198.583,41.583,120.5,243.7,206.533,64.317,196.05,199.667,212.667,160.317,307.5,237.533,178.55,214.017,172.533,172.85,219.4,158,254.4,182.483,265.317,76.733,270.733,170.017,39.917,97.633,250.217,202.65,146.133,169.533,228.85,39.917,141.133,219.8
"Emanuel",88.517,141.867,95.05,200.367,211.583,201.533,180.35,32.133,158.6,159.85,86.55,76.117,168.283,153.4,61.683,48.6,47.35,29.95,214.817,143.6,207.75,205.433,237.933,161.067,85.217,162.817,240.733,189.433,163.5,238.467,248.283,157.433,142.717,105.517,229.667,94.833,177.7,176.917,141.167,130.533,269.267,185.483,164.933,164.933,77.183,121.667,207.167,114.233,236.05,186.683,84.183,145.5,0,94.833,244.75,161.217,176.283,105.733,200.317,153.6,229.033,66.033,130.15,87.667,226.3,168.45,181.217,198.9,197.933,87.333,163.283,189.667,169.9,96.533,135.45,219.217,132.467,125.6,208.9,77.15,187.533,39.567,191.933,110.183,147.183,67.8,49.4,164.95,113.117,106.75,96.617,186.767,205.15,91.017,133.667,69.95,79.4,100.467,101.083,229.667,68.017,163.3,96.633,209.867,239.1,189.967,200.367,57.45,136,197.117,111.833,208.9,116.867,138.25,225.15,41.833,165.333,209.383,248.283,215.433,87.267,166.217,188.383,114.417,247.467,129.233,136.45,145.667,168.917,157.3,103.317,53.017,134.983,74.25,86.483,232.883,155.817,35.517,73.183,31.7,197.467,147.45,72.133,226.417,142.217,190.017,163.3,127.7,219.583,111.267,188.833,180.95,61.8,195.7,192.517,105.183,111.267,69.15,144.517
"Evans",20.233,217.083,183.95,261.5,155.533,145.483,124.3,74,132.417,248.75,139.15,161.367,220,167.233,128.983,98.883,42.1,73.167,181.3,211.717,151.7,171.55,204.417,242.517,153.317,128.95,183.4,155.917,107.467,282.233,190.95,246.333,204.483,194.65,290.8,0,238.767,151.633,85.117,191.667,235.75,247.267,125.283,125.283,159.95,183.433,168.317,203.133,283.717,275.583,119.467,88.167,88.883,0,211.233,148.417,142.417,133.967,175.033,120.583,195.517,58.6,198.25,116.783,287.433,112.4,138.1,165.383,162.85,70.383,168.983,191.367,112.567,163.3,129.117,191.917,222.3,124.183,175.383,166.05,131.483,64.4,152.6,178.3,208.95,135.083,120.167,226.083,74.233,40.317,167.4,260.867,235.6,142.75,77.617,143.717,32.8,168.567,104.067,290.8,62.583,107.25,164.75,271,205.583,203.85,261.5,96.117,191.217,163.233,165.733,175.383,198.3,166.467,191.283,104.617,220.533,272.533,190.95,255.317,21.25,132.333,249.517,193.2,308.6,184.433,80.417,110.95,229.55,194.483,49.733,129.917,186.7,164.067,134.683,293.35,223.367,124.417,162.083,120.6,172.067,205.233,138.1,253.617,170.45,251.15,107.25,209.933,186.067,55.417,149.483,236.067,150.7,162.183,168.733,188.6,55.417,114.533,205.65
"Fannin",200.233,351.383,294.267,281.033,102.183,116.5,133.483,240.233,100.8,269.383,165.567,203.367,213.25,143,272.317,271.633,239,270.067,75.467,354.233,109.183,138.917,91.033,355.733,295.833,93.667,126.033,71.667,153.85,258.35,87.267,310.967,224.033,307.667,283.083,212.267,258.317,127.75,170.617,211.2,120.683,234.967,106.533,106.533,224.633,202.983,66.883,286.967,259.817,303.233,294.817,176.75,244.833,212.267,0,126.333,97.65,144.967,151.133,95.75,21.733,200.983,340.767,190.6,306.967,143.967,116.5,77.567,101.217,185.917,145.1,167.467,155.067,182.85,124.05,168.017,253.633,139.85,44.183,265.217,133.3,261.3,118.333,320.817,228.5,278.417,210.667,245.617,171.233,223.6,306.683,280.417,211.717,167.567,147.417,177.4,191.883,311.083,184.667,283.083,202.75,146.2,307.267,256.467,54.75,179.95,281.033,225.4,210.75,110.033,185.283,44.183,325.617,157.367,126.783,253.55,218.75,292.083,87.267,231.417,217.333,97.933,269.05,324.217,292.85,203.983,178.933,145.783,251.283,193.617,172.083,263.083,198.917,236.783,175.083,312.883,242.917,247.5,250.9,221.8,148.183,224.783,185.15,229.717,172.933,261.583,146.2,320.233,91.183,195.133,114,220.483,233.7,68.417,144.85,234.233,195.133,203.017,225.183
"Fayette",137.233,266.5,209.367,196.15,108.75,107.8,88.883,170.95,34.75,184.5,80.683,118.483,109.717,19.85,187.417,186.733,176,186.283,94.817,269.333,88.55,75.3,117.933,270.85,210.95,38.933,172.433,69.45,112.517,171.55,141.083,226.083,139.133,222.767,196.283,149.267,173.417,40.95,125.45,126.317,149.267,148.183,52.133,52.133,139.733,118.083,91.267,202.083,173.017,218.333,209.917,148.533,159.933,149.267,124.767,0,52.4,60.067,64.35,38.283,109.05,137.983,255.883,105.717,222.083,99.367,71.9,78.9,88.617,122.917,25.883,81.583,135.517,97.95,39.217,81.233,168.75,54.967,88.917,180.333,94.017,195.9,82.617,235.917,143.6,193.533,125.767,160.733,108.25,148.317,221.8,195.517,124.917,82.667,84.417,92.517,128.9,226.2,113.767,196.283,139.75,86.083,222.367,169.667,119.1,93.167,196.15,143.3,121.15,73.383,99.633,88.917,240.733,44,101.433,168.667,123.683,207.183,141.083,144.617,154.35,45.817,184.167,239.317,206.05,119.083,124.583,69.617,148.133,78.833,109.083,178.183,95.767,151.9,90.2,228,158.017,162.6,166,136.917,61.383,139.883,100.267,142.933,64.9,174.783,86.083,235.35,99.583,132.133,79.517,136.65,148.8,75.7,58.05,149.35,132.133,118.117,140.3
"Floyd",131.383,282.733,225.6,213.75,89.017,88.067,69.15,171.383,27.533,200.733,96.917,134.717,139.983,69.733,203.667,202.983,170.15,201.217,70.033,285.567,68.817,59,93.15,287.083,227.183,20.55,152.7,44.683,92.783,185.083,121.35,242.317,155.367,239.017,209.8,143.417,189.65,54.467,105.717,142.55,124.483,161.7,40.467,40.467,155.983,134.333,66.483,218.317,186.55,234.583,226.167,128.8,176.167,143.417,99.983,53.067,0,76.3,77.867,26.5,84.267,132.133,272.117,121.95,238.317,79.633,52.167,54.117,68.883,117.067,71.833,94.2,115.783,114.2,55.383,94.75,184.983,71.2,64.133,196.567,74.283,192.45,62.883,252.167,159.833,209.767,142,176.967,102.383,142.467,238.033,211.75,138.45,98.9,78.567,108.75,123.05,242.433,115.817,209.8,133.9,80.233,238.617,183.2,94.333,106.683,213.75,156.567,142.1,36.2,116.633,64.133,256.967,88.717,67.817,184.9,145.483,223.417,121.35,158.15,148.483,26.4,200.4,255.567,219.567,135.317,114.017,76.933,175.533,120.35,103.233,194.417,130.267,168.133,106.433,244.233,174.267,178.833,182.25,153.15,74.9,156.117,116.5,156.45,104.283,188.317,80.233,251.583,74.8,126.283,59.783,147.217,165.033,50.917,71.583,165.583,126.283,134.35,156.533
"Forsyth",121.667,212.017,154.9,141.667,120.267,119.317,100.4,116.467,60.8,130.017,26.2,64,86.717,56.617,132.95,132.267,152.85,131.8,117.017,214.867,100.083,107.633,140.133,216.367,156.467,65.017,183.95,91.65,107.367,167.533,152.6,171.6,84.667,168.3,170.983,133.717,118.933,79.117,118.083,71.833,171.467,129.417,67.133,67.133,85.267,63.617,109.367,147.6,169.833,163.867,155.45,143.383,105.467,133.717,146.95,63.417,78.483,0,102.517,55.8,131.233,120.133,201.4,51.233,167.6,110.633,83.417,101.1,100.133,89.483,58.9,92.883,154.017,43.483,37.65,114.85,114.267,27.8,111.1,125.85,105.55,141.433,94.15,181.45,89.117,139.05,71.3,106.25,91.533,132.75,167.317,141.033,123.983,28.183,67.933,38.033,113.333,171.717,65,170.983,112.617,88.2,167.9,155.617,141.317,103.233,141.667,88.833,70.067,99.317,45.917,111.1,186.25,33.883,127.35,114.183,89.567,152.7,152.6,142.567,138.783,68.417,129.683,184.85,188.783,64.6,109.017,47.217,107.133,60.517,93.533,123.7,53.65,97.417,35.717,173.517,103.55,108.117,111.533,82.433,93.1,85.4,45.783,142.667,37.417,131.333,88.2,180.867,121.783,116.583,91.033,104.667,94.333,97.9,88.15,94.867,116.583,63.633,85.817
"Franklin",164.567,307.967,250.85,179.4,135.867,134.933,116,204.583,61.867,229.9,122.15,159.95,105.633,65.75,228.9,228.217,203.333,227.75,121.933,310.817,115.683,30.683,145.05,314.917,252.417,66.05,199.567,96.567,139.633,150.733,168.217,270.167,159,264.25,175.467,176.617,218.817,28.733,152.567,167.783,173.95,127.367,79.25,79.25,181.217,159.567,118.383,243.55,152.2,263.75,251.4,175.667,201.417,176.617,151.883,65.033,79.517,101.55,0,65.4,136.167,165.333,297.35,147.183,211.417,126.5,99.017,106.017,115.733,150.25,50.967,61.55,162.65,139.433,80.633,20.533,210.217,96.433,116.033,221.8,121.15,225.65,109.75,277.4,151.817,235,167.25,151.7,135.583,175.65,263.267,240.917,104.1,124.133,111.75,133.983,156.233,267.667,149.017,175.467,167.083,113.417,263.85,148.85,146.217,72.35,179.4,184.783,142,79.967,128.783,116.033,282.2,74.45,76.567,210.133,111.133,240.45,168.217,123.8,181.683,72.933,189.267,280.8,185.233,146.7,151.917,110.117,141.183,86.15,136.433,219.667,109.733,193.367,131.667,217.817,202.1,204.083,207.483,178.383,24.883,181.367,141.733,122.117,79.1,153.967,113.417,279.433,117.017,159.483,106.633,112.867,190.283,102.817,29.133,190.817,159.483,159.583,181.767
"Fulton",109.617,260.117,203,189.767,74.85,73.9,54.983,149.633,15.833,178.117,74.3,112.117,125.333,55.083,181.05,180.367,148.383,179.467,65.583,262.967,54.667,55.5,88.717,264.467,204.567,12.883,138.533,40.217,78.617,170.433,107.183,219.7,132.767,216.4,195.167,121.667,167.05,39.833,91.55,119.933,120.033,147.067,17.95,17.95,133.367,111.717,57.933,195.7,171.9,211.967,203.55,114.633,153.567,121.667,95.517,38.333,26.35,53.7,63.217,0,79.8,110.383,249.517,99.333,215.7,65.467,38,49.667,54.717,95.3,57.183,79.55,101.617,91.583,32.783,80.1,162.367,48.583,59.667,173.95,60.133,170.7,48.717,229.55,137.233,187.15,119.4,154.367,80.633,120.7,215.417,189.15,123.8,76.3,56.8,86.133,101.283,219.833,94.067,195.167,112.133,58.467,216,168.55,89.883,92.05,189.767,134.8,119.483,47.183,94.017,59.667,234.367,66.1,75.217,162.3,130.833,200.817,107.183,143.5,126.733,16.267,177.783,232.95,204.933,112.717,96.967,55.167,160.017,105.7,81.483,171.817,107.65,145.517,83.833,221.617,151.65,156.233,159.633,130.533,60.267,133.517,93.883,141.817,81.667,173.667,58.467,228.983,70.35,104.533,45.617,132.567,142.433,46.467,56.933,142.967,104.533,111.75,133.917
