"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Ouray",333.233,254.067,454.233,171.467,459.917,384.383,339.467,330.833,194.633,447.783,294.55,288.017,297.217,342.217,250.333,71.7,320.05,131.783,336.717,208.1,312.95,356.2,258.717,170.683,398.767,318.4,121.283,122.983,324.983,351.033,259.467,367.917,421.117,141.183,249.267,372.8,384.383,278.4,483.883,138.217,180.567,220.617,280.533,46.067,262.05,368.133,0,245.05,454.65,155.267,417.233,300.233,183,73.85,300.95,197.283,40.017,62.25,444,278.783,294.583,405.967,369.15,432.483
"Park",114.65,138.683,242.633,203.05,291.567,208.65,119.883,112.25,65.533,236.167,89.033,169,177.2,166.483,120.4,222.133,101.483,320.667,108.867,97.8,99.083,144.6,83,74.383,223.033,112.65,125.583,192.933,149.25,159.2,19.567,142.433,209.5,309.933,78.3,154.217,208.65,44.35,265.3,191.033,178.683,102,68.783,199.95,162.267,192.4,245,0,236.067,135.833,241.517,124.5,168.5,318.55,152.933,101.7,284.717,279.2,225.417,34.033,80.717,187.4,150.567,213.917
"Phillips",136.05,352.533,137.25,435.083,245.467,224.95,162.367,150.4,297.567,125.767,170.05,382.85,340.333,219.383,295.317,386.783,152.033,552.7,163.733,253.667,206.017,199.717,254,306.417,238.917,247.833,357.617,424.967,267.467,260.883,217.683,187.183,151.2,541.967,237.783,159.983,224.95,229.367,61.5,346.9,410.717,334.033,225.783,412.2,376.117,239.933,456.7,235.05,0,367.867,204.933,238.65,324.367,530.25,303.1,333.733,496.417,490.9,45.283,221.217,264.85,78.067,131.833,60.083
"Pitkin",245.033,151.083,344.7,195.65,350.4,274.85,250.267,242.633,85.117,338.25,214.45,178.817,190.55,232.683,140.8,130.867,231.867,257.45,239.25,208.683,203.433,246.667,149.2,61.167,289.233,238.067,34.317,101.667,215.45,284.6,149.95,258.383,311.583,294.617,139.733,284.6,274.85,179.567,395.683,197.383,170.017,115.367,200.433,108.683,159.067,258.6,153.717,135.517,366.45,0,307.7,190.7,242.167,227.267,278.35,94.3,193.433,187.917,355.8,169.25,185.05,317.783,280.95,344.283
"Prowers",195.05,198.8,86.717,301.35,63.883,33.883,210.033,198.067,228.35,80.267,216.967,229.117,186.6,84.933,188.767,393.65,196.3,418.967,194.533,300.6,156.067,169.533,158.65,245.9,47.85,294.767,297.1,342.55,123.217,349.95,255.3,156.983,56.783,408.233,290.217,238.133,33.883,276.3,266.4,393.833,277,231.117,272.717,371.483,222.383,56.333,416.517,240.883,205.2,307.35,0,122.583,371.3,463.883,350.033,252.85,430.633,450.717,227.417,274.617,215.667,168.5,230.967,159.833
"Pueblo",118.983,117.067,161.617,219.633,173.567,90.65,125.6,113.633,112.733,155.167,121.983,147.4,104.867,48.483,67.983,278.033,101.017,337.25,84.2,206.533,40.217,80.867,43.033,130.283,105.033,200.7,181.483,248.833,30.25,255.883,139.683,92.6,131.683,326.517,174.6,157.967,90.65,169.317,267.283,299.767,195.267,149.4,178.667,255.85,140.65,74.4,300.9,125.267,238.033,191.733,123.5,0,277.233,374.45,255.967,155.633,340.617,335.1,227.4,159,99.833,190.617,154.9,210.767
"Rio Blanco",202.383,282.3,347.433,352.583,414.25,359.617,208.633,199.983,209.167,340.967,163.717,312.633,320.817,317.45,268.517,111.5,189.217,285.15,205.883,77.25,242.833,247.283,252.717,218.017,374.017,187.567,211.133,245.383,300.217,191.567,189.283,239.867,314.3,322.3,141.05,241.967,359.617,147.55,353.05,71.617,313.733,245.633,149.7,136.917,305.883,343.367,181.417,171.183,323.817,245.117,369.55,275.467,0,254.967,122.633,245.333,221.133,215.617,313.167,139.4,250.433,275.133,238.3,301.65
"Rio Grande",405.633,270.667,526.633,166.817,488.867,433.35,411.883,403.233,267.05,520.183,366.967,283.367,313.833,414.617,322.733,144.1,392.467,147.267,409.117,280.5,385.367,428.6,331.133,243.1,447.733,390.817,193.683,129.167,397.383,423.45,331.883,440.333,493.517,136.533,321.667,445.2,433.35,350.8,556.283,210.633,186.75,281.4,352.95,118.483,278.95,417.1,73.867,317.45,527.05,227.667,466.2,372.633,255.417,0,373.35,269.7,33.9,90.833,516.4,351.183,366.983,478.383,441.55,504.9
"Routt",178.967,279,324,343.383,390.817,336.183,185.2,176.567,205.867,317.55,140.283,309.333,317.517,294.017,265.233,230.783,165.783,404.433,182.45,102.15,219.4,223.85,234.5,214.717,350.583,79.167,265.917,333.267,276.8,69.233,171.067,216.433,290.883,441.583,137.75,194.767,336.183,129.333,321.467,190.9,319.017,242.333,125.367,256.2,302.583,319.933,300.7,152.967,300.383,276.167,346.117,252.05,122.8,374.25,0,242.033,340.417,334.9,289.733,121.183,232.217,251.7,214.883,278.217
"Saguache",212.35,57.067,309.7,101.633,275.267,219.75,217.6,209.95,50.1,303.233,181.767,84.8,100.233,197.667,105.783,175.083,199.183,219.25,206.567,176.017,170.45,211.667,114.183,56.067,234.133,205.383,78.55,142.833,180.45,251.933,117.267,223.383,276.567,208.517,107.05,251.917,219.75,146.9,363.017,241.617,77.267,25.2,167.75,152.917,65.067,203.5,197.95,102.833,333.767,95.333,252.6,155.7,246.717,264.167,245.667,0,230.917,232.15,323.133,136.567,152.383,285.1,248.267,311.617
"San Juan",371,236.767,492,132.917,454.967,399.45,377.233,368.6,232.4,485.55,332.317,249.467,279.933,379.983,288.1,109.467,357.817,113.367,374.483,245.867,350.717,393.967,296.483,208.45,413.833,356.167,159.05,123.967,362.75,388.8,297.233,405.683,458.883,102.633,287.033,410.567,399.45,316.167,521.65,175.983,181.55,247.5,318.3,83.833,245.05,383.2,39.233,282.817,492.417,193.033,432.3,338,220.767,33.6,338.717,235.05,0,56.2,481.767,316.55,332.35,443.733,406.917,470.25
"San Miguel",367.317,288.15,488.317,195.883,494.017,418.467,373.567,364.917,228.733,481.867,328.65,312.45,331.317,376.3,284.417,105.783,354.15,76.45,370.8,242.183,347.05,390.283,292.817,204.783,432.85,352.5,155.367,189.617,359.067,385.133,293.567,402.017,455.2,141.3,283.35,406.883,418.467,312.483,517.967,172.317,240.767,254.717,314.633,80.167,296.15,402.217,60.5,279.133,488.733,189.35,451.317,334.317,217.1,89.617,335.033,231.383,55.783,0,478.083,312.867,328.667,440.067,403.233,466.583
"Sedgwick",124.783,341.25,181.333,423.817,271.967,247.283,151.083,139.117,286.3,169.85,158.767,371.583,329.05,208.117,284.033,375.5,140.767,541.417,152.467,242.383,194.733,188.45,242.717,295.15,261.25,236.567,346.35,413.7,256.2,236.35,206.4,175.9,170.15,530.683,226.5,149.467,247.283,218.1,50.1,335.633,399.45,322.767,214.517,400.933,364.833,230.633,445.433,223.767,45.55,356.6,227.283,227.383,313.1,518.983,291.817,322.467,485.15,479.633,0,209.933,253.567,66.8,120.567,71.05
"Summit",96.15,170.833,241.183,235.217,308,240.817,102.4,93.75,97.7,234.733,57.483,201.167,209.35,198.65,152.55,199.367,82.983,352.817,99.633,66.25,131.25,141.05,115.15,106.55,255.2,81.1,157.75,225.1,181.417,127.633,51.717,133.617,208.067,342.1,50.367,135.717,240.817,13.517,246.8,159.483,210.85,134.167,37.233,232.117,194.417,224.567,277.15,33.617,217.567,168,263.317,156.667,136.95,350.7,121.383,133.867,316.867,311.35,206.917,0,112.883,168.9,132.067,195.417
"Teller",144.533,190.083,208.533,254.467,262.967,180.05,151.15,139.183,116.95,202.083,151.067,220.417,197.583,137.883,112.883,273.55,126.567,372.083,109.75,177.883,65,110.5,75.483,125.8,194.433,192.733,177,244.35,120.65,239.283,94.8,122.233,175.417,361.35,129.717,183.517,180.05,124.433,292.817,271.117,230.1,153.417,148.867,251.367,213.667,163.8,296.4,80.367,263.583,187.25,212.917,95.9,248.583,369.95,233.017,153.117,336.117,330.6,252.933,114.117,0,214.917,180.45,240.4
"Washington",86.683,301.417,144.183,385.717,212.167,187.483,112.983,101.033,248.2,132.7,120.667,331.733,289.217,156.183,249.817,337.4,102.667,503.333,114.367,204.3,159.983,136.517,208.517,257.05,201.433,198.467,308.25,375.6,204.283,239.583,168.3,123.983,110.333,492.6,188.4,115.717,187.483,180,107.017,297.533,361.35,284.667,176.417,362.833,325,178.717,407.333,185.683,77.783,318.5,167.467,191.733,275,480.883,253.733,284.367,447.05,441.533,67.133,171.85,215.467,0,82.467,26.5
"Weld",40.983,268.483,207.15,349.467,273.967,231.683,68.933,59.55,211.95,200.7,84.417,298.817,256.283,192.917,211.267,301.15,66.417,467.083,80.05,168.05,121.967,119.083,169.95,220.8,246.067,162.217,272,339.35,179.367,167.267,132.05,111.667,174.033,456.35,152.15,43.383,231.683,143.75,161.117,261.283,325.1,248.417,140.167,326.583,292.067,215.433,371.083,149.433,131.883,282.25,229.283,154.617,238.75,444.633,217.483,248.117,410.8,405.283,121.233,135.6,180.8,83.217,0,109.717
"Yuma",113.783,323.367,127.5,412.8,203.033,178.35,140.083,128.117,275.3,116.017,147.767,353.683,311.167,178.133,268.883,364.5,129.75,530.417,141.45,231.383,179.033,152.717,227.567,284.133,192.317,225.567,335.35,402.7,226.233,266.683,195.4,140.183,101.217,519.683,215.5,142.8,178.35,207.083,111.2,324.617,388.45,311.767,203.517,389.933,346.95,193.35,434.433,212.767,59.15,345.583,158.35,210.783,302.1,507.983,280.817,311.467,474.15,468.633,70.633,198.933,241.717,27.083,109.567,0
