"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Ontonagon",438.383,409.633,536.383,404.517,503.133,430.433,46.767,550.483,358.817,462.417,502.65,437.5,521.783,511.333,365.85,318.8,446.483,414.567,544.317,437.867,489.217,135.467,501.467,529.283,448.467,478.267,421.05,70.767,422.983,446.9,548.5,62.267,536.4,503.783,499.883,510.767,100.917,420,513.933,543.617,391.533,498.667,81.317,481.083,494.567,463.317,555.267,344.767,474.083,-1,529.867,452.367,135.45,493.183,454.55,222.1,448.467,440.883,408.017,554.383,489.483,355.717,470.333,494.983,516.05,440.783,397.717,0,440.283,455.833,530.333,563.633,384.183,379.967,450.717,527.083,548,494.233,540.217,495.85,469.6,531.4,516.783,533.617,440.417
"Osceola",175.15,96.567,113.733,175.2,127.75,99.5,395.117,130.383,128.367,82.333,163.217,59.783,146.4,163.683,125,143.717,25.4,38.767,175.167,62.483,113.833,368.383,126.083,160.5,106.65,114.3,58.85,436.95,80.933,71.517,173.1,427.35,172.433,128.4,95.267,135.383,369.183,44.617,138.55,123.517,68.267,78.55,413.533,158.9,130.6,124.067,179.883,106.033,110.117,-1,165.883,81.7,310.033,117.8,42.533,312.367,106.65,65.5,38.783,190.4,78,145.75,106.967,70.617,152.083,92.733,90.8,442.183,0,152.75,110.217,199.667,185.133,82.483,86.75,163.117,127.883,124.067,176.25,147.367,105.633,167.417,152.817,169.633,58.85
"Oscoda",32.267,68.967,242.35,59.8,156.467,56.25,410.783,225.733,164.867,190.2,275.617,197.45,206.8,273.617,176.083,145.817,156,124.083,196.467,146.133,175.217,365.433,186.483,214.3,191.883,130.417,94.7,452.617,166.4,152.75,234.483,443.017,188.55,182.583,196.883,180.55,384.85,129.517,200.017,234.317,130.433,216.217,429.2,280.617,146.717,206.75,218.9,126.9,126.233,-1,182.017,199.517,325.7,179.167,164.067,363.967,191.883,104.283,126.817,206.517,199,101.467,244.65,208.283,168.2,230.4,70.283,457.85,149.8,0,238.833,215.783,89.65,89.883,102.867,179.233,238.233,146.383,192.367,271.367,121.75,183.55,168.933,185.75,166.9
"Otsego",265.017,184.6,15.083,265.833,105.217,185.967,494.467,28.083,206.983,161.833,65.317,125.983,53.55,63.317,203.617,233.583,99.3,134.883,115.533,113.267,79.483,402.2,68.3,50.933,186.167,130.767,155.283,497.633,159.55,117,98.833,526.683,124.333,100.133,65.8,111.817,428.933,126.683,78.933,23.15,146.883,35.983,512.867,70.317,135.7,202.683,120.267,195.9,135.533,-1,170.35,140.867,399.9,94,94.717,346.183,186.167,151.8,125.067,142.317,71.883,236.383,71.65,79.717,156.533,98.85,184.433,531.05,109.317,239.217,0,150,275,172.35,146.2,210.033,27.517,101.533,182.15,61.067,143.783,116.933,105.567,129.333,138.35
"Ottawa",246.8,161.967,160.95,267.333,106.6,163.333,517.05,144.917,265.933,264.45,170.983,246.783,106.45,153.883,277.167,265.65,200.717,167.35,57.183,160.283,109.617,471.7,115.45,116.733,288.767,108.65,175.85,558.883,263.05,139.617,93.333,549.283,31.033,99.95,140.25,92.65,491.117,163.567,83.7,136.75,231.5,158.117,535.467,179.233,116.55,306.183,51.967,227.967,125.833,-1,90.2,263.8,431.967,99.117,190.4,449.533,288.767,143.083,217.75,20.167,180.733,254.8,192.967,200.75,87.5,220.15,172.267,564.117,199.133,216.6,148.95,0,288.917,190.95,122.7,146.467,140.667,111.483,96.05,173.8,121.167,40,55.567,44.9,240.967
"Presque Isle",64.85,131.583,279.867,30.983,228.833,128.6,337.9,285.55,113.983,207.267,329.367,227.917,266.633,329.833,121.017,64.85,191.333,159.4,268.833,182.7,234.067,292.55,246.3,274.117,193.317,202.783,164.867,379.733,167.817,191.75,293.333,370.117,260.917,248.617,244.733,252.917,311.967,164.85,258.767,289.65,136.367,244.7,356.317,325.033,219.083,208.167,291.25,89.617,198.6,-1,254.367,225.55,252.817,238.017,199.4,291.083,193.317,176.65,152.867,278.883,234.333,60.767,273.117,236.767,240.567,258.883,133.1,384.967,185.133,90.517,276.367,288.15,0,123.467,175.233,251.6,294.033,218.75,264.733,313.517,194.117,255.9,241.3,258.117,185.25
"Roscommon",100.117,37.817,177.467,102.45,132.5,58.617,333.467,183.133,82.35,113.817,226.95,125.5,164.217,227.417,93.567,82.067,88.917,57,172.5,80.283,131.65,288.117,143.883,171.7,109.367,106.45,47.5,375.3,83.883,89.333,190.917,365.683,164.583,146.217,142.317,153.183,307.533,62.433,156.367,187.25,47.917,142.283,351.883,222.617,122.75,124.217,194.933,44.383,102.267,-1,158.05,123.133,248.367,135.6,96.983,286.633,109.367,80.317,50.45,182.567,131.917,84.1,170.7,134.35,144.25,156.467,25.9,380.517,82.717,92.65,173.95,191.817,123.467,0,78.9,155.267,191.617,122.417,168.4,211.1,97.783,159.583,144.967,161.8,90.517
"Saginaw",134.2,49.367,149.733,154.717,63.85,50.733,404.45,133.117,153.317,151.833,183.017,134.167,114.2,181,164.55,153.05,91.017,54.733,104.567,68.6,82.6,359.083,93.883,121.7,176.167,38.5,63.233,446.283,150.433,56.85,141.883,436.667,96.633,89.983,102.883,89.867,378.517,60.533,107.317,141.717,118.9,122.133,422.85,188,54.8,193.567,126.983,115.367,23.45,-1,90.1,151.2,319.35,86.567,94.983,357.617,176.167,30.467,105.133,114.617,102.617,142.2,160.467,124.2,76.3,167.117,59.667,451.5,86.517,103.983,146.233,123.867,176.317,78.333,0,86.733,145.633,53.783,100.45,178.767,29.833,91.633,77.017,93.85,128.35
"Sanilac",210.817,125.983,214.4,231.35,128.517,127.35,481.067,197.783,229.95,228.467,247.667,210.8,178.867,245.667,241.167,229.667,167.633,131.367,152.15,148.517,147.267,435.717,158.533,186.35,252.783,93.75,139.867,522.9,227.067,142.917,198.9,513.283,122.033,154.65,168.933,148.333,455.133,137.167,162.45,206.367,195.517,186.8,499.483,252.667,80.217,270.2,174.567,191.983,109.517,-1,84.817,227.817,395.983,151.233,171.617,434.25,252.783,107.1,181.767,134.083,188.683,218.817,221.633,210.267,109.7,243.75,136.283,528.133,163.15,180.617,210.883,143.65,252.933,154.967,85.917,0,210.3,118.433,64.833,243.417,74.633,119.317,131.367,123.117,204.983
"Schoolcraft",270.267,185.433,39.667,284.017,106.05,186.8,512.65,48,225.167,180.033,59.717,144.167,44.133,40.633,221.8,251.783,117.5,145.6,106.117,131.45,75.133,420.4,58.883,41.517,204.35,131.6,173.483,515.833,177.733,115.1,93.6,544.883,114.917,90.717,83.983,102.4,447.133,139.033,69.517,22.817,165.067,54.183,531.067,62.183,136.533,220.867,110.85,214.1,136.367,-1,165.217,159.05,418.083,84.583,112.917,364.383,204.35,156.283,143.25,132.9,90.083,254.583,89.85,97.917,157.367,117.033,195.733,549.25,127.517,240.05,27.667,140.583,293.183,190.533,147.033,210.867,0,102.367,172.733,52.933,144.617,107.517,96.15,119.917,156.55
"Shiawassee",176.9,92.067,106.467,197.417,10.617,93.433,447.15,89.85,196.033,188.867,139.75,167.467,70.933,137.75,207.25,195.75,120.183,89.583,90.65,79.75,39.35,401.8,50.617,78.433,213.183,38.233,105.95,488.983,187.45,59.067,98.617,479.367,82.733,46.35,61,40.75,421.217,83.017,64.05,98.45,161.6,78.867,465.567,144.733,43.167,230.6,110.683,158.067,43,-1,77.817,182.933,362.05,43.3,109.867,388.267,213.183,73.167,142.167,100.717,101.15,184.9,113.717,121.517,64.017,140.917,102.367,494.2,123.533,146.7,102.967,109.967,219.017,121.033,53.667,117.5,102.367,0,88.817,135.5,51.267,77.733,63.117,79.95,165.367
"St. Clair",224.35,139.517,186.333,244.883,100.45,140.883,494.6,167.55,243.483,242,209.467,224.333,137.883,207.467,254.7,243.2,181.167,144.883,104.817,163.4,117.967,449.25,128.317,148.15,266.317,75.933,153.4,536.433,240.583,142.733,151.567,526.817,74.7,109.833,140.867,101,468.667,150.7,115.117,168.167,209.05,158.733,513.017,214.467,55.233,283.733,127.25,205.517,103.383,-1,37.483,241.35,409.517,115.467,185.133,447.783,266.317,120.617,195.3,86.75,183.367,232.35,193.567,201.367,62.367,220.767,149.817,541.65,176.667,194.15,180.383,96.317,266.467,168.5,100.25,67.583,172.1,90.367,0,205.217,97.15,71.983,84.05,75.8,218.5
"St. Joseph",301.617,218.467,61.3,302.433,139.1,219.85,465.583,81.05,243.583,198.433,30.633,148.967,77.167,50.75,240.217,270.183,135.9,171.483,139.167,149.867,108.183,373.333,91.917,74.567,222.767,164.65,191.9,455.45,196.15,148.133,122.467,497.817,147.967,123.767,105.833,135.45,400.067,163.283,102.55,56.317,183.483,72.883,484,23.633,169.583,239.283,143.9,232.5,169.417,-1,198.267,163.833,436.5,117.633,131.317,317.317,222.767,188.4,161.667,165.95,108.483,272.983,94.617,116.317,190.417,121.817,221.033,496.783,145.917,273.1,61.183,173.633,311.6,208.95,180.083,243.917,51.867,135.417,205.783,0,177.667,140.55,129.2,152.967,174.95
"Tuscola",152.433,67.6,149.1,172.95,63.217,68.967,422.683,132.483,171.55,170.067,182.383,152.4,113.567,180.367,182.783,171.283,109.25,72.967,103.233,90.133,81.967,377.317,93.25,121.067,194.4,21.2,81.467,464.517,168.667,83.617,141.25,454.9,95.3,89.35,103.633,87.317,396.75,78.767,106.767,141.083,137.133,121.5,441.083,187.367,45.783,211.8,125.65,133.6,35.85,-1,90.417,169.433,337.583,85.933,113.217,375.85,194.4,48.7,123.367,113.283,123.583,160.433,156.35,152.667,74.567,185.35,77.9,469.733,104.75,122.217,145.6,122.533,194.55,96.567,28.333,73.567,145,53.15,97.017,178.133,0,90.3,75.683,92.517,146.583
"Van Buren",213.467,128.633,127.017,233.983,73.25,130,483.717,111,232.6,231.1,144.117,213.433,72.533,142.117,243.817,232.317,167.383,134,35.65,126.95,76.283,438.367,81.517,82.8,255.433,75.3,142.517,525.55,229.7,106.267,86.217,515.933,11.783,66.033,106.9,59.3,457.783,130.217,49.767,102.817,198.167,124.767,502.133,149.117,80.233,272.833,58.083,194.633,92.5,-1,66.667,230.467,398.617,65.2,157.067,434.167,255.433,109.733,184.4,29.75,147.4,221.467,159.617,167.417,64.183,186.817,138.933,530.767,165.783,183.267,115.033,39.317,255.583,157.6,89.367,122.95,106.75,78.15,72.517,139.867,87.817,0,21.633,16.717,207.617
"Washtenaw",199.65,114.817,115.65,220.167,59.433,116.183,469.9,99.633,218.767,217.283,132.767,199.617,61.167,130.75,230,218.5,153.567,120.183,34.3,113.133,62.467,424.533,70.167,71.45,241.617,61.483,128.683,511.733,215.883,92.45,74.85,502.117,30.65,54.667,93.083,45.483,443.967,116.4,38.417,91.467,184.35,110.95,488.3,137.75,66.417,259.017,56.733,180.817,78.683,-1,76.333,216.65,384.8,53.833,143.25,420.35,241.617,95.917,170.583,48.617,133.583,207.65,145.8,153.6,71.25,173,125.117,516.95,151.967,169.433,103.667,56.733,241.767,143.783,75.55,134.283,95.383,64.333,83.85,128.517,74,23.233,0,32.467,193.8
"Wayne",215.85,131.017,138.983,236.367,74.9,132.383,486.1,122.967,234.983,233.5,156.1,215.833,84.5,154.083,246.2,234.7,169.017,136.383,47.633,128.583,77.917,440.75,88.25,94.783,257.817,77.7,144.9,527.933,232.083,107.917,98.183,518.317,17.517,69.767,108.55,60.95,460.167,131.867,61.75,114.8,200.55,126.417,504.517,161.083,82.633,275.217,70.05,197.017,94.883,-1,69.917,230.467,401.017,75.417,158.7,435.8,257.817,112.117,186.8,35.483,149.033,223.85,161.267,169.05,64.65,188.45,141.317,533.15,168.167,185.65,127,45.05,257.967,160,91.75,126.183,118.717,76.667,75.75,151.85,90.217,14.8,32.767,0,210
"Wexford",176.333,115.167,141.417,170.1,170.583,135.633,394.4,158.05,109.95,33.8,190.9,55.3,181.583,191.367,93.583,143,83.4,80.9,218,105.317,156.683,363.883,168.917,178.983,53.583,157.133,95,436.233,38.15,114.367,215.95,426.617,215.267,171.233,140.467,178.217,368.467,87.467,181.383,151.2,51.15,106.233,412.817,186.567,173.433,75.4,222.733,100.483,152.95,-1,208.733,50.75,309.3,160.633,90.317,307.867,53.583,108.35,47.167,233.25,104.783,140.65,121.95,88.117,194.933,92.4,103.25,441.45,58.917,170.017,137.9,242.5,184.4,91.167,129.583,205.95,155.567,166.9,219.083,175.05,148.467,210.267,195.65,212.483,0
