"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Lake",103.3,335.483,82.65,101.367,97.867,214.067,254.933,176.833,63.733,124.55,227.233,123.117,156.517,69.517,151.967,367.967,237.133,317.65,224.217,61.817,186.433,315.883,148.483,130.533,193.2,75.267,205.567,80.633,276.617,137.7,59.817,141.633,210.817,0,158.617,117.367,100.65,309.233,165.95,131.817,142.517,102.183,231.75,94.55,185.15,318.533,137.733,267.433,96.183,180.25,74.9,132.3,98.567,94.283,345.983,146.567,127.35,132.833,142.183,48.817,160.817,166.65,298.217,51.35,232.767,154.417,273.433
"Lee",65.4,186.583,197.567,180.433,199.967,328.983,106.033,255.9,138.85,114.283,306.3,47.1,255.833,148.567,100.417,219.05,352.05,164.483,75.3,176.717,301.35,166.983,34.633,243.483,308.45,133.833,320.467,180.383,127.717,252.6,186.267,88.733,61.9,158.733,0,196.433,101.083,160.333,12.317,210.883,33.967,185.017,346.667,188.05,130.383,169.633,252.65,118.533,175.25,295.15,153.967,211.367,208.633,139.833,197.083,225.633,206.417,113.3,257.083,135.683,110.5,77.583,149.317,151.25,82.5,269.333,124.533
"Leon",140.933,373.117,112.6,50.733,128.933,201.7,292.567,75.683,98.317,200.567,126.083,160.733,75.617,54.467,217.75,405.583,217.633,355.267,261.833,92.333,148.733,353.517,186.1,66.883,122.067,109.85,212.267,62.5,314.25,167.5,125.25,207.4,248.433,116.467,196.233,0,138.267,346.867,203.567,30.933,180.133,37.233,214.95,41.867,250.917,356.167,152.333,305.067,35.467,213.35,49.833,66.367,62.45,174.217,383.617,45.417,59.167,198.617,171.983,74.05,198.45,204.283,335.85,152.267,270.383,187.533,311.067
"Levy",43.517,279,140,122.867,153.017,271.417,200.033,198.333,67.9,110.8,248.733,60.383,198.267,91,132.233,311.467,294.483,223.033,167.717,119.15,243.783,239.483,91.983,185.917,250.883,58.667,262.9,122.817,220.133,195.033,130.783,120.55,145.683,101.167,102.117,138.867,0,252.733,109.45,153.317,86.017,127.45,289.1,130.483,162.217,262.05,195.083,208.567,117.683,237.583,96.4,153.767,151.067,96.4,289.5,168.067,148.85,131.85,199.517,78.117,62.833,110.167,241.733,95.767,138.15,211.767,216.95
"Liberty",217.567,52.55,349.717,332.6,352.117,481.133,89.1,408.067,291,266.45,458.45,199.25,408,300.733,252.567,85.5,504.217,172.467,102.05,328.883,453.517,142.933,195.75,395.633,460.617,286,472.633,332.55,44.817,404.767,338.417,240.883,127.917,310.9,163.533,348.6,253.233,0,157.65,363.033,186.133,337.183,498.817,340.2,282.55,36.067,404.817,114.05,327.4,447.317,306.117,363.533,360.783,292,63.517,377.783,358.583,265.467,409.25,287.85,251.917,229.733,17.783,303.417,139.683,421.483,54.167
"Madison",72.233,182.117,204.383,187.267,206.783,335.8,101.567,262.733,145.667,121.117,313.117,53.933,262.667,155.4,107.25,214.583,358.883,160.017,70.833,183.55,308.183,162.517,39.517,250.3,315.283,140.667,327.3,187.217,123.25,259.433,193.1,95.567,57.433,165.567,11.233,203.267,107.9,155.867,0,217.7,39.167,191.85,353.483,194.867,137.217,165.167,259.483,114.067,182.083,301.983,160.783,218.2,215.45,146.667,192.617,232.45,213.25,120.133,263.917,142.517,116.133,84.4,144.85,158.083,78.033,276.15,120.067
"Manatee",155.717,387.917,127.383,57.567,143.733,185.8,307.367,59.783,113.1,215.367,110.183,175.533,59.717,69.267,232.533,420.383,201.733,370.4,276.633,107.117,132.833,368.3,200.9,64.933,106.167,124.633,196.367,77.283,329.033,183.2,140.05,222.2,263.233,131.267,211.033,29.383,153.067,361.65,218.367,0,194.933,52.017,199.05,56.667,265.717,370.967,135.583,319.867,50.25,209.817,64.633,59.817,77.25,189.017,398.4,24.567,51.233,213.4,181.883,88.85,210.217,219.067,350.633,167.067,285.533,191.367,325.85
"Marion",49.6,209.317,181.767,164.633,184.45,313.183,128.767,240.1,123.05,98.767,290.5,31.3,240.033,132.783,84.9,241.8,336.25,187.217,98.05,160.917,285.55,189.717,12.333,227.683,292.667,118.033,304.667,164.583,150.45,236.817,170.467,73.217,84.65,142.95,32.45,180.633,85.283,183.067,39.783,195.083,0,169.217,330.867,172.25,114.883,192.367,236.85,141.267,159.45,279.367,138.167,195.567,192.833,124.317,219.817,209.833,190.617,97.8,241.3,119.883,103.967,62.067,172.05,135.45,105.233,253.533,147.267
"Martin",129.467,361.65,91.683,42.817,108.033,223.1,281.1,97.3,86.85,189.1,147.7,149.267,97.233,43,196.833,394.117,239.25,343.8,250.367,71.417,160.233,342.05,174.633,72.75,143.667,98.383,214.6,43.133,302.783,148.467,104.35,186.5,236.967,100.75,184.767,37.833,126.8,335.4,192.1,52.283,168.667,0,236.55,20.967,230.017,344.7,146.333,293.6,27.55,189.283,38.367,58.45,41.55,162.75,372.15,67.033,53.5,177.7,152.95,62.583,186.983,192.817,324.383,131.367,258.917,163.45,299.6
"Miami-Dade",289.683,521.883,183.433,246.65,186.833,32.683,441.333,160.5,250.117,285.9,109.45,309.5,175.967,252.633,294.95,554.35,14.2,504.033,410.6,186.833,109.067,502.267,334.867,197.717,126.683,261.65,43.167,249.367,463,134.117,229.383,284.617,397.2,231.3,345,215.6,287.033,495.617,352.333,199.05,328.9,235.4,0,238.983,328.133,504.933,130.483,453.833,233.633,69.05,248,248.9,207.3,277.1,532.367,195.817,240.317,275.817,122.717,239.433,347.2,328.617,484.6,247.767,419.15,114.733,459.817
