"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Oneida",107.8,199.5,232.517,109.217,205.083,76.3,228.417,133.217,96.967,25.917,50.967,66.467,157.783,175.317,160.75,206.667,213.067,52.183,198.017,92.95,29.05,40.633,112.367,121.617,43.65,144.05,27.25,190.833,183.983,118.533,244.7,170.317,0,43,111.383,144.233,104.817,67.567,76.65,186.6,244.25,107.217,118.9,148.117,134.2,91.1,92.55,40.617,95.467,157.483,42.733,300.933,16.583,125.6,125.767,153.733,62.2,178.867,129,235.033,137.8,160.317
"Onondaga",135.783,181.417,224.15,137.2,187,57.467,210.333,97.267,61,56.533,78.95,30.517,125.25,203.3,142.683,237.483,229.45,37.533,179.95,62.517,58.7,68.617,140.35,149.583,78.3,172.017,56.433,179.833,169.567,146.517,223.433,152.25,43.3,0,90.483,116.283,89.667,52.933,104.633,214.583,235.867,135.2,100.833,120.05,162.183,119.083,120.517,68.6,77.4,142.333,73.567,292.567,33.983,89.633,105.5,181.717,90.183,206.85,110.917,226.667,119.733,142.25
"Ontario",200.783,129.6,304.617,202.183,137.833,61.017,161.167,133.217,141.483,121.517,143.933,110.983,205.717,268.283,93.517,302.483,284.217,59.183,128.133,142.983,132.383,133.617,205.333,214.583,143.3,237.017,130.133,260.3,250.033,211.5,303.9,103.067,108.3,87.517,0,116.717,144.433,64.317,169.617,279.583,316.35,200.183,61.567,200.517,227.167,184.083,185.517,133.6,54.917,197.1,138.55,373.033,106.767,149.267,185.967,246.717,155.183,271.85,92.967,307.133,69.867,76.967
"Orange",203.55,90.933,246.85,181.95,125.15,84.117,145.483,45.5,87.517,155.75,178.167,90.883,147.95,231.183,139.6,310.583,328.267,128.867,89.467,112.583,151.767,167.85,168.3,232.833,177.533,237.25,153.683,202.55,192.267,214.283,246.15,157.217,142.533,117.483,113.9,0,188.467,134,160.967,287.517,258.583,202.967,71.7,142.75,235.1,192.85,174.633,167.833,59.583,241.133,172.783,315.283,142.7,61.55,128.217,229.717,177.717,241.7,23.933,249.383,92.133,147.533
"Orleans",196.5,241.767,304.15,197.9,247.35,118.567,270.683,177.267,141.017,117.233,139.65,110.517,205.25,264,203.017,227.333,164.467,83.133,240.283,142.533,128.1,129.333,201.05,210.3,88.917,232.733,125.833,259.85,249.567,207.217,303.45,212.583,104,87.05,143.4,186.5,0,82.45,165.333,241.067,315.883,195.9,161.167,200.05,222.883,179.8,181.233,132.783,137.733,74.95,103.833,372.567,97.7,169.65,185.517,242.417,150.883,267.55,171.267,306.683,180.067,202.583
"Oswego",159.05,190.7,267.2,160.467,196.217,60.783,219.55,140.317,104.067,79.8,102.217,73.567,168.3,226.567,151.9,260.767,223.683,15.85,189.217,105.583,90.667,91.9,163.617,172.867,90.083,195.3,88.4,222.883,212.617,169.783,266.483,161.467,66.567,50.1,65.117,136.933,83.883,0,127.9,237.85,278.933,158.467,110.05,163.1,185.45,142.367,143.8,91.867,86.617,136.55,93.983,335.617,60.25,132.683,148.55,204.983,113.45,230.117,120.133,269.717,130.967,138.067
"Otsego",88.983,226.183,211.417,67.383,260.4,136.983,280.717,118.267,76.85,62.65,32.533,106.1,117.7,160.167,221.433,198.583,237.65,112.867,224.717,76.367,63.167,42.567,53.75,109.6,93.767,122.683,57.717,163.4,153.133,99.717,223.6,231,77.217,103.683,172.067,160.883,165.5,128.25,0,175.517,223.15,88.4,179.583,97.367,123.117,78.283,60.067,45.383,156.15,205.933,80.6,279.833,87.383,110.633,84.05,138.583,21.967,158.833,183.367,213.933,198.483,221
"Putnam",104.783,353,233.233,144.3,375.533,246.767,398.867,245.067,203.65,180.033,165.85,236.933,245,176.033,331.217,64.967,116.15,222.633,351.517,203.183,207.383,155.517,147.683,77.567,183.75,144.75,198.45,191.55,184.7,115.5,245.417,340.767,186.983,213.467,281.85,287.683,239.417,238.017,175.267,0,244.967,104.683,289.367,227.083,71.3,103.883,127.617,161.067,265.933,179.3,166.6,301.65,197.167,237.45,210.867,154.45,161.867,177.533,299.45,235.75,308.25,330.767
"Queens",148.733,322.883,22.883,160.5,357.1,270.2,377.417,214.967,182.183,236.15,221.95,215.4,133.017,94.1,371.55,266.683,305.833,264.15,321.417,202.133,243.483,211.617,185.1,192.533,259.633,118.133,251.983,71.667,88.333,150.067,26.567,378.85,243.1,235.367,317.1,257.583,316.267,279.533,223.517,243.617,0,148.3,303.65,125.65,191.217,159.483,176.55,217.167,308.6,364.783,246.483,74.417,253.267,207.333,152.867,110.7,218.383,94.433,280.067,17.033,324.083,368.85
"Rensselaer",7.017,268.85,139.45,60.15,296.25,167.483,319.583,160.917,119.517,100.75,86.567,160,151.233,82.25,251.933,127.1,166.25,143.35,267.383,119.033,128.1,76.233,63.55,52.967,124.25,50.983,119.167,97.783,90.917,22.617,151.633,261.483,107.7,134.183,202.567,203.533,195.983,158.733,88.683,104.033,151.183,0,210.083,134.183,51.633,24.1,43.483,81.783,186.65,225.2,111.083,207.867,117.883,153.3,126.717,60.667,82.983,84.667,220.167,141.983,228.967,251.483
