"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Muskegon",412.904,286.929,93.979,407.734,207.94,289.794,553.146,149.476,315.64,184.573,156.73,113.193,210.023,177.943,313.087,396.313,134.635,182.696,293.76,151.139,164.841,419.344,169.052,198.48,236.949,264.547,234.111,562.399,237.713,173.37,277.925,595.988,316.76,207.125,117.827,225.673,460.943,168.652,234.066,147.731,239.684,66.154,567.38,169.818,278.304,267.068,295.399,317.275,216.623,-1,336.144,132.88,670.884,194.916,125.495,348.655,236.949,197.054,196.932,346.863,80.49,361.026,0,52.157,311.393,62.598,278.03,608.137,159.578,359.251,126.445,365.563,454.717,266.295,206.934,388.141,162.469,211.868,366.941,143.226,289.657,305.026,275.687,302.996,198.836
"Newaygo",355.96,229.985,122.325,350.79,200.155,232.85,576.901,141.691,258.696,160.754,200.905,84.207,202.238,204.811,256.143,339.369,73.8,131.205,285.975,99.648,157.056,443.099,161.267,190.695,185.074,209.212,177.167,586.154,165.86,112.635,270.14,619.743,308.975,199.34,114.124,217.888,484.698,117.161,226.281,139.946,182.74,58.369,591.135,213.993,270.519,209.135,287.614,260.331,165.452,-1,328.359,130.981,613.94,187.131,68.439,372.41,185.074,145.563,139.988,339.078,59.219,304.082,53.621,0,303.608,80.504,221.086,631.892,102.634,302.307,118.66,357.778,397.773,209.351,155.443,268.789,154.684,204.083,359.156,187.401,185.821,297.241,267.902,295.211,126.983
"Oakland",316.455,211.209,295.931,366.692,116.707,206.158,810.842,239.933,387.536,368.825,356.349,340.597,198.161,341.484,403.184,420.083,268.31,219.312,129.09,236.67,162.154,746.079,190.664,236.685,389.636,89.581,223.578,883.715,369.861,200.76,204.485,853.684,106.361,142.926,203.833,120.708,781.469,219.516,152.701,272.67,333.293,246.972,825.076,374.022,38.389,417.76,153.414,341.045,120.516,-1,21.504,370.339,694.654,170.464,252.918,748.815,389.636,169.249,309.585,125.706,227.25,339.184,310.26,302.213,0,367.209,231.532,877.19,270.956,275.615,292.266,144.406,393.161,271.358,126.826,134.992,291.622,106.36,66.563,350.506,118.087,100.966,95.805,81.039,335.054
"Oceana",372.81,246.835,151.744,367.64,265.705,249.7,493.716,207.241,275.546,125.143,214.495,53.763,267.788,235.708,254.356,356.219,104.295,158.121,351.525,154.988,222.606,359.914,226.817,256.245,177.519,322.312,194.017,502.969,178.283,193.882,335.69,536.558,374.525,264.89,175.592,283.438,401.513,150.237,291.831,205.496,199.59,123.919,507.95,227.583,336.069,207.638,353.164,277.181,274.388,-1,393.909,73.45,482.418,252.681,111.994,289.225,177.519,213.924,156.838,404.628,169.603,320.932,64.017,80.513,369.158,0,237.936,548.707,119.484,319.157,184.21,423.328,414.623,226.201,258.868,367.848,220.234,269.633,424.706,200.991,284.346,362.791,333.452,360.761,139.406
"Ogemaw",130.813,27.318,320.343,154.666,207.414,61.054,585.585,330.64,162.279,170.275,447.056,191.242,318.684,432.191,177.927,194.826,148.572,101.817,283.867,137.212,252.861,520.822,281.371,327.392,177.991,152.466,49.039,658.458,147.895,130.052,348.042,628.427,283.543,248.592,220.667,239.874,556.212,116.61,299.435,363.377,108.036,256.387,599.819,412.011,196.363,195.402,308.191,115.788,136.228,-1,256.479,188.214,469.397,261.171,157.373,523.558,177.991,113.258,82.279,313.646,206.451,127.158,279.722,222.721,231.728,239.481,0,651.933,140.638,89.973,316.678,320.655,181.135,46.101,110.185,219.165,382.329,197.067,285,385.419,135.663,271.878,242.539,269.779,135.912
"Ontonagon",643.42,672.595,695.963,601.57,843.651,706.331,66.347,751.46,524.777,686.619,856.316,540.449,891.117,879.093,533.721,475.168,728.142,681.387,929.144,716.782,825.081,192.815,853.804,899.825,667.825,797.743,686.028,96.851,637.729,747.706,920.262,83.278,928.82,845.6,800.237,863.634,147.983,696.18,872.541,749.715,601.291,668.138,97.456,833.275,841.64,685.236,933.874,536.75,781.505,-1,901.756,560.136,183.068,833.391,736.943,308.622,667.825,732.171,655.421,958.923,786.021,549.58,608.236,631.578,877.005,549.139,650.423,0,720.208,695.008,728.429,965.932,572.596,608.816,755.462,864.442,764.453,842.344,930.277,855.302,780.94,917.155,887.816,915.056,667.244
"Osceola",268.297,138.186,201.298,271.354,216.755,141.051,642.465,220.664,181.685,114.006,279.878,79.276,264.221,283.784,179.132,251.706,26.948,49.472,305.339,89.886,198.185,431.135,226.908,201.905,134.817,192.5,85.368,715.338,115.042,120.81,293.366,685.307,323.577,218.704,122.5,236.738,613.092,69.284,245.645,218.919,105.729,137.342,656.699,292.966,236.397,162.941,306.978,172.668,176.262,-1,296.513,115.52,526.277,206.495,53.787,360.446,134.817,105.275,47.449,353.68,103.25,224.646,160.677,103.676,271.762,120.436,126.978,708.813,0,210.508,197.633,360.689,310.11,121.688,150.219,259.199,233.657,220.683,325.034,266.374,175.697,311.912,282.573,309.813,80.235
"Oscoda",41.121,87.182,430.816,78.102,251.592,72.684,629.163,374.818,246.091,254.087,491.234,277.423,362.862,476.369,261.739,204.504,215.716,168.961,328.045,206.899,297.039,564.4,325.549,371.57,261.803,196.644,125.577,702.036,231.707,211.685,392.22,672.005,327.721,292.77,338.718,284.052,599.79,183.754,343.613,407.555,191.848,335.489,643.397,508.907,240.541,279.214,352.369,199.6,180.406,-1,300.657,272.026,512.975,305.349,224.517,567.136,261.803,157.436,166.091,357.824,273.595,145.45,358.824,301.823,275.906,318.583,89.974,695.511,207.782,0,427.151,364.833,112.731,129.913,154.363,263.343,426.507,241.245,329.178,485.391,179.841,316.056,286.717,313.957,219.724
"Otsego",449.75,363.341,16.601,444.58,188.502,358.29,673.954,30.653,352.486,284.913,106.904,222.555,89.466,92.039,349.933,433.159,171.481,219.542,197.053,187.985,145.403,540.152,121.878,77.923,305.724,245.109,270.957,683.207,285.843,178.995,157.368,716.796,232.646,176.095,112.746,199.47,581.751,205.498,137.359,27.174,276.53,61.913,688.188,124.577,258.866,333.742,198.692,354.121,244.163,-1,316.706,253.688,707.73,168.713,162.341,469.463,305.724,233.9,233.778,262.749,117.463,397.872,126.457,118.544,291.955,183.406,314.876,728.945,196.424,427.747,0,265.641,491.563,303.141,257.23,368.703,41.912,192.43,333.737,101.061,270.219,216.483,189.57,225.196,251.142
"Ottawa",405.704,300.458,287.303,455.941,162.273,295.407,900.091,233.133,476.785,458.074,284.063,429.846,180.699,260.009,492.433,509.332,347.076,308.561,68.668,282.848,188.92,835.328,182.354,197.417,478.885,182.41,312.827,972.964,459.11,246.938,111.652,942.933,50.98,143.761,246.403,147.043,870.718,297.686,135.239,233.402,422.542,289.542,914.325,315.897,173.341,507.009,57.478,430.294,209.765,-1,140.078,459.588,783.903,168.632,326.275,827.675,478.885,258.498,398.834,20.2,295.502,428.433,352.83,344.783,144.195,409.779,320.781,966.439,360.205,364.864,266.063,0,482.41,360.607,216.075,229.769,252.354,168.715,162.998,311.238,207.336,67.391,82.403,72.772,424.303
