"","Accomack","Albemarle","Alexandria","Alleghany","Amelia","Amherst","Appomattox","Arlington","Augusta","Bath","Bedford","Bland","Botetourt","Bristol","Brunswick","Buchanan","Buckingham","Buena Vista","Campbell","Caroline","Carroll","Charles City","Charlotte","Charlottesville","Chesapeake","Chesterfield","Clarke","Colonial Heights","Covington","Craig","Culpeper","Cumberland","Danville","Dickenson","Dinwiddie","Emporia","Essex","Fairfax","Fairfax City","Falls Church","Fauquier","Floyd","Fluvanna","Franklin","Franklin City","Frederick","Fredericksburg","Galax","Giles","Gloucester","Goochland","Grayson","Greene","Greensville","Halifax","Hampton","Hanover","Harrisonburg","Henrico","Henry","Highland","Hopewell","Isle of Wight","James City","King and Queen","King George","King William","Lancaster","Lee","Lexington","Loudoun","Louisa","Lunenburg","Lynchburg","Madison","Manassas","Manassas Park","Martinsville","Mathews","Mecklenburg","Middlesex","Montgomery","Nelson","New Kent","Newport News","Norfolk","Northampton","Northumberland","Norton","Nottoway","Orange","Page","Patrick","Petersburg","Pittsylvania","Poquoson","Portsmouth","Powhatan","Prince Edward","Prince George","Prince William","Pulaski","Radford","Rappahannock","Richmond","Richmond City","Roanoke","Roanoke City","Rockbridge","Rockingham","Russell","Salem","Scott","Shenandoah","Smyth","Southampton","Spotsylvania","Stafford","Staunton","Suffolk","Surry","Sussex","Tazewell","Virginia Beach","Warren","Washington","Waynesboro","Westmoreland","Williamsburg","Winchester","Wise","Wythe","York"
"Cumberland",347.005,99.055,243.55,249.163,52.839,82.46,69.108,247.331,152.869,208.506,135.158,324.923,190.375,415.693,131.79,167.782,30.262,125.465,86.68,143.52,310.948,128.285,68.21,88.04,256.758,77.779,234.701,101.139,201.611,238.147,138.893,0,170.829,491.093,129.491,171.971,164.388,238.298,238.298,248.351,173.45,244.251,56.308,190.074,396.651,299.814,169.898,333.705,287.658,178.682,45.854,332.151,126.215,164.346,119.236,208.124,111.94,181.748,126.766,113.245,275.18,102.786,195.208,176.381,167.3,179.854,141.782,212.607,231.168,135.379,292.832,81.026,77.819,98.522,126.443,229.711,232.805,209.716,200.247,110.784,326.808,230.425,189.677,130.055,212.395,234.042,202.631,205.491,475.983,67.623,110.006,454.293,264.487,106.105,164.119,200.495,242.32,31.765,29.346,110.869,217.285,275.833,254.239,204.008,83.646,83.646,180.656,180.656,141.72,187.469,240.761,200.375,176.35,158.424,349.904,78.889,120.619,183.342,149.328,200.948,150.877,147.489,384.757,256.888,66.342,171.777,134.175,199.475,166.355,292.648,480.124,207.842,195.882
"Danville",434.34,215.871,391.8,178.53,169.038,137.867,129.425,395.581,233.638,263.913,108.713,215.211,175.172,305.981,156.41,142.662,164.957,167.303,234.585,291.77,150.49,260.836,113.092,218.004,316.435,218.164,389.247,224.475,209.13,66.944,287.846,171.717,0,381.381,196.112,186.048,333.241,373.459,373.459,396.601,325.544,126.263,221.337,242.568,483.986,380.583,318.148,170.332,217.025,339.358,211.669,175.96,248.546,189.531,53.733,368.8,261.605,262.517,79.713,257.417,186.697,230.828,292.668,297.402,333.686,328.104,310.635,371.223,379.418,190.786,398.876,263.897,123.628,114.014,257.593,344.175,347.778,47.105,360.923,99.255,414.143,189.173,350.353,290.731,319.019,310.21,363.307,374.344,366.271,156.02,260.473,344.581,93.284,219.945,32.33,361.171,307.361,197.04,142.385,228.576,365.535,190.076,165.744,372.861,256.643,256.643,140.275,140.275,173.996,268.238,393.364,159.123,328.444,266.04,240.192,227.568,312.156,331.592,230.097,275.891,273.421,216.277,275.045,337.766,205.383,302.927,209.941,368.328,327.031,373.417,370.412,325.314,356.558
"Dickenson",854.699,482.275,682.099,274.054,509.022,421.101,422.848,670.743,436.768,389.135,353.115,207.24,325.496,113.35,590.06,335.922,458.38,379.18,500.605,637.67,232.265,643.733,447.141,484.024,764.452,610.803,592.377,627.448,355.598,314.929,554.25,488.641,380.93,0,561.656,626.384,658.538,650.785,650.785,661.452,618.07,277.089,514.434,682.904,904.345,583.713,586.222,241.949,215.687,686.376,553.578,240.395,506.85,629.867,441.388,715.818,606.09,465.647,464.406,607.395,239.472,629.095,721.517,684.075,661.45,613.919,635.932,706.757,671.099,374.565,636.577,529.917,486.465,398.086,523.997,636.286,636.394,334.224,707.941,483.948,834.502,267.824,697.371,637.749,720.089,741.736,710.325,699.641,38.278,507.639,526.493,68.653,289.538,632.414,394.484,708.189,750.014,573.261,468.674,637.178,657.069,226.425,246.461,698.158,593.462,593.462,310.071,310.071,366.739,471.368,596.494,297.003,619.196,489.526,142.392,588.76,578.176,599.761,430.313,716.227,677.186,656.256,125.387,764.582,513.849,554.429,441.828,693.625,674.049,576.547,32.355,715.536,703.576
"Dinwiddie",276.409,180.844,231.253,321.445,62.918,188.701,137.146,235.034,242.134,320.414,207.44,397.205,266.41,487.975,64.508,241.284,133.638,231.706,164.758,131.223,410.219,69.552,115.677,178.262,158.504,58.403,275.915,33.191,347.43,266.742,208.872,131.655,194.463,563.375,0,50.745,141.957,226.001,226.001,236.054,214.664,326.061,165.989,95.339,326.055,309.472,157.601,408.617,359.94,148.074,113.77,429.255,201.281,58.221,148.649,177.516,101.058,271.013,120.61,96.396,347.462,39.544,117.803,106.118,142.402,167.557,119.351,179.939,218.871,285.736,280.535,156.092,87.376,170.804,201.509,217.414,220.508,246.903,169.639,95.676,256.212,302.707,159.069,99.447,181.787,152.279,172.023,183.06,548.265,54.639,185.072,526.575,293.082,28.661,198.476,169.887,149.43,100.8,93.445,37.292,204.988,348.115,326.521,181.577,65.359,65.359,252.938,252.938,293.097,276.734,281.975,272.657,217.564,233.49,422.186,73.304,148.2,171.045,238.593,123.543,87.129,41.364,457.039,179.835,169.718,240.622,223.44,177.044,135.747,282.492,552.406,177.234,165.274
"Emporia",250.269,220.928,271.337,352.884,133.005,220.14,168.585,275.118,282.218,360.498,238.879,461.458,384.561,552.228,31.598,361.968,165.077,332.005,204.842,171.307,403.158,102.233,133.373,218.346,132.364,98.487,315.999,73.275,387.514,259.348,248.956,171.739,187.069,627.628,51.85,0,175.24,266.085,266.085,276.138,254.748,318.667,206.073,58.497,299.915,349.556,197.685,401.556,391.379,181.357,153.854,422.194,241.365,6.428,147.863,145.337,139.991,311.097,113.216,129.679,378.901,77.11,103.788,138.799,175.685,207.641,152.634,213.222,258.955,325.82,320.619,196.176,90.406,202.243,241.593,257.498,260.592,239.509,202.922,88.282,230.072,334.146,163.452,132.73,134.948,126.139,147.653,216.343,612.518,84.936,225.156,590.828,285.688,66.431,193.181,153.463,123.29,140.884,124.884,69.973,245.072,452.598,357.96,214.86,105.443,105.443,284.377,284.377,333.181,316.818,322.059,304.096,257.648,273.574,486.439,113.388,188.284,211.129,278.677,91.82,101.4,44.256,521.292,153.695,249.675,280.706,263.524,210.327,169.03,322.576,616.659,141.243,198.557
"Essex",265.06,180.031,160.414,413.912,138.851,255.406,223.534,164.195,241.321,319.601,320.353,489.672,343.664,580.442,196.869,321.071,191.509,291.108,163.945,61.599,475.697,99.773,213.628,177.449,174.813,105.293,205.076,110.62,346.617,399.103,138.033,161.246,326.824,655.842,135.843,177.684,0,155.162,155.162,165.215,143.825,435.055,165.176,195.787,314.706,238.633,75.439,498.454,452.407,72.872,113.835,496.9,200.468,170.059,255.872,126.179,66.355,270.2,252.971,59.111,439.929,101.851,143.872,115.119,39.865,61.174,35.809,48.218,148.032,284.923,209.696,155.279,197.518,281.747,160.579,146.575,149.669,379.264,85.684,228.037,244.863,395.174,114.586,81.259,130.45,152.097,120.686,41.102,640.732,176.437,139.695,619.042,425.443,112.457,305.699,114.207,160.375,130.391,179.833,109.388,134.149,440.582,418.988,39.619,72.533,72.533,366.27,366.27,292.284,275.921,211.136,365.124,146.725,232.677,514.653,89.438,86.642,100.206,237.78,168.614,149.942,153.202,549.506,174.943,208.778,169.783,222.627,35.086,105.093,211.653,644.873,125.897,94.485
"Fairfax",318.551,158.351,28.255,407.689,217.287,237.092,301.97,24.471,216.134,309.928,346.216,483.449,337.441,574.219,285.362,314.848,220.821,284.885,150.171,111.205,469.474,202.574,292.064,160.707,323.293,182.766,85.496,195.984,340.394,456.7,88.414,235.882,371.577,649.619,224.336,266.816,154.652,0,0,15.18,50.121,428.832,164.547,284.919,279.688,128.335,72.621,492.231,446.184,245.217,188.471,490.677,136.963,259.191,334.308,274.659,140.141,185.996,341.464,151.946,433.706,198.693,292.925,242.916,193.1,104.422,168.966,202.87,17.255,278.7,44.563,138.753,275.954,263.433,115.01,29.626,21.97,443.428,266.782,316.53,340.352,388.951,256.212,196.59,278.93,300.577,269.166,195.754,634.509,251,116.961,612.819,469.713,200.95,341.191,267.03,308.855,205.027,258.269,206.23,29.939,434.359,412.765,194.271,161.998,161.998,360.047,360.047,286.061,187.485,89.265,358.901,45.951,152.232,508.43,167.874,92.181,56.165,225.095,317.094,246.784,242.334,543.283,323.423,202.553,84.7,240.773,176.504,232.89,101.355,638.65,274.377,262.417
"Fairfax City",318.551,158.351,28.255,407.689,217.287,237.092,301.97,24.471,216.134,309.928,346.216,483.449,337.441,574.219,285.362,314.848,220.821,284.885,150.171,111.205,469.474,202.574,292.064,160.707,323.293,182.766,85.496,195.984,340.394,456.7,88.414,235.882,371.577,649.619,224.336,266.816,154.652,0,0,15.18,50.121,428.832,164.547,284.919,279.688,128.335,72.621,492.231,446.184,245.217,188.471,490.677,136.963,259.191,334.308,274.659,140.141,185.996,341.464,151.946,433.706,198.693,292.925,242.916,193.1,104.422,168.966,202.87,17.255,278.7,44.563,138.753,275.954,263.433,115.01,29.626,21.97,443.428,266.782,316.53,340.352,388.951,256.212,196.59,278.93,300.577,269.166,195.754,634.509,251,116.961,612.819,469.713,200.95,341.191,267.03,308.855,205.027,258.269,206.23,29.939,434.359,412.765,194.271,161.998,161.998,360.047,360.047,286.061,187.485,89.265,358.901,45.951,152.232,508.43,167.874,92.181,56.165,225.095,317.094,246.784,242.334,543.283,323.423,202.553,84.7,240.773,176.504,232.89,101.355,638.65,274.377,262.417
"Falls Church",303.869,170.534,24.247,419.872,228.732,249.275,313.415,9.789,228.317,322.111,358.399,495.632,349.624,586.402,296.807,327.031,277.59,297.068,162.354,122.65,481.657,214.019,303.509,172.89,334.738,194.211,93.357,207.429,352.577,468.883,100.597,247.327,397.346,661.802,235.781,278.261,166.097,16.239,16.239,0,62.304,441.015,176.73,296.364,265.006,123.18,84.066,504.414,458.367,256.662,199.916,502.86,149.146,270.636,345.753,286.104,151.586,198.179,352.909,163.391,445.889,210.138,304.37,254.361,204.545,115.867,180.411,214.315,21.048,290.883,52.424,150.198,287.399,275.616,127.193,41.809,34.153,455.611,278.227,327.975,325.67,401.134,267.657,208.035,290.375,312.022,280.611,207.199,646.692,262.445,129.144,625.002,481.896,212.395,353.374,278.475,320.3,216.472,269.714,217.675,42.581,446.542,424.948,205.716,173.443,173.443,372.23,372.23,298.244,199.668,97.126,371.084,58.134,164.415,520.613,179.319,103.626,67.61,237.278,328.539,258.229,253.779,555.466,334.868,214.736,96.883,252.956,187.949,244.335,112.461,650.833,285.822,273.862
"Fauquier",364.265,111.05,81.541,375.052,206.597,189.791,212.366,70.185,183.497,277.291,254.738,450.812,304.804,541.582,274.672,282.211,173.52,252.248,102.87,100.515,436.837,191.884,237.305,113.406,312.603,172.076,62.141,185.294,307.757,424.063,41.113,172.369,324.276,616.982,213.646,256.126,143.962,50.227,50.227,60.894,0,396.195,117.246,274.229,325.402,95.698,61.571,459.594,413.547,234.527,138.667,458.04,89.662,248.501,298.541,263.969,129.451,153.359,330.774,141.256,401.069,188.003,282.235,232.226,182.41,93.732,158.276,192.18,70.541,246.063,75.644,93.823,265.264,216.132,67.709,35.728,35.836,339.487,256.092,305.84,382.653,356.314,245.522,185.9,268.24,289.887,258.476,185.064,601.872,240.31,69.66,580.182,437.076,190.26,293.89,256.34,298.165,158.35,201.716,195.54,56.511,401.722,380.128,183.581,151.308,151.308,327.41,327.41,253.424,154.848,68.201,326.264,5.212,100.353,475.793,157.184,81.491,68.975,192.458,306.404,236.094,231.644,510.646,312.733,155.252,36.007,157.46,165.814,222.2,68.718,606.013,263.687,251.727
"Floyd",633.41,260.986,460.81,52.765,264.557,177.474,178.383,449.454,215.479,197.003,110.305,110.675,104.207,201.445,286.076,114.633,213.915,157.891,279.316,416.381,45.375,422.444,178.331,262.735,543.163,389.514,371.088,406.159,159.253,66.77,332.961,244.176,125.903,276.845,325.778,315.714,437.249,429.496,429.496,440.163,396.781,0,293.145,372.234,683.056,362.424,364.933,65.93,91.26,465.087,332.289,71.558,285.561,319.197,162.121,494.529,384.801,244.358,209.379,386.106,60.932,407.806,422.334,462.786,440.161,392.63,414.643,485.468,449.81,153.276,415.288,308.628,217.655,153.621,302.708,414.997,415.105,73.152,486.652,228.921,613.213,46.535,476.082,416.46,498.8,520.447,489.036,478.352,261.735,263.174,305.204,240.045,41.379,331.543,114.519,486.9,528.725,275.942,224.209,415.889,435.78,61.585,39.979,476.869,372.173,372.173,67.499,67.499,145.45,250.079,375.205,75.714,397.907,268.237,135.656,367.471,356.887,378.472,209.024,405.557,455.897,345.943,170.509,543.293,292.56,333.14,220.539,472.336,452.76,355.258,265.876,494.247,482.287
"Fluvanna",363.728,43.442,180.96,277.323,84.657,99.044,95.22,184.741,104.732,183.012,161.27,353.083,207.075,443.853,225.855,184.482,56.374,154.519,25.373,146.699,339.108,152.762,120.159,40.86,273.481,119.832,178.692,136.477,210.028,264.259,81.099,56.318,220.617,519.253,164.829,207.309,167.567,165.356,165.356,176.023,117.441,298.466,0,225.412,413.374,251.677,102.869,361.865,315.818,195.405,45.024,360.311,63.916,199.684,171.185,224.847,115.119,133.611,178.715,116.424,303.34,138.124,230.546,193.104,170.479,130.566,144.961,215.786,168.578,148.334,190.773,38.394,137.32,125.385,64.144,136.072,139.675,235.828,216.97,162.733,343.531,258.585,206.4,146.778,229.118,250.765,219.354,208.67,504.143,124.477,47.707,482.453,339.347,141.443,190.231,217.218,259.043,63.008,84.001,146.207,154.695,303.993,282.399,207.187,102.491,102.491,229.681,229.681,155.695,139.332,184.752,228.535,120.341,96.125,378.064,97.789,87.205,120.752,101.191,267.282,186.215,182.827,412.917,273.611,36.204,109.478,86.038,202.654,183.078,244.511,508.284,224.565,212.605
"Franklin",192.943,238.972,289.381,472.853,151.049,272.244,234.278,293.162,300.262,378.542,304.572,516.781,402.605,607.551,90.064,380.012,220.046,350.049,222.886,189.351,458.481,117.096,188.696,236.39,75.038,116.531,334.043,91.319,405.558,314.671,267,189.783,242.392,682.951,96.528,58.466,193.284,284.129,284.129,294.182,272.792,373.99,224.117,0,242.589,367.6,215.729,456.879,511.348,134.384,171.898,477.517,259.409,62.238,203.186,88.011,158.035,329.141,168.539,147.723,498.87,95.154,44.855,87,187.502,225.685,170.678,193.142,276.999,343.864,338.663,214.22,145.729,267.936,259.637,275.542,278.636,294.832,158.614,143.605,172.746,454.115,106.126,150.774,77.622,68.813,71.175,212.306,667.841,140.259,243.2,646.151,341.011,84.475,248.504,96.137,65.964,158.928,190.577,88.017,263.116,499.523,477.929,232.904,123.487,123.487,350.07,350.07,351.225,334.862,340.103,424.065,275.692,291.618,541.762,131.432,206.328,229.173,296.721,34.494,75.386,56.946,576.615,96.369,267.719,298.75,281.568,228.371,127.559,340.62,671.982,83.917,121.65
"Franklin City",50.137,427.39,257.357,661.271,374.204,502.765,458.887,254.366,488.68,566.96,529.181,737.031,591.023,827.801,331.901,568.43,426.807,538.467,411.304,368.116,723.056,272.651,424.418,424.808,187.698,329.19,354.684,302.928,593.976,556.508,364.374,396.544,484.229,903.201,322.786,300.303,313.492,280.016,280.016,264.609,326.081,682.414,412.535,243.619,0,384.507,331.909,698.716,699.766,241.925,361.194,744.259,412.923,304.075,445.023,188.751,329.224,461.956,410.376,313.939,687.288,325.748,218.391,248.54,295.043,315.098,295.212,300.683,269.275,532.282,313.751,402.638,387.566,492.545,390.97,305.586,297.93,536.669,266.155,385.442,71.938,642.533,213.667,272.117,200.046,175.598,197.868,319.847,888.091,363.38,387.277,866.401,582.848,295.657,490.341,203.678,178.47,365.689,415.186,291.531,290.424,687.941,666.347,327.019,311.815,311.815,613.629,613.629,539.643,463.445,364.367,612.483,321.911,428.192,762.012,327.238,351.469,315.453,485.139,206.181,247.634,298.783,796.865,181.697,456.137,360.66,469.986,348.579,235.1,373.788,892.232,195.493,229.191
"Frederick",424.463,214.184,160.318,340.653,301.239,245.225,294.759,148.962,149.098,242.892,279.18,416.413,270.405,507.183,369.314,247.812,261.516,217.849,232.514,195.157,402.438,286.526,339.935,215.933,407.245,266.718,32.435,279.936,273.358,389.664,135.755,298.433,379.71,582.583,308.288,350.768,238.604,129.004,129.004,139.671,96.289,361.796,246.343,368.871,385.6,0,156.213,425.195,379.148,329.169,285.487,423.641,164.788,343.143,353.975,358.611,224.093,118.96,403.374,235.898,366.67,282.645,376.877,326.868,277.052,188.374,252.918,286.822,149.318,211.664,76.635,188.465,361.979,271.566,119.66,114.505,114.613,376.392,350.734,400.482,477.295,321.915,340.164,280.542,362.882,384.529,353.118,279.706,567.473,334.952,164.302,545.783,402.677,284.902,349.324,350.982,392.807,305.17,308.66,290.182,135.288,367.323,345.729,278.223,245.95,245.95,293.011,293.011,219.025,120.449,36.552,291.865,97.415,117.066,441.394,251.826,176.133,158.484,158.059,401.046,330.736,326.286,476.247,407.375,245.758,76.026,173.737,260.456,316.842,10.191,571.614,358.329,346.369
"Fredericksburg",347.853,118.954,77.52,352.835,151.6,194.329,236.283,81.301,180.244,258.524,259.276,428.595,282.587,519.365,219.675,259.994,200.458,230.031,94.19,31.679,414.62,136.887,226.377,116.372,257.606,117.079,122.881,130.297,285.54,392.493,60.055,170.195,320.214,594.765,158.649,201.129,75.076,72.268,72.268,82.321,61.63,373.978,104.099,219.232,328.647,156.438,0,437.377,391.33,147.949,122.784,435.823,104.554,193.504,268.621,208.972,74.454,156.481,275.777,86.259,378.852,133.006,227.238,177.229,103.917,29.39,103.279,123.294,65.138,223.846,126.802,66.248,210.267,220.67,82.601,63.681,66.775,344.025,160.761,250.843,327.656,334.097,190.525,130.903,213.243,234.89,203.479,116.178,579.655,185.313,61.717,557.965,414.859,135.263,298.428,201.343,243.168,139.34,192.582,140.543,51.255,379.505,357.911,114.695,96.311,96.311,305.193,305.193,231.207,149.735,128.941,304.047,64.53,137.448,453.576,102.187,20.917,15.999,176.703,251.407,181.097,176.647,488.429,257.736,147.701,87.588,161.55,101.472,167.203,129.458,583.796,208.69,196.73
"Galax",648.284,323.025,522.849,114.804,349.772,261.851,263.598,511.493,277.518,259.042,193.865,76.035,166.246,166.805,363.668,176.672,299.13,219.93,341.355,478.42,21.077,474.423,269.441,324.774,530.379,451.553,433.127,438.062,221.292,103.741,395,329.391,169.742,242.205,409.699,399.992,499.288,491.535,491.535,502.202,458.82,66.102,355.184,456.512,697.93,424.463,426.972,0,103.237,527.126,394.328,17.299,347.6,403.475,230.2,556.568,446.84,306.397,253.218,448.145,80.222,444.415,506.255,524.825,502.2,454.669,476.682,547.507,511.849,215.315,477.327,370.667,297.133,238.836,364.747,477.036,477.144,123.036,548.691,272.76,628.087,108.574,538.121,478.499,560.839,524.154,551.075,540.391,227.095,348.389,367.243,205.405,78.35,433.532,183.296,548.939,521.305,414.011,309.424,442.163,497.819,67.175,87.211,538.908,434.212,434.212,150.821,150.821,207.489,312.118,437.244,137.753,459.946,330.276,101.016,429.51,418.926,440.511,271.063,489.835,487.008,429.864,135.869,551.71,354.599,395.179,282.578,534.375,514.799,417.297,231.236,556.286,544.326
"Giles",651.024,278.6,478.424,39.002,305.347,217.426,219.173,467.068,233.093,144.69,149.44,54.554,121.821,186.571,368.131,132.247,254.705,175.505,296.93,433.995,81.826,440.058,243.466,280.349,560.777,407.128,388.702,423.773,104.582,150.685,350.575,284.966,209.818,216.476,357.981,387.902,454.863,447.11,447.11,457.777,414.395,84.413,310.759,512.708,700.67,380.038,382.547,104.583,0,482.701,349.903,103.029,303.175,391.385,253.257,512.143,402.415,261.972,293.738,403.72,27.008,425.42,517.842,480.4,457.775,410.244,432.257,503.082,467.424,170.89,432.902,326.242,282.79,194.411,320.322,432.611,432.719,157.067,504.266,296.551,630.827,55.317,493.696,434.074,516.414,538.061,506.65,495.966,217.081,303.964,322.818,156.873,125.294,428.739,205.655,504.514,546.339,369.586,264.999,433.503,453.394,42.084,45.712,494.483,389.787,389.787,106.396,106.396,163.064,267.693,392.819,93.328,415.521,285.851,120.782,385.085,374.501,396.086,226.638,554.578,473.511,470.123,95.7,560.907,310.174,350.754,238.153,489.95,470.374,372.872,221.222,511.861,499.901
"Gloucester",193.525,209.603,250.359,443.484,156.417,284.978,241.1,254.14,270.893,349.173,311.394,519.244,373.236,610.014,209.151,350.643,209.02,320.68,193.517,120.928,505.269,73.41,231.194,207.021,103.278,111.403,295.021,116.73,376.189,411.385,227.978,178.757,339.106,685.414,148.125,183.794,72.821,245.107,245.107,255.16,233.77,464.627,194.748,134.517,243.171,328.578,176.707,528.026,481.979,0,143.407,526.472,230.04,176.169,273.438,54.644,111.437,299.772,265.253,96.152,469.501,107.961,72.337,59.538,46.918,133.996,59.578,60.081,237.977,314.495,299.641,184.851,221.456,274.758,230.268,236.52,239.614,391.546,25.553,240.319,173.328,424.746,43.051,50.995,58.915,80.562,49.151,79.245,670.304,188.719,213.831,648.614,437.725,124.739,323.265,42.672,88.84,147.902,197.399,100.78,224.094,470.154,448.56,86.417,94.028,94.028,395.842,395.842,321.856,305.493,301.081,394.696,236.67,262.249,544.225,109.451,167.306,190.151,267.352,97.079,65.815,159.312,579.078,103.408,238.35,259.728,252.199,107.908,43.93,301.598,674.445,54.362,22.95
"Goochland",311.91,77.919,194.911,311.8,43.627,128.277,114.925,198.692,139.209,217.489,180.975,387.56,241.552,478.33,172.335,218.959,76.079,188.996,61.833,94.881,373.585,100.944,117.641,75.337,221.663,59.597,199.914,82.957,244.505,283.757,104.106,45.816,211.478,553.73,111.309,153.789,115.749,189.659,189.659,199.712,138.663,332.943,45.014,171.892,361.556,233.471,121.259,396.342,350.295,143.587,0,394.788,98.356,146.164,159.885,173.029,63.301,168.088,167.415,64.606,337.817,84.604,177.026,141.286,118.661,131.215,93.143,163.968,182.529,182.811,244.193,53.167,101.531,144.339,98.584,181.072,184.166,263.918,165.152,144.209,291.713,293.062,154.582,94.96,177.3,198.947,167.536,156.852,538.62,78.003,82.147,516.93,310.097,87.923,209.936,165.4,207.225,19.683,75.163,92.687,168.646,338.47,316.876,155.369,50.673,50.673,264.158,264.158,190.172,173.809,205.974,263.012,141.563,130.565,412.541,41.455,79.384,134.703,135.668,182.766,132.695,129.307,447.394,221.793,72.386,143.918,120.515,150.836,131.26,206.491,542.761,172.747,160.787
"Grayson",693.713,321.289,521.113,113.068,348.036,260.115,261.862,509.757,275.782,257.306,192.129,74.299,164.51,165.069,384.335,174.936,297.394,218.194,339.619,476.684,26.545,482.747,286.155,323.038,551.046,449.817,431.391,458.729,219.556,109.209,393.264,327.655,175.21,240.469,430.366,420.659,497.552,489.799,489.799,500.466,457.084,71.57,353.448,477.179,743.359,422.727,425.236,17.13,101.501,525.39,392.592,0,345.864,424.142,235.668,554.832,445.104,304.661,258.686,446.409,78.486,468.109,526.922,523.089,500.464,452.933,474.946,545.771,510.113,213.579,475.591,368.931,302.601,237.1,363.011,475.3,475.408,128.504,546.955,278.228,673.516,106.838,536.385,476.763,559.103,544.821,549.339,538.655,225.359,346.653,365.507,203.669,83.818,454.199,188.764,547.203,541.972,412.275,307.688,462.83,496.083,65.439,85.475,537.172,432.476,432.476,149.085,149.085,205.753,310.382,435.508,136.017,458.21,328.54,99.28,427.774,417.19,438.775,269.327,510.502,507.675,450.531,134.133,603.596,352.863,393.443,280.842,532.639,513.063,415.561,229.5,554.55,542.59
"Greene",399.532,34.325,169.191,272.02,142.038,113.066,162.6,157.835,73.153,177.709,178.013,347.78,201.772,438.55,261.659,179.179,108.465,149.216,45.84,138.044,333.805,188.566,177.587,36.681,309.285,155.636,173.559,172.281,204.725,321.031,52.264,126.181,247.551,513.95,200.633,243.113,181.491,137.877,137.877,148.544,89.962,293.163,63.851,261.216,413.052,164.895,103.23,356.562,310.515,231.209,98.411,355.008,0,235.488,221.816,260.651,150.923,51.927,236.143,152.228,298.037,173.928,266.35,228.908,206.283,130.927,180.765,229.709,158.191,143.031,163.294,53.727,194.748,139.407,22.011,108.593,112.196,262.762,252.774,220.161,379.335,253.282,242.204,182.582,264.922,286.569,255.158,222.593,498.84,176.414,38.707,477.15,334.044,177.247,217.165,253.022,294.847,118.094,141.429,182.011,129.712,298.69,277.096,221.11,138.295,138.295,224.378,224.378,150.392,45.181,177.676,223.232,92.862,32.894,372.761,133.593,100.768,116.769,82.114,303.086,222.019,218.631,407.614,309.415,78.527,67.345,80.735,203.009,218.882,157.729,502.981,260.369,248.409
"Greensville",255.023,214.445,264.854,448.326,126.522,222.565,171.01,268.635,275.735,354.015,241.304,463.883,378.078,554.653,38.774,355.485,195.519,325.522,198.359,164.824,405.583,95.75,135.798,211.863,137.118,92.004,309.516,66.792,381.031,261.773,242.473,165.256,189.494,630.053,58.141,7.176,168.757,259.602,259.602,269.655,248.265,321.092,199.59,63.251,304.669,343.073,191.202,403.981,486.821,174.874,147.371,424.619,234.882,0,150.288,150.091,133.508,304.614,115.641,123.196,474.343,70.627,114.164,132.316,169.202,201.158,146.151,206.739,252.472,319.337,314.136,189.693,92.831,204.668,235.11,251.015,254.109,241.934,196.439,90.707,234.826,429.588,185.869,126.247,139.702,130.893,152.407,209.86,614.943,87.361,218.673,593.253,288.113,59.948,195.606,158.217,128.044,134.401,127.309,63.49,238.589,474.996,453.402,208.377,98.96,98.96,286.802,286.802,326.698,310.335,315.576,399.538,251.165,267.091,488.864,106.905,181.801,204.646,272.194,96.574,94.917,37.773,523.717,158.449,243.192,274.223,257.041,203.844,162.547,316.093,619.084,145.997,192.074
"Halifax",395.107,189.86,340.042,214.224,117.28,111.856,78.839,343.823,207.627,237.902,115.419,277.114,174.389,367.884,117.177,149.263,128.229,154.861,208.574,240.012,212.393,214.484,52.349,191.993,277.202,166.406,363.236,178.123,231.007,128.847,261.835,119.959,53.589,443.284,149.76,146.815,261.268,334.79,334.79,344.843,299.533,161.104,171.696,203.335,444.753,354.572,266.39,232.235,252.719,272.762,159.911,237.863,222.535,150.298,0,302.204,209.847,236.506,40.48,205.659,240.241,184.476,246.316,251.05,267.09,276.346,238.662,304.627,327.66,164.775,389.324,213.078,71.87,88.123,231.582,326.203,329.297,102.445,294.327,60.022,374.91,195.486,283.757,224.135,279.786,270.977,296.711,302.371,428.174,104.262,219.217,406.484,155.187,173.593,51.082,294.575,268.128,145.282,90.627,182.224,313.777,240.894,219.3,300.888,180.567,180.567,146.588,146.588,154.199,242.227,367.353,165.436,302.433,240.029,302.095,175.81,256.989,279.834,204.086,236.658,227.069,169.925,336.948,298.533,164.309,276.916,183.93,296.355,260.435,347.406,432.315,301.922,289.962
