"","Accomack","Albemarle","Alexandria","Alleghany","Amelia","Amherst","Appomattox","Arlington","Augusta","Bath","Bedford","Bland","Botetourt","Bristol","Brunswick","Buchanan","Buckingham","Buena Vista","Campbell","Caroline","Carroll","Charles City","Charlotte","Charlottesville","Chesapeake","Chesterfield","Clarke","Colonial Heights","Covington","Craig","Culpeper","Cumberland","Danville","Dickenson","Dinwiddie","Emporia","Essex","Fairfax","Fairfax City","Falls Church","Fauquier","Floyd","Fluvanna","Franklin","Franklin City","Frederick","Fredericksburg","Galax","Giles","Gloucester","Goochland","Grayson","Greene","Greensville","Halifax","Hampton","Hanover","Harrisonburg","Henrico","Henry","Highland","Hopewell","Isle of Wight","James City","King and Queen","King George","King William","Lancaster","Lee","Lexington","Loudoun","Louisa","Lunenburg","Lynchburg","Madison","Manassas","Manassas Park","Martinsville","Mathews","Mecklenburg","Middlesex","Montgomery","Nelson","New Kent","Newport News","Norfolk","Northampton","Northumberland","Norton","Nottoway","Orange","Page","Patrick","Petersburg","Pittsylvania","Poquoson","Portsmouth","Powhatan","Prince Edward","Prince George","Prince William","Pulaski","Radford","Rappahannock","Richmond","Richmond City","Roanoke","Roanoke City","Rockbridge","Rockingham","Russell","Salem","Scott","Shenandoah","Smyth","Southampton","Spotsylvania","Stafford","Staunton","Suffolk","Surry","Sussex","Tazewell","Virginia Beach","Warren","Washington","Waynesboro","Westmoreland","Williamsburg","Winchester","Wise","Wythe","York"
"Charles City",222.705,168.084,208.84,401.965,100.178,243.459,184.861,212.621,229.374,307.654,255.155,477.725,331.717,568.495,131.71,309.124,159.039,279.161,151.998,108.81,463.75,0,172.316,165.502,132.458,55.524,253.502,39.688,334.67,333.944,186.459,128.776,261.665,643.895,70.684,102.657,99.529,203.588,203.588,213.641,192.251,423.108,153.229,116.832,272.351,287.059,135.188,475.819,440.46,73.519,101.888,484.953,188.521,95.032,215.851,83.824,69.918,258.253,187.812,59.606,427.982,28.393,102.09,36.565,67.847,145.144,68.016,105.384,196.458,272.976,258.122,143.332,144.015,218.519,188.749,195.001,198.095,314.105,95.084,162.878,202.508,383.227,65.377,24.869,88.095,109.742,78.331,124.548,628.785,111.278,172.312,607.095,360.284,43.555,265.678,76.195,118.02,97.921,141.16,32.284,182.575,428.635,407.041,131.72,52.509,52.509,354.323,354.323,280.337,263.974,259.562,353.177,195.151,220.73,502.706,62.424,125.787,148.632,225.833,126.259,64.64,78.175,537.559,132.588,196.831,218.209,210.68,134.616,38.065,260.079,632.926,83.542,71.245
"Charlotte",399.294,145.286,298.251,203.58,75.489,95.85,44.295,302.032,191.621,221.896,104.75,279.34,163.72,370.11,102.631,138.594,81.562,138.855,145.147,198.221,222.609,171.731,0,134.271,260.683,124.615,347.23,135.37,215.001,165.931,200.873,68.223,103.905,445.51,116.488,132.269,219.477,292.999,292.999,303.052,237.215,177.233,119.96,188.789,448.94,338.566,224.599,269.319,242.075,230.971,118.12,286.568,177.961,135.752,52.312,260.413,168.056,220.5,69.183,163.868,229.597,141.723,219.982,208.297,225.299,234.555,196.871,262.836,285.869,148.769,347.533,149.25,39.456,77.953,187.008,284.412,287.506,137.5,252.536,53.217,379.097,184.842,241.966,182.344,264.684,254.458,254.92,260.58,430.4,62.471,167.481,408.71,192.271,130.84,91.903,252.784,251.609,103.491,38.891,139.471,271.986,230.25,208.656,259.097,138.776,138.776,138.038,138.038,145.969,226.221,351.347,154.792,240.115,210.17,304.321,134.019,215.198,238.043,188.08,222.112,189.308,146.525,339.174,282.014,112.573,232.342,167.924,254.564,218.644,331.4,434.541,260.131,248.171
"Charlottesville",374.299,6.093,179.55,241.399,116.805,82.893,104.183,181.532,68.808,147.088,147.84,317.159,171.151,407.929,236.426,148.558,65.337,118.595,20.186,157.27,303.184,163.333,134.459,0,284.052,130.403,224.417,147.048,174.104,290.41,75.961,88.074,217.378,483.329,175.4,217.88,178.138,161.574,161.574,172.241,113.659,262.542,34.034,235.983,423.945,215.753,105.803,325.941,279.894,205.976,73.178,324.387,36.661,210.255,191.643,235.418,125.69,97.687,193.015,126.995,267.416,148.695,241.117,203.675,181.05,133.5,155.532,226.357,167.168,112.41,186.991,49.517,151.62,109.234,45.708,132.29,135.893,232.589,227.541,177.033,354.102,222.661,216.971,157.349,239.689,261.336,229.925,219.241,468.219,138.777,45.373,446.529,303.423,152.014,186.992,227.789,269.614,92.861,98.301,156.778,153.285,268.069,246.475,217.758,113.062,113.062,193.757,193.757,119.771,103.408,228.534,192.611,116.559,68.87,342.14,108.36,97.776,119.342,65.267,277.853,196.786,193.398,376.993,284.182,35.399,91.042,50.114,213.225,193.649,208.587,472.36,235.136,223.176
"Chesapeake",137.21,287.257,328.013,521.138,196.513,362.632,279.742,331.794,348.547,426.827,350.036,596.898,450.89,687.668,165.756,428.297,286.674,398.334,271.171,227.983,534.173,132.518,258.273,284.675,0,161.995,372.675,136.783,453.843,390.363,305.632,256.411,318.084,763.068,156.641,134.158,173.359,322.761,322.761,332.814,311.424,542.281,272.402,77.474,186.856,406.232,254.361,532.571,559.633,101.792,221.061,553.209,307.694,137.93,278.878,48.618,189.091,377.426,244.231,173.806,547.155,132.745,59.317,108.407,154.91,264.317,155.079,160.55,315.631,392.149,377.295,262.505,221.421,313.4,307.922,314.174,317.268,370.524,126.022,219.297,117.013,502.4,73.534,131.984,47.473,18.712,57.735,179.714,747.958,197.235,291.485,726.268,416.703,129.512,324.196,63.545,19.403,225.556,236.041,125.386,301.748,547.808,526.214,186.886,171.682,171.682,473.496,473.496,399.51,383.147,378.735,472.35,314.324,339.903,621.879,187.105,244.96,267.805,345.006,40.036,88.56,132.638,656.732,40.589,316.004,337.382,329.853,208.446,94.967,379.252,752.099,53.768,89.058
"Chesterfield",278.961,135.893,188.988,369.774,50.931,161.99,135.614,192.769,197.183,275.463,205.908,445.534,299.526,536.304,117.366,276.933,109.792,246.97,119.807,88.958,431.559,55.134,125.708,133.311,162.758,0,233.65,27.988,302.479,291.824,166.607,79.529,219.545,611.704,56.34,98.82,104.521,183.736,183.736,193.789,172.399,390.917,121.038,116.923,328.607,267.207,115.336,454.316,408.269,110.638,61.644,452.762,156.33,91.195,167.952,140.08,58.793,226.062,173.468,54.605,395.791,29.635,122.057,108.337,104.966,125.292,81.915,142.503,176.606,240.785,238.27,111.141,109.598,169.272,156.558,175.149,178.243,271.985,132.203,148.534,258.764,351.036,121.633,62.011,144.351,165.998,134.587,145.624,596.594,77.751,140.121,574.904,318.164,32.954,217.779,132.451,174.276,48.674,91.913,37.718,162.723,396.444,374.85,144.141,28.049,28.049,251.406,251.406,248.146,231.783,239.71,320.986,175.299,188.539,470.515,24.372,105.935,128.78,193.642,127.797,77.726,74.338,505.368,188.844,134.03,198.357,178.489,139.608,98.311,240.227,600.735,139.798,127.838
"Clarke",393.956,224.097,115.509,350.566,268.029,255.138,304.672,99.581,159.011,252.805,289.093,426.326,280.318,517.096,336.104,257.725,271.429,227.762,164.302,161.947,412.351,253.316,349.848,225.846,374.035,233.508,0,246.726,283.271,399.577,102.545,233.801,389.623,592.496,275.078,317.558,205.394,87.392,87.392,91.995,63.079,371.709,178.678,335.661,355.093,32.109,123.003,435.108,389.061,295.959,200.099,433.554,174.701,309.933,363.888,325.401,190.883,128.873,392.206,202.688,376.583,249.435,343.667,293.658,243.842,155.164,219.708,253.612,104.509,221.577,46.128,155.255,326.696,281.479,129.141,81.295,87.492,386.305,317.524,367.272,415.757,331.828,306.954,247.332,329.672,351.319,319.908,246.496,577.386,301.742,131.092,555.696,412.59,251.692,359.237,317.772,359.597,219.782,318.573,256.972,102.078,377.236,355.642,245.013,212.74,212.74,302.924,302.924,228.938,130.362,6.059,301.778,64.205,126.979,451.307,218.616,142.923,125.274,167.972,367.836,297.526,293.076,486.16,374.165,255.671,65.814,183.65,227.246,283.632,21.39,581.527,325.119,313.159
"Colonial Heights",256.438,150.637,201.046,384.518,72.85,183.909,155.216,204.827,211.927,290.207,225.51,460.278,314.27,551.048,93.141,291.677,131.711,261.714,134.551,101.016,438.852,40.04,133.747,148.055,138.533,28.196,245.708,0,317.223,295.375,178.665,101.448,223.096,626.448,32.115,74.595,111.75,195.794,195.794,205.847,184.457,405.661,135.782,92.698,306.084,279.265,127.394,437.25,423.013,117.867,83.563,457.888,171.074,66.97,177.282,147.309,70.851,240.806,149.243,66.189,410.535,12.284,97.832,76.606,112.195,137.35,89.144,149.732,188.664,255.529,250.328,125.885,105.446,188.874,171.302,187.207,190.301,275.536,139.432,124.309,236.241,365.78,128.862,69.24,151.58,132.308,141.816,152.853,611.338,72.709,154.865,589.648,321.715,8.729,227.109,139.68,129.459,70.593,111.515,14.016,174.781,411.188,389.594,151.37,35.152,35.152,336.876,336.876,262.89,246.527,251.768,335.73,187.357,203.283,485.259,43.097,117.993,140.838,208.386,103.572,62.632,50.113,520.112,159.864,179.384,210.415,193.233,146.837,105.54,252.285,615.479,147.027,135.067
"Covington",545.376,172.952,372.776,136.919,257.882,120.67,171.708,361.42,127.445,40.107,93.485,218.558,55.238,303.449,320.666,62.117,172.007,78.749,191.282,328.347,198.704,334.41,216.884,174.701,455.129,301.48,283.054,318.125,0,185.93,244.927,202.268,207.353,357.293,346.477,388.957,349.215,341.462,341.462,352.129,308.747,158.062,205.111,407.06,595.022,274.39,276.899,221.461,105.093,377.053,244.255,219.907,197.527,381.332,230.924,406.495,296.767,156.324,271.405,298.072,162.936,319.772,412.194,374.752,352.127,304.596,326.609,397.434,361.776,67.843,327.254,220.594,255.524,141.755,214.674,326.963,327.071,172.658,398.618,269.645,525.179,118.181,388.048,328.426,410.766,432.413,401.002,390.318,357.898,256.499,217.17,297.69,198.943,323.091,188.536,398.866,440.691,263.938,217.534,327.855,347.746,163.589,141.995,388.835,284.139,284.139,89.277,89.277,76.758,162.045,287.171,88.131,309.873,180.203,237.66,279.437,268.853,290.438,120.99,448.93,367.863,364.475,236.517,455.259,204.526,245.106,132.505,384.302,364.726,267.224,362.039,406.213,394.253
"Craig",504.35,289.16,488.984,118.994,239.048,180.844,172.402,477.628,243.653,225.177,116.993,148.553,132.381,239.323,226.42,142.807,207.934,186.065,307.49,361.78,83.832,330.846,165.946,290.909,386.445,288.174,399.262,294.485,187.427,0,361.135,241.727,66.247,314.723,266.122,256.058,403.251,457.67,457.67,468.337,424.955,66.727,321.319,312.578,553.996,390.598,388.158,103.674,157.489,409.368,281.679,109.302,313.735,259.541,126.705,438.81,331.615,272.532,149.723,327.427,127.161,300.838,362.678,367.412,403.696,398.114,380.645,441.233,477.984,181.45,443.462,336.802,193.638,156.991,330.882,443.171,443.279,19.541,430.933,169.265,484.153,112.764,420.363,360.741,389.029,380.22,433.317,444.354,299.613,226.03,333.378,277.923,26.626,289.955,79.801,431.181,377.371,267.05,212.395,298.586,463.954,123.418,106.208,442.871,326.653,326.653,97.484,97.484,173.624,278.253,403.379,116.332,426.081,296.411,173.534,297.578,385.061,401.602,237.198,345.901,343.431,286.287,208.387,407.776,248.36,361.314,248.713,438.338,397.041,383.432,303.754,395.324,426.568
"Culpeper",396.078,72.93,120.752,310.625,147.757,151.671,176.09,109.396,138.034,216.314,216.618,386.385,240.377,477.155,267.9,217.784,137.244,187.821,66.594,93.743,372.41,185.112,201.029,75.286,305.831,165.304,102.774,178.522,243.33,359.636,0,143.3,286.156,552.555,206.874,249.354,137.19,89.438,89.438,100.105,41.523,331.768,80.97,267.457,364.613,136.331,58.929,395.167,349.12,227.755,104.13,393.613,51.542,241.729,260.421,257.197,122.679,103.469,259.585,134.484,336.642,181.231,275.463,225.454,175.638,86.626,151.504,185.408,109.752,181.636,114.855,59.286,205.661,178.012,29.589,60.154,63.757,301.367,249.32,299.068,375.881,291.887,238.75,179.128,261.468,283.115,251.704,178.292,537.445,182.133,33.384,515.755,372.649,183.488,255.77,249.568,291.393,123.813,164.871,188.768,81.273,337.295,315.701,176.809,144.536,144.536,262.983,262.983,188.997,96.723,108.834,261.837,44.423,84.436,411.366,150.412,56.467,77.765,134.493,299.632,229.322,224.872,446.219,305.961,117.132,41.142,119.34,158.708,215.428,109.351,541.586,256.915,244.955
