"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Perry",79.8,123.55,178.4,33.933,129.767,152.517,97.533,93.417,57.417,209.133,88.75,97.533,132.583,106.533,142.533,179.667,175.533,124.717,148.65,149.917,131.65,123.15,186.45,118.783,161.8,97.3,154.017,135.767,124.667,124.85,206.15,52.933,26.1,206.167,151.133,109.617,61.667,170.683,200.517,177.9,162.5,159.983,80.667,131.217,157.85,71.867,0,155.867,180.817,105.983,98.033,71.05,0,99.55,147.783,45.883,163.583,88.767,119,76,129.7,134.733,71.6,114.033,96.4,128.867,147.567
"Pickens",139.967,130.567,238.767,82.05,136.783,232.967,105.917,181.933,70.4,173.95,150.783,105.917,84.483,113.55,149.55,247.833,235.283,210.033,155.667,238,212.1,130.167,252.467,125.8,168.817,157.483,229.967,142.783,53.367,184.6,284.25,47.6,75.85,272.167,123.15,171.65,94.967,177.7,168.25,184.917,242.033,167,173.317,138.233,164.867,123.7,100.717,162.883,226.883,191.283,157.783,78.067,100.717,0,212.617,99.3,189.117,120.883,126,88.167,136.717,179.467,42.833,100.967,157.417,214.183,111.717
"Pike",79.283,177.8,49.817,139.4,180.117,32.967,181.633,68.733,151.133,263.4,167.317,181.633,186.85,154.15,192.617,41.333,83.183,91.1,196.267,76.617,27.8,177.417,45.967,170.867,209.417,78.517,121.15,183.383,213.317,70.767,77.767,192.6,165.5,65.667,205.4,173.267,168.367,173.217,254.767,225.533,35.55,214.25,67.933,185.517,212.1,151.6,145.183,203.483,164.083,122.717,60.317,134.2,145.183,211.1,0,124.083,179.567,112.433,166.617,156.767,157.833,107.533,170.867,168.3,64.3,94.417,201.817
"Randolph",54.267,104.117,148.75,23.267,106.433,142.8,139.583,91.783,47.8,189.717,130.8,139.583,113.167,80.467,116.183,157.95,145.25,125.7,122.583,146.85,121.933,103.733,162.583,97.183,135.733,68.483,155.75,109.7,114.517,94.583,194.367,86.467,68.55,182.283,131.717,151.667,103.717,144.317,181.083,151.85,152.15,140.567,87.117,104.85,138.417,113.917,45.15,129.8,198.683,134.383,67.767,57.117,45.15,101.717,122.717,0,205.633,42.867,92.933,66.367,95.817,104.1,61.467,94.617,67.383,129.017,128.133
"Russell",171.383,262.95,233.283,194.15,269.167,158.383,95.05,140.467,202.783,313.2,94.567,95.05,250.5,245.933,281.933,185.533,233.8,97.017,288.05,138.083,156.6,262.55,214.717,258.183,301.2,170.617,96.55,275.167,228.767,183.133,181.35,156.383,162.967,241.817,288.567,58.267,137.683,285.583,339.983,317.3,168.367,299.383,148.783,270.617,297.25,108.15,164.483,295.267,38.1,108.05,156.3,210.45,164.483,191.333,183.433,206.1,0,204.533,258.4,220.567,258.5,219.9,180.433,251.2,155.083,106.2,277.733
"Shelby",51.633,92.55,139.3,59.05,96.2,133.35,171.867,82.317,65.867,178.133,172.2,171.867,101.583,70.233,95.433,148.483,135.8,116.233,112.35,137.4,112.483,92.15,153.133,86.95,125.5,59.017,146.3,99.467,128.05,85.117,184.917,110.6,105.767,172.833,120.133,193.067,146.35,123.583,169.5,141.6,142.7,128.983,81.017,84.117,126.833,155.317,87.8,119.567,189.233,147.867,58.3,48.933,87.8,125.833,113.267,42.633,204.717,0,82.65,71.517,57.633,84.35,85.6,83.033,57.933,119.567,116.55
"St. Clair",106.067,80.717,193.717,97.5,23.433,187.783,175.083,136.75,69.083,164.183,206.8,175.083,92.1,31.867,59.9,202.917,186.967,170.667,37.217,191.833,166.917,72.85,207.55,48.717,50.367,113.45,200.717,24.333,118.567,139.55,239.35,113.817,129.867,227.25,112.05,227.683,161.267,88.05,155.55,66.467,197.133,115.85,135.45,36.9,113.7,189.917,121.167,44.433,243.667,202.283,112.733,52.867,121.167,129.05,167.7,93.9,257.9,82.683,0,68.033,47.067,112.833,88.817,73.55,112.367,174,107.083
"Sumter",95.017,72.817,182.683,52.467,79.017,176.75,135.317,125.717,20.933,158.4,161.783,135.317,82.8,55.783,94.5,191.883,179.183,159.633,97.917,180.8,155.867,72.417,196.517,68.05,111.067,102.417,189.683,85.017,102.15,128.517,228.3,74.05,90.117,216.217,101.333,182.65,121.5,122.65,149.767,127.167,186.083,109.25,124.417,83.183,107.1,144.9,76.15,105.133,232.617,179.017,101.7,26.383,76.15,89.3,156.667,69.733,218.15,69.217,68.25,0,81.667,127.783,49.05,64.25,101.333,162.967,97.767
"Talladega",105.5,96.883,176.85,108.033,71.917,185.133,186.4,134.1,80.4,182.467,218.117,186.4,105.933,60.517,42.833,191.917,145.417,168.017,73.783,189.183,164.267,96.5,196.55,77.25,94.017,94.783,198.083,62.9,132.383,110.7,228.333,125.117,141.183,204.167,124.467,238.983,172.567,70.983,173.85,102.65,186.117,133.317,132.8,32.667,131.183,201.233,132.483,87.517,241.017,199.65,109.367,63.467,132.483,140.367,156.683,95.867,256.5,57.65,48.483,81.85,0,71.283,100.133,87.367,109.717,171.35,120.9
"Tallapoosa",85.033,147.817,107.267,121.317,139.2,133.583,216.483,94.517,123.85,233.417,202.167,216.483,156.867,118.183,87.333,141.967,75.817,128.433,131.317,149.6,124.667,147.433,146.6,134.9,161.3,70.35,158.483,130.183,183.333,39.4,178.383,168.567,161.067,134.567,175.4,210.6,190.3,76.583,224.783,153.167,136.167,184.267,93.217,99.95,182.117,186.45,136.383,154.8,201.417,160.05,66.067,106.9,136.383,183.817,106.733,105.633,216.917,87.367,115.767,129.483,72.267,0,143.567,138.317,70.067,131.767,171.833
"Tuscaloosa",103.567,94.467,202.367,45.65,100.683,196.567,97.333,145.533,34.3,170.3,139.433,97.333,72.733,77.45,113.45,211.433,198.883,179.45,119.567,200.617,175.7,94.083,216.067,89.717,132.717,121.083,209.5,106.683,55.717,148.2,247.85,36.067,51.817,235.767,110.783,160.3,83.517,141.6,162.2,148.817,205.633,130.9,136.917,102.133,128.767,112.25,70.1,126.783,217.933,170.117,121.383,41.967,70.1,42.917,176.217,62.9,180.167,84.8,89.917,52.083,100.617,143.367,0,73.433,121.017,182.783,99.967
"Walker",106.767,54.55,194.433,92.217,76.183,188.5,167.75,137.467,63.8,119.8,201.517,167.75,24.65,60.717,99.417,203.633,190.933,171.383,102.833,192.55,167.617,54.15,208.267,65.217,115.983,114.167,201.433,89.95,50.433,140.267,240.05,106.483,122.233,227.967,38.95,222.4,153.933,127.567,111.7,132.1,197.833,90.983,136.167,88.1,88.833,182.667,115.883,110.05,244.367,203,113.45,54.05,115.883,101.7,168.4,94.617,250.583,80.967,73.183,61.617,86.6,137.367,75.333,0,113.083,174.7,35.383
"Washington",24.067,122.583,89.683,84.183,124.9,82.983,153.933,31.95,95.917,208.183,139.617,153.933,131.633,98.933,134.65,99.283,86.183,65.867,141.05,87.033,62.117,122.2,103.917,115.65,154.2,23.3,95.933,128.167,158.1,35.517,135.717,141.85,114.75,123.633,150.183,148.033,127.733,137.967,199.55,170.317,93.5,159.033,30.65,123.317,156.883,123.9,94.433,148.267,138.867,97.5,8.7,78.983,94.433,155.883,64.067,68.867,154.35,57.217,111.4,101.55,111.183,72.283,115.65,113.083,0,69.2,146.6
"Wilcox",84.033,182.567,145.95,142.867,184.883,71.05,139.483,53.133,155.9,268.15,98.333,139.483,191.6,158.917,194.617,92.85,146.467,15.183,201.033,43.883,69.25,182.167,120.85,175.633,214.183,83.267,46.967,188.15,218.067,95.783,100.117,164.9,139.25,154.483,210.15,99.083,126.217,198.25,259.533,230.283,81.017,219,61.433,183.3,216.867,109.45,128.517,208.25,89.917,48.533,68.967,138.95,128.517,211.517,96.1,128.833,105.4,117.183,171.367,161.533,171.15,132.55,175.617,173.05,67.733,0,206.583
"Winston",140.15,40.033,227.817,125.583,97.683,221.867,191.983,170.833,97.183,85.1,233.983,191.983,36.85,94.1,132.8,237,224.317,204.75,136.917,225.917,201,49.267,241.633,87.117,148.6,147.533,234.817,122.667,62.6,173.633,273.433,130.717,150.117,261.35,14.1,254.85,178.167,160.95,75.717,165.9,231.217,85.167,169.533,121.483,81.983,206.9,149.25,115.05,277.75,236.383,146.817,87.433,149.25,113.867,201.783,127.983,274.817,114.333,106.55,94.983,119.967,170.75,103.233,35.733,146.45,208.083,0
