"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Cullman",116.033,9.533,203.7,101.467,49.617,197.75,179.05,146.717,73.067,95.85,210.783,179.05,75.7,62.017,108.683,212.883,200.2,180.633,88.85,201.8,176.883,0,217.517,47.85,100.533,123.417,210.7,74.6,101.633,149.517,249.317,117.783,133.85,237.233,40.867,231.65,165.233,136.833,87.233,117.833,207.1,46.7,145.417,98.633,44.567,193.9,125.133,66.983,253.633,212.267,122.7,63.317,125.133,133.033,177.667,103.867,261.883,90.217,71.85,72.017,95.85,146.633,92.783,54.55,122.333,183.967,49.533
"Dale",118.167,216.7,48.767,178.3,219.017,59.033,221.4,108.5,190.033,302.283,207.083,221.4,225.733,193.05,226.417,31.333,95.15,116.433,235.167,80.4,67.567,216.3,0,209.767,248.317,117.4,134.817,222.283,252.2,111.367,60.533,232.367,205.267,39.75,244.283,204.5,208.133,204.633,293.667,264.417,46.717,253.133,107.7,224.417,251,191.367,184.95,242.383,199.233,151.917,99.2,173.083,184.95,250,44.233,162.967,211.883,151.317,205.5,195.667,196.717,149.533,209.75,207.183,103.183,117.033,240.717
"Dallas",108.783,48.383,196.433,96.033,25.783,190.5,173.617,139.467,67.617,133.967,205.35,173.617,83.633,22.333,88.467,205.633,192.95,173.383,78.417,194.55,169.633,46.233,210.267,0,91.567,116.167,203.433,65.517,110.083,142.267,242.067,112.35,128.417,229.983,79.717,226.217,159.8,116.617,125.333,107.667,199.85,84.817,138.167,77.15,82.683,188.45,119.7,67.85,246.383,205,115.45,55.583,119.7,127.6,170.417,96.617,256.433,85.917,48.017,66.567,75.633,133.983,87.35,65.067,115.083,176.717,88.383
"DeKalb",148.033,108.85,235.7,139.467,66.217,229.75,217.05,178.733,111.067,171.55,248.783,217.05,134.083,73.833,92.75,244.9,231.033,212.65,56.283,233.8,208.883,100.967,249.533,91.5,0,155.433,242.7,42.133,160.55,181.533,281.317,155.783,171.85,269.233,140.183,269.65,203.233,126.267,162.933,30.55,239.1,110.167,177.433,68.467,91.633,231.9,163.133,43.333,285.633,244.267,154.717,94.833,163.133,171.033,209.667,135.883,299.883,125.167,52,110.017,94.3,160.083,130.783,115.533,154.333,215.967,148.85
"Elmore",22.383,121.6,104.25,82.983,123.9,98.317,169.583,47.283,94.933,207.183,154.933,169.583,130.633,97.933,131.2,113.45,100.75,81.2,140.067,102.367,77.433,121.2,118.083,114.667,153.217,0,111.25,127.167,157.1,50.083,149.867,139.65,122.733,137.783,149.183,163.367,134.3,129.45,198.567,169.317,107.65,158.033,45.983,124.1,155.9,143.917,98.05,147.283,154.183,112.817,23.267,77.983,98.05,154.9,78.217,67.867,169.683,56.217,110.4,100.567,96.4,70.8,114.65,112.083,22.9,84.517,145.617
"Escambia",111.65,210.183,167.767,170.483,212.483,95.167,141.183,80.733,183.517,295.767,97.55,141.183,219.217,186.517,222.233,109.667,174.067,37.083,228.65,58,96.867,209.783,137.667,203.25,241.8,110.883,0,215.75,245.683,123.4,111.067,182.733,165.217,173.717,237.767,98.3,140.683,225.867,287.15,257.9,105.833,246.617,89.05,210.917,244.483,111.15,154.483,235.867,80.417,47.75,96.583,166.567,154.483,229.333,123.717,156.45,95.9,144.8,198.983,189.15,198.767,160.167,214.333,200.667,95.35,46.467,234.2
"Etowah",121.65,84.283,209.317,113.083,39.833,203.367,190.667,152.35,84.683,167.75,222.4,190.667,107.7,47.45,60.783,218.5,194.05,186.267,19.317,207.417,182.5,76.417,223.15,65.117,40.717,129.05,216.317,0,134.167,155.15,254.933,129.4,145.467,242.85,115.617,243.267,176.85,89.3,159.117,49.9,212.717,114.117,151.033,37.717,111.967,205.517,136.75,35.7,259.25,217.883,128.317,68.45,136.75,144.65,183.283,109.5,273.5,98.783,25.617,83.617,63.55,129.333,104.4,89.15,127.95,189.583,124.283
"Fayette",149,97.333,236.667,96.817,118.417,230.733,143.75,179.7,85.467,124.6,185.75,143.75,32.717,102.95,141.667,245.867,233.183,213.617,145.083,234.783,209.867,99.7,250.5,107.45,158.233,156.4,243.667,132.183,0,182.5,282.3,82.483,102.983,270.2,71.4,206.617,129.933,169.817,116.5,174.333,240.067,136.533,178.4,130.35,134.383,158.667,121.267,152.283,264.35,221.283,155.683,93.133,121.267,52.833,210.65,114.083,226.583,123.2,115.417,103.65,128.833,179.6,56.1,49.2,155.317,216.95,59.967
"Franklin",50.283,148.817,75.617,110.417,151.117,98.833,181.733,59.767,122.133,234.4,167.417,181.733,157.85,125.15,127.833,107.2,58.233,93.683,171.8,114.833,89.917,148.417,114.467,141.883,180.433,49.517,123.733,154.383,184.317,0,143.633,169.65,142.55,116.15,176.4,175.85,155.55,111.817,225.767,193.65,101.417,185.25,58.467,140.45,183.1,151.7,122.233,174.483,166.667,125.3,31.317,105.2,122.233,182.117,71.983,95.083,182.15,83.433,137.617,127.783,112.75,40.483,141.867,139.3,35.317,97,172.833
"Geneva",152.8,251.333,100.217,212.933,253.65,62.233,218.333,125.55,224.667,336.933,184.85,218.333,260.383,227.683,266.15,42.033,146.6,97.533,269.8,61.5,79.333,250.95,60.1,244.4,282.95,152.033,111.35,256.917,286.85,144.3,0,243.75,218.1,84.15,278.917,185.6,205.067,251.3,328.3,299.05,55.4,287.783,131.967,259.05,285.633,188.3,203.433,277.017,144.85,133.033,133.85,207.717,203.433,284.633,78.867,197.6,179.45,185.967,240.15,230.3,231.367,181.067,244.383,241.833,137.833,98.133,275.35
"Greene",126.467,117.067,225.35,68.533,123.267,199.483,72.833,140.367,56.883,202.183,103.167,72.833,104.6,100.033,136.033,226.617,222.483,162.6,142.167,190.583,178.6,116.667,233.417,112.3,155.317,143.983,182.35,129.267,82.867,171.8,246.8,0,28.417,253.117,142.667,124.033,47.367,164.183,194.083,171.417,209.45,153.5,127.617,124.717,151.35,76.083,53.283,149.367,195.233,143.85,144.983,64.55,53.283,46.917,194.733,85.8,155.667,107.383,112.5,74.667,123.217,165.95,34.55,105.3,143.35,166.75,131.85
"Hale",104.083,132.033,198.233,48.867,138.233,172.35,79.85,113.233,72.367,216.867,87.733,79.85,119.283,115,151,199.5,195.35,137.167,157.133,165.15,151.483,131.633,206.283,127.267,170.283,121.85,167.217,144.233,102.283,144.683,221.383,28.017,0,225.983,157.35,108.6,43.417,179.15,208.767,186.383,182.317,168.467,100.483,139.683,166.317,63.833,26.667,164.333,179.8,118.433,117.867,79.517,26.667,74.633,167.6,69.55,162.567,105.267,127.467,89.633,138.183,160.433,49.217,119.983,116.233,141.317,146.517
"Henry",137.517,236.033,40.817,197.633,238.35,83.217,240.75,127.85,209.367,321.633,226.417,240.75,245.083,212.383,206.35,72,69.317,150.2,250.067,118.967,86.9,235.65,39.3,229.1,267.65,136.75,173.367,241.617,271.55,116.017,86.25,251.7,224.6,0,263.633,232.367,227.483,184.567,313,268.217,77.483,272.483,127.033,231.767,270.333,210.7,204.283,261.717,217.417,181.817,118.55,192.433,204.283,269.333,63.567,182.317,238.683,170.667,224.85,215,204.083,135.133,229.1,226.533,122.533,153.533,260.05
"Houston",143.7,31.033,231.367,129.133,88.683,225.433,204.95,174.4,100.733,93.6,238.45,204.95,48.45,90.933,136.35,240.567,227.867,208.317,127.917,229.483,204.55,40.267,245.2,78.117,139.583,151.1,238.367,113.667,74.183,177.2,276.983,143.683,159.433,264.9,0,259.317,191.133,164.5,84.983,156.9,234.767,78.167,173.1,125.033,76.033,219.867,152.817,106.05,281.3,239.933,150.383,90.983,152.817,125.45,205.333,131.55,287.783,117.9,110.917,98.55,123.517,174.3,112.533,39.283,150.017,211.633,14.933
"Jackson",161.017,228.7,223.917,139.083,234.9,149.017,74.633,131.1,162.567,314.283,39.483,74.633,227.083,211.667,247.683,176.167,224.433,87.65,253.8,127.3,147.233,228.3,204.25,223.933,266.95,161.233,94.9,240.9,205.75,173.75,183.533,124.667,107.883,232.45,256.283,0,82.617,275.817,305.65,283.05,159,265.133,130.3,236.35,262.983,53.083,109.417,261.017,76.383,59.717,146.933,176.183,109.417,171.267,174.067,151.033,59.15,191.533,224.133,181.15,234.85,210.533,157.017,219.183,145.7,96.833,254.317
"Jefferson",115.5,163.233,210.083,93,169.45,165.983,50.35,120.15,103.067,240.833,61.4,50.35,150.783,146.217,182.217,193.117,206.8,123.417,188.333,151.4,145.1,162.85,210.617,158.483,201.483,133.267,140.583,175.45,129.05,156.133,207.617,47.967,44.183,230.317,188.85,82.283,0,210.367,240.267,217.6,175.95,199.683,112.333,170.9,197.533,34.333,63.617,195.55,153.483,105.4,129.317,110.733,63.617,94.583,171.933,105.233,136.233,145.717,158.683,120.85,169.383,192.9,80.717,151.483,128.083,127.567,178.017
"Lamar",148.85,136.367,160.317,148.3,111.4,202.017,225.883,162.95,119.883,221.967,257.6,225.883,145.417,100,42.583,210.4,127.667,196.867,86.3,218.033,193.117,135.983,206.9,116.733,123.167,129.983,226.917,89.117,171.883,112.75,246.817,164.617,180.667,186.417,163.95,278.483,212.067,0,213.333,108.15,204.6,172.817,161.65,73.717,170.667,240.717,171.967,118.283,269.867,228.483,134.517,102.95,171.967,179.85,175.167,143.983,285.35,125.467,87.967,121.333,72.933,77.6,139.617,126.867,138.5,200.2,160.383
"Lauderdale",190.867,82.617,278.533,176.317,132.767,272.6,253.2,221.567,147.9,35.283,285.617,253.2,98.083,136.85,183.517,287.733,275.033,255.483,172,276.65,251.717,86.7,292.367,124.033,164.633,198.267,285.533,157.75,117.133,224.367,324.15,191.933,211.35,312.067,84.583,306.5,239.383,211.667,0,195.2,281.933,63.233,220.267,172.2,82.317,268.117,199.983,150.133,328.467,287.1,197.55,138.15,199.983,168.4,252.5,178.717,336.033,165.067,155,146.85,170.7,221.467,164.45,113.85,197.183,258.8,81.533
"Lawrence",164.383,127.567,246.783,155.817,82.567,246.117,233.4,195.083,127.417,203.217,265.133,233.4,150.433,90.183,69.15,261.25,209.583,229,51.417,250.167,225.233,119.7,265.883,107.867,31.65,171.783,259.05,49.8,176.9,192.1,297.667,172.133,188.2,268.333,158.9,286,219.583,109.367,194.583,0,255.45,141.833,193.783,78.067,123.3,248.25,179.483,67.5,301.983,260.617,171.067,111.2,179.483,187.383,226.033,152.233,316.233,141.517,68.35,126.367,103.9,152.683,147.133,131.883,170.7,232.333,167.583
"Lee",108.933,207.467,69.1,169.067,209.783,13.017,187.083,83.7,180.8,293.05,158.8,187.083,216.5,183.817,223.617,23.217,112.45,77.383,225.933,50.117,32.417,207.067,47.667,200.533,239.083,108.167,104.517,213.05,242.967,101.767,54.75,209.717,182.617,77.633,235.05,159.55,173.817,204.217,284.433,255.183,0,243.9,85.05,208.2,241.767,157.05,162.3,233.15,150.367,109,91.317,163.85,162.3,240.767,36.333,153.733,165.867,142.083,196.267,186.433,188.833,138.533,200.517,197.95,92.633,80.7,231.483
"Limestone",151.533,45.55,239.183,136.967,94.117,233.25,214.55,182.217,108.55,91.833,246.283,214.55,111.2,97.5,144.183,248.383,235.7,216.133,128.217,237.3,212.383,47.35,253.017,84.7,110.95,158.917,246.183,113.967,137.133,185.017,284.817,153.283,169.35,272.717,77.3,267.15,200.733,172.333,63.033,141.517,242.6,0,180.917,138,28.517,229.4,160.633,102.8,289.133,247.75,158.2,98.8,160.633,168.533,213.167,139.367,297.367,125.717,116.35,107.5,131.35,182.133,128.283,90.05,157.833,219.467,84.517
