"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Knox",111.317,54.667,184.333,79.667,143.15,41.367,156.8,73.25,286.867,159.833,67.967,181.133,231.1,246.65,226.583,133.817,113.25,161.717,271.85,71.017,126.533,161.133,137.217,168.533,51.95,221.683,112.967,164.767,130.083,159.183,193.067,176.7,170.883,164.95,100.65,198.317,271.217,171.45,103.2,208.733,291.433,0,56.617,96.367,70.183,33.267,140.75,239.55,113.183,167.8,286.833,77.3,142.483,246.983,199.35,91.5,85.283,291.85,197.233,252.65,172.3,153.467,114,53.383,261.883,61.45,169.6,244.083,144.967,185.35,283.95,63.35,194.083,55.767,0,128.383,221.383,253.283,44.467,108.7,131.633,293.283,161.4,216.267,85.283,120.517,295.433,234.367,193.35,68.533,276.283,76.767
"Kosciusko",64.5,46.7,175.067,35.7,99.917,92.05,153.167,87.717,283.25,150.567,68.35,207.1,227.467,243.033,215.6,87,66.433,121.983,268.233,58.667,132.483,173.717,156.167,159.267,48.933,212.417,141.6,119.95,83.267,144.967,197.667,167.433,140.133,187.05,53.833,189.05,267.583,127.25,117.667,199.467,287.817,58.783,0,70.8,20.017,72.15,129.767,230.283,72.017,186.75,283.217,68,95.667,243.367,195.733,135.6,44.233,288.217,176.883,243.367,191.267,144.183,126.867,91.3,250.883,99.367,177.9,233.1,163.933,164.967,280.333,114.033,190.467,56.15,58.783,81.567,217.767,242.3,25.667,97.717,150.583,289.65,186.783,213.75,44.233,76.15,291.8,225.083,161.15,59.217,314.2,29.95
"LaGrange",66.3,99.45,202.017,38.5,113.133,119.033,188.3,142.633,310.75,177.517,55.3,250.417,254.983,270.533,242.55,88.417,44.967,138.017,295.733,43.85,170.383,211.6,211.083,186.2,96.733,239.367,182.25,132.4,43.117,161,232.517,194.383,156.15,234.25,84.65,216,295.1,128.65,172.567,226.4,315.6,96.917,71.2,0,84.233,81.683,156.717,257.233,106.833,233.45,310.717,122.1,97.067,270.883,230.583,164.383,106.15,315.733,192.917,270.317,241.3,171.133,181.917,96.483,277.833,102.65,212.767,260.05,218.833,181,307.85,129.167,225.317,57.617,96.917,33.883,252.617,269.25,85.417,148.1,205.5,317.167,230.7,248.6,106.15,89.867,319.317,252.033,177.167,113.317,317.483,55.6
"Lake",66.417,33.783,162.417,55.117,84.9,109.217,140.517,75.067,270.6,137.917,85.5,194.45,214.817,230.383,202.95,76.367,67.017,109.333,255.583,78.083,119.833,161.067,143.517,146.6,42.583,199.767,128.95,106.933,83.85,132.317,185.017,154.783,127.483,174.4,38.817,176.4,254.933,113.883,105,186.8,275.167,70.583,19.4,84.283,0,89.3,117.117,217.633,59.367,174.1,270.567,55.333,85.033,230.717,183.083,127.05,31.583,275.567,164.233,230.717,178.617,131.533,114.217,108.467,238.233,116.533,165.25,220.45,151.283,152.317,267.683,122.5,177.817,73.317,70.583,82.15,205.117,229.65,29.85,85.067,137.933,277,174.133,201.1,31.583,61.133,279.15,212.433,148.5,46.567,331.367,31.767
"LaPorte",126.85,76.117,205.817,72.483,162.283,54.533,180.033,103.967,310.117,181.317,40.65,188.25,254.333,269.9,246.35,149.367,114.717,181.5,295.1,56.6,149.767,184.367,153.967,190.017,73.383,243.167,120.083,182.3,112.867,178.95,200.183,198.183,190.65,172.067,116.2,219.8,294.45,189.6,130.967,230.217,307.433,33.45,72.167,81.967,89.483,0,160.517,261.033,134.617,182.583,310.083,98.75,158.017,270.233,222.6,102.217,106.717,315.083,217.017,274.133,188.35,174.95,138.1,33.533,281.65,40.483,192.85,263.867,168.217,205.133,307.2,67,217.333,40.35,33.45,106.167,237.383,273.05,63.4,128.467,154.883,316.517,168.533,223.383,106.717,138.517,318.667,255.85,213.117,89.983,255.317,92.3
"Lawrence",107.617,91.633,52.6,156.217,70.433,124.833,38.883,77.417,161.35,28.1,154.283,102.7,105.583,121.133,93.133,109.15,117.2,70.483,146.333,157.35,29.583,67.667,89.583,36.8,98.067,89.95,102.983,85.317,134.033,25.733,83.117,44.967,37.433,105.317,90.733,66.583,145.7,93.233,51.983,77,166.2,137.65,128.783,156,115.583,159.183,0,107.817,72.883,92.683,161.317,65.333,110.9,121.467,81.183,100.333,96.867,166.333,63.8,120.917,97.367,21.733,39.217,145.2,128.433,135.083,63.35,110.65,82.75,51.917,158.433,117.717,75.9,142.1,137.65,132.35,103.217,119.833,114.75,45.7,65.283,167.767,105.05,99.2,96.867,73.5,169.917,102.633,59.9,72.8,351.983,114.683
"Madison",208.367,192.383,64.367,256.967,172.433,216.417,116.85,169,123.883,90.467,255.033,183.267,87.933,149.483,66.95,209.9,217.95,165.333,129.433,258.083,121.15,148.55,170.4,90.517,198.817,52.967,193.317,180.183,234.783,110.833,163.683,85.15,122.267,186.133,191.483,51.767,133.017,188.15,143.55,36.3,161.3,238.383,229.517,256.733,216.317,260.867,106.8,0,173.633,173.117,151.783,166.083,220.417,136.233,152.65,191.917,197.617,157.15,96.6,43.367,178.233,95,130.8,236.783,55.383,226.65,143.917,66.817,163.567,92.617,148.917,209.3,137.183,242.85,238.383,233.083,182.167,32.017,215.5,146.45,146.917,158.583,185.867,179.767,197.617,174.233,144.6,61.567,143.217,173.55,443.567,215.433
"Marion",58.867,67.467,117.967,106.783,33.117,154.217,104.25,81.167,226.7,93.467,130.117,168.067,170.933,186.483,158.5,60.4,68.45,53.967,211.683,130.417,86.333,127.55,146.467,102.15,73.9,155.317,134.733,55.583,85.283,76.95,148.467,110.333,72.1,162.067,36.317,131.95,211.05,62.25,86.383,142.35,231.55,114.917,71.75,107.233,58.55,135,72.667,173.183,0,149.4,226.667,39.017,62.15,186.833,146.533,134.2,28.933,231.683,108.867,186.267,157.25,87.083,87.517,154.167,193.783,162.233,128.717,176,139.5,96.95,223.8,151.583,141.267,117.917,114.917,83.583,168.567,185.2,81.45,48.983,125.583,233.117,161.8,164.55,28.933,24.733,235.267,167.983,93.117,47.417,377.05,60.283
"Marshall",186.567,150.483,117.867,222.467,149.383,138.833,80.35,102.15,176.283,93.367,204.583,30.567,139.75,134.1,166.933,188.1,196.167,149.433,166.567,214.533,69.733,45.55,42.667,102.067,142.567,155.217,65.567,164.283,212.983,105.917,47.733,110.233,117.6,23.617,172.833,131.85,165.917,172.183,78.167,142.267,154.967,165.1,186.767,239.883,173.567,187.267,92.217,173.083,151.833,0,163.6,133.3,189.85,136.4,71.2,84.783,154.233,176.617,137.6,186.167,14.733,87,73.567,159.2,202.233,149.083,37.617,184.45,29.533,125.717,160.333,123.467,78.1,199.283,165.1,211.3,84.933,193.633,172.967,113.65,35.95,171.75,34.8,70.933,154.233,152.45,179.783,168.45,140.067,137.783,347.767,196.917
"Martin",262.2,246.233,156.317,310.817,225.033,271.833,140.183,217.233,42.167,159.633,308.883,137.233,119.283,58.467,192.05,263.75,271.8,225.067,75.733,311.933,169.4,165.267,185.533,148.633,252.667,130.467,198.567,239.917,288.633,174.767,117.65,166.533,186.467,167.083,245.333,138.617,59.733,247.817,191.8,121.233,21.25,285.85,283.367,310.583,270.167,309.117,160.633,152.35,227.467,162.85,0,219.933,265.5,56.767,124.667,217.783,251.467,35.467,203.85,124.517,151.767,152.317,179.033,292.2,166,282.083,149.7,179.617,181.5,191.967,9.883,256.467,111.617,296.683,285.85,286.933,83.15,160.717,269.35,200.283,187.683,24.367,152.767,110.617,251.467,228.083,38.633,114.1,208.933,227.4,457.95,269.283
"Miami",90.25,30.733,112.933,103.583,69.133,118.167,91.033,48.133,221.1,88.433,93.4,155.117,165.333,180.883,153.45,96.4,100.283,88.6,206.083,96.45,70.35,111.583,116.283,97.117,37.167,150.283,101.7,91.583,117.1,86.067,135.533,105.3,97.75,147.15,53.95,126.9,205.45,98.267,63.6,137.317,225.683,78.867,67.883,121.8,54.683,98.283,67.633,168.133,39.417,133.433,221.083,0,98.133,181.233,133.6,101.167,35.35,226.083,124.117,181.233,141.267,82.05,64.733,117.45,188.75,125.5,115.767,170.967,124.033,112.233,218.2,118.55,128.333,81.2,78.867,115.417,155.633,180.167,53.85,35.567,102.8,227.517,146.883,151.617,35.35,60.75,229.667,162.95,120.217,11.9,340.333,78.033
"Monroe",38.1,103.45,158,106.467,55.783,174.433,144.283,123.25,266.733,133.5,139.733,208.1,210.967,226.517,164.283,12.35,57.883,56.65,251.717,131.7,126.367,167.583,186.367,142.2,111.833,195.35,177.133,44.583,74.717,116.983,188.517,150.367,112.133,202.1,49.583,171.983,251.083,35.733,141.667,182.4,271.583,141.15,94.283,95.183,84.933,154.533,112.7,220.467,62.817,189.433,266.717,97.467,0,226.867,186.567,175.233,67.3,271.717,139.783,226.3,197.283,127.117,136,173.683,202.883,181.75,168.75,185.1,179.533,128.083,263.833,194.133,181.3,138.533,141.15,73.017,208.6,202.55,114.8,104.1,162.067,273.15,201.833,204.583,67.3,42.633,275.3,208.017,86.117,85.35,396.583,69.05
"Montgomery",220.583,204.6,114.683,269.2,183.4,223.033,98.567,175.617,55.7,118.017,267.267,115.417,65.617,15.25,187.7,222.117,230.183,183.45,41.217,270.317,127.783,126.567,163.717,107.017,211.033,95.333,176.733,198.3,247,133.15,95.833,124.917,144.833,145.267,203.7,101.233,40.583,206.2,150.183,105.4,61.85,244.233,241.75,268.967,228.55,267.483,119.017,136.75,185.85,135.25,56.967,178.3,223.867,0,83.033,195.967,209.85,61.983,162.233,140.583,129.95,110.683,137.417,243.4,185.767,233.283,111,192.8,153.45,150.35,54.1,215.917,69.983,255.067,244.233,245.317,61.333,162.4,227.717,158.667,148.75,63.417,130.95,88.8,209.85,186.467,65.567,78.183,167.3,185.767,450.183,227.65
"Morgan",181.517,158.5,95.9,231.333,144.333,175.65,60,128.233,124.817,80.45,221.15,66.033,79.633,82.633,154.017,183.067,191.117,144.383,114.417,224.2,80.383,61.95,113.233,88.967,164.933,124.267,127.367,159.233,207.95,93.65,46.45,97.317,105.35,94.2,164.633,111.817,113.767,167.133,102.8,122.233,129.667,196.85,195.633,229.9,182.433,220.1,79.95,153.05,146.783,70.567,124.783,132.2,184.8,84.95,0,146.6,163.1,129.8,124.667,166.133,65.7,74.067,90.033,196.017,189.317,185.883,46.383,171.533,88.75,112.783,121.917,168.533,16.583,208.95,196.85,206.25,64.983,185.067,181.6,112.55,84.133,131.233,81.583,60.2,163.1,147.4,133.383,108.333,127.817,139.65,402.8,188.6
"Newton",166.05,103.7,136.1,163.683,147.833,59.5,108.567,53.1,233.633,111.617,125.25,91.467,182.867,190.933,185.4,173.217,176.067,156.1,223.617,140.65,78.3,112.9,57.2,120.3,88.833,173.467,23.3,170.633,192.9,117.85,103.4,128.483,129.533,75.3,129.75,150.083,222.833,179.25,59.483,160.5,210.65,92.183,135.933,166.183,130.8,105.017,100.55,191.317,132.833,85.817,219.267,99.617,177.117,197.183,150.267,0,111.15,232.3,156.067,204.417,91.567,105.233,66.633,79.867,220.7,69.75,117.1,202.917,81.867,144.183,216.017,44.783,145.85,126.017,92.183,191.217,140.6,212.1,117.417,100.483,79.133,227.433,71.75,126.617,111.15,146.517,235.467,186.133,152,94.7,286.667,153.833
"Noble",64.233,38.517,142.9,79.05,58.15,126.467,122.35,56.9,251.65,118.4,101.7,176.283,195.883,211.433,183.433,71.383,74.25,78.983,236.633,102.033,101.667,142.9,125.35,127.1,45.483,180.25,110.783,80.6,91.083,101.967,166.85,135.267,97.133,156.233,27.933,156.883,236,87.283,86.833,167.3,256.5,87.167,43.35,107.967,30.15,106.583,97.6,198.117,29.017,155.933,251.617,37.167,67.383,211.767,164.917,108.883,0,256.633,133.883,211.217,160.433,112.033,96.05,125.75,218.733,133.8,147.083,200.95,133.117,121.967,248.733,127.783,159.65,89.5,87.167,89.383,186.95,210.133,53.05,61.783,119.767,258.067,155.967,182.933,0,36.35,260.217,192.933,118.15,28.25,348.633,52
"Ohio",265.467,249.483,159.567,314.083,228.283,267.917,143.45,220.5,45.883,162.9,312.15,148.767,122.533,61.717,195.767,267,275.067,228.333,79.433,315.2,172.667,171.45,197.067,151.9,255.917,134.167,210.1,243.183,291.883,178.033,129.183,169.8,189.717,178.633,248.583,142.333,63.45,251.083,195.067,124.95,44.233,289.117,286.633,313.85,273.433,312.367,163.9,156.067,230.733,174.383,34.717,223.183,268.75,60.033,127.917,229.317,254.733,0,207.117,128.217,163.3,155.567,182.3,288.283,169.717,278.167,155.883,183.333,193.033,195.233,28.067,268,114.867,299.95,289.117,290.2,94.683,164.433,272.6,203.55,193.633,18.517,164.3,122.15,254.733,231.35,22.633,117.817,212.183,230.65,480.933,272.533
"Orange",144.2,148.1,79.617,192.817,92.467,180.917,81.117,133.5,192.317,57.217,210.75,147.533,137.517,163.667,76.783,148.083,153.8,85.383,188.867,213.8,85.667,112.8,134.667,72.133,154.533,116.283,157.567,100.367,170.633,48.667,127.95,53.2,42.3,150.383,127.317,93.3,188.233,104.533,108.067,103.333,208.733,194.117,176.217,192.583,163.017,215.65,62.517,106.2,109.467,137.383,203.867,121.8,138.683,164.017,126,156.417,133.4,208.867,0,138.383,142.5,64.267,95.3,201.283,116.283,191.167,108.183,98.5,127.817,12.35,200.983,173.8,120.733,198.567,194.117,168.933,148.033,103.517,171.217,102.167,111.167,210.3,150.117,144.033,133.4,110.083,213.033,128.95,56.067,129.267,408.067,151.283
"Owen",221.317,205.333,79.317,269.933,184.133,229.367,129.817,181.95,96.383,103.433,268,196.233,101.483,146.633,106.833,222.867,230.917,184.183,102.217,271.05,134.117,161.5,183.367,103.483,211.767,58.45,206.267,199.033,247.75,133.883,176.65,98.1,145.567,199.083,204.433,64.717,105.517,206.933,156.517,47.317,133.783,251.35,242.483,269.7,229.283,273.833,119.75,43.2,186.583,186.083,124.283,179.05,224.6,139.3,165.617,204.883,210.583,129.633,137.367,0,191.2,107.967,143.75,249.733,92.217,239.617,156.883,103.633,176.533,125.45,121.4,222.25,150.133,255.8,251.35,246.05,193.4,68.85,228.45,159.4,159.883,131.067,198.817,192.733,210.583,187.2,117.1,62.733,168.033,186.5,456.533,228.4
"Parke",194.017,156.7,122.583,228.7,156.833,142.117,76.6,108.367,166.633,98.083,207.85,19.25,135.933,123.933,171.65,195.55,203.6,156.883,161.267,220.75,77.183,41.8,48.333,106.783,148.8,159.933,68.833,171.717,220.433,111.217,36.4,114.95,122.9,29.3,179.05,136.567,155.833,179.633,89.233,146.983,143.65,171.317,192.983,246.1,179.783,193.483,97.517,177.8,159.283,13.317,152.267,140.733,197.3,130.183,65.917,88.067,160.45,165.3,142.317,190.883,0,91.7,84.633,162.483,206.95,152.35,33.817,189.167,35.983,130.433,149.017,126.75,73.217,205.5,171.317,218.75,73.6,198.35,179.183,121.1,47.017,160.433,23.05,59.617,160.45,159.9,168.467,164.633,145.367,144.017,349.433,203.133
"Perry",123.517,107.55,39.85,172.133,86.35,131.567,32.017,84.15,152.95,15.35,170.2,98.433,97.183,112.733,94.517,125.067,133.117,86.383,137.933,173.25,36.317,63.717,85.567,24.05,113.983,77.2,108.467,101.233,149.95,36.083,78.85,32.217,47.783,101.3,106.65,53.833,137.283,109.133,58.717,64.25,157.8,153.55,144.683,171.9,131.483,176.033,21.95,95.067,88.783,88.283,152.917,81.25,126.817,113.067,76.917,107.083,112.783,157.933,65.167,108.167,93.4,0,45.95,151.933,129.817,141.817,59.083,112.033,78.733,53.283,150.033,124.467,71.65,158,153.55,148.25,98.95,121.217,130.667,61.6,62.083,159.35,101.033,94.933,112.783,89.4,161.517,89.883,70.25,88.717,358.733,130.6
"Pike",133.9,90.667,76.767,163.517,96.717,91.067,49.217,43.65,179.3,52.267,154.217,101.2,123.533,139.083,126.067,135.433,143.483,96.767,164.283,157.267,18.95,53.567,65.1,60.967,85.317,114.117,69.217,111.6,160.317,58.517,93.733,69.133,70.2,80.833,113.883,90.75,163.633,119.517,18.217,101.167,183.867,114.817,127.817,182.617,114.617,135.517,41.2,131.983,88.317,74.167,179.267,64.367,137.183,139.417,91.783,66.567,95.267,184.283,96.717,145.083,83.317,45.9,0,111.433,161.35,101.317,73.183,143.567,59.2,84.833,176.383,83.95,86.517,142.017,114.817,158.617,113.817,152.767,115.7,44.733,38.067,185.7,80.567,109.8,95.267,99.767,187.867,126.8,92.667,71.833,318.217,137.967
"Porter",145.283,94.533,182.783,93.267,180.7,38.167,155.233,99.767,285.317,158.283,57.683,166.017,229.533,245.1,232.067,167.783,131.733,199.917,270.3,73.083,124.967,159.567,131.733,166.983,91.817,220.133,97.85,200.717,129.883,164.517,177.95,175.15,176.217,149.833,134.617,196.767,269.65,208.017,106.167,207.183,285.2,53.55,90.583,98.617,107.9,34.533,147.217,238,153.05,160.35,285.283,117.167,176.433,245.433,197.8,79.983,125.133,290.283,202.733,251.083,166.117,151.9,113.3,0,267.367,20.333,169.35,249.583,144.717,190.85,282.4,44.767,192.533,58.45,53.55,123.2,215.15,258.783,81.817,146.883,131.367,291.717,146.3,201.15,125.133,156.933,293.867,232.8,198.683,108.4,235.15,110.733
"Posey",223.567,212.983,113.467,277.567,186.767,245.8,146,198.383,137.05,122.083,275.633,212.417,143.25,187.317,39.3,204.8,238.55,179.683,142.883,278.683,150.533,177.683,199.55,138.65,219.417,102.567,222.45,184.267,255.383,124.883,192.817,119.717,136.6,215.267,212.083,107.067,146.183,178.533,172.933,85.883,174.467,258.983,250.117,277.333,236.917,280.517,127.4,55.3,194.233,202.25,164.95,186.683,203.217,180.9,190.883,221.3,218.217,170.317,114.483,92.95,207.367,129.15,160.183,266.167,0,256.033,173.067,17.95,192.7,106.95,162.083,238.683,192.483,263.433,258.983,253.683,212.917,23.383,236.1,167.033,176.05,171.75,215,208.9,218.217,194.833,157.767,111.167,133.583,194.15,472.95,236.033
"Pulaski",153.867,103.117,170.917,100.983,182.633,26.3,143.367,87.9,273.45,146.417,63.65,154.15,217.667,233.233,220.217,176.367,137.717,190.9,258.433,79.05,113.1,147.7,119.867,155.117,100.4,208.267,85.983,205.45,135.867,152.667,166.083,163.283,164.35,137.967,143.2,184.9,257.783,214.067,94.3,195.317,273.333,62.15,99.167,104.583,116.5,43.433,135.35,226.133,161.633,148.483,273.417,125.767,185.033,233.567,185.933,68.117,133.733,278.433,190.867,239.217,154.25,140.05,101.433,19.833,255.5,0,157.483,237.717,132.85,178.983,270.533,32.9,180.667,64.433,62.15,129.167,203.283,246.917,90.417,135.283,119.517,279.85,134.433,189.283,133.733,165.517,282,220.95,186.817,116.983,223.667,119.317
"Putnam",165.767,142.75,89.2,215.583,128.583,146.583,44.25,104.85,153.167,64.7,205.4,53.533,102.417,110.967,138.267,167.317,175.367,128.633,142.75,208.45,66.583,28.5,73.783,73.4,145.267,126.55,96.683,143.483,192.2,77.9,49.5,81.567,89.6,61.617,148.883,103.183,142.1,151.383,80.867,113.6,139.65,167.783,179.883,214.15,166.683,189.95,64.2,144.417,131.033,37.983,148.267,116.45,169.05,113.283,46.05,115.9,147.35,158.133,108.933,157.5,34.283,58.317,73.3,166.95,173.567,156.817,0,155.783,47.117,97.033,145,139.467,40.767,193.2,167.783,190.5,69.6,164.967,165.867,96.8,38.65,156.433,57.35,65.583,147.35,131.65,161.717,131.117,112.067,123.917,373.733,172.85
"Randolph",205.833,195.25,99.2,259.833,169.033,228.067,128.25,180.633,150.45,104.35,257.9,194.667,136.9,207.217,21.55,187.067,220.817,161.933,156.283,260.95,132.8,159.95,181.8,120.917,201.683,113.417,204.717,166.517,237.65,107.15,175.083,101.983,118.867,197.533,194.35,92.667,159.583,160.783,155.2,96.733,187.867,241.25,232.383,259.6,219.183,262.783,109.65,66.15,176.483,184.517,178.35,168.95,185.483,193.967,173.15,203.567,200.483,183.717,96.75,103.8,189.633,111.417,142.45,248.433,17.65,238.3,155.317,0,174.967,89.217,175.483,220.95,167.883,245.7,241.25,235.95,195.183,34.217,218.367,149.3,158.317,185.15,197.267,191.167,200.483,177.1,171.167,122,115.85,176.417,455.217,218.3
"Ripley",176.217,130.433,107.85,202.417,139.033,120.883,78.15,82.1,195.033,83.367,191.417,53.083,148.817,152.85,156.933,177.767,185.817,139.083,185.317,194.483,59.733,54.617,38.767,92.05,122.517,145.217,61.667,153.933,202.65,95.9,70.25,100.233,107.6,31.983,152.783,121.833,184.667,161.833,62.383,132.25,172.333,145.05,166.717,219.833,153.517,167.217,82.2,163.067,141.483,30.017,180.95,124.9,179.5,155.15,89.95,80.9,134.183,193.983,127.583,176.167,37.25,76.983,59.983,141.25,192.217,131.117,46.7,174.433,0,115.7,177.7,113.767,87.167,179.233,145.05,200.95,102.283,183.633,152.917,103.383,22.367,189.117,41.667,93.45,134.183,142.1,197.15,157.883,130.067,117.75,348.033,176.867
"Rush",131.833,135.933,67.25,180.45,80.1,168.75,68.933,121.317,179.95,45.033,198.583,135.35,125.15,151.5,72.2,137.5,141.433,73.017,176.7,201.633,73.483,100.633,122.483,59.95,142.367,103.917,145.4,87.85,158.267,36.3,115.767,41.033,29.95,138.217,114.967,80.933,176.067,95.767,95.883,90.967,196.567,181.933,163.85,180.217,150.65,203.467,50.333,93.833,97.1,125.2,191.683,109.633,128.083,151.833,113.833,144.25,121.033,196.7,11.917,126.017,130.317,52.1,83.133,189.117,107.483,178.983,96,89.7,115.65,0,188.8,161.633,108.567,186.383,181.933,156.567,135.867,98.183,159.05,89.983,99,198.133,137.95,131.85,121.033,97.717,200.667,116.583,51.967,117.1,395.9,138.917
"Scott",259.433,243.467,153.533,308.05,222.25,268.667,137.417,214.467,39.4,156.867,306.117,134.067,116.517,55.7,189.283,260.983,269.033,222.3,72.95,309.167,166.633,162.083,182.367,145.867,249.9,127.683,195.383,237.15,285.867,172,114.467,163.767,183.683,163.917,242.55,135.85,56.967,245.05,189.033,118.467,28.367,283.083,280.6,307.817,267.4,306.35,157.867,149.583,224.7,159.667,10.3,217.167,262.717,54,121.883,214.617,248.7,28.433,201.083,121.733,148.6,149.533,176.267,289.033,163.233,278.9,146.533,176.85,178.333,189.2,0,253.3,108.85,293.917,283.083,284.167,79.983,157.95,266.567,197.517,184.5,17.083,149.6,107.45,248.7,225.317,35.05,111.333,206.15,224.617,465.05,266.517
"Shelby",166.033,103.217,154.5,127.483,166.217,21.967,126.95,71.483,257.033,130,89.05,130.233,201.25,216.817,203.783,188.55,167.967,174.483,242.017,104.45,96.683,131.283,95.95,138.7,98.083,191.85,62.067,189.033,161.267,136.233,142.167,146.867,147.933,114.05,146.483,168.483,241.367,197.633,77.883,178.9,249.417,61.917,111.35,129.983,123.617,68.817,118.933,209.717,151.217,124.567,258.033,118.017,193.867,217.15,169.517,47.017,127.883,262,174.45,222.8,130.333,123.617,85.017,43.667,239.083,33.55,141.067,221.3,116.433,162.567,254.767,0,164.25,89.833,61.917,154.567,179.367,230.5,102.583,118.867,103.083,266.183,110.517,165.367,127.883,163.267,265.583,204.517,170.4,111.45,250.467,131.483
"Spencer",176.133,153.117,79.317,225.95,138.95,170.267,49.717,122.85,112.383,75.067,215.767,73.4,63.05,70.2,148.633,177.683,185.733,139,101.967,218.817,75,56.567,113.883,72.383,159.55,107.683,136.783,153.85,202.567,88.267,53.817,90.483,99.967,101.717,159.25,95.233,101.333,161.75,97.417,105.633,117.217,191.467,190.25,224.517,177.05,214.717,74.567,136.467,141.4,78.083,112.35,126.817,179.417,72.5,15.467,145.767,157.717,117.35,119.283,149.55,73.067,68.683,84.65,190.633,183.933,180.5,41,166.15,87.217,107.4,109.467,163.15,0,203.567,191.467,200.867,66.2,168.483,176.217,107.167,78.75,118.783,88.933,67.55,157.717,142.017,120.933,91.75,122.433,134.267,397.417,183.217
"St. Joseph",111.133,59.267,188.983,49.683,146.55,79.317,167.083,102.45,297.167,164.483,12.783,210.7,241.4,256.95,229.517,133.633,91.767,164.65,282.15,33.117,146.417,187.633,170.9,173.183,56.55,226.333,142.533,166.567,89.933,162.117,211.6,181.35,173.817,194.517,100.467,202.967,281.5,173.867,132.383,213.383,301.733,56.733,56.433,59.167,73.75,42.483,143.683,244.2,117.783,201.483,297.133,81.917,142.283,257.283,209.65,124.667,89.883,302.15,200.167,257.283,205.983,158.117,141.733,56.767,264.817,62.933,191.833,247.017,178.65,188.283,294.25,89.45,204.383,0,56.733,83.233,231.683,256.217,47.667,111.633,165.317,303.567,190.967,227.667,89.883,122.783,305.733,239.017,196.283,73.133,277.75,76.583
"Starke",111.317,54.667,184.333,79.667,143.15,41.367,156.8,73.25,286.867,159.833,67.967,181.133,231.1,246.65,226.583,133.817,113.25,161.717,271.85,71.017,126.533,161.133,137.217,168.533,51.95,221.683,112.967,164.767,130.083,159.183,193.067,176.7,170.883,164.95,100.65,198.317,271.217,171.45,103.2,208.733,291.433,0,56.617,96.367,70.183,33.267,140.75,239.55,113.183,167.8,286.833,77.3,142.483,246.983,199.35,91.5,85.283,291.85,197.233,252.65,172.3,153.467,114,53.383,261.883,61.45,169.6,244.083,144.967,185.35,283.95,63.35,194.083,55.767,0,128.383,221.383,253.283,44.467,108.7,131.633,293.283,161.4,216.267,85.283,120.517,295.433,234.367,193.35,68.533,276.283,76.767
"Steuben",44.567,109.1,179.333,66.95,90.45,145.483,165.617,136.183,288.083,154.85,81.75,229.433,232.317,247.867,219.867,66.667,23.217,118.55,273.067,73.717,147.7,188.933,204.633,163.533,123.967,216.7,190.05,109.333,9.883,138.333,209.85,171.717,133.483,223.433,67.2,193.317,272.433,106.917,163,203.733,292.933,128.817,81.95,34.2,82.217,108.117,134.05,234.55,84.167,210.783,288.05,116.45,75.333,248.217,207.917,188.15,89.683,293.067,170.25,247.65,218.633,148.467,157.35,122.933,255.167,129.1,190.083,237.383,200.883,158.317,285.167,155.617,202.65,85.2,128.817,0,229.95,246.583,100.917,125.433,183.4,294.5,223.167,225.933,89.683,67.2,296.65,229.367,157.3,107.667,343.917,55.817
"Sullivan",204.3,181.283,127.733,254.117,167.117,192.533,82.783,151.017,98.433,103.233,243.933,57.933,102.05,55.717,176.8,205.85,213.9,167.167,100.1,246.983,103.167,85.95,106.233,111.917,187.717,146.683,119.25,182.017,230.733,116.433,38.35,120.1,128.133,87.783,187.417,137.667,87.633,189.917,125.583,149.3,75.45,219.633,218.417,252.683,205.217,238.05,102.733,181.183,169.567,83.55,84.067,154.983,207.583,61.983,64.3,138.483,185.883,97.083,147.45,193.15,72.467,96.85,112.817,212.9,212.1,202.767,70.4,194.317,102.2,135.567,80.8,177.167,66.533,231.733,219.633,229.033,0,213.217,204.383,135.333,108.367,92.217,73.467,31.317,185.883,170.183,100.25,130.75,150.6,162.433,399.85,211.383
