"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Floyd",164.05,137.067,92.617,209.917,126.867,139.533,45.167,92.117,168.967,68.117,199.717,61.667,115.617,126.783,141.683,165.583,173.633,126.917,158.567,202.783,47.217,0,75.367,76.8,132.55,129.967,98.267,141.75,190.467,81.25,65.317,84.983,92.933,69.667,147.167,106.6,157.917,149.667,66.683,117,155.467,160.733,174.217,212.433,161.017,184,67.55,147.833,129.317,46.033,164.083,110.767,167.333,129.1,61.85,115.05,141.667,173.95,112.333,160.917,42.417,61.733,53.917,159.9,176.983,149.783,29.217,159.2,55.167,100.45,160.817,132.433,56.583,187.533,160.733,188.783,85.417,168.383,160.183,91.133,46.7,172.233,65.467,81.4,141.667,129.917,177.533,142.633,115.4,118.233,366.7,171.117
"Fountain",181.567,122.9,115.567,194.883,146.75,111.333,85.867,74.567,200.4,91.067,177.067,58.233,160.167,157.7,164.65,188.717,191.583,146.8,202.067,186.95,67.433,75.017,0,99.767,115,152.917,38.05,161.65,208.4,103.617,70.167,107.933,115.3,42.067,145.25,129.55,189.6,169.55,59.617,139.967,177.417,137.517,159.183,212.3,145.983,159.683,89.917,170.783,144.617,42.6,186.033,117.367,192.633,163.95,113.867,57.283,126.65,199.067,135.3,183.883,48.35,84.7,67,131.7,199.933,121.567,73.9,182.15,38.65,123.417,182.783,95.95,114.367,171.7,137.517,206.717,107.367,191.35,145.383,100.617,35.917,194.2,38.517,93.383,126.65,149.817,202.233,165.6,137.767,110.217,328.183,169.333
"Franklin",138.7,122.717,35.033,187.317,101.517,146.75,37.583,99.333,149.5,19.25,185.383,113.617,93.567,109.283,101.367,140.25,148.3,101.567,134.483,188.433,51.5,78.883,100.75,0,129.15,72.383,123.65,116.417,165.133,51.267,94.033,25.75,62.95,116.467,121.817,49.017,133.85,124.317,73.9,59.433,154.35,168.733,159.867,187.083,146.667,191.217,37.133,90.25,103.967,103.467,149.467,96.433,141.983,109.617,88.25,122.267,127.967,154.483,71.033,103.35,108.583,25.35,61.133,167.117,136.667,157,74.267,118.883,93.917,59.15,146.583,139.633,72.767,173.183,168.733,163.433,114.133,122.283,145.833,76.783,77.267,155.917,116.2,110.117,127.967,104.583,158.067,85.067,85.417,103.883,373.917,145.783
"Fulton",97.083,14.45,143.25,80.583,101.183,91.367,121.35,45.883,251.433,118.75,68.883,165.267,195.65,211.217,183.783,106.15,109.517,118.917,236.417,71.95,98.483,133.083,114.333,127.45,0,180.6,99.767,123.633,126.333,116.383,165.85,135.617,128.067,145.217,62.733,157.233,235.767,130.317,75.817,167.65,256,52.067,48.9,97.3,42.483,73.783,97.95,198.467,72.05,144.917,251.4,36.183,109.983,211.55,163.917,90.717,44.15,256.4,154.433,211.55,149.417,112.367,85.167,92.933,219.067,101,146.733,201.283,122.1,142.55,248.517,96.567,158.65,56.7,52.067,124.65,185.95,210.483,30.383,65.9,108.75,257.833,144.95,181.933,44.15,79.383,259.983,193.267,150.533,27.4,315.833,74.267
"Gibson",191.317,175.333,49.317,239.933,154.133,199.367,99.817,151.95,102.467,73.433,238,166.233,54.183,107.817,109.55,192.867,200.917,154.183,87.767,241.05,104.117,131.5,153.367,73.483,181.767,0,176.267,169.033,217.75,103.883,146.65,68.1,115.567,169.083,174.433,32.167,103.667,176.933,126.517,16.617,139.883,221.35,212.483,239.7,199.283,243.833,89.75,52.983,156.583,156.083,130.367,149.05,194.6,94.567,123.683,174.883,180.583,135.733,116.617,58.533,161.2,77.967,113.75,219.733,102,209.617,126.883,113.433,146.533,104.7,127.483,192.25,108.217,225.8,221.35,216.05,148.4,78.633,198.45,129.4,129.883,137.167,168.817,162.733,180.583,157.2,123.183,19.9,138.033,156.5,426.533,198.4
"Grant",166.467,107.817,137.833,179.8,151.667,77.05,108.117,58.55,212.683,113.333,142.8,70.517,182.417,169.983,186.9,173.633,176.483,159.933,214.35,158.2,82.133,97.267,36.25,122.033,99.9,175.183,0,174.483,193.317,121.7,82.45,130.2,133.383,54.333,130.167,151.817,201.883,183.1,63.333,162.233,189.7,113.8,144.1,183.733,130.9,122.567,104.383,193.05,135.483,64.85,198.317,102.283,177.533,176.233,129.317,23,111.567,211.333,157.567,206.133,70.617,106.95,70.467,97.417,222.2,87.3,96.15,204.417,60.917,145.683,195.05,61.683,136.633,143.583,113.8,191.633,119.65,213.6,130.3,104.317,58.183,206.483,50.8,105.65,111.567,146.933,214.5,187.85,155.85,95.117,304.217,154.25
"Greene",72.817,117.233,132.867,132.7,23.167,193.667,119.15,126.75,241.617,108.367,176.95,182.967,185.833,201.4,146.567,55.4,92.6,17.35,226.6,166.95,101.233,142.467,161.233,117.067,123.667,170.217,171.817,0,109.433,87.433,163.383,128.35,79.533,176.967,68.467,146.85,225.95,13.683,120.667,157.267,246.45,163.25,120.5,129.9,107.233,180.75,87.567,181.167,56.75,164.3,241.583,91.4,46,201.733,161.433,169.167,80.683,246.583,100.567,201.167,172.15,101.983,110.867,199.9,186.067,203.917,143.617,168.283,154.4,88.783,238.7,186.55,156.167,164.75,163.25,107.733,183.467,185.5,133.2,78.133,136.933,248.017,176.7,179.45,80.683,46.283,250.167,182.883,57.5,99.167,420.817,92.417
"Hamilton",46.533,111.067,181.317,68.5,92.417,151.067,167.583,138.15,290.05,156.817,87.333,231.4,234.283,249.833,221.833,68.633,24.583,120.517,275.033,79.3,149.683,190.9,206.6,165.5,125.933,218.667,192.017,111.3,0,140.3,211.817,173.683,135.45,225.417,69.167,195.283,274.4,108.883,164.967,205.7,294.9,130.783,83.917,42.783,84.183,113.717,136.017,236.517,86.133,212.75,290.017,118.417,77.3,250.183,209.883,190.117,91.65,295.033,172.217,249.617,220.6,150.433,159.317,128.517,257.133,134.683,192.05,239.35,202.85,160.283,287.15,161.2,204.617,90.8,130.783,9.8,231.917,248.55,102.883,127.4,185.367,296.467,225.133,227.9,91.65,69.167,298.617,231.333,159.267,109.633,349.517,57.783
"Hancock",112.183,111.433,67.483,160.783,75,144.167,53.683,96.75,176.233,43,174.1,117.5,120.467,136.017,90.15,113.717,121.767,72.3,161.217,177.15,48.917,82.483,104.767,51.683,117.867,104.85,122.317,87.15,138.6,0,97.917,42.167,15.25,120.5,95.3,81.467,160.583,95.05,71.317,91.883,181.083,157.45,144.183,160.567,130.983,178.983,25.85,111.133,77.45,107.483,176.2,85.133,115.467,136.367,95.983,119.667,101.383,181.217,48.883,135.8,112.167,36.617,58.55,164.533,125.45,154.4,78.15,107.667,97.933,36.967,173.317,137.05,90.717,161.9,157.45,136.917,118.017,116.85,134.55,65.5,81.283,182.65,120.233,114,101.383,78.067,184.8,117.517,49.3,92.6,371.317,119.25
"Harrison",187.017,163.983,110.433,236.833,149.833,154.833,65.483,136.4,132.617,85.933,220.583,20.233,119.6,89.917,159.5,188.55,196.6,149.883,134.283,229.683,85.883,68.667,68.533,94.633,170.417,147.783,81.567,164.717,213.433,99.15,0,102.8,110.833,50.1,170.133,124.417,121.817,172.633,108.283,134.833,109.633,191.583,201.133,235.4,187.917,200.35,85.45,165.65,152.283,45.85,118.25,137.683,190.3,96.167,49.25,100.783,168.583,131.267,130.167,178.75,34.767,79.567,95.517,175.2,194.8,165.083,53.117,177.017,68.517,118.283,114.983,139.467,56.55,214.45,191.583,211.75,39.583,186.217,187.1,118.05,80,126.4,35.767,26.383,168.583,152.883,134.433,148.3,133.3,145.15,362.167,194.083
