"","Abbeville","Aiken","Allendale","Anderson","Bamberg","Barnwell","Beaufort","Berkeley","Calhoun","Charleston","Cherokee","Chester","Chesterfield","Clarendon","Colleton","Darlington","Dillon","Dorchester","Edgefield","Fairfield","Florence","Georgetown","Greenville","Greenwood","Hampton","Horry","Jasper","Kershaw","Lancaster","Laurens","Lee","Lexington","Marion","Marlboro","McCormick","Newberry","Oconee","Orangeburg","Pickens","Richland","Saluda","Spartanburg","Sumter","Union","Williamsburg","York"
"Greenwood",22.767,78.133,140.65,63.833,140.767,126.517,214.3,186.067,91.567,191.033,102.617,100.633,185.817,72.533,169.383,162.783,181.4,180.167,44.017,104.717,162.15,247.05,71.75,0,163.5,216.633,212.3,150.25,142.15,40.817,136.533,85.167,190.367,191.183,33.25,56.2,115.2,132,94.167,106.517,40.783,80.033,151.4,80.733,194.483,126.55
"Hampton",174.25,99.717,25.667,212.15,42.1,48.917,59.75,108.55,227.783,112.167,210.3,167.267,190.217,222.033,37.183,135.9,150.933,105.117,121.967,142.95,131.667,171.45,194.95,165.3,0,182.917,57.75,166.45,175.267,170.267,135.283,120.667,159.883,162.7,143.217,144.983,252.233,66.9,223.267,243.65,139.55,187.717,116.867,181.05,124.417,193.95
"Horry",236.7,178.167,198.933,243.4,163.583,188.65,195.167,127.733,246.667,145.8,227.217,170.45,117.133,234.05,159.333,73.567,59.167,143.967,191.167,146.133,58.7,66.167,213.833,216.75,180.217,0,193.183,132.05,159.583,189.133,88.217,141.983,33.133,73.883,224.45,163.85,270.3,142.083,242.15,265.317,186,206.583,104.017,199.917,79.65,197.117
"Jasper",233.5,158.967,84.9,240.667,94.233,108.167,29.683,120.65,243.933,115,226.433,183.417,202.317,231.317,69.033,147.983,163.017,107.95,181.2,159.1,143.75,183.55,211.1,214.017,60.7,195.017,0,182.6,191.417,186.417,147.367,138.233,171.983,174.8,202.467,161.117,267.567,100.067,239.417,262.583,184.25,203.867,128.95,197.183,136.517,210.083
"Kershaw",168.283,109.767,156.7,174.983,122.933,135.817,181.967,155.033,178.25,158.7,122.833,67.333,48,165.633,145.3,66.867,95.95,147.833,122.767,66.533,76.683,160.917,145.417,148.333,165.017,131.167,179.967,0,29.15,120.733,42.717,73.567,104.9,81.817,156.033,95.433,201.9,99.667,173.733,196.917,117.583,139.333,66.6,110.55,108.35,87.683
"Lancaster",161.317,116.3,165.833,168.583,132.067,144.95,191.1,162.867,171.85,167.833,100.217,42.5,62,159.233,154.433,88.317,123.25,156.967,129.3,49.483,101.717,189.883,139.017,145.033,174.15,158.467,189.1,28.783,0,114.333,71.683,80.1,132.2,99.95,163.367,93.717,195.5,108.817,167.333,190.517,124.917,114.5,94.7,85.717,137.317,61.867
"Laurens",57.5,105.017,160.317,65.183,126.883,139.417,185.917,157.683,76.6,162.65,68.833,72.7,157.45,63.983,149.25,134.417,153.033,151.783,79.6,76.9,133.767,218.667,43.767,41.217,168.967,188.25,183.917,121.867,114.217,0,108.167,73.683,161.983,162.8,68.883,39.4,100.25,103.617,72.083,95.267,56.05,46.267,123.017,46.367,166.1,92.183
"Lee",155.067,96.55,143.483,161.767,109.7,122.583,147.683,112.317,165.033,124.983,145.583,88.817,56.633,152.417,111.85,34.5,53.233,114.117,109.55,64.5,33.967,118.183,132.2,135.117,132.733,88.45,145.7,43.817,72.617,107.517,0,60.35,62.183,56.7,142.817,82.217,188.667,86.45,160.517,183.683,104.367,124.967,33.7,118.3,65.633,115.5
"Lexington",101.85,46.567,104.4,129.383,79.083,79.533,138.117,109.883,132.65,114.85,115.15,73.733,110.667,120.033,101.45,87.65,106.25,103.983,59.567,49.05,87,170.933,99.817,83.817,121.3,141.483,136.117,75.1,81.75,75.133,61.383,0,115.217,116.033,85.017,49.833,156.283,55.817,128.133,151.3,46.55,92.583,77.317,85.9,119.333,100.417
"Marion",208.55,150.033,175.483,215.25,140.117,165.2,171.717,124.65,218.517,155.167,199.067,142.3,89.033,205.9,135.867,45.433,31.067,145.633,163.033,117.983,30.55,86.133,185.683,188.6,156.75,33.65,169.717,103.9,131.45,161,60.083,113.833,0,45.783,196.3,135.7,242.167,118.617,214,237.183,157.85,178.45,81.517,171.783,76.567,168.983
