"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Miner",95.55,58.067,244.45,110.467,88.833,150.317,131.2,376.9,209.367,135.633,118.517,92.067,138.483,108.45,94.4,315.567,49.683,88.533,120,404.283,97.717,162.833,319.75,142.65,107.05,151.617,207.983,114.283,103.3,51.433,432.8,157.95,102,125.567,116.35,55.883,163.533,51.283,110.45,116.5,83.867,119.6,165.583,53.383,183.517,286.467,126.033,0,95.333,87.1,290.467,265.35,119.917,181.467,162.117,40.167,129.483,164.85,145.317,197.25,87.817,110.7,167.117,215.083,120.217,258.6
"Minnehaha",52.15,120.5,255.167,96.817,54.417,182.8,50.117,385.867,220.083,185.8,121.217,121.383,57.4,90.85,16.883,326.283,65.567,117.85,77.65,415,100.233,210.15,330.467,194.35,26.05,162.733,218.7,81.6,152.367,63.367,441.767,194.4,72.8,171.333,123.883,108.067,174.65,94.75,97.067,111.283,86.4,130.317,168.3,40.467,217.983,297.183,165.95,93.383,0,43.683,301.183,276.067,112.933,233.167,129.517,102.6,48.417,181.433,156.433,207.967,90.4,35.683,207.017,259.317,81.883,280.433
"Moody",25.65,105.817,278.333,127.25,30.717,159.1,80.55,409.033,243.25,182.45,150.367,97.683,87.833,67.15,38.167,349.45,88.75,94.15,53.95,438.183,129.383,186.45,353.65,175.367,56.483,185.517,241.867,57.917,150.117,86.533,464.933,216.767,103.233,173.35,150.233,114.7,197.433,72.117,73.367,141.733,115.533,153.5,144.6,63.65,194.283,320.367,142.25,85.633,44.7,0,324.35,299.233,143.367,214.183,105.833,99,78.85,204.617,179.217,231.133,120.85,66.133,183.317,235.617,112.333,299.4
"Oglala Lakota",332.333,282.05,46.533,273.15,334.6,346.2,333.7,226.517,149.1,265.45,235.45,339.8,329.583,371.2,299.833,107.35,245.967,342.483,357.833,145.883,233.417,314.467,66.683,284.133,308.767,174.767,122.833,361.783,253.233,250.15,282.4,194.033,271.333,231.95,223.733,241.4,194.483,314.033,373.217,247.567,237.95,174.35,400.667,271.517,340.45,137.833,322.783,290.717,300.767,323.867,0,108.933,275.717,247.767,409.7,257.8,332,181.067,164.417,104.417,257.15,307.8,318.75,275.45,300.9,213.917
"Pennington",305.667,255.4,131.233,272.233,307.95,316.017,309.967,119.517,200.933,237.85,239.167,312.217,317.25,345.75,273.167,55.917,219.317,314.9,331.183,144.633,229.217,286.433,62.5,254.617,285.833,200.9,74.5,335.133,228.917,223.5,175.417,163.833,263.767,206.3,227.45,214.733,220.933,287.383,347.75,253.817,233.767,147.7,370.467,244.867,310.25,30.833,295.2,264.05,274.117,297.217,110.4,0,281.983,217.567,383.05,231.15,308.267,154,195.233,156.25,249.583,289.483,291.167,245.267,299.833,148.45
"Perkins",151.65,128.933,229.95,23.967,153.917,210.9,79.6,395.217,185.55,195.15,51.917,177.6,72.583,194.75,118.183,335.633,72.933,174.067,177.15,421.55,53.767,223.417,342.367,203.233,96.017,102.65,228.05,181.117,161.717,76.483,451.117,203.767,53.15,180.7,63.5,116.533,106.567,136.817,195.983,29.933,55.017,139.683,253.783,97.967,244.1,306.533,186.617,120.333,112.933,143.183,275.967,285.417,0,242.05,229.033,111.033,86,190.783,121.95,173.433,36.45,85.033,227.7,275.667,43.9,289.783
"Potter",198.617,128.25,200.45,231.65,196.717,104.083,269.4,207.583,185.717,71.65,198.583,118.483,276.683,152.017,232.6,266.817,178.733,121.167,177.75,336.833,188.65,72.567,271.017,39.483,245.25,166.883,144.167,175.717,81.733,182.917,263.483,59.633,223.183,62.933,186.867,132.217,186.917,155.183,151.2,213.233,193.183,123.133,158.55,204.283,98.333,206.183,82.733,182.25,233.533,213.95,246.483,216.6,241.4,0,195.85,143.383,267.683,66.4,160.667,159.483,209.017,248.9,76.85,40.2,259.267,86.483
"Roberts",90,144.4,363,211.933,88.1,102.383,165.233,354.283,327.917,184.083,235.033,85.183,172.517,53.583,128.783,445.033,173.417,81.667,69.133,529.117,214.05,124.35,449.233,154.4,141.167,270.183,322.383,67.083,172.817,171.217,410.183,237.85,187.9,192.517,234.917,180.4,282.1,108.483,57.25,226.4,200.217,238.167,39.4,147.383,100.35,398.467,113.867,158.35,129.367,105.333,409.033,394.817,228.05,193.217,0,171.283,163.533,244.617,263.883,315.817,205.517,150.8,135.45,173.517,197,278.767
"Sanborn",107,27.733,212.35,99.017,100.267,111.867,136.75,338.467,177.267,97.2,89.9,91.233,144.033,120.317,99.95,283.483,38.233,93.917,131.867,372.2,68.567,124.4,287.667,104.217,112.6,122.667,175.9,126.15,64.867,46.383,394.35,119.517,90.55,87.133,86.5,17.45,134.583,63.15,122.333,93.167,62.75,87.683,152.583,64.817,145.083,254.383,87.6,39.417,100.883,98.533,258.383,233.267,108.467,143.033,173.983,0,135.05,126.417,116.367,165.167,76.367,116.25,128.683,176.65,126.617,220.15
"Spink",86.65,155,286,79.383,88.933,217.317,8.433,420.383,241.6,220.317,107.967,155.883,17,125.367,53.2,360.8,100.083,152.367,112.167,449.517,108.2,244.667,364.983,228.867,33.6,158.717,253.217,116.117,186.883,97.883,476.283,228.917,71.583,205.85,119.567,142.583,162.633,129.267,131.583,95.217,103.283,164.833,202.8,74.983,252.5,331.7,200.467,127.9,47.95,78.2,332.033,310.583,89.433,267.683,164.033,137.117,0,215.95,173.317,229.5,84.733,37.983,241.533,293.833,42.967,314.95
"Stanley",212.417,126.9,134.35,179.317,202.817,166.6,217.05,218.767,119.617,88.433,146.25,162.8,224.333,196.333,180.267,207.133,126.4,165.483,218.15,296.117,136.317,137.017,211.333,105.2,192.917,107.983,84.483,212.45,79.517,130.583,274.667,14.433,170.85,56.9,134.533,109.183,128.017,158.883,198.35,160.9,140.85,54.783,221.067,151.95,160.85,165.467,145.783,164.433,181.2,204.3,180.367,156.917,189.067,68.167,250,125.583,215.35,0,102.333,93.383,156.667,196.567,141.75,95.85,206.933,100.467
"Sully",187.117,139.983,117.6,115.367,189.383,206.617,174.65,306.25,73.183,131.733,71.017,198.233,171.8,223.083,154.617,246.65,100.75,200.917,212.617,309.2,68.983,180.767,230,150.433,144.35,21.383,139.067,216.583,119.533,104.933,362.133,114.783,106.9,98.25,59.3,107.683,41.417,168.8,227.967,93.583,73.517,51.1,259.583,126.317,206.517,217.567,182.35,145.5,156.933,178.65,163.617,196.45,121.733,160.717,264.5,115.783,172.95,101.817,0,61.083,92.733,143.383,185.05,197.5,143.117,200.817
"Todd",239.183,188.9,57.7,170.767,241.45,252.833,231.333,267.383,46.733,172.3,133.083,246.65,227.2,278.067,206.683,207.8,152.817,249.35,264.683,249.3,131.033,221.317,170.117,190.983,206.4,72.383,100.217,268.65,160.083,157,323.283,105.267,168.95,138.8,121.35,148.25,92.117,220.9,280.067,145.183,135.567,81.217,307.3,178.383,247.083,178.7,229.633,197.567,207.617,230.717,103.717,157.583,173.35,159,316.567,164.65,229.633,92.3,62.05,0,154.783,205.433,225.617,186.683,198.517,159.517
"Tripp",126.117,96.383,210.1,27.183,128.4,178.333,86.467,361.767,165.7,161.7,38.117,145.05,83.617,162.217,96.067,302.183,40.4,141.533,151.633,390.9,27.383,190.433,306.367,170.25,68.067,96.717,194.6,155.583,128.267,43.95,417.667,170.3,19.167,147.233,49.7,83.967,100.633,104.283,163.45,33.217,22.467,106.217,221.25,65.433,211.55,273.083,154.067,87.783,90.317,117.65,256.133,251.967,36.65,209.067,203.5,78.5,84.767,157.333,92.5,153.6,0,60.417,194.717,242.7,54.933,256.333
"Turner",74.5,136.217,260.817,69.717,76.767,205.15,38.667,401.6,216.417,201.517,93.683,143.733,40.133,113.2,41.033,342,81.3,140.2,100,430.733,82.95,230.267,346.2,210.083,13.033,147.7,234.417,103.95,168.1,79.1,457.5,210.133,43.65,187.067,105.267,123.8,151.617,110.483,119.417,84.2,73.183,146.05,190.65,56.2,240.333,312.917,188.3,109.117,35.783,66.033,306.85,291.8,85.833,248.9,151.867,118.317,36.967,197.167,143.217,204.317,61.267,0,229.367,282.517,54.783,296.167
"Union",168.45,113.317,271.367,216.717,166.567,43.45,243.683,258.367,236.283,78.05,183.65,96.733,250.967,121.1,207.25,339.017,163.8,99.417,147.583,411.233,173.7,19.667,343.2,37.567,219.617,190.45,216.35,145.55,66.8,167.983,314.25,131.833,208.25,86.5,171.933,117.267,210.483,136,112.033,198.3,178.233,146.7,97.483,189.35,37.267,280.583,43.55,167.3,207.833,183.783,317.383,288.8,226.467,75.683,134.767,128.45,241.983,138.6,184.233,224.167,194.067,233.967,0,71.917,244.317,160.883
"Walworth",222.783,162.483,228.233,265.883,220.9,83.533,298.017,188.983,213.517,109.783,232.817,152.7,305.3,178.367,261.583,294.6,212.95,155.4,201.917,363.817,222.867,53.95,298.8,77.617,273.95,205.017,171.95,199.883,115.967,217.133,244.883,87.417,257.417,101.067,221.1,166.433,225.05,189.4,169.317,247.467,227.4,148.683,136.55,238.517,73.867,233.167,100.833,216.467,262.167,238.117,274.267,244.4,275.617,42,173.85,177.617,296.317,94.183,196.217,187.283,243.233,283.133,73.617,0,293.483,113.467
"Yankton",119.567,146.567,257.7,36.4,121.85,228.517,35.7,411.95,213.3,211.867,79.667,160.967,28.683,162.683,86.117,352.35,91.65,157.433,145.083,441.083,80.067,240.617,356.55,220.433,63.933,130.417,244.767,149.033,178.433,89.433,467.833,220.483,44.717,197.417,91.267,134.15,134.333,120.183,164.5,66.917,75.15,156.4,234.483,65.9,261.717,323.267,204.25,118.817,80.867,111.117,303.733,302.15,46.45,259.25,196.95,128.667,42.1,207.517,145.183,201.2,56.6,52.95,244.9,292.867,0,306.517
"Ziebach",283.617,213.35,167.167,278.1,281.733,185.9,315.833,123.6,205.2,156.667,245.033,203.483,323.117,237.033,279.033,202.5,225.167,206.167,262.75,252.85,235.083,156.317,210.867,124.483,291.683,206.767,99.867,260.717,165.967,229.35,179.5,108.9,269.633,143.35,233.3,203.65,226.8,240.183,236.2,259.667,239.617,153.55,240.65,250.717,177.967,122.2,167.733,258.9,279.967,298.95,213.2,150,287.833,87.45,277.95,220.05,314.133,99.067,201.1,160.517,255.45,295.333,161.867,113.267,305.7,0
