"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Corson",51.417,119.467,254.133,102.333,53.7,182.083,55.633,384.833,219.05,184.767,126.167,120.65,62.917,90.133,0,325.25,64.533,117.117,76.933,413.967,105.183,209.433,329.45,193.317,31.567,161.317,217.667,80.883,151.333,62.333,440.733,193.383,78.3,170.317,126.033,107.05,173.233,93.717,96.35,116.8,91.333,129.3,167.567,39.433,217.267,296.15,165.233,92.35,16.417,38.333,300.15,275.033,118.45,232.133,128.8,101.567,53.933,180.4,155.017,206.933,95.917,41.2,206.3,258.583,87.4,279.4
"Custer",354.35,304.083,152.733,320.917,356.633,364.7,358.65,170.65,249.633,286.533,287.85,360.9,365.933,394.433,321.867,0,268,363.583,379.867,88.717,277.917,335.117,39.683,303.3,334.517,249.583,123.183,383.817,277.617,272.183,226.55,212.533,312.45,255,276.133,263.417,269.617,336.067,396.433,302.5,282.45,196.383,419.167,293.55,358.95,81.967,343.883,312.733,322.8,345.9,107.65,54.6,330.667,266.25,431.733,279.833,356.95,202.7,243.933,204.933,298.267,338.167,339.85,293.95,348.533,199.6
"Davison",99.083,57.633,200.117,64.95,101.367,147.4,103.383,330.833,165.033,130.75,73,113.1,110.667,129.5,66.583,271.233,0,109.567,124.6,359.967,52.2,159.5,275.433,139.317,79.25,107.3,163.65,128.55,97.333,14.267,386.733,139.367,56.483,116.3,72.033,53.033,119.217,72.333,131.5,71,38.35,75.283,182.483,39,180.617,242.15,123.133,49.033,67.533,90.633,246.15,221.033,74.417,178.133,176.467,39.733,101.683,126.4,101,152.933,42.3,82.9,163.783,211.75,92.7,225.4
"Day",77.433,67.433,295.717,164.983,75.55,84.1,152.667,326.333,260.633,102.417,174.467,3.517,159.95,30.85,116.233,363.367,109.317,0,56.567,452.35,153.133,101.4,367.55,81.217,128.6,207.233,240.717,54.533,91.15,106.417,382.233,156.183,141.583,110.85,171.067,102.15,219.15,36.583,32.85,171.017,138.383,171.05,87.983,91.083,117.317,321.7,57.75,86.45,116.817,92.767,341.75,313.15,174.433,120.033,84.5,94.3,150.967,162.95,200.933,248.533,142.333,138.25,98.817,153.65,157.917,205.233
"Deuel",39.567,104.883,312.583,161.5,37.683,122.7,114.8,384.083,277.5,160.167,184.617,61.267,122.083,30.75,78.367,383.7,122.983,57.733,0,472.417,163.633,150.05,387.9,138.967,90.733,219.767,276.117,20.85,140.933,120.783,439.983,209.483,137.483,164.15,184.483,140.883,231.683,68.967,36.967,175.983,149.783,187.75,108.183,97.883,157.883,354.6,105.85,117.95,78.95,54.9,358.6,333.483,177.617,177.783,69.417,131.767,113.1,216.25,213.467,265.383,155.083,100.383,146.917,199.2,146.583,262.983
"Dewey",442.483,392.2,191.4,409.05,444.75,434.45,446.783,197.867,293.967,377.1,375.983,451.467,454.067,485,409.983,88.117,356.117,454.15,467.983,0,366.033,404.867,84.233,373.033,422.633,319.617,211.317,471.933,368.167,360.3,253.767,303.083,400.583,345.55,364.25,351.55,339.35,424.2,484.75,390.617,370.567,284.5,489.2,381.667,426.517,132.917,416.283,400.867,410.917,434.017,146.317,142.733,418.783,336,526.5,367.95,445.083,293.25,309.267,249.267,386.4,426.283,410.417,361.817,436.65,250.433
"Douglas",136.733,91.95,187.25,49.9,139.017,158.583,109.183,342.917,142.85,142.833,21.633,150.2,106.333,172.65,104.233,283.333,51.017,152.883,162.25,372.05,0,171.1,287.517,150.917,88.167,75.95,175.733,166.2,109.417,54.567,398.817,151.45,41.167,128.383,33.217,64.217,86.25,114.9,174.067,24.883,17.333,87.367,211.55,75.867,191.8,254.233,134.317,98.4,100.75,128.283,233.267,233.117,53.05,189.733,214.117,67.75,107.483,138.483,69.65,130.733,27.25,82.417,175.4,223.367,77.65,237.483
"Edmunds",170.9,109.167,267.217,212.567,169.017,31.65,246.133,238.833,232.133,73.9,179.5,99.383,253.417,125.05,209.7,334.85,159.633,102.067,150.033,406.433,169.55,0,339.05,33.4,222.067,186.3,212.2,148,62.65,163.817,294.733,127.667,204.1,82.35,167.767,113.117,206.317,136.083,115.983,194.133,174.083,142.55,86.117,185.183,25.9,275.783,47.517,163.15,210.283,186.233,313.233,284.633,222.3,71.533,123.417,124.3,244.433,134.433,180.083,220.017,189.917,229.8,20.3,52.4,240.167,156.083
"Fall River",360.383,310.117,113.033,326.95,362.667,370.733,364.7,180.883,215.6,292.567,301.95,366.933,371.983,400.483,327.9,40.667,274.033,369.617,385.9,82.183,283.95,341.15,0,309.333,340.55,241.25,129.217,389.85,283.65,278.217,236.767,218.567,318.483,261.033,290.217,269.467,260.983,342.1,402.483,314.05,288.483,202.417,425.2,299.583,364.983,92.2,349.917,318.767,328.833,351.933,67.95,63.3,342.217,272.3,437.767,285.867,362.983,208.733,230.917,170.917,304.317,344.2,345.883,299.983,354.567,209.817
"Faulk",159.117,88.75,237.983,192.15,157.233,65.2,229.9,245.117,202.917,53.5,159.083,78.983,237.183,112.533,193.1,304.35,139.233,81.667,138.25,374.367,149.15,33.7,308.533,0,205.75,157.083,181.7,136.217,42.25,143.417,301.017,97.167,183.683,53.133,147.367,92.717,177.117,115.683,111.7,173.733,153.683,113.333,119.667,164.783,59.45,243.717,43.233,142.75,194.033,174.45,284,254.133,201.9,38.8,156.467,103.9,228.2,103.933,150.867,190.8,169.517,209.4,37.983,75.6,219.767,124.017
"Grant",65.983,133.317,261.9,80.117,68.267,196.65,34.383,398.7,217.5,198.617,100.733,135.217,41.667,104.7,32.533,339.117,78.4,131.683,91.5,427.833,88.117,224,343.3,207.183,0,150.6,231.517,95.45,165.2,76.2,454.6,207.233,50.7,184.167,112.317,120.9,162,107.583,110.917,94.583,74.267,143.15,182.133,53.3,231.833,310.017,179.8,106.217,27.283,57.533,307.917,288.9,96.233,246,143.367,115.433,32.667,194.267,144.3,205.383,68.317,13.6,220.867,273.15,65.183,293.267
"Gregory",192.167,145.033,127.583,99.85,194.45,211.667,160.4,311.967,83.183,137.067,62.95,203.283,156.283,228.15,159.667,252.383,105.817,205.967,217.683,319.2,74.033,186.083,240,155.75,149.4,0,144.8,221.633,124.85,110,367.867,120.5,111.95,103.567,64.35,113.017,21.183,173.85,233.017,74.267,78.567,56.417,264.633,131.367,211.85,223.283,187.4,150.55,162,183.717,173.617,202.167,102.417,166.05,269.55,120.833,158.7,107.533,20.65,71.067,97.167,148.433,190.383,202.833,127.6,206.533
"Haakon",250.067,199.8,75.633,216.633,252.35,243.867,254.367,179.3,145.333,165.7,183.567,240.067,261.65,273.6,217.567,126.15,163.717,242.75,275.583,214.883,173.617,214.283,130.35,182.467,230.233,145.3,0,289.7,156.767,167.9,235.183,91.683,208.167,134.15,171.85,159.133,165.333,231.783,275.6,198.217,178.167,92.1,298.317,189.267,238.1,97.067,223.05,208.45,218.517,241.617,121.65,75.95,226.383,145.417,327.267,175.55,252.667,81.85,139.633,100.65,193.983,233.883,219.017,173.117,244.233,99.567
"Hamlin",42.517,98.817,315.533,164.45,40.633,121.967,117.75,383.367,280.45,159.433,187.55,60.55,125.033,30.017,81.317,386.65,125.933,57.017,20.983,475.367,166.583,149.317,390.85,138.233,93.683,222.7,287.95,0,134.867,123.733,439.25,203.417,140.433,158.083,187.433,134.817,234.617,62.9,36.233,178.933,152.733,190.7,107.467,100.65,157.15,368.933,105.117,112.767,81.9,57.85,361.55,336.433,180.567,177.05,68.683,125.7,116.05,210.183,216.4,268.333,158.033,103.333,146.183,198.483,149.533,262.25
"Hand",134.967,49.45,206.55,150.65,125.383,94.917,188.383,285.933,171.467,34.667,117.583,88.733,195.667,122.283,151.583,278.067,97.733,91.433,140.717,367.05,107.633,63.4,282.267,43.217,164.25,125.633,155.417,135,0,101.917,341.833,70.883,142.183,25.567,105.867,51.2,141.283,81.433,124.283,132.233,112.183,81.883,149.383,123.283,89.167,236.4,71.717,103.433,152.533,150.417,252.583,227.85,160.4,82.033,175.933,64.583,186.683,77.65,119.417,159.367,128,167.9,67.7,115.667,178.25,164.817
"Hanson",95.2,64.667,203.633,67.733,97.467,150.917,99.5,334.333,168.55,134.267,75.783,110.783,106.783,131.45,62.7,274.75,12.45,107.267,120.7,363.467,54.983,163,278.95,142.817,75.35,110.817,167.167,124.667,100.833,0,390.233,142.883,59.267,119.817,75.533,56.55,122.733,70.017,129.183,73.767,41.133,78.8,189.533,34.683,184.117,245.65,126.633,51.467,63.633,86.733,249.65,224.533,77.183,181.633,172.583,46.783,97.8,129.9,104.517,156.433,45.083,79.017,167.3,215.267,89.367,228.9
"Harding",460.317,390.033,298.933,439.933,458.417,323.9,477.683,55.85,368.65,333.35,406.867,380.183,484.967,413.717,440.883,228.867,387.017,382.867,439.45,253.283,396.933,294.317,236.633,301.183,453.533,368.617,233.583,437.4,342.667,391.2,0,282.05,431.467,320.05,395.15,376.8,388.65,416.883,409.683,421.517,401.467,315.4,371.483,412.567,308.8,147.95,341.2,432.05,441.817,464.917,284.533,175.767,449.683,264.15,408.783,393.2,475.983,272.217,362.95,323.967,417.3,457.183,313.983,244.083,467.55,178.583
"Hughes",204.083,118.567,148.133,193.1,194.5,158.267,230.85,226.117,133.4,80.117,160.033,154.467,238.133,188.017,194.05,214.5,140.183,157.167,209.833,303.483,150.1,128.7,218.683,96.867,206.7,121.783,91.85,204.117,71.183,144.367,282.017,0,184.633,48.567,148.317,102.2,141.8,150.55,190.017,174.683,154.633,68.567,212.733,165.733,152.517,172.833,137.45,157.45,194.983,216.567,194.15,164.283,202.85,59.833,241.667,118.6,229.133,14.083,116.117,107.167,170.467,210.35,133.433,87.517,220.717,107.817
"Hutchinson",112.767,110.017,223.733,36.133,115.033,191.967,73.467,375.383,179.317,175.317,51.467,146.533,71.65,148.25,79.3,315.8,54.017,143,138.267,404.517,40.733,204.05,320,183.867,51.3,112.433,208.217,142.217,141.883,57.567,431.283,183.933,0,160.867,63.067,97.6,116.1,105.75,156.167,49.9,36.1,119.85,220.05,51.467,225.167,286.7,167.683,101.4,74.05,104.3,269.75,265.583,53.317,222.683,190.15,92.117,71.767,170.95,106.133,167.217,19.05,43.65,208.35,256.317,45.6,269.95
