"","Anderson","Bedford","Benton","Bledsoe","Blount","Bradley","Campbell","Cannon","Carroll","Carter","Cheatham","Chester","Claiborne","Clay","Cocke","Coffee","Crockett","Cumberland","Davidson","Decatur","DeKalb","Dickson","Dyer","Fayette","Fentress","Franklin","Gibson","Giles","Grainger","Greene","Grundy","Hamblen","Hamilton","Hancock","Hardeman","Hardin","Hawkins","Haywood","Henderson","Henry","Hickman","Houston","Humphreys","Jackson","Jefferson","Johnson","Knox","Lake","Lauderdale","Lawrence","Lewis","Lincoln","Loudon","Macon","Madison","Marion","Marshall","Maury","McMinn","McNairy","Meigs","Monroe","Montgomery","Moore","Morgan","Obion","Overton","Perry","Pickett","Polk","Putnam","Rhea","Roane","Robertson","Rutherford","Scott","Sequatchie","Sevier","Shelby","Smith","Stewart","Sullivan","Sumner","Tipton","Trousdale","Unicoi","Union","Van Buren","Warren","Washington","Wayne","Weakley","White","Williamson","Wilson"
"Dickson",106.05,93.6,197.95,104.617,205.283,179.7,117.283,93.2,93.517,209.367,51.217,117.533,264.417,154.517,235.833,90.2,157.633,141.383,178.467,206.483,118.5,0,133.767,135.817,179.867,55.75,110.15,89.467,237.25,257.65,128.383,240.95,286.733,102.15,136.7,121.4,269.667,115.533,117.533,111.083,91.233,128.05,42.95,95.767,137.283,196.667,194.217,169.033,143.383,88.1,80.517,124.417,193.45,151.35,53.95,269.917,287.883,63.417,197.783,126.6,206.483,145.733,237.467,122.2,190.783,149.883,159.4,70.133,162.7,159.7,114.2,187.917,166.4,137.883,138.583,202.25,137,224.133,158.95,80.917,66.233,280.333,74.233,160.067,77.5,290,248.033,159.233,144.65,286.983,102.8,103.817,126.583,55.75,210.5
"Dyer",220.3,207.85,312.217,218.867,319.533,293.95,231.533,207.45,48.383,323.617,170.817,84.5,378.683,268.767,350.083,204.45,39.267,255.633,292.733,320.733,232.75,139.567,0,98.383,294.117,170,29.633,203.717,351.5,371.9,242.633,355.217,400.983,72.8,99.167,134.483,383.933,61.833,84.5,63.75,205.483,165.35,121.733,58.25,251.533,310.917,308.467,69.083,69.067,59.45,156.3,238.667,307.7,113.917,168.2,384.167,402.15,174.133,312.033,91.683,320.733,259.983,351.717,236.45,305.033,35.917,121.967,135.017,276.967,30.167,228.45,302.167,280.667,102.967,8.833,316.5,251.25,338.383,121.517,65.933,127.617,394.583,188.483,105.633,191.767,404.267,362.283,121.717,107.217,401.233,161.45,208.683,240.833,170,113.95
"Fayette",217.25,204.8,309.167,215.817,316.483,290.9,228.483,204.4,57.617,320.567,167.767,58.1,375.633,265.717,347.033,201.4,127.217,252.6,289.683,317.683,229.7,136.517,95.967,0,291.083,166.95,72.35,181.233,348.45,368.867,239.6,352.167,397.933,127.05,31.667,91.767,380.883,39.483,58.1,117.983,202.433,128.75,123.15,56.733,248.483,307.867,305.417,121.4,65.783,56.4,153.25,238.35,304.65,18.75,165.15,381.117,399.1,171.083,308.983,64.35,317.683,256.95,348.667,238.483,301.983,102.233,54.25,131.85,273.917,111.233,225.4,299.117,277.617,57.35,100.783,313.45,248.2,335.333,54.7,76.667,158.583,391.533,185.433,54.917,188.717,401.217,359.233,35.45,8.817,398.183,128.9,176.133,237.8,166.95,106.25
"Fentress",163.133,186.683,173,199,127.867,154.95,79.267,138.833,247.333,127.083,163.733,271.35,155.45,68.267,153.55,147.283,302.55,62.867,23.8,130.867,102.233,177.717,287.583,289.633,0,154.433,263.967,199.017,156.8,175.383,157.2,158.683,204.45,256.617,290.517,275.2,187.4,269.35,271.35,263.483,99.983,272.267,208.1,249.583,120.583,119.25,113.483,322.85,297.2,241.917,217.983,214.1,116.033,305.15,140.883,127.333,205.617,177.05,134.25,280.417,130.867,44.5,74.9,186.517,63.217,303.7,313.217,223.933,40.883,301.2,73.917,126.233,89,291.7,292.4,126.633,176.517,141.85,312.75,234.733,240.617,198.05,141.617,313.883,144.017,207.733,146.467,313.05,298.45,204.717,244.167,213.367,85.917,154.433,364.317
"Franklin",79.1,66.05,171.017,77.217,182.467,152.75,94.467,66.25,123.183,186.55,52.317,147.2,241.617,131.7,213.017,63.25,187.283,118.583,155.667,178.067,95.683,53.567,163.433,165.483,157.067,0,139.817,62.067,214.45,234.85,101.45,218.15,263.917,132.467,166.367,139.983,246.867,145.2,147.2,139.333,68.417,132.617,83.95,125.433,114.467,173.85,171.4,198.7,173.05,117.767,82.233,97.017,170.633,181.017,37.017,247.1,265.083,40.1,170.833,156.267,178.067,122.933,214.667,95.25,167.967,179.55,189.067,99.8,139.9,189.367,91.383,160.967,143.6,167.55,168.25,179.433,110.05,201.317,188.617,110.583,118.117,257.517,57.317,189.733,60.583,267.2,225.217,188.9,174.317,264.183,104.533,76.417,103.783,0,240.167
"Gibson",196.617,184.167,288.533,195.183,295.85,270.267,207.85,183.767,24.7,299.933,147.133,60.817,355,245.083,326.4,180.767,63.317,231.967,269.05,297.05,209.067,115.883,28.267,74.717,270.45,146.317,0,180.033,327.833,348.233,218.967,331.533,377.3,62.6,75.5,110.8,360.25,48.367,60.817,53.55,181.8,141.667,103.617,34.567,227.85,287.233,284.783,86.3,72.183,35.767,132.617,215,284.017,90.233,144.517,360.483,378.467,150.45,288.35,68,297.05,236.317,328.05,212.767,281.35,59.967,98.283,111.333,253.283,54.2,204.767,278.483,256.983,79.283,33.083,292.817,227.567,314.7,97.833,43.783,117.417,370.9,164.817,102.367,168.083,380.583,338.6,98.033,83.533,377.567,137.767,185.017,217.167,146.317,133.033
"Giles",89.583,62.45,187.967,48.8,226.283,169.7,138.283,102.733,160.583,230.367,99.167,140.967,285.433,175.533,256.833,101.983,224.683,162.4,199.483,195.017,137.417,90.967,200.817,181.583,200.883,63.083,177.217,0,258.267,278.667,116.767,261.967,307.733,169.867,150.067,90.833,290.683,182.6,140.967,176.733,112.25,83.467,121.35,164.317,149.25,205.117,215.233,236.1,210.45,155.167,71.4,61.933,209.1,200.75,83.883,290.917,308.9,51.183,187.8,134.417,195.017,166.75,258.483,62.083,211.783,216.95,235.833,98.65,183.717,226.767,135.2,177.917,187.417,143.533,205.65,215.1,127,245.133,232.683,147.983,155.517,301.333,104.183,236.5,107.45,311.017,269.05,172.6,190.4,308,55.383,18.133,147.6,63.083,283.117
"Grainger",214.617,245.617,137.2,257.933,72.25,119.15,138.2,197.767,306.267,43.1,222.667,330.283,42.817,170.967,58.517,198.767,361.483,109.567,174.65,102.65,161.167,236.65,346.517,348.567,155.233,213.367,322.9,257.95,0,67.467,211.717,36.033,96.55,315.55,349.45,334.133,45.733,328.283,330.283,322.417,158.917,331.2,267.033,308.517,179.517,91.417,45.617,381.783,356.133,300.85,276.917,236.55,80.233,364.083,199.817,98.333,79.133,235.983,98.467,339.35,102.65,158.583,102.783,231.433,104.75,362.633,372.15,282.867,175.55,360.133,132.85,126.3,79.1,350.633,351.333,110.117,171.5,63.817,371.683,293.667,299.55,90.133,200.55,372.817,202.95,99.817,56.483,371.983,357.383,96.8,303.1,272.3,144.85,213.367,423.25
"Greene",236.867,267.867,159.45,280.183,94.5,141.383,160.45,220.017,328.517,60.317,244.917,352.517,76.5,193.217,44.833,221.017,383.717,131.817,196.383,124.9,183.417,258.9,368.75,370.817,176.967,235.617,345.15,280.2,68.717,0,233.967,40.733,64.767,337.8,371.683,356.383,48.667,350.533,352.517,344.667,181.167,353.433,289.283,330.767,201.767,113.667,67.85,404.033,378.383,323.1,299.167,258.783,102.483,386.333,222.05,132.017,65.917,258.217,120.7,361.6,124.9,180.833,124.517,253.667,126.983,384.867,394.383,305.117,197.8,382.367,155.1,148.55,101.35,372.867,373.583,132.367,193.75,66.6,393.933,315.917,321.8,58.367,222.783,395.05,225.2,62.3,100.817,394.233,379.633,37.4,325.35,294.55,167.1,235.617,445.5
"Grundy",58.583,97.2,126.45,102.95,181.617,108.183,91.75,67.3,197.817,184.933,122.2,221.833,240,134.95,211.4,42.733,261.917,117.033,155.3,108.433,86,128.2,238.067,240.117,158.183,100.833,214.45,117.1,212.817,233.217,0,216.533,262.3,207.1,241,203.083,245.25,219.833,221.833,213.967,117.35,195.733,158.583,200.067,81.65,143,169.783,273.333,247.683,192.4,156.35,79.75,149.25,255.633,103.283,245.483,263.467,115.4,126.4,230.9,108.433,122.567,215.617,77.917,168.933,254.183,263.7,174.417,139.533,259.85,94.167,88.183,144.567,242.167,242.883,125.367,40.85,199.7,263.233,185.217,192.75,255.9,116.55,264.367,118.967,265.583,223.6,263.533,248.933,262.55,167.633,130.4,76.667,100.833,314.8
"Hamblen",217.267,248.267,139.85,260.583,74.9,121.8,140.85,200.417,308.917,40.717,225.317,332.917,45.45,173.617,34.883,201.417,364.117,112.217,176.783,105.3,163.817,239.3,349.15,351.217,157.367,216.017,325.55,260.6,37.683,40.317,214.367,0,69.4,318.2,352.083,336.783,41.15,330.933,332.917,325.067,161.567,333.833,269.683,311.167,182.167,94.067,48.25,384.433,358.783,303.5,279.567,239.2,82.883,366.733,202.45,100.967,74.55,238.633,101.1,342,105.3,161.233,104.917,234.067,107.383,365.283,374.8,285.517,178.2,362.767,135.5,128.95,81.75,353.267,353.983,112.767,174.15,47,374.333,296.317,302.2,62.983,203.2,375.467,205.6,72.667,69.767,374.633,360.033,69.65,305.75,274.95,147.5,216.017,425.9
"Hamilton",265.467,296.467,188.033,308.767,123.083,169.983,189.05,248.617,357.1,88.917,273.517,381.117,105.1,221.817,83.083,249.617,412.317,160.417,224.983,153.483,212.017,287.483,397.35,399.417,205.567,264.2,373.733,308.783,97.317,65.7,262.567,69.333,0,366.383,400.283,384.983,66.05,379.117,381.117,373.25,209.767,382.033,317.883,359.35,230.367,142.25,96.45,432.633,406.983,351.683,327.767,287.383,131.083,414.933,250.65,160.6,42.133,286.817,149.3,390.183,153.483,209.433,153.117,282.267,155.583,413.467,422.983,333.717,226.4,410.967,183.7,177.133,129.95,401.467,402.167,160.967,222.333,95.2,422.533,344.5,350.4,8.7,251.383,423.65,253.8,35.783,129.417,422.817,408.233,33.583,353.95,323.15,195.7,264.2,474.083
"Hancock",185.2,172.75,277.1,183.767,284.433,258.85,196.433,172.35,79.667,288.517,127.483,110.567,343.567,233.667,314.983,169.35,74.55,220.533,257.617,285.633,197.65,103.05,73.183,131.1,259.017,134.9,64.867,168.617,316.4,336.8,207.533,320.1,365.883,0,131.883,123,348.817,110.317,110.567,13.367,170.383,129.65,65.267,89.783,216.433,275.817,273.367,108.783,134.133,81.35,121.2,203.567,272.6,146.617,133.167,349.067,367.033,139.033,276.933,119.633,285.633,224.883,316.617,201.35,269.933,86.85,154.667,100.6,241.85,82.1,193.35,267.067,245.55,130.917,69.75,281.4,216.15,303.283,154.217,65.35,58.7,359.483,153.45,155.333,156.733,369.15,327.183,154.417,139.917,366.133,125.75,173,205.733,134.9,179.033
"Hardeman",219.4,210.517,311.317,193.517,318.633,293.05,230.633,206.55,60.45,322.717,169.917,37.083,377.783,267.883,349.183,203.55,133.85,254.75,291.833,319.833,231.85,138.683,98.8,31.5,293.233,169.117,75.183,149.55,350.617,371.017,241.75,354.317,400.083,129.883,0,60.083,383.033,52.6,37.083,120.833,204.6,97.083,125.3,43.65,250.633,310.033,307.583,134.5,78.9,51.55,133.717,206.667,306.8,50.667,167.3,383.267,401.25,166.5,311.133,34.933,319.833,259.1,350.833,206.8,304.133,115.35,85.75,110.817,276.067,124.733,227.55,301.267,279.767,25.667,103.617,315.6,250.35,337.483,85.583,78.817,160.75,393.683,187.6,86.417,190.867,403.367,361.4,22.533,40.333,400.35,97.217,144.45,239.95,169.117,137.133
"Hardin",175.05,151.267,273.433,134.267,303.233,255.167,215.217,181.433,90.533,307.317,154.517,52.9,362.367,252.467,333.767,178.433,161.233,239.333,276.417,280.483,216.117,123.267,130.783,91.75,277.817,139.367,107.167,90.3,335.2,355.6,202.233,338.9,384.683,124.583,60.233,0,367.617,112.833,52.9,113.283,189.183,37.817,109.883,79.067,227.95,290.567,292.167,166.05,139.133,86.967,74.45,147.4,291.4,110.917,151.9,367.867,385.833,107.25,273.25,44.567,280.483,243.683,335.417,147.533,288.733,146.9,146,68.183,260.65,156.717,212.15,263.383,264.35,53.7,135.6,300.567,212.467,322.083,145.817,80.95,145.333,378.283,172.183,146.667,175.45,387.95,345.983,82.767,100.567,384.933,37.95,85.2,224.533,139.367,195.75
"Hawkins",246.717,277.733,169.3,290.033,104.35,151.25,170.317,229.867,338.367,70.183,254.783,362.383,54.517,203.067,64.35,230.867,393.583,141.683,206.233,134.75,193.283,268.75,378.617,380.667,186.817,245.467,355,290.05,46.733,48.467,243.817,41.633,63.233,347.65,381.55,366.25,0,360.383,362.383,354.517,191.017,363.3,299.15,340.617,211.617,123.517,77.717,413.883,388.233,332.95,309.033,268.65,112.35,396.2,231.917,110.033,36.75,268.083,130.567,371.45,134.75,190.7,134.383,263.533,136.85,394.733,404.25,314.983,207.667,392.233,164.967,158.4,111.2,382.733,383.433,142.233,203.6,76.467,403.8,325.767,331.667,56.833,232.65,404.917,235.05,66.2,78.833,404.083,389.5,63.183,335.217,304.4,176.967,245.467,455.35
"Haywood",198.983,186.517,290.883,197.55,298.217,272.633,210.2,186.133,39.35,302.3,149.5,64.717,357.35,247.45,328.75,183.133,89.5,234.317,271.4,299.4,211.417,118.25,61.417,40.633,272.8,148.683,49.083,182.4,330.183,350.583,221.317,333.883,379.667,109.933,53.933,114.033,362.6,0,64.717,100.883,184.167,144.033,104.867,38.467,230.2,289.6,287.15,83.683,30.267,38.133,134.983,217.35,286.383,55.933,146.883,362.85,380.817,152.817,290.717,71.9,299.4,238.667,330.4,215.117,283.717,64.533,63.983,113.7,255.633,73.533,207.133,280.85,259.333,79.6,66.833,295.167,229.933,317.067,63.533,58.4,140.317,373.267,167.167,54.167,170.433,382.933,340.967,71.717,49.467,379.917,140.133,187.367,219.517,148.683,115.083
"Henderson",200.017,187.55,291.917,185.15,299.25,273.65,211.233,187.15,44.533,303.333,150.517,0,358.383,248.483,329.783,184.15,117.917,235.35,272.433,300.433,212.45,119.283,82.867,57.283,273.833,149.717,59.267,141.183,331.217,351.617,222.35,334.917,380.7,108.783,37.15,57.267,363.633,65.267,0,99.733,185.2,92.733,105.9,27.717,231.233,290.633,288.183,118.783,93.133,35.617,107.533,198.283,287.4,76.45,147.9,363.883,381.85,154.267,291.75,14.467,300.433,239.7,331.433,198.417,284.733,99.617,109.133,80.5,256.667,108.8,208.167,281.867,260.367,25.733,87.7,296.2,230.95,318.1,108.683,62.9,141.35,374.283,168.2,109.8,171.467,383.967,342,59.683,66.117,380.95,88.833,136.083,220.55,149.717,160.25
"Henry",193.417,180.95,285.317,191.983,292.65,267.067,204.633,180.567,68.767,296.733,136.467,99.667,351.783,241.883,323.183,177.567,65.833,228.75,265.833,293.833,205.85,111.267,62.283,120.2,267.233,143.117,53.967,176.833,324.617,345.017,215.75,328.317,374.1,12.883,120.983,114.617,357.033,99.417,99.667,0,178.6,137.867,73.483,78.883,224.633,284.033,281.583,100.067,123.233,70.45,129.417,211.783,280.817,135.717,142.15,357.283,375.25,147.25,285.15,108.733,293.833,233.1,324.833,209.55,278.15,78.133,143.767,108.817,250.067,73.383,201.567,275.283,253.767,120.017,58.85,289.6,224.367,311.5,143.317,54.45,67.7,367.7,162.45,144.433,165.717,377.367,335.4,143.517,129.017,374.35,133.967,181.2,213.95,143.117,170.317
"Hickman",94.15,101.333,171.167,113.633,126.05,157.517,38.033,49.733,161.967,130.133,78.383,185.983,185.183,75.283,156.583,78.3,217.183,62.15,99.233,127.233,32.45,92.35,202.217,204.267,100.633,69.067,178.6,113.65,158.017,178.417,118.05,161.717,207.5,171.25,205.15,189.85,190.433,183.983,185.983,178.117,0,186.9,122.75,164.217,53.233,117.433,114.983,237.483,211.833,156.55,132.633,143.833,114.217,219.8,55.517,190.683,208.65,91.683,132.433,195.05,127.233,66.5,158.233,113.35,111.55,218.333,227.85,138.583,83.467,215.833,34.967,122.6,87.167,206.333,207.033,123,125.1,144.9,227.4,149.367,155.267,201.1,56.25,228.517,58.667,210.767,168.8,227.683,213.1,207.75,158.817,128.017,47.35,69.067,278.95
"Houston",167.45,143.667,265.833,126.667,297.4,247.567,209.383,173.833,121.567,301.483,158.467,91.583,356.533,246.633,327.933,170.833,184.783,233.5,270.583,272.883,208.517,127.217,161.817,128.15,271.983,131.767,138.2,82.7,329.367,349.767,194.633,333.067,378.85,128.533,96.633,37.4,361.783,143.583,91.583,137.45,183.35,0,113.85,114.917,220.367,282.983,286.333,197.083,171.433,116.15,67.367,139.8,285.55,147.317,154.983,362.033,380,99.65,265.667,80.983,272.883,237.85,329.583,139.95,282.883,177.933,182.4,62.783,254.817,187.75,206.317,255.783,258.517,90.1,166.633,292.967,204.867,316.25,182.233,108.083,149.283,372.433,175.283,183.067,178.55,382.117,340.15,119.183,136.983,379.1,28.367,77.6,218.7,131.767,232.167
"Humphreys",136.3,123.85,228.217,134.867,235.533,209.95,147.533,123.45,79.317,239.617,90.233,103.333,294.683,184.767,266.083,120.45,129.667,171.633,208.733,236.733,148.75,42.7,119.567,121.617,210.117,86,95.95,119.717,267.5,287.9,158.633,271.217,316.983,65.067,122.5,107.2,299.933,101.333,103.333,73.983,121.483,113.85,0,81.567,167.533,226.917,224.467,154.833,129.183,73.9,76.35,154.667,223.7,137.15,84.2,300.167,318.15,93.4,228.033,112.4,236.733,175.983,267.717,152.45,221.033,135.683,145.2,55.05,192.967,137.217,144.45,218.167,196.667,123.683,121.633,232.5,167.25,254.383,144.75,66.717,37.433,310.583,104.483,145.867,107.767,320.267,278.283,145.033,130.45,317.233,95.117,134.067,156.833,86,196.3
"Jackson",176.65,164.2,268.55,175.217,275.883,250.3,187.883,163.8,16.25,279.967,127.167,28.383,335.017,225.117,306.433,160.8,89.65,211.983,249.067,277.083,189.1,95.917,54.6,57.283,250.467,126.35,30.983,164.967,307.85,328.25,198.983,311.55,357.333,85.683,43.05,78.367,340.267,37,28.383,76.617,161.833,115.35,82.55,0,207.883,267.267,264.817,90.5,64.85,9.7,112.65,195.017,264.05,72.8,124.55,340.517,358.483,130.483,268.383,35.567,277.083,216.333,308.067,192.8,261.383,71.35,80.867,91.367,233.3,80.533,184.8,258.517,237,46.833,59.417,272.85,207.6,294.733,80.4,36.067,117.983,350.933,144.833,81.533,148.1,360.6,318.633,65.6,66.1,357.583,112.633,159.867,197.183,126.35,131.967
"Jefferson",83.1,123.283,160.883,133.65,147.583,142.633,56.333,47.85,207.333,151.667,123.75,231.35,206.733,96.833,178.133,67.25,262.55,83.7,120.783,136.45,21.6,137.717,247.583,249.633,122.183,114.433,223.967,150.183,179.567,199.967,82.033,183.267,229.033,216.617,250.517,230.8,211.983,229.35,231.35,223.483,52.967,223.433,168.117,209.583,0,138.983,136.533,282.85,257.2,201.917,169.167,134.083,135.75,265.167,100.883,212.217,230.2,128.217,154.4,240.417,136.45,88.05,179.783,106.483,133.083,263.7,273.217,183.95,105.017,261.2,56.5,116.2,108.717,251.7,252.4,144.55,115.333,166.433,272.767,194.733,200.633,222.633,101.617,273.883,104.017,232.317,190.35,273.05,258.467,229.3,195.35,164.55,47.95,114.433,324.317
"Johnson",146.567,185.167,69.133,191.7,61,51.083,98.417,157.967,266.467,64.333,182.883,290.483,119.383,131.167,90.783,130.7,321.683,69.783,135.367,34.583,121.383,196.85,306.717,308.767,118.717,173.567,283.1,205.85,92.217,112.617,144.2,95.917,141.7,275.75,309.65,291.833,124.633,288.483,290.483,282.617,119.117,284.467,227.25,268.717,139.717,0,49.183,341.983,316.333,261.05,237.133,168.483,28.65,324.3,160.017,124.883,142.85,196.183,30.4,299.55,34.583,118.8,103.517,163.367,69.4,322.833,332.35,243.083,135.767,320.333,93.067,58.783,30.9,310.833,311.533,34.633,103.433,79.1,331.9,253.867,259.767,135.283,160.75,333.017,163.15,144.967,103,332.183,317.6,141.95,256.383,219.133,105.067,173.567,383.45
"Knox",173.333,204.333,95.917,216.65,30.967,77.867,96.917,156.483,264.983,20.15,181.383,289,77.633,129.683,46.617,157.483,320.2,68.283,133.417,61.367,119.883,195.367,305.233,307.283,114,172.083,281.617,216.667,48.033,68.45,170.433,51.75,97.517,274.267,308.167,292.85,80.467,287,289,281.133,117.633,289.917,225.75,267.233,138.233,50.133,0,340.5,314.85,259.567,235.633,195.267,38.95,322.8,158.533,82.917,98.683,194.7,57.183,298.067,61.367,117.3,61.55,190.15,63.467,321.35,330.867,241.583,134.267,318.85,91.567,85.017,37.817,309.35,310.05,68.833,130.217,34.917,330.4,252.383,258.267,91.117,159.267,331.533,161.667,100.8,61.233,330.7,316.1,97.767,261.817,231.017,103.567,172.083,381.967
"Lake",252.417,239.967,344.333,250.983,349.3,326.067,261.283,239.567,92.783,353.383,186.083,117.817,408.433,300.567,379.833,236.567,57.767,285.4,319.917,350.483,262.5,171.683,69.367,123.083,323.883,202.117,86.65,235.833,381.267,401.667,274.767,384.967,430.75,109.6,132.5,167.817,413.683,83.267,117.817,101.183,235.25,197.467,162.883,91.567,281.283,340.683,338.233,0,69,91.567,188.417,270.8,337.467,138.383,191.767,396.433,431.9,206.25,344.15,125,350.483,289.75,381.483,268.567,334.8,36.217,129.1,167.133,306.717,42.183,258.217,334.283,310.417,136.283,65.25,346.25,283.367,368.15,118.95,111.833,155.083,424.35,212.067,105.567,215.333,434.017,392.05,154.167,131.917,431,193.567,240.817,270.6,202.117,103.1
"Lauderdale",228.3,215.833,320.2,226.867,327.533,301.933,239.517,215.433,68.65,331.617,178.8,93.7,386.667,276.767,358.067,212.433,77.783,263.633,300.717,328.717,240.733,147.567,65.567,68.267,302.117,178,72.233,211.717,359.5,379.9,250.633,363.2,408.983,133.083,81.55,141.65,391.917,32.717,93.7,124.033,213.483,173.35,134.183,67.433,259.517,318.917,316.467,68.2,0,67.45,164.3,246.667,315.683,79.433,176.183,392.167,410.133,182.117,320.033,100.883,328.717,267.983,359.717,244.433,313.017,52.8,67.583,143.017,284.95,61.8,236.45,310.15,288.65,107.233,69.767,324.483,259.233,346.383,82.283,87.717,169.633,402.567,196.483,44.05,199.75,412.25,370.283,99.35,71.5,409.233,169.45,216.683,248.833,178,115.45
"Lawrence",170.117,157.667,262.033,168.7,269.35,243.767,181.35,157.267,16.75,273.433,120.633,35.617,328.5,218.6,299.9,154.267,92.633,205.467,242.55,270.55,182.567,89.4,57.583,59.633,243.95,119.833,33.967,153.533,301.333,321.733,192.467,305.033,350.8,81.067,50.3,85.617,333.75,39.35,35.617,72,155.317,115.167,76.017,7.95,201.35,260.75,258.3,92.85,67.2,0,106.133,188.5,257.517,75.15,118.017,333.983,351.967,123.95,261.867,42.8,270.55,209.817,301.55,186.267,254.85,73.7,83.217,84.833,226.783,83.517,178.267,251.983,230.483,54.083,62.4,266.317,201.067,288.2,82.75,29.55,111.467,344.4,138.317,83.883,141.583,354.083,312.117,72.833,68.45,351.067,111.283,158.517,190.667,119.833,134.317
"Lewis",133.767,100.1,225.667,111.467,244.467,207.417,156.467,120.917,112.05,248.55,112.133,107.8,303.617,193.7,275.017,117.917,176.15,180.567,217.667,232.717,155.583,80.15,152.3,154.35,219.05,80.083,128.683,69.417,276.433,296.833,156.1,280.15,325.917,121.333,138.917,76.217,308.867,134.067,107.8,128.2,130.417,68.45,76.333,114.3,167.433,235.85,233.4,187.567,161.917,106.633,0,126.517,232.633,169.883,102.067,309.1,327.083,46.717,225.5,116.867,232.717,184.917,276.65,133.617,229.967,168.417,177.933,27.483,201.9,178.233,153.383,215.633,205.6,128.133,157.117,241.433,164.717,263.317,177.483,99.45,111.783,319.517,122.35,178.6,125.617,329.2,287.217,161.45,163.183,326.167,41.883,64.317,165.767,80.083,229.033
"Lincoln",67.033,63.117,150.117,48.8,203.6,131.85,147.183,104.517,192.4,206.933,130.983,196.55,261.983,190.383,233.383,70.233,256.5,172.467,210.733,157.167,133.367,122.783,232.633,237.15,213.617,94.9,209.033,60.417,234.817,255.217,78.917,238.517,284.3,201.683,205.633,146.4,267.233,214.417,196.55,208.55,140.7,139.033,153.167,194.65,132.483,167.25,191.783,267.917,242.267,186.983,131.75,0,171.25,245.367,115.7,267.483,285.45,86.117,149.933,189.983,157.167,178,246.117,39.533,224.367,248.767,264.05,154.233,194.967,258.583,149.6,140.067,190.183,199.1,237.467,177.25,89.15,221.7,260.9,179.8,187.333,277.9,136,258.95,139.267,287.567,245.6,218.867,245.967,284.55,110.95,73.7,132.1,94.9,311.333
"Loudon",151.617,190.217,74.183,196.75,43.667,56.133,94.417,153.983,262.483,52.05,178.883,286.483,107.117,127.183,78.517,135.767,317.683,65.783,131.367,39.633,117.383,192.867,302.717,304.783,114.717,169.583,279.117,210.9,79.95,100.35,148.717,83.65,129.417,271.767,305.65,290.35,112.367,284.5,286.483,278.633,115.133,287.4,223.25,264.733,135.733,28.417,36.917,338,312.35,257.067,233.133,173.533,0,320.3,156.017,112.6,130.583,192.183,35.45,295.567,39.633,114.8,91.25,168.417,65.4,318.833,328.35,239.083,131.767,316.333,89.067,63.283,35.317,306.833,307.55,47.117,108.5,66.817,327.9,249.883,255.767,123.017,156.75,329.017,159.167,132.7,90.733,328.2,313.6,129.683,259.317,224.183,101.067,169.583,379.467
"Macon",233.267,220.817,325.183,231.833,332.5,306.917,244.5,220.417,73.633,336.583,183.783,77.533,391.65,281.733,363.05,217.417,143.233,268.617,305.7,333.7,245.717,152.533,111.983,19.567,307.1,182.967,88.367,200.667,364.467,384.883,255.617,368.183,413.95,143.067,51.1,111.2,396.9,55.5,77.533,134,218.45,148.183,139.167,72.75,264.5,323.883,321.433,137.417,76.5,72.417,169.267,247.333,320.667,0,181.167,397.133,415.117,187.1,325,83.783,333.7,272.967,364.683,257.917,318,118.25,47.15,151.283,289.933,127.25,241.417,315.133,293.633,76.783,116.8,329.467,264.217,351.35,47.617,92.683,174.6,407.55,201.45,47.817,204.733,417.233,375.25,47.517,15.383,414.2,148.333,195.567,253.817,182.967,99.167
"Madison",83.05,88.55,174.967,99.717,170.6,156.7,82.6,70.2,124.733,174.683,33.533,148.75,229.733,119.833,201.15,67.2,173.017,106.7,143.783,171.8,83.8,55.117,164.983,167.033,145.183,37.417,141.367,84.567,202.567,222.967,105.383,206.267,252.05,131.717,167.917,152.617,234.983,146.75,148.75,139.983,56.55,157.817,85.517,126.983,102.583,161.983,159.533,192.833,174.6,119.317,103.55,119.533,158.767,182.567,0,235.233,253.2,62.6,174.783,157.817,171.8,111.05,202.783,102.25,156.1,173.683,190.617,101.35,128.017,171.667,79.517,164.917,131.717,169.1,169.8,167.55,114,189.45,190.167,112.133,111.083,245.65,30,191.283,33.267,255.317,213.35,190.45,175.867,252.3,129.733,98.917,91.9,37.417,241.717
"Marion",247.65,278.65,170.217,290.95,107.65,152.167,171.233,230.8,339.283,96.333,255.7,363.3,57.167,184.067,122.8,231.8,377.583,142.6,145.583,135.667,194.2,269.667,379.533,381.6,126.167,246.383,355.917,290.967,98.083,132.033,244.75,100.6,161.117,354.017,382.467,367.167,110.3,361.3,363.3,362.283,191.95,364.217,300.067,341.533,212.55,124.433,82.733,397.417,389.167,333.867,309.95,269.567,113.267,397.117,232.833,0,143.7,269,131.483,372.367,135.667,168.333,73.717,264.45,119.25,378.25,405.167,315.9,159.033,376.233,165.883,159.317,112.133,383.65,384.35,143.15,204.517,111.1,404.717,326.683,332.583,154.717,233.567,405.833,236.683,164.383,83.933,405,390.417,161.367,336.133,305.333,177.883,246.383,456.267
