"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Fayette",164.7,66.017,142.833,189.75,243.883,62.017,248.433,201.833,168.45,194.8,168.9,252.25,223.733,158.817,192.7,231.633,221.067,163.55,157.633,47.433,141.75,80.267,209.767,0,184.717,151.283,277.467,160.233,193.05,217.85,203.067,78.867,138.567,220.4,72.317,226.583,201.567,119.083,96.983,252.833,187.683,184.217,167.433,294.933,203.267,219.817,119.867,152.3,170.633,166.8,126.317,143.933,253.2,109.1,218.967,190.583,206.75,225,216.833,224.483,45.533,78.567,64.183,168.833,219.633,230.433,62.883,188.55,223.983,256.133,214.7,98.283,157.967,258.283,136.483,173.65,264.7,182.3,169.167,168.933,90.533,277.75,176.883,181.1,74.85,30.133,61.933,116.167
"Franklin",61.833,160.183,153.017,246.883,154.267,139.683,175.983,221.183,142.033,102.383,58.017,77.35,48.85,184.783,236.917,155.9,172.35,219.3,67.667,141.383,106.4,176.817,34.883,185.983,0,117.433,137.7,223.2,244.917,163.983,28.183,129.267,59.05,45.517,120.033,66.533,109.133,142.45,195.1,113.083,244.8,169.267,195.25,155.183,112.8,127.383,218.667,137.25,227.75,220,125.8,176.667,162.717,95.817,44.85,15.7,31.867,50.117,41.3,143.167,148.85,108.5,138.817,231.617,101.25,139.95,128.167,39.85,133.517,116.367,39.8,194,98.367,185.217,157.05,194.75,192.267,239.417,177.9,39.55,114.283,137.983,230.083,18.017,136.917,170.617,132.7,135.817
"Fulton",124.15,131.25,51.9,145.75,107.167,135.983,130.083,120.05,38.917,58.1,80.067,154.867,134.25,83.65,135.8,91.217,103.8,118.183,129.65,138.05,28.083,117.583,130.083,150.35,114.033,0,142.45,122.083,143.8,116.15,132.383,100.033,112.517,140.7,88.3,101.4,64.85,51.65,104.167,117.817,143.667,69.567,94.133,159.933,66.9,83.1,117.55,36.133,126.617,118.883,41.1,75.533,116.817,127.017,151.417,119.9,116.717,145.317,110.75,88.1,141.85,105.533,135.35,130.5,84.633,94.05,96.433,121.017,87.617,121.117,135,107,44.25,139.317,49.033,93.633,146.367,138.3,76.767,101.55,115.533,142.733,128.967,103.783,102.867,156.167,100.967,42.8
"Gallia",162.5,255.85,177.8,271.667,63.733,240.35,172.383,220.3,166.817,102.35,137.683,121.317,122.95,209.567,258.217,179.017,194.433,244.083,168.333,242.05,137.967,249,146.7,274.95,136.133,142.217,0,247.983,269.7,159.9,150.933,224.633,159.717,157.333,212.9,99.867,91.75,184.35,235.233,30,269.583,192.367,209.533,32.117,130.3,80.867,243.45,162.033,252.533,244.783,164.15,201.45,134.2,196.483,175.867,140.167,133.35,161.933,127.383,153.467,249.533,209.167,239.483,256.4,69.017,109.567,221.033,157.567,132.917,45.817,151.617,245.683,131.267,156.667,181.85,198.35,156.35,264.2,202.683,140.217,214.967,30.4,254.867,125.883,227.467,271.283,225.567,167.4
"Geauga",232.617,121.383,89.683,41.167,212.467,178.75,151.633,105.017,112.867,166.567,188.517,263.333,242.717,68.017,94.083,132.05,119.45,55.167,238.117,166.967,140.167,99.867,238.55,159.983,222.5,122.9,250.917,0,59.05,121.033,240.85,160.633,208.083,249.167,146.783,209.867,173.317,124.767,75.433,226.283,39.083,121.783,70.617,268.383,165,191.567,64.417,96.817,22.033,65.8,146.267,64.517,155.467,213.183,259.883,228.367,225.183,253.783,219.217,157.05,164.733,176.683,183.283,14.267,193.083,182.05,139.433,229.483,150.75,229.583,243.467,89.883,154.767,161.483,111.183,76.85,167.883,33.717,78.367,210.017,196.55,242.217,77.367,212.25,129.567,173.5,136.417,131.35
"Greene",252.65,157.317,109.717,33.1,219.283,212.067,135.1,99.667,132.9,186.6,208.567,283.383,262.75,82.317,45.3,138.867,126.267,42.917,258.15,200.283,160.2,137.967,258.583,193.3,242.533,142.95,270.95,57.633,0,127.85,260.883,193.95,228.117,269.217,180.117,229.9,193.35,144.817,113.517,246.317,24.95,136.083,77.917,288.433,171.817,211.6,104.483,116.85,40.983,38.617,166.3,88.4,162.283,233.217,279.917,248.4,245.217,273.817,239.25,163.867,198.05,206.583,216.617,49.3,213.133,188.867,172.75,249.517,157.567,249.617,263.5,127.967,174.8,165.45,131.217,83.667,174.217,32.017,92.667,230.05,216.6,249.033,28.2,232.283,162.9,206.833,169.733,151.383
"Guernsey",172.2,183.317,107.133,144.983,105.683,229.183,44.85,75.683,98.133,86.417,133.617,198.283,177.667,77.917,113.617,29.867,45.017,113.233,177.7,233.233,114.517,163.967,173.5,219.3,162.083,115.583,157.167,121.3,129.683,0,177.717,195.217,169.417,184.117,183.483,144.817,94.4,138.933,139.517,144.75,142.9,80.183,64.933,180.983,58.233,104.75,130.483,109.333,125.85,108.117,145.433,93.25,48.683,189.583,199.467,166.967,160.133,188.733,154.167,51.967,224.05,200.717,230.533,129.717,116.733,75.283,191.617,169.067,43.967,148.4,178.417,153.967,115.983,54.7,125.35,53.75,61.117,137.517,64.833,149.6,208.05,135.433,118.4,151.833,188.883,232.833,196.15,147.117
"Hamilton",81.517,177.383,170.217,264.083,162.033,156.883,188.55,236.95,159.233,112.95,75.217,73.633,45.133,201.983,254.117,174.267,190.717,236.5,74.9,158.583,123.6,194.017,12.533,203.2,29.7,134.633,150.883,240.4,262.117,176.55,0,146.467,76.25,35.95,137.233,74.7,119.717,159.65,212.3,126.267,262,187.633,212.45,167.35,125.367,137.967,235.867,154.45,244.95,237.2,143,193.867,175.283,113.017,24.783,22.25,28.15,27.417,43.383,155.733,166.067,125.7,156.017,248.817,114.433,152.517,145.367,39.633,146.083,129.567,17.117,211.2,115.567,197.783,174.267,211.95,204.833,256.617,195.1,56.75,131.483,151.183,247.283,35.217,154.117,187.817,149.9,153.017
"Hancock",107.833,64.117,108.533,190.9,192.05,53.8,214.633,177.55,116.6,142.967,116.683,194.433,165.917,142.167,194.317,179.783,166.067,164.7,118.033,47.183,89.9,80.75,151.95,77.55,126.9,99.45,225.617,161.367,194.2,192.883,145.25,0,80.75,162.583,16.3,168.767,149.717,67.25,99.033,201,188.817,129.783,152.633,243.1,151.433,167.967,121.017,100.467,171.767,167.95,74.483,134.05,201.367,85.85,162.367,132.767,148.933,167.183,159.017,172.65,50.983,28.083,63.467,169.983,167.8,178.6,29.4,131.967,172.15,204.3,156.883,97.933,106.133,223.867,92.783,151.117,230.917,183.45,134.267,111.117,73.467,225.917,178.033,123.267,37.967,70.2,36.283,64.333
"Hardin",32.317,113.033,136.583,232.317,157.883,92.533,182.417,205.6,139.433,108.817,48.517,124.267,95.767,170.217,222.367,155.617,172.083,204.733,40.35,94.25,89.6,129.667,81.8,138.85,56.75,114.817,160.617,208.633,230.35,170.417,75.1,82.117,0,92.417,72.883,98.6,115.567,95.3,147.95,136,230.233,157.817,180.683,178.1,119.217,133.817,169.933,128.517,213.183,205.433,100.15,162.1,169.15,48.667,92.217,62.617,78.783,97.033,88.867,146.6,101.717,61.35,91.667,217.05,124.167,146.383,81.017,61.8,139.933,139.3,86.717,146.85,77.6,191.65,120.833,179.167,198.7,224.85,162.317,40.967,67.15,160.917,215.533,53.117,89.783,123.467,85.55,92.383
