"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Schuyler",136.294,399.526,367.321,107.115,400.686,157.286,440.804,238.91,161.587,31.222,19.636,151.274,199.898,258.885,331.081,293.086,252.649,128.671,385.344,125.533,63.81,9.167,103.644,135.153,64.584,199.411,55.476,296.335,284.696,157.57,378.464,350.697,55.562,109.973,200.364,252.038,175.56,146.613,50.334,228.677,383.776,139.607,227.319,157.749,148.282,109.514,89.284,0,189.44,214.867,47.24,481.937,72.786,212.323,156.44,227.523,33.011,260.197,227.557,371.288,278.935,306.707
"Seneca",322.041,167.961,452.927,292.862,219.651,46.686,267.495,112.88,158.638,166.622,208.127,152.625,265.74,444.632,165.272,417.775,411.928,104.033,153.779,153.354,167.192,197.263,298.784,320.9,188.938,385.158,165.546,377.689,355.898,343.317,443.638,184.888,142.256,111.324,56.813,68.911,227.494,108.744,238.825,414.424,469.382,325.354,45.87,269.296,334.029,295.261,275.031,188.575,0,298.644,183.627,567.543,138.793,124.273,238.265,413.27,221.502,445.944,44.027,456.894,94.509,140.898
"St. Lawrence",326.687,507.256,560.031,322.347,508.416,265.016,548.534,396.194,321.238,216.03,237.612,263.136,428.34,451.595,438.811,205.198,114.051,196.045,493.074,316.434,271.624,226.748,328.269,269.873,155.292,392.121,222.419,489.045,518.498,344.237,606.238,458.427,246.688,221.835,276.096,359.768,86.47,185.3,268.31,234.428,576.486,326.894,335.049,431.896,273.598,324.746,304.516,216.569,297.17,0,173.166,674.647,226.973,369.607,400.865,420.233,250.987,446.715,335.287,563.998,386.665,414.437
"Steuben",184.216,393.13,415.243,155.037,394.29,150.89,434.408,277.936,202.98,48.72,70.302,144.878,225.303,306.807,324.685,242.528,217.641,122.275,378.948,147.371,70.673,59.438,160.959,183.075,29.492,247.333,61.198,344.257,332.618,205.492,426.386,344.301,46.007,103.577,193.968,245.642,128.276,110.186,101,219.754,431.698,187.529,220.923,208.222,196.204,157.436,137.206,49.259,183.044,172.264,0,529.859,66.39,251.349,181.845,275.445,83.677,308.119,221.161,419.21,272.539,300.311
"Suffolk",352.425,677.851,121.596,352.823,729.541,540.135,777.385,475.773,410.211,512.696,485.345,469.254,294.191,228.208,724.028,567.525,603.711,566.591,663.669,416.224,441.377,474.481,369.382,421.863,546.058,275,450.757,191.678,233.264,320.118,124.536,779.038,533.099,511.206,626.583,549.489,657.913,584.533,416.549,503.116,104.889,351.97,627.697,300.965,422.721,374.783,370.654,482.157,566.149,674.891,528.714,0,550.323,449.186,348.119,277.195,452.286,231.309,553.493,112.591,658.582,735.048
"Sullivan",204.436,335.248,435.463,175.257,336.408,93.008,376.526,209.61,134.654,41.918,90.522,76.552,241.756,327.027,266.803,300.17,296.96,62.225,321.066,129.85,44.389,79.658,181.179,203.295,71.333,267.553,42.743,364.477,331.914,225.712,419.654,286.419,16.817,35.251,133.964,172.21,153.961,80.167,121.22,296.819,451.918,207.749,163.041,245.312,216.424,177.656,157.426,70.97,125.162,225.111,66.022,550.079,0,183.023,214.281,295.665,103.897,328.339,163.279,439.43,214.657,242.429
"Tioga",266.299,229.785,336.12,223.28,281.475,116.803,329.319,27.707,52.987,180.486,198.204,77.007,148.933,294.741,275.962,465.008,501.194,207.87,215.603,74.478,154.84,208.919,179.853,298.271,257.805,290.98,158.661,260.882,239.091,287.575,326.831,305.324,211.123,152.485,267.867,101.423,299.192,225.812,175.602,400.599,352.575,269.612,179.631,152.489,320.204,250.959,216.322,214.038,139.454,370.342,252.494,450.736,182.833,0,121.458,261.332,192.88,322.894,105.427,340.087,210.516,274.873
"Tompkins",189.849,348.766,239.01,117.758,400.456,211.05,448.3,146.688,81.126,141.821,141.173,140.169,50.892,193.047,394.943,388.558,424.744,237.506,334.584,74.807,114.034,151.888,92.828,221.821,197.762,175.132,123.414,159.188,137.397,211.125,250.153,449.953,145.935,182.121,297.498,220.404,328.828,255.448,99.152,324.149,255.465,193.162,298.612,50.795,243.754,174.509,139.872,157.007,237.064,399.978,180.123,353.626,212.469,120.101,0,153.335,135.849,221.2,224.408,242.977,329.497,405.963
"Ulster",98.993,488.996,164.729,99.391,540.686,381.391,588.53,286.918,221.356,259.264,231.913,280.399,129.17,34.826,555.186,314.093,350.279,352.776,474.814,201.075,296.107,221.049,112.541,168.431,292.626,33.275,286.632,93.743,82.104,99.671,175.872,574.802,279.667,334.078,424.469,360.634,444.512,370.718,177.891,249.684,181.184,98.538,451.424,111.996,169.289,121.351,117.222,228.725,413.545,421.459,275.282,279.345,296.891,260.331,159.15,0,198.854,49.11,364.638,168.696,503.04,530.812
"Warren",106.505,420.567,337.532,77.281,432.751,189.351,472.869,218.489,141.166,55.199,17.277,123.956,179.477,229.096,363.146,279.336,278.452,160.736,406.385,123.729,60.243,27.992,70.632,115.112,100.586,144.981,51.909,266.546,254.907,127.781,348.675,382.762,87.627,142.038,232.429,292.205,252.472,178.678,21.61,214.927,353.987,109.818,259.384,137.328,134.532,95.764,62.183,33.111,221.505,250.869,83.242,452.148,104.851,191.902,136.019,197.734,0,197.001,259.622,341.499,311,338.772
"Washington",127.11,549.017,123.517,118.204,600.707,411.131,648.551,346.939,281.377,289.004,261.653,340.42,165.243,24.831,584.926,336.217,372.403,382.516,534.835,287.276,251.656,250.789,146.3,190.555,322.366,53.343,243.322,90.003,75.687,98.461,138.131,604.542,309.407,363.818,454.209,420.655,474.252,400.458,196.704,271.808,135.624,127.317,481.164,172.017,191.413,151.091,136.035,258.465,443.285,443.583,305.022,233.025,326.631,320.352,219.171,47.516,191.412,0,424.659,122.418,532.78,560.552
"Wayne",360.158,144.779,439.303,326.463,196.469,84.803,244.313,78.938,156.17,204.739,246.244,101.103,252.116,397.924,190.956,455.892,450.045,142.15,130.597,130.418,205.309,235.38,283.036,359.017,227.055,423.275,203.663,364.065,342.274,381.434,430.014,220.318,180.373,149.441,100.916,22.471,265.611,146.861,278.785,452.541,455.758,363.471,76.781,255.672,372.146,333.378,319.505,226.692,44.027,336.761,221.744,553.919,176.91,90.331,224.641,364.515,259.619,426.077,0,443.27,125.51,185.001
"Westchester",242.435,567.861,13.863,242.833,619.551,430.145,667.395,365.783,300.221,402.706,375.355,359.264,184.201,118.992,614.038,457.535,493.721,456.601,553.679,306.234,331.387,364.491,259.392,311.873,436.068,165.784,340.767,81.688,123.274,210.902,31.623,669.048,423.109,401.216,516.593,439.499,547.923,474.543,306.559,393.126,14.838,241.98,517.707,190.975,312.731,264.793,260.664,372.167,456.159,564.901,418.724,113.346,440.333,339.196,238.129,167.205,342.296,122.093,443.503,0,548.592,625.058
"Wyoming",411.017,104.292,546.843,381.838,105.875,138.658,183.155,186.478,263.71,255.598,297.103,241.601,359.656,505.464,83.848,506.751,500.904,193.009,101.455,285.201,256.168,286.239,387.76,409.876,277.914,474.134,254.522,471.605,449.814,432.293,537.554,108.751,231.232,200.3,100.647,133.503,316.47,197.72,327.801,503.4,563.298,414.33,57.641,363.212,423.005,384.237,364.007,277.551,94.176,387.62,272.603,661.459,227.769,214.03,332.181,502.246,310.478,534.92,128.149,550.81,0,73.079
"Yates",439.039,155.31,622.014,409.86,151.365,166.68,191.483,248.849,327.725,283.62,325.125,269.623,434.827,561.63,81.76,534.773,528.926,188.251,169.539,322.921,284.19,314.261,415.782,437.898,305.936,502.156,282.544,546.776,524.985,460.315,612.725,69.685,259.254,228.322,109.596,195.874,344.492,192.962,355.823,531.422,638.469,442.352,133.149,438.383,451.027,412.259,392.029,305.573,141.018,415.642,300.625,736.63,255.791,276.401,407.352,530.268,338.5,562.942,185.13,625.981,72.028,0
