"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Essex",219.722,692.658,453.066,277.616,629.419,386.019,669.537,490.58,413.257,268.648,295.881,380.007,422.424,344.63,559.814,0,87.709,357.404,678.476,395.82,301.236,254.845,295.982,162.908,263.466,285.156,292.902,382.08,370.441,237.272,464.209,579.43,281.136,338.706,429.097,564.296,278.205,375.346,290.681,77.281,469.521,219.929,456.052,391.881,166.633,205.518,259.785,292.693,418.173,205.799,245.049,567.682,301.519,463.993,388.353,313.268,278.756,339.75,456.29,457.033,507.668,535.44
"Franklin",256.276,620.547,489.62,314.17,621.707,378.307,661.825,527.134,449.811,253.053,274.635,376.427,458.978,381.184,552.102,87.689,0,309.336,606.365,432.374,285.641,258.719,332.536,199.462,235.051,321.71,277.307,418.634,406.995,273.826,500.763,571.718,264.795,335.126,389.387,473.059,200.919,298.591,292.241,146.328,506.075,256.483,448.34,428.435,203.187,242.072,296.339,253.592,410.461,114.448,217.769,604.236,285.178,500.547,424.907,349.822,278.202,376.304,448.578,493.587,499.956,527.728
"Fulton",262.089,299.973,451.572,232.91,315.439,67.558,355.557,232.239,157.283,106.67,148.175,99.181,264.385,384.68,245.834,357.823,309.476,0,285.791,152.479,107.24,137.311,238.832,260.948,128.986,325.206,105.594,376.334,354.543,283.365,442.283,265.45,82.304,57.88,80.05,154.252,125.042,17.942,178.873,354.472,468.027,265.402,142.072,267.941,274.077,235.309,215.079,128.623,104.193,196.192,123.675,566.188,62.589,205.652,236.91,353.318,161.55,385.992,142.31,455.539,179.369,187.846
"Genesee",479.374,28.811,549.195,436.355,83.857,247.321,131.701,188.83,266.062,364.261,405.766,247.681,362.008,507.816,146.281,678.083,609.567,286.646,0,287.553,364.831,394.902,392.928,511.346,386.577,504.055,363.185,473.957,452.166,500.65,539.906,175.643,339.895,308.963,207.991,135.855,425.133,291.357,388.677,613.674,565.65,482.687,135.016,365.564,533.279,464.034,429.397,386.214,153.019,496.283,381.266,663.811,336.432,216.382,334.533,474.407,405.955,535.969,130.501,553.162,101.455,165.772
"Greene",197.61,302.434,306.883,154.591,354.124,127.3,401.968,100.356,23.387,102.588,113.14,56.419,115.112,260.92,346.587,396.319,351.553,153.756,288.252,0,72.387,124.472,111.164,229.582,150.427,222.291,81.767,227.061,205.27,218.886,310.4,366.203,104.288,98.371,213.748,174.072,245.078,171.698,106.913,331.91,323.338,200.923,252.28,101.181,251.515,182.27,147.633,129.206,153.031,316.228,146.144,421.499,128.719,73.769,74.804,201.402,124.191,289.073,130.549,310.85,283.165,322.213
"Hamilton",198.106,377.524,332.645,137.516,378.684,110.596,418.802,171.871,94.902,32.752,53.538,68.226,158.05,320.697,309.079,300.412,285.496,106.669,363.342,72.4,0,64.87,130.867,196.965,76.829,205.216,10.927,252.823,231.032,219.382,343.788,328.695,31.9,66.345,178.362,172.005,198.405,124.611,69.697,290.489,349.1,201.419,205.317,140.969,210.094,171.326,122.418,63.149,167.438,269.555,71.518,447.261,44.423,145.284,114.592,289.335,60.234,257.236,205.555,336.612,256.933,284.705
"Herkimer",128.719,407.373,359.746,99.54,408.533,165.133,448.651,233.907,156.584,38.838,14.633,159.121,194.895,251.31,338.928,285.511,258.831,136.518,393.191,139.147,65.026,0,105.462,127.578,76.368,191.836,56.692,288.76,277.121,149.995,370.889,358.544,63.409,117.82,208.211,259.885,228.254,154.46,45.331,221.102,376.201,132.032,235.166,152.746,140.707,101.939,81.709,9.155,197.287,226.651,59.024,474.362,80.633,207.32,151.437,219.948,28.008,252.622,235.404,363.713,286.782,314.554
"Jefferson",97.11,409.099,252.126,32.737,460.789,266.649,508.633,207.021,129.698,125.834,87.912,168.422,128.533,143.69,440.444,295.819,332.005,238.034,394.917,112.261,130.878,106.307,0,129.082,177.884,95.796,122.544,181.14,169.501,118.386,263.269,460.06,164.925,219.336,309.727,280.737,329.77,255.976,49.777,231.41,268.581,100.423,336.682,95.898,151.015,81.77,47.133,103.746,298.803,328.167,160.54,366.742,182.149,180.434,92.828,112.061,70.634,147.816,284.741,256.093,388.298,416.07
"Kings",73.497,525.724,306.841,110.682,531.68,288.28,571.798,323.646,246.323,166.153,138.802,282.268,284.634,198.405,462.075,163.411,199.597,259.665,511.542,228.886,202.996,127.938,129.048,0,199.515,138.931,193.521,235.855,224.216,91.047,317.984,481.691,186.556,240.967,331.358,397.362,351.401,277.607,126.534,99.002,323.296,73.704,358.313,224.947,28.63,54.359,92.851,135.614,320.434,270.777,148.67,421.457,203.78,297.059,221.419,167.043,114.609,193.525,358.551,310.808,409.929,437.701
"Lewis",199.877,399.058,430.904,170.698,400.218,156.818,440.336,283.864,208.908,49.898,85.963,150.806,241.245,322.468,330.613,247.91,215.773,128.203,384.876,150.827,76.601,75.099,176.62,198.736,0,262.994,67.126,359.918,348.279,221.153,442.047,350.229,51.935,109.505,199.896,251.57,110.396,107.404,116.661,240.123,447.359,203.19,226.851,224.164,211.865,173.097,152.867,64.92,188.972,155.295,29.542,545.52,67.12,257.277,197.787,291.106,99.338,323.78,227.089,434.871,278.467,306.239
"Livingston",69.64,518.715,166.268,67.668,570.405,352.038,618.249,316.637,239.314,229.911,202.56,278.038,157.001,55.948,525.833,284.74,320.926,323.423,504.533,221.877,201.12,191.696,95.764,139.078,263.273,0,192.786,121.574,109.935,49.472,180.882,545.449,250.314,304.725,395.116,390.353,415.159,341.365,146.168,220.331,178.375,69.185,422.071,139.827,139.936,91.998,85.499,199.372,384.192,392.106,245.929,275.776,267.538,290.05,175.144,33.429,140.876,54.827,422.309,165.169,473.687,501.459
"Madison",189.783,375.866,358.231,129.193,377.026,108.938,417.144,184.517,109.561,21.825,45.215,72.047,183.636,312.374,307.421,292.089,277.173,105.011,361.684,81.874,9.474,56.547,122.544,188.642,67.448,196.893,0,278.409,256.618,211.059,394.561,327.037,30.242,64.687,176.704,175.826,196.747,122.953,69.234,282.166,374.686,193.096,203.659,166.555,201.771,163.003,114.095,54.826,165.78,222.744,62.137,472.847,42.765,157.93,140.178,281.012,51.911,248.913,203.897,362.198,255.275,283.047
"Monroe",168.054,489.232,77.646,168.452,540.922,351.516,588.766,287.154,221.592,328.325,300.974,280.635,105.458,62.741,535.409,383.154,419.34,377.972,475.05,227.491,252.644,290.11,185.011,237.492,361.687,120.797,262.024,0,42.345,168.732,94.161,590.419,348.728,322.587,437.964,360.87,469.294,395.914,227.816,318.745,94.101,167.599,439.078,112.232,238.35,190.412,186.283,297.786,377.53,490.52,344.343,192.262,365.952,260.567,159.386,92.824,267.915,90.894,364.874,81.613,469.963,546.429
"Montgomery",151.873,466.605,116.324,152.271,518.295,328.889,566.139,264.527,198.965,312.144,284.793,258.008,82.831,45.576,512.782,366.973,403.159,355.345,452.423,204.864,230.017,273.929,168.83,221.311,345.506,104.616,239.397,46.961,0,152.551,127.467,567.792,332.547,299.96,415.337,338.243,446.667,373.287,205.189,302.564,132.779,151.418,416.451,89.605,222.169,174.231,170.102,281.605,354.903,474.339,328.162,230.94,330.308,237.94,136.759,76.643,251.734,73.729,342.247,120.291,447.336,523.802
"Nassau",26.739,515.008,211.366,99.966,553.35,309.95,593.468,312.93,235.607,187.823,160.472,274.331,212.724,107.394,483.745,235.846,272.032,281.335,500.826,218.17,224.666,149.608,118.332,90.184,221.185,47.331,215.191,172.38,160.741,0,254.509,503.361,208.226,262.637,353.028,386.646,373.071,299.277,142.461,171.437,223.473,26.946,379.983,195.55,91.042,49.91,82.135,157.284,342.104,343.212,203.841,320.874,225.45,286.343,210.703,103.568,127.413,99.925,380.221,210.267,431.599,459.371
"New York",253.051,555.676,19.14,253.449,607.366,417.96,655.21,353.598,288.036,413.322,385.971,347.079,200.202,138.249,601.853,468.151,504.337,444.416,541.494,311.024,347.388,375.107,270.008,322.489,446.684,185.041,395.207,98.505,133.89,253.729,0,656.863,433.725,389.031,504.408,427.314,535.738,462.358,322.56,403.742,23.403,252.596,505.522,206.976,323.347,275.409,271.28,382.783,443.974,606.888,429.34,124.376,419.379,327.011,254.13,177.821,352.912,141.35,431.318,25.616,536.407,612.873
"Niagara",483.368,145.769,666.343,454.189,114.611,211.009,154.729,285.922,372.054,327.949,369.454,313.952,479.156,605.959,31.882,579.102,573.255,265.36,175.974,367.25,328.519,358.59,460.111,482.227,350.265,546.485,326.873,591.105,569.314,504.644,657.054,0,303.583,272.651,174.947,232.947,388.821,270.071,400.152,575.751,682.798,486.681,173.634,482.712,495.356,456.588,436.358,349.902,185.347,459.971,344.954,780.959,300.12,313.474,451.681,574.597,382.829,607.271,227.593,670.31,109.101,69.398
"Oneida",187.086,349.918,418.113,157.907,351.078,107.678,391.196,234.724,159.768,26.728,73.172,101.666,189.828,309.677,281.473,281.136,265.594,79.063,335.736,104.178,31.777,62.308,163.829,185.945,51.407,250.203,30.269,347.127,335.488,208.362,429.256,301.089,0,60.365,150.756,202.43,170.799,97.005,103.87,279.469,434.568,190.399,177.711,172.747,199.074,160.306,140.076,53.62,139.832,241.949,46.988,532.729,16.817,208.137,146.37,278.315,86.547,310.989,177.949,422.08,229.327,257.099
"Onondaga",242.654,320.892,397.48,213.475,322.052,56.245,362.17,178.147,103.191,87.235,128.74,45.089,210.293,365.245,252.447,338.388,335.372,59.616,306.71,98.387,66.837,117.876,219.397,241.513,109.551,305.771,65.191,322.242,300.451,263.93,388.191,272.063,62.869,0,119.608,140.747,150.938,77.558,159.438,335.037,413.935,245.967,148.685,213.849,254.642,215.874,195.644,109.188,110.806,222.088,104.24,512.096,34.579,151.56,182.818,333.883,142.115,366.557,148.923,401.447,200.301,228.073
