"","Barbour","Berkeley","Boone","Braxton","Brooke","Cabell","Calhoun","Clay","Doddridge","Fayette","Gilmer","Grant","Greenbrier","Hampshire","Hancock","Hardy","Harrison","Jackson","Jefferson","Kanawha","Lewis","Lincoln","Logan","Marion","Marshall","Mason","McDowell","Mercer","Mineral","Mingo","Monongalia","Monroe","Morgan","Nicholas","Ohio","Pendleton","Pleasants","Pocahontas","Preston","Putnam","Raleigh","Randolph","Ritchie","Roane","Summers","Taylor","Tucker","Tyler","Upshur","Wayne","Webster","Wetzel","Wirt","Wood","Wyoming"
"Mercer",182.267,260.517,124.417,137.1,260,139.417,185.917,119.517,190.617,71.85,132.017,288.183,330.65,263.017,280.633,15.517,123.9,102.633,103.933,158,148.7,96.717,135.283,238,138.85,165.283,47.15,0,272.333,170.15,193.267,60.983,143.267,85.25,239.533,203.667,187.767,136.033,225.717,117.017,47.4,180.1,186.217,150.133,184.05,258.15,199.983,210.017,158.017,158.633,183.3,220.483,165.333,148.167,77.433
"Mineral",115.1,103.35,248.3,166.383,165.933,260.667,113.333,201.783,144.283,219.267,152.267,193.25,315.9,17.067,68.583,271.3,194.617,270.433,225.183,184.95,245.967,304.833,274.467,182.2,231.75,232.667,308.9,270.917,0,152.45,93.95,240.6,212.883,193.333,159.65,95.35,176.317,162.483,77.283,238.267,247.45,106.333,165.6,221.5,165.75,58.583,74.733,166.233,128.317,279.9,115.967,185.95,209.833,237.967,285.533
"Mingo",89.267,234.65,190.533,122.65,207.667,202.9,79.633,143.967,138.283,135.733,114.017,235.867,319.217,160.3,215.617,166.617,123.083,199.9,167.417,178.95,212.2,204.433,216.7,198.683,181.033,225.533,204.2,166.233,149.7,0,140.933,127.15,203.533,109.783,201.4,97.5,170.317,37.617,124.583,180.5,138.25,50.183,159.6,164.417,149.183,135.067,80.983,160.233,83.583,222.117,105.667,191.867,184.75,208.417,185.15
"Monongalia",66.417,139.95,169.1,87.183,82.1,181.467,74.533,122.583,65.083,140.067,73.067,110.283,361.8,87.583,105.2,192.1,115.417,191.233,145.983,105.75,166.767,225.633,195.267,97.333,152.55,153.467,229.7,191.717,94.967,138.967,0,215.033,133.683,114.133,75.833,167.55,97.117,176.583,53.267,159.067,168.25,89.867,86.4,142.3,86.55,130.967,90.933,87.033,67.783,200.7,48.467,101.1,130.633,158.767,206.333
"Monroe",201.6,215.117,162.933,156.433,279.333,177.933,205.3,158.367,209.95,111.033,151.35,307.517,285.233,251.767,241.833,55.183,143.233,141.15,142.45,196.517,187.233,145.683,178.483,270.333,177.367,203.817,103.817,59.367,237.367,125.65,212.6,0,181.8,105.1,273.05,153.267,226.283,91.533,250.233,155.533,79.5,175.833,218.633,187.133,203.383,207.75,206.633,231.883,177.35,197.167,202.633,263.517,203.85,186.683,126.4
"Morgan",130.717,256.4,90.067,128.117,144.85,102.45,138.133,98.483,73.933,127.017,125.45,175.5,410.817,204.033,221.633,143.017,108.833,112.217,66.95,40.217,51.267,159.417,116.233,118.633,42.65,40.517,180.617,142.633,211.4,204.85,134.267,184.567,0,128.083,120.183,230.267,67.133,202.75,166.717,75.183,118.167,154.7,65.583,60.667,87,237.967,172.617,89.383,132.6,121.667,124.317,101.133,50.483,43.267,157.25
"Nicholas",104.117,237.25,118.683,58.967,181.85,128.133,107.783,64.517,112.467,31.217,53.867,210.05,333.133,184.883,202.5,83.25,45.75,107.533,92.65,139.6,137.433,116.783,144.85,172.867,106.267,150.767,120.85,82.867,194.183,109.867,115.117,106.883,128.767,0,175.583,167.767,150.167,84.533,147.567,105.733,59.4,101.967,121.167,89.65,105.9,190.817,121.833,134.417,79.867,147.35,105.167,166.05,125.583,133.65,97.5
"Ohio",129.233,203.717,185.4,148.617,27.933,197.767,137.35,184.017,108.917,201.5,134.5,61.133,425.567,151.35,168.967,238.333,176.85,207.533,162.283,96.183,152.2,254.75,211.567,51.083,137.983,139.717,275.933,237.967,158.733,200.4,77.8,276.467,119.933,175.567,0,226.883,103.483,238.017,117.333,170.517,213.483,151.3,115.2,151.633,135.683,194.733,153.75,82.133,129.217,216.983,111.283,50.417,114.867,144.2,252.583
"Pendleton",114.667,145.767,233.683,151.767,233.067,246.067,105.017,187.167,163.683,192.617,137.65,261.25,254.65,107.133,158.65,206.867,180,234.133,210.567,204.333,255.35,238.667,259.85,224.067,223.517,252.05,238.45,200.467,92.733,98.217,166.083,151.667,232.283,166.833,226.783,0,195.717,83.9,132.017,223.65,172.483,75.567,185,206.9,174.567,54.933,96.183,185.617,108.967,265.283,131.067,217.25,210.15,251.583,219.383
"Pleasants",95.183,220.867,133.5,115.483,132.183,145.867,102.617,136.017,38.417,174.833,95.483,158.617,444.233,168.5,186.117,186.45,136.133,155.633,110.383,39.267,100.3,202.85,159.667,80.333,86.083,86.983,224.033,186.067,175.883,168.267,98.733,228,67.217,148.9,106.017,194.733,0,205.883,131.183,118.617,161.6,119.167,29.283,100.75,51.467,202.433,137.083,53.85,97.067,165.083,88.783,58.817,62.967,92.3,200.683
