"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Adams",0,314.7,295.883,367.117,305.333,151.867,373.5,269.983,92.233,207.8,117.483,120.433,80.533,145.067,298.683,351.983,328.683,93.45,116.783,137.05,224.933,165.9,151.067,62.833,271.467,181.467,119.25,37.717,290.967,70.683,158.333,229.1,207.267,53.9,215.033,239.6,184.817,275.9,168.333,219.917,79.167,179.267,146.967,273.933,23.65,6.733,142.617,50.55,39.433,144.75,210.1,296.483,342.1,81.267,40.417,44.733,254.333,164.017,149.167,253.867,116.25,397.083,134.1,58.383,106.283,47.233,48.017,265.883,180.633,180.583,128.917,107.1,229.567,76.6,267.2,30.333,76.3,183.817,381.433,63.933,235.067,248.617,446.55,152.667,86.133,260.467,158.8,90.033,95.983,166.4,119.25,189.667,82.683
"Antelope",314.717,0,144.967,213.883,313.067,293.867,220.567,324.067,240.117,183.517,359.817,277.8,334.15,276.267,54.883,270.533,175.433,230.65,327.3,363.7,206.283,408.8,385.35,353.8,118.233,381.917,336.417,312.617,80.05,254.5,183.133,100.567,138.783,299.25,180.45,127.817,139.783,79.733,256.817,111.733,249.183,160.533,177.6,74.783,305.183,317.45,243.133,285,342.817,188.133,117.267,270.133,188.85,243.05,294.433,281.9,163.717,212.4,318.283,142.617,244.017,243.15,265.317,361.767,222.167,322.233,338.633,56.6,157.3,349.7,194.983,256.4,85.667,286.683,262.833,284.25,318.633,240.15,227.5,268.783,120.883,134.433,292.633,339.517,261.45,170,385.333,329.25,338.317,366.867,336.417,257.05,248.5
"Arthur",293.483,147.017,0,151.35,241.883,242.4,89.133,245.633,219.7,153.733,338.167,244.5,313.733,233.667,93.833,125.683,117.133,226.15,294.017,318.583,168.017,363.9,347.817,345.617,61.733,330.2,291.3,292.217,129.017,241.883,205.467,113.9,179.383,311.333,120.183,196.383,141.033,67.083,196.533,79.55,257.65,186.483,178.117,145.1,287.417,298.067,190.167,297.083,325.783,163.083,89.6,195.017,132.85,222.633,274.017,261.483,103.433,163.5,272.567,41.417,220.4,163.517,222.483,339.433,244.867,301.833,336.85,86.467,161.483,298.233,174.567,233.217,154.25,266.267,187.717,272.967,298.217,179.883,147.867,248.367,134.217,147.767,174.35,293.6,241.033,87.75,339.933,309.383,317.9,320.733,291.3,196.783,228.083
"Banner",365.033,214.367,151.867,0,345.9,349.05,79.183,337.083,291.25,234.65,410.95,328.933,385.283,327.417,161.2,198.967,56.183,297.717,378.45,414.833,257.417,464.833,436.483,417.167,102.033,431.85,387.55,363.767,196.367,313.433,277.017,187.35,250.933,382.883,231.6,270.65,212.583,134.45,307.95,162.867,329.2,258.033,249.667,212.467,358.967,369.633,294.283,368.633,397.333,234.633,168.417,282.067,29.4,294.183,345.567,333.033,214.85,258.9,369.433,193.167,295.167,48.25,316.45,410.983,316.433,373.383,408.4,153.817,233.033,399.883,246.117,307.55,228.517,337.817,291.733,344.517,369.767,291.3,32.5,319.917,207.65,221.2,97.717,390.65,312.583,191.767,436.467,380.383,389.45,418,387.55,298.417,299.633
"Blaine",305,314.667,241.9,344.433,0,182.033,266.667,114.6,231.217,180.033,258.467,221.783,312.233,190.683,300.35,150.167,324.717,238.2,258.2,250.717,185.083,232.017,245.1,357.133,268.383,199.033,230.933,303.733,310.75,253.4,227.7,240.65,232.35,322.85,150.55,259.4,198.433,272.8,155.133,209.8,267.35,207.883,200.35,293.733,298.933,309.6,171.55,308.6,337.3,178.25,219.85,85.517,339.017,234.15,285.533,273,193.967,152.617,195.5,211.633,201.8,328.75,188.417,350.95,261.05,313.35,348.367,262.983,190.3,167.067,196.8,214.617,249.367,256.067,56.233,284.483,299.483,129.4,321.933,259.85,246.617,260.167,293.433,197.867,245.4,153.633,234.75,273.283,283.5,201.017,230.933,131.417,239.25
"Boone",151.917,300.283,243.75,348.05,181.333,0,270.283,130.05,90.417,170.15,114.867,47.617,150.667,24.9,284.267,228.967,306.883,96.167,84.033,95.283,175.183,140.583,124.517,204.05,249.683,113.217,68,150.633,276.533,99.067,156.3,207.3,197.783,168.517,140.65,225.183,163.017,254.1,51.467,199.9,113.033,173.3,129.267,259.517,145.833,156.5,65.533,154.267,184.217,122.55,188.3,164.317,320.3,79.817,132.45,119.9,184.067,119.433,49.267,201.733,50.7,342.083,28.983,197.867,119.017,160.25,195.267,244.1,158.117,80.667,107.133,60.833,215.15,91.433,135.317,131.383,137.933,79.2,327.4,95.217,213.267,226.817,355.483,70.283,80.767,157.25,116.633,111.717,121.933,97.433,68,52.833,74.633
"Box Butte",372.05,221.517,88.033,77.767,266.7,269.85,0,259.117,298.267,224.967,365.617,300.667,392.3,278.5,168.35,121,58.05,305.25,346.017,346.033,224.183,385.633,375.267,424.183,108.517,352.65,318.733,370.783,203.517,320.45,284.35,194.683,258.283,389.9,168.917,277.8,219.933,141.6,242.95,164.25,334.4,265.383,257.017,219.617,365.983,376.633,246.333,375.65,404.35,245.283,174.3,204.1,95.85,301.2,352.583,340.05,181.517,219.667,300.017,126.117,276.583,71.783,276.233,418,323.767,380.4,415.417,160.967,240.383,320.683,253.467,289.383,235.667,330.833,212.533,351.533,376.783,217.2,57.117,326.933,215,228.55,85.2,321.033,317.767,112.567,367.383,362.817,373.033,348.183,318.733,219.233,306.65
"Boyd",268.183,325.767,245.267,336.167,115.2,129.683,258.383,0,194.4,191.15,199.2,169.433,252.183,138.333,311.467,140.35,316.45,201.383,200.883,191.433,196.183,156.4,185.817,311.017,279.483,135.433,174.117,266.917,321.867,216.583,230.783,251.75,243.45,286.033,161.65,270.5,209.533,283.917,106.05,220.9,230.533,218.983,203.75,304.833,262.117,272.767,128.083,271.783,302.95,182.15,230.95,54.683,350.117,197.333,248.717,236.183,205.067,156.533,136.233,215.25,158.333,318.95,140.667,298.2,224.217,270.8,314.017,274.083,201.4,107.8,181.617,171.15,260.467,210,59.85,247.667,240.217,113.7,312.117,217.033,257.717,271.267,283.633,138.6,202.567,156.983,173.183,214,224.217,141.75,174.117,96.55,196.433
"Brown",91.75,245.933,219.75,290.983,229.183,89.217,297.367,193.85,0,131.667,137.667,66.9,112,71.617,229.917,275.833,252.533,40.1,113.05,144.383,148.8,187,163.2,143.883,195.333,166.733,121.217,90.467,222.2,40.133,101.95,152.95,143.433,109.6,138.9,170.833,108.667,199.75,92.183,143.767,54.1,118.967,74.917,205.167,85.667,96.333,66.483,95.35,124.05,68.6,133.95,220.333,265.95,20.9,72.283,59.75,178.2,87.883,107.75,177.733,40.117,320.933,60.667,137.7,62.95,100.083,135.117,189.75,103.767,139.15,52.783,39.25,160.8,64.533,191.067,71.217,96.483,107.683,305.283,46.633,158.917,172.467,370.417,128.967,35.533,184.333,166.133,107.1,116.167,151.667,121.217,113.533,26.35
"Buffalo",204.95,182.633,154.4,232,179.45,169.067,225.583,190.45,131.167,0,250.867,168.85,225.2,160.317,168.133,204.067,193.55,137.633,218.367,245.233,57.417,290.55,274.467,257.083,136.35,256.85,217.95,203.683,170.633,153.35,116.933,94.75,94.617,222.8,67.133,119.267,56.267,140.767,123.2,84.783,169.133,97.95,89.583,153.6,198.883,209.55,114.983,208.55,237.267,69.65,74.967,168.333,206.983,134.1,185.483,172.95,94.717,80.717,199.233,112.383,135.083,261.95,149.15,250.9,156.35,213.3,248.317,130.767,69.383,224.9,86.033,147.467,109.233,177.733,141.333,184.433,209.683,106.533,246.3,159.85,100.717,114.267,310.8,220.25,152.5,112.567,266.583,220.3,229.367,247.383,217.95,123.433,139.55
"Burt",117.8,365.1,336.833,410.15,258.317,112.85,363.367,197.717,135.267,250.817,0,101.65,70.033,121.483,349.083,296.65,371.7,159.267,79.967,41.383,268.267,60.433,41.933,128.85,314.5,86.05,49.267,102.583,341.35,143.533,221.117,272.117,262.6,148.033,233.733,290,227.833,318.917,144.55,262.933,157.483,238.117,194.083,324.333,117.767,123.933,155.95,144.667,120.033,187.767,253.117,232,385.117,124.283,85.167,87.733,277.15,204.283,79.317,294.817,135.25,435.167,125.567,121.05,182.117,87.867,131.083,308.917,222.933,96.2,171.95,138.983,279.95,101.6,202.983,124.45,57.283,172.267,420.483,103.3,278.083,291.633,439.917,71.633,129.183,250.333,59.317,50.317,42.35,70.983,49.267,145.917,125.717
"Butler",118.4,283.417,245.317,328.467,219.883,45.917,300.683,168.583,67.633,169.133,106.433,0,117.6,42.55,267.4,267.517,290.017,79.733,50.967,87.367,176.75,132.467,116.067,170.533,232.817,105.583,60.083,117.133,259.683,74.083,139.433,190.433,180.917,140.767,142.217,208.317,146.15,237.233,74.733,181.25,88.05,156.433,112.4,242.65,112.333,123,54.6,124.5,150.717,105.7,171.433,202.867,303.433,54.833,91.6,83.65,185.633,102.933,45.167,203.3,33.9,358.417,36.15,164.35,102.583,125.85,161.767,227.233,141.25,76.583,90.267,37.633,198.283,50.55,173.85,97.05,104.867,94.967,342.767,56.617,196.4,209.95,385.883,66.4,55.783,187.65,109,78.65,88.867,90.533,60.083,91.367,49.633
"Cass",81.05,341.833,315.65,386.883,314.55,148.367,393.267,250.867,112,227.55,70.483,115.95,0,152.583,325.817,352.883,348.433,136,94.283,105.6,244.7,110.6,107.45,68.783,291.233,136.55,88.183,62.517,318.1,120.267,197.85,248.85,239.333,119.75,234.8,266.733,204.567,295.65,181.583,239.667,134.233,214.85,170.817,301.067,94.517,87.183,155.867,116.45,62.883,164.5,229.85,288.233,361.85,101.017,59.133,64.483,274.1,183.783,126,273.633,136,416.833,142.967,58.983,158.85,43.883,86.217,285.65,199.667,152.433,148.683,126.85,256.7,90.5,259.217,101.183,24.267,197.083,401.183,80.033,254.817,268.367,466.317,121.6,105.917,280.233,117.767,44.45,47.817,127.217,88.183,184.833,102.45
"Cedar",144.283,281.8,233.867,326.85,190.45,24.5,279.4,139.15,71.933,160.267,123.967,43.25,153.633,0,265.783,238.083,288.4,77.683,87,104.383,165.3,149.7,133.617,196.417,231.2,122.333,77.1,143,258.05,91.433,137.817,188.817,179.3,160.9,130.767,206.7,144.533,235.617,49.083,179.633,105.4,154.817,110.783,241.033,138.2,148.867,47.05,146.65,176.583,104.067,169.817,173.433,301.817,72.2,124.817,112.283,174.183,100.1,58.383,191.85,32.217,351.2,10.5,190.233,100.533,152.633,187.65,225.617,139.633,89.783,88.65,42.35,196.65,83.817,144.417,123.767,140.433,69.317,336.517,87.6,194.783,208.333,364.6,79.4,73.133,166.367,125.733,114.683,124.9,106.533,77.1,61.933,67
"Chase",298.317,55.133,93.467,162.383,298.933,282.917,169.067,309.917,229.167,169.367,348.867,266.833,323.2,265.317,0,219.033,123.933,214.25,316.35,352.75,192.133,397.833,374.383,337.4,66.733,370.967,325.45,301.667,37.133,238.1,166.733,86.25,122.383,282.85,166.317,111.417,123.4,28.25,242.667,97.583,232.783,144.133,161.2,53.217,288.8,301.05,232.183,268.6,326.417,171.733,103.133,256,137.367,232.083,283.467,270.933,149.567,196,307.333,128.483,233.067,191.667,254.35,345.367,205.767,311.283,322.25,40.1,140.9,338.733,184.033,245.45,69.267,275.733,248.7,267.85,307.667,226.017,176.017,257.833,106.55,120.1,241.133,328.55,250.5,155.867,374.383,318.3,327.35,355.9,325.45,242.9,237.533
"Cherry",351.8,272.35,125.967,198.417,151.017,229.133,120.633,141.883,278.017,204.717,298.65,268.883,352.4,237.783,219.167,0,178.7,284.983,300.35,290.9,203.933,272.2,285.283,403.933,187.067,239.217,273.567,350.517,254.35,300.183,274.483,195.583,258.817,369.65,148.667,278.067,220.467,192.417,205.5,161.233,314.15,254.683,247.15,256.567,345.717,356.383,225.9,355.4,384.1,225.033,171.283,86.867,216.5,280.95,332.333,319.8,164.15,199.417,235.683,140.1,256.15,181.2,240.117,397.75,307.833,360.133,395.167,211.8,237.1,207.25,243.6,268.95,235.917,309.45,96.85,331.267,339.667,183.733,174.383,306.683,215.883,229.433,145.883,238.05,297.517,97.367,274.933,313.467,323.667,241.2,273.567,185.767,286.4
"Cheyenne",327,176.333,116.2,56.167,325.483,306.967,58.767,316.667,253.217,196.617,372.917,290.9,347.267,289.383,123.167,178.55,0,259.683,340.417,376.8,219.4,421.9,398.45,379.15,64,395.033,349.517,325.733,158.35,275.4,238.983,149.317,212.9,344.85,193.567,232.617,174.55,96.417,269.917,124.833,291.183,220.017,211.633,174.433,320.933,331.6,256.25,330.6,359.317,196.617,130.383,261.65,52.2,256.15,307.533,295,176.817,220.883,331.4,157.5,257.133,76.95,278.417,372.95,278.4,335.35,370.367,115.783,195,362.8,208.083,269.517,190.483,299.783,271.317,306.483,331.733,253.267,61.3,281.9,169.617,183.167,126.417,352.617,274.55,171.35,398.433,342.35,351.417,379.967,349.517,270.167,261.6
"Clay",93.267,230.617,228.783,300.017,237,96.467,305.167,201.65,40.083,140.7,159.783,80.817,134.117,78.867,214.6,283.65,261.567,0,130.333,166.733,157.833,211.833,185.317,148.05,204.367,184.95,139.45,112.6,206.867,23.983,76.267,157.283,123.55,96.25,146.7,155.517,109.817,208.783,100,152.8,32.85,95.567,57.45,189.85,84.567,97.85,74.283,82,130.15,77.633,142.983,228.15,275,43.517,94.4,81.867,190.117,95.7,121.317,186.767,47.367,329.967,67.917,149.1,22.967,122.217,132.9,198.783,88.45,152.733,61.817,55.8,145.467,86.65,198.867,62.8,118.6,115.483,314.317,68.767,163.25,176.8,379.45,142.55,61.417,192.15,188.367,129.217,138.283,169.883,139.45,121.333,48.467
"Colfax",116.7,331.967,293.883,377.017,255.217,81.267,344.167,200.3,113.533,217.7,84.067,48.85,95.233,85.483,315.967,299.233,338.567,128.3,0,67.267,225.317,114.817,93.683,154.05,281.367,92.25,46.75,115.417,308.233,119.983,188,239,229.467,140.883,190.783,256.867,194.717,285.8,117.667,229.817,133.95,205,160.967,291.2,110.617,121.283,103.167,137.533,145.233,154.25,220,234.583,352,100.733,85.517,79.633,234.2,151.5,68.133,251.85,82.45,406.983,79.083,146.25,151.15,113.067,156.283,275.783,189.817,98.783,138.817,86.2,246.833,62.6,205.567,109.1,82.483,137.9,391.317,68.667,244.967,258.517,429.367,63.733,95.5,231.133,89.033,56.283,66.5,77.183,46.75,126.717,95.55
"Cuming",137.55,368.833,319.3,413.883,252.2,95.3,345.817,191.6,143.017,245.683,41.867,85.717,104.45,103.95,352.817,290.533,375.433,165.15,66.7,0,250.733,75.3,51.483,163.283,318.233,79.933,31.733,134.8,345.1,151.283,224.867,275.867,266.333,161.733,216.2,293.733,231.567,322.65,127,266.667,165.233,241.867,197.817,328.067,131.483,142.15,140.033,158.383,154.45,191.117,256.85,225.883,388.867,132.033,113.25,100.483,259.617,188.35,69.533,277.267,119.317,417.617,108.033,155.483,188,122.3,165.517,312.65,226.667,90.083,175.683,123.05,283.7,87.883,196.867,138.15,91.717,154.733,402.95,98.733,281.833,295.367,433.8,65.517,125.567,232.8,55.417,65.5,75.717,64.867,31.733,128.367,129.95
"Custer",223.533,205.95,158.033,255.317,185.2,174.8,225.5,196.183,149.75,57.45,270.567,176.883,243.783,166.05,191.45,203.983,216.867,156.217,226.4,250.983,0,296.283,280.217,275.667,159.667,262.583,223.683,222.267,193.933,171.933,135.517,118.067,117.917,241.383,67.033,142.583,79.567,164.083,128.933,108.1,187.7,115.7,108.167,176.917,217.467,228.133,122.55,227.133,255.833,86.983,98.283,168.25,230.283,152.683,204.067,191.533,98.35,95.883,204.967,116,152.8,297.3,154.883,269.483,174.933,231.883,266.9,154.083,92.7,230.633,104.617,165.6,132.533,207.05,147.067,203.017,228.267,112.267,269.617,178.417,124.033,137.567,310.7,225.983,171.083,112.467,272.333,241.783,259.583,253.117,223.683,129.167,158.133
"Dakota",166.3,414.017,363.867,459.067,233.017,139.867,386.75,156.883,184.633,290.25,59.5,130.9,110.733,148.517,398,271.35,420.617,210.333,113.8,75.4,295.283,0,42.55,169.567,363.417,42.567,78.817,151.083,390.283,192.9,270.033,321.033,311.517,197.4,260.767,338.917,276.75,367.833,171.567,311.85,206.867,287.05,243,373.25,167.15,172.45,185.217,194.05,163.65,236.3,302.033,206.7,434.033,173.65,133.683,137.1,304.167,233.533,96.35,321.833,164.5,449.933,152.583,156.733,233.183,136.383,179.6,357.833,271.85,75.567,220.867,168.233,328.883,134.983,177.683,173.817,105.8,196.617,443.117,145.833,327,340.55,414.617,75.417,172.667,273.717,35.367,91.45,101.55,43.217,78.817,169.283,176.85
"Dawes",149.117,394.667,346.75,439.717,245.233,122.75,373.267,184.617,160.517,273.133,40.383,111.55,106.3,131.4,378.65,283.55,401.267,184.533,89.883,51.283,278.167,42.883,0,165.133,344.067,72.95,59.167,136.65,370.933,168.8,250.7,301.7,292.167,173.3,243.65,319.567,257.4,348.483,154.45,292.5,182.75,267.7,223.65,353.9,143.033,153.7,165.867,169.933,156.3,216.95,282.683,218.9,414.7,149.55,115.1,113,287.05,214.183,79.467,304.717,145.15,445.067,135.467,152.583,207.383,124.15,167.35,338.483,252.5,83.117,201.517,148.883,309.533,111.5,189.883,149.717,93.55,182.183,430.4,122.35,307.667,321.2,426.817,58.533,149.183,260.233,43.367,67.35,77.567,57.883,59.167,155.817,150.967
"Dawson",63.717,353.6,347.767,418.983,357.2,203.733,425.367,309.717,144.1,259.667,130.15,172.883,68.55,196.933,337.583,403.85,380.55,147.633,153.933,165.25,276.8,169.45,166,0,323.333,195.4,147.833,75.183,329.867,126.517,187.55,280.967,243.567,69.283,266.9,278.5,236.683,327.767,220.2,271.783,128.333,210.867,196.133,312.833,72.9,61.533,194.483,79.767,34.15,196.617,261.967,347.883,393.967,133.133,89.033,92.6,306.217,215.9,185.65,305.733,168.117,448.95,185.967,26.05,140.7,62.617,28.683,317.75,224.85,212.083,180.783,158.967,268.467,128.417,318.867,89.317,83.917,235.683,433.3,115.8,286.933,300.483,498.417,181.25,138,312.35,177.417,104.1,107.467,186.867,147.833,241.533,134.55
"Deuel",269.6,118.933,61.083,100.067,268.783,249.567,109,279.767,195.817,139.217,315.517,233.5,289.85,231.983,65.767,186.65,61.633,202.283,283.017,319.4,161.983,364.5,341.05,321.733,0,337.633,292.117,268.333,100.933,218,181.583,91.917,155.5,287.45,136.167,175.217,117.15,39.017,212.517,67.433,233.767,162.6,154.233,117.033,263.533,274.2,198.85,273.2,301.9,139.2,72.983,225.85,75.05,198.75,250.133,237.6,119.417,163.467,274,98.333,199.733,131.583,221.017,315.55,221,277.95,312.967,58.383,137.6,305.4,150.683,212.117,133.083,242.383,218.55,249.083,274.333,195.867,115.933,224.483,112.217,125.767,181.067,295.217,217.15,125.7,341.033,284.95,294.017,322.567,292.117,212.75,204.2
"Dixon",182.317,387.367,329.133,431.65,200.167,113.217,353.883,134.5,168.183,258.533,88.467,104.233,136.55,121.85,371.35,238.483,393.967,183.683,94.667,80.7,263.583,40.75,73.183,195.383,336.767,0,68.167,172.567,363.617,174.633,243.383,294.383,284.867,207.467,229.05,312.267,250.1,341.183,144.917,285.2,188.6,260.383,216.35,346.6,176.25,186.917,158.55,191.2,189.467,209.633,275.383,173.833,407.383,155.383,151.017,145.25,272.467,206.883,69.7,290.133,137.833,417.083,125.933,182.55,206.533,160.067,203.283,331.183,245.2,49.083,194.217,141.583,302.217,117.25,144.833,163.75,129.467,163.767,410.25,123.317,300.35,313.9,381.767,48.767,150.15,240.85,43.467,103.267,113.483,16.733,68.167,136.433,150.2
"Dodge",119.3,341.167,291.633,386.217,229.2,67.633,318.15,173.9,121.983,218.017,52.033,58.05,88.183,76.283,325.15,272.817,347.767,137.483,48.45,32.45,223.05,79.983,61.667,147.017,290.567,66.267,0,118.033,317.433,128.433,197.183,248.183,238.667,143.483,188.533,266.067,203.9,294.983,99.333,239,142.4,214.2,170.15,300.4,113.233,123.9,112.367,140.133,138.183,163.45,229.183,208.167,361.183,109.2,88.133,82.25,231.933,160.683,41.867,249.6,91.65,389.95,80.35,139.217,160.333,106.033,149.25,284.983,199,72.8,148.017,95.383,256.033,71.067,179.15,117.55,75.45,127.067,375.283,77.133,254.15,267.7,403.367,37.467,103.967,205.133,54.2,49.233,59.45,51.217,0,100.7,104
"Douglas",39,319.967,293.783,365,303.217,149.75,371.383,267.867,90.117,205.683,102.333,118.9,62.467,142.95,303.95,349.867,326.567,114.133,114.633,136.033,222.817,150.75,137.883,73.883,269.35,172.7,117.1,0,296.217,98.4,175.983,226.983,217.45,89.85,212.917,244.867,182.7,273.783,166.217,217.8,112.35,192.983,148.95,279.2,59.6,45.133,140.5,86.5,54.05,142.633,207.983,294.367,339.983,79.15,35.05,38.617,252.233,161.917,147.65,251.75,114.133,394.967,131.983,67.7,136.983,30.1,65.117,263.767,177.8,179.05,126.8,104.983,234.817,74.433,265.083,66.283,61.15,181.7,379.317,61.817,232.95,246.5,444.433,150.5,84.017,258.367,148.2,74.883,80.833,157.65,117.1,187.55,80.567
"Dundy",290,79.9,127.783,196.7,310.55,274.6,203.383,321.533,220.85,171.4,340.55,258.533,314.883,257,37.7,253.35,158.25,205.933,308.033,344.433,194.167,389.533,366.083,329.083,101.05,362.65,317.15,293.35,0,229.783,158.433,82.7,114.067,274.533,189.033,103.1,115.083,62.55,248.467,121.433,224.467,135.833,152.9,18.8,280.483,292.733,223.867,260.283,318.1,163.417,126.633,278.7,171.667,223.783,275.167,262.633,172.283,187.683,299.017,151.183,224.75,225.967,246.05,337.067,197.467,302.967,313.933,74.417,132.583,330.433,175.717,237.133,60.967,267.417,272.417,259.533,299.367,234.767,210.317,249.517,103.017,99.05,275.45,320.25,242.183,178.567,366.067,309.983,319.05,347.6,317.15,254.883,229.233
"Fillmore",70.733,253.7,244.817,316.05,254.25,99.283,322.417,221.95,41.167,156.717,143.033,74.417,117.367,92.483,237.683,300.9,277.6,23.717,120.567,149.75,173.867,192.367,168.567,126.9,220.4,174.25,128.733,95.833,229.967,0,99.167,180.367,146.45,74.9,163.967,178.6,132.9,224.817,117.25,168.833,19.417,118.467,80.533,212.933,62.033,75.317,91.533,60.65,107.617,93.667,159.017,245.4,291.017,23.483,77.65,65.117,203.267,112.95,115.267,202.783,65.167,346,81.517,126.567,45.867,105.45,111.75,214.817,111.533,146.667,77.85,54.517,168.567,69.9,216.117,40.267,101.85,132.733,330.35,52,186.333,199.883,395.467,136.483,43.05,209.4,171.5,112.467,121.533,159.183,128.733,138.583,30.1
"Franklin",157.933,183.617,205.817,277.05,226.433,153.717,284.4,229.25,99.967,117.717,219.667,137.65,194,136.133,167.617,273.1,238.6,76.083,187.167,223.55,134.867,268.65,245.2,186.65,181.4,241.783,196.267,172.483,159.883,98.75,0,123.017,56.017,124.183,136.15,108.517,75.55,188.9,127.583,129.833,93.95,23.317,29.15,142.85,138.033,150.3,103,109.933,175.667,53.95,120.017,217.6,252.017,102.9,154.283,141.75,164.267,75.95,178.15,163.783,103.883,307,125.167,194.617,55.867,182.1,163.767,171.45,54.183,209.55,54.833,116.267,98.483,146.533,188.317,129.017,178.483,131.3,291.35,128.65,128.983,127.15,356.467,199.367,121.3,181.583,245.183,189.1,198.167,226.717,196.267,148.933,108.35
"Frontier",224.783,100.467,114.283,186.683,242.717,204.75,194.05,253.7,151,96.267,270.7,188.683,245.05,187.167,85.783,196.033,148.233,157.4,238.2,274.583,119.033,319.683,296.233,276.933,91.033,292.817,247.3,223.517,82.967,173.183,123.283,0,87.067,239.583,110.1,87.433,48.717,65.867,178.617,42.5,184.267,102.233,104.35,65.933,218.717,229.383,154.033,225.333,257.1,94.4,47.7,199.767,161.65,153.933,205.317,192.783,93.35,118.667,229.183,72.25,154.917,216.633,176.2,270.733,162.517,233.133,268.15,48.417,69.167,260.583,105.867,167.3,45.3,197.567,192.483,204.267,229.517,166.133,200.983,179.683,20.3,33.85,266.1,250.4,172.333,99.633,296.217,240.133,249.2,277.75,247.3,186.683,159.383
"Furnas",207.4,138.5,179.583,250.817,232.65,196.1,258.183,243.633,142.35,95.017,262.05,180.017,236.383,178.5,122.483,258.3,212.367,124,229.533,265.933,117.783,311.033,287.583,242.117,155.167,284.15,238.65,214.85,114.767,146.667,55.467,87.167,0,179.65,127.5,64.35,38.683,147.333,169.967,103.6,141.867,32.85,74.383,97.733,193.5,205.767,145.367,165.4,231.133,84.917,93.783,223.8,225.783,145.283,196.667,184.133,138.033,109.183,220.517,137.567,146.25,280.767,167.55,250.083,111.333,224.467,219.233,135.583,53.083,251.933,97.217,158.633,54.317,188.917,194.517,176.933,220.867,156.85,265.117,171.017,93.133,82.983,330.25,241.75,163.683,161.9,287.567,231.483,240.55,269.083,238.65,176.967,150.733
"Gage",54.317,299.483,312.5,383.733,321.933,166.967,390.117,289.633,108.85,224.4,151.5,140.783,120.867,160.167,283.483,368.583,345.283,95.783,142.75,163.017,241.55,200.833,177.017,69.05,288.083,206.133,145.217,89.483,275.75,74.667,124.783,239.583,180.8,0,231.65,224.383,192.1,292.5,184.933,236.517,76.5,148.1,144.283,258.717,34.417,46.6,159.217,24.95,71.967,161.35,226.7,313.083,358.7,91.183,81.583,70.5,270.95,180.633,169.533,270.467,132.85,413.683,149.2,88.4,77.917,87.783,41.983,288,170.733,200.933,145.533,122.2,214.35,102.183,283.8,44.633,110.3,200.433,398.033,84.283,245.55,243.017,463.15,177.617,104.4,277.083,184.767,120.933,130,191.083,145.217,206.283,97.783
"Garden",213.483,180.5,119.483,229.867,150.417,140.017,170,161.4,139.717,66.4,235.783,142.1,233.75,131.283,166.183,148.467,191.417,146.683,191.617,216.2,65.617,261.5,245.433,265.633,134.217,227.817,188.917,212.217,187.983,161.883,136.183,109.967,126.867,231.35,0,151.533,88.517,138.633,94.15,75.633,175.85,116.367,108.833,170.967,207.417,218.083,87.767,217.1,245.8,86.733,85.683,112.733,204.833,142.633,194.017,181.483,59.8,61.117,170.183,77.45,118.017,241.8,120.1,259.45,169.533,221.833,256.85,128.817,98.783,195.85,105.3,130.817,141.483,172.283,105.433,192.967,218.217,77.5,227.117,168.383,119.683,133.233,255.2,191.2,159.217,56.967,237.55,207,224.8,218.35,188.917,94.383,148.083
"Garfield",239.25,126.283,195.35,269.267,259.783,223.833,275.95,270.767,170.083,120.633,289.783,207.767,264.117,206.25,110.267,277.1,230.817,155.167,257.283,293.667,143.417,338.767,315.317,278.317,173.617,311.9,266.383,242.6,102.533,179.033,107.667,84.833,64.317,223.767,153.117,0,64.317,135.117,197.7,123.583,173.7,85.067,102.133,85.517,229.717,241.967,173.117,209.517,267.35,112.65,119.417,250.933,244.233,173.017,224.4,211.867,163.667,136.917,248.267,153.333,174,298.533,195.283,286.3,146.7,252.217,263.167,129.067,81.817,279.667,124.95,186.383,41.133,216.65,221.667,208.783,248.6,184,282.883,198.75,73.6,69.8,348,269.483,191.417,180.717,315.3,259.217,268.283,296.833,266.383,204.117,178.467
