"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Phelps",181.267,156.783,161.383,232.617,191.217,154.9,239.983,202.217,101.15,70.283,220.85,138.833,195.183,137.317,140.767,237.883,194.167,88.85,188.35,224.733,93.05,269.833,246.383,225.6,136.967,242.967,197.45,173.667,133.05,112.717,54.75,68.967,53.2,171.05,100.933,81.683,21.5,134.833,128.767,85.4,115.733,33.7,35.817,116.017,172.583,185.867,104.183,156.8,214.617,46.333,75.583,182.383,207.6,104.083,155.467,142.933,119.833,70.6,179.333,119.367,105.067,262.567,126.35,220.883,93.983,183.283,210.45,117.383,0,210.733,56.017,117.45,71.65,147.717,153.1,150.8,179.667,115.433,246.917,129.817,74.933,88.483,312.05,200.55,122.483,143.7,246.367,190.283,199.35,227.9,197.45,135.55,109.533
"Pierce",178.467,355.283,296.583,399.1,167.617,80.4,321.333,107.017,139.517,225.983,98.95,74.667,152.7,89.033,339.267,205.933,361.883,151.6,100.983,91.183,231.033,76.017,85.583,211.533,304.667,47.983,74.483,177.2,331.533,145.967,211.3,262.3,252.767,200.833,196.5,280.183,218.017,309.1,112.1,255.75,159.933,228.3,184.267,314.517,172.4,183.067,126.467,184.567,202.7,177.55,243.3,141.283,375.3,126.717,151.667,143.717,239.917,174.8,36.883,257.567,105.75,384.517,93.117,203.733,174.45,170.55,213.767,299.083,213.117,0,162.117,109.5,270.133,110.617,112.267,157.117,139.967,131.2,377.7,116.683,268.267,281.817,349.2,38.3,120.45,208.3,69.317,113.75,123.967,32.85,74.483,103.883,121.517
"Platte",126.083,201.333,175.15,246.383,195.783,106.05,253.75,181.567,52.3,87.05,172,89.967,146.333,88.45,185.317,242.433,207.933,58.75,139.483,175.883,104.2,220.967,197.517,178.217,150.733,194.1,148.583,124.8,177.583,74.467,57.35,108.35,98.833,143.933,105.483,126.233,64.067,155.15,79.917,99.167,88.433,74.35,30.317,160.567,120,130.667,55.317,129.683,158.383,24,89.35,186.933,221.35,55.217,106.617,94.067,133.6,44.683,130.467,133.117,56.2,276.333,77.5,172.033,81.6,134.417,169.433,145.15,59.167,161.883,0,68.583,116.2,98.867,157.65,105.55,130.8,83.633,260.683,80.967,114.317,127.867,325.8,151.683,73.633,150.917,197.517,141.433,150.5,179.033,148.583,101.25,60.667
"Polk",105.633,262.583,235.417,307.633,214.567,60.333,290.767,172.067,40.3,148.3,141.1,37.317,125.883,42.75,246.567,269.233,269.183,55.467,86.817,123.217,166.833,168.317,150.733,157.767,211.983,141.433,95.933,104.35,238.85,52.783,118.6,169.6,160.083,122.25,132.317,187.483,125.317,216.4,70.417,160.417,66.75,135.6,91.567,221.817,99.55,110.217,44.7,108,137.933,85.25,150.6,205.717,282.6,33.55,86.167,73.633,175.717,87.767,77.8,193.383,18.467,337.583,31.783,151.583,78.317,113.983,149,206.4,120.417,109.217,69.433,0,177.45,61.033,176.433,85.117,110.367,85.9,321.933,48.95,175.567,189.117,375.983,99.033,34.483,177.75,144.85,95.767,113.567,126.383,95.933,91.75,28.35
"Red Willow",229.033,85.133,154.2,228.117,249.583,213.633,234.8,260.567,159.883,110.433,279.583,197.55,253.917,196.033,69.117,235.95,189.667,144.967,247.067,283.467,133.2,328.55,305.1,268.117,132.467,301.683,256.167,232.383,61.383,168.817,97.467,43.683,54.117,213.567,142.917,42.133,54.117,93.967,187.5,82.433,163.5,74.85,91.917,44.367,219.517,231.767,162.9,199.317,257.133,102.45,87.617,240.733,203.083,162.8,214.2,201.65,133.267,126.717,238.05,112.183,163.783,257.383,185.083,276.083,136.5,242,252.967,87.917,71.617,269.467,114.75,176.167,0,206.45,211.45,198.567,238.383,173.783,241.733,188.55,64,38.083,306.867,259.267,181.217,139.567,305.1,249.017,258.083,286.617,256.167,193.9,168.25
"Richardson",77,292.917,266.733,337.967,256.583,91.55,332.783,211.817,63.083,178.633,105.5,50.85,90.883,84.75,276.9,310.75,299.517,87.083,62.517,88.283,208.85,135.833,115.133,129.133,242.317,116.2,70.683,75.717,269.183,71.35,148.933,199.933,190.417,102.967,174.317,217.817,155.65,246.733,112.417,190.75,85.317,165.933,121.9,252.15,70.917,81.583,86.717,86.683,109.3,115.583,180.933,246.1,312.933,52.1,50.55,39.933,217.733,134.867,79.6,224.717,68.65,367.917,73.8,122.95,109.933,83.533,120.367,236.733,150.75,111,99.767,62.767,207.783,0,217.083,59.233,75.367,127.917,352.267,18.817,205.9,219.45,418,87.683,45.65,219.767,110.033,60.15,77.967,101.133,70.683,133.767,50.017
"Rock",266.483,267.983,187.517,290.033,57.017,135.567,212.267,61.2,192.7,141.533,205.083,175.317,258.833,144.217,253.667,95.767,270.333,199.683,206.767,197.317,146.567,178.633,191.717,317.667,221.7,145.65,180,265.217,272.25,214.883,189.183,197.45,193.85,284.333,105.117,220.883,159.917,226.117,111.933,163.1,228.85,169.367,161.833,255.217,260.417,271.083,133.05,270.083,298.8,139.733,173.167,31.117,292.317,195.633,247.017,234.483,142.65,114.117,142.117,157.5,163.3,274.367,146.55,309.867,222.533,276.683,309.85,216.3,151.783,113.683,158.283,176.1,210.85,215.883,0,245.967,246.1,90.883,267.533,222.917,202.283,215.833,239.033,144.483,208.45,99.233,181.367,219.883,230.1,147.633,180,92.9,202.317
"Saline",30.467,284.367,274.817,346.05,284.267,130.8,352.433,248.917,71.167,186.733,125.25,97.883,99.583,124,268.35,330.917,307.617,63.117,109.55,135.933,203.867,174.6,150.783,89.717,250.4,163.233,117.717,65.633,260.633,40.35,129.65,208.033,176.933,45.3,193.967,209.267,163.75,254.833,147.267,198.85,48.833,148.933,116.633,243.6,21.767,35.05,121.55,32.233,67.333,123.683,189.033,275.417,321.033,56.8,57.733,46.633,233.267,142.95,126.633,232.8,95.183,376.017,113.033,86.3,75.95,75.133,74.567,244.817,150.3,158.033,107.85,86.033,199.233,59.267,246.133,0,84.067,162.75,360.367,41.383,214,227.55,425.483,134.7,65.067,239.4,157.683,94.683,103.75,148.167,117.717,168.6,61.617
"Sarpy",78,325.3,299.117,370.35,302.55,136.35,376.733,241.95,95.467,211.017,58.483,103.933,24.167,140.567,309.283,340.867,331.9,119.467,82.267,93.583,228.167,106.167,95.45,82.983,274.7,130.267,76.183,62.783,301.567,103.733,181.317,232.317,222.8,108.233,218.267,250.2,188.033,279.117,169.533,223.133,117.7,198.317,154.283,284.533,77.983,84.133,143.817,104.883,77.083,147.967,213.317,276.217,345.317,84.483,45.367,47.95,257.567,167.25,113.983,257.1,119.467,400.3,130.917,76.117,142.317,45.817,89.033,269.117,183.133,140.433,132.15,110.317,240.167,73.967,247.2,84.65,0,185.033,384.65,63.5,238.283,251.833,449.783,109.583,89.383,263.7,105.75,32.45,35.817,115.2,76.183,172.817,85.917
"Saunders",182.25,241.817,180.8,291.183,128.65,78.933,217.6,113.167,108.467,107.183,174.7,96.05,196.45,70.2,227.5,183.317,252.733,115.433,139.8,155.117,112.217,194.783,184.35,234.383,195.533,161.8,127.833,180.967,234.667,130.65,132.4,166.633,156.267,200.1,77.7,183.317,122.35,199.95,33.067,136.933,144.6,131.8,105.367,217.65,176.167,186.833,42.15,185.85,214.55,82.083,147,119.8,266.15,111.4,162.783,150.25,121.1,56.467,109.1,138.767,72.4,289.4,59.017,228.2,138.283,190.6,225.617,190.117,114.217,129.833,83.733,85.2,173.283,126.667,90.533,161.733,183.3,0,274.733,130.45,172.6,186.15,302.8,130.117,115.983,104.567,176.467,161.383,177.7,157.267,127.833,28.383,109.85
