"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Logan",188.117,185.467,204.8,112.617,47.45,236.6,151.3,195.633,105,218.55,177.967,184.283,77.133,219.133,74.483,199.417,78.883,191.633,149.767,192.417,169,180.217,176.183,215.917,193.3,226.8,20.45,218.55,186.65,125.617,60.483,198.933,197.25,108.617,168.6,92.383,201.033,198.3,24.85,100.883,210.55,0,114.033,175.033,198.15,152.367,199.967,230.467,143.3,172.75,97.1,126.583,71.25,204.117,175.217,190.433,113.35,40.283,218.15,103.717,177,184.267,107.45,128.767,68.067,185.85,192.217,270.117,156.017,115.233,58.25,190.833,244.7,151,108.483
"Lonoke",81.417,99.867,132.65,46.4,151.217,170.4,43.333,126.4,34.617,135.983,147.783,76.317,83.783,136.583,47.083,116.867,132.567,83.667,228.833,120.267,93.417,108.083,153.833,142.117,127.083,160.583,113.533,135.983,120.45,76.7,55.667,201.717,132.7,158.267,86.05,178.167,128.9,115.733,110.633,186.65,181.567,115.917,0,67.067,90.183,80.217,92,122.5,77.083,106.533,58.433,163.65,74.133,121.567,129.45,105.933,157.167,84.067,135.6,13.283,104.233,112.117,24.9,46.2,153.833,185.033,106.617,187.567,126.467,28.05,144.033,124.633,172.567,68.433,194.25
"Madison",93.567,126.067,166.983,106.8,211.6,230.783,55.117,186.783,95,102.667,208.167,69.917,144.167,138.483,107.467,91.45,192.95,27.067,289.217,180.65,119.617,166.083,214.217,168.3,187.467,220.967,173.917,102.667,180.833,137.083,116.05,231.65,158.9,218.65,93.283,238.55,189.283,119.1,171.017,247.033,241.95,176.317,69.083,0,33.583,140.483,35.4,65.917,137.467,166.917,120.05,224.033,134.533,77.683,189.833,61.117,217.55,144.45,85.3,73.667,131.783,171.283,86.617,93.3,214.217,245.417,117.767,142.45,161.033,88.217,204.417,185.017,232.333,66.033,254.633
"Marion",121.283,137.283,194.7,130.1,234.9,254.083,78.417,210.083,118.3,81.417,231.467,94.017,167.483,112.717,130.767,65.917,216.25,20.433,312.517,203.967,134.767,189.383,237.517,162.133,210.767,244.267,197.217,81.417,204.133,160.4,139.35,225.1,166.817,241.95,104.9,261.85,212.583,93.333,194.317,270.333,265.267,199.617,92.383,33.65,0,163.783,13.417,44.667,160.767,190.217,145.35,247.333,157.833,56.45,213.133,55.55,240.85,167.75,64.067,96.967,159.5,194.583,109.917,108.45,237.517,268.717,127.95,121.217,176.183,111.517,227.717,208.317,253.867,81.183,277.933
"Miller",81.967,155.583,66.433,76.2,189.333,159.817,113.65,75.967,64.417,191.7,172.967,107.5,121.917,192.3,85.2,172.583,164.45,155.1,266.95,67.75,149.133,41.867,185.683,197.833,150.4,149.8,151.65,191.7,135.167,106.5,93.783,239.833,188.417,196.383,141.767,216.283,77.633,171.45,148.75,224.767,204.883,154.05,79.317,138.483,161.6,0,163.433,193.933,105.283,123.1,106.783,196.817,112.267,177.267,155.317,163.583,195.283,122.183,191.317,69,51,33.35,66.417,101.917,191.95,207.417,162.333,243.267,179.017,88.4,182.15,147.933,105.9,124.15,232.367
"Mississippi",125.15,133.95,198.567,134.65,239.45,258.633,82.983,214.633,122.85,78.083,236.017,98.567,172.033,109.383,135.317,62.583,220.8,31.417,317.083,208.517,133.683,193.95,242.083,158.783,215.333,248.833,201.767,78.083,208.683,164.95,143.9,221.767,163.467,246.517,101.55,266.4,217.133,89.983,198.867,274.9,269.817,204.167,96.933,38.2,13.583,168.333,0,41.333,165.333,194.783,147.9,251.883,162.383,53.1,217.7,52.2,245.417,172.317,60.717,101.533,163.367,199.133,114.483,119.417,242.067,273.267,124.6,117.867,176.383,116.083,232.267,212.867,258.433,92.15,282.5
"Monroe",154.783,137.017,228.2,163.6,268.417,287.583,111.933,243.583,151.817,62.083,264.967,127.517,200.983,112.45,164.283,65.65,249.767,48.95,334.567,237.467,136.767,222.9,271.033,161.867,244.283,277.783,230.717,62.083,237.633,193.9,172.85,224.833,166.55,289.867,104.633,295.35,246.1,93.067,227.833,303.85,298.767,233.117,125.883,67.15,44.417,197.283,41.267,0,194.283,223.733,163.95,280.833,191.333,53.85,246.65,55.283,274.367,201.267,56.717,130.483,193,228.083,143.433,127.067,271.033,302.217,127.683,80.917,179.467,136.233,261.217,241.817,287.383,106.7,311.45
"Montgomery",145.15,153.517,156.733,36.767,163.4,104.383,114.65,61.717,51.283,189.633,80.3,147.617,114.283,190.233,77.567,170.5,107.717,154.967,259.317,102.283,147.067,132.167,90.75,195.75,61.067,94.567,144.017,189.633,54.417,38.217,86.15,232.2,186.35,188.75,139.7,208.65,85.933,169.383,141.117,217.133,115.55,146.417,77.367,138.367,161.483,105.417,163.3,193.817,0,40.517,98.65,115,93.3,175.2,63.433,161.517,187.65,114.55,189.25,67.05,130.05,119.317,64.467,99.85,184.317,117.55,160.267,241.2,171.383,86.317,174.517,58.6,174.533,122.083,224.733
"Nevada",171.933,180.3,162.033,63.55,181.35,71.417,141.433,61.133,78.083,216.417,75.217,174.417,141.067,217.017,104.35,197.3,128.4,181.767,286.117,93.467,173.867,137.45,91.55,222.55,30.583,61.617,170.8,216.417,23.2,74.833,112.933,259,213.15,215.55,166.483,235.433,57.033,196.183,167.9,243.933,85.067,173.2,104.167,165.15,188.267,122.9,190.1,220.6,39.017,0,125.45,128.217,120.083,202,41.833,188.317,214.45,141.35,216.033,93.833,156.833,124.6,91.267,126.65,213.2,84.267,187.067,268,198.183,113.117,213.267,28.133,145.633,148.867,251.533
"Newton",131.833,97.45,156.567,67.65,132.817,191.633,72.633,150.3,58.567,135.05,169.017,127.25,65.383,135.65,27.317,115.933,114.15,131.883,200.583,144.183,80.983,131.983,175.083,131.383,148.333,181.833,95.117,135.05,141.683,97.95,37.25,166.3,127.633,139.867,85.117,159.75,152.8,114.817,92.217,168.25,202.817,97.517,56.833,118,141.117,104.133,142.933,161.433,98.333,127.783,0,182.95,55.733,120.633,150.7,106.95,138.767,65.667,134.667,48.017,128.767,136.017,51.167,45.283,135.433,206.267,104.2,186.633,90.8,31.75,125.617,145.867,196.467,67.5,175.85
"Ouachita",230.533,238.9,248.9,122.15,78.2,179.45,200.033,156.333,136.667,275.017,85.5,233.017,167.233,275.617,160.667,255.9,69.517,240.367,229.283,201.833,232.45,224.333,62.733,281.15,138.417,157.3,128.783,275.017,142.417,95.183,146.667,294.417,271.733,208.5,225.083,153.817,174.217,254.767,128.283,165.933,97.1,125.383,162.767,223.75,246.867,196.467,248.683,279.2,115.3,127.55,183.283,0,126.933,260.6,95.5,246.9,207.4,125.183,274.633,152.433,221.1,218.867,149.867,185.233,110.033,72.4,245.65,326.6,240.417,171.717,110.117,133.333,262.833,207.467,169.9
"Perry",147.35,144.7,164.033,62.267,87.15,185.083,110.55,144.117,66.2,177.783,146.467,143.533,40.283,178.383,33.717,158.667,58.417,150.883,186.05,151.65,128.233,139.467,152.517,173.383,141.783,175.267,70.733,177.783,135.133,77.5,19.733,174.3,154.717,115.483,127.85,135.367,159.85,157.533,67.833,143.867,196.267,73.133,73.283,134.267,157.383,111.6,159.217,189.717,91.783,121.217,56.333,127.217,0,163.35,143.717,149.667,114.383,41.283,177.4,62.95,136.233,143.5,66.683,88,111.033,183.717,151.45,229.35,113.483,74.483,101.233,139.317,203.95,110.233,151.467
"Phillips",168.983,87.567,230.483,144.283,240.967,268.267,103.083,224.217,132.483,25.55,245.65,131.517,173.55,64.4,135.483,17.6,222.317,52.967,286.517,218.1,93.95,205.917,251.717,113.817,224.967,258.467,203.283,25.55,218.317,174.583,145.417,176.783,118.5,247.05,55.567,267.917,226.733,45.017,200.383,276.417,279.45,205.683,123.333,78.4,55.65,178.05,52.5,54.25,174.967,204.417,122.367,261.517,163.9,0,227.333,32.367,253.05,173.833,18.117,121.95,207.2,209.95,125.083,85.467,243.583,282.9,79.633,76.15,136.65,94.65,233.783,222.5,270.4,87.75,284.017
"Pike",196.1,204.483,200.2,87.717,150.317,105.017,165.6,100.25,102.25,240.583,39.15,198.583,165.233,241.183,128.533,221.467,97.367,205.933,308.267,134.55,198.033,175.633,60.517,246.717,53.233,95.2,192.95,240.583,53.517,78.017,137.1,283.167,237.317,236.333,190.65,225.933,98.117,220.35,190.05,238.05,72.217,175.6,128.333,189.317,212.433,154.267,214.267,244.767,63.183,42.217,149.617,97.183,144.717,226.167,0,212.483,235.233,153.033,240.2,118.017,181,162.783,115.433,150.817,182.15,58.267,211.233,292.167,222.35,137.283,182.233,38.9,186.717,173.033,242.033
"Poinsett",139.167,81.733,212.583,130.583,227.267,254.567,79.517,210.517,118.783,53.733,231.95,107.95,159.85,79.417,121.783,32.383,208.617,50.55,284.767,204.4,81.483,192.217,238,128.817,211.267,244.75,189.583,53.733,204.617,160.883,131.717,189.15,116.4,234.567,49.35,254.217,213.017,60.017,186.683,262.717,265.75,191.983,108.483,62.717,53.233,164.35,50.083,54.483,161.267,190.7,108.667,247.817,150.2,31.617,213.633,0,233.217,160.133,43.05,108.25,177.383,196.25,111.383,71.767,229.883,269.2,73.833,104.35,124.183,80.95,220.083,208.8,256.7,64.183,270.3
"Polk",232.883,181.567,249.567,157.383,154.2,281.367,196.067,240.4,149.767,262.45,238.7,229.05,118.2,238.683,119.25,250.55,139.617,236.4,114.45,237.183,165.1,224.983,244.767,159.367,238.067,271.567,111.55,262.45,231.417,186.35,105.25,102.65,155.467,29.9,209.833,132.25,245.8,233.183,110.217,160.4,300.15,114.3,158.8,219.8,242.917,197.133,244.733,275.233,188.067,217.517,141.85,208.417,116.017,255.25,235.95,243.15,0,83.667,269.283,148.483,221.767,229.033,152.217,173.533,153.417,275.95,188.317,301.85,119.717,160,143.617,235.6,289.467,195.75,146.183
"Pope",157.4,154.75,174.083,81.9,71.5,205.883,120.6,164.917,74.3,187.833,156,153.567,46.417,188.417,43.767,168.7,56.917,160.917,155.2,161.7,138.283,149.5,162.067,185.2,162.583,196.083,39.883,187.833,155.933,103.65,29.767,169.217,166.55,83.267,137.883,104.517,170.317,167.583,36.983,113.017,217.45,40.5,83.317,144.317,167.433,121.65,169.25,199.75,112.583,142.033,66.383,125.717,40.55,173.4,153.25,159.717,82.167,0,187.433,73,146.283,153.55,76.733,98.05,80.183,193.25,161.5,239.4,125.3,84.517,70.383,160.117,214,120.283,120.6
"Prairie",174.033,101.533,247.45,158.25,254.95,282.233,117.05,238.2,146.467,39.317,259.617,145.5,187.517,78.383,149.45,31.583,236.3,60.983,300.5,232.067,107.917,219.883,265.683,127.783,238.933,272.433,217.25,39.317,232.283,188.55,159.383,190.767,132.467,261.017,69.533,281.883,240.7,58.983,214.367,290.383,293.417,219.65,137.3,86.417,63.667,192.017,60.517,57.317,188.933,218.383,136.333,275.483,177.867,18.25,241.3,44.25,267.017,187.8,0,135.917,212.25,223.917,139.05,99.45,257.567,296.867,93.6,82.95,150.617,108.617,247.75,236.467,284.367,101.717,297.983
"Pulaski",87.417,99.333,122.933,36.683,141.5,160.667,49.4,116.667,24.9,135.45,138.05,82.367,74.067,136.05,37.367,116.317,122.85,89.717,219.117,110.55,92.883,98.367,144.117,141.567,117.367,150.867,103.8,135.45,110.717,66.983,45.933,192,132.167,148.55,85.517,168.433,119.183,115.2,100.917,176.933,171.85,106.2,12.117,73.117,96.233,70.5,98.05,128.567,67.367,96.817,50.533,153.917,64.417,121.017,119.733,107.333,147.45,74.35,135.05,0,95.133,102.4,14.017,45.667,144.117,175.3,106.083,187.017,125.933,32.133,134.317,114.9,162.85,67.9,184.533
"Randolph",42,179.617,38.883,100.233,213.367,206.017,124.433,122.167,88.45,215.733,199.317,91.783,145.95,216.333,109.233,200.1,188.483,154.95,290.983,98.3,173.167,42.433,211.05,221.867,179.317,196.017,175.683,215.733,172.667,130.533,117.817,263.867,212.45,220.417,165.8,240.317,123.833,195.483,172.783,248.8,233.8,178.083,103.133,131.35,158.483,51.467,160.75,191.383,129.317,158.767,130.817,220.85,136.3,204.783,181.683,178.917,219.317,146.217,210.767,93.033,0,53.267,91.7,125.95,215.983,236.567,186.367,267.917,203.05,112.433,206.183,176.85,104.233,148.183,256.4
"Saline",93.45,187.867,37.417,112.317,221.617,158.65,145.933,83.367,96.7,223.983,180.667,139.783,154.2,224.583,117.483,204.867,196.733,187.383,299.25,45.033,181.433,12.833,193.383,230.117,151.8,151.2,183.933,223.983,136.567,137.717,126.067,272.117,220.717,228.683,174.05,248.567,79.033,203.75,181.033,257.067,206.283,186.333,111.6,170.767,193.883,32.583,195.717,226.217,119.183,124.5,139.083,218.933,144.55,209.567,163.017,195.883,227.567,154.483,223.6,101.283,54.95,0,98.7,134.2,224.233,208.817,194.633,275.567,211.317,120.683,214.433,149.333,76.2,156.433,264.65
"Scott",80.667,102.3,120.067,33.817,144.85,157.8,62.783,113.8,22.017,138.417,135.183,93.367,77.417,139.017,40.7,119.3,122.05,103.117,222.467,107.683,95.867,95.483,141.233,144.55,114.5,147.983,107.15,138.417,107.85,64.117,49.283,195.35,135.15,151.9,88.483,171.783,116.3,118.183,104.25,180.283,168.983,109.55,25.4,86.5,109.617,67.633,111.45,141.95,64.5,93.933,53.517,151.05,67.767,124,116.867,110.317,150.8,77.7,138.033,14.35,92.7,99.533,0,48.633,147.467,172.433,109.067,190,128.9,35.117,137.65,112.033,159.967,70.867,187.883
"Searcy",120.35,63.883,154.083,67.883,164.583,191.867,47.817,147.833,56.1,100,169.25,110.967,89.567,100.6,59.083,80.867,145.933,96.833,219.85,141.7,57.433,129.517,175.317,106.117,148.567,182.067,126.883,100,141.917,98.183,69.017,163.033,96.717,169.65,50.067,191.517,150.333,79.75,124,200.017,203.05,129.283,46.933,94.633,109.033,101.65,117.967,126.367,98.567,128.017,45.967,185.117,87.5,85.567,150.933,71.883,170.533,97.433,99.6,45.55,126.283,133.55,48.683,0,167.2,206.5,70.633,151.567,80.25,18.25,157.4,146.1,194,32.45,207.617
"Sebastian",227.817,225.167,244.5,152.317,55.667,276.017,191,239.983,144.7,258.233,173.7,223.983,116.833,258.833,114.183,239.117,121.117,231.333,137.25,232.117,208.683,219.917,150.95,255.617,232.233,245.5,53.417,258.233,226.05,170.217,100.183,219.75,236.95,148.617,208.3,61.767,240.733,238,49.167,70.75,185.3,68.983,153.733,214.733,237.85,192.067,239.667,270.167,183,211.2,136.783,108.833,110.95,243.817,179.133,230.133,153.333,79.983,257.85,143.417,216.7,223.967,147.15,168.467,0,160.617,231.917,309.817,195.717,154.933,13.233,217.917,284.4,190.683,77.867
"Sevier",250.733,259.1,245.967,142.35,138.05,112.567,220.233,145.083,156.867,295.217,36.917,253.2,224.317,295.817,183.15,276.083,136.667,260.55,282.383,177.4,252.65,221.4,57.967,301.333,71.45,90.417,188.633,295.217,81,117.317,191.733,337.783,291.933,275.65,245.283,206.9,140.983,274.967,188.133,219.017,27.817,185.233,182.95,243.95,267.067,208.883,268.883,299.4,116.783,85.083,204.233,71.817,184.017,280.783,59.317,267.1,274.533,192.333,294.833,172.633,235.633,208.55,170.05,205.433,161.367,0,265.85,346.783,276.967,191.9,163.2,66.367,229.583,227.667,222.983
"Sharp",181.583,12.583,215.033,128.833,227.517,252.817,99.833,208.767,117.033,94.133,230.2,142.517,122.067,91.45,120.033,75,208.867,121.617,228.567,202.65,25.267,190.45,236.25,59.617,209.5,243,189.817,94.133,202.867,159.117,131.95,122.967,50.217,178.367,33.283,254.45,211.267,62.4,186.933,262.95,263.983,192.217,107.883,119.417,126.017,162.6,122.867,127.267,159.5,188.95,103.55,246.067,150.433,79.7,211.867,74.483,184.367,160.367,93.733,106.483,187.233,194.5,109.633,70.017,230.133,267.45,0,145.7,67.967,79.183,220.317,207.05,254.933,72.833,279.05
"St. Francis",233.25,146.917,296,209.8,306.483,333.783,177.383,289.733,198,51.667,311.167,205.817,239.067,79.733,201,83.333,287.833,127.417,289.883,283.617,159.467,271.417,317.217,152.217,290.483,323.967,268.8,51.667,283.833,240.1,210.933,215.2,167.933,290.067,121.083,333.433,292.233,96.067,265.9,341.933,344.967,271.2,188.85,145.617,122.867,243.567,119.717,84.967,240.467,269.917,187.883,327.033,229.417,77.2,292.833,105.667,299.117,239.35,84.067,187.45,268.2,275.467,190.6,150.983,309.1,348.417,145.15,0,195.6,160.167,299.3,288.017,335.917,150.917,348.883
"Stone",200.767,61.833,232.6,140.417,191.617,264.4,128.233,223.433,132.8,146.4,241.783,179.233,81.117,137.417,101.317,130.833,171.883,159.85,160.583,220.2,45.367,208.017,247.833,60.067,221.1,254.583,153.933,146.4,214.45,170.717,97.317,87.35,41.417,110.383,90.1,197.15,228.833,117.133,151.033,225.3,275.583,156.317,127.35,157.667,172.067,180.15,173.5,177.917,171.083,200.533,89.2,240.683,113.467,135.533,223.45,123.417,116.383,124.467,149.567,124.067,204.783,212.05,127.2,80.4,194.233,279.033,68.6,197.983,0,98.65,184.433,218.633,272.5,95.483,211.083
"Union",105.083,71.817,141.783,55.583,152.267,179.567,41.983,135.517,43.783,107.933,156.95,100.033,84.833,108.517,46.767,88.8,133.617,104.75,221.183,129.4,65.367,117.2,163,114.05,136.25,169.75,114.583,107.933,129.617,85.883,56.717,177.4,104.65,159.317,57.983,179.217,138.017,87.683,111.683,187.7,190.75,116.967,28.683,90.783,116.967,89.35,115.717,134.3,86.25,115.7,33.65,172.817,75.183,93.5,138.617,79.817,158.217,85.117,107.533,33.233,113.983,121.25,36.383,18.15,154.883,194.2,78.567,159.5,98.417,0,145.083,133.8,181.683,40.383,195.3
"Van Buren",218.233,215.567,234.917,142.733,56.417,276.767,181.417,225.75,135.117,248.65,175.517,214.4,107.233,249.25,104.583,229.533,121.867,221.75,127.667,222.517,199.1,210.333,152.75,246.033,233,247.317,43.833,248.65,226.817,170.967,90.6,210.167,227.367,139.033,198.717,52.183,231.15,228.417,39.583,63.55,187.117,59.4,144.15,205.133,228.25,182.467,230.083,260.583,173.4,211.95,127.2,109.583,101.367,234.233,179.883,220.55,143.75,70.4,248.267,133.833,207.1,214.367,137.55,158.867,13.667,162.417,222.333,300.233,186.133,145.35,0,218.667,274.817,181.1,68.267
"Washington",193.033,201.4,186.767,84.65,188.483,67.567,162.533,89.783,99.167,237.517,59.6,195.5,162.167,238.117,125.45,218.383,135.533,202.85,307.2,118.2,194.95,162.183,80.65,243.633,18.183,57.767,191.9,237.517,16.083,95.933,134.033,280.083,234.233,236.633,187.583,264.1,79.833,217.267,189,276.217,73.817,194.3,125.25,186.25,209.367,147.633,211.183,241.7,60.117,29.783,146.533,132.383,141.183,223.083,38.75,209.4,235.533,162.433,237.133,114.933,177.933,149.333,112.35,147.733,220.333,66.067,208.15,289.083,219.267,134.2,220.4,0,167.15,169.967,280.2
"White",143.083,249.417,83.383,171.767,283.167,151.65,206.283,113.25,158.25,285.533,220.633,192.85,215.75,286.133,179.033,266.417,264.683,247.717,360.783,100.75,242.967,67.717,236.967,291.667,169.633,146.467,245.483,285.533,154.4,197.183,187.617,333.667,282.25,290.217,235.6,310.117,92.2,265.283,242.583,318.6,217.017,247.883,173.15,232.433,254.233,103.883,256.05,286.55,174.533,145.383,200.617,264.517,206.1,271.1,187.25,257.417,289.117,216.017,285.15,162.833,105.683,78.817,160.25,195.75,285.783,229.683,256.167,337.1,272.85,182.233,275.983,167.167,0,217.983,326.2
"Woodruff",118.267,65.167,177.433,91.217,187.917,215.217,31.35,171.167,79.433,99.383,192.583,88.1,120.483,99.983,82.417,82.583,169.267,68.733,249.567,165.033,58.717,152.85,198.65,107.417,171.9,205.4,150.233,99.383,165.25,121.517,92.367,170.767,98,194.967,49.45,214.85,173.667,79.15,147.333,223.35,226.383,152.617,70.283,66.55,80.933,124.983,89.867,107.067,121.9,151.35,69.3,208.467,110.833,87.283,174.267,63.833,193.867,120.767,101.317,68.883,149.617,156.883,72.033,32.417,190.533,229.85,71.917,150.967,100.133,41.583,180.733,169.433,217.333,0,230.95
"Yell",267.467,274.783,284.15,191.967,116.133,315.95,230.65,274.983,184.35,297.883,235.217,263.633,156.483,298.483,153.833,278.767,175.583,270.983,93.233,271.767,258.317,259.567,212.467,235.083,272.65,307.017,93.067,297.883,266,222.317,139.833,178.383,231.183,118.967,247.95,21.717,280.383,277.65,88.817,38.233,246.817,108.633,193.383,254.383,277.5,231.717,279.317,309.817,222.65,252.083,176.433,169.3,150.6,283.467,239.6,269.783,147.383,119.633,297.5,183.067,256.35,263.6,186.783,208.117,76.717,222.133,281.533,348.35,212.933,194.583,66.9,278.367,324.05,230.333,0
