"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Cleburne",52.2,149.567,125.617,117.167,221.983,241.15,64.25,174.683,105.383,154.567,218.533,0,154.55,170.6,117.833,126.35,203.317,87.483,299.6,167.367,143.117,129.183,224.6,191.817,197.85,231.35,184.283,154.567,191.2,147.467,126.417,255.167,182.4,229.033,120.233,248.917,176.35,149.933,181.383,257.417,252.333,186.683,79.45,69.817,94,111.117,95.817,126.333,147.85,177.3,130.417,234.4,144.9,131.05,200.217,107.617,227.933,154.833,145.1,84.05,90.417,141.75,92.8,111.75,224.6,255.783,144.717,205.183,184.533,98.6,214.783,195.383,190.967,89.533,265.017
"Cleveland",158.35,116.567,175.033,82.85,113.567,206.833,121.533,165.867,75.233,186.283,186.617,154.517,0,186.867,44.7,167.15,98.567,161.867,176.1,162.633,100.1,150.45,192.683,140.9,163.533,197.017,75.883,186.283,156.883,117.65,30.717,141.817,122.25,116.75,136.333,140.517,171.267,166.033,72.983,149.017,218.017,78.283,84.267,145.25,168.367,122.583,170.2,200.7,113.517,142.967,67.317,167.367,40.15,171.85,165.883,158.167,115.65,46.433,185.883,73.95,147.217,154.483,77.667,90.183,116.183,223.867,123.317,237.85,81,85.467,106.383,161.067,214.933,118.733,156.6
"Columbia",206.033,88.9,245.4,159.2,255.883,283.183,132.8,239.133,147.4,60.717,260.567,170.967,188.467,0,150.4,60,237.233,109.8,261.6,233.017,103.95,220.817,266.617,88.9,239.883,273.367,218.2,60.717,233.233,189.5,160.333,151.867,106.867,226.733,70.483,298.15,241.633,45.333,215.3,291.333,294.367,220.6,138.25,140.667,112.483,192.967,109.333,113.733,189.867,219.317,137.283,276.433,178.817,66.167,242.233,80.483,235.783,188.75,80.2,136.85,217.6,224.867,140,100.383,258.5,297.817,91.367,79.667,137.567,109.567,248.7,237.417,285.317,100.317,312.083
"Conway",120.05,112.25,136.733,44.55,111.517,168.533,85.75,127.567,36.95,148.367,145.917,116.217,44.1,148.967,0,129.233,92.867,123.567,189.133,124.35,102.533,112.167,151.983,154.483,125.233,158.733,73.833,148.367,118.583,74.85,15.967,161.917,142.35,118.567,98.433,138.467,132.967,128.117,70.933,146.95,179.717,76.233,45.967,106.967,130.083,84.3,131.9,162.417,75.233,104.683,26.917,161.667,34.45,133.933,127.6,120.25,117.467,44.367,147.967,35.65,108.933,116.2,39.383,58.583,114.133,183.167,119,199.933,101.1,45.05,104.333,122.767,176.65,80.817,154.55
"Craighead",161.633,82.617,225.533,139.317,236.017,263.317,98.133,219.267,127.533,32.933,240.683,126.567,168.583,57.117,130.517,0,217.367,62.1,279.233,213.133,88.983,200.95,246.75,106.533,220,253.5,198.333,32.933,213.35,169.617,140.467,169.5,111.217,242.083,50.6,262.95,221.767,37.717,195.433,271.45,274.483,200.717,118.383,92.683,64.783,173.083,61.633,66.033,170,199.45,117.4,256.567,158.933,17.183,222.367,32.5,248.083,168.867,32.517,116.983,199.85,204.983,120.133,80.517,238.633,277.95,74.683,83.533,131.683,89.683,228.833,217.533,265.433,82.783,279.05
"Crawford",201.6,202.117,216.533,93.233,65.15,193.2,167.967,157.167,107.75,235.2,99.083,200.95,97.7,235.8,91.133,216.067,0,208.3,210.883,186.983,185.65,191.95,105.133,230.8,149.433,183.4,95.583,235.2,143.25,73.95,77.15,224.883,212.133,138.967,185.267,160.217,175.05,214.95,92.683,168.7,160.533,78.217,130.7,191.683,214.8,164.1,216.617,247.133,112.083,128.383,113.75,68.783,57.4,220.767,96.333,207.083,137.867,55.65,234.817,120.367,188.733,196,120.933,145.417,122.017,136.333,208.867,286.767,170.9,131.883,122.1,135.1,263.667,167.65,176.3
"Crittenden",116.367,129.9,189.783,123.95,228.75,247.933,72.267,203.933,112.15,77.85,225.317,87.867,161.333,109.15,124.617,62.35,210.1,0,306.367,197.817,123.45,183.233,231.367,158.567,204.617,238.117,191.067,77.85,197.983,154.25,133.2,221.533,162.733,235.8,97.117,255.7,206.433,89.75,188.167,264.183,259.117,193.467,86.233,27.5,22.767,157.633,30.283,47.983,154.617,184.067,134.033,241.183,151.683,52.867,206.983,51.967,234.7,161.6,60.483,90.817,154.583,188.433,103.767,97.133,231.367,262.567,121.6,124.517,164.85,106.317,221.567,202.167,247.717,69.867,271.783
"Cross",303.667,223.083,320.35,228.167,167.85,352.15,265.667,311.183,220.55,286.467,295.8,299.833,175.85,262.7,190.033,280.767,211.783,314.283,0,307.967,206.617,295.767,273.033,183.383,308.85,342.35,143.05,286.467,302.2,258.517,176.033,126.683,179.483,84.767,251.35,82.2,316.583,257.2,138.817,108.617,307.4,149.7,229.583,290.583,313.7,267.917,315.517,339.15,258.85,288.3,200.967,229.867,186.8,286.933,308.117,284.667,110.6,155.833,300.967,219.267,292.55,299.817,223,221.367,137.283,282.7,229.833,288.983,161.233,221.733,127.483,306.383,360.25,249.917,93.05
"Dallas",138.317,195.65,83.133,96.283,229.4,129.583,156.65,53.267,104.467,231.75,164.2,163.867,161.967,232.35,125.25,212.633,187.267,196.983,307.017,0,189.2,58.55,176.917,237.883,120.167,119.583,191.7,231.75,104.933,121.267,133.833,279.9,228.483,236.45,181.817,256.333,47.4,211.517,188.8,264.833,174.65,194.1,119.383,180.367,203.483,68.45,205.3,235.817,102.717,92.883,146.85,202.483,152.317,217.333,134.75,203.65,235.35,162.25,231.367,109.05,100.667,45.7,106.483,141.983,232.017,177.183,202.4,283.333,219.083,128.45,222.2,117.717,101.033,164.2,272.433
"Desha",166.667,18.15,200.117,113.917,205.1,237.9,84.917,193.85,102.117,107.033,215.283,141.667,99.667,103.5,102.933,87.9,186.45,122.3,206.15,187.733,0,175.55,221.333,60.4,194.6,228.083,167.417,107.033,187.95,144.217,109.55,123.75,51,155.967,47.183,232.05,196.35,81.6,164.517,240.55,249.083,169.817,92.967,120.117,133.733,147.683,130.583,134.983,144.6,174.033,81.15,231.15,128.033,92.6,196.967,80.5,161.967,137.967,106.633,91.583,172.317,179.583,94.717,55.1,207.717,252.533,24.917,158.6,45.567,64.283,197.917,192.133,240.033,57.917,256.65
