"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Butler",188.605,410.73,388.091,614.559,304.961,63.784,505.176,254.045,96.226,261.053,152.274,0,182.625,65.416,427.239,426.838,541.077,123.148,57.416,112.383,224.035,188.266,160.434,273.092,433.436,151.791,84.622,180.002,412.458,112.676,220.793,319.272,294.92,220.158,219.593,311.277,247.097,432.008,117.541,321.883,133.478,257.945,176.118,383.511,184.215,195.205,88.855,195.574,231.357,156.751,305.08,316.407,572.841,80.174,141.714,130.747,271.846,163.331,64.042,323.98,52.994,624.318,56.427,263.646,159.934,197.762,251.104,407.983,224.769,109.065,140.482,55.908,316.168,80.415,266.693,150.433,156.192,146.594,598.65,91.763,316.282,334.054,639.999,96.024,84.185,306.859,154.968,115.27,125.8,130.69,84.622,138.003,72.328
"Cass",116.438,532.303,563.995,736.132,445.987,230.736,671.874,408.688,180.435,382.626,103.679,183.392,0,239.398,548.812,570.379,662.65,230.296,138.885,153.237,399.867,196.721,163.643,103.638,555.009,239.2,144.536,96.37,534.031,193.074,342.366,440.845,416.493,180.547,386.291,432.85,368.67,553.581,291.859,443.456,213.876,379.518,297.691,505.084,141.86,124.662,250.945,175.473,89.819,291.657,426.653,459.948,694.414,160.572,85.526,88.511,464.759,310.959,208.256,499.884,225.023,745.891,229.524,98.226,267.082,61.385,129.134,529.556,346.342,235.542,262.055,204.122,437.741,127.814,410.234,151.393,27.132,314.041,720.223,115.979,437.855,455.627,825.775,197.168,157.603,473.557,183.812,69.219,67.396,202.066,144.536,303.77,164.235
"Cedar",236.709,401.528,359.06,605.357,261.887,34.552,471.812,210.971,96.862,225.292,193.087,65.416,238.531,0,418.037,383.764,531.875,113.946,113.322,149.856,195.004,219.901,200.336,321.196,424.234,188.023,122.095,228.106,403.256,141.608,211.591,310.07,285.718,256.09,190.562,302.075,237.895,422.806,75.385,312.681,162.41,248.743,166.916,374.309,232.319,243.309,74.469,237.373,279.461,147.549,295.878,273.333,563.639,109.106,193.314,184.835,242.815,156.37,88.431,294.949,43.89,582.349,14.271,311.75,150.732,245.594,299.208,398.781,215.567,133.454,131.28,62.338,306.966,131.68,223.619,198.604,208.198,104.438,557.556,139.48,307.08,324.852,606.635,120.413,113.117,273.495,191.2,171.176,181.706,161.854,122.095,94.929,101.26
"Chase",473.437,39.526,136.539,289.517,440.226,447.644,273.138,500.895,376.249,269.469,604.975,427.271,548.02,418.07,0,337.921,216.035,336.837,484.687,539.654,294.77,615.537,620.011,528.039,108.394,579.062,511.893,509.749,59.857,375.289,256.395,142.116,188.707,449.422,266.444,155.552,195.448,44.654,382.962,159.97,369.688,220.894,251.248,86.616,451.895,470.888,372.526,430.705,511.062,264.216,172.474,410.253,247.799,390.839,474.957,466.478,218.394,299.381,487.109,210.661,374.277,299.219,403.798,542.099,329.426,527.237,504.79,63.591,224.299,532.132,294.099,402.559,111.07,467.119,397.809,433.119,539.553,356.911,273.551,441.073,159.653,177.425,379.103,519.091,416.285,259.873,582.239,546.258,554.063,557.961,511.893,395.638,395.316
"Cherry",603.08,375.053,201.382,326.255,196.726,366.388,202.205,227.012,460.977,326.413,471.251,426.88,570.347,383.708,337.967,0,295.706,468.755,471.425,444.158,290.977,435.293,450.454,687.567,294.076,386.589,443.186,594.477,395.384,508.069,464.599,328.032,425.427,622.551,251.477,436.358,367.187,293.419,343.745,271.428,528.871,428.262,419.178,431.304,598.69,609.68,367.597,603.834,645.832,373.87,287.29,138.947,357.688,475.567,559.685,551.206,254.169,338.471,381.793,199.011,415.391,301.035,403.309,678.121,505.541,611.965,665.579,322.264,400.077,341.965,421.085,437.093,391.876,498.83,160.973,564.975,543.914,304.5,289.4,525.801,345.569,363.341,242.057,379.431,484.339,165.619,433.443,502.992,513.522,392.432,443.186,314.374,480.044
"Cheyenne",632.984,253.062,180.865,84.97,493.66,562.276,93.545,522.385,490.881,340.207,719.607,541.903,662.652,532.702,215.976,296.087,0,508.03,599.319,654.286,365.508,730.169,734.643,717.471,109.997,693.694,626.525,624.381,273.393,537.973,452.245,277.043,388.861,652.455,337.182,369.088,330.621,171.428,453.7,230.708,526.052,415.992,406.824,300.152,628.594,639.584,487.158,633.738,675.736,378.935,243.212,434.32,83.863,505.471,589.589,581.11,289.132,414.1,601.741,244.975,488.909,116.374,518.43,708.025,515.694,641.869,695.483,200.273,363.578,646.764,408.731,517.191,324.606,581.751,457.907,594.879,654.185,427.649,90.706,555.705,294.58,312.352,196.258,633.723,530.917,291.865,696.871,660.89,668.695,672.593,626.525,466.376,509.948
"Clay",137.487,320.357,400.234,572.371,334.017,143.5,508.008,319.312,57.699,218.865,286.425,123.127,229.47,113.926,336.866,468.964,498.889,0,180.543,235.51,236.106,311.393,301.461,226.886,391.248,274.918,207.749,191.199,322.085,38.452,123.462,243.55,197.737,153.378,222.425,220.904,167.559,389.82,149.91,279.695,46.876,157.636,86.201,293.138,128.291,144.087,108.996,134.661,190.359,127.896,262.892,373.808,530.653,68.76,156.407,147.928,274.678,147.093,182.965,336.123,70.222,582.13,99.654,221.396,36.786,208.687,203.637,365.795,134.396,227.988,98.294,83.966,225.795,148.569,324.094,97.169,221.003,172.092,556.462,122.523,240.56,258.332,662.014,214.947,97.735,309.691,278.095,227.708,235.513,253.817,207.749,186.539,76.766
"Colfax",161.637,468.057,445.418,671.886,345.848,104.671,555.773,293.849,150.147,318.38,107.728,57.327,138.079,113.333,484.566,466.642,598.404,180.475,0,68.634,281.362,148.459,115.888,238.191,490.763,125.951,58.782,153.034,469.785,166.597,278.12,376.599,352.247,198.694,276.92,368.604,304.424,489.335,165.458,379.21,187.399,315.272,233.445,440.838,157.247,168.237,146.182,193.62,209.945,214.078,362.407,356.211,630.168,134.095,111.141,103.444,329.173,220.658,93.848,381.307,110.321,681.645,104.344,238.306,217.261,163.76,229.692,465.31,282.096,131.805,197.809,113.235,373.495,74.4,306.497,144.418,111.646,194.511,655.977,85.748,373.609,391.381,690.596,82.76,127.56,357.456,110.3,70.724,81.254,104.85,58.782,178.89,126.249
"Cuming",189.507,522.531,484.371,726.36,319.741,132.429,566.136,271.34,209.926,350.603,43.207,111.801,153.209,149.749,539.04,444.133,652.878,234.949,68.527,0,320.315,94.79,51.367,253.321,545.237,96.921,30.019,184.982,524.259,222.565,332.594,431.073,406.721,226.564,315.873,423.078,358.898,543.809,185.588,433.684,243.367,369.746,287.919,495.312,185.117,196.107,200.656,221.49,225.075,268.552,416.881,333.702,684.642,190.063,144.826,131.314,368.126,275.132,93.739,420.26,164.795,676.673,159.042,253.436,271.735,178.89,244.822,519.784,336.57,109.296,252.283,167.709,427.969,113.161,283.988,194.65,126.776,229.749,651.88,137.262,428.083,445.855,685.476,75.88,179.074,367.819,57.566,85.854,96.384,75.82,30.019,189.253,182.749
"Custer",370.127,276.125,216.388,438.017,193.541,208.627,330.021,254.21,228.024,41.763,363.631,224.109,399.795,195.004,294.432,290.977,364.535,245.173,281.525,320.4,0,390.445,370.88,454.614,256.894,354.175,292.639,361.524,267.266,275.116,189.388,151.577,144.838,389.598,44.438,166.085,86.598,255.466,136.277,145.341,263.195,153.051,143.967,238.319,365.737,376.727,135.234,370.881,412.879,99.053,128.538,222.641,396.299,242.614,326.732,318.253,100.143,96.374,258.975,152.277,183.028,440.558,180.733,445.168,252.837,379.012,432.626,231.441,107.649,309.551,145.874,204.73,170.976,274.072,183.618,332.022,391.328,110.226,422.108,292.848,148.587,166.359,464.844,290.957,268.06,131.704,361.744,328.362,347.465,332.398,292.639,148.953,247.091
"Dakota",284.08,598.505,559.147,802.334,310.899,207.205,631.308,225.374,294.954,425.379,86.492,187.775,194.85,224.525,615.014,435.291,728.852,310.923,148.439,94.662,395.091,0,52.296,294.962,621.211,55.886,109.931,262.501,600.233,307.593,408.568,507.047,482.695,297.826,390.649,499.052,434.872,619.783,260.364,509.658,328.395,445.72,363.893,571.286,256.379,292.304,276.63,292.752,281.143,344.526,492.855,324.86,760.616,275.091,242.814,203.03,442.902,351.106,138.43,495.036,240.769,735.612,233.818,286.139,347.709,237.058,302.99,595.758,412.544,103.452,328.257,243.683,503.943,193.073,275.146,265.912,184.944,295.307,723.977,217.174,504.057,521.829,676.634,106.398,258.986,432.991,42.598,139.701,140.274,58.095,109.931,254.425,256.589
