"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Furnas",325.634,172.198,289.974,462.111,330.285,307.164,445.789,390.954,235.769,119.531,464.495,286.791,407.54,277.59,188.707,425.423,388.629,197.74,344.207,399.174,144.832,475.057,479.531,371.335,280.988,438.582,371.413,369.269,173.926,235.732,80.187,134.437,0,276.099,182.943,73.003,58.24,230.903,268.589,169.435,221.885,44.686,110.768,144.979,295.191,314.184,232.046,257.382,354.358,123.736,152.632,370.076,420.393,250.359,334.477,325.998,190.738,158.901,346.629,225.863,233.797,471.87,263.318,385.395,168.333,386.757,338.639,213.563,75.218,391.652,153.619,262.079,77.894,326.639,320.362,285.316,399.073,247.331,446.202,300.593,131.447,97.896,551.754,378.611,275.805,261.254,441.759,405.778,413.583,417.481,371.413,280.301,254.836
"Gage",72.012,432.925,553.766,725.903,487.654,256.825,661.645,447.086,170.206,372.397,239.378,220.094,181.43,256.192,449.434,622.601,652.421,153.401,198.777,226.754,389.638,297.837,254.414,101.253,544.78,307.862,215.511,122.754,434.653,115.387,195.927,377.294,276.607,0,376.062,333.472,301.303,543.352,303.547,433.227,112.983,231.928,225.586,405.706,43.42,62.413,262.633,34.614,102.587,281.428,416.424,527.445,684.185,148.323,102.402,94.505,454.53,300.73,261.991,489.655,214.794,735.662,241.92,128.923,120.242,127.401,63.348,456.42,268.14,307.014,251.826,193.812,338.363,154.441,477.731,61.481,173.956,325.729,709.994,128.395,374.304,358.365,815.546,264.671,156.799,463.328,268.42,180.661,188.466,286.761,215.511,340.176,153.925
"Garden",356.541,247.536,183.798,409.428,189.099,204.185,290.521,249.768,214.438,79.874,359.189,219.667,386.209,190.562,265.115,251.477,335.946,222.216,277.083,315.958,44.438,386.003,366.438,441.028,228.305,349.733,288.197,347.938,302.672,261.53,218.06,170.453,182.949,376.012,0,204.196,124.709,226.877,131.835,113.849,282.332,181.723,172.639,273.725,352.151,363.141,130.792,357.295,399.293,127.331,129.711,183.141,367.71,229.028,313.146,304.667,67.553,91.932,254.533,119.687,178.586,401.058,176.291,431.582,259.002,365.426,419.04,202.124,153.538,305.109,174.546,200.288,209.087,269.63,170.697,318.436,377.742,105.784,376.265,279.262,170.142,187.914,425.344,286.515,237.8,92.204,357.302,323.92,343.023,327.956,288.197,144.511,233.505
"Garfield",357.475,139.043,287.126,442.611,353.572,331.682,426.232,414.241,260.287,140.777,489.013,311.309,432.058,302.108,155.552,436.396,369.129,220.875,368.725,423.692,166.078,499.575,504.049,412.077,261.488,463.1,395.931,393.787,140.771,259.327,140.433,111.731,73.002,333.46,204.189,0,79.486,197.748,293.107,169.676,253.726,104.932,135.286,111.824,335.933,354.926,256.564,314.743,395.1,148.254,173.878,393.363,400.893,274.877,358.995,350.516,211.984,183.419,371.147,223.015,258.315,452.313,287.836,426.137,213.464,411.275,388.828,179.814,108.337,416.17,178.137,286.597,44.481,351.157,343.649,317.157,423.591,270.618,426.645,325.111,59.294,64.483,532.197,403.129,300.323,272.227,466.277,430.296,438.101,441.999,395.931,303.588,279.354
"Gosper",338.14,178.94,231.734,403.871,282.461,267.432,387.549,343.13,196.037,61.291,424.763,247.059,367.808,237.858,195.449,367.183,330.389,167.574,304.475,359.442,86.592,435.325,439.799,422.627,222.748,398.85,331.681,329.537,180.668,206.026,117.874,76.197,58.24,301.319,124.703,79.487,0,183.576,228.857,111.195,201.247,83.188,81.985,151.721,333.75,344.74,192.314,282.602,380.892,84.091,94.392,302.906,362.153,210.627,294.745,286.266,132.498,119.256,306.897,167.623,194.065,413.63,223.586,413.181,181.323,347.025,400.639,155.323,33.167,351.92,113.887,222.347,84.378,286.907,272.538,300.035,359.341,199.507,387.962,260.861,73.207,90.979,493.514,338.879,236.073,203.014,402.027,366.046,373.851,377.749,331.681,232.477,215.104
"Grant",523.18,81.642,91.893,244.871,401.16,452.472,228.492,461.829,381.077,230.403,609.803,432.099,552.848,422.898,44.556,293.275,171.389,398.226,489.515,544.482,255.704,620.365,624.839,607.667,63.748,583.89,516.721,514.577,101.973,428.169,342.441,107.378,230.823,542.651,227.378,197.668,183.576,0,343.896,120.904,416.248,266.554,297.02,128.732,518.79,529.78,377.354,523.934,565.932,269.131,133.408,371.187,203.153,395.667,479.785,471.306,179.328,304.296,491.937,171.595,379.105,254.573,408.626,598.221,405.89,532.065,585.679,28.853,216.533,536.96,298.927,407.387,153.186,471.947,358.743,485.075,544.381,317.845,228.905,445.901,124.915,142.687,334.457,523.919,421.113,220.807,587.067,551.086,558.891,562.789,516.721,356.572,400.144
"Greeley",284.096,364.071,300.333,525.963,205.137,73.9,415.062,170.952,141.993,166.565,228.904,117.541,291.332,53.346,381.65,343.745,452.481,149.771,165.447,185.673,136.277,255.718,236.153,368.583,344.84,221.413,157.912,275.493,394.335,189.085,202.67,301.149,276.797,303.567,131.835,293.154,228.974,343.412,0,230.384,209.887,239.822,157.995,365.388,279.706,290.696,40.914,284.85,326.848,139.35,246.246,233.314,484.245,156.583,240.701,232.222,184.088,108.498,124.248,236.222,88.708,525.599,61.114,359.137,186.557,292.981,346.595,318.659,206.646,169.271,122.359,110.41,298.045,179.752,183.6,245.991,256.27,45.711,500.806,187.552,298.159,315.931,549.885,156.23,161.189,216.745,227.017,232.715,243.245,197.671,157.912,38.179,149.332
"Hall",413.67,141.39,122.166,303.282,287.62,302.706,269.623,348.289,271.567,120.893,500.293,322.589,443.338,313.388,159.697,271.436,229.8,288.716,380.005,434.972,142.959,510.855,515.329,498.157,122.159,448.254,407.211,405.067,196.772,318.659,232.931,64.553,169.547,433.141,113.838,172.879,111.307,120.731,230.356,0,306.738,196.678,187.51,167.825,409.28,420.27,229.313,414.424,456.422,159.621,17.482,257.647,261.564,286.157,370.275,361.796,65.788,194.786,382.427,58.055,269.595,313.041,299.116,488.711,296.38,422.555,476.169,96.706,144.264,403.63,189.417,297.877,128.397,362.437,245.203,375.565,434.871,204.305,287.373,336.391,82.09,99.862,392.925,414.409,311.603,107.267,477.557,441.576,449.381,453.279,407.211,243.032,290.634
"Hamilton",110.207,353.158,427.314,599.451,393.987,163.158,567.978,353.419,76.539,245.945,269.987,132.647,213.032,162.525,369.667,528.934,525.969,46.876,186.969,243.427,263.186,328.446,285.023,186.468,418.328,281.258,214.089,174.761,354.886,21.72,147.593,277.219,221.868,112.96,282.395,253.705,201.228,416.9,209.88,306.775,0,181.767,119.061,325.939,101.011,116.807,168.966,94.243,163.079,154.879,289.972,433.778,557.733,54.656,139.969,131.49,328.078,207.063,192.968,363.203,121.127,609.21,148.253,194.116,60.62,192.249,163.219,356.345,168.065,237.991,158.159,100.145,258.596,132.131,384.064,69.889,204.565,232.062,583.542,106.085,274.229,292.001,689.094,224.95,81.227,369.661,285.093,211.27,219.075,260.157,214.089,246.509,60.258
"Harlan",285.538,204.348,317.216,489.353,293.282,270.161,473.031,353.951,198.766,135.847,427.492,249.788,370.537,240.587,220.857,428.229,415.871,157.644,307.204,362.171,153.018,438.054,442.528,326.648,308.23,401.579,334.41,332.266,206.076,195.636,35.5,159.119,44.678,231.412,181.69,104.895,83.128,266.498,231.586,196.677,181.789,0,73.765,177.129,250.504,269.497,195.043,212.695,309.671,86.733,179.874,333.073,447.635,213.356,297.474,288.995,217.98,121.898,309.626,253.105,196.794,499.112,226.315,340.708,123.646,349.754,293.952,238.245,49.965,354.649,116.616,225.076,109.786,289.636,283.359,245.22,362.07,210.328,473.444,263.59,156.129,129.788,578.996,341.608,238.802,268.956,404.756,368.775,376.58,380.478,334.41,243.298,217.833
"Hayes",222.797,234.755,308.043,480.18,284.179,196.621,463.858,327.448,125.226,126.674,353.952,176.248,296.997,167.047,251.264,419.126,406.698,86.169,233.664,288.631,143.915,364.514,368.988,299.058,299.057,328.039,260.87,258.726,236.483,124.621,45.241,157.948,112.021,225.55,172.587,135.302,81.957,297.629,158.046,187.504,119.048,79.415,0,207.536,213.601,229.397,121.503,206.833,275.669,35.608,170.701,323.97,438.462,139.816,223.934,215.455,208.807,71.533,236.086,243.932,123.254,489.939,152.775,342.37,108.69,276.214,275.809,237.074,48.794,281.109,43.076,151.536,140.193,216.096,274.256,182.479,288.53,162.696,464.271,190.05,154.958,172.73,569.823,268.068,165.262,259.853,331.216,295.235,303.04,306.938,260.87,194.675,144.293
"Hitchcock",429.711,78.916,220.697,373.675,425.808,403.918,357.296,486.477,332.523,213.013,561.249,383.545,504.294,374.344,86.616,431.386,300.193,293.111,440.961,495.928,238.314,571.811,576.285,484.313,192.552,535.336,468.167,466.023,29.397,331.563,212.669,106.721,144.981,405.696,273.788,111.826,151.722,128.812,365.343,164.666,325.962,177.168,207.522,0,408.169,427.162,328.8,386.979,467.336,220.49,180.057,417.597,331.957,347.113,431.231,422.752,225.738,255.655,443.383,218.005,330.551,383.377,360.072,498.373,285.7,483.511,461.064,119.687,180.573,488.406,250.373,358.833,67.344,423.393,415.885,389.393,495.827,342.854,357.709,397.347,124.258,100.549,463.261,475.365,372.559,267.217,538.513,502.532,510.337,514.235,468.167,375.824,351.59
"Holt",30.742,435.372,530.469,702.606,464.357,233.609,638.348,449.652,146.909,349.1,198.108,184.741,141.153,232.976,451.881,599.304,629.124,128.288,157.507,185.484,366.341,256.567,213.144,103.516,521.483,270.064,174.241,81.484,437.1,90.13,215.011,407.319,295.691,43.623,352.765,335.919,335.144,520.055,280.25,409.93,101.032,251.012,213.635,408.153,0,19.297,239.336,38.549,83.614,258.131,393.127,504.148,660.888,127.046,61.132,53.235,431.233,277.433,226.638,466.358,191.497,712.365,218.704,114.651,139.326,98.748,80.267,496.03,262.639,271.661,228.529,170.596,340.81,106.367,454.434,31.103,132.686,302.432,686.697,93.042,404.329,422.101,792.249,226.873,133.688,440.031,227.15,139.391,147.196,248.963,174.241,316.879,130.709
"Hooker",8.24,454.359,541.475,713.612,475.363,244.615,649.354,460.658,157.915,360.106,184.477,195.747,124.721,243.982,470.868,610.31,640.13,144.1,168.513,196.49,377.347,294.373,224.15,90.363,532.489,281.07,185.247,60.198,456.087,105.942,233.998,418.325,314.678,62.61,363.771,354.906,346.15,531.061,291.256,420.936,116.844,269.999,229.447,427.14,19.297,0,250.342,57.536,62.328,269.137,404.133,515.154,671.894,138.052,59.314,64.241,442.239,288.439,237.644,477.364,202.503,723.371,229.71,93.365,158.313,77.462,67.114,507.036,278.451,282.667,239.535,181.602,359.797,117.373,465.44,46.915,119.055,313.438,697.703,104.048,415.335,433.107,803.255,237.879,144.694,451.037,238.156,130.069,133.565,259.969,185.247,327.885,141.715
"Howard",243.182,355.604,299.236,559.433,220.649,104.081,416.321,210.316,101.079,162.908,241.149,88.875,250.418,74.507,372.113,367.587,485.951,108.857,146.291,201.258,135.18,277.141,249.309,327.669,378.31,240.666,173.497,234.579,357.332,148.171,165.667,264.146,239.794,262.653,130.738,256.151,191.971,376.882,40.914,229.287,168.973,202.819,120.992,328.385,238.792,249.782,0,243.936,285.934,101.982,249.954,260.44,517.715,115.669,199.787,191.308,182.991,83.679,148.713,235.125,47.794,526.858,60.236,318.223,145.643,252.067,305.681,352.857,169.643,193.736,85.356,69.496,261.042,138.838,210.726,205.077,215.356,63.096,502.065,146.638,261.156,278.928,551.144,180.695,120.275,218.004,243.843,193.128,212.231,219.565,173.497,77.543,108.418
"Jefferson",67.137,414.196,535.037,707.174,468.925,238.096,642.916,428.357,151.477,353.668,234.503,195.51,176.555,237.463,430.705,603.872,633.692,134.672,188.989,221.879,370.909,292.962,249.539,114.689,526.051,283.278,210.636,117.879,415.924,96.658,177.198,358.565,257.878,34.614,357.333,314.743,282.574,524.623,284.818,414.498,94.254,213.199,206.857,386.977,38.545,57.538,243.904,0,97.712,262.699,397.695,508.716,665.456,129.594,97.527,89.63,435.801,282.001,237.407,470.926,196.065,716.933,223.191,128.749,101.513,122.526,91.44,437.691,249.411,282.43,233.097,175.083,319.634,129.857,459.002,43.322,169.081,307,691.265,103.811,355.575,339.636,796.817,240.087,132.215,444.599,263.545,175.786,183.591,262.177,210.636,321.447,135.196
"Johnson",54.104,494.533,584.175,756.312,518.063,287.315,692.054,475.744,200.615,402.806,181.837,234.504,86.246,286.682,511.042,653.01,682.83,190.372,217.043,231.395,420.047,283.121,241.801,44.983,575.189,301.325,222.694,84.259,496.261,152.214,274.172,461.025,354.852,102.784,406.471,395.08,388.85,573.761,333.956,463.636,163.116,310.173,275.719,467.314,79.975,62.328,293.042,97.71,0,311.837,446.833,557.854,714.594,180.752,103.388,104.784,484.939,331.139,286.414,520.064,245.203,766.071,272.41,35.537,198.487,62.82,51.334,549.736,329.748,313.7,282.235,224.302,399.971,156.128,508.14,93.187,115.528,356.138,740.403,146.748,458.035,475.807,845.955,275.326,187.394,493.737,261.97,147.377,145.554,280.224,222.694,370.585,184.415
"Kearney",261.968,247.662,279.425,451.562,238.908,177.212,435.24,281.925,119.865,80.735,348.591,156.839,291.636,147.638,264.171,373.855,378.08,137.014,214.255,269.222,99.141,345.105,363.627,346.455,270.439,308.63,241.461,253.365,249.39,166.957,81.229,156.275,124.928,281.439,127.316,148.209,84.1,269.011,139.372,158.886,155.036,87.953,35.693,220.443,257.578,268.568,100.274,262.722,304.72,0,142.083,278.699,409.844,134.455,218.573,210.094,180.189,35.383,216.677,215.314,103.845,461.321,133.366,337.009,144.678,270.853,324.467,244.986,61.701,261.7,37.715,146.175,153.1,210.735,228.985,223.863,283.169,117.872,435.653,184.689,153.285,171.057,541.205,248.659,159.901,214.582,311.807,289.874,297.679,287.529,241.461,150.842,138.932
"Keith",396.917,153.894,138.021,315.786,303.475,326.209,285.478,364.144,254.814,104.14,483.54,305.836,426.585,296.635,172.201,287.291,242.304,271.963,363.252,418.219,129.441,494.102,498.576,481.404,134.663,457.627,390.458,388.314,209.276,301.906,216.178,77.057,152.794,416.388,129.693,174.041,94.554,133.235,246.211,17.482,289.985,179.925,170.757,180.329,392.527,403.517,251.091,397.671,439.669,142.868,0,273.502,274.068,269.404,353.522,345.043,81.643,178.033,365.674,73.91,252.842,325.545,282.363,471.958,279.627,405.802,459.416,109.21,127.511,410.697,172.664,281.124,140.901,345.684,261.058,358.812,418.118,220.16,299.877,319.638,94.594,112.366,405.429,397.656,294.85,123.122,460.804,424.823,432.628,436.526,390.458,258.887,273.881
"Keya Paha",507.924,417.981,332.143,464.488,86.295,255.957,340.438,88.064,365.821,258.077,360.82,316.449,459.916,273.277,435.56,138.947,433.939,373.599,360.994,333.727,222.641,324.862,340.023,560.028,398.75,276.158,332.755,499.321,473.117,412.913,369.443,340.898,370.081,527.395,183.141,393.356,302.912,397.322,233.314,284.294,433.715,333.106,324.022,444.17,503.534,514.524,260.45,508.678,550.676,278.714,300.156,0,495.921,380.411,464.529,456.05,211.362,243.315,271.362,277.252,308.244,439.268,292.878,560.143,410.385,485.597,570.423,372.569,304.921,231.534,325.929,329.946,398.247,388.399,50.542,469.819,433.483,197.353,427.633,392.767,313.951,331.723,380.29,269,366.404,178.485,323.012,392.561,403.091,282.001,332.755,207.227,354.547
"Kimball",664.741,284.819,233.311,44.126,542.721,594.033,155.587,603.39,522.638,371.964,751.364,573.66,694.409,564.459,247.733,358.129,82.399,539.787,631.076,686.043,397.265,761.926,766.4,749.228,141.754,725.451,658.282,656.138,305.15,569.73,484.002,308.8,420.618,684.212,368.939,400.845,362.378,203.185,485.457,262.465,557.809,447.749,438.581,331.909,660.351,671.341,518.915,665.495,707.493,410.692,274.969,496.362,0,537.228,621.346,612.867,320.889,445.857,633.498,313.156,520.666,101.952,550.187,739.782,547.451,673.626,727.24,232.03,395.335,678.521,440.488,548.948,356.363,613.508,500.304,626.636,685.942,459.406,72.986,587.462,326.337,344.109,181.836,665.48,562.674,362.368,728.628,692.647,700.452,704.35,658.282,498.133,541.705
"Knox",130.022,375.065,406.757,578.894,340.645,109.816,514.636,300.077,23.197,225.388,216.645,79.305,159.69,109.183,391.574,475.592,505.412,68.432,133.627,190.085,242.629,275.104,231.681,214.509,397.771,227.916,160.747,121.419,376.793,33.858,185.128,283.607,259.255,148.34,229.053,275.612,211.432,396.343,156.538,286.218,54.66,222.28,140.453,347.846,125.632,136.622,115.624,129.623,172.774,134.419,269.415,380.436,537.176,0,86.627,78.148,307.521,153.721,139.626,342.646,67.785,588.653,94.911,205.063,108.822,138.907,192.521,372.318,189.104,184.649,104.817,46.803,280.503,78.789,330.722,91.917,151.223,178.72,562.985,52.743,280.617,298.389,668.537,171.608,27.885,316.319,231.751,157.928,165.733,206.815,160.747,193.167,6.916
"Lancaster",51.083,459.578,491.27,663.407,425.158,186.294,599.149,410.453,107.71,309.901,135.185,136.494,78.23,185.661,476.087,560.105,589.925,157.571,111.072,144.885,327.142,245.081,155.291,138.635,482.284,223.629,127.806,45.545,461.306,120.349,269.641,368.12,343.768,105.661,313.566,360.125,295.945,480.856,241.051,370.731,141.151,306.793,224.966,432.359,64.214,59.307,200.137,100.587,96.9,218.932,353.928,464.949,621.689,87.847,0,8.436,392.034,238.234,178.391,427.159,152.298,673.166,171.389,129.189,194.357,53.677,116.647,456.831,273.617,223.414,189.33,123.281,365.016,58.118,415.235,73.747,69.763,263.233,647.498,46.283,365.13,382.902,753.05,180.438,87.907,400.832,175.46,80.777,84.273,202.528,127.806,277.68,91.51
"Lincoln",60.167,451.141,482.833,654.97,416.721,185.973,590.712,402.016,99.273,301.464,144.198,130.456,87.243,185.34,467.65,551.668,581.488,149.134,103.22,131.197,318.705,202.657,159.234,139.409,473.847,215.777,119.954,46.319,452.869,111.912,261.204,359.683,335.331,97.224,305.129,351.688,287.508,472.419,232.614,362.294,132.714,298.356,216.529,423.922,55.777,66.767,191.7,92.15,97.674,210.495,345.491,456.512,613.252,79.41,8.478,0,383.597,229.797,172.353,418.722,143.861,664.729,171.068,129.963,185.92,58.885,117.421,448.394,265.18,217.376,180.893,122.96,356.579,52.08,406.798,65.31,78.776,254.796,639.061,40.245,356.693,374.465,744.613,172.586,81.869,392.395,172.863,85.481,93.286,194.676,119.954,269.243,83.073
"Logan",434.911,199.486,135.748,361.378,241.362,256.448,288.336,302.031,292.808,107.185,411.452,271.93,464.579,242.825,217.065,254.188,287.896,274.479,329.346,368.221,96.701,438.266,418.701,519.398,180.255,401.996,340.46,426.308,254.622,339.9,254.172,122.403,190.788,454.382,67.58,212.035,132.548,178.827,184.098,65.799,327.979,217.919,208.751,225.675,430.521,441.511,183.055,435.665,477.663,164.475,81.661,211.389,319.66,307.398,391.516,383.037,0,144.195,306.796,71.637,230.849,371.137,228.554,509.952,317.621,443.796,497.41,154.074,165.505,357.372,210.658,252.551,186.247,321.893,198.945,396.806,456.112,158.047,345.469,357.632,139.94,157.712,423.159,338.778,290.063,90.019,409.565,376.183,395.286,380.219,340.46,196.774,311.875
"Loup",280.882,282.822,260.43,486.722,203.524,185.985,377.515,246.541,138.779,104.953,315.278,163.004,310.55,156.411,299.331,338.471,413.24,146.557,220.42,275.387,96.374,351.27,323.438,365.369,305.599,314.795,247.626,272.279,284.55,185.871,115.935,191.435,160.088,300.353,91.932,183.369,119.26,304.171,108.539,194.046,206.673,123.113,71.26,255.603,276.492,287.482,83.72,281.636,323.634,35.398,177.243,243.315,445.004,153.369,237.487,229.008,144.185,0,222.842,196.319,110.01,496.481,142.14,355.923,179.384,289.767,343.381,280.146,96.861,276.056,72.421,131.201,188.26,229.649,193.601,242.777,302.083,82.488,470.813,203.603,188.445,206.217,512.338,254.824,162.141,179.198,317.972,267.851,316.593,293.694,247.626,115.458,157.846
"Madison",229.901,470.528,423.009,674.357,257.45,71.067,504.774,209.049,155.049,289.241,106.922,63.328,206.026,88.387,487.037,381.842,600.875,182.946,92.107,79.829,258.953,133.788,114.223,306.138,493.234,101.91,63.868,221.298,472.256,171.499,280.591,379.07,354.718,261.454,254.511,371.075,306.895,491.806,124.226,381.681,192.301,317.743,235.916,443.309,225.511,236.501,148.653,236.87,277.892,216.549,364.878,271.411,632.639,138.997,183.01,172.043,306.764,223.129,0,358.898,112.792,615.311,97.68,306.253,219.732,231.707,297.639,467.781,284.567,47.341,200.28,115.706,375.966,121.711,221.697,191.729,179.593,168.387,590.518,133.059,376.08,393.852,623.185,33.928,130.623,306.457,105.087,138.671,149.201,75.741,63.868,127.891,131.151
"McPherson",470.684,191.742,64.11,299.881,293.469,308.555,211.567,362.974,328.581,159.292,463.559,324.037,500.352,294.932,209.321,199.011,244.975,345.73,381.453,420.328,148.808,490.373,470.808,555.171,172.511,454.103,392.567,462.081,246.878,375.673,289.945,114.659,226.561,490.155,119.687,222.985,168.321,171.083,236.205,58.055,363.752,253.692,244.524,217.931,466.294,477.284,235.162,471.438,513.436,216.635,73.917,277.208,311.916,343.171,427.289,418.81,71.637,196.302,358.903,0,282.956,322.104,280.661,545.725,353.394,479.569,533.183,146.33,201.278,409.479,246.431,304.658,178.503,419.451,264.764,432.579,491.885,210.154,297.311,393.405,132.196,149.968,346.39,390.885,368.617,98.722,461.672,428.29,506.395,432.326,392.567,248.881,347.648
"Merrick",195.262,357.736,346.921,561.565,268.334,73.367,464.006,258.001,53.159,208.059,205.268,52.994,224.93,43.793,374.245,415.272,488.083,70.243,110.41,165.377,182.865,241.26,213.428,279.749,380.442,204.785,137.616,186.659,359.464,100.251,167.799,266.278,241.926,214.733,178.423,258.283,194.103,379.014,88.599,268.889,121.053,204.951,123.124,330.517,190.872,201.862,47.685,196.016,238.014,103.757,252.086,308.125,519.847,67.749,151.867,143.388,230.676,110.337,112.832,282.81,0,571.324,29.521,270.303,107.029,204.147,257.761,354.989,171.775,157.855,87.488,22.652,263.174,103.551,258.411,157.157,180.069,110.781,545.656,104.089,263.288,281.06,598.829,144.814,77.726,265.689,207.962,157.841,176.944,183.684,137.616,125.228,63.556
"Morrill",716.303,336.329,251.942,70.356,497.051,564.988,110.536,527.337,574.2,423.526,719.992,625.222,745.971,582.308,299.243,301.039,116.614,591.349,682.638,676.761,440.561,735.618,727.241,800.79,204.955,686.914,649,707.7,356.66,621.292,535.564,360.362,472.18,735.774,401.061,452.355,413.94,254.695,525.602,314.027,609.371,499.311,490.143,383.419,711.913,722.903,526.915,717.057,759.055,462.254,326.531,439.272,101.789,588.79,672.908,664.429,372.451,497.419,615.336,325.808,572.228,0,601.749,791.344,599.013,725.188,778.802,283.54,446.897,642.29,492.05,600.51,407.873,665.07,461.298,678.198,737.504,478.027,25.799,639.024,377.899,395.671,99.218,647.318,614.236,308.856,718.105,744.209,752.014,692.757,649,487.901,593.267
"Nance",222.437,387.256,344.789,591.085,247.72,43.845,457.645,230.516,82.59,211.021,202.38,56.427,228.988,14.271,403.765,403.309,517.603,99.674,104.333,159.149,180.733,229.194,209.629,306.924,409.962,197.316,131.388,213.834,388.984,127.336,197.319,295.798,271.446,241.818,176.291,287.803,223.623,408.534,61.114,298.409,148.138,234.471,152.644,360.037,218.047,229.037,60.197,223.101,265.189,133.277,281.606,292.878,549.367,94.834,179.042,170.563,228.544,142.099,97.724,280.678,29.618,568.182,0,297.478,136.46,231.322,284.936,384.509,201.295,142.747,117.008,48.066,292.694,117.408,243.164,184.332,193.926,90.167,575.176,125.208,292.808,310.58,592.468,129.706,98.845,259.328,200.493,162.187,172.717,171.147,131.388,97.743,86.988
"Nemaha",85.141,525.57,609.897,782.034,543.785,313.037,717.776,499.714,226.337,428.528,204.086,260.226,98.502,312.404,542.079,678.732,708.552,221.409,239.292,253.644,445.769,287.747,259.785,36.968,600.911,330.226,244.943,109.981,527.298,183.251,305.209,486.747,385.889,129.147,432.193,426.117,414.572,599.483,359.678,489.358,194.153,341.21,343.593,498.351,111.012,93.365,318.764,128.747,35.537,337.559,472.555,560.355,740.316,206.474,129.11,130.506,510.661,356.861,308.663,545.786,270.925,791.793,298.132,0,229.524,88.591,66.165,575.458,392.244,335.949,307.957,250.024,431.008,181.85,510.641,124.224,117.942,381.86,766.125,172.47,483.757,501.529,871.677,297.575,213.116,519.459,284.219,169.626,167.803,302.473,244.943,396.307,210.137
"Nuckolls",164.368,312.913,416.951,589.088,370.802,180.285,544.793,356.097,94.484,235.582,323.21,159.912,266.255,150.711,329.422,505.749,515.606,36.785,217.328,272.295,252.823,348.178,338.246,215.462,407.965,311.703,244.534,227.984,314.641,74.777,88.145,257.282,168.825,120.226,259.21,213.46,181.291,364.661,186.695,296.412,60.619,124.146,108.698,285.694,139.318,158.311,145.781,101.509,198.485,144.516,279.609,410.593,547.37,108.817,193.192,184.713,317.715,179.652,219.75,352.84,107.007,598.847,136.439,229.522,0,223.299,182.766,336.408,148.128,264.773,135.079,120.751,218.351,185.354,360.879,124.05,257.788,208.877,573.179,159.308,254.292,238.353,678.731,251.732,135.388,346.476,314.88,264.493,272.298,290.602,244.534,223.324,114.419
"Otoe",69.236,511.655,543.347,715.484,477.235,246.487,651.226,423.138,159.787,361.978,129.231,189.341,61.443,245.854,528.164,612.182,642.002,209.648,164.437,178.789,379.219,239.127,189.195,98.183,534.361,248.719,170.088,43.431,513.383,172.426,321.718,420.197,395.845,127.559,365.643,412.202,348.022,532.933,293.128,422.808,178.248,358.87,277.043,484.436,98.786,77.46,252.214,122.485,56.399,271.009,406.005,485.5,673.766,139.924,53.683,58.884,444.111,290.311,233.808,479.236,204.375,725.243,231.582,88.737,223.262,0,76.146,508.908,325.694,261.094,241.407,183.474,417.093,110.965,435.786,108.319,62.922,315.31,699.575,99.13,417.207,434.979,805.127,222.72,146.566,452.909,209.364,94.771,92.948,227.618,170.088,329.757,143.587
"Pawnee",67.451,488.261,597.522,769.659,531.41,300.662,705.401,489.091,213.962,416.153,195.184,247.851,130.196,300.029,504.77,666.357,696.177,202.781,230.39,244.742,433.394,305.08,255.148,38.495,588.536,314.672,236.041,97.606,489.989,164.767,258.467,432.63,339.147,63.572,419.818,388.808,356.639,587.108,347.303,476.983,162.363,294.468,274.966,461.042,80.261,67.114,306.389,91.438,51.353,325.184,460.18,571.201,727.941,194.099,116.735,118.131,498.286,344.486,299.761,533.411,258.55,779.418,285.757,66.165,182.782,76.167,0,563.083,323.476,327.047,295.582,237.649,393.699,169.475,521.487,104.448,128.875,369.485,753.75,160.095,429.64,413.701,859.302,288.673,200.741,507.084,275.317,160.724,158.901,293.571,236.041,383.932,197.762
"Perkins",499.255,40.634,120.738,273.716,377.235,428.547,257.337,437.904,357.152,206.478,585.878,408.174,528.923,398.973,63.591,322.12,200.234,374.301,465.59,520.557,231.779,596.44,600.914,583.742,92.593,559.965,492.796,490.652,121.008,404.244,272.987,79.125,213.563,518.726,203.453,179.814,155.323,28.853,319.971,96.979,392.323,238.301,273.095,119.668,494.865,505.855,353.429,500.009,542.007,245.206,109.483,347.262,231.998,371.742,455.86,447.381,155.403,280.371,468.012,147.67,355.18,283.418,384.701,574.296,336.436,508.14,561.754,0,188.28,513.035,275.002,383.462,135.332,448.022,334.818,461.15,520.456,293.92,257.75,421.976,96.662,114.434,363.302,499.994,397.188,196.882,563.142,527.161,534.966,538.864,492.796,332.647,376.219
