"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Morrison",12.355,181.946,166.331,316.686,252.84,336.8,395.4,308.484,94.248,237.911,125.634,249.489,204.465,180.122,179.25,197.177,344.828,72.785,445.688,329.82,278.367,292.425,397.895,373.526,308.71,234.857,213.816,447.027,141.163,156.665,188.756,447.74,100.52,252.502,433.889,261.389,340.689,352.371,156.418,290.181,353.186,368.617,251.345,368.617,546.846,279.348,233.503,111.266,0,371.854,419.287,325.991,479.274,113.011,347.968,212.717,163.239,141.086,436.738,326.08,218.885,181.616,238.917,243.844,311.345,137.411,423.636,378.114,286.61,164.511,305.423,124.394,157.575,317.031,305.924,332.484,170.936,307.808,343.556,134.783,340.186,326.839,387.214,257.527,396.662,49.165,317.472
"Mower",359.569,192.02,233.037,593.897,183.354,389.725,95.833,164.549,372.331,167.038,458.93,398.948,223.285,484.76,244.088,515.91,336.223,354.659,150.165,63.96,127.533,82.405,68.547,56.364,119.494,188.963,159.963,151.504,456.583,224.92,515.466,170.819,280.566,292.998,783.064,631.424,328.074,744.118,224.273,151.108,151.886,315.01,541.791,315.01,285.973,200.864,258.787,260.994,371.238,0,260.178,141.15,219.019,331.635,67.846,441.639,516.774,264.063,309.305,622.369,365.183,197.893,562.904,135.994,273.224,290.452,298.557,719.877,425.268,210.368,168.305,402.452,263.277,52.944,444.582,724.231,471.655,139.78,135.005,410.376,76.172,117.096,174.489,482.315,134.898,384.886,288.581
"Murray",407.816,282.476,290.078,429.532,213.647,186.963,169.113,120.621,482.357,220.286,416.676,213.01,333.311,403.169,273.151,625.936,74.38,349.632,372.959,255.918,273.264,209.105,326.497,221.787,273.422,302.855,266.127,374.298,381.614,328.777,425.324,94.327,331.737,168.647,656.867,642.316,127.916,765.976,315.018,174.407,113.733,53.167,407.254,53.167,116.148,187.516,202.851,311.266,420.172,260.366,0,140.024,56.352,441.661,275.239,277.268,473.797,374.089,64.505,541.7,221.922,288.349,513.495,252.675,126.497,285.425,44.293,725.081,193.069,301.113,160.557,512.478,264.697,212.792,192.169,770.076,386.82,162.639,343.778,325.54,185.122,166.672,88.618,292.809,357.692,453.401,100.553
"Nicollet",314.47,146.632,187.938,486.97,78.681,261.634,79.212,25.475,346.513,84.442,354.812,257.275,197.467,380.642,143.363,490.092,140.892,250.541,253.216,136.175,133.299,89.362,205.423,96.38,153.679,167.011,130.283,254.555,352.465,192.933,411.348,125.906,235.467,158.203,676.137,605.606,199.983,640,179.174,38.563,31.352,140.055,437.673,140.055,225.012,60.148,118.119,215.895,326.139,141.272,139.738,0,157.44,305.817,155.496,334.712,412.656,238.245,193.005,515.442,220.394,152.505,458.786,116.831,132.508,186.334,179.903,615.759,261.533,165.269,27.589,376.634,165.606,93.049,258.556,620.113,367.537,20.037,224.035,306.258,65.379,39.314,65.38,375.388,237.949,359.068,160.292
"Nobles",467.197,299.359,340.665,573.627,236.703,235.394,126.74,149.48,499.24,237.169,458.015,261.441,350.194,444.508,292.108,642.819,122.811,383.585,365.742,279.258,316.364,260.309,284.124,179.414,335.071,319.738,283.01,367.081,422.953,345.66,466.663,51.966,388.194,209.986,716.976,758.333,176.347,826.085,331.901,191.29,130.616,101.598,455.685,101.598,70.147,217.308,235.077,368.622,478.866,217.993,57.067,156.907,0,458.544,283.423,325.699,515.136,390.972,93.479,601.809,270.353,305.232,554.834,269.558,162.108,319.378,82.7,785.19,241.5,317.996,184.062,529.361,298.65,235.862,240.6,830.185,428.159,179.522,350.582,366.879,202.005,183.555,95.464,423.005,350.475,511.795,148.984
"Norman",111.191,176.131,168.582,401.635,237.821,367.074,386.735,331.634,64.243,222.892,237.322,298.928,133.21,291.81,181.501,207.822,347.142,165.23,391.951,276.083,224.63,253.13,344.158,334.231,254.973,163.602,176.848,393.29,252.851,121.951,300.444,461.721,96.671,254.816,515.617,323.336,343.003,434.982,158.675,269.804,332.809,370.931,358.643,370.931,526.469,264.329,235.817,113.517,113.304,332.559,441.195,305.614,458.897,0,294.231,341.619,244.967,69.831,439.052,407.808,265.163,181.053,320.645,200.125,349.215,159.877,425.95,460.725,325.248,166.768,290.404,94.364,159.826,277.736,344.562,415.095,282.624,287.431,289.819,227.228,300.891,300.237,366.837,382.295,342.925,76.798,319.786
"Olmsted",336.17,167.734,213.723,575.908,180.005,444.029,160.537,178.417,335.165,154.788,434.191,380.959,186.119,460.021,226.099,478.744,293.834,329.92,99.954,30.212,83.721,96.273,52.161,121.068,52.988,147.026,140.927,101.293,431.844,192.806,490.727,235.523,257.167,278.803,765.075,594.258,349.89,705.904,200.874,164.976,167.125,292.997,517.052,292.997,350.677,206.513,244.592,237.595,347.839,67.358,275.511,155.018,283.723,294.469,0,423.65,492.035,226.897,374.009,604.38,347.194,172.656,538.165,114.983,291.399,265.713,363.261,695.138,407.279,186.651,182.173,365.286,245.288,67.248,426.593,686.017,446.916,153.648,69.3,385.637,90.04,130.964,201.153,464.326,84.687,347.72,319.183
"Otter Tail",198.288,270.459,215.675,154.084,322.626,138.595,412.414,318.562,304.892,307.697,188.126,78.011,327.737,164.035,198.748,407.821,209.156,158.888,520.85,404.982,353.529,362.211,473.057,443.312,383.872,310.462,283.602,522.189,142.48,263.906,166.515,359.26,248.885,178.407,343.251,393.215,154.062,374.572,240.756,359.967,360.639,224.036,131.118,224.036,411.719,274.05,201.543,228.414,210.644,441.64,277.204,333.28,324.93,341.533,423.13,0,245.247,290.93,281.471,182.556,97.844,268.857,247.084,313.63,227.035,181.177,279.187,333.677,89.531,242.993,308.907,335.038,181.845,386.817,110.51,378.672,136.013,377.594,418.718,86.406,409.972,396.625,328.743,42.485,471.824,259.809,185.084
"Pennington",175.594,325.45,278.453,184.084,392.979,370.075,491.714,397.862,212.375,378.05,57.871,283.877,354.061,91.594,272.626,189.939,399.464,162.163,591.203,475.335,423.882,432.564,543.41,513.665,454.225,384.453,353.955,592.542,109.117,311.62,100.228,498.206,263.759,317.353,298.066,167.666,374.516,220.399,302.719,430.32,439.939,423.253,160.812,423.253,551.823,353.35,322.881,257.567,163.239,511.993,473.923,412.58,516.42,244.763,493.483,245.228,0,290.682,491.374,190.257,260.879,325.12,82.423,383.983,365.981,226.789,478.272,246.142,319.885,305.649,388.207,223.107,251.169,457.17,339.199,200.512,108.031,447.947,489.071,158.866,480.325,466.978,453.665,270.918,542.177,187.853,372.108
"Pine",133.842,108.599,122.839,443.237,170.289,316.434,319.203,264.102,110.161,155.36,266.059,248.288,65.678,290.621,170.329,253.74,333.761,166.099,324.419,208.551,157.098,185.598,276.626,266.699,187.441,96.07,109.316,325.758,262.444,54.419,329.181,394.189,46.031,204.176,632.404,369.254,292.363,480.9,100.706,202.272,265.277,355.513,346.817,355.513,458.937,196.797,214.905,62.877,142.041,265.027,373.663,238.082,391.365,69.465,226.699,290.979,290.885,0,423.634,453.726,214.523,113.521,366.563,132.593,281.683,109.237,410.532,506.643,274.608,127.516,222.872,140.282,109.186,210.204,293.922,461.013,280.944,219.899,222.287,215.402,233.359,232.705,299.305,331.655,275.393,122.716,309.467
"Pipestone",425.293,330.887,307.555,474.857,255.14,166.425,218.228,168.05,482.558,264.57,434.153,217.228,382.499,420.646,290.628,626.137,91.857,367.109,457.23,328.219,317.72,281.406,375.612,270.902,345.723,353.286,315.263,458.569,399.091,364.235,442.801,143.454,349.214,186.124,618.206,659.793,139.734,727.315,332.636,246.708,186.034,69.931,490.856,69.931,60.448,229.009,220.328,328.743,437.649,309.481,64.804,193.154,93.672,441.862,374.911,281.486,491.274,423.277,0,503.039,239.399,336.76,530.972,301.735,143.974,302.902,17.945,686.42,189.944,334.873,209.377,512.679,282.174,285.093,181.914,731.415,397.662,208.675,442.07,343.017,257.423,238.973,150.882,324.235,441.963,470.878,118.03
"Polk",338.113,451.085,396.301,28.204,503.252,282.749,593.04,499.188,374.894,488.323,197.289,258.637,508.363,175.786,379.374,336.614,389.782,301.177,701.476,585.608,534.155,542.837,653.683,623.938,564.498,491.088,464.228,702.815,196.462,444.532,139.437,539.886,429.511,359.033,116.337,314.341,334.688,213.147,421.382,540.593,541.265,404.662,89.435,404.662,550.563,454.676,382.169,409.04,325.758,622.266,457.83,513.906,606.237,407.282,603.756,184.212,189.935,453.201,502.375,0,278.47,449.483,155.037,494.256,407.661,340.672,510.149,172.252,270.157,423.619,489.533,385.626,362.471,567.443,291.136,217.247,180.097,558.22,599.344,220.229,590.598,577.251,509.369,176.902,652.45,350.372,365.71
"Pope",209.836,193.7,138.916,250.202,188.424,110.275,313.787,199.632,305.47,230.938,203.737,33.765,250.978,179.646,121.989,449.049,147.478,151.652,444.091,328.223,276.77,285.452,396.298,366.553,307.113,233.703,206.843,445.43,158.091,187.147,201.801,262.571,172.126,81.718,439.369,422.59,108.932,470.69,163.997,283.208,251.337,163.354,227.924,163.354,292.056,161.041,102.095,151.655,222.192,364.881,221.937,220.271,269.663,264.774,346.371,97.944,260.858,214.171,231.607,278.674,0,192.098,293.769,236.871,109.291,104.418,218.505,429.795,60.085,166.234,195.898,335.591,105.086,310.058,79.399,474.79,163.297,223.771,341.959,102.017,333.213,250.835,229.513,138.62,395.065,271.357,111.307
"Ramsey",168.041,6.829,45.594,413.268,82.94,281.389,221.871,176.753,222.553,68.011,266.062,218.319,73.507,291.892,62.362,366.132,246.412,161.791,269.957,154.089,102.636,119.071,222.164,200.172,132.979,59.569,39.581,271.296,263.715,39.511,322.598,274.211,74.286,169.131,602.435,481.646,257.318,532.081,32.745,116.652,179.657,268.164,348.923,268.164,373.317,109.448,126.434,69.466,179.71,198.5,288.043,152.462,305.745,181.857,172.237,261.01,323.906,114.285,336.285,441.74,184.554,0,370.036,70.49,194.334,97.584,323.183,527.009,244.639,18.522,135.523,252.674,76.065,143.677,263.953,512.194,278.787,134.279,167.825,217.508,166.832,153.31,213.685,301.686,220.931,189.968,222.118
"Red Lake",252.206,372.495,325.498,149.108,440.024,387.982,538.759,444.907,288.987,425.095,111.382,317.527,419.205,105.425,319.671,191.943,439.957,215.674,638.248,522.38,470.927,479.609,590.455,560.71,501.27,427.86,401,639.587,133.933,377.628,93.292,538.699,317.435,357.846,217.168,169.67,394.796,182.118,357.351,477.365,486.984,463.746,130.889,463.746,663.802,400.395,369.926,320.084,239.851,559.038,514.416,459.625,556.913,321.375,540.528,251.699,82.423,367.294,531.867,155.281,294.529,372.165,0,431.028,406.474,273.834,518.765,161.215,340.165,352.694,435.252,299.719,298.214,504.215,359.479,192.089,133.394,494.992,536.116,192.516,527.37,514.023,500.71,282.135,589.222,264.465,412.601
"Redwood",231.758,64.209,105.226,466.086,55.543,296.063,190.68,141.705,240.548,39.227,331.119,271.137,91.502,356.949,116.277,384.127,219.015,226.848,212.504,96.636,45.183,57.075,164.711,138.176,75.526,57.18,32.152,213.843,328.772,98.189,387.655,265.666,152.755,165.187,655.253,499.641,234.412,616.307,96.462,81.219,144.224,233.579,413.98,233.579,337.884,82.051,130.976,133.183,243.427,136.504,252.61,117.029,270.312,199.852,114.784,313.828,388.963,132.28,325.16,494.558,237.372,70.082,435.093,0,166.937,162.641,288.598,592.066,297.457,82.557,106.801,270.669,135.466,81.681,316.771,596.42,343.844,98.846,119.952,282.565,104.836,104.182,178.252,354.504,197.237,253.103,194.721
"Renville",299.271,189.034,181.533,359.494,113.287,129.125,219.204,103.02,356.536,131.247,308.131,128.118,240.646,294.624,164.606,500.115,52.077,241.087,388.275,259.987,220.954,225.751,340.482,220.192,251.297,211.433,173.41,389.614,273.069,235.335,316.779,144.418,223.192,60.102,548.661,533.771,67.474,579.982,217.811,136.345,146.399,75.866,337.216,75.866,204.436,87.156,95.65,202.721,311.627,265.084,126.536,132.537,162.632,315.84,290.555,207.236,365.252,281.424,143.987,387.966,109.291,194.907,404.95,177.17,0,176.88,130.885,539.087,126.947,203.906,108.164,386.657,156.152,216.861,126.047,566.277,278.275,136.037,291.855,216.995,189.191,163.101,124.575,210.412,373.008,344.856,27.783
"Rice",123.98,98.499,51.502,321.306,166.028,227.187,264.763,170.911,200.76,151.099,170.067,138.708,145.209,195.897,45.675,344.339,207.255,65.796,364.252,248.384,196.931,205.613,316.459,286.714,227.274,153.864,127.004,365.591,167.72,103.632,226.603,287.24,67.416,114.929,522.824,375.049,203.116,455.255,83.355,203.369,212.988,231.044,252.928,231.044,359.614,126.399,95.93,46.945,136.336,285.042,281.714,185.629,318.774,160.064,266.532,181.399,227.911,109.461,299.165,342.065,104.943,98.169,274.041,157.032,173.772,0,286.063,431.014,165.028,78.698,161.256,230.881,24.218,230.219,184.342,435.368,182.792,220.996,262.12,121.513,253.374,240.027,226.714,222.075,315.226,185.501,179.899
"Rock",412.2,317.794,294.462,477.174,242.047,173.721,207.289,154.957,469.465,251.477,421.06,217.394,369.406,407.553,277.535,613.044,78.764,354.016,446.291,300.211,304.627,253.398,364.673,259.963,317.715,340.193,302.17,447.63,385.998,351.142,429.708,132.515,336.121,173.031,620.523,646.7,132.3,729.632,319.543,218.7,158.026,56.838,411.638,56.838,78.403,215.916,207.235,315.65,424.556,298.542,44.293,180.061,82.7,428.769,319.532,281.652,478.181,410.184,17.954,505.356,226.306,323.667,517.879,288.642,130.881,289.809,0,688.737,197.453,321.78,196.284,499.586,269.081,257.085,189.21,733.732,391.204,195.582,431.131,329.924,229.415,210.965,132.911,326.552,431.024,457.785,104.937
"Roseau",390.473,529.468,482.471,193.096,596.997,509.965,695.732,601.88,428.133,582.068,268.355,410.225,569.819,252.883,476.644,310.992,541.37,372.647,795.221,679.353,627.9,636.582,747.428,717.683,658.243,584.833,557.973,796.56,273.559,534.601,216.534,835.99,478.638,510.621,97.685,203.249,486.276,41.529,514.324,634.338,643.957,556.25,195.971,556.25,730.534,557.368,533.757,477.057,378.118,716.011,726.464,616.598,786.208,460.521,697.501,335.8,246.206,506.44,682.346,172.361,430.058,529.138,161.215,588.001,559.249,430.807,690.12,0,421.745,509.667,592.225,438.865,455.187,661.188,442.724,45.629,257.194,651.965,693.089,326.765,684.343,670.996,660.957,331.268,746.195,403.611,517.298
"Scott",272.205,253.798,199.014,241.842,234.06,56.616,342.572,229.059,365.568,291.036,262.769,35.251,311.076,238.678,182.087,509.147,125.025,214.021,504.189,388.321,336.868,345.55,456.396,347.941,367.211,293.801,266.941,505.528,217.123,247.245,255.416,267.786,232.224,113.218,431.009,481.622,69.931,462.33,224.095,265.25,269.767,139.905,219.564,139.905,250.446,206.677,147.422,211.753,284.561,424.979,193.073,261.442,240.799,324.872,406.469,89.578,319.89,274.269,189.997,270.314,60.098,252.196,335.985,296.969,126.92,164.516,195.056,421.435,0,226.332,237.069,395.689,165.184,370.156,19.218,466.43,215.685,264.942,402.057,161.049,316.94,292.006,247.943,98.072,455.163,333.726,100.953
"Sherburne",151.287,20.113,27.071,394.745,91.413,262.866,233.973,185.226,205.628,76.484,247.539,199.796,87.405,273.369,43.839,349.207,242.934,143.268,283.855,167.987,116.534,130.998,236.062,212.099,146.877,73.467,52.389,285.194,245.192,48.628,304.075,286.313,72.284,150.608,583.912,424.345,238.795,532.727,13.217,128.754,191.759,266.723,330.4,266.723,385.419,117.921,101.662,52.712,162.956,210.427,300.145,164.564,317.847,164.932,186.135,242.487,305.383,128.183,334.844,423.217,166.031,19.783,351.513,82.417,202.807,79.061,321.742,508.486,226.116,0,143.996,235.749,57.542,155.604,245.43,512.84,260.264,146.381,181.723,198.985,178.759,165.412,225.787,283.163,234.829,193.948,215.578
"Sibley",294.128,130.055,135.917,462.597,54.308,237.261,106.367,42.618,330.713,70.487,330.439,232.902,181.667,356.269,118.99,474.292,133.261,226.168,280.371,163.33,123.637,99.601,232.578,123.535,148.782,152.454,114.431,281.71,328.092,176.356,386.975,153.061,215.125,133.83,651.764,589.806,175.61,615.627,158.832,28.464,58.507,141.388,413.3,141.388,252.167,35.775,93.746,195.553,305.797,168.427,160.549,27.589,184.595,290.017,182.651,310.339,388.283,222.445,209.509,491.069,196.021,135.928,434.413,107.652,108.135,161.961,196.407,591.386,237.16,144.927,0,360.834,141.233,120.204,234.183,595.74,343.164,31.089,200.338,281.885,92.534,58.153,92.535,351.015,265.104,343.268,135.919
"St. Louis",136.656,246.771,239.222,379.633,308.461,437.714,457.375,402.274,32.651,293.532,213.196,369.568,203.85,267.684,252.141,151.934,417.782,197.086,387.576,346.723,295.27,323.77,414.798,404.871,325.613,234.242,247.488,399.07,259.584,192.591,276.318,532.361,167.311,325.456,493.615,267.448,413.643,412.98,229.315,340.444,403.449,441.571,338.907,441.571,597.109,334.969,306.457,184.157,124.301,403.199,511.835,376.254,529.537,94.552,364.871,337.018,222.965,140.471,509.692,385.806,335.803,251.693,298.643,270.765,419.855,230.517,496.59,438.723,395.888,237.408,361.044,0,230.466,348.376,415.202,393.093,258.498,358.071,330.233,259.084,371.531,370.877,437.477,381.828,352.863,75.854,390.426
"Stearns",146.098,77.181,30.184,334.051,146.228,207.248,244.824,150.972,200.406,131.299,193.895,139.102,123.66,219.725,24.357,343.985,187.316,89.624,344.452,228.584,177.131,185.813,296.659,266.914,207.474,134.064,107.204,345.791,191.548,82.083,250.431,267.301,67.062,94.99,523.218,398.877,183.177,479.083,61.806,183.569,193.049,211.105,276.756,211.105,339.675,106.302,75.991,46.591,157.767,265.242,261.775,165.69,298.835,159.71,246.732,181.793,251.739,109.107,279.226,362.523,105.337,76.851,297.869,137.232,153.833,25.417,266.124,454.842,165.422,57.38,141.317,230.527,0,210.419,184.736,459.196,206.62,201.196,242.32,145.341,233.574,220.227,206.775,222.469,295.426,188.726,159.96
"Steele",304.577,137.028,178.045,538.905,128.362,340.674,112.965,115.498,317.339,112.046,403.938,343.956,168.293,429.768,189.096,460.918,230.915,299.667,165.823,48.782,83.468,27.413,118.03,60.461,91.73,133.971,104.971,167.162,401.591,169.928,460.474,187.951,225.574,238.006,728.072,576.432,279.023,689.126,169.281,89.33,104.206,230.078,486.799,230.078,303.105,154.87,203.795,206.002,316.246,53.203,212.592,92.099,236.151,276.643,68.103,386.647,461.782,209.071,285.142,567.377,310.191,142.901,507.912,81.002,224.173,235.46,256.885,664.885,370.276,155.376,119.254,347.46,208.285,0,389.59,669.239,416.663,90.729,136.642,355.384,27.121,68.045,138.234,427.323,150.556,329.894,239.53
"Stevens",291.569,273.112,218.328,261.156,239.308,31.061,341.672,228.159,384.882,257.268,282.133,54.565,330.39,258.042,201.401,528.461,124.125,233.385,523.503,407.635,356.182,364.864,475.71,347.041,386.525,313.115,286.255,524.842,236.487,266.559,274.78,266.886,251.538,123.698,449.353,500.986,69.031,481.644,243.409,262.366,268.867,139.005,238.878,139.005,245.829,213.916,157.902,231.067,303.925,391.933,192.173,258.558,239.899,344.186,425.783,108.892,339.254,293.583,185.38,289.628,79.412,271.51,355.349,316.283,126.02,183.83,192.676,440.749,19.218,245.646,234.185,415.003,184.498,389.47,0,485.744,235.049,262.058,421.371,180.413,316.04,289.122,247.043,114.12,474.477,353.09,100.053
"Swift",344.843,533.133,486.136,238.091,600.662,554.96,699.397,605.545,382.503,585.733,258.448,455.22,524.189,266.063,480.309,265.362,586.365,362.74,782.93,667.062,615.609,640.247,735.137,721.348,645.952,554.581,561.638,784.269,294.571,481.748,235.007,699.337,433.008,518.484,142.68,157.619,531.271,19.886,488.906,638.003,647.622,601.245,242.426,601.245,775.529,561.033,530.564,443.754,332.488,719.676,771.459,620.263,831.203,414.891,685.21,380.795,200.576,460.81,727.341,217.356,475.053,532.803,192.057,591.104,567.112,434.472,735.115,45.629,466.74,513.332,595.89,393.235,458.852,664.853,487.719,0,294.032,655.63,680.798,353.154,688.008,674.661,661.348,376.263,733.904,357.981,562.293
"Todd",145.52,279.314,232.317,168.589,346.843,272.7,445.578,351.726,246.864,331.914,49.815,185.221,326.024,27.412,226.49,283.721,311.322,132.792,545.067,429.199,377.746,386.428,497.274,467.529,408.089,334.679,307.819,546.406,17.453,284.447,40.659,410.064,238.705,229.211,288.136,261.448,270.285,271.571,264.17,384.184,393.803,335.111,103.248,335.111,557.481,307.214,239.897,226.903,169.869,465.857,385.781,366.444,428.278,281.315,447.347,136.417,106.936,278.871,397.694,180.327,162.223,278.984,132.627,337.847,277.839,180.653,390.13,257.194,215.654,259.513,342.071,257.596,205.033,411.034,234.968,293.954,0,401.811,442.935,60.21,434.189,420.842,367.097,166.853,496.041,217.469,283.966
"Traverse",296.791,128.953,170.259,531.119,66.297,265.134,96.154,44.713,328.834,66.763,396.152,260.775,179.788,421.982,181.31,472.413,161.134,291.881,257.499,140.458,115.62,71.131,209.706,94.9,124.513,149.332,112.604,258.838,393.805,175.254,452.688,148.494,217.788,161.703,720.286,587.927,203.483,681.34,161.495,20.884,53.94,169.261,479.013,169.261,247.6,63.648,121.619,198.216,308.46,145.555,162.326,20.037,180.028,288.138,159.779,378.861,453.996,220.566,234.876,559.591,223.894,134.826,500.126,99.152,136.008,227.674,206.619,657.099,265.033,147.59,31.089,358.955,200.499,97.332,262.056,661.453,408.877,0,184.147,347.598,69.662,29.683,87.968,419.537,242.232,341.389,163.792
"Wabasha",332.188,163.752,209.741,571.926,185.053,440.047,228.066,246.889,331.183,159.836,430.209,376.977,182.137,456.039,222.117,474.762,348.525,325.938,83.051,89.636,78.869,112.886,91.96,188.597,58.63,127.898,136.945,98.372,427.862,188.824,486.745,303.052,253.185,277.195,761.093,590.276,354.938,701.922,196.892,174.435,235.597,326.366,513.07,326.366,418.206,211.561,242.984,233.613,343.857,134.887,343.983,223.49,351.252,290.487,69.25,419.668,488.053,222.915,441.538,600.398,343.212,168.674,534.183,120.031,296.447,261.731,430.79,691.156,403.297,182.669,200.272,329.859,241.306,135.72,422.611,682.035,442.934,184.12,0,381.655,158.512,164.891,269.625,460.344,55.661,343.738,324.231
"Wadena",120.348,219.104,172.107,199.793,286.633,211.208,385.368,291.516,226.952,271.704,101.719,125.01,265.814,77.628,166.28,315.243,251.111,80.948,484.857,368.989,317.536,326.218,437.064,407.319,347.879,274.469,247.609,486.196,56.073,224.237,99.783,349.853,178.495,169,328.331,320.572,215.649,330.695,203.96,323.974,333.593,274.9,131.415,274.9,403.47,247.004,179.686,166.693,132.704,405.647,325.57,306.234,368.067,232.503,387.137,86.361,158.84,215.488,343.021,220.552,102.012,218.774,191.751,277.637,217.628,120.443,329.919,326.718,161.018,199.303,281.861,257.098,144.823,350.824,180.332,353.078,61.279,341.601,382.725,0,373.979,360.632,306.886,131.171,435.831,181.869,223.755
"Waseca",323.755,156.206,197.223,558.083,99.452,312.305,103.286,87.129,336.517,84.196,423.116,363.134,187.471,448.946,208.274,480.096,202.546,318.845,188.15,71.109,102.646,46.591,140.357,42.106,111.058,153.149,124.149,189.489,420.769,189.106,479.652,178.272,244.752,221.499,747.25,595.61,250.654,708.304,188.459,73.688,75.837,201.709,505.977,201.709,269.497,123.444,181.415,225.18,335.424,76.206,184.223,63.73,201.925,295.821,90.43,405.825,480.96,228.249,256.773,586.555,329.369,162.079,527.09,100.18,195.804,254.638,228.516,684.063,324.829,174.554,90.885,366.638,227.463,27.983,309.227,688.417,435.841,62.36,158.969,374.562,0,39.676,109.865,446.501,172.883,349.072,211.161
"Washington",303.006,135.168,176.474,537.334,72.512,292.268,100.839,69.917,341.034,72.978,402.367,287.909,191.988,428.197,187.525,484.613,185.334,298.096,228.949,111.908,116.156,51.997,181.156,82.902,116.314,157.666,128.666,230.288,400.02,193.623,458.903,153.179,224.003,188.837,726.501,600.127,230.617,687.555,167.71,32.733,58.625,184.497,485.228,184.497,252.285,90.782,148.753,204.431,314.675,117.005,167.011,46.518,184.713,300.338,131.229,385.076,460.211,232.766,239.561,565.806,251.028,141.041,506.341,104.697,163.142,233.889,211.304,663.314,292.167,153.805,58.223,371.155,206.714,68.782,289.19,667.668,415.092,28.127,165.013,353.813,41.112,0,92.653,425.752,213.682,353.589,190.926
"Watonwan",375.983,208.145,249.451,481.052,145.489,249.817,83.161,58.266,408.026,145.955,396.642,252.695,258.98,384.333,200.894,551.605,140.058,292.371,298.628,181.587,198.933,134.774,240.545,110.731,199.091,228.524,191.796,299.967,362.778,254.446,406.488,64.387,296.98,158.317,670.219,667.119,188.166,681.83,240.687,100.076,39.402,141.727,438.928,141.727,163.493,126.094,151.223,277.408,387.652,174.414,88.56,65.693,95.921,367.33,200.908,328.794,454.486,299.758,150.769,509.524,228.963,214.018,500.616,178.344,127.928,228.164,132.853,660.645,247.639,226.782,92.848,438.147,207.436,138.461,246.739,661.943,367.984,88.308,269.447,306.704,110.791,92.341,0,334.989,283.361,420.581,148.673
"Wilkin",243.579,310.94,256.156,148.647,363.107,105.846,548.998,359.043,350.183,348.178,213.338,109.664,368.218,189.247,239.229,426.862,218.74,204.179,561.331,445.463,394.01,402.692,513.538,483.793,424.353,350.943,324.083,562.67,187.771,304.387,196.924,474.224,289.366,218.888,331.973,423.624,163.646,441.082,281.237,400.448,401.12,239.642,160.837,239.642,368.768,314.531,242.024,268.895,255.935,482.121,292.81,373.761,424.442,382.014,463.611,42.401,270.459,331.411,320.58,177.119,138.325,309.338,277.493,354.111,210.412,221.658,328.354,400.187,98.072,283.474,349.388,380.329,222.326,427.298,114.12,445.182,166.422,418.075,459.199,131.697,450.453,437.106,369.224,0,512.305,305.1,194.365
"Winona",418.183,249.747,295.736,657.921,262.018,526.042,227.932,261.107,417.178,236.801,516.204,462.972,268.132,542.034,308.112,499.875,376.524,411.933,30.397,112.902,131.962,170.09,83.931,188.463,111.723,189.504,222.94,45.718,513.857,274.819,572.74,302.918,339.18,360.816,847.088,615.389,431.903,787.917,282.887,247.666,249.815,375.687,599.065,375.687,418.072,288.526,326.605,319.608,429.852,134.753,358.201,237.708,351.118,376.482,83.672,505.663,574.048,308.91,441.404,686.393,429.207,254.669,620.178,196.996,373.412,347.726,430.656,777.151,489.292,268.664,264.863,352.518,327.301,149.938,508.606,768.03,528.929,236.338,55.604,467.65,172.73,213.654,283.843,546.339,0,429.733,401.196
"Wright",61.542,228.849,197.529,344.557,290.539,385.987,439.453,384.352,45.823,275.61,173.205,298.676,185.928,227.693,210.448,167.734,376.089,121.972,444.669,328.801,277.348,305.848,396.876,386.949,307.691,216.32,229.566,446.008,188.734,155.161,236.327,514.439,121.699,283.763,458.539,264.276,371.95,377.904,187.622,322.522,385.527,399.878,298.916,399.878,579.187,317.047,264.764,142.464,49.187,385.277,493.913,358.332,511.615,76.63,346.949,261.904,187.889,122.549,467.999,350.73,268.072,189.964,263.567,252.843,342.606,186.598,454.897,403.647,335.797,195.715,343.122,75.969,188.773,330.454,355.111,358.017,218.507,340.149,342.537,183.97,353.609,352.955,419.555,306.714,395.643,0,348.733
