"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Hubbard",128.087,265.351,218.354,184.956,332.88,267.282,431.615,337.763,249.017,317.951,51.968,181.084,312.061,28.507,212.527,265.492,307.185,115.359,531.104,415.236,363.783,372.465,483.311,453.566,394.126,320.716,293.856,532.443,0,270.484,57.026,405.927,224.742,225.074,304.503,261.987,271.723,287.938,250.207,370.221,379.84,330.974,119.615,330.974,459.544,293.251,235.76,212.94,141.163,451.894,381.644,352.481,424.141,252.609,433.384,142.435,109.089,261.438,399.095,196.694,158.086,265.021,133.166,323.884,273.702,166.69,385.993,273.561,217.092,245.55,328.108,259.749,191.07,397.071,236.406,294.493,17.35,387.848,428.972,56.073,420.226,406.879,362.96,187.245,482.078,188.763,279.829
"Isanti",144.992,46.348,76.119,416.168,123.206,289.365,279.507,217.019,162.606,108.277,257.384,221.219,45.638,298.172,93.632,306.185,269.433,168.071,289.833,173.965,122.512,145.902,242.04,227.003,152.855,76.03,65.813,291.172,269.995,0,328.878,314.477,52.986,177.107,605.335,421.699,265.294,501.759,42.124,156.918,219.923,293.222,355.203,293.222,413.583,149.714,166.7,58.126,156.817,225.331,328.309,192.728,346.011,121.91,192.113,263.91,311.744,54.338,361.343,444.64,187.454,43.567,376.316,98.007,234.6,101.641,348.241,533.289,247.539,49.047,175.789,192.727,82.117,170.508,266.853,481.872,285.067,174.545,187.701,223.788,193.663,193.009,253.951,304.586,240.807,155.152,242.077
"Itasca",201.111,324.234,277.237,127.929,391.763,303.202,490.498,396.646,265.751,376.834,63.121,224.792,370.944,36.348,271.41,264.386,350.893,167.413,589.987,474.119,422.666,431.348,542.194,512.449,453.009,379.599,352.739,591.326,57.024,329.367,0,449.635,269.174,268.782,247.476,242.113,315.431,230.911,309.09,429.104,438.723,374.682,62.588,374.682,587.983,352.134,279.468,271.823,188.756,510.777,425.352,411.364,467.849,300.202,492.267,166.919,99.927,328.277,442.803,139.667,201.794,323.904,93.291,382.767,317.41,225.573,429.701,216.534,260.8,304.433,386.991,276.483,249.953,455.954,280.114,235.011,40.659,446.731,487.855,99.781,479.109,465.762,406.668,197.355,540.961,236.356,323.537
"Jackson",435.976,268.138,309.444,510.94,205.482,269.958,79.354,118.259,468.019,205.948,440.321,287.721,318.973,426.814,260.887,611.598,170.374,352.364,318.356,231.872,268.978,212.923,236.738,132.028,287.685,319.481,251.789,319.695,405.259,314.439,448.969,0,356.973,192.292,766.953,727.112,208.307,876.062,300.68,160.069,99.395,149.161,488.662,149.161,120.124,186.087,212.886,337.401,447.645,170.607,94.311,125.686,53.17,427.323,236.037,358.682,497.442,359.751,143.456,651.786,262.094,274.011,537.14,266.512,144.414,288.157,132.708,835.167,267.78,286.775,152.841,498.14,267.429,188.476,266.88,698.467,410.465,148.301,303.196,349.185,178.383,152.334,64.243,472.982,303.089,480.574,168.814
"Kanabec",92.005,91.45,75.829,401.124,162.344,274.321,304.904,218.045,137.262,147.415,206.074,206.175,96.513,245.259,88.748,280.841,254.389,119.094,355.254,239.386,187.933,201.929,307.461,283.03,218.276,126.905,123.32,356.593,217.082,58.941,269.196,357.244,0,162.063,590.291,361.909,250.25,452.891,65.922,199.685,262.69,278.178,309.802,278.178,456.35,188.852,143.064,20.764,100.52,281.358,328.848,235.495,388.778,96.566,257.534,248.866,263.759,45.963,346.299,429.596,172.41,74.242,316.634,153.348,220.906,67.124,333.197,478.634,232.495,74.015,214.927,167.383,67.073,226.535,251.809,433.004,239.666,217.312,253.122,178.387,249.69,236.343,296.718,289.542,306.228,121.663,227.033
"Kandiyohi",241.12,178.166,123.382,330.519,124.295,137.649,242.652,128.715,298.385,142.255,259.9,108.96,235.444,246.393,106.455,441.964,94.319,182.936,375.634,259.766,208.313,213.11,327.841,245.887,238.656,179.351,140.552,376.973,224.838,180.062,268.548,193.061,165.041,0,519.686,485.54,90.18,551.007,148.463,162.04,180.202,118.108,308.241,118.108,246.678,96.912,34.203,144.57,253.476,292.539,168.778,158.232,211.275,257.689,277.914,178.261,317.021,207.086,186.229,358.991,81.673,176.564,356.719,164.529,60.836,118.729,173.127,510.112,113.218,150.7,133.859,328.506,98.001,237.716,123.698,518.046,230.044,161.732,279.214,168.764,214.886,188.796,158.378,191.254,360.367,286.705,66.963
"Kittson",446.276,612.568,557.784,144.586,664.735,441.899,842.698,660.671,483.057,649.806,305.452,420.12,669.846,283.949,540.857,408.019,551.265,409.334,862.959,747.091,695.638,704.32,815.166,785.421,725.981,652.571,625.711,864.298,304.625,606.015,247.6,767.924,590.994,520.516,0,300.276,496.171,138.556,582.865,702.076,702.748,592.408,197.592,592.408,662.468,616.159,543.652,570.523,433.921,783.749,658.398,675.389,718.142,515.445,765.239,345.695,298.098,561.364,614.28,116.597,439.953,610.966,217.144,655.739,569.144,523.286,622.054,97.661,431.64,585.102,651.016,493.789,523.954,728.926,450.173,142.656,288.26,719.703,760.827,328.386,752.081,738.734,670.852,333.213,813.933,458.535,527.193
"Koochiching",273.748,475.608,425.632,308.418,537.298,529.916,686.212,545.041,266.506,522.369,225.538,445.595,432.687,233.493,419.805,115.886,568.025,309.342,691.428,575.56,524.107,552.607,643.635,633.708,554.45,463.079,476.325,692.767,262.001,421.428,242.127,761.198,396.148,485.914,300.3,0,536.234,177.506,417.811,569.281,632.286,591.814,285.146,591.814,814.697,563.806,470.06,372.659,261.393,632.036,642.484,605.091,758.374,323.389,593.708,393.633,167.666,369.308,659.935,314.591,422.597,480.53,169.67,499.602,534.542,373.968,646.833,203.249,481.603,425.904,589.881,264.039,398.348,577.213,500.917,157.619,261.462,586.908,589.296,320.584,600.368,599.714,666.314,424.069,615.683,264.243,540.669
"Lac qui Parle",329.305,266.351,211.567,306.394,180.735,73.327,283.099,169.586,386.57,198.695,317.39,89.872,323.629,293.299,194.64,530.149,65.552,271.121,445.304,328.263,279.459,284.256,397.511,288.468,309.802,265.922,227.123,446.643,271.744,268.247,310.037,208.313,253.226,90.136,495.561,536.243,0,526.882,236.648,203.793,210.294,74.735,284.116,74.735,200.192,155.343,124.34,232.755,341.661,333.36,127.903,199.985,175.629,345.874,347.584,154.13,374.511,295.271,139.743,334.866,108.952,264.749,390.606,235.675,67.447,206.914,129.886,485.987,69.931,238.885,175.612,416.691,186.186,285.137,69.031,530.982,270.306,203.485,350.36,215.67,257.467,230.549,188.47,165.197,430.037,374.89,41.48
"Lake",364.73,553.02,506.023,233.991,620.549,550.86,719.284,625.432,402.39,605.62,278.335,451.12,544.076,285.95,500.196,285.249,582.265,382.627,802.817,686.949,635.496,660.134,755.024,741.235,665.839,574.468,581.525,804.156,287.932,501.635,230.907,876.885,452.895,551.516,138.58,177.506,527.171,0,508.793,657.89,667.509,597.145,238.326,597.145,771.429,580.92,550.451,463.641,352.375,739.563,767.359,640.15,827.103,434.778,705.097,376.695,220.463,480.697,723.241,213.256,470.953,552.69,182.118,610.991,600.144,454.359,731.015,41.529,462.64,533.219,615.777,413.122,478.739,684.74,483.619,19.886,271.567,675.517,700.685,330.689,707.895,694.548,681.235,372.163,753.791,377.868,558.193
