"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"McHenry",142.357,192.642,105.291,160.307,246.614,530.292,324.877,251.957,194.081,213.474,148.294,190.1,379.222,38.431,276.48,55.913,312.436,166.803,271.453,48.077,490.198,183.087,157.144,227.686,0,239.97,222.688,226.14,182.105,245.163,295.841,136.172,407.474,263.303,61.744,100.712,251.517,298.946,368.295,200.555,228.141,130.598,466.794,491.642,405.498,183.087,101.503,204.398,148.606,189.631,361.126,127.971,78.995
"McIntosh",391.39,285.994,270.773,409.34,387.117,401.132,445.337,193.536,300.134,435.183,129.186,127.039,384.798,271.508,88.243,192.86,339.904,391.462,185.569,249.598,337.042,139.857,122.356,348.146,234.027,0,164.267,252.665,262.479,150.854,375.398,189.89,527.934,507.021,200.953,296.466,167.967,419.406,488.755,365.21,139.292,153.959,538.13,433.221,347.077,139.857,136.176,338.21,327.735,410.764,481.586,254.729,328.028
"McKenzie",378.704,273.308,231.362,353.772,278.514,310.999,284.358,32.664,287.448,422.497,190.861,258.538,223.926,244.787,75.869,171.796,179.032,378.776,343.608,236.912,270.905,41.124,222.763,206.55,221.341,163.734,0,91.793,108.517,12.73,214.526,204.61,366.955,494.335,188.267,257.055,326.006,260.138,327.776,267.001,296.579,193.058,377.258,272.349,186.205,41.124,123.49,196.614,315.049,398.078,320.607,156.52,315.342
"McLean",367.932,362.127,229.824,335.994,215.237,307.044,192.627,66.1,376.267,415.12,279.68,347.357,155.539,243.249,164.688,170.258,86.295,382.376,432.427,245.736,266.95,123.663,311.582,117.133,226.187,252.553,91.682,0,44.693,104.412,122.795,293.429,275.224,464.949,231.76,255.517,414.825,168.407,236.045,239.762,385.398,281.877,283.001,268.394,182.25,123.663,212.309,162.417,346.265,406.902,228.876,154.982,304.57
"Mercer",323.897,341.137,185.789,308.199,197.476,361.326,196.563,82.923,355.277,387.286,258.69,326.367,197.775,199.214,174.614,126.223,130.989,338.341,411.437,201.701,321.232,128.791,290.592,99.372,182.152,262.479,108.505,44.693,0,121.235,137.195,272.439,279.16,453.9,215.368,211.482,393.835,170.632,239.981,199.392,364.408,260.887,325.237,322.676,236.532,128.791,211.201,122.047,302.23,362.867,232.812,110.947,260.535
"Morton",391.434,286.038,244.092,366.502,291.244,323.729,297.088,42.04,300.178,435.227,203.591,271.268,236.656,257.517,62.989,184.526,191.762,391.506,336.424,249.642,283.635,53.854,235.493,219.28,234.071,150.854,12.73,104.523,121.247,0,227.256,217.34,379.685,507.065,200.997,269.785,318.822,272.868,340.506,279.731,290.147,205.788,389.988,285.079,198.935,53.854,136.22,209.344,327.779,410.808,333.337,169.25,328.072
"Mountrail",356.323,473.595,254.194,333.407,215.731,322.109,80.009,208.52,487.735,412.533,391.148,458.825,165.036,289.899,307.108,258.681,206.106,424.528,543.895,334.159,314.456,266.083,423.05,97.025,295.828,394.973,234.102,142.42,156.839,246.832,0,404.897,157.108,462.362,347.826,266.836,526.293,145.695,161.261,237.175,496.866,393.345,190.293,283.459,204.912,266.083,337.836,159.83,434.688,406.138,131.386,179.352,338.743
"Nelson",238.176,105.414,224.12,256.126,375.31,512.757,434.076,234.422,119.554,262.211,62.835,66.856,425.684,173.664,258.945,146.377,380.79,210.882,136.022,96.384,472.663,165.552,67.534,336.885,136.183,189.89,205.153,293.551,272.569,227.628,405.04,0,516.673,326.441,78.962,236.016,118.42,408.145,477.494,334.759,104.897,45.932,579.016,474.107,387.963,165.552,83.968,326.949,147.155,235.049,470.325,237.17,174.814
"Oliver",437.64,585.226,349.825,414.724,268.061,325.206,99.024,340.79,599.366,485.192,502.779,570.456,226.394,404.028,440.054,370.312,269.259,505.845,655.526,445.79,366.508,390.608,534.681,181.719,407.459,527.919,366.372,274.69,279.145,379.102,157.105,516.528,0,535.021,459.457,348.153,637.924,201.241,138.325,318.492,608.497,504.976,112.583,286.556,263.675,390.608,449.467,241.147,546.319,487.455,115.369,290.983,420.06
"Pembina",125.79,250.242,253.531,136.079,266.868,802.027,460.906,523.692,246.75,49.737,386.241,409.949,611.162,240.651,548.215,327.796,548.983,122.851,358.772,252.288,761.933,454.822,390.94,384.485,263.212,512.34,494.423,464.857,453.988,516.898,462.409,326.505,534.899,0,301.302,229.2,379.591,336.905,427.516,231.008,406.928,369.338,639.624,763.377,677.233,454.822,373.238,305.414,181.244,80.888,420.347,336.268,182.849
