"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Monterey",175.002,737.478,301.903,643.556,295.972,352.826,204.614,756.875,359.903,247.983,402.93,620.524,844.182,652.767,358.702,391.495,489.507,551.045,514.436,211.062,214.702,249.658,433.847,192.301,734.856,432.102,0,248.958,610.007,565.89,351.924,558.142,599.175,299.89,117.368,598.699,707.124,192.008,220.277,230.126,161.94,379.955,124.686,69.955,518.02,115.146,661.549,235.156,256.327,332.905,357.391,446.137,643.23,321.968,294.521,423.975,299.523,337.675
"Napa",74.295,867.851,169.813,436.526,170.224,148.584,46.646,549.845,155.661,330.557,198.688,413.494,974.555,541.592,489.075,474.069,285.265,346.803,644.809,293.636,57.782,299.042,226.768,240.337,530.716,415.877,245.712,0,740.482,696.365,147.784,354.002,729.65,95.75,259.077,729.174,837.599,76.554,312.024,428.357,107.478,578.186,136.684,181.617,313.88,132.388,457.409,31.016,23.617,219.138,153.251,241.997,439.09,404.644,228.799,622.206,95.383,133.535
"Nevada",685.872,198.613,709.648,1152.939,667.574,814.497,697.103,1266.258,737.02,444.034,864.601,1129.907,237.826,342.943,281.595,539.819,951.178,1012.716,98.083,479.716,724.087,567.231,943.232,533.993,1009.663,526.296,607.956,741.449,0,77.027,764.522,782.333,20.217,711.66,519.781,13.2,174.272,707.436,451.518,401.299,686.311,250.307,649.057,650.933,979.693,639.517,1123.222,727.647,752.82,663.626,788.021,907.81,1104.903,372.189,643.509,206.673,748.078,768.656
"Orange",643.126,177.547,666.902,1110.193,624.828,771.751,654.357,1223.512,694.274,401.288,821.855,1087.161,307.241,412.891,238.849,497.073,908.432,969.97,52.254,436.97,681.344,524.488,900.489,491.25,1155.327,596.247,565.213,698.706,78.689,0,721.779,927.997,58.4,668.917,477.038,75.493,147.198,664.693,408.775,354.653,643.568,203.661,606.314,608.19,936.95,596.774,1080.479,684.904,710.077,620.883,745.278,865.067,1062.16,329.446,600.766,160.027,705.335,725.913
"Placer",190.033,894.516,98.44,524.234,123.231,118.788,152.959,646.958,50.646,322.405,157.711,510.526,1001.22,510.772,497.255,465.917,287.756,277.605,671.474,285.484,186.311,290.821,379.425,232.116,433.925,330.46,351.956,150.194,767.078,722.961,0,206.595,756.246,54.166,349.712,755.77,864.195,192.223,338.62,525.436,223.147,675.265,242.928,287.861,316.302,238.632,459.831,120.934,161.565,165.39,93.512,197.334,441.512,396.423,235.472,683.937,84.687,84.869
"Plumas",395.247,966.231,263.925,502.877,288.924,282.619,358.173,635.135,255.653,527.619,251.327,523.065,1020.361,439.153,702.469,671.131,297.528,221.232,876.688,490.698,391.778,496.288,584.892,437.583,242.691,259.094,557.423,355.661,784.874,928.428,206.473,0,788.119,259.633,555.179,771.315,942.174,397.69,544.087,730.903,428.614,880.732,448.395,493.328,295.198,444.099,375.962,326.401,367.032,279.703,257.596,272.016,408.886,601.89,320.967,889.404,290.154,290.336
"Riverside",675.066,183.822,698.842,1142.133,656.768,803.691,686.297,1255.452,726.214,433.228,853.795,1119.101,250.169,348.161,270.789,529.013,940.372,1001.91,87.218,468.91,713.306,556.45,932.451,523.212,1014.906,531.539,597.175,730.668,21.639,57.894,753.741,787.576,0,700.879,509,18.443,159.506,696.655,440.737,390.518,675.53,239.526,638.276,640.152,968.912,628.736,1112.441,716.866,742.039,652.845,777.24,897.029,1094.122,361.408,632.728,195.892,737.297,757.875
"Sacramento",137.569,841.283,79.404,477.82,110.437,104.661,100.495,600.544,65.252,274.891,154.765,464.112,947.987,505.711,449.741,418.403,241.342,302.88,618.241,237.97,133.84,243.3,326.954,184.595,487.448,325.392,299.485,97.723,713.838,669.721,53.9,260.118,703.006,0,296.472,702.53,810.955,139.752,285.38,472.196,170.676,622.025,190.457,235.39,269.881,186.161,413.41,68.463,109.094,152.589,78.209,197.998,395.091,348.902,187.951,630.697,38.266,58.844
"San Benito",187.448,649.003,294.394,656.002,288.463,365.272,217.06,769.321,321.766,210.861,415.376,632.97,755.707,564.292,270.227,346.376,501.953,563.491,425.961,201.426,227.175,240.049,446.32,182.692,747.329,422.493,116.781,261.431,521.559,477.442,349.293,555.511,510.727,296.431,0,510.251,618.676,204.481,169.91,170.496,174.413,320.325,137.159,121.107,530.493,127.619,674.022,247.629,268.8,325.423,372.792,458.61,655.703,200.756,284.912,364.345,311.996,353.427
"San Bernardino",676.572,196.84,700.348,1143.639,658.274,805.197,687.803,1256.958,727.72,434.734,855.301,1120.607,250.97,331.175,272.295,530.519,941.878,1003.416,96.086,470.416,714.805,557.949,933.95,524.711,997.913,514.546,598.674,732.167,15.217,75.272,755.24,770.583,18.462,702.378,510.499,0,172.517,698.154,442.236,392.017,677.029,241.025,639.775,641.651,970.411,630.235,1113.94,718.365,743.538,654.344,778.739,898.528,1095.621,362.907,634.227,197.391,738.796,759.374
