"","Allen","Anderson","Atchison","Barber","Barton","Bourbon","Brown","Butler","Chase","Chautauqua","Cherokee","Cheyenne","Clark","Clay","Cloud","Coffey","Comanche","Cowley","Crawford","Decatur","Dickinson","Doniphan","Douglas","Edwards","Elk","Ellis","Ellsworth","Finney","Ford","Franklin","Geary","Gove","Graham","Grant","Gray","Greeley","Greenwood","Hamilton","Harper","Harvey","Haskell","Hodgeman","Jackson","Jefferson","Jewell","Johnson","Kearny","Kingman","Kiowa","Labette","Lane","Leavenworth","Lincoln","Linn","Logan","Lyon","Marion","Marshall","McPherson","Meade","Miami","Mitchell","Montgomery","Morris","Morton","Nemaha","Neosho","Ness","Norton","Osage","Osborne","Ottawa","Pawnee","Phillips","Pottawatomie","Pratt","Rawlins","Reno","Republic","Rice","Riley","Rooks","Rush","Russell","Saline","Scott","Sedgwick","Seward","Shawnee","Sheridan","Sherman","Smith","Stafford","Stanton","Stevens","Sumner","Thomas","Trego","Wabaunsee","Wallace","Washington","Wichita","Wilson","Woodson","Wyandotte"
"Kingman",134.467,178.7,208.65,201.567,128.017,199.917,222.533,73.367,72.867,147.083,185.35,101.117,109.983,44.817,56.567,151.633,83.85,88.6,181.4,253.433,117.55,228.567,78.333,91.467,169.383,162.517,91.633,169.9,92.35,193.7,136.35,210.267,213.567,163.3,122.15,181.8,238.383,123.85,29.267,189.817,164.617,128.217,172.45,196.6,168.283,210.4,194.283,0,64.583,183.083,178.65,214.417,187.283,171.417,219.3,137.7,96.867,204.25,69.483,128.1,202.983,68.5,151.067,56.283,117.633,236.017,204.817,149.25,232.933,217.383,163,161.483,102.85,213.133,168.083,35.1,263.467,181.8,177.433,145.267,160.917,188.433,123.633,131.583,97.333,203.1,61.083,74.883,196.917,238.85,169.683,243.633,55.617,212.8,189.167,56.833,77.7,176.017,164.483,258.25,182.817,44.35,112.133,137.083,201.867
"Kiowa",181.733,225.967,255.917,250.783,185.867,247.2,269.8,120.633,133.917,152.967,234.55,137.117,160.583,109.65,105.783,198.9,113.633,104.45,230.617,277.067,178.083,275.833,101.85,106.917,216.65,186.167,149.917,183.067,105.517,242.9,197.417,231.333,237.217,224.383,145.65,229.067,262.017,171.117,40.15,230.7,177.783,141.383,233.533,243.867,232.683,223.567,207.45,64.833,0,222.033,225.917,261.683,200.45,236.267,242.95,190.65,145.533,269.667,134.333,127.2,250.267,133.333,184.9,47.3,182.683,283.717,231.567,166.4,256.583,264.65,203.883,208.75,126.35,236.783,229.15,56.767,287.117,229.067,242.283,210.117,221.833,212.083,147.133,154.65,162.167,250.367,109.75,98.383,244.183,262.483,230.75,267.283,88.517,225.967,188.283,73.167,142.55,199.667,225.55,281.9,247.65,93.567,155.133,184.35,249.133
"Labette",157.217,94.95,203.65,65.333,255.65,78.583,227.267,124.817,225.1,84.4,33.267,251.6,185.867,186.083,130.3,101.7,241.617,128.883,46.35,385.483,215.05,221.883,246.467,258.5,148.533,294.583,242.117,346.817,274.283,57.467,209.55,342.317,345.633,222.8,290.267,101.1,371.567,109.283,193.167,318.25,346.567,306.183,231.95,187.083,282.167,392.35,371.183,183.983,222.167,0,109,178.95,369.233,269.45,352.05,207.433,166.933,256.833,187.633,310.033,119.217,208.833,44.25,178.65,231.517,241.183,26.833,313.767,365,96.2,294.167,121.333,270.967,346.317,210.467,217.05,395.533,164.05,291.317,259.15,229.617,320.5,288.133,263.65,211.217,119.833,160.917,243.017,149.4,370.917,229.183,375.7,216.717,394.733,371.117,174.6,228.183,308.083,192.2,390.317,273.733,143.967,248.3,78.983,157.267
"Lane",85.367,18.983,108.367,95.083,206.167,70.283,137.233,119.583,189.567,140.017,107.667,215.617,130.833,170.4,132.383,64.017,206.533,171.7,91.217,336,145.017,126.617,233.1,246.567,55.05,245.1,192.933,334.883,270.267,93.517,126.783,292.833,296.133,140.033,270.333,8.8,322.4,99.8,186.633,269.083,336.917,286.233,149.183,93.6,233,382.7,361.1,179.95,226.517,109.217,0,83.683,359.583,186.667,302.883,134.767,114.167,174.067,149.733,306.017,46.617,173.3,99.867,191.85,182.017,154.067,130.95,278.217,315.5,67.717,244.683,32.25,251.033,297.15,127.7,213.017,346.05,65.983,243.15,205.35,146.85,271,252.6,214.15,164.1,24.283,152.417,229.65,56.55,321.417,146.4,326.2,204.783,385.083,367.083,166.117,192.383,258.583,109.433,340.817,190.95,139.933,198.817,63.833,64.417
"Leavenworth",98.533,92.633,26.1,125.55,197.717,100.767,67.567,153.333,221.483,213.667,145.867,211.567,166.483,206.533,166.133,108.55,225.35,202.817,135.567,332.767,136.567,47.133,246.8,279.067,84.933,236.65,184.483,347.667,304,124,118.333,284.383,287.683,131.583,279.933,82.467,291.783,148.233,220.383,257.333,369.183,295.833,130.683,29.6,215.517,414.967,370.7,213.7,260.267,176.25,82.333,0,391.867,160.95,284.933,126.317,150.3,126.317,185.867,339.75,69.917,209.433,173.517,225.6,173.567,105.683,175.333,287.383,298.883,99.717,236.217,70.783,260.633,266.55,119.25,246.767,337.6,39.633,200.883,191.6,138.4,262.55,250.567,205.7,155.65,82.5,188.55,242.45,38.083,312.967,137.95,317.75,240.917,417.367,400.833,199.867,195.267,250.133,100.983,332.367,149.517,173.683,190.367,130.233,37.167
"Lincoln",314.75,359.65,383.383,389.083,248.1,383.633,389.183,257.083,196.15,334.6,372.867,199.283,268.183,203.017,244.083,332.583,182.233,276.117,368.917,186.133,263.883,403.3,154.133,116.8,352.067,182.85,212.15,58.3,96.85,381.217,282.683,134.767,208.05,309.633,118.917,362.75,262.767,307.567,216.05,254.233,34.083,105.567,318.783,371.333,294.917,25.783,28.167,188.383,202.783,370.6,359.6,392.483,0,317.75,221.667,284.033,260.85,350.583,227.683,77.067,383.933,209.067,338.583,237.133,244.917,382.35,392.333,129.017,210.2,401.1,256.1,342.433,149,239.55,314.417,154.1,178.783,359.85,324.1,291.933,307.25,225.467,159.817,206.867,247.85,384.05,229.633,160.7,377.867,166.45,316.017,159.217,160.867,28.183,32.033,244.35,210.3,168.733,310.817,129.2,329.15,231.867,217.367,320.8,379.917
"Linn",125.3,186.717,135.033,253.467,120.167,228.667,99.4,150.317,146.7,244.9,273.5,136.783,102.7,136.433,159.7,170.833,150.567,197.583,259.883,197.183,61.283,137.783,172.017,204.283,135.983,161.867,109.7,272.883,245.75,251.9,63.55,209.6,177.8,54.983,205.15,189.45,156.183,185.8,197.5,121.733,294.417,221.05,39.7,143.483,71.383,340.2,295.917,170.4,234.983,270.4,183.317,159.833,317.083,0,149.333,72.75,114.633,34.533,110.9,281.967,197.817,134.45,240.25,207.533,86.683,80.317,292.117,212.6,163.3,227.633,116.117,162.533,185.85,130.95,70.033,188.5,223.2,146.367,65.283,38.25,46.3,144.55,175.783,130.917,80.867,203.867,144.25,167.667,167.783,206.2,47.767,222.667,172.167,342.583,327.833,185.433,120.5,175.35,82.233,257.583,13.1,152.717,115.583,192.517,166.433
"Logan",241.65,302.55,259.167,370.25,133.233,344.517,223.533,232.183,157.4,321.617,354.017,129.817,205.733,202.733,225.233,287.467,152.667,263.133,350.083,67.5,166.233,261.917,153.133,145.217,251.833,76.8,127.85,175.283,159.7,362.367,182.283,93.867,29.883,176.3,136.967,305.3,49.083,282.667,248.517,33.517,202.483,123.183,172.05,276.083,89.883,237.717,194.15,219.25,242.817,351.767,299.167,283.95,222.183,148.317,0,186.383,207.6,158.65,177.2,194.617,313.667,162.917,319.733,275.383,130.683,204.45,373.483,98.167,33.267,343.467,60.7,278.367,138.05,23.85,203.15,185.883,93.517,262.2,114.967,130.217,165.817,33.05,100.45,92.567,149.883,319.7,209.8,154.45,283.617,58.283,171.317,74.767,173.783,237.55,240.5,250.967,141.817,59.667,203.55,135.65,136.283,218.25,113.433,295.9,282.267
"Lyon",69.217,133.55,116.717,200.3,90.517,175.5,122.517,87.983,114.283,182.567,212.2,104.367,50.533,104.017,105.333,117.667,118.15,138.617,206.717,220.35,29.367,136.65,139.6,171.867,82.817,129.45,77.283,240.467,213.317,198.733,16.017,177.183,180.483,42.983,172.733,136.283,206.75,129.033,151.2,153.433,261.983,188.633,52.133,104.667,117.35,307.767,263.5,137.983,191.083,209.95,130.15,125.817,284.667,73.167,187.233,0,52.7,88.267,78.467,249.533,144.65,102.033,177.917,161.25,66.367,115.7,231.667,180.183,199.85,174.467,129.017,109.367,153.433,181.5,47.75,156.083,230.4,93.2,126.5,90.567,40.433,155.35,143.367,98.5,48.45,150.7,97.967,135.25,114.617,205.767,49.35,210.55,139.733,310.167,295.417,139.15,88.067,142.933,44.15,225.167,84.567,106.417,83.167,139.35,113.267
"Marion",69.85,114.75,146.417,185.967,110.75,169,160.3,45.533,82.917,140.117,169.75,108.95,23.317,69.483,62.883,87.683,99.883,96.167,165.8,240.583,53.35,166.35,126.45,144.9,107.167,149.683,100.15,231.417,176.717,178.1,58.683,197.417,200.717,85.65,163.683,117.85,226.65,89.8,103.983,173.333,235.25,179.583,94.8,134.367,137.25,281.033,254.45,96.517,143.867,167.5,114.7,152.2,257.917,114.65,207.15,51.917,0,130.933,43.083,212.467,139.05,66.633,135.467,114.033,86.6,158.367,189.217,171.567,220.083,168.85,149.25,97.533,144.383,201.417,90.417,119.467,250.633,119.567,146.4,114.233,83.1,175.583,145.95,118.733,66.3,139.15,50.75,123,132.967,226,92.017,230.783,103.133,283.433,268.683,91.933,85.717,163.167,86.817,245.4,126.05,59.2,103.4,106.55,139.633
