"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Coahoma",234.399,331.756,422.288,214.372,210.294,108.787,405.574,140.527,191.959,279.716,307.378,382.818,226.225,0,320.734,249.182,389.973,296.688,181.33,202.988,499.05,128.161,590.717,88.752,271.299,170.875,311.442,204.56,220.018,271.299,352.718,349.424,363.168,412.706,313.686,104.22,159.104,383.657,324.021,252.616,189.191,126.477,352.641,293.223,251.655,344.988,145.409,390.904,155.736,296.61,330.722,321.891,257.054,62.29,268.777,485.738,401.56,153.244,363.168,382.818,297.938,112.954,82.086,379.974,366.808,470.356,103.79,110.258,75.605,200.794,251.905,39.97,304.187,187.026,258.955,364.685,425.64,262.456,405.553,284.851,142.389,256.456
"Copiah",98.148,95.765,104.813,169.908,129.892,259.85,137.208,209.414,308.569,190.981,74.337,237.931,403.575,321.266,0,86.834,245.086,126.228,145.678,154.155,230.684,238.847,273.242,279.979,57.021,156.294,76.691,140.776,397.368,57.021,124.139,66.518,80.538,144.34,233.745,314.889,382.553,227.488,146.907,142.887,363.435,259.465,35.166,302.481,79.975,211.175,361.116,73.429,193.903,189.694,153.608,291.404,260.45,297.691,173.153,217.372,84.085,340.422,80.538,237.931,81.043,242.526,287.605,111.608,221.921,201.99,218.72,226.234,330.883,401.551,428.845,378.431,175.74,260.531,90.535,103.868,193.603,223.699,143.851,242.998,269.271,92.59
"Covington",22.167,139.004,188.73,93.938,53.911,187.889,165.451,133.433,232.588,116.077,115.933,214.703,327.594,249.305,87.176,0,221.858,103,69.697,82.194,258.927,162.866,299.846,203.998,31.176,80.313,97.843,121.665,321.387,31.176,131.305,147.817,123.045,172.583,159.78,238.908,306.572,204.26,123.679,72.334,287.454,183.484,119.083,231.928,11.606,187.947,285.135,157.346,117.922,125.667,130.38,191.822,189.897,221.71,102.6,245.615,168.002,264.441,123.045,214.703,57.815,192.056,211.624,139.851,198.693,230.233,146.759,150.253,254.902,325.57,352.864,302.45,125.581,184.55,97.122,172.492,221.846,153.146,227.768,172.445,193.29,99.177
"DeSoto",194.847,311.05,269.771,174.316,235.699,401.591,81.661,240.222,255.692,112.032,287.979,8.326,318.934,390.266,245.993,222.097,0,121.764,251.485,295.896,104.666,269.682,253.386,310.814,195.131,220.778,269.889,310.868,312.727,195.131,71.991,306.634,154.359,74.563,100.584,332.973,393.157,73.034,99.153,169.686,274.993,290.3,209.545,191.902,215.238,56.721,371.72,248.353,258.104,115.44,76.155,136.95,202.026,328.526,123.081,199.155,237.437,282.894,154.359,8.326,166.611,405.758,318.44,108.315,67.804,183.773,360.461,277.142,361.718,348.762,348.835,409.266,109.339,253.483,261.427,299.282,36.129,170.209,318.775,185.921,316.945,263.482
"Forrest",70.672,191.545,228.042,80.837,111.524,282.086,94.3,146.743,193.38,65.683,168.474,114.243,288.386,296.787,126.488,102.592,121.398,0,115.998,176.391,225.602,176.203,265.475,217.335,75.626,126.614,150.384,191.363,282.179,75.626,56.179,187.129,112.649,94.76,103.267,252.245,319.909,103.8,23.211,44.036,248.246,196.821,158.395,205.102,95.733,87.487,298.472,196.658,164.223,56.028,29.912,167.716,163.071,235.047,62.045,211.244,207.314,235.409,112.649,114.243,47.106,286.253,224.961,76.441,98.233,195.862,240.956,183.663,268.239,309.61,313.656,315.787,50.691,155.746,141.922,224.479,157.065,126.32,267.08,145.619,206.627,143.977
"Franklin",53.068,197.796,247.522,55.565,42.972,157.09,224.243,59.32,178.874,113.996,174.725,248.009,273.88,181.451,145.968,69.286,255.164,113.944,0,92.627,317.719,109.152,358.638,150.284,89.968,10.615,156.635,133.587,267.673,89.968,190.097,206.609,181.837,231.375,158.639,185.194,252.858,237.566,156.985,69.872,233.74,87.286,177.875,205.291,70.324,221.253,231.421,216.138,48.224,124.633,163.686,161.078,169.122,167.996,101.566,304.407,226.794,210.727,181.837,248.009,116.607,161.257,118.866,198.643,231.999,289.025,101.313,80.555,201.188,271.856,299.15,248.736,124.547,130.836,155.914,231.284,280.638,121.505,286.56,140.804,139.576,157.969
"George",86,157.964,255.353,132.579,49.652,121.722,238.525,127.284,255.867,177.973,133.586,287.773,350.873,202.608,153.799,82.247,294.928,176.07,92.976,0,332.001,186.145,423.782,227.277,101.123,98.241,137.65,43.539,344.666,101.123,204.375,175.632,196.119,245.657,221.676,262.187,329.851,277.33,196.749,134.23,310.733,127.103,185.706,282.284,103.367,261.017,308.414,223.969,76.408,187.563,203.45,238.092,246.115,244.989,164.496,318.689,234.625,287.72,196.119,287.773,130.885,113.992,147.184,212.925,271.763,303.307,100.062,114.819,278.181,348.849,376.143,236.424,187.477,207.829,85.163,190.893,294.92,198.519,231.761,217.818,216.569,82.664
"Greene",270.988,321.371,236.795,278.945,302.732,439.177,101.678,382.254,360.321,216.661,303.805,113.048,423.563,499.97,231.446,259.674,104.721,189.809,318.518,333.482,0,411.687,188.118,452.819,232.708,329.134,290.504,348.454,417.356,232.708,134.149,283.847,154.7,94.401,205.213,437.602,497.786,177.663,203.782,274.315,379.622,432.305,222.933,296.531,252.815,161.35,476.349,261.741,366.743,220.069,177.408,241.579,306.655,470.531,227.71,101.216,204.461,387.523,154.7,113.048,231.581,443.344,460.445,128.332,172.433,85.978,398.047,399.074,503.723,453.391,453.464,551.271,213.968,358.112,299.013,312.67,69.864,274.838,290.175,290.55,421.574,301.068
"Grenada",146.674,291.402,341.128,94.419,136.578,128.664,317.849,35.204,80.367,159.763,268.331,262.865,177.744,128.154,239.574,162.892,270.02,176.735,109.286,155.63,411.325,0,452.244,48.702,183.574,99.846,250.241,181.382,171.537,183.574,232.765,300.215,275.443,324.981,180.3,83.612,151.276,238.978,204.068,132.663,137.604,28.166,271.481,148.544,163.93,225.035,129.839,309.744,95.784,176.657,210.769,177.212,112.375,66.414,148.824,398.013,320.4,109.145,275.443,262.865,210.213,132.831,56.306,292.249,246.855,382.631,93.653,61.726,99.606,170.274,203.014,147.154,184.234,58.885,249.52,324.89,305.687,129.07,380.166,140.172,42.609,251.575
"Hancock",312.032,325.679,213.45,345.713,343.776,529.842,184.213,423.298,482.525,329.546,324.621,248.371,545.767,591.258,272.73,300.718,252.96,265.806,359.562,424.147,188.578,452.731,0,493.863,273.752,370.178,346.683,410.768,539.56,273.752,216.684,296.184,195.744,179.525,322.335,528.773,619.99,299.867,274.173,308.912,501.826,473.349,242.409,418.735,293.859,283.554,598.553,259.177,407.787,324.838,264.707,363.783,428.859,511.575,348.01,78.846,192.572,509.727,195.744,248.371,272.625,512.518,501.489,202.445,294.3,93.681,488.712,440.118,544.767,575.595,575.668,592.315,318.737,430.739,360.527,302.433,227.757,387.723,266.14,412.754,483.155,362.582
"Harrison",185.968,330.696,380.422,133.713,175.872,146.216,357.143,93.338,114.788,199.057,307.625,302.159,185.49,89.387,278.868,202.186,309.314,216.029,148.58,194.89,450.619,47.502,491.538,0,222.868,139.14,289.535,220.642,179.283,222.868,272.059,339.509,314.737,364.275,233.027,63.485,134.639,302.998,243.362,171.957,148.456,67.426,310.775,212.564,203.224,264.329,113.202,349.038,135.044,215.951,250.063,241.232,176.395,27.647,188.118,437.307,359.694,112.509,314.737,302.159,249.507,150.383,50.488,331.543,286.149,421.925,111.205,84.888,60.839,152.507,211.17,108.387,223.528,106.367,288.814,364.184,344.981,181.797,419.46,204.192,55.603,290.869
"Hinds",42.08,122.991,159.473,113.84,73.824,206.771,138.503,153.346,252.501,140.805,99.92,187.755,347.507,271.062,57.919,30.766,194.91,76.052,89.61,101.076,231.979,182.779,327.902,223.911,0,100.226,81.83,122.809,341.3,0,104.357,118.56,96.097,145.635,183.569,258.821,326.485,177.312,96.731,86.819,307.367,203.397,89.826,246.413,23.907,160.999,305.048,128.089,137.835,139.518,103.432,241.228,204.382,241.623,117.085,218.667,138.745,284.354,96.097,187.755,30.867,210.938,231.537,112.903,171.745,203.285,165.641,170.166,274.815,345.483,372.777,322.363,125.564,204.463,73.368,155.91,194.898,167.631,198.511,186.93,213.203,75.423
"Holmes",63.585,208.313,258.039,49.326,41.055,146.574,234.76,48.804,169.494,110.094,185.242,213.196,264.5,170.935,156.485,79.803,220.351,124.461,10.516,90.71,328.236,99.772,369.155,140.904,100.485,0,167.152,126.411,258.293,100.485,200.614,217.126,192.354,241.892,154.737,175.814,243.478,190.791,167.502,80.389,224.36,76.77,188.392,195.911,80.841,175.366,222.041,226.655,37.708,126.988,174.203,157.176,159.742,158.616,99.155,314.924,237.311,201.347,192.354,213.196,127.124,150.741,108.35,209.16,197.186,299.542,90.797,70.039,191.808,262.476,289.77,204.751,134.565,121.456,140.172,241.801,256.018,117.603,297.077,136.902,130.196,137.673
"Humphreys",109.426,49.701,141.275,180.354,130.15,218.899,212.757,220.692,319.847,199.077,23.287,262.005,414.853,311.439,76.692,98.112,269.16,150.302,156.956,137.582,306.233,250.125,346.675,291.257,81.095,167.572,0,109.419,408.646,81.095,178.607,67.928,139.6,219.889,257.819,326.167,393.831,251.562,170.981,155.334,374.713,234.983,108.599,314.928,91.253,235.249,372.394,104.99,190.368,213.768,177.682,315.478,272.897,308.969,185.6,292.921,157.518,351.7,139.6,262.005,105.117,211.169,261.01,187.157,245.995,277.539,220.768,222.699,342.161,412.829,440.123,345.255,199.814,271.809,52.538,83.189,269.152,236.146,124.057,255.445,280.549,55.036
"Issaquena",126.919,129.742,242.355,173.498,90.571,112.026,254.88,152.988,274.433,218.892,105.364,304.128,369.439,204.566,140.801,122.38,311.283,192.425,133.895,43.497,348.356,181.106,410.784,222.187,123.218,126.403,109.428,0,363.232,123.218,220.73,147.41,212.474,262.012,299.942,257.097,357.516,293.685,213.104,175.149,329.299,152.807,172.708,300.85,140.875,277.372,343.821,184.472,102.112,255.891,219.805,279.011,264.681,239.176,205.415,335.044,221.627,282.63,212.474,304.128,147.24,104.296,176.509,229.28,288.118,319.662,114.536,140.523,274.017,343.759,394.709,238.382,241.937,226.395,56.941,162.671,311.275,239.438,203.539,258.737,227.852,54.442
