"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Lawrence",96.306,212.509,249.006,104.049,137.158,303.05,91.3,169.955,198.087,64.05,189.438,91.466,326.923,319.999,147.452,123.556,98.621,23.211,152.944,197.355,202.825,199.415,274.04,240.547,96.59,163.56,171.348,212.327,320.716,96.59,53.32,208.093,133.613,95.217,87.286,275.457,343.121,81.023,0,67.248,282.982,220.033,179.359,199.891,116.697,64.71,321.684,217.622,201.169,43.235,6.701,144.939,158.135,258.259,66.407,219.809,228.278,240.116,133.613,91.466,68.07,307.217,248.173,78.629,75.456,204.427,261.92,206.875,291.451,356.751,356.824,338.999,37.134,164.4,162.886,245.443,134.288,121.384,288.044,140.683,229.839,164.941
"Leake",50.43,196.449,247.726,36.801,85.314,229.053,137.348,102.707,149.344,45.171,173.378,162.429,244.35,252.751,146.172,73.022,169.584,44.072,71.962,134.264,273.788,132.167,308.523,173.299,90.172,82.578,155.288,175.224,238.143,90.172,100.102,206.813,149.554,138.683,88.874,208.209,275.873,151.986,71.405,0,204.21,152.785,178.079,161.066,68.725,135.673,254.436,216.342,120.187,54.761,78.106,120.96,119.035,191.011,31.694,254.292,226.998,191.373,149.554,162.429,82.368,233.22,180.925,120.364,146.419,238.91,171.278,139.627,224.203,265.574,269.62,271.751,54.675,111.71,147.331,229.937,205.251,82.284,286.764,101.583,162.591,149.386
"Lee",240.719,415.235,464.961,169.821,260.411,281.105,329.519,177.905,58.492,205.285,392.164,268.09,42.934,188.74,363.407,286.725,275.245,248.103,233.119,310.066,379.449,137.385,501.244,148.481,307.407,223.679,374.074,328.945,36.727,307.407,308.598,424.048,353.474,322.421,180.394,87.494,120.154,202.366,282.158,204.031,0,165.067,395.314,103.385,287.763,219.3,98.717,433.577,243.347,223.621,276.091,140.6,104.151,127,216.252,447.013,444.233,35.671,353.474,268.09,284.414,285.272,200.401,334.2,216.489,431.631,246.476,198.627,148.485,75.759,75.832,199.483,231.198,105.475,373.353,448.723,310.912,145.708,503.999,126.682,127.591,375.408
"Leflore",166.83,259.739,361.284,114.575,114.772,122.946,338.005,32.333,108.645,179.919,235.361,283.021,206.379,126.144,259.73,183.048,290.176,196.891,87.259,127.463,431.481,28.298,472.4,69.379,203.73,76.804,234.589,153.215,200.172,203.73,252.921,320.371,295.599,345.137,213.889,104.289,171.953,283.86,224.224,152.819,165.882,0,291.637,193.426,184.086,245.191,150.516,329.9,67.617,196.813,230.925,222.094,157.257,87.091,168.98,418.169,340.556,129.822,295.599,283.021,230.369,127.113,50.588,312.405,267.011,402.787,70.746,25.854,120.283,190.951,231.292,159.96,204.39,87.163,186.938,292.668,325.843,162.659,333.536,185.054,75.044,184.439
"Lincoln",130.235,94.763,74.434,201.995,161.979,291.937,128.25,241.501,340.656,223.068,82.245,205.259,435.662,353.353,34.825,118.921,209.848,158.315,177.765,186.242,210.49,270.934,242.863,312.066,89.108,188.381,108.778,172.863,429.455,89.108,143.09,57.239,56.231,135.382,265.832,346.976,414.64,259.575,178.994,174.974,395.522,291.552,0,334.568,112.062,243.262,393.203,43.282,225.99,221.781,185.695,323.491,292.537,329.778,205.24,197.178,53.706,372.509,56.231,205.259,113.13,274.613,319.692,129.274,254.008,181.796,250.807,258.321,362.97,433.638,460.932,410.518,207.827,292.618,122.622,94.211,184.645,255.786,113.704,275.085,301.358,124.677
"Lowndes",210.682,356.701,406.014,133.695,232.783,275.955,246.946,150.277,92.276,129.567,333.63,185.517,99.09,293.258,304.46,259.097,192.672,206.341,205.491,282.438,296.876,148.51,418.671,213.806,248.46,196.051,315.54,301.317,100.433,248.46,226.025,365.101,319.644,239.848,97.821,177.943,221.227,119.793,199.585,162.269,103.063,193.292,336.367,0,228.977,136.727,199.79,374.63,215.719,158.004,193.518,58.027,38.534,231.518,150.635,364.44,385.286,119.478,319.644,185.517,242.62,280.122,221.432,251.627,133.916,349.058,218.848,187.197,264.71,176.832,146.544,300.556,165.581,89.991,307.583,390.189,228.339,80.091,445.052,61.197,153.453,309.638
"Madison",18.58,133.016,182.742,90.307,55.253,203.577,159.463,134.775,233.93,112.446,109.945,208.715,328.936,252.491,81.188,12.263,215.87,97.012,71.039,92.546,252.939,164.208,293.858,205.34,25.188,81.655,91.855,140.575,322.729,25.188,125.317,141.829,117.057,166.595,156.149,240.25,307.914,198.272,117.691,68.703,288.796,184.826,113.095,228.297,0,181.959,286.477,151.358,119.264,122.036,124.392,188.191,186.266,223.052,98.969,239.627,162.014,265.783,117.057,208.715,51.827,207.744,212.966,133.863,192.705,224.245,162.447,151.595,256.244,326.912,354.206,303.792,121.95,185.892,91.134,166.504,215.858,149.515,221.78,168.814,194.632,93.189
"Marion",159.252,275.455,311.952,129.131,200.104,365.996,110.919,195.037,200.209,66.847,252.384,49.49,263.451,345.081,210.398,186.502,56.645,86.169,215.89,260.301,160.849,224.497,282.644,265.629,159.536,175.593,234.294,275.273,257.244,159.536,89.998,271.039,183.617,103.821,42.035,277.49,337.674,17.551,63.558,134.091,219.51,245.115,242.305,136.419,179.643,0,316.237,280.568,212.919,79.845,57.491,81.467,146.543,283.341,77.896,228.413,291.224,227.411,183.617,49.49,131.016,370.163,273.255,115.6,22.037,213.031,324.866,231.957,316.533,293.279,293.352,417.003,73.744,198,225.832,308.389,92.312,114.712,350.99,130.438,261.462,227.887
"Marshall",268.955,413.683,463.409,216.7,258.859,259.738,425.102,176.325,122.436,246.617,390.612,363.673,132.169,146.058,361.855,285.173,370.828,299.016,231.567,277.877,475.032,130.489,596.827,113.258,305.855,222.127,372.522,344.515,125.962,305.855,404.181,422.496,397.724,418.004,275.977,49.413,22.125,297.949,326.349,254.944,97.105,150.413,393.762,198.968,286.211,314.883,0,432.025,218.031,264.953,302.07,236.183,199.734,92.07,271.105,542.596,442.681,82.489,397.724,363.673,332.494,263.905,165.178,414.53,312.072,527.214,210.914,183.973,55.06,60.407,143.623,106.104,272.53,144.042,371.801,447.171,406.495,241.291,502.447,222.265,119.678,373.856
"Monroe",168.559,74.56,47.843,240.319,200.303,294.115,166.839,279.825,378.98,261.392,79.699,243.848,473.986,391.677,73.149,157.245,248.437,196.639,216.089,224.566,249.079,309.258,270.431,350.39,127.432,226.705,104.909,184.635,467.779,127.432,181.679,39.386,94.82,173.971,304.156,385.3,452.964,297.899,217.318,213.298,433.846,329.876,42.841,372.892,150.386,281.586,431.527,0,264.314,260.105,224.019,361.815,330.861,368.102,243.564,235.767,81.274,410.833,94.82,243.848,151.454,286.385,358.016,167.863,292.332,220.385,289.131,296.645,401.294,471.962,499.256,448.842,246.151,330.942,127.919,51.314,223.234,294.11,70.807,313.409,339.682,130.417
"Montgomery",101.281,214.74,295.735,87.006,69.773,122.327,272.456,67.414,188.859,147.774,190.362,250.876,283.865,155.845,194.181,117.499,258.031,162.157,48.212,76.412,365.932,95.532,406.851,136.613,138.181,37.757,189.59,102.164,277.658,138.181,238.31,254.822,230.05,279.588,192.417,171.523,239.187,228.471,205.198,118.085,243.725,67.233,226.088,215.276,118.537,213.046,217.75,264.351,0,164.668,211.899,194.856,179.107,154.325,136.835,352.62,275.007,197.056,230.05,250.876,164.82,126.494,93.26,246.856,234.866,337.238,68.609,54.949,187.517,258.185,309.135,189.661,172.245,140.821,141.939,247.669,293.698,155.283,288.537,174.582,142.278,139.44
"Neshoba",103.842,255.083,291.58,80.788,138.726,273.442,125.835,146.694,154.852,20.815,232.012,107.98,267.446,296.738,190.026,126.434,115.135,55.988,126.802,187.676,219.339,176.154,297.56,217.286,139.164,127.25,213.922,254.901,261.239,139.164,79.174,250.667,176.187,118.737,57.768,218.613,286.277,97.537,43.184,54.84,223.505,196.772,221.933,156.931,122.137,64.671,264.84,260.196,164.576,0,37.117,94.37,114.9,234.998,23.172,243.329,270.852,196.881,176.187,107.98,110.644,277.609,224.912,104.483,91.97,227.947,215.265,183.614,268.19,256.524,276.483,315.738,7.577,121.165,205.46,288.017,150.802,78.149,330.618,97.448,184.627,207.515
"Newton",103.239,219.442,255.939,110.982,144.091,309.983,81.917,176.888,192.024,57.987,196.371,85.403,320.86,326.932,154.385,130.489,76.178,30.144,159.877,204.288,177.492,206.348,264.657,247.48,103.523,170.493,178.281,219.26,314.653,103.523,43.937,215.026,131.428,85.834,81.223,255.785,395.083,74.96,6.933,74.181,276.919,226.966,186.292,193.828,123.63,58.647,373.646,224.555,208.102,37.172,0,138.876,152.072,265.192,60.344,210.426,235.211,234.053,131.428,85.403,75.003,314.15,255.106,69.246,69.393,195.044,268.853,213.808,298.384,350.688,350.761,345.932,31.071,158.337,169.819,252.376,108.955,115.321,294.977,134.62,221.799,171.874
"Noxubee",170.577,356.233,392.73,110.972,188.42,305.221,191.697,179.543,121.466,74.318,333.162,130.268,184.708,322.524,291.176,193.169,137.423,166.947,161.106,238.075,241.627,177.776,363.422,243.072,240.314,157.434,315.072,279.035,178.501,240.314,170.776,351.817,264.395,184.599,42.572,198.747,258.931,64.544,144.336,122.164,140.767,222.558,323.083,57.676,188.872,81.478,237.494,361.346,194.76,94.32,138.269,0,67.8,260.784,86.951,309.191,372.002,148.668,264.395,130.268,211.794,309.388,250.698,196.378,78.667,293.809,248.114,216.463,293.976,214.536,214.609,338.26,94.24,119.257,306.61,389.167,173.09,63.48,431.768,51.695,182.719,308.665
"Oktibbeha",168.608,314.627,363.94,91.621,196.735,239.907,255.488,114.229,61.389,97.594,291.556,194.059,148.416,257.21,262.386,191.2,201.214,164.267,169.443,246.39,305.418,112.462,427.213,177.758,206.386,160.003,273.466,265.269,142.209,206.386,195.104,323.027,269.606,248.39,106.363,151.391,222.639,128.335,159.114,120.195,104.475,157.244,294.293,37.901,186.903,145.269,201.202,332.556,179.671,115.93,153.047,66.569,0,195.47,108.561,372.982,343.212,112.376,269.606,194.059,200.546,244.074,185.384,220.413,142.458,357.6,182.8,151.149,228.662,178.244,178.317,276.21,123.507,53.943,265.509,348.115,236.881,38.017,402.978,34.777,117.405,267.564
"Panola",204.935,349.663,399.389,152.68,194.839,154.655,376.11,112.305,130.267,218.024,326.592,321.126,164.533,62.29,297.835,221.153,328.281,234.996,167.547,213.857,469.586,66.469,510.505,27.06,241.835,158.107,308.502,239.432,158.326,241.835,291.026,358.476,333.704,383.242,251.994,42.528,111.613,321.965,262.329,190.924,127.499,86.393,329.742,231.531,222.191,283.296,90.176,368.005,154.011,234.918,269.03,260.199,195.362,0,207.085,456.274,378.661,91.552,333.704,321.126,268.474,158.822,70.983,350.51,305.116,440.892,119.394,119.953,37.813,131.55,190.213,85.361,242.495,125.334,307.781,383.151,363.948,200.764,438.427,223.159,80.697,309.836
"Pearl River",80.67,226.689,277.966,52.904,115.554,245.558,148.958,118.81,147.57,13.533,203.618,115.695,260.164,268.854,176.412,103.262,122.85,61.616,103.63,164.504,227.054,148.27,320.683,189.402,120.412,99.366,185.528,205.464,253.957,120.412,102.297,237.053,173.734,141.86,57.236,224.312,291.976,93.29,66.307,31.668,216.223,168.888,208.319,149.649,98.965,77.865,270.539,246.582,136.692,23.123,60.24,87.088,107.618,207.114,0,266.452,257.238,189.599,173.734,115.695,112.608,249.725,197.028,127.606,99.685,251.07,187.381,155.73,240.306,249.242,269.201,287.854,30.7,113.883,177.571,260.177,158.517,70.867,317.004,90.166,177.345,179.626
"Perry",258.542,308.925,204.03,292.223,290.286,426.731,130.723,369.808,429.035,276.056,291.359,194.881,492.277,487.524,219,247.228,199.47,212.316,306.072,321.036,101.532,399.241,78.247,440.373,220.262,316.688,278.058,336.008,486.07,220.262,163.194,271.401,142.254,126.035,268.845,475.283,566.5,246.377,220.683,255.422,448.336,419.859,210.487,365.245,240.369,230.064,545.063,249.295,354.297,271.348,211.217,310.293,375.369,458.085,294.52,0,171.696,456.237,142.254,194.881,219.135,430.898,447.999,148.955,240.81,16.329,385.601,386.628,491.277,522.105,522.178,538.825,265.247,377.249,286.567,300.224,174.267,334.233,257.41,359.264,429.665,288.622
"Pike",178.893,136.432,38.915,250.653,210.637,340.595,177.206,290.159,389.314,271.726,135.374,232.99,484.32,402.011,83.483,167.579,237.579,206.973,226.423,234.9,204.137,319.592,193.479,360.724,137.766,237.039,157.436,221.521,478.113,137.766,192.046,106.937,105.187,164.144,314.49,395.634,463.298,308.233,227.652,223.632,444.18,340.21,53.162,383.226,160.72,291.92,441.861,69.93,274.648,270.439,234.353,372.149,341.195,378.436,253.898,171.499,0,421.167,105.187,232.99,161.788,323.271,368.35,178.23,302.666,156.117,299.465,306.979,411.628,482.296,509.59,459.176,256.485,341.276,171.28,113.186,212.376,304.444,92.295,323.743,350.016,173.335
"Pontotoc",228.041,393.574,443.3,157.143,238.75,245.633,337.654,156.216,40.699,178.628,370.503,276.225,76.892,153.268,341.746,265.064,283.38,235.425,211.458,257.768,387.584,119.592,509.379,113.009,285.746,202.018,352.413,283.52,70.685,285.746,276.138,402.387,340.796,330.556,188.529,52.022,104.771,210.501,240.148,191.353,35.847,130.304,373.653,120.143,266.102,227.435,83.334,411.916,197.922,196.964,234.081,148.735,109.829,91.528,189.595,455.148,422.572,0,340.796,276.225,271.736,249.8,164.929,311.717,224.624,439.766,195.791,163.864,124.757,60.383,102.572,184.1,204.541,91.032,351.692,427.062,319.047,143.092,482.338,139.852,92.828,353.747
"Prentiss",135.851,154.624,126.416,187.355,167.595,304.04,73.627,247.117,299.898,178.252,148.713,150.636,394.904,364.833,83.052,124.537,155.225,113.499,183.381,198.345,155.164,276.55,196.083,317.682,97.571,193.997,142.144,213.317,388.697,97.571,88.467,117.1,0,80.759,224.6,352.592,420.256,202.132,134.178,151.994,354.764,297.168,56.186,321,117.678,185.819,398.819,94.994,231.606,176.965,140.879,266.048,269.557,335.394,174.614,141.852,105.688,341.927,0,150.636,96.444,308.207,325.308,74.651,196.565,126.47,262.91,263.937,368.586,439.254,420.174,416.134,163.011,298.234,163.876,145.923,130.022,232.806,165.416,252.105,306.974,165.931
"Quitman",188.275,304.478,265.227,167.744,229.127,395.019,77.117,233.65,249.12,105.46,281.407,0,312.362,383.694,239.421,215.525,8.321,115.192,244.913,289.324,112.939,263.11,248.842,304.242,188.559,214.206,263.317,304.296,306.155,188.559,67.447,300.062,149.815,70.019,94.012,326.401,386.585,66.462,92.581,163.114,268.421,283.728,205.001,185.33,208.666,50.149,365.148,243.809,251.532,108.868,71.611,130.378,195.454,321.954,116.509,194.611,232.893,276.322,149.815,0,160.039,399.186,311.868,103.771,61.232,179.229,353.889,270.57,355.146,342.19,342.263,402.694,102.767,246.911,254.855,294.738,44.402,163.637,314.231,179.349,310.373,256.91
"Rankin",68.872,146.511,183.008,117.171,100.616,237.052,125.468,180.138,229.714,112.366,123.44,159.316,324.72,297.854,81.454,57.558,166.471,47.613,116.402,131.357,231.283,209.571,272.202,250.703,30.592,127.018,105.35,146.329,318.513,30.592,94.949,142.095,95.401,133.53,155.13,285.613,353.277,148.873,68.292,81.81,284.58,230.189,113.361,241.404,50.699,132.56,331.84,151.624,164.627,111.079,74.993,212.789,199.373,268.415,112.076,217.971,162.28,271.743,95.401,159.316,0,241.219,258.329,109.092,143.306,202.589,195.922,196.958,301.607,372.275,349.99,349.155,97.125,192.08,96.888,179.445,202.138,162.622,222.046,181.921,239.995,98.943
"Scott",188.865,231.517,344.13,194.167,152.517,7.73,347.683,132.204,213.347,259.511,207.139,396.931,322.577,112.952,242.576,191.405,404.086,285.228,161.169,113.989,441.159,133,512.559,150.255,210.281,150.714,211.203,104.321,316.37,210.281,313.533,249.185,305.277,354.815,300.529,200.572,276.982,386.488,305.907,232.411,285.543,126.995,274.483,280.066,206.232,370.175,263.287,286.247,136.914,276.405,312.608,308.734,243.897,158.642,248.572,427.847,323.402,249.596,305.277,396.931,240.043,0,102.018,322.083,380.921,412.465,62.853,110.776,193.483,318.672,348.257,157.848,283.982,191.865,158.716,264.446,404.078,249.299,305.314,271.694,179.746,156.217
"Sharkey",194.97,284.83,389.424,142.715,139.863,97.8,366.145,73.309,136.785,208.059,260.452,311.161,237.302,81.643,287.87,211.188,318.316,225.031,118.302,147.189,459.621,56.438,500.54,50.5,231.87,107.847,259.68,176.252,231.095,231.87,281.061,348.511,323.739,373.277,242.029,115.297,186.451,312,252.364,180.959,200.268,50.433,319.777,221.566,212.226,273.331,165.014,358.04,92.708,224.953,259.065,250.234,185.397,70.837,197.12,446.309,368.696,164.321,323.739,311.161,258.509,101.967,0,340.545,295.151,430.927,62.789,47.23,112.651,204.319,262.982,115.459,232.53,115.303,212.029,317.759,353.983,190.799,358.627,213.194,91.846,209.53
"Simpson",137.377,205.807,199.384,157.493,182.567,319.012,26.802,223.399,259.334,125.297,184.379,104.037,379.097,379.805,112.02,139.509,108.626,76.232,198.353,213.317,128.355,252.859,202.526,293.991,112.543,208.969,171.078,228.289,372.89,112.543,25.602,176.56,73.968,34.16,155.665,328.901,396.565,133.197,78.734,120.692,335.156,273.477,129.154,252.065,132.65,116.884,375.128,167.962,246.578,104.482,69.268,197.113,219.382,311.703,127.654,148.295,178.656,301.363,73.968,104.037,102.273,323.179,301.617,0,127.63,132.913,277.882,278.909,344.895,408.925,408.998,392.443,98.381,225.647,178.848,218.891,83.423,182.631,238.384,201.93,283.283,180.903
"Smith",171.218,287.421,323.918,150.687,212.07,377.962,122.885,216.593,197.454,88.403,264.35,61.805,260.696,366.637,222.364,198.468,68.96,98.135,227.856,272.267,173.164,246.053,294.61,287.185,171.502,197.149,246.26,287.239,254.489,171.502,101.964,283.005,195.583,115.787,52.939,274.735,334.919,14.839,75.524,146.057,216.755,266.671,254.271,133.664,191.609,21.649,313.482,292.534,234.475,91.811,69.457,78.712,143.788,304.897,99.452,240.379,303.19,224.656,195.583,61.805,142.982,382.129,294.811,127.566,0,224.997,336.832,253.513,338.089,290.524,290.597,414.248,85.71,195.245,237.798,320.355,104.627,139.468,362.956,127.683,258.707,239.853
"Stone",243.112,293.495,188.6,276.793,274.856,411.301,115.293,354.378,413.605,260.626,275.929,179.451,476.847,472.094,203.57,231.798,184.04,196.886,290.642,305.606,86.595,383.811,93.122,424.943,204.832,301.258,262.628,320.578,470.64,204.832,147.764,255.971,126.824,110.605,253.415,459.853,551.07,230.947,205.253,239.992,432.906,404.429,195.057,349.815,224.939,214.634,529.633,233.865,338.867,255.918,195.787,294.863,359.939,442.655,279.09,16.291,156.266,440.807,126.824,179.451,203.705,415.468,432.569,133.525,225.38,0,370.171,371.198,475.847,506.675,506.748,523.395,249.817,361.819,271.137,284.794,122.084,318.803,241.98,343.834,414.235,273.192
"Sunflower",143.682,239.869,319.328,132.968,107.334,66.868,302.5,71.005,174.132,198.312,215.491,351.748,287.456,103.376,217.774,146.222,358.903,240.045,101.309,100.028,395.976,93.785,487.757,111.182,165.098,90.854,219.365,115.207,281.249,165.098,268.35,257.537,260.094,309.632,239.33,161.336,256.326,309.301,260.724,171.212,247.316,70.824,249.681,218.867,161.049,324.992,211.348,287.944,75.715,215.206,267.425,247.535,182.698,119.406,187.373,382.664,298.6,195.309,260.094,351.748,194.86,71.035,62.803,276.9,335.738,367.282,0,52.482,158.985,250.358,312.726,137.192,222.783,144.412,167.068,272.798,358.895,188.1,313.666,210.495,140.531,164.569
"Tallahatchie",133.587,247.046,328.041,101.855,102.079,106.572,304.762,39.892,142.205,167.199,222.668,270.301,239.939,109.77,226.487,149.805,277.456,184.171,80.518,114.77,398.238,61.858,439.157,84.9,170.487,70.063,221.896,140.522,233.732,170.487,240.201,287.128,262.356,311.894,208.217,137.849,205.513,278.188,211.504,140.099,199.442,25.854,258.394,187.754,150.843,232.471,184.076,296.657,54.924,184.093,218.205,216.422,151.585,105.237,156.26,384.926,307.313,163.382,262.356,270.301,197.126,110.739,47.185,279.162,254.291,369.544,52.423,0,153.843,224.511,264.852,143.586,191.67,113.299,174.245,279.975,313.123,156.987,320.843,179.382,108.604,171.746
"Tate",238.416,383.144,432.87,186.161,228.32,189.406,409.591,145.786,163.78,251.505,360.073,354.607,182.25,75.726,331.316,254.634,361.762,268.477,201.028,247.338,503.067,99.95,543.986,60.541,275.316,191.588,341.983,273.09,176.043,275.316,324.507,391.957,367.185,416.723,285.475,76.041,76.518,355.446,295.81,224.405,147.186,119.874,363.223,265.012,255.672,316.777,55.081,401.486,187.492,268.399,302.511,293.68,228.843,39.353,240.566,489.755,412.142,125.065,367.185,354.607,301.955,193.573,112.461,383.991,338.597,474.373,158.197,153.434,0,110.488,193.704,46.255,275.976,158.815,341.262,416.632,397.429,234.245,471.908,256.64,114.178,343.317
"Tippah",309.461,454.189,503.915,216.609,299.365,315.172,402.841,216.831,100.165,238.094,431.118,341.412,109.908,201.492,402.361,325.679,348.567,294.891,272.073,318.383,452.771,170.995,574.566,152.754,346.361,262.633,413.028,344.135,103.701,346.361,381.92,463.002,438.23,395.743,253.716,89.919,50.98,275.688,355.48,250.819,74.844,190.919,434.268,176.707,326.717,292.622,60.772,472.531,258.537,256.43,349.413,213.922,177.473,131.273,249.061,520.335,483.187,60.218,438.23,341.412,331.202,319.339,204.674,407.522,289.811,504.953,250.117,224.479,110.54,0,82.019,161.538,264.007,150.498,412.307,487.677,384.234,219.03,542.953,200.004,149.308,414.362
"Tishomingo",306.326,480.842,530.568,235.428,326.018,344.196,403.401,243.512,124.099,279.167,457.771,341.972,48.979,251.831,429.014,352.332,349.127,313.71,298.726,375.673,453.331,202.992,575.126,211.572,373.014,289.286,439.681,394.552,55.766,373.014,382.48,489.655,419.081,396.303,254.276,150.585,126.851,276.248,356.04,269.638,75.404,231.159,460.921,148.241,353.37,293.182,144.678,499.184,308.954,297.503,349.973,214.482,178.033,190.091,290.134,520.895,509.84,102.852,419.081,341.972,350.021,348.363,263.492,408.082,290.371,505.513,312.083,264.719,194.446,77.879,0,245.444,305.08,171.082,438.96,514.33,384.794,219.59,569.606,200.564,194.772,441.015
"Tunica",284.672,365.607,479.126,232.417,274.576,153.634,455.847,192.042,222.853,297.761,341.229,400.863,232.586,39.954,377.572,300.89,408.018,314.733,247.284,236.839,549.323,146.206,590.242,106.797,321.572,204.726,345.293,238.411,226.379,321.572,370.763,383.275,413.441,462.979,331.731,122.297,119.134,398.366,342.066,270.661,197.522,166.13,409.479,299.385,301.928,415.3,105.439,447.742,189.587,314.655,348.767,336.6,275.099,81.809,286.822,536.011,458.398,182.906,413.441,400.863,348.211,157.801,115.937,430.247,412.489,520.629,137.641,144.109,46.235,160.824,244.04,0,322.232,205.071,292.806,398.536,443.685,280.501,439.404,302.896,160.434,290.307
"Union",103.677,248.964,285.461,88.385,138.561,281.039,119.716,154.291,162.449,28.412,225.893,101.861,275.043,304.335,183.907,160.011,109.016,50.698,126.637,187.511,213.22,183.751,291.441,224.883,133.045,134.847,207.803,248.782,268.836,133.045,73.055,244.548,170.068,112.618,51.667,226.21,293.874,91.418,37.065,54.675,231.102,204.369,215.814,164.528,153.152,58.57,272.437,254.077,172.173,7.597,30.998,94.287,122.497,242.595,30.769,237.21,264.733,204.478,170.068,101.861,104.525,285.206,232.509,98.364,85.851,221.828,222.862,191.211,275.787,264.121,284.08,323.335,0,128.762,199.341,281.898,144.683,85.746,324.499,105.045,192.224,201.396
"Walthall",167.98,312.708,362.434,77.101,157.884,201.056,258.895,75.378,49.013,102.575,289.637,205.677,145.93,188.216,260.88,184.198,212.832,155.383,130.592,207.539,317.036,60.061,430.62,108.764,204.88,121.152,271.547,226.418,139.723,204.88,200.085,321.521,296.749,251.797,121.415,98.99,166.654,180.093,164.095,111.311,105.79,88.228,292.787,89.659,185.236,197.027,145.217,331.05,140.82,120.911,158.028,118.327,53.49,126.476,113.542,376.389,341.706,91.042,296.749,205.677,191.694,205.223,116.368,225.394,194.216,361.007,143.949,112.298,159.668,150.685,171.2,207.216,128.488,0,270.826,346.196,248.499,70.185,401.472,81.287,65.004,272.881
"Warren",108.918,72.547,163.562,172.977,91.576,166.454,204.75,220.184,319.339,207.048,48.169,253.998,414.345,258.994,90.923,97.604,261.153,142.295,156.448,85.137,298.226,249.617,360.906,290.749,73.088,139.365,51.841,56.974,408.138,73.088,170.6,90.215,162.344,211.882,249.812,325.659,393.323,243.555,162.974,147.957,374.205,185.736,122.83,307.551,90.745,227.242,371.886,127.277,141.121,205.761,169.675,307.471,265.52,308.461,178.223,284.914,171.749,351.192,162.344,253.998,97.11,158.724,211.763,179.15,237.988,269.532,167.239,173.452,341.653,412.321,439.615,292.81,191.807,271.301,0,105.476,261.145,228.769,146.344,248.068,280.041,2.498
"Washington",184.179,52.944,87.707,255.107,197.621,272.499,218.097,295.445,394.6,289.272,58.083,295.106,489.606,365.039,103.627,172.865,299.695,224.519,231.709,191.182,300.337,324.878,302.05,366.01,155.312,242.325,83.293,163.019,483.399,155.312,232.937,37.13,146.078,225.229,332.036,400.92,468.584,325.779,245.198,230.087,449.466,291.781,94.099,389.681,166.006,309.466,447.147,51.434,247.166,287.985,251.899,389.695,347.65,383.722,260.353,287.025,112.893,426.453,146.078,295.106,179.334,264.769,317.808,219.121,320.212,271.643,273.284,279.497,416.914,487.582,514.876,398.855,274.031,346.562,106.303,0,274.492,310.899,55.66,330.198,355.302,108.801
"Wayne",233.88,283.079,244.867,213.349,264.741,401.186,56.757,279.255,294.725,151.065,265.814,47.452,357.967,429.299,193.455,221.683,39.125,160.797,280.527,295.491,69.659,308.715,228.482,349.847,194.717,291.143,252.513,310.463,351.76,194.717,89.228,245.555,129.455,48.036,139.617,372.006,432.19,112.067,138.186,208.719,314.026,329.333,184.641,230.935,214.824,95.754,410.753,223.449,297.137,154.473,112.086,175.983,241.059,367.559,162.114,174.251,212.533,321.927,129.455,47.452,205.644,405.353,357.473,83.411,106.837,122.081,360.056,316.175,400.751,387.795,387.868,448.299,148.372,292.516,261.022,274.378,0,209.242,293.871,224.954,355.978,263.077
"Webster",131.547,277.566,326.879,71.909,149.357,244.56,216.853,118.882,101.798,60.533,254.495,163.635,190.165,261.863,225.325,154.139,170.79,127.206,122.043,199.012,274.994,128.43,388.578,182.411,169.325,118.371,236.405,239.972,183.958,169.325,158.043,285.966,232.545,209.755,72.956,167.359,264.388,125.288,122.053,83.134,146.224,161.897,257.232,79.65,149.842,115.343,242.951,295.495,155.697,78.869,115.986,63.522,37.619,200.123,71.5,334.347,306.151,143.827,232.545,163.635,163.485,248.727,190.037,183.352,125.629,318.965,187.453,155.802,233.315,219.993,220.066,280.863,86.446,69.911,228.448,311.054,206.457,0,365.917,20.167,133.373,230.503
