"","Bear River","Beaver","Box Elder","Cache","Carbon","Central Utah","Daggett","Davis","Duchesne","Emery","Garfield","Grand","Iron","Juab","Kane","Millard","Morgan","Piute","Rich","Salt Lake","San Juan","Sanpete","Sevier","Southeast Utah","Southwest Utah","Summit","Tooele","TriCounty","Uintah","Utah","Wasatch","Washington","Wayne","Weber","Weber-Morgan"
"Summit",466.992,66.714,477.362,523.684,357.81,108.273,642.356,376.891,452.929,267.23,403.458,444.351,14.804,226.004,151.106,376.793,453.378,110.614,557.524,385.341,530.834,240.848,139.213,317.352,317.352,0,358.13,266.215,428.975,317.352,318.954,98.618,201.584,456.546,453.378
"Tooele",195.924,292.264,142.383,188.705,234.881,463.698,317.259,58.767,229.879,315.463,28.697,419.942,346.703,175.253,474.856,67.186,118.411,339.504,232.427,54.554,506.425,215.575,296.638,115.443,115.443,358.322,0,223.051,94.008,115.443,116.253,454.043,329.763,121.579,118.411
"TriCounty",288.931,200.688,299.301,345.623,176.081,372.122,464.295,198.83,238.838,149.469,225.397,326.59,255.127,79.452,334.095,198.732,275.317,172.917,379.463,207.28,413.073,67.153,130.051,139.291,139.291,266.746,223.049,0,250.914,139.291,140.893,362.467,156.711,278.485,275.317
"Uintah",152.96,363.146,50.412,96.734,234.822,534.58,247.046,57.469,225.694,324.44,69.539,419.883,417.585,205.576,545.738,67.19,28.617,375.119,162.214,48.074,506.366,243.648,332.253,115.384,115.384,429.204,93.528,251.124,0,115.384,116.194,524.925,360.085,31.785,28.617
"Utah",151.972,252.47,163.678,210,124.146,423.904,298.527,63.207,154.24,213.764,89.774,309.207,306.909,94.9,435.062,63.109,139.694,264.443,213.695,71.657,395.69,132.972,221.577,0,0,318.528,116.813,140.448,115.291,0,4.23,414.249,249.409,142.862,139.694
"Wasatch",151.444,253.372,164.511,210.833,125.048,424.806,297.999,64.04,153.712,214.666,90.607,310.109,307.811,95.802,435.964,63.942,132.325,265.345,213.167,72.49,396.592,133.874,222.479,4.217,4.217,319.43,117.646,141.35,116.124,4.217,0,415.151,250.311,135.493,132.325
"Washington",563.189,162.911,573.559,619.881,454.007,49.237,738.553,473.088,549.126,363.427,499.655,540.548,111.001,322.201,122.451,472.99,549.575,206.811,653.721,481.538,627.031,337.045,235.41,413.549,413.549,98.203,454.327,362.412,525.172,413.549,415.151,0,297.781,552.743,549.575
"Wayne",397.886,172.911,408.256,454.578,168.888,307.635,449.918,307.785,256.218,78.308,334.352,255.441,190.64,156.898,252.838,307.687,384.272,97.786,488.418,316.235,341.924,131.343,102.274,248.246,248.246,202.259,332.031,156.71,359.869,248.246,249.848,297.98,0,387.44,384.272
"Weber",128.362,391.573,81.77,128.092,263.249,563.007,222.448,85.896,201.096,352.867,97.966,448.31,446.012,234.003,574.165,95.617,4.904,403.546,137.616,76.501,534.793,272.075,360.68,143.811,143.811,457.631,121.955,279.551,31.334,143.811,133.244,553.352,388.512,0,4.904
"Weber-Morgan",127.03,388.412,78.609,124.931,260.088,559.846,221.116,82.735,199.764,349.706,94.805,445.149,442.851,230.842,571.004,92.456,0,400.385,136.284,73.34,531.632,268.914,357.519,140.65,140.65,454.47,118.794,276.39,28.173,140.65,131.912,550.191,385.351,4.904,0
