"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Kewaunee",166,304.15,242.917,337.567,44.667,267.933,124.3,92.933,265.517,178.15,196.667,279.533,169.017,268.55,43.467,168.867,167.167,213.1,157.15,102.567,94.9,233.817,218.05,117.283,209.917,258.633,112.267,152.983,134.25,154.85,0,248.317,197.717,137,154.85,44.95,130.833,87.9,135.6,86.383,113.717,218.05,69.3,49.25,66.75,90.983,276.05,9.15,119.85,164.85,133.717,149.367,222.833,185.35,242.883,186.783,291.95,76.15,71.9,292.667,230.8,253.05,135.967,146.183,169.05,320.083,221.5,131.933,99.917,127.05,79.033,166.7
"La Crosse",97.55,266.883,150.9,289.683,218.383,37.3,156.55,195.433,240.967,153.3,94.1,75.133,119.283,49.967,259.75,101.867,131.7,110.333,303.7,179.317,189.217,139.967,182.95,141,138.917,296.9,196.633,156.15,156.9,222.467,246.25,0,115.417,230.867,245.483,242.833,156.95,259.917,135.5,214.067,183.367,182.95,241.317,213.167,192.083,207,78.017,249.683,193.05,102.867,213.3,216.983,181.45,165.1,150.85,94.05,199.917,205.733,222.017,186.817,63.917,31.533,183.167,190.967,186.95,272.2,98.65,172.883,155.417,124.15,182.283,101.233
"Lafayette",130.833,166.117,50.133,188.917,166.383,92.117,190.983,197.35,129.25,41.133,66.683,189.15,153.733,80.767,204.467,136.3,166.15,20.317,220.033,186.017,197.4,41.017,217.383,175.433,188.383,185.183,214.383,190.6,191.35,256.9,197.483,119.95,0,142.767,161.8,199.233,76.267,200.35,169.95,137.517,217.8,217.383,181.75,159.033,168.2,235.517,83.267,194.4,210.8,137.3,131.167,251.417,75.417,199.533,50.1,128.5,99.167,129.183,216.45,99.883,58.283,89.45,217.617,107.283,221.383,171.433,28.717,207.317,132.167,141.333,167.317,96.117
"Langlade",152.4,194.267,201.483,227.683,105.65,229.95,175.867,152.317,166.5,123.183,162.717,295.633,182.25,218.583,143.733,156.7,194.667,158.133,80.767,154.133,165.517,178.85,245.567,168.867,241.55,148.75,182.5,221.817,185.817,238.667,136.767,231.617,142.75,0,26.7,138.517,80.583,91.433,176.75,53.583,197.533,245.567,94.95,98.3,119.217,174.783,221.083,133.667,178.917,161.433,23.233,233.183,133.067,228.067,185.883,176.05,197.367,64.467,155.717,251.217,196.867,227.267,216.35,35.317,249.45,210.2,166.55,212.567,120.583,139.517,130.6,132.75
"Lincoln",166.567,179.267,186.467,212.683,122.15,248.417,196.65,173.083,151.483,141.667,173.633,309.783,196.417,237.067,160.233,170.85,208.833,176.617,58.217,174.917,186.283,197.317,259.717,189.633,255.7,133.75,203.283,233.267,206.6,256.617,154.717,245.767,161.233,26.917,0,156.467,99.05,105.15,190.9,79.883,215.483,259.717,108.667,119.083,139.983,192.733,239.55,150.15,199.7,175.6,39.917,251.133,118.067,242.217,170.867,190.2,182.367,90.767,173.667,236.217,211.017,245.733,237.133,58.75,264.067,195.2,185.017,233.333,143.767,153.667,151.383,146.917
"Manitowoc",165.333,304.667,243.433,338.083,45.95,260.517,98,56.183,266.033,178.667,195.983,253.217,142.717,267.883,79.883,157.817,140.867,213.617,159.1,71.1,58.617,234.317,186.383,111.867,183.617,259.133,75.983,116.717,107.95,118.567,41.7,240.883,198.233,137.517,156.8,0,131.35,89.85,120.4,86.9,77.45,186.383,71.25,49.767,66.85,54.7,276.55,50.85,83.567,138.55,134.233,113.083,223.333,149.067,243.383,160.483,292.467,76.65,35.617,293.167,230.133,245.617,99.683,146.683,132.783,320.6,222.017,95.65,99.25,126.717,78.7,166.017
"Marathon",86.767,190.733,121.583,224.15,98.933,163.567,140.3,129.9,152.433,56.8,89.433,227.767,116.617,152.2,137.017,91.067,129.033,91.75,158.05,118.567,129.95,112.467,179.933,110.95,175.917,147.983,146.933,153.483,150.25,209.383,130.033,158.583,76.367,80.783,99.833,131.783,0,132.9,111.117,70.067,170.3,179.933,114.3,91.583,100.75,168.067,154.7,126.933,143.35,95.8,69.3,203.9,101.483,162.417,121.533,110.4,170.6,61.733,148.983,171.317,123.583,163.367,180.783,45.3,184.267,206.667,100.167,170.2,64.717,73.867,99.85,59.467
"Marinette",181.25,270.283,248.65,303.7,59.05,283.183,139.533,108.183,259.183,183.867,212.017,294.767,184.267,279.267,97.133,184.1,182.4,218.817,103.833,117.817,129.383,239.533,233.3,132.533,225.15,231.083,146.183,185.483,149.483,193.517,91.617,263.55,203.433,92.95,107.683,93.367,136.55,0,150.833,81.6,152.383,233.3,30.7,63.783,81.983,129.633,281.767,87.067,142.6,180.1,95.117,188.033,218,215.783,248.6,202.017,290.067,78.833,110.567,298.383,246.167,268.283,174.617,118.6,207.717,286.233,227.217,170.583,115.167,142.3,94.283,182.05
"Marquette",71.317,283.6,201.75,317.017,107.2,155.383,49.967,76.133,244.967,157.6,139.3,179.7,66.317,158.933,148.567,39.383,75.267,161.183,217.967,60,69.9,189.75,126.15,26.017,118.017,238.083,85.867,89.55,57.467,148.3,135.067,135.767,166.283,175.3,189.917,123.517,110.283,148.733,0,137.433,109.233,126.15,130.133,104.033,80.617,112.3,196.117,138.5,82.283,36.867,157.733,142.817,202.283,108.65,201.717,58.8,250.783,127.2,102.7,251.483,135.817,140.5,119.717,135.4,130.5,299.533,149.467,109.417,84.067,50.133,67.467,114.233
"Menominee",135.2,245.417,183.633,278.833,54.95,225.95,125.7,102.15,205.2,118.85,147,278.417,165.05,214.25,93.033,139.483,168.567,153.817,124.8,103.967,115.35,174.517,219.45,118.7,211.317,199.9,132.333,171.65,135.65,187.967,86.067,215.9,138.433,53.1,79.683,87.817,71.533,81.05,137,0,146.833,219.45,61.5,47.6,69.05,124.083,216.75,82.967,128.75,144.233,47.317,182.483,165.267,201.95,183.583,158.833,236.517,10.867,105.017,233.367,181.15,220.933,166.183,70.667,199.283,261.35,162.217,162.4,80.383,112.867,80.433,117.033
"Milwaukee",138.767,344.3,251.433,377.717,104.517,205.067,71.6,82.35,305.683,218.3,188.983,186.85,80.917,208.617,138.467,106.75,74.483,210.867,217.683,66.417,68.933,239.433,117.35,101.833,117.233,298.783,34.717,47.667,66.967,49.133,111.9,185.45,215.95,196.083,215.383,75.2,170.983,148.433,109.2,145.467,0,117.35,129.833,108.35,99.117,30.483,245.8,121.05,36.3,94.533,192.8,43.65,262.983,80.033,251.383,106.167,300.467,135.233,55.317,301.167,185.5,190.183,30.65,196.1,63.733,360.233,199.15,26.617,114.45,127.133,85.967,181.217
"Monroe",137.7,352.933,250.85,386.333,187.717,204.5,105.633,145.9,314.3,226.917,188.4,133.517,72.833,208.05,229.083,105.05,61.45,210.3,298.483,129.767,139.667,238.867,0,137.017,58.5,307.4,129.883,96.65,104.033,129.15,215.583,184.867,215.383,244.617,259.233,183.917,179.6,229.25,126.45,217.95,115.533,0,210.65,184.55,161.133,139.183,245.217,219.017,131.467,92.833,227.067,134.6,271.6,48.767,250.817,97.85,299.883,207.717,164.033,300.6,184.933,189.6,95.467,204.717,78.4,368.867,198.583,111.1,165.783,135.867,147.983,182.833
"Oconto",160.45,276.2,227.85,309.617,38.25,262.383,118.75,87.383,250.45,163.067,191.217,273.967,163.467,258.467,76.333,163.317,161.617,198.017,111.25,97.017,108.6,218.733,212.5,111.733,204.35,237,125.383,164.7,128.7,172.717,70.817,242.767,182.633,94.217,108.95,72.567,115.75,27.517,130.05,60.467,131.583,212.5,0,42.983,61.2,108.85,260.967,66.267,121.8,159.3,96.383,167.233,207.75,195,227.8,181.233,276.867,58.05,89.767,277.583,225.367,247.483,153.833,119.85,186.917,292.133,206.433,149.8,94.367,121.5,73.483,161.25
"Oneida",131.033,268.6,207.367,302.017,21.15,232.967,92.017,59.75,229.967,142.6,161.683,247.25,136.733,233.583,61.333,135.317,134.883,177.55,130.65,70.283,80.967,198.25,185.767,85.017,177.633,223.067,98.65,137.967,101.967,150.283,48.383,213.333,162.167,101.45,123.417,50.133,95.283,61.417,103.317,50.833,109.15,185.767,42.817,0,34.467,86.4,240.483,51.25,95.067,132.567,98.167,144.8,187.267,168.267,207.317,154.5,256.4,40.583,67.333,257.1,195.833,218.067,131.383,110.617,164.483,284.533,185.95,128.717,61.667,94.167,46.75,131.717
"Outagamie",108.967,272.733,211.5,306.15,37.967,210.9,67.6,41.617,234.1,146.733,139.617,222.817,112.317,211.517,79.35,112.167,110.467,184.833,148.75,45.867,57.25,202.383,161.35,60.583,153.217,227.2,74.233,113.55,77.55,136.667,65.85,191.267,166.3,119.433,141.417,67.483,99.417,79.5,78.9,69.433,97.6,161.35,60.9,34.817,0,100.683,238.4,69.267,70.65,108.15,116.767,131.2,191.417,143.85,211.467,130.083,260.533,59.183,84.7,261.233,173.767,196,108.083,124.517,141.183,288.667,173.117,104.283,42.883,70.35,22.333,109.65
"Ozaukee",162.05,341.317,274.7,374.733,82.6,228.35,73.35,74.883,302.683,215.3,213.417,210.117,104.2,231.9,116.533,130.033,97.75,234.15,195.75,68.65,56.767,262.717,140.617,104.05,140.5,295.783,29.333,70.95,72.85,72.817,89.967,208.717,234.883,174.15,193.45,53.267,167.983,126.5,111.433,123.55,31.683,140.617,107.9,86.417,101.35,0,269.067,99.117,36.917,125,170.883,67.333,259.983,103.3,274.667,129.45,323.733,113.3,33.383,324.45,208.783,213.45,53.917,183.333,87.017,357.25,222.433,49.883,116.683,129.367,88.2,183.45
"Pepin",161.317,233.3,107.967,256.1,243.45,53.267,220.317,259.2,206.317,118.217,112.083,152.183,183.05,63.45,281.55,165.633,195.467,71.883,297.1,243.067,252.967,87.917,246.717,204.767,217.567,262.25,260.4,219.917,220.667,286.217,274.567,80.967,81.833,219.833,238.883,276.317,153.35,277.433,199.267,214.6,247.117,246.717,258.833,236.117,239.067,270.767,0,271.467,256.817,166.617,208.233,280.75,152.5,228.85,117.267,157.817,166.333,206.267,285.783,115.717,94.5,69.8,246.933,184.35,250.7,238.617,77.667,236.633,203.033,187.917,238.167,142.383
"Pierce",169.033,301.517,240.3,334.933,42.583,270.967,127.333,95.967,262.9,175.517,199.683,282.55,172.05,271.583,36.3,171.9,170.2,210.467,154.05,105.6,103.883,231.183,221.083,120.317,212.933,256,121.267,161.983,137.283,163.833,8.983,251.35,195.083,134.367,151.75,53.933,128.2,84.8,138.633,83.75,122.717,221.083,66.2,51.567,69.783,99.967,273.417,0,128.833,167.883,131.083,158.367,220.2,194.333,240.25,189.817,289.317,73.517,80.9,290.033,233.833,256.067,144.95,143.55,178.05,317.45,218.867,140.917,102.95,130.083,82.067,169.717
"Polk",142.4,316.1,254.867,349.5,97.483,214.133,43.383,54.133,277.467,190.083,182.983,203.5,92.983,217.683,138.867,114.85,91.133,219.933,208.267,38.217,40.3,248.5,133.05,73.617,133.883,270.567,7.767,64.333,43.567,74.933,119.05,194.5,209.65,177.733,199.717,82.367,142.767,139.017,81,127.717,35.867,133.05,120.417,94.333,70.9,37.65,254.85,128.217,0,95.767,171.583,69.45,234.767,95.733,254.817,115.233,303.883,117.483,62.483,304.6,194.567,199.233,46.333,167.883,79.433,332.033,208.217,42.8,86.233,98.933,57.767,153.017
"Portage",51.783,268.683,169.717,302.1,135.867,123.367,55.15,94.05,230.067,142.683,107.267,144.233,30.85,126.917,177.233,19.767,43.267,129.167,233.233,77.917,87.817,157.733,94.15,59.267,90.15,223.167,99.733,67.717,60.017,134.017,163.733,103.733,134.25,160.383,175,141.433,95.367,177.383,38.017,141.55,94.917,94.15,158.8,132.7,109.283,125.433,164.083,167.167,96.15,0,142.833,128.533,187.367,76.65,169.683,23.333,218.75,133.233,120.617,219.467,103.8,108.467,94.733,120.483,98.5,284.617,117.45,84.433,81.55,51.633,96.133,99.317
"Price",134.433,199.033,176.183,232.45,102.117,218.167,168.9,149.3,170.933,111.417,144.75,277.65,164.283,206.817,140.2,138.717,176.7,146.367,95.183,147.167,158.55,167.067,227.583,158.433,223.567,153.517,175.533,201.133,178.85,237.983,133.217,213.633,130.983,22.967,40.017,134.967,69.283,93.067,158.767,47.15,194,227.583,96.583,94.767,116.217,171.25,209.3,130.117,171.95,143.467,0,232.5,131.017,210.083,182.367,158.067,202.133,58.033,152.167,225.933,178.883,215.483,209.383,24.283,231.933,214.967,154.767,205.6,102.617,121.533,128.467,114.767
"Racine",171.083,376.55,283.75,409.967,140.133,237.383,103.85,114.6,337.933,250.55,221.3,219.167,113.233,240.933,174.083,139.067,106.8,243.2,253.283,98.667,101.183,271.767,136.5,134.083,149.55,331.033,66.967,80,99.283,22.067,147.5,217.767,248.283,231.7,250.983,110.817,203.233,184.05,141.45,181.083,42.333,136.5,165.45,143.95,131.367,66.083,278.117,156.667,68.55,126.85,232.05,0,295.233,99.183,283.717,138.5,332.783,170.85,90.933,333.5,217.817,222.5,54.2,228.35,82.883,392.483,231.483,58.933,146.7,159.383,118.217,213.467
"Richland",183.067,129.917,68.4,163.333,191.117,161.533,232.483,222.083,72.967,51.417,94.3,246.433,208.8,150.183,229.2,183.25,221.217,89.733,176.417,210.75,222.133,87.967,272.117,203.133,244.733,132.683,239.117,245.667,242.433,301.567,222.217,179.317,74.35,132.667,118.2,223.967,101,215.367,203.3,164.467,262.5,272.117,206.483,183.767,192.933,260.25,152.683,219.117,235.533,187.983,130.833,296.083,0,254.617,52.8,184.85,86.3,153.917,241.167,118.133,119.85,158.867,272.967,103.967,276.467,145.85,98.133,262.4,156.9,166.067,192.033,120.85
