"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Monroe",241.443,197.669,344.6,309.586,467.569,520.463,198.359,418.842,286.222,81.537,454.683,216.056,370.722,186.978,311.155,115.121,433.838,72.623,463.13,413.089,192.891,366.455,461.088,250.09,469.271,504.581,439.41,81.537,449.833,357.238,332.997,325.575,255.68,377.429,157.97,574.469,435.719,164.857,440.946,573.503,547.63,440.056,235.723,122.86,77.385,326.136,71.614,0,370.105,426.05,259.206,473.116,358.602,71.83,441.455,93.355,471.604,384.107,65.637,249.499,294.625,375.196,272.343,202.163,516.039,500.913,207.013,132.395,244.204,225.013,505.602,461.215,444.441,155.057,596.359
"Montgomery",220.929,257.265,197.199,62.337,200.164,157.859,198.556,75.573,86.582,343.287,96.511,248.666,197.243,338.985,137.676,305.512,129.455,287.837,398.86,127.129,249.303,165.918,108.651,309.741,106.667,141.977,265.931,343.287,87.229,37.992,159.518,330.544,297.259,313.008,252.9,400.99,100.47,293.818,267.467,400.024,185.026,266.577,138.962,251.997,300.132,145.99,301.73,369.72,0,63.446,164.025,134.057,128.375,316.622,78.851,283.99,298.125,210.628,332.392,121.397,185.519,152.476,114.366,178.563,342.56,142.741,263.845,407.526,254.795,156.123,332.123,98.611,226.078,215.462,422.88
"Nevada",276.315,312.651,206.33,117.723,231.956,93.877,253.942,74.89,141.968,398.673,96.03,304.052,252.629,394.371,193.062,360.898,160.955,343.223,454.246,114.667,304.689,175.049,114.184,365.127,51.107,77.995,321.317,398.673,25.97,103.641,214.904,385.93,352.645,368.394,308.286,456.376,69.208,349.204,322.853,455.41,129.466,321.963,194.348,307.383,355.518,164.899,357.116,425.106,63.106,0,219.411,157.153,183.761,372.008,50.919,339.376,353.511,266.014,387.778,176.783,240.905,161.607,169.752,233.949,264.805,105.388,319.231,462.912,310.181,211.509,272.409,43.051,194.816,270.848,478.266
"Newton",175.052,120.084,236.917,102.957,185.654,313.834,89.245,211.681,79.099,224.908,248.054,173.42,88.807,220.606,29.217,187.133,151.923,184.759,247.444,205.928,103.378,205.636,254.459,162.382,262.642,297.952,157.495,224.908,243.204,150.609,51.082,201.001,151.041,204.572,134.521,292.554,228.558,175.439,159.031,291.588,341.001,158.141,62.168,176.751,224.886,162.283,226.484,259.666,163.476,219.421,0,240.864,76.687,198.243,234.826,165.611,189.689,102.192,214.013,65.236,201.812,205.419,68.489,60.184,234.124,294.284,126.664,289.147,112.44,37.744,223.687,254.586,283.622,97.083,314.444
"Ouachita",323.345,359.681,330.61,164.753,103.806,244.515,300.972,191.753,188.998,445.703,105.998,351.082,213.447,441.401,212.16,407.928,88.94,390.253,335.596,243.581,351.719,299.329,74.394,412.157,172.406,206.923,166.226,445.703,181.094,112.21,189.761,354.368,399.675,262.208,355.316,234.797,209.208,396.234,168.325,222.704,119.274,162.606,241.378,354.413,402.548,255.976,404.146,472.136,134.803,157.16,240.585,0,164.16,419.038,115.402,386.406,247.325,155.511,434.808,223.813,295.505,268.928,216.782,280.979,136.655,85.811,366.261,509.942,300.096,258.539,144.259,166.074,334.816,317.878,256.687
"Perry",220.285,184.634,268.123,74.643,111.255,277.593,187.212,195.344,82.579,294.135,189.647,237.322,49.286,289.833,47.999,256.36,75.235,276.493,250.926,237.134,167.928,236.842,196.052,198.008,226.401,261.711,117.997,294.135,206.963,89.621,25.6,211.684,176.858,165.074,203.748,253.056,208.019,244.666,119.533,252.09,304.76,118.643,127.618,240.653,288.788,193.489,290.386,358.376,127.235,183.18,76.424,164.176,0,267.47,183.704,234.838,150.191,62.694,283.24,110.053,233.018,236.625,113.722,129.411,194.626,235.877,191.214,358.374,135.935,106.971,184.189,218.345,314.828,166.31,274.946
"Phillips",226.653,114.133,391.311,256.857,377.639,467.734,143.565,366.075,233.493,30.126,401.954,178.298,280.792,88.934,221.202,17.077,343.908,76.474,365.086,360.322,128.44,360.03,408.359,152.046,416.542,451.852,349.48,30.126,397.104,304.509,243.067,227.531,157.636,312.978,83.041,484.539,382.952,66.813,351.016,483.573,494.901,350.126,198.637,142.841,97.366,316.677,91.595,71.584,317.376,373.321,199.232,420.387,268.672,0,388.726,39.127,321.464,294.177,20.911,219.63,279.835,359.813,222.883,142.189,426.109,448.184,108.969,94.364,179.753,165.039,415.672,408.486,438.016,120.171,506.429
"Pike",292.165,328.501,246.994,133.573,190.22,134.189,269.792,125.096,157.818,414.523,45.861,319.902,268.479,410.221,208.912,376.748,119.219,359.073,378.431,165.37,320.539,215.713,72.448,380.977,67.434,118.307,245.502,414.523,65.909,94.095,230.754,401.78,368.495,292.487,324.136,321.211,119.911,365.054,247.038,309.118,91.902,219.218,210.198,323.233,371.368,193.15,372.966,440.956,78.956,50.931,235.261,115.417,183.3,387.858,0,355.226,277.604,185.79,403.628,192.633,256.755,202.271,185.602,249.799,223.069,71.574,335.081,478.762,326.031,227.359,230.673,49.86,245.519,286.698,343.101
"Poinsett",188.832,104.313,291.989,223.475,344.257,434.352,110.965,332.693,200.111,62.785,368.572,145.698,247.41,107.535,187.82,34.079,310.526,65.264,345.074,326.94,99.535,326.648,374.977,170.647,383.16,418.47,316.098,62.785,363.722,271.127,209.685,227.385,147.408,284.073,64.614,451.157,349.57,85.414,317.634,450.191,461.519,316.744,165.835,72.53,86.156,283.295,80.385,94.054,283.994,339.939,165.85,387.005,235.29,39.337,355.344,0,348.292,260.795,46.784,186.248,242.014,326.431,189.501,108.807,392.727,414.802,94.564,127.023,150.848,131.657,382.29,375.104,404.634,87.571,473.047
"Polk",333.697,204.717,381.535,236.603,180.387,447.48,300.624,365.231,220.891,319.214,283.772,350.734,135.19,275.658,161.411,301.673,158.407,389.905,120.175,350.546,188.011,350.254,290.177,178.602,396.288,431.598,125.765,319.214,376.85,208.373,139.012,106.418,173.272,30.883,241.719,153.658,373.176,274.145,127.357,190.274,364.358,127.396,241.03,354.065,402.2,306.901,403.798,471.788,297.122,353.067,189.836,247.348,149.94,312.783,277.829,284.857,0,91.814,328.553,223.465,346.43,350.037,227.134,242.823,202.45,330.002,211.297,359.91,134.02,220.383,192.013,388.232,428.24,279.722,171.694
