"","Adair","Allen","Anderson","Ballard","Barren","Bath","Bell","Boone","Bourbon","Boyd","Boyle","Bracken","Breathitt","Breckinridge","Bullitt","Butler","Caldwell","Calloway","Campbell","Carlisle","Carroll","Carter","Casey","Christian","Clark","Clay","Clinton","Crittenden","Cumberland","Daviess","Edmonson","Elliott","Estill","Fayette","Fleming","Floyd","Franklin","Fulton","Gallatin","Garrard","Grant","Graves","Grayson","Green","Greenup","Hancock","Hardin","Harlan","Harrison","Hart","Henderson","Henry","Hickman","Hopkins","Jackson","Jefferson","Jessamine","Johnson","Kenton","Knott","Knox","Larue","Laurel","Lawrence","Lee","Leslie","Letcher","Lewis","Lincoln","Livingston","Logan","Lyon","Madison","Magoffin","Marion","Marshall","Martin","Mason","McCracken","McCreary","McLean","Meade","Menifee","Mercer","Metcalfe","Monroe","Montgomery","Morgan","Muhlenberg","Nelson","Nicholas","Ohio","Oldham","Owen","Owsley","Pendleton","Perry","Pike","Powell","Pulaski","Robertson","Rockcastle","Rowan","Russell","Scott","Shelby","Simpson","Spencer","Taylor","Todd","Trigg","Trimble","Union","Warren","Washington","Wayne","Webster","Whitley","Wolfe","Woodford"
"Muhlenberg",80.567,267.7,46.733,127.4,96.6,287.3,243.517,193.317,162.067,205.183,150.6,229.233,228.9,196.017,102.483,212.1,211.55,95.217,202.85,199.333,161.6,232.783,52.233,44.933,123.7,61.633,115.633,188.467,310.233,59.833,75.683,247.167,283.117,158.867,316.367,166.917,76.15,108.933,174.733,220.533,249.483,92.033,233.433,117.133,256.133,81.783,84.733,283.9,190.967,95.617,61.55,52.067,128.8,32.967,228.9,118.95,158.267,263.067,206.833,273.917,227.05,213.65,196.283,274.333,61.717,138.817,294.833,252.95,230.667,201.617,49.467,53.383,182,239.633,68.95,88.633,270.933,190.333,86.417,189.25,39.55,116.183,212.467,8.367,109.017,114.067,58.867,203.483,0,21.917,199.333,40.55,155.95,186.283,285.45,141.8,260.367,292.667,190.75,164.75,218.267,74.283,209.867,260.267,124.467,135.233,227.467,127.1,125.033,41.217,66.383,157.017,191.5,243.6,225.95,182.833,138.217,220.817,209.433,139.583
"Nelson",73.833,264.5,51.2,124.2,93.183,283.883,240.1,190.1,158.65,201.983,147.383,226.033,225.7,192.8,99.267,208.9,208.333,100.9,199.65,196.117,158.4,229.567,49.033,51.567,120.5,67.317,121.317,185.267,306.817,57.083,72.483,243.967,279.917,155.667,312.95,163.5,82.267,114.617,171.517,217.133,246.283,97.717,230.217,113.933,252.933,76.967,90.417,280.483,187.767,92.4,67.233,50.867,134.483,38.65,225.7,115.733,155.05,259.85,203.633,270.5,223.633,210.233,192.867,271.117,58.5,135.4,291.417,249.75,227.25,198.2,55.583,59.067,178.783,236.417,74.633,94.317,267.717,187.117,92.1,185.833,43.85,108.967,209.267,13.617,105.6,110.867,67.133,200.283,21.1,0,196.117,24.533,152.75,183.083,282.25,138.583,256.95,289.45,187.533,161.333,215.05,79.967,206.667,257.05,130.15,132.033,224.267,123.9,121.833,62.033,74.65,153.6,188.3,240.183,222.733,179.417,131,217.4,206.217,136.383
"Nicholas",188.267,141.05,204.933,88.633,174.717,170.283,155.667,82.083,127.183,52.933,101.483,50.1,102.25,39.317,115.6,69.45,80.067,274.767,99.133,0,118.583,81.2,169.933,225.433,96.267,241.183,295.183,78.95,197.2,202.35,176.533,95.6,156.467,57.467,199.35,120.617,195.05,288.467,105.917,134.367,97.917,271.567,81.85,164.433,104.933,179.633,264.267,196.067,29.4,147.5,217.833,209.833,308.333,212.5,102.25,107.7,73.967,136.417,82.417,156.183,139.2,127.483,110.117,122.75,171.833,193.667,177.817,69.583,144.5,99.467,211.433,232.933,70.767,112.983,248.5,268.183,144.283,66.867,265.95,152.833,213.917,146.133,61.867,192.317,173.75,168.183,240.983,61.4,198.4,196.6,0,179.933,129.133,66.383,158.8,114.517,143.967,166,62.233,123.933,26.65,253.817,58.3,108.683,304,87.417,100.817,102.25,137.967,230.4,248.5,140.5,93.033,155.767,34.333,150.217,134.783,132.983,82.767,66.667
"Ohio",50.833,249.983,44.5,109.683,78.167,268.867,225.083,175.6,143.633,187.467,132.867,211.517,211.183,178.3,84.75,194.383,193.817,117.233,185.133,181.617,143.883,215.05,34.017,67.9,105.983,81,137.633,170.75,291.8,34.867,57.467,229.45,265.4,141.15,297.95,148.483,62.683,130.933,157,202.117,231.767,114.033,215.7,99.417,238.417,53.967,106.733,265.467,173.25,77.883,57.5,35.733,150.8,56.283,211.183,101.217,140.533,245.35,189.117,255.483,208.617,195.217,177.85,256.6,43.5,120.383,276.4,235.233,212.25,183.183,60.283,75.383,164.283,221.917,90.95,110.633,253.217,172.617,108.417,170.817,34.267,85.967,194.75,32.733,90.583,96.35,83.45,185.767,40.217,23.833,181.617,0,138.233,168.567,267.733,124.067,241.933,274.933,173.017,146.317,200.55,96.283,192.15,242.55,146.467,117.517,209.75,109.383,107.317,75.367,90.967,138.583,173.783,225.183,208.217,164.417,107.983,202.383,191.7,121.867
"Oldham",121.15,199.933,161.183,92.65,130.983,229.167,200.117,126.517,171.633,99.4,116.5,114.733,161.133,99.083,59.833,88.433,87.867,231.017,79.183,132.717,36.533,165.017,126.2,181.683,48.25,193.333,251.433,64.8,256.083,139.467,132.8,179.4,215.35,103.8,258.233,158.767,151.317,244.733,51.05,178.817,181.717,227.833,165.65,119.683,188.367,112.517,220.533,240.5,111.183,103.767,150.7,149.65,264.6,168.767,161.133,42.2,112.55,195.3,83.167,215.067,183.65,171.917,154.567,206.55,128.1,173.1,236.7,163.85,188.95,143.9,167.7,189.183,115.2,171.867,204.75,224.433,203.167,78.183,222.217,197.283,160.867,85.2,144.7,148.583,143.283,122.233,197.25,93.433,154.65,152.867,132.717,136.2,0,88.583,217.683,14.683,202.85,224.883,122.983,162.067,136.067,210.083,142.1,192.5,260.267,45.867,159.7,61.483,125.967,186.65,204.767,187.283,67.833,200.2,130.25,194.667,67.667,177.417,141.65,85.583
"Owen",169.983,143.933,190.05,73.75,159.833,173.15,144.1,70.517,115.633,26.933,86.6,69.767,105.133,26.617,97.3,50.817,50.183,259.883,51.617,67.133,66.067,109,155.05,210.55,77.967,226.3,280.3,26.417,200.083,188.3,161.65,123.4,159.35,47.8,202.233,109.067,180.167,273.583,53.4,122.817,125.717,256.683,109.65,149.55,132.367,161.333,249.383,184.5,38.733,132.617,199.533,194.95,293.45,197.617,105.133,89.417,59.083,139.283,46.4,159.067,127.65,115.917,98.567,150.55,156.95,182.117,180.7,127.883,132.95,87.9,196.55,218.05,59.2,115.85,233.617,253.3,147.15,10.85,251.067,141.283,199.033,127.85,88.7,177.433,162.2,153.3,226.1,25.233,183.517,181.717,67.133,165.05,86.783,0,161.683,72.167,146.85,168.883,66.967,112.367,63.733,238.933,86.1,136.483,289.117,69.133,103.7,83.95,123.083,215.517,233.617,128.95,40.517,144.2,92.7,138.65,116.5,121.417,85.65,51.783
"Owsley",276.3,22.467,292.95,176.65,230.783,71.15,143.067,160.517,172.133,181.983,187.633,190.767,93.217,168.367,203.617,201.083,200.417,362.8,201.833,162.383,218.483,124.383,257.967,313.45,184.3,329.217,383.2,176.65,83.417,290.383,263.433,92.717,42.217,142.417,52.317,176.517,274.65,376.5,203.633,108.783,113.967,359.6,105.05,252.45,125.683,267.65,352.3,109.417,163.317,235.533,305.85,297.867,396.367,300.533,93.217,195.733,162,101.75,196.633,54.217,143.2,132.067,128.733,74.25,259.867,238.617,78.383,141.017,120.067,144.883,291.033,320.95,147.583,51.417,336.517,356.2,29.183,168.083,353.983,185.4,301.95,234.167,105.55,280.35,218.7,248.083,329.017,181.25,286.417,284.633,162.383,267.967,217.167,164.05,0,202.55,76.017,10.967,99.483,177.533,179.35,341.85,112.017,118.9,392.033,175.45,78.65,190.267,228.533,310,336.533,185.45,190.75,159.767,172.05,195.167,222.817,157.367,83.617,154.7
"Pendleton",107.917,185.25,147.95,77.95,117.75,214.467,185.417,111.833,156.95,84.717,101.817,100.05,146.45,84.4,46.6,73.75,73.183,217.8,64.5,118.017,23.25,150.317,112.967,168.45,35.017,180.117,238.2,50.117,241.4,126.233,119.567,164.717,200.667,89.117,243.55,144.067,138.083,231.5,36.367,164.133,167.033,214.6,150.967,106.45,173.683,99.283,207.3,225.817,96.5,90.533,137.483,136.417,251.367,155.533,146.45,28.967,97.867,180.6,68.483,200.383,168.967,157.233,139.883,191.867,114.867,159.867,222.017,149.167,174.267,129.217,154.467,175.95,100.517,157.167,191.517,211.2,188.467,63.5,208.983,182.6,147.633,71.967,130.017,135.35,130.05,109,184.017,78.75,141.417,139.633,118.017,122.967,14.6,73.9,203,0,188.167,210.2,108.283,147.383,121.383,196.85,127.417,177.8,247.033,31.183,145.017,48.25,112.75,173.417,191.533,172.6,53.133,185.517,115.55,179.967,54.433,162.733,126.967,70.9
"Perry",256.65,53.783,234.9,157.017,170.417,30.3,90.1,100.15,111.767,162.333,131.633,181.95,39.867,148.717,183.983,181.433,180.783,337.7,182.2,142.733,198.833,144.7,236.117,271.05,164.65,302.633,356.617,157.017,57.233,263.333,203.083,103.65,41.4,122.767,59.367,116.15,214.3,349.917,183.983,48.417,142.867,333.017,133.933,204.533,154.567,248.017,330.567,76.767,143.683,199.533,285.283,270.833,369.783,273.95,39.867,176.083,142.35,40.167,176.983,25.5,82.85,71.7,68.367,103.15,231.483,178.25,37.833,163.583,59.7,84.517,230.667,294.367,113.55,80.317,309.933,329.617,47.033,148.45,327.4,125.05,274.9,214.517,98.933,253.767,158.333,187.733,290.9,161.6,260.633,258.05,142.733,240.917,197.517,144.4,73.083,182.9,0,80.283,79.85,117.167,159.7,310.5,110.2,147.783,365.45,155.8,53,170.633,168.167,249.633,298.417,125.083,171.1,99.4,167.367,134.8,203.183,97,61.1,135.05
"Pike",282.267,28.433,298.917,182.617,236.75,69.217,137.017,166.483,178.1,187.95,193.6,196.733,99.183,174.333,209.583,207.05,206.383,368.767,207.8,168.35,224.45,130.35,263.933,319.433,190.267,335.183,389.167,182.617,77.35,296.35,269.417,98.683,48.183,148.383,46.267,182.483,280.617,382.467,209.6,114.75,119.933,365.567,111.017,258.417,131.65,273.633,358.267,103.367,169.283,241.5,311.817,303.833,402.333,306.5,99.183,201.7,167.967,107.717,202.6,60.183,149.167,138.033,134.7,80.217,265.833,244.583,72.333,147,126.033,150.85,297,326.917,153.55,57.383,342.483,362.167,35.15,174.05,359.95,191.383,307.917,240.133,111.517,286.317,224.667,254.05,334.983,187.217,292.383,290.6,168.35,273.933,223.133,170.017,10.733,208.517,81.983,0,105.45,183.5,185.317,347.817,117.983,124.867,398,181.417,84.617,196.233,234.5,315.967,342.5,191.417,196.717,163.417,178.017,201.133,228.783,163.333,89.583,160.667
