"","Adair","Allen","Anderson","Ballard","Barren","Bath","Bell","Boone","Bourbon","Boyd","Boyle","Bracken","Breathitt","Breckinridge","Bullitt","Butler","Caldwell","Calloway","Campbell","Carlisle","Carroll","Carter","Casey","Christian","Clark","Clay","Clinton","Crittenden","Cumberland","Daviess","Edmonson","Elliott","Estill","Fayette","Fleming","Floyd","Franklin","Fulton","Gallatin","Garrard","Grant","Graves","Grayson","Green","Greenup","Hancock","Hardin","Harlan","Harrison","Hart","Henderson","Henry","Hickman","Hopkins","Jackson","Jefferson","Jessamine","Johnson","Kenton","Knott","Knox","Larue","Laurel","Lawrence","Lee","Leslie","Letcher","Lewis","Lincoln","Livingston","Logan","Lyon","Madison","Magoffin","Marion","Marshall","Martin","Mason","McCracken","McCreary","McLean","Meade","Menifee","Mercer","Metcalfe","Monroe","Montgomery","Morgan","Muhlenberg","Nelson","Nicholas","Ohio","Oldham","Owen","Owsley","Pendleton","Perry","Pike","Powell","Pulaski","Robertson","Rockcastle","Rowan","Russell","Scott","Shelby","Simpson","Spencer","Taylor","Todd","Trigg","Trimble","Union","Warren","Washington","Wayne","Webster","Whitley","Wolfe","Woodford"
"Powell",178.867,80.15,195.533,79.233,165.333,109.383,141.45,67.85,112.967,84.567,90.217,104.167,41.35,70.95,106.2,103.65,103,265.367,104.417,62.883,121.067,79.117,160.55,216.033,86.867,231.783,285.783,79.233,136.3,192.95,167.15,72.683,95.567,45,138.45,106.4,185.667,279.083,106.2,103.833,95.817,262.183,79.767,155.033,102.483,170.233,254.867,144.833,65.9,138.117,208.433,200.45,298.95,203.117,41.35,98.317,64.583,75.517,99.2,95.283,124.983,99.117,95.9,104.333,162.45,179.45,116.917,99.3,115.317,85.233,202.05,223.533,50.15,52.083,239.1,258.783,83.383,70.667,256.567,138.617,204.517,136.75,31.3,182.933,159.533,158.783,231.6,83.817,189,187.217,62.883,170.55,119.733,66.633,97.9,105.133,83.067,105.1,0,109.7,81.917,244.433,56.217,106.6,294.617,78.017,39.917,92.85,128.583,221,239.117,126.283,93.317,141.533,89.6,136,125.4,118.75,21.867,57.267
"Pulaski",183.567,160.05,138.383,93.633,73.9,145.15,101.367,52.15,21.733,133.15,48.583,158.367,142.9,125.133,131.083,151.183,150.617,241.183,152.05,125.167,165.183,152.867,139.6,174.533,129.817,206.1,260.1,126.85,168.083,166.817,106.55,167.267,147.65,86.4,174.217,6.983,117.767,253.4,153.833,78.4,169.583,236.5,153.517,108.017,176.233,191.233,234.05,141.75,120.083,103.017,188.767,174.3,273.267,177.433,142.9,141.25,72.083,145.933,146.833,131.767,84.9,71.5,54.133,194.417,134.967,81.733,152.683,173.05,88.517,49.133,134.15,197.85,67.4,159.733,213.417,233.1,153.3,118.3,230.883,50.333,178.383,156.567,132.567,157.25,61.817,91.2,194.367,131.45,164.117,161.533,125.167,144.4,162.683,114.25,179.333,148.067,118.217,186.55,110.833,0,144.1,213.967,129.967,180.367,268.933,120.967,147.567,118.933,71.65,153.117,201.883,30.25,140.95,101.467,151.783,49.15,168.333,78.667,129.517,93.217
"Robertson",206.083,161.783,222.75,106.45,192.55,191.033,173.483,99.9,145.017,43.8,119.3,23.433,123.017,43.233,133.417,51.967,62.583,292.583,76.033,26.65,115.517,91.283,187.767,243.25,114.083,259,313,76.717,217.967,220.167,194.367,107.267,177.683,75.3,223.317,138.45,212.883,306.3,103.55,152.2,111.1,289.4,95.05,182.25,103.35,197.45,282.083,213.883,31.733,165.333,235.65,227.667,326.167,230.333,123.017,125.533,91.8,157.167,64.933,176.95,157.033,145.3,127.933,135.95,189.667,211.5,198.567,68,162.333,117.283,229.267,250.75,88.583,128.817,266.317,286,165.017,64.8,283.783,170.667,231.733,163.967,88.533,210.15,191.583,186,258.817,43.933,216.217,214.433,26.65,197.767,136.233,64.317,179.533,121.617,164.717,186.75,84.85,141.75,0,271.65,69.967,115.183,321.833,105.233,121.567,120.067,155.8,248.217,266.333,158.333,85.033,173.583,26.967,168.033,152.617,150.8,103.533,84.483
"Rockcastle",134.233,322.017,97.717,181.717,143.85,334.55,290.767,247.633,209.317,259.5,204.917,283.55,283.233,250.333,156.8,266.417,265.867,59.017,257.167,253.65,215.917,287.1,106.55,41.833,178.017,68.433,87.4,242.8,357.5,113.333,130,301.483,337.067,213.183,363.633,214.167,105.383,80.7,229.05,267.8,303.8,63.8,287.75,171.45,310.45,135.45,51.867,331.167,245.283,150.917,93.4,98.883,100.567,64.817,283.233,173.267,212.583,317.383,261.15,321.167,274.317,260.9,243.55,328.65,116.033,186.083,342.1,307.267,277.933,248.883,78.833,25.383,236.317,293.95,50.917,60.4,325.25,244.65,58.183,236.5,86.367,170.5,266.783,75.017,156.283,165.567,23.35,257.8,72.8,79.5,253.65,95.067,210.267,240.617,339.767,196.117,307.617,346.983,245.067,212,272.583,0,264.2,314.583,96.233,189.55,281.783,181.417,179.35,64.283,19.783,204.267,245.817,290.867,280.267,230.1,192.533,268.083,263.75,193.9
"Rowan",199.283,95.217,215.933,99.633,185.733,138.733,161.85,88.25,133.367,100.433,110.617,81.133,73.8,86.817,126.6,107.883,120.25,285.767,123.183,57.583,141.467,36.883,180.95,236.433,107.267,252.183,306.183,99.633,168.75,213.367,187.55,37.583,111.1,65.4,156.75,126.8,206.067,299.483,126.617,140.55,53.6,282.583,37.533,175.433,60.25,190.633,275.283,177.267,81.767,158.517,228.833,220.85,319.35,223.517,73.8,118.717,84.983,107.95,124.067,122.117,145.383,133.667,116.3,78.433,182.85,199.85,149.367,52.583,150.683,105.65,222.45,243.933,76.817,62.233,259.5,279.183,98.45,91.067,276.967,159.017,224.933,157.15,37.867,203.333,179.933,179.183,252,108.067,209.4,207.617,57.583,190.95,140.15,87.033,112.967,125.533,115.517,120.167,59.033,130.117,69.717,264.833,0,64.383,315.017,98.433,59.25,113.25,148.983,241.4,259.517,146.683,113.717,161.95,62.417,156.4,145.8,139.15,64.05,77.667
"Russell",249.767,102.817,266.433,150.133,236.233,146.333,212.333,138.75,183.867,150.933,161.117,106.467,128.717,137.317,177.1,133.217,145.583,336.267,148.5,108.083,191.433,49.333,231.433,286.933,157.767,302.683,356.683,150.133,194.483,263.85,238.05,62.233,117.733,115.9,163.367,177.3,256.567,349.967,179.467,184.283,37.717,333.083,34.883,225.933,14.617,241.133,325.767,212.633,132.267,209.017,279.333,271.35,369.833,274.017,128.717,169.2,135.467,162.883,149.4,129.733,195.883,184.15,166.783,54.967,233.35,250.35,162.617,51.55,195.583,156.133,272.933,294.433,127.317,102.483,310,329.683,106.05,141.567,327.45,209.517,275.417,207.633,92.133,253.817,230.433,229.683,302.5,150.4,259.9,258.117,108.083,241.433,190.633,137.517,120.583,176.033,151.517,127.783,109.533,180.6,115.95,315.333,65.9,0,365.517,148.917,114.167,163.75,199.467,291.9,310.017,197.183,157.517,212.433,87.75,206.883,196.3,189.65,118.983,128.167
"Scott",185.1,372.883,162.283,232.583,201.567,392.267,348.483,298.5,267.033,310.367,255.783,334.417,334.083,301.2,207.667,317.283,316.733,65.35,308.033,304.517,266.783,337.967,157.417,112.283,228.883,120.617,8.317,293.65,415.217,164.2,180.867,352.35,388.3,264.05,421.35,271.883,175.833,28.183,279.917,325.517,354.667,40.383,338.617,222.317,361.317,186.317,61.05,388.883,296.15,200.8,144.267,149.75,27.7,115.683,334.083,224.133,263.45,368.25,312.017,378.883,332.033,318.617,301.267,379.517,166.9,243.8,399.817,358.133,335.65,306.583,149.283,75.85,287.183,344.817,101.367,74.367,376.117,295.517,64.767,294.217,137.233,221.367,317.65,125.883,213.983,219.25,93.8,308.667,123.667,130.367,304.517,145.933,261.133,291.467,390.633,246.983,365.333,397.85,295.933,269.717,323.45,95.783,315.05,365.45,0,240.417,332.65,232.283,230.217,134.733,94.65,261.983,296.683,348.583,331.133,287.817,243.4,325.8,314.617,244.767
"Shelby",114.483,155.2,143.167,47.917,112.967,184.433,155.383,81.8,126.9,88.75,71.783,113.967,116.417,80.75,41.817,101.683,101.133,213,92.433,87.983,51.183,120.283,108.183,163.667,22.95,179.417,233.417,78.067,211.367,132.817,114.783,134.667,170.617,59.067,213.5,114.033,133.3,226.717,64.317,134.083,136.983,209.817,120.933,101.667,143.633,105.85,202.5,195.783,75.7,85.75,144.05,142.983,246.583,150.75,116.417,33.933,67.817,150.567,96.417,170.333,138.917,127.2,109.833,161.833,110.083,159.583,191.967,140.45,144.217,99.183,149.683,171.167,70.483,127.133,186.733,206.417,158.433,73.9,204.2,152.55,152.15,72.367,99.967,130.567,125.267,104.2,179.233,87.05,136.633,134.85,87.983,118.167,45.15,69.867,172.95,30.55,158.117,180.167,78.25,117.333,106.85,192.067,97.383,147.767,242.25,0,114.967,27.883,93.917,168.633,186.75,142.55,81.083,155.483,114.6,149.933,61.017,132.7,96.933,40.85
"Simpson",216.2,58.7,232.867,116.567,204.983,82.567,131.367,105.183,146.333,121.9,127.55,135.933,14.55,108.283,143.533,140.983,140.333,302.7,141.75,102.3,158.383,91.683,197.883,253.367,124.2,269.117,323.117,116.567,109.5,230.283,204.483,50.65,74.117,82.333,111.65,143.733,223,316.417,143.533,89.667,95.717,299.517,79.267,192.367,106.917,207.567,292.2,118.017,103.233,175.45,245.767,237.783,336.283,240.45,14.55,135.65,101.9,48.7,136.533,68.483,124.1,101.583,105.317,82.883,199.783,212.817,90.117,110.583,100.967,114.483,239.383,260.867,87.483,30.633,276.433,296.117,61.933,108,293.9,160.933,241.85,174.083,47.1,220.267,192.9,196.117,268.933,121.15,226.333,224.55,102.3,207.867,157.067,103.967,76.45,142.467,56.25,83.667,39.4,147.033,119.25,281.767,57.183,111.033,331.95,115.35,0,130.183,165.917,258.333,276.45,159.65,130.65,140.65,117.2,169.35,162.733,132.883,20.65,94.6
"Spencer",119.717,169.333,134.217,42,104.017,198.567,169.517,95.933,134.55,102.883,73.6,128.1,130.533,94.883,37.183,117.983,117.417,204.067,108.733,102.117,67.483,134.417,99.233,154.733,22.633,170.483,224.467,94.35,225.5,131.65,105.833,148.8,184.75,73.2,227.633,115.25,124.35,217.767,80.6,148.217,151.117,200.867,135.067,93.717,157.767,111.067,193.567,209.9,89.833,76.8,149.267,139.133,237.633,141.8,130.533,39.15,72.833,164.7,112.717,184.467,153.05,141.333,123.967,175.967,101.133,140.95,206.1,154.583,158.35,113.317,140.733,162.217,84.617,141.267,177.783,197.467,172.567,88.033,195.25,163.133,143.217,73.333,114.1,121.617,121.267,95.267,170.283,101.183,127.683,125.9,102.117,109.233,61.817,83.983,187.083,47.667,172.25,194.3,92.383,118.55,120.983,183.117,111.5,161.9,233.3,25.85,129.1,0,75.283,159.683,177.8,138,97.367,169.617,128.733,161.967,66.233,146.817,111.067,54.15
"Taylor",132.917,210.95,125.883,68.15,61.95,196.067,152.267,105.333,70.833,145.917,62.767,169.983,169.65,136.75,72.233,163.967,163.4,201.633,164.817,140.067,131.35,173.517,96.817,152.3,93.45,168.05,222.05,139.633,219,129.233,86.75,187.917,198.567,99.6,225.133,77.583,105.267,215.35,144.483,129.3,190.217,198.45,174.167,47.233,196.867,124.5,191.15,192.667,131.7,51,151.183,136.717,235.217,139.383,169.65,88.7,94.233,196.85,159.6,182.667,135.817,122.417,105.05,215.067,98.717,68.3,203.6,193.683,139.433,108.517,121.65,159.8,114.85,180.367,175.367,195.05,204.2,131.067,192.833,98.017,140.8,89.833,153.2,119.2,48.617,32.833,167.867,144.217,125.267,123.483,140.067,106.817,125.7,127.033,226.183,111.55,169.117,233.4,131.483,73.517,159,180.7,150.617,201,230.883,97.717,168.2,76.367,0,140.6,175.383,65.783,153.717,152.367,166.683,96.833,115.55,129.583,150.167,80.317
"Todd",115.15,288.783,37.05,155.683,83.183,273.883,230.1,191.233,148.65,233.467,178.883,257.517,257.183,224.3,130.75,240.383,239.833,92.917,231.133,227.617,189.883,261.067,70.9,26.25,151.983,84.983,126.283,216.75,296.817,98.95,80.117,275.45,276.4,187.15,302.967,153.5,44.7,119.583,203.017,207.133,277.767,102.683,261.717,115.567,284.417,116.367,85.767,270.483,219.25,90.25,84.9,91.183,139.45,56.317,257.183,147.217,186.55,274.667,235.117,260.5,213.633,200.233,182.867,302.617,80.567,125.4,281.417,281.233,217.267,188.2,18.15,66.867,206.033,267.917,92.617,100.983,282.033,218.617,97.067,175.833,78.65,151.417,240.75,47.467,95.6,104.883,46.1,231.767,40.567,61.033,227.617,75.983,184.233,214.567,308.067,170.083,246.95,315.283,219.033,151.333,246.55,65.7,238.15,288.55,135.117,163.517,255.75,155.383,137.083,0,53.617,143.6,219.783,230.2,254.233,169.433,173.433,207.4,237.7,167.867
"Trigg",131.267,319.05,87.15,178.75,133.283,323.983,280.2,241.333,198.75,256.533,201.95,280.583,280.25,247.367,153.817,263.45,262.9,44.45,254.2,250.683,212.95,284.133,103.583,30.4,175.05,65.45,86.15,239.817,346.917,110.367,127.033,298.517,326.5,210.217,353.067,203.6,94.8,79.433,226.083,257.233,300.833,64.5,284.783,165.667,307.483,132.483,37.317,320.583,242.317,140.35,90.433,95.917,99.3,61.85,280.25,170.283,209.617,314.417,258.183,310.6,263.733,250.333,232.967,325.683,113.067,175.5,331.517,304.3,267.367,238.3,68.25,26.733,233.35,290.983,52.267,52.533,322.283,241.683,56.917,225.933,83.4,167.533,263.817,72.6,145.7,154.983,10.5,254.833,69.483,76.533,250.683,92.1,207.3,237.633,336.8,193.15,297.05,344,242.1,201.433,269.617,20.4,261.217,311.617,94.967,186.583,278.817,178.45,176.383,53.7,0,193.7,242.85,280.3,277.3,219.533,189.567,257.5,260.767,190.933
"Trimble",178.667,166.95,133.483,118.117,69,152.05,108.267,69.4,24.4,149.95,73.05,175.15,149.8,141.933,134.067,167.983,167.417,236.283,168.833,141.967,185.483,169.667,134.683,169.617,154.3,201.2,255.2,143.65,174.983,161.917,101.65,184.067,154.55,103.2,181.117,33.55,112.867,248.483,170.633,85.3,186.367,231.6,170.317,103.1,193.033,186.333,229.15,148.65,136.883,98.117,183.867,169.4,268.35,172.533,149.8,150.533,96.55,152.833,163.617,138.667,91.8,78.4,61.033,211.217,130.067,76.833,159.583,189.85,95.417,66.367,129.25,192.95,84.2,180.45,208.517,228.2,160.2,135.083,225.967,51.583,173.483,151.667,149.35,152.333,56.917,86.3,189.467,148.233,159.2,156.633,141.967,139.5,187.167,131.05,186.233,172.55,125.117,193.45,127.633,31.383,160.9,209.067,146.767,197.15,264.033,145.45,161.917,137.283,66.75,148.2,196.983,0,157.733,108.367,168.583,50.4,177.383,86.75,150.233,117.7
"Union",157.733,170.583,197.767,100.4,167.567,199.817,170.767,97.183,142.283,53.683,113.25,61.383,131.783,53.367,96.417,43.767,43.2,267.6,25.833,93.883,46.533,133.783,162.783,218.267,84.817,229.917,288.017,20.133,226.75,176.05,169.383,150.05,186,74.45,228.883,135.717,187.9,281.317,26.433,149.467,152.367,264.417,143.2,156.267,145.85,149.083,257.1,211.15,65.483,140.35,187.283,186.217,301.183,205.35,131.783,78.783,85.75,165.95,34.7,185.717,154.3,142.583,125.217,177.217,164.683,208.767,207.35,110.5,159.6,114.567,204.283,225.767,85.867,142.517,241.333,261.017,173.817,32.467,258.8,167.933,197.433,121.783,115.35,185.167,179.867,158.8,233.833,47.717,191.233,189.45,93.883,172.767,67.25,42.867,188.333,52.65,173.5,195.55,93.633,139.033,85.1,246.667,112.75,157.683,296.85,82.2,130.35,98.05,149.75,223.233,241.35,155.6,0,170.867,76.9,165.317,104.25,148.067,112.317,78.433
"Warren",257.483,141.117,220.433,157.833,155.95,126.217,26.75,84.983,97.3,164.117,116.467,189.333,128.4,156.117,184.8,182.167,181.6,323.233,183.017,156.15,199.667,183.85,221.65,256.583,165.467,288.15,342.15,157.833,90.267,248.867,188.617,192.183,128.717,117.383,131.667,101.683,199.817,335.45,184.8,52.433,200.55,318.55,184.5,190.067,207.2,248.833,316.1,67.133,151.067,185.067,270.817,256.367,355.317,259.483,128.4,176.917,137.15,126.65,177.8,112.833,22.75,71.717,56.5,190.467,217.017,163.783,123.517,204.017,57.15,69.35,216.2,279.9,98.367,167.65,295.467,315.15,134.367,149.267,312.933,78.217,260.433,215.35,163.533,239.3,143.867,173.267,276.433,162.417,246.167,243.583,156.15,226.45,198.333,145.233,160.4,183.733,99.283,161.9,141.817,102.7,175.083,296.033,160.95,211.333,350.983,156.633,141.533,171.45,153.7,235.167,283.95,110.617,171.917,0,182.767,121,204,46.4,146.9,135.867
"Washington",213.85,153.733,230.517,114.217,200.317,197.25,181.25,107.667,152.783,71.6,127.067,27.2,131.467,63.933,141.183,53.95,66.317,300.35,69.25,34.417,112.167,63.25,195.533,251.017,121.85,266.767,320.767,82.583,226.433,227.933,202.133,99.217,169.633,83.067,215.267,146.217,220.65,314.067,100.2,159.967,90.1,297.167,72.667,190.017,75.333,205.217,289.85,221.65,54.033,173.1,243.417,235.433,333.933,238.1,131.467,133.3,99.55,165.633,70.133,180.633,164.8,153.067,135.7,114.883,197.433,219.25,207.033,39.967,170.083,125.05,237.033,258.517,96.35,120.767,274.083,293.767,156.967,93.167,291.55,178.433,239.5,171.733,83.5,217.917,199.35,193.767,266.583,71.133,223.983,222.2,34.417,205.517,132.883,91,171.5,118.267,173.183,178.7,91.45,149.517,28.5,279.417,61.917,87.167,329.6,113,117.767,127.833,163.567,255.983,274.1,166.083,78.25,181.35,0,175.8,160.383,158.567,112,92.25
"Wayne",203.233,176.1,158.05,137.683,92.033,161.2,117.4,78.55,34,159.083,92.633,184.3,158.933,151.083,163.667,177.117,176.567,260.85,177.983,151.117,194.617,178.817,159.25,194.183,160.433,225.767,279.767,152.8,184.133,186.483,126.217,193.2,163.7,112.35,190.267,53.133,137.433,273.05,179.767,94.433,195.517,256.167,179.467,133.483,202.167,204.45,253.717,157.8,146.033,123.15,208.433,193.967,292.917,197.1,158.933,171.883,116.15,161.983,172.767,147.8,100.95,87.55,70.183,220.367,154.633,53,168.733,198.983,104.567,75.517,153.817,217.517,93.333,189.583,233.083,252.767,169.333,144.233,250.533,46.45,198.05,182.7,158.5,176.9,77.733,111.617,214.033,157.383,183.767,181.2,151.117,164.067,193.3,140.2,195.383,178.7,134.267,202.583,136.783,50.967,170.05,233.633,155.917,206.3,288.6,151.583,171.067,162.983,97.8,172.767,221.55,52.9,166.883,121.35,177.717,0,198.967,77.35,159.383,130.833
"Webster",77.967,202.35,141.583,95.067,121.233,231.583,202.533,128.95,174.067,136.3,118.933,151.633,163.567,127.9,50.633,125.333,124.783,213.833,116.083,135.133,74.833,167.433,110.833,164.5,52.45,150.167,234.25,101.7,258.517,96.3,120.667,181.833,217.767,106.217,260.667,161.183,141.55,227.533,87.967,181.25,184.133,210.633,168.083,108.833,190.8,69.333,203.333,242.933,122.85,94.017,107.533,106.467,247.4,140.267,163.567,32.783,114.983,197.717,120.067,217.5,186.083,174.35,156.983,208.983,110.317,163.333,239.117,187.617,191.367,146.333,157.383,172,117.633,174.283,177.517,207.25,205.583,115.1,205.017,199.717,117.683,28.717,147.117,131.383,133.533,112.467,180.05,130.333,137.467,130.083,135.133,106.95,69.183,117.017,220.117,55.033,205.267,227.317,125.4,164.5,154.017,192.883,144.533,194.917,243.067,59.367,162.117,65.683,115.117,172.45,187.567,175.75,104.733,202.633,161.75,197.083,0,179.85,144.083,88
"Whitley",233.95,138.817,196.917,134.317,132.433,123.917,49.617,61.467,69.45,140.6,92.95,165.817,122.817,132.6,161.283,158.633,158.083,299.717,159.5,132.633,176.133,160.333,198.133,233.067,141.95,264.633,318.633,134.317,113.15,225.35,165.083,174.083,126.433,93.867,154.55,78.167,176.3,311.933,161.283,57.167,177.033,295.033,160.983,166.55,183.683,225.317,292.583,90.017,127.55,161.55,247.3,232.833,331.8,235.967,122.817,153.4,113.633,124.7,154.283,110.533,38.517,51.617,32.967,188.183,193.5,129.7,131.467,180.5,67.3,45.833,192.683,256.383,74.85,153.467,271.95,291.633,132.067,125.75,289.417,33.933,236.917,191.833,140.017,215.783,120.35,149.733,252.9,138.9,222.65,220.067,132.633,202.933,174.817,121.717,158.117,160.217,96.983,165.317,118.3,79.183,151.567,272.5,137.433,187.817,327.467,133.1,134.95,147.933,130.183,211.65,260.417,88.333,148.4,46.817,159.233,76.733,180.483,0,123.267,112.35
"Wolfe",197.383,63.083,214.033,97.733,183.833,90.517,139.317,86.35,131.467,103.067,108.717,122.667,22.5,89.45,124.7,122.15,121.5,283.867,122.917,83.467,139.567,96.4,179.05,234.533,105.367,250.283,304.283,97.733,117.45,211.467,185.65,55.367,78.5,63.5,119.6,124.9,204.167,297.583,124.7,98.1,100.433,280.683,83.983,173.533,111.633,188.733,273.383,125.967,84.4,156.617,226.933,218.95,317.45,221.617,22.5,116.817,83.083,56.65,117.7,76.433,131.133,93.383,95.017,87.267,180.95,197.95,98.067,115.3,109.6,104.183,220.55,242.033,68.65,35.017,257.6,277.283,66.317,89.167,275.067,150.633,223.033,155.25,38.183,201.433,178.033,177.283,250.1,102.317,207.5,205.717,83.467,189.05,138.233,85.133,80.833,123.633,64.217,88.05,20.567,128.2,100.417,262.933,61.9,115.75,313.117,96.533,21.067,111.35,147.083,239.5,257.617,144.783,111.817,147.7,108.1,154.5,143.9,122.583,0,75.767
"Woodford",143.417,135.75,145.7,29.4,115.5,164.983,134.95,61.367,106.467,72.4,47.517,97.283,96.95,64.067,70.733,90.433,89.867,215.55,91.283,67.383,84.567,100.833,110.717,166.217,51.417,181.967,235.967,66.1,191.9,143.133,117.317,115.217,151.167,26.917,194.05,89.767,135.833,229.25,83.117,113.65,117.533,212.35,101.467,105.217,124.183,134.767,205.05,175.35,59.017,88.283,165.083,150.617,249.117,153.283,96.95,62.85,28.433,131.117,86.083,150.883,118.483,106.767,89.4,142.367,112.617,144.417,172.517,121,123.783,78.75,152.217,173.7,50.05,107.683,189.267,208.95,138.983,57.533,206.733,132.117,154.7,101.283,80.517,133.1,124.733,108.967,181.767,70.7,139.183,137.383,67.383,120.717,84.283,53.5,153.5,69.667,138.667,160.7,58.8,93.067,86.317,194.6,77.917,128.317,244.783,42.567,95.517,52.65,78.75,171.183,189.283,118.283,80.2,135.05,93.983,129.5,89.933,112.267,77.467,0
