"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Huerfano",244.32,222.819,260.484,366.336,262.443,127.001,254.819,236.442,184.675,246.405,252.447,267.792,207.463,67.945,118.941,424.458,208.231,535.068,182.888,407.441,98.301,152.203,92.111,210.148,142.757,358.396,286.684,374.522,0,433.047,237.7,168.29,207.896,492.452,283.927,312.689,127.001,253.464,522.667,583.91,332.213,281.125,323.597,390.225,255.097,97.979,448.561,212.596,446.935,292.753,173.573,29.689,530.793,502.931,454.934,255.033,485.304,493.521,439.69,247.695,168.612,335.789,296.435,374.856
"Jackson",257.979,430.3,524.872,524.098,636.315,533.738,247.735,247.11,307.751,510.793,187.488,475.273,493.199,471.652,383.606,443.318,229.518,676.401,260.53,200.165,334.447,309.394,335.118,324.805,549.494,97.368,401.341,489.179,432.775,0,240.854,301.461,469.435,650.214,212.936,158.752,533.738,183.887,464.596,378.948,489.975,369.724,180.08,478.438,462.578,504.716,536.517,214.658,469.735,407.41,555.5,403.681,278.61,590.887,95.046,371.139,573.26,581.477,415.052,179.653,322.268,347.686,206.872,390.753
"Jefferson",140.657,240.427,407.55,334.225,473.745,338.303,129.908,129.788,117.878,393.471,120.921,285.4,303.326,276.217,195.845,349.242,112.196,502.957,126.115,167.98,159.14,175.15,145.602,134.932,354.059,169.219,211.468,299.306,237.34,240.801,0,167.217,352.113,460.341,140.676,209.095,338.303,67.04,458.769,344.449,300.102,179.851,92.695,315.009,272.705,309.281,373.345,26.172,383.037,217.537,384.875,208.246,291.332,427.715,225.425,181.266,410.088,418.305,375.792,61.271,132.752,290.526,192.772,333.593
"Kiowa",107.388,339.399,225.535,482.916,336.978,258.187,124.304,105.927,245.831,211.456,121.932,384.372,324.043,201.03,204.048,517.765,77.716,651.648,41.809,276.926,76.386,16.251,153.267,271.304,273.943,227.881,347.84,435.678,173.873,302.532,168.747,0,170.098,609.032,235.32,185.325,258.187,206.271,397.588,453.395,448.793,314.774,193.082,451.381,371.677,229.165,509.717,194.847,321.856,353.909,256.163,144.779,400.278,564.087,324.419,316.189,546.46,554.677,314.611,202.037,148.358,210.71,159.503,248.376
"Kit Carson",252.576,377.389,55.645,520.906,167.088,117.604,274.296,255.919,350.766,41.566,280.188,422.362,362.033,140.606,302.673,684.823,243.513,689.638,212.214,443.984,181.321,186.656,258.202,376.239,132.665,394.939,452.775,540.613,207.899,469.59,351.827,170.405,0,647.022,402.378,330.513,117.604,373.329,361.383,620.453,486.783,435.695,360.14,556.316,409.667,142.901,614.652,315.207,249.468,458.844,86.273,213.818,567.336,669.022,491.477,421.124,651.395,659.612,278.389,369.095,253.293,188.012,304.691,170.987
"La Plata",600.809,270.035,699.841,126.115,638.845,535.674,590.06,589.94,351.39,685.762,557.299,282.875,336.238,504.825,426.404,238.628,572.348,69.358,618.342,480.755,533.755,587.657,441.937,363.615,551.43,578.961,307.413,172.127,490.984,650.543,460.21,603.744,647.253,0,437.238,669.247,535.674,475.974,918.921,340.38,228.956,294.277,512.688,203.645,281.558,506.652,145.341,435.106,843.189,350.728,582.246,465.194,420.419,125.893,600.145,279.087,108.598,170.717,835.944,470.205,498.42,750.678,652.924,793.745
"Lake",190.552,217.364,457.445,311.162,568.888,384.543,180.308,179.683,94.815,443.366,120.061,262.337,280.263,322.457,170.67,333.41,162.091,479.894,193.103,92.571,205.38,241.967,191.842,111.869,400.299,141.723,188.405,276.243,283.58,213.305,140.782,234.034,402.008,437.278,0,258.99,384.543,69.394,508.664,269.04,277.039,156.788,75.45,291.946,249.642,355.521,350.282,115.678,432.932,194.474,488.073,254.486,215.923,404.652,197.929,158.203,387.025,395.242,425.687,65.16,178.992,340.421,242.667,383.488
"Larimer",87.599,477.707,385.598,541.804,497.041,413.144,104.915,88.427,325.457,371.519,136.012,522.68,462.351,351.058,337.784,540.647,102.422,710.536,139.936,299.808,213.853,193.292,287.003,342.511,428.9,250.763,419.047,506.885,312.181,158.7,207.651,185.359,330.161,667.92,258.202,0,413.144,229.153,319.964,476.277,507.681,387.43,215.964,575.767,509.985,384.122,633.846,233.751,244.23,425.116,416.226,283.087,423.16,688.216,252.938,388.845,670.589,678.806,236.987,224.919,284.326,189.848,49.034,232.915
"Las Animas",340.629,265.933,170.244,409.45,135.441,0,355.773,337.396,285.629,156.165,353.401,310.906,250.577,72.239,224.884,525.412,309.185,578.182,283.842,508.395,199.255,253.157,193.065,311.102,15.755,459.35,387.638,453.105,127.044,534.001,338.654,258.458,117.656,535.566,384.881,413.643,0,354.418,474.669,684.864,375.327,324.239,424.551,491.179,298.211,31.614,549.515,313.55,364.067,393.707,46.571,136.029,631.747,599.426,555.888,356.148,582.131,594.475,396.046,348.649,269.566,305.669,392.744,288.644
"Lincoln",161.421,256.153,428.314,349.951,539.757,354.029,151.177,150.552,133.604,414.235,90.93,301.126,319.052,291.943,211.571,352.192,132.96,518.683,163.972,111.353,174.866,212.836,161.328,150.658,369.785,112.592,227.194,315.032,253.066,184.174,67.064,204.903,372.877,476.067,69.747,229.859,354.029,0,479.533,287.822,315.828,195.577,36.068,387.312,288.431,325.007,445.391,40.868,403.801,233.263,458.942,223.972,234.705,499.761,168.798,196.992,482.134,490.351,396.556,6.193,148.478,311.29,213.536,354.357
