"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Pawnee",90.517,160.283,173.25,234.3,193.717,121.783,194.667,187.033,132.367,195.8,113,85.433,75.9,24.267,159.25,176.7,177.817,154.917,57.333,162.367,104.65,91.1,187,61.483,223.717,207.733,192.783,220.333,175,180.867,90.767,170.333,93.567,81.867,168.833,62.85,96.233,146.217,173.5,181.517,241.983,215.033,181.567,109.317,64.567,92.183,117.7,161.45,125.483,149.6,97.117,115.05,97.5,93.383,90.1,86.767,36.517,125.883,0,131.633,152,149.8,95.283,176.55,207.7,137.833,97.183,87.5,169.933,437.3,199.633,50.217,88.05,114.067,158.167,89.05,153.367
"Payne",173.767,97.633,109.283,266.233,158.083,113.383,119.417,118.55,148.883,155.083,185.367,68,85.083,150.85,90.767,74.4,91.367,142.883,125.85,126.867,189.233,181.817,195.55,136.983,192.35,90.75,161.417,149.85,183.567,220.117,162.967,188.017,55.633,157.733,93.35,154.833,100.233,117.867,168.867,199.217,158.65,246.967,76.367,152.467,106.267,175.433,22.767,187.833,146.6,59,159.817,38.583,182.083,118.717,53.6,132.9,163.1,209.15,132.4,0,122.95,81.317,75.733,142.9,175.183,221.1,82.55,170.75,67.633,332.1,116.283,134.8,167.983,21.35,73.317,60.683,185.3
"Pittsburg",136.333,201.05,32.767,342.5,234.483,189.633,66.067,53.783,41.617,236.567,253.4,122.233,161.2,132.55,32.667,162.6,183.733,21.45,104.35,203.133,159.4,153.033,271.817,201.883,108.633,150.45,77.7,265.3,259.817,296.367,94.4,68.2,133.8,222.267,75.7,203.917,176.5,5.283,49.033,79.383,274.083,323.217,113.05,228.717,182.367,126.7,113.6,81.35,51.45,89.617,83.7,123.517,152.233,81.283,130.333,68.767,144.233,179.633,151.817,123.683,0,72.55,107.6,61.483,251.433,190.233,85.783,140.9,151.85,323.383,222.517,106.017,99.833,128.717,188.767,116.95,261.55
"Pontotoc",180.333,171.633,43.567,315.25,207.233,162.383,54.817,47.183,103,209.317,231.967,94.983,133.95,154.75,39.55,112.483,133.633,91.683,132.417,175.883,195.817,188.383,244.567,180.75,124.083,102.35,93.15,215.967,232.567,269.117,151.65,138.417,106.55,200.833,19.033,197.6,149.25,66.667,119.25,149.6,224.767,295.967,64.967,201.467,155.117,182,72.15,142.733,112.833,32.8,145.083,82.067,188.667,104.167,103.083,118.35,167,215.717,150.383,82.233,71.733,0,69.617,74.633,224.183,227.667,54.667,177.333,101.733,312.15,172.4,141.367,161.217,87.267,147.317,89.7,234.3
"Pottawatomie",132.95,111.517,97.483,252.967,144.95,100.117,114.383,106.75,93.467,147.05,169.7,32.717,71.667,110.033,78.967,121.95,123.067,109.3,85.017,113.617,148.417,141,182.3,118.483,180.55,137.95,149.617,171.567,170.3,206.85,105.817,140.517,44.283,138.567,88.55,135.333,86.983,100.617,127.9,151.717,187.233,233.7,111.45,139.2,92.85,134.617,53.85,131.633,86.2,60.367,99.433,49.25,141.267,58.333,40.8,72.5,122.283,168.317,95.65,74.917,106.383,69.517,0,131.1,161.917,180.267,27.25,129.933,115.167,367.183,144.867,93.983,115.567,58.683,103.417,27.433,172.033
"Pushmataha",162.367,233.55,34.117,367.883,259.867,215.017,64.983,54.567,67.65,261.95,278.783,147.633,186.583,157.95,53.417,172.983,196.017,69.817,129.733,228.517,184.783,178.417,297.2,227.267,56.417,149.85,25.483,281.733,285.2,321.767,120.433,90.883,159.183,247.65,76.217,229.3,201.883,58.05,72.217,90.417,290.533,348.617,112.467,254.1,207.75,152.733,134.067,107.383,77.483,98.567,109.733,143.983,177.633,106.667,155.717,94.15,169.617,205.65,177.217,144.15,63.817,74.233,131.533,0,276.833,216.267,113.817,166.283,167.5,322.667,232.85,131.4,125.867,149.183,209.233,142.333,286.933
"Roger Mills",251.333,88.2,251.25,126.4,24.983,88.25,265.333,260.517,237.967,38.967,150.283,146.133,138.15,229.55,232.733,182.267,162.2,253.8,203.417,50.467,266.817,259.383,38.95,155.35,322.6,221.033,291.683,58.617,46.2,100.15,240.533,285.017,127.183,177.583,239.267,230.367,116.85,245.117,272.4,296.217,99.917,107.133,222.283,108.933,154.7,253,158.417,276.133,230.7,204.917,243.933,155.75,259.667,202.817,128.317,217,241.8,286.717,207.933,172.35,250.883,223.267,162.2,275.45,0,298.667,181.017,248.333,177.283,473.233,125.85,212.367,245.55,154.783,118.133,144.783,78.383
"Rogers",56.567,249.367,213.283,348.417,282.8,237.95,246.583,234.3,151,284.883,222.667,168.483,194.183,119.083,213.183,265.783,266.9,183.567,104.3,251.45,43.933,68.05,312.7,188.4,264.767,296.817,233.833,309.4,300.7,290.533,111.283,191.317,182.65,195.75,247.183,146.7,209.067,186.25,193.833,202.517,331.067,341.95,270.65,236.25,190.45,68.6,206.783,182.433,144.117,232.65,115.733,204.117,50.917,150.85,179.183,127.45,132.017,42.2,138.35,220.717,192.033,228.133,180.883,217.617,299.75,0,175.517,74.017,259,503.9,288.7,91.667,96.283,203.15,247.25,172.1,280.283
"Seminole",126.467,131.367,82.383,272.817,164.8,119.967,99.283,91.65,79.9,166.9,189.55,52.567,91.517,100.867,63.867,131.9,142.917,89.6,78.533,133.467,141.933,134.517,202.15,138.333,160.167,134.983,129.233,191.417,190.15,226.7,97.783,127.35,64.133,158.417,73.45,149.367,106.833,79.45,108.2,138.55,207.083,253.55,108.483,159.05,112.7,128.133,60.633,126.483,71.483,58.917,91.4,60.867,134.783,50.3,60.65,64.467,113.133,161.833,96.5,81.683,85.217,54.4,27.25,113,181.767,173.783,0,123.45,121.15,356.6,164.717,87.5,107.533,72.567,123.267,47.283,191.883
"Sequoyah",26.1,197.917,162.483,309.783,231.35,186.5,195.767,183.483,102.033,233.433,188.483,117.033,142.75,67.633,162.383,214.333,215.45,134.6,52.85,200,43.35,65.65,261.25,136.967,212.95,245.367,182.017,257.967,249.25,256.35,59.833,140,131.2,157.35,195.733,139,157.633,135.45,142.517,151.183,279.617,290.5,219.2,184.8,139.017,33.2,155.333,131.117,95.15,181.2,66.783,152.667,36.183,99.4,127.733,76,77.517,69.983,86.9,169.267,141.217,176.7,129.45,165.783,248.3,74.25,124.083,0,207.55,453.083,237.25,40.233,52.183,151.7,195.8,120.65,228.833
"Stephens",208.667,89.45,136.35,284.45,153.15,131.583,129.567,132.3,180.3,142.05,215,103.25,110.65,185.767,120.1,14.883,36.033,172.217,160.75,134.317,224.15,216.733,213.767,162.55,216.867,54.067,185.933,120,201.783,238.333,197.883,218.95,81.2,183.3,104.517,189.75,119.85,147.2,199.783,230.15,128.8,265.183,86.517,170.683,131.833,210.333,82.1,219.25,181.75,70.183,194.983,88.6,217,153.867,85.45,168.05,198.017,244.05,167.317,65.45,152.267,101.567,113.25,167.4,178.483,256,122.617,205.667,0,341.3,74.817,169.7,202.883,80.6,79.15,95.833,203.517
"Texas",448.183,403.133,292.183,570.317,447.383,417.467,264.933,272.6,353.467,436.9,489.983,372.617,389.017,444.4,310.383,327.483,344.05,342.133,416.2,430.95,471.233,464.883,499.633,440.917,329.717,295.8,299.983,414.067,487.65,524.2,406.233,388.867,359.95,458.85,299.4,459.45,404.317,317.117,369.717,400.067,399.817,551.05,266.6,456.55,410.2,438.55,328.65,393.183,363.3,311.267,395.533,344.45,464.083,394.85,358.217,380.6,456.083,491.467,437.017,333.1,322.2,312.45,366.95,322.617,473.05,502.083,357.933,452.733,339.333,0,364.867,417.867,411.683,338.583,392.833,365.283,489.383
"Tillman",241.2,80.8,200.967,243.217,101.967,129.35,177.85,180.583,221.55,91.4,195.767,135.783,143.183,218.283,190.267,62.517,40.467,242.383,193.283,93.183,256.683,249.25,164.583,195.083,266.533,95.167,235.6,68.633,164.767,203.8,230.417,268.6,113.733,215.833,159.55,222.283,154.083,217.367,255.983,279.8,68.7,230.65,133,154.417,164.367,242.867,119.117,259.717,214.283,140.35,227.517,121.133,249.533,186.4,117.983,200.583,230.55,276.583,199.85,114.8,222.45,171.733,145.783,232.3,127.617,288.533,164.583,238.2,74.633,364.917,0,202.233,235.417,113.133,86.967,128.367,168.983
"Tulsa",44.883,162.133,127.45,273.617,195.567,150.717,160.75,148.467,87.433,197.65,152.317,81.25,106.967,31.483,127.35,178.55,179.667,109.117,17.067,164.217,59.033,51.6,225.1,100.8,177.917,209.583,146.983,222.183,213.1,220.2,45.833,125.383,95.417,121.2,159.95,102.85,121.85,100.417,127.7,136.583,243.833,254.35,183.417,148.65,102.867,46.55,119.55,116.5,80.55,145.433,52.167,116.9,51.883,64.383,91.95,40.967,43.167,80.267,50.75,133.483,106.2,140.917,93.667,130.767,212.533,92.217,88.3,41.883,171.783,418.067,201.483,0,43.117,115.917,160.017,84.883,192.683
"Wagoner",41.117,195.767,123.167,310.617,229.2,184.35,156.45,144.167,60.867,231.283,189.317,114.883,140.583,68.483,123.067,212.183,213.283,93.433,50.7,197.85,83.333,84.7,262.083,137.8,174.65,240.833,143.717,255.8,250.1,257.183,35.25,101.2,129.05,158.183,166.083,139.833,155.467,96.133,103.7,112.383,277.467,291.333,203.45,185.633,139.85,31.483,153.167,92.3,53.983,167.7,25.617,150.517,76.183,91.683,125.567,68.283,80.15,84.4,87.75,167.117,101.9,162.933,117.517,127.483,246.15,95.017,110.583,51.55,205.4,413.767,235.1,41.483,0,149.55,193.65,118.5,229.667
"Washington",155.217,95.367,114.383,247.167,139.15,94.3,125.133,123.65,135.317,141.25,166.833,49.45,65.867,132.3,95.867,89.6,92.217,147.983,107.3,107.8,170.7,163.267,176.483,117.767,197.45,105.95,166.517,147.583,164.5,201.05,144.433,182.383,36.8,135.7,99.05,136.3,81.167,122.967,173.95,193.567,156.383,227.9,82.067,133.4,87.033,156.883,17.517,173.5,128.05,64.717,141.283,25.367,163.55,100.183,35.067,114.35,144.567,190.6,113.867,21.233,128.033,86.4,59.567,147.983,156.117,202.55,72.167,152.217,82.833,337.8,114.017,116.25,149.433,0,71.067,42.133,166.233
"Washita",199.933,28.35,173.45,228.15,92.05,80.333,185,182.717,180.267,86.15,161.133,94.517,101.917,177.017,154.933,84.483,64.417,196.1,152.017,73.233,215.4,207.983,152.2,138.15,256.517,123.667,225.583,88.517,144.783,182.033,189.133,227.317,72.45,168.017,158.933,181,90.283,182.05,214.7,238.517,128.6,208.883,141.95,119.8,123.083,201.6,76.583,218.433,173,124.583,186.233,79.85,208.25,145.133,76.7,159.3,189.267,235.317,158.567,72.267,187.117,145.483,104.517,207.067,117.4,247.267,123.317,196.917,79.5,393.55,86.233,160.967,194.15,70.6,0,87.083,147.2
"Woods",124.183,94.083,117.9,235.533,127.517,82.683,134.8,127.15,104.617,129.617,152.267,8.75,54.233,101.267,99.367,104.517,105.633,120.45,76.267,96.183,139.667,132.233,164.867,101.05,189.25,134.9,158.317,154.133,152.867,189.417,113.383,151.667,26.85,121.133,108.95,121.733,69.55,111.767,139.05,162.867,169.8,216.267,108.733,121.767,75.417,125.85,44.867,142.783,97.35,80.783,110.567,42.217,132.517,69.467,23.367,83.65,113.517,159.567,89.533,58.817,117.533,89.917,28.85,142.1,144.483,171.517,47.65,121.183,97.733,364.467,127.433,85.217,118.4,41.25,85.983,0,154.6
"Woodward",230.75,117.333,262.283,82.4,95.217,74.017,276.367,271.55,249,97.3,86.25,157.167,123.9,173.517,243.767,211.833,191.333,264.85,197.567,75.217,244.9,230.85,41.6,92.033,333.65,251,302.717,121.833,38.567,36.283,231.017,296.05,138.217,113.55,250.3,166.2,102.6,256.15,283.433,307.25,163.133,63.133,233.317,60.717,120.333,232.417,169.45,287.167,241.733,215.95,237.35,166.783,237.75,213.867,139.35,227,185.767,266.133,152.35,183.383,261.933,234.3,173.25,286.483,78.767,278.083,192.05,227.75,205.05,489.05,167.517,190.45,228.3,165.817,147.267,155.817,0
