"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Choctaw",121.483,97.183,121.933,238.633,130.617,85.767,138.833,131.2,108.65,132.7,151.1,0,55.033,98.567,103.417,113.417,114.533,124.483,73.567,99.267,136.967,129.533,167.95,99.883,193.283,144.1,162.367,157.233,155.967,192.517,110.683,155.7,29.933,119.967,113,120.567,69.917,115.8,143.083,166.9,178.7,219.367,117.933,124.867,74.033,123.15,54.067,146.817,101.383,84.817,114.617,51.417,129.8,73.5,26.467,87.683,110.817,156.867,86.833,68,121.567,93.95,32.883,146.133,147.583,168.817,51.7,118.483,106.633,373.667,136.333,82.517,115.7,50.433,94.883,8.567,157.7
"Cimarron",147.033,101.217,161.267,204.6,134.65,52,175.533,170.533,147.983,136.733,109.95,55.9,0,98.75,142.733,119.517,120.633,163.817,99.117,97.017,162.517,155.083,133.917,55.167,232.617,158.7,201.683,161.25,121.917,158.467,136.233,195.033,37.367,75.9,149.45,99.567,26.45,155.133,182.417,206.233,184.8,185.317,132.467,83.167,24.433,148.7,68.6,186.15,140.717,115.1,150.3,65.95,155.367,112.833,38.333,125.3,111,182.417,77.133,82.533,160.9,133.283,72.217,185.467,137.917,194.367,91.017,144.033,112.733,388.2,142.433,108.067,141.25,64.967,100.983,54.8,123.65
"Cleveland",71.85,178.35,154.583,256.383,211.783,144.75,187.883,175.6,113.717,213.867,135.083,97.467,98.867,0,145.95,194.767,195.883,136.25,38.667,180.433,86,67.533,207.85,83.567,205.05,225.8,174.117,238.4,195.85,202.95,72.117,151.667,111.633,103.95,173.317,85.917,119.2,127.567,154.833,162.867,260.05,237.1,199.633,131.4,85.617,73.517,135.767,142.783,106.833,158.783,78.45,133.1,78.85,75.3,108.167,68.117,12.25,107.233,24.4,149.7,133.333,154.283,109.867,157.9,230.667,119.183,101.667,68.85,187.983,445.2,217.683,31.55,69.4,132.133,176.233,101.083,175.433
"Coal",158.967,181.467,18.95,325.083,217.067,172.217,51.35,39.067,64.25,219.15,241.817,104.833,143.783,148.05,0,130.983,152.133,52.933,126.983,185.717,182.033,175.667,254.4,190.6,102.017,129.25,71.083,233.683,242.417,278.967,117.033,99.667,116.383,210.683,45.917,207.433,159.083,27.917,80.5,110.85,242.483,305.817,91.85,211.317,164.95,149.333,82,103.983,74.083,58,106.333,91.917,174.867,85.817,112.917,91.4,159.733,202.267,160.217,92.083,32.983,40.933,79.467,52.55,234.033,212.867,64.5,163.533,120.25,308.667,190.917,128.65,122.467,97.1,157.167,99.533,244.15
"Comanche",216.767,94.467,141.433,292.55,158.167,139.683,121.417,124.15,189.85,147.067,223.1,111.35,118.75,193.85,129.65,0,24.217,181.767,168.85,139.35,232.25,224.817,218.317,170.633,210.117,41.967,179.183,125.033,209.867,246.417,205.967,228.5,89.283,191.383,103.117,197.85,127.933,156.75,209.35,239.7,133.817,273.267,78.367,178.767,139.917,218.433,91.667,228.8,189.833,79.733,203.067,96.683,225.1,161.967,93.55,176.15,206.117,252.15,175.4,73.533,161.833,111.117,121.35,172.483,183.5,264.1,132.167,213.767,14.017,329.2,63,177.8,210.983,88.7,84.167,103.917,211.6
"Cotton",219.367,75.433,164.517,275.217,139.133,136.25,143.333,146.083,199.7,128.033,208.217,113.95,121.35,196.45,151.517,23.767,0,203.633,171.45,120.3,234.85,227.417,199.267,173.233,232.033,60.667,201.1,105.983,191.85,229.1,208.567,250.367,91.883,193.983,125.05,200.45,132.25,178.617,231.2,261.567,109.7,255.95,98.5,166.867,142.517,221.033,97.283,237.883,192.433,101.6,205.667,99.283,227.7,164.567,96.15,178.75,208.717,254.75,178,91.517,183.683,132.983,123.95,195.583,164.467,266.7,142.75,216.367,35.883,345.217,40.983,180.4,213.583,91.3,65.117,106.517,194.283
"Craig",129.033,204.733,52.833,346.183,238.167,193.317,86.133,73.85,34.317,240.25,257.083,125.917,164.883,136.25,52.733,182.65,203.8,0,108.033,206.817,163.083,156.717,275.5,205.567,118.867,170.5,87.933,264.783,263.5,300.05,87.083,46.733,137.483,225.95,95.75,207.6,180.183,25.333,27.567,57.917,280.433,326.9,133.117,232.4,186.05,119.4,133.667,66.833,44.15,109.667,76.383,143.583,155.933,84.967,134.017,72.45,147.917,172.317,155.517,143.75,22,92.6,111.283,71.717,255.117,182.933,91.033,136.133,171.917,343.45,242.583,109.7,92.533,148.767,196.617,120.633,265.233
"Creek",56.367,152.783,126.533,279.667,186.217,141.367,159.817,147.55,93.5,188.3,158.367,71.9,101.1,37.533,126.433,169.2,170.3,108.2,0,154.867,71.833,64.417,223.55,106.85,177,200.217,146.067,212.817,211.55,226.233,45.317,132.85,86.067,127.233,150.6,108.883,112.483,99.5,126.783,144.05,234.483,260.4,174.05,154.683,109.533,58.033,110.183,123.967,85.083,136.067,59.633,107.533,64.683,55.067,82.583,40.05,49.2,91.733,56.8,124.133,105.283,131.55,84.3,129.833,203.167,103.683,78.933,53.35,162.417,417.15,192.117,17.4,50.583,106.567,150.667,75.517,198.733
"Custer",204.15,45.183,204.067,157.05,46.633,46.383,218.15,213.333,190.783,48.733,112.8,98.95,96.283,181.25,185.55,139.267,119.2,206.633,156.233,0,219.633,212.217,79.267,115.717,275.433,178.45,244.5,73.25,71.833,110.917,193.367,237.85,80,140.117,192.083,188.5,74.983,197.933,225.217,249.05,114.55,137.767,175.1,71.467,112.833,205.817,111.233,228.967,183.517,157.733,196.75,108.583,212.483,155.65,81.15,169.833,193.5,239.533,166.067,125.167,203.717,176.1,115.033,228.283,50.683,251.483,133.833,201.15,134.283,430.833,93.75,165.183,198.367,107.6,75.133,97.6,76.1
"Delaware",47.533,216.733,181.3,315.55,250.167,205.317,214.583,202.317,128.5,252.25,189.8,135.85,161.567,85.117,181.2,233.15,234.267,161.067,71.667,218.817,0,39.2,278.733,154.45,231.767,264.183,200.833,276.783,266.733,257.683,86.9,166.45,150.017,158.1,214.55,116.883,176.45,154.267,168.967,177.65,298.433,307.983,238.017,202.283,156.5,59.55,174.15,157.567,121.617,200.017,93.233,171.483,11.3,118.217,146.55,94.817,92.4,66.317,104.383,188.083,160.05,195.517,148.267,184.6,267.117,44.667,142.9,43.283,226.367,471.917,256.067,57.717,84.183,170.517,214.617,139.467,246.317
"Dewey",73.1,209.35,174.65,285.433,242.783,197.933,207.95,195.667,129.8,244.867,159.683,128.467,154.167,67.517,174.55,225.767,226.867,156.317,64.283,211.433,35.583,0,267.6,141.733,225.117,256.783,194.183,269.383,255.6,227.567,88.2,167.767,142.633,127.983,207.167,95.15,169.05,147.633,170.267,178.95,291.05,283.767,230.617,186.983,143.783,85.133,166.75,158.867,122.917,192.633,94.533,164.1,30.117,111.583,139.15,88.183,69.65,88.95,90.133,180.7,153.4,188.117,140.867,177.967,259.733,67.3,135.5,64.283,218.983,465.267,248.683,50.4,85.483,163.133,207.233,132.083,230.45
"Ellis",265.25,122.433,272.783,87.433,61.317,84.517,286.867,282.05,259.5,75.317,122.65,167.667,134.4,208.017,254.267,216.5,196.433,275.35,224.95,78.7,279.4,267.25,0,127.717,344.15,255.683,313.217,94.95,11.967,61.183,262.067,306.55,148.717,149.95,260.8,205.317,113.1,266.65,293.933,317.75,136.267,68.167,243.817,81.3,130.833,266.917,179.95,297.667,252.233,226.45,265.467,177.283,272.25,224.367,149.85,238.533,220.267,300.633,187.633,193.883,272.433,244.8,183.75,296.983,37.167,312.583,202.55,262.233,211.517,499.55,162.183,224.95,262.783,176.317,152.367,166.317,39.417
"Garfield",141.067,129.6,209.233,174.35,159.667,72.95,227.633,218.5,182.933,161.75,58.633,101.15,54.883,83.833,190.717,171.633,172.733,205.467,107.883,117.517,155.217,142.633,128.583,0,274.267,210.8,243.333,186.267,116.583,128.217,141.333,220.883,89.483,34.05,201.567,82.85,48.817,196.783,224.05,232.083,227.583,155.067,184.583,49.367,37.417,142.733,120.717,212,176.05,167.217,147.667,118.05,148.067,143.933,90.45,137.333,96.083,176.45,62.667,134.65,202.55,181.25,120.2,227.117,156.217,188.4,139,138.067,164.85,440.317,194.55,100.767,138.617,117.083,138.517,102.767,93.4
"Garvin",209.583,273.65,83.933,415.1,307.083,262.233,94.75,91.067,114.867,309.167,326,194.85,233.8,205.167,103.233,211.883,233.167,117.033,176.95,275.733,232,225.633,344.417,274.483,0,179.617,41.517,331.533,332.417,368.983,167.65,136.983,206.4,294.867,125.5,276.517,249.1,105.267,124.483,132.833,328.7,395.833,142.233,301.317,254.967,199.95,183.867,157.033,124.7,148.367,156.95,193.783,224.85,153.883,202.933,141.367,216.833,252.867,224.433,193.95,111.033,124.033,181.35,56.783,324.05,263.483,161.033,213.5,217.317,331.667,267.683,178.617,173.083,198.983,259.033,189.55,334.15
"Grady",248.7,133.617,119.217,331.683,196.783,178.817,90.417,99.633,180.5,186.217,262.233,142.933,157.9,225.783,129.717,41.317,60.283,169.183,200.767,178.483,264.167,256.75,257.467,209.783,179.117,0,148.183,163.467,249.017,285.567,231.017,215.917,128.433,230.533,84.75,229.767,167.083,144.167,196.75,227.1,155.817,312.417,37.833,217.917,179.067,250.367,98.883,220.233,190.333,81.583,222.583,114.7,257.017,183.533,128.533,197.7,238.033,284.067,207.333,90.017,149.233,103.8,137.267,149.983,222.45,296.017,134.017,245.683,53.167,293.85,94.817,209.733,238.717,105.833,123.317,135.6,250.75
"Grant",178.4,242.467,52.733,383.917,275.9,231.05,63.567,59.867,83.683,277.983,294.817,163.65,202.617,173.983,72.05,180.7,201.967,85.85,145.767,244.55,200.817,194.45,313.233,243.3,40.633,148.433,0,300.35,301.233,337.783,136.45,111.967,175.217,263.683,94.3,245.333,217.917,74.067,93.3,111.5,288.733,364.633,111.05,270.133,223.783,168.767,152.683,123.4,93.517,117.183,125.75,162.6,193.667,122.7,171.75,110.183,185.65,221.683,193.25,162.767,79.85,92.85,150.15,25.6,292.85,232.3,129.85,182.317,186.117,298.917,236.5,147.433,141.9,167.8,227.85,158.367,302.967
"Greer",260.933,77.8,250.767,176.9,35.633,116.6,244,246.733,247.567,25.15,183.033,155.733,162.917,238.017,232.8,126.083,106.017,263.417,213.017,73.117,276.417,268.983,98.267,185.933,331.3,163.05,300.367,0,105.5,158.5,250.133,294.633,136.783,210.333,218.95,242.017,141.1,254.717,282,305.817,41.467,166.433,200.883,141.683,183.05,262.6,154.433,285.733,240.3,184.6,253.533,156.45,269.267,212.433,137.917,226.6,250.283,296.317,219.583,150.133,264.983,216,171.817,281.833,61.3,308.267,190.617,257.933,121.1,415.25,67.867,221.967,255.15,148.467,88.7,154.383,123.683
"Harmon",253.267,115.467,260.8,99.433,70.25,72.533,274.883,270.067,247.517,84.25,110.667,155.683,122.417,196.033,242.283,210.35,189.483,263.367,212.967,71.733,267.417,255.267,11.983,115.733,332.167,249.517,301.233,103.9,0,67.567,250.1,294.583,136.733,137.967,248.817,193.333,101.117,254.667,281.95,305.783,145.2,80.15,231.833,69.333,118.85,254.933,167.967,285.7,240.25,214.467,253.483,165.317,260.267,212.383,137.883,226.567,208.283,288.65,175.65,181.9,260.45,232.833,171.767,285.017,46.1,300.6,190.567,250.267,203.567,487.567,163.3,212.967,250.817,164.333,145.417,154.333,41.033
"Harper",258.25,154,298.967,60.2,123.867,110.683,313.05,308.233,285.683,133.983,75.617,193.833,160.567,201.017,280.433,248.5,228.017,301.517,225.067,111.9,257.7,227.467,62.533,128.717,370.317,287.683,339.383,157.5,68.767,0,258.517,332.733,174.9,114.283,286.967,153.733,139.283,292.833,320.117,343.933,198.8,58.533,269.983,97.383,157,259.917,206.117,323.85,278.417,252.633,264.85,203.467,246.483,250.533,176.033,254.517,213.267,293.633,179.85,220.067,298.6,270.983,209.917,323.167,99.7,291.383,228.717,255.25,241.717,525.717,204.2,217.95,255.8,202.5,183.95,192.5,36.967
"Haskell",64.517,190.467,116.267,313.3,223.9,179.05,149.55,137.283,53.967,225.983,192,109.583,135.3,71.167,116.167,206.883,208,86.533,44.033,192.55,86.017,87.383,261.233,140.483,167.75,233.317,136.817,250.517,249.233,259.867,0,101.35,123.75,160.867,159.183,142.517,150.183,89.233,101.633,112.55,272.167,294.017,196.55,188.317,142.533,60.083,147.883,92.467,47.1,157.25,29.417,144.267,78.867,63.517,120.283,40.117,82.833,99.883,90.433,161.817,95.017,152.733,107.067,120.583,240.85,111.833,100.117,61.5,200.1,406.883,229.8,44.167,33.233,144.25,188.35,113.2,232.35
"Hughes",136.567,235.717,99.717,377.167,269.15,224.3,133.017,120.733,65.533,271.233,271.9,156.917,195.867,151.067,99.617,229.533,250.683,46.883,133.283,237.8,165.917,167.283,306.483,220.383,135.2,217.383,111.867,295.767,294.483,331.05,101.633,0,168.467,240.767,142.633,222.417,211.167,72.233,21.35,14.45,311.433,357.9,180,268.217,217.033,126.917,178.283,28.783,63.05,156.567,77.617,179.467,158.767,115.95,165,103.833,162.733,179.85,170.333,188.367,68.883,139.5,142.267,92.05,286.117,190.45,127.767,139.517,218.8,390.333,269.067,124.067,100.05,182.867,227.6,151.617,296.217
"Jackson",134.7,77.383,134.05,218.833,110.817,65.983,146.583,143.317,120.767,112.917,144.367,28.933,37.683,111.783,115.533,90.583,91.683,136.617,86.783,79.483,150.167,142.75,148.167,89.583,205.417,129.75,174.483,137.433,136.167,172.717,123.9,167.817,0,110.333,120.517,115.767,52.85,127.917,155.2,179.017,155.867,199.567,103.533,105.067,58.867,136.367,39.667,158.933,113.5,86.167,126.733,37,143.017,85.633,12.283,99.8,124.033,170.083,93.333,53.6,133.7,106.067,45.017,158.25,127.783,182.033,63.817,131.683,83.8,359.267,113.5,95.733,128.917,36.033,72.033,27.583,137.9
"Jefferson",159.767,160.5,227.633,173.117,184.6,98.483,244.533,236.9,201.633,186.7,45.917,119.55,74.467,102.533,209.117,191.217,192.333,224.167,126.6,142.467,158.633,128.4,151.5,34.733,292.983,230.383,262.05,211.217,139.5,115.25,160.033,239.6,109.067,0,221.15,59.017,79.717,215.483,242.767,250.783,252.517,171.467,204.167,70.883,57,161.433,140.3,230.7,194.75,186.8,166.367,137.65,147.417,162.65,110.033,156.033,114.8,195.15,81.367,154.233,221.25,199.65,138.6,245.817,179.133,196.4,157.4,156.767,184.433,459.9,214.133,119.483,157.317,136.667,169.417,121.167,114.35
"Johnston",200.283,181.35,44.283,330.6,222.583,177.75,42.183,35.167,105.567,224.683,250.267,114.033,149.3,173.783,44.967,104.117,125.383,94.25,151.467,191.25,214.85,207.433,259.933,201.2,126.417,83.317,95.483,218.467,247.933,284.483,158.35,140.983,120.233,219.133,0,216.65,164.617,69.233,121.817,152.167,220.917,311.333,45.917,216.833,170.483,190.65,88.933,145.3,115.4,35.283,147.65,101.117,207.7,123.217,118.5,132.717,186.05,234.767,169.417,93.383,74.3,19.033,88.667,75.35,239.55,246.717,73.7,196.367,104.233,299.5,159.917,160.417,163.783,98.867,160.6,108.75,249.667
"Kay",141.133,182.05,223.55,211.217,215.483,143.55,240.45,232.8,182.983,217.583,85.467,120.867,97.667,85.05,205.017,198.467,199.583,205.533,107.95,184.133,115.583,95.1,205.25,81.067,274.333,229.5,243.4,242.1,193.267,153.333,141.383,220.95,115.333,58.817,214.6,0,118,196.833,224.117,232.15,263.767,209.55,203.333,124.633,83.117,142.8,139.467,212.067,176.1,186.433,147.733,136.817,120.333,144,111.867,137.383,94.567,163.233,61.633,153.4,202.617,195.567,134.5,227.167,229.467,147.3,148.5,138.117,191.7,459.067,221.4,100.833,138.667,135.833,179.933,122.483,165.933
"Kingfisher",163.4,80.767,177.633,184.417,114.2,31.817,191.717,186.9,164.35,116.283,99.4,72.267,26.55,117.967,159.117,129.367,131.717,180.183,115.483,76.817,178.883,171.45,113.733,47.867,248.983,168.533,218.067,140.817,101.733,138.283,152.6,211.4,53.567,77.733,165.65,118.783,0,171.5,198.783,222.6,182.117,165.133,148.667,71.7,45.267,165.067,84.8,202.517,157.083,131.3,166.667,82.15,171.733,129.2,54.7,141.667,130.217,198.783,96.35,98.733,177.267,149.65,88.583,201.833,117.733,210.733,107.4,160.4,122.583,404.4,153.533,124.433,157.617,81.167,89.7,71.167,103.467
"Kiowa",131.05,195.75,27.017,337.2,229.183,184.35,60.317,48.033,36.333,231.283,248.1,116.95,155.9,127.267,26.917,156.833,177.983,25.7,99.067,197.833,154.1,147.75,266.517,196.583,103.35,144.683,72.417,259.533,254.533,291.083,89.1,72.433,128.517,216.967,69.933,198.633,171.2,0,53.283,83.633,268.333,317.933,107.3,223.433,177.083,121.417,107.85,76.05,46.167,83.867,78.4,117.767,146.95,75.983,125.033,63.467,138.95,174.333,146.533,117.933,5.767,66.8,102.3,56.2,246.15,184.95,80.483,135.6,146.1,317.633,216.767,100.733,94.55,122.95,183.017,111.667,256.267
"Latimer",138.95,222.633,80.9,364.083,256.067,211.217,114.183,101.9,52.217,258.167,274.983,143.833,182.783,154.15,80.8,210.717,231.867,28.05,125.95,224.717,168.317,169.683,293.4,223.467,123.867,198.567,92.933,282.683,281.417,317.967,100.083,20.983,155.383,243.85,123.817,225.517,198.083,53.4,0,32.167,298.35,344.817,161.183,250.317,203.95,129.317,159.45,41.083,53.783,137.733,80.017,169.133,161.167,102.867,151.917,90.35,165.833,182.233,173.417,169.533,50.05,120.667,129.183,73.133,273.033,192.85,108.933,141.917,199.983,371.5,255.983,127.6,102.45,174.567,214.533,138.533,283.15
"Le Flore",148.45,247.6,115.167,389.05,281.033,236.183,148.45,136.167,77.417,283.117,283.783,168.8,207.75,162.95,115.067,244.983,266.133,62.317,145.167,249.683,177.8,179.167,318.367,232.267,130.933,232.833,109.517,307.65,306.367,342.933,113.517,13.967,180.35,252.65,158.083,234.3,223.05,87.667,36.783,0,323.317,369.783,195.45,280.1,228.917,138.8,193.717,40.667,74.933,172,89.5,191.35,170.65,127.833,176.883,115.717,174.617,191.733,182.217,203.8,84.317,154.933,154.15,89.7,298,202.333,143.2,151.4,234.25,405.767,280.95,135.95,111.933,194.75,239.483,163.5,308.1
"Lincoln",283.9,117.817,258.133,193.783,77.15,158.133,237.9,240.633,264.233,66.667,224.55,178.483,185.883,260.983,240.167,130.833,108.783,280.067,235.983,114.65,299.367,291.95,139.783,227.45,326.6,155.217,287.883,41.383,147.017,200.017,273.1,311.283,156.417,251.85,219.6,264.967,182.617,267.267,298.667,322.483,0,204.283,193.067,183.2,207.05,285.567,161.8,302.4,256.967,191.967,270.2,163.817,292.217,229.1,160.667,243.267,273.233,319.283,242.533,157.5,272.35,223.367,188.483,289.2,102.817,331.233,207.283,280.883,128.467,400.067,68.317,244.933,278.117,155.833,128.717,171.05,165.2
"Logan",292.617,179.183,324.15,40.833,128.967,135.867,338.233,333.417,310.867,142.967,133.417,219.033,185.767,235.367,305.633,273.683,253.2,326.7,259.433,137.083,306.767,285.267,67.65,153.9,395.5,312.867,364.583,162.617,79.617,58.967,292.867,357.917,200.083,172.083,312.167,211.533,164.467,318.017,345.3,369.117,203.917,0,295.183,122.583,182.183,294.283,231.317,349.033,303.6,277.817,299.217,228.65,299.6,275.717,201.217,288.867,247.633,328,214.2,245.25,323.783,296.167,235.1,348.35,104.817,339.95,253.917,289.6,266.917,550.917,229.383,252.317,290.15,227.683,209.133,217.683,62.15
"Love",220.967,163.65,81.383,312.917,204.9,160.05,52.583,61.8,142.667,206.983,232.583,115.2,131.617,198.05,91.883,77.183,97.667,131.333,173.05,173.55,236.45,229.017,242.233,183.5,141.283,37.383,110.35,200.85,230.25,266.8,195.433,178.067,102.55,201.45,46.917,202.05,146.917,106.333,158.917,189.267,193.2,293.65,0,199.15,152.783,227.75,71.233,182.383,152.5,53.85,184.733,87.05,229.3,155.8,100.817,169.817,210.317,256.35,179.617,75.7,111.4,65.95,109.55,112.15,221.867,268.3,106.3,217.967,85.45,265.967,132.2,182,200.883,81.183,142.917,107.883,231.983
"Major",187.75,90.967,229.883,143.883,114.333,39.35,243.967,239.15,216.6,116.417,43.117,124.767,82.35,130.517,211.367,179.417,164.983,232.433,154.583,72.183,201.9,187.717,81.217,49.05,301.25,218.6,270.317,140.933,69.233,97.75,188.017,267.583,105.817,70.417,217.9,125.783,71.4,223.75,251.033,278.767,182.233,124.6,200.917,0,68.35,189.417,137.05,258.683,209.333,183.55,194.35,134.383,194.75,181.467,106.95,184.017,142.783,223.133,109.35,150.983,229.517,201.9,140.85,254.083,108.85,235.083,159.65,184.75,172.65,456.65,154.483,147.467,185.3,133.417,120.917,123.417,62.933
"Marshall",142.133,122.433,182.483,201.65,156.25,69.55,196.75,191.75,169.2,158.333,92.533,75.333,24,84.9,163.967,140.75,141.85,185.05,112.85,114.1,156.283,143.7,130.983,37.75,253.85,179.917,222.917,182.867,118.983,155.533,142.4,216.267,58.6,58.5,170.683,83.933,45.683,176.35,203.633,227.45,206.033,182.383,153.7,67.9,0,143.8,89.833,207.383,161.933,136.333,148.733,87.167,149.133,134.067,59.567,138.4,97.167,177.517,64.65,103.767,182.133,154.517,93.45,206.7,155.017,189.467,112.25,139.133,133.967,409.433,163.667,101.85,139.683,86.2,122.2,76.017,120.717
"Mayes",13.8,204.15,150.083,316.017,237.583,192.75,183.383,171.1,87.8,239.683,194.717,123.283,148.983,73.883,149.983,220.583,221.683,120.367,59.1,206.25,59.15,84.933,267.5,143.2,201.567,251.6,170.633,264.2,255.5,262.6,62.25,128.117,137.45,163.583,193,145.25,163.867,123.05,130.633,139.317,285.867,296.75,230.367,191.033,145.25,0,161.567,119.233,80.917,187.45,52.533,158.917,55.467,105.65,133.967,82.25,85.55,57.083,93.15,175.5,128.833,182.933,135.683,154.417,254.55,67.683,130.317,33.15,213.8,440.7,243.5,46.467,33.083,157.95,202.033,126.9,235.083
"McClain",158.7,101.383,98.1,250.65,142.633,97.783,115,107.367,137.683,144.717,170.317,52.933,69.35,135.783,79.583,91.35,98.333,131.7,110.783,111.283,174.183,166.75,179.967,121.233,181.167,98.483,150.233,153.7,167.983,204.533,147.9,176.833,40.283,139.183,90.1,139.783,84.65,106.683,157.667,188.033,162.5,231.383,73.117,136.883,90.517,160.367,0,176.633,129.95,55.767,143.583,16.433,167.033,102.467,38.55,116.65,148.05,194.083,117.35,22.383,111.75,70.117,53.6,131.7,159.6,206.033,60.4,155.7,80.6,328.85,120.133,119.733,152.917,17.117,77.183,45.617,169.717
"McCurtain",128.017,227.183,103.8,368.633,260.617,215.767,137.1,124.817,57,262.7,263.35,148.367,187.333,142.517,103.7,228.95,238.717,66.667,124.733,229.267,157.383,158.75,297.95,211.833,153.217,221.467,124.35,287.217,285.95,322.5,93.083,29.617,159.933,232.233,146.717,213.883,202.633,76.783,41.133,40.817,302.883,349.35,184.083,259.683,208.5,118.383,177.967,0,54.5,155.967,69.067,170.933,150.233,107.417,156.467,95.3,154.2,171.3,161.783,188.05,82.55,143.583,133.733,108.133,277.567,181.917,125.6,130.983,218.2,394.417,260.517,115.533,91.517,174.333,219.067,143.083,287.683
