"","Appling","Atkinson","Bacon","Baker","Baldwin","Banks","Barrow","Bartow","Ben Hill","Berrien","Bibb","Bleckley","Brantley","Brooks","Bryan","Bulloch","Burke","Butts","Calhoun","Camden","Candler","Carroll","Catoosa","Charlton","Chatham","Chattahoochee","Chattooga","Cherokee","Clarke","Clay","Clayton","Clinch","Cobb","Coffee","Colquitt","Columbia","Cook","Coweta","Crawford","Crisp","Dade","Dawson","Decatur","DeKalb","Dodge","Dooly","Dougherty","Douglas","Early","Echols","Effingham","Elbert","Emanuel","Evans","Fannin","Fayette","Floyd","Forsyth","Franklin","Fulton","Gilmer","Glascock","Glynn","Gordon","Grady","Greene","Gwinnett","Habersham","Hall","Hancock","Haralson","Harris","Hart","Heard","Henry","Houston","Irwin","Jackson","Jasper","Jeff Davis","Jefferson","Jenkins","Johnson","Jones","Lamar","Lanier","Laurens","Lee","Liberty","Lincoln","Long","Lowndes","Lumpkin","Macon","Madison","Marion","McDuffie","McIntosh","Meriwether","Miller","Mitchell","Monroe","Montgomery","Morgan","Murray","Muscogee","Newton","Oconee","Oglethorpe","Paulding","Peach","Pickens","Pierce","Pike","Polk","Pulaski","Putnam","Quitman","Rabun","Randolph","Richmond","Rockdale","Schley","Screven","Seminole","Spalding","Stephens","Stewart","Sumter","Talbot","Taliaferro","Tattnall","Taylor","Telfair","Terrell","Thomas","Tift","Toombs","Towns","Treutlen","Troup","Turner","Twiggs","Union","Upson","Walker","Walton","Ware","Warren","Washington","Wayne","Webster","Wheeler","White","Whitfield","Wilcox","Wilkes","Wilkinson","Worth"
"Dawson",359.183,269.407,205.905,70.677,392.196,388.684,347.503,251.355,259.517,142.671,171.074,137.854,82.26,240.117,321.52,308.263,318.507,296.623,371.34,306.958,358.225,232.682,423.747,275.322,370.516,269.967,483.439,320.641,384.902,73.508,440.751,202.181,53.293,223.167,85.542,376.108,139.12,209.69,319.5,74.171,479.525,0,278.828,278.828,152.246,80.306,356.37,169.016,80.602,213.683,353.744,361.873,253.764,376.108,410.792,247.154,285.732,174.271,198.15,267.701,386.527,308.268,313.044,203.503,123.867,364.005,318.88,344.397,354.999,258.653,201.473,140.05,442.627,140.823,252.141,184.979,128.648,234.074,357.375,199.232,365.507,308.511,339.28,362.168,51.231,329.61,191.48,30.682,271.813,369.758,303.141,179.196,51.006,170.423,280.249,201.823,313.622,335.197,230.758,85.542,297.659,331.728,385.221,36.958,398.219,97.843,70.677,217.679,75.355,305.749,113.497,357.375,235.376,171.613,288.299,286.928,67.442,154.923,440.751,35.212,388.647,273.144,91.922,264.641,107.606,81.053,309.145,254.166,31.073,116.32,301.217,248.277,101.357,162.058,187.528,135.251,103.353,223.815,179.6,220.267,165.396,83.332,183.64,60.416,146.029,35.945,331.728,220.264,370.867,321.892,340.052,41.995,177.368,340.841,178.375,120.503,321.892,219.229,88.903
"Decatur",202.35,423.001,346.74,334.802,117.273,113.761,72.58,243.034,29.225,335.365,140.299,199.18,233.887,78.617,355.146,341.889,266.987,314.888,118.171,527.992,83.302,90.894,170.578,468.346,404.142,26.886,208.516,67.416,109.979,305.422,165.828,395.205,245.503,363.678,341.802,219.275,331.814,75.16,128.079,232.512,226.356,279.641,0,0,227.052,218.489,91.433,334.447,319.619,406.377,387.37,162.425,287.39,219.275,157.567,48.768,42.651,101.896,103.836,12.067,133.302,189.905,496.036,168.997,376.482,89.082,43.957,91.228,80.076,158.227,88.508,151.406,167.704,172.23,53.488,134.294,305.231,84.819,104.15,307.023,90.584,303.03,64.357,450.276,252.82,363.236,225.106,288.448,131.579,212.925,384.373,371.89,239.196,138.617,89.15,167.317,183.899,429.633,144.589,341.802,190.637,67.383,418.847,304.477,145.05,184.695,334.802,194.132,218.711,62.655,171.33,104.15,387.313,98.278,126.449,320.554,244.371,374.856,165.828,270.953,231.814,22.42,320.111,385.485,362.472,212.416,138.674,71.083,242.396,157.969,144.384,326.039,168.637,266.859,153.022,369.298,296.377,303.153,284.401,253.893,118.076,261.644,177.233,264.78,128.291,315.328,67.383,413.288,117.698,175.639,65.129,251.55,262.59,87.672,108.924,248.923,175.639,184.723,259.149
"DeKalb",202.35,423.001,346.74,334.802,117.273,113.761,72.58,243.034,29.225,335.365,140.299,199.18,233.887,78.617,355.146,341.889,266.987,314.888,118.171,527.992,83.302,90.894,170.578,468.346,404.142,26.886,208.516,67.416,109.979,305.422,165.828,395.205,245.503,363.678,341.802,219.275,331.814,75.16,128.079,232.512,226.356,279.641,0,0,227.052,218.489,91.433,334.447,319.619,406.377,387.37,162.425,287.39,219.275,157.567,48.768,42.651,101.896,103.836,12.067,133.302,189.905,496.036,168.997,376.482,89.082,43.957,91.228,80.076,158.227,88.508,151.406,167.704,172.23,53.488,134.294,305.231,84.819,104.15,307.023,90.584,303.03,64.357,450.276,252.82,363.236,225.106,288.448,131.579,212.925,384.373,371.89,239.196,138.617,89.15,167.317,183.899,429.633,144.589,341.802,190.637,67.383,418.847,304.477,145.05,184.695,334.802,194.132,218.711,62.655,171.33,104.15,387.313,98.278,126.449,320.554,244.371,374.856,165.828,270.953,231.814,22.42,320.111,385.485,362.472,212.416,138.674,71.083,242.396,157.969,144.384,326.039,168.637,266.859,153.022,369.298,296.377,303.153,284.401,253.893,118.076,261.644,177.233,264.78,128.291,315.328,67.383,413.288,117.698,175.639,65.129,251.55,262.59,87.672,108.924,248.923,175.639,184.723,259.149
"Dodge",190.996,187.668,111.407,188.388,339.024,335.512,294.331,108.208,228.947,128.484,90.304,27.878,148.012,193.893,167.346,154.089,164.32,142.449,332.49,225.219,305.053,301.099,384.897,209.737,216.342,237.091,430.267,281.735,237.796,225.892,387.579,149.524,99.066,128.345,232.785,207.279,156.055,262.091,231.718,86.098,440.675,152.383,227.646,227.646,0,72.052,308.487,92.424,236.787,189.382,199.57,259.321,99.577,207.279,371.886,205.324,252.856,127.199,290.767,222.091,347.621,149.787,207.274,92.641,207.361,239.825,265.708,305.547,301.827,153.385,198.844,200.106,301.766,70.825,180.032,257.375,83.777,161.965,318.469,71.69,312.335,154.337,286.108,262.476,106.383,175.436,48.333,142.034,180.533,221.074,163.215,196.131,176.336,96.544,189.459,66.629,180.214,241.833,131.968,232.785,139.178,215.383,231.047,202.9,359.369,190.881,188.388,90.164,90.524,272.86,85.933,318.469,151.98,166.324,336.654,132.754,128.389,199.097,387.579,187.596,202.695,232.625,152.65,150.152,254.84,84.229,221.363,169.732,132.173,161.272,191.729,114.195,124.812,32.474,85.792,205.819,115.086,89.733,50.016,61.886,237.791,87.162,68.79,203.482,157.482,176.778,215.383,154.679,332.017,209.554,286.88,147.88,44.301,301.991,232.582,34.428,209.554,87.151,93.215
"Dooly",278.811,248.477,168.534,113.082,330.761,327.249,286.068,170.983,220.684,121.411,90.702,57.482,94.135,185.63,241.148,227.891,238.135,216.251,324.227,286.028,296.79,292.836,376.634,254.392,290.144,228.828,422.004,273.472,247.484,153.84,379.316,181.251,27.014,185.796,157.479,295.736,117.86,253.828,239.128,14.346,432.412,80.331,219.383,219.383,71.874,0,300.224,131.645,160.934,192.423,273.372,281.501,173.392,295.736,363.623,197.061,244.593,118.936,282.504,213.828,339.358,227.896,292.114,123.131,154.762,249.513,257.445,297.284,293.564,178.281,190.581,152.058,311.454,60.451,171.769,224.14,91.277,153.702,310.206,142.528,304.072,228.139,277.845,336.278,34.331,249.238,111.108,66.728,191.441,289.386,234.053,157.936,104.284,90.051,199.877,121.451,233.25,315.635,150.386,157.479,217.287,220.846,304.849,117.29,351.106,137.004,113.082,137.307,36.647,264.597,62.764,310.206,214.446,158.061,328.391,206.556,74.512,160.902,379.316,115.544,308.275,224.362,106.157,243.711,179.534,33.13,228.773,173.794,60.121,113.224,220.845,212.041,80.368,103.312,107.156,155.344,82.423,189.155,120.854,139.895,204.557,47.69,103.268,131.43,134.313,101.472,220.846,199.334,323.754,241.52,278.617,75.828,118.622,293.728,217.536,61.298,241.52,138.857,45.195
"Dougherty",289.69,504.376,428.115,416.177,74.917,74.655,74.311,330.374,102.353,416.74,221.674,280.555,309.061,153.791,436.521,423.264,354.327,402.228,102.956,609.367,40.752,159.919,140.363,549.721,485.517,86.939,144.266,65.146,94.204,380.596,108.889,476.58,326.878,445.053,416.976,306.615,413.189,150.334,120.865,313.887,196.141,354.815,92.09,92.09,308.427,299.864,0,415.822,394.793,487.752,468.745,145.569,368.765,306.615,81.125,123.942,92.847,183.271,179.01,87.219,58.13,277.245,577.411,250.372,457.857,90.47,61.426,92.633,30.171,245.567,163.682,226.58,142.662,253.605,134.863,209.468,386.606,166.194,45.24,388.398,65.524,390.37,53.638,531.651,334.195,444.611,306.481,369.823,218.919,195.542,465.748,453.265,314.37,219.992,176.49,248.692,271.239,511.008,231.929,416.976,277.977,102.404,500.222,379.651,97.089,259.869,416.177,281.472,300.086,124.019,252.705,45.24,468.688,163.568,176.311,401.929,319.545,456.231,108.889,346.127,319.154,87.084,401.486,466.86,437.646,293.791,131.46,158.423,323.771,233.143,231.724,407.414,250.012,348.234,234.397,450.673,377.752,384.528,365.776,335.268,193.25,343.019,258.608,339.954,209.666,390.502,102.404,494.663,111.71,166.653,49.252,326.724,343.965,84.106,184.098,330.298,166.653,266.098,340.524
"Douglas",257.539,111.665,37.453,169.41,457.379,453.867,412.686,177.286,347.302,59.564,198.526,121.738,225.621,312.248,161.165,171.333,207.557,167.983,450.845,149.216,423.408,419.454,503.252,117.58,218.124,355.446,548.622,400.09,317.345,234.518,505.934,57.367,137.364,54.715,211.591,263.657,80.035,380.446,301.796,117.723,559.03,170.605,346.001,346.001,92.985,131.486,426.842,0,222.713,97.225,219.182,336.296,142.768,263.657,490.241,323.679,371.211,245.554,409.122,340.446,465.976,225.173,148.464,193.081,171.947,319.374,384.063,423.902,420.182,223.541,317.199,303.555,365.812,156.408,298.387,355.585,40.129,280.32,436.824,49.557,430.69,179.871,404.463,158.366,149.26,169.255,123.719,138.527,251.224,287.617,119.565,98.917,221.612,216.669,269.008,169.993,246.757,151.621,210.654,211.591,214.564,347.464,206.488,188.826,477.724,268.449,169.41,165.55,168.133,391.215,189.382,436.824,77.634,284.679,455.009,152.366,205.998,126.731,505.934,208.466,256.843,350.98,117.033,91.739,233.646,164.616,291.441,300.412,165.399,264.721,261.807,112.091,228.261,68.113,194.019,149.186,71.438,99.322,74.53,113.472,336.002,85.73,169.23,233.67,260.931,163.759,347.464,62.522,450.372,284.94,405.235,195.79,83.423,420.346,331.277,79.069,284.94,165.837,91.783
"Early",506.668,317.332,264.395,64.045,432.169,428.657,387.476,330.347,299.49,180.663,255.041,216.846,140.205,280.09,400.512,387.255,397.499,375.615,411.313,354.883,398.198,272.655,463.72,323.247,449.508,309.94,523.412,360.614,424.875,30.449,480.724,227.946,133.9,281.657,32.655,523.593,160.212,249.663,442.975,147.673,519.498,80.606,318.801,318.801,231.238,160.913,396.343,222.955,0,226.984,432.736,477.321,332.756,523.593,450.765,287.127,325.705,237.112,238.123,307.674,426.5,392.235,360.969,287.47,106.825,403.978,358.853,384.37,394.972,342.62,241.446,180.023,482.6,224.79,331.015,224.952,182.587,265.112,397.348,260.072,405.48,387.503,379.253,410.093,131.838,408.602,270.472,111.289,355.78,517.243,351.066,197.891,81.146,254.39,393.468,285.79,488.217,383.122,314.725,32.655,381.626,371.701,464.213,42.398,438.192,137.816,64.045,339.237,153.06,345.722,191.215,397.348,283.301,242.577,328.272,365.92,129.885,170.295,480.724,49.07,536.132,313.117,126.232,312.566,42.428,158.771,456.657,285.204,111.68,190.11,448.702,316.742,164.198,237.166,271.495,130.149,151.278,298.923,254.708,299.259,205.369,144.172,267.607,74.274,208.87,68.053,371.701,268.189,410.84,479.957,380.025,94.281,252.476,380.814,218.348,195.611,479.957,303.196,150.226
"Echols",354.276,148.377,128.895,165.545,518.415,514.903,473.722,274.023,408.338,71.409,278.356,240.161,286.657,373.284,246.351,261.118,304.294,264.72,511.881,177.616,484.444,480.49,564.288,141.528,296.065,416.482,609.658,461.126,435.138,250.873,566.97,54.952,198.4,142.025,196.15,360.394,77.467,441.482,426.782,178.759,620.066,213.299,407.037,407.037,189.545,192.522,487.878,97.17,227.648,0,321.665,469.155,239.505,360.394,551.277,384.715,432.247,306.59,411.191,401.482,527.012,321.733,192.014,310.785,122.497,437.167,445.099,484.938,481.218,365.935,378.235,364.591,499.108,248.105,359.423,398.02,115.494,341.356,497.86,146.294,491.726,276.608,465.499,241.138,210.296,254.441,220.279,199.563,379.095,384.354,182.111,29.498,264.047,277.705,387.531,309.105,343.494,214.167,338.04,196.15,311.124,408.5,292.977,205.181,538.76,310.884,165.545,262.11,229.169,452.251,250.418,497.86,114.346,345.715,516.045,256.382,267.034,57.312,566.97,247.605,353.58,412.016,117.12,143.611,195.441,225.652,416.427,361.448,226.435,325.757,408.499,210.427,289.297,164.673,294.81,98.225,112.506,196.059,171.267,210.209,378.437,146.766,290.922,272.809,321.967,202.898,408.5,99.234,511.408,429.174,466.271,256.826,179.983,481.382,391.416,196.033,429.174,262.397,152.819
"Effingham",186.957,173.053,167.523,389.787,380.468,361.319,344.958,139.944,389.008,277.794,250.365,215.844,372.553,353.954,44.375,58.629,118.49,93.464,492.551,181.068,465.114,461.16,544.958,217.169,44.053,397.152,392.035,441.796,313.662,427.291,401.252,266.643,300.465,171.844,434.184,166.884,298.265,422.152,290.404,287.497,600.736,353.782,387.707,387.707,210.553,273.451,468.548,218.416,438.186,321.378,0,281.117,125.292,166.884,531.947,365.385,412.917,287.26,450.828,382.152,507.682,182.606,149.112,244.92,431.467,328.138,425.769,465.608,461.888,215.502,358.905,386.953,310.633,250.863,340.093,417.436,269.836,322.026,478.53,169.595,347.143,86.977,446.169,103.352,307.782,41.68,171.336,343.433,243.185,222.759,113.562,323.086,377.735,256.605,296.071,221.832,189.297,82.709,258.229,434.184,182.93,340.425,72.162,404.299,519.43,411.066,389.787,205.68,291.923,432.921,268.021,478.53,176.552,326.385,496.715,79.389,329.788,350.9,401.252,388.995,153.815,392.686,375.096,152.082,456.239,285.628,283.146,329.793,333.572,348.119,224.424,93.877,327.51,192.685,245.858,391.813,301.145,119.812,192.656,137.815,397.852,297.715,221.069,404.881,330.395,378.177,340.425,222.905,492.078,234.731,446.941,349.279,177.375,462.052,392.643,244.981,234.731,213.412,314.134
