"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Lee",168.583,257.067,266.667,119.583,161.55,189.4,194.5,117.5,47.017,132.833,243.1,163.983,26.783,131.867,214.55,175.667,167.967,174.467,144.417,200.25,232.033,102.05,297.65,94.333,183.35,142.667,229.8,227.317,26.017,183.35,190.8,251.083,247.35,189.783,117.85,56.233,71.617,126.2,172.683,140.9,0,123.65,231.183,70.167,173.833,137.033,54.933,248.983,170.883,143.533,170.033,90.317,66.683,82.467,139.267,257.383,252,26.867,247.35,163.983,192.4,190.017,133.967,217.783,140.833,251.05,165.55,147.55,90.767,50.483,54.817,107.05,149.583,78.733,218.25,275.567,191.533,88.2,294.867,90.067,104.633,220.033
"Leflore",95.917,181.25,193.5,73.817,84.6,91.067,195.683,28.633,84.333,123.95,160.767,197.017,143.517,86.4,141.383,102.5,201,135.567,65.883,93.7,255.5,23.433,284.367,47.283,110.183,58.183,160.233,113.533,142.767,110.183,180.133,177.917,172.867,204.033,156.633,77.25,125.667,173.15,152.917,102,125.433,0,158.017,116.467,100.667,175.733,108.983,175.817,57.083,134.267,158.783,137.267,99.017,53.867,118.667,244.083,178.85,99.583,172.867,197.017,124.867,91.683,38.517,193.933,185.867,237.75,51.767,25.517,68.55,140.9,171.733,104.983,140.317,69.483,130.567,197.533,224.567,112.8,229.783,118.483,65.767,127.083
"Lincoln",77.067,73.25,49.983,129.35,94.783,188.733,82.9,135.067,193.7,142.383,66.317,132,250.283,224.35,26.25,72.917,132.317,88.75,98.733,118.233,143.467,144.867,134.517,167.583,55,107.45,77.7,117.817,249.517,55,99.833,44.5,39.6,91.25,164.083,197.55,245.967,138.867,97.783,111.033,229.3,157.917,0,202.433,66.75,131.85,229.283,31.35,142.15,127.2,103.633,178.517,181.05,174.167,132.15,132.05,35.317,219.883,39.6,132,65.867,192.833,180.8,93.883,137.383,125.717,154.567,160.633,188.85,261.2,275.617,225.65,123.483,165.267,88.517,63,121.933,156.867,77.233,173.867,185.083,90.317
"Lowndes",132.283,231.317,240.817,92.117,134.183,182.017,146.117,90.133,62.283,91.083,217.35,115.6,78.6,180.7,188.7,148.3,119.567,131.9,117.05,172.883,183.65,101.083,249.267,124.733,157.5,115.3,204.05,199.967,80.583,157.5,142.417,225.233,192.95,141.4,69.45,116.533,137.183,77.8,124.3,98.333,70.083,115.067,205.333,0,147.033,88.633,120.5,223.133,143.517,102.633,121.633,41.917,25.783,131.317,98.383,208.983,226.15,82.883,192.95,115.6,148.9,182.9,137.967,169.383,92.45,202.65,138.2,120.25,146,116.05,115.733,172.617,108.683,56.767,194.683,249.8,143.15,47.317,269.017,50.333,115.333,196.483
"Madison",17.483,94.25,103.85,72.55,37.65,142.283,106.017,77.933,136.567,89.517,80.267,117.867,193.15,169.567,51.733,15.133,121.85,58.1,41.6,75.083,165.85,87.733,194.7,110.45,20.517,50.317,66.983,85.45,192.383,20.517,91.833,88.25,83.217,114.383,122.05,140.417,188.833,108.217,67.117,53.6,172.167,100.783,68.35,146.417,0,101.2,172.15,86.167,85.017,92.083,72.983,134.367,125.05,117.033,74.7,154.433,89.183,162.75,83.217,117.867,35.217,143.167,123.667,104.267,106.717,148.1,108.133,103.5,131.717,204.067,218.483,168.517,93.683,108.133,55.417,112.733,145.05,100.867,132.05,117.85,127.95,57.217
"Marion",101.317,161.483,166.917,102.633,128.15,224.417,61.867,152,128.383,54.967,147.517,31.35,158.45,241.3,114.817,104.833,35.333,51.85,132.1,153.933,99.4,162.617,165.017,185.333,86.45,138.433,134.217,152.717,157.7,86.45,58.167,151.333,108.7,57.15,32.65,184.4,203.05,12.317,40.05,83.15,135.967,175.667,131.433,86.5,98.65,0,186.367,149.25,172.633,52.2,37.4,51.983,93.383,191.917,65.983,124.75,152.267,148.983,108.7,31.35,73.217,225.317,198.567,85.15,17,118.417,190.267,182.117,206.6,181.933,186.267,238.483,48.15,124.35,122.7,178.267,58.9,90.717,195.133,95.867,182.933,124.483
"Marshall",168.583,256.583,266.167,146.5,161.05,163.4,246.15,118.633,88.267,189.1,242.6,215.633,72.6,89.75,214.067,175.183,219.6,208.233,143.917,201.833,283.683,97.117,349.3,76.083,182.85,142.183,229.317,214.95,71.833,182.85,242.45,250.583,245.55,241.433,169.483,39.017,18.3,177.833,225.6,174.667,54.9,108.117,230.683,121.817,173.333,188.667,0,248.5,165.217,199.8,231.617,141.95,118.317,64.583,191.35,309.017,251.517,58.033,245.55,215.633,197.533,164.017,115.717,266.6,192.483,302.683,150.517,132.033,44.617,46.967,97.467,62.367,205.867,107.267,217.75,275.067,243.183,139.85,294.383,141.717,102.117,219.55
"Monroe",96.133,53.6,39.15,148.417,113.85,207.617,104.4,154.133,212.767,161.45,56.15,153.517,269.35,243.417,45.317,92,153.817,107.817,117.8,137.3,164.983,163.933,146.383,186.65,74.067,126.533,74.017,126.15,268.583,74.067,121.333,33.517,61.1,112.75,183.15,216.617,265.033,157.933,116.85,130.1,248.367,176.983,30.533,221.5,85.817,150.933,248.35,0,161.217,146.283,122.7,197.6,200.117,193.233,151.217,153.55,47.183,238.95,61.1,153.517,84.933,201.167,199.883,115.383,156.45,147.233,173.65,179.7,207.917,280.267,294.683,244.717,142.567,184.333,92.633,34.067,143.433,175.933,48.317,192.933,204.15,95.75
"Montgomery",79.483,157.183,177.067,76.367,60.533,101.217,179.25,57.533,135.067,120.133,136.683,193.2,191.65,118.583,124.95,86.067,197.183,131.15,42.983,64.717,239.067,80.667,267.933,104.5,93.75,35.283,136.167,84.533,190.883,93.75,165.05,161.483,156.433,187.6,154.267,134.467,182.883,182.617,142.317,97.567,170.683,57.217,141.583,144.683,84.233,171.917,166.2,159.383,0,130.45,148.183,157.55,127.233,111.083,114.85,227.65,162.417,156.817,156.433,193.2,108.433,102.1,77.5,177.5,182.067,221.317,65.567,52.517,125.783,198.133,217,137.167,136.517,106.65,106.483,173.467,220.75,123.533,205.717,140.533,123,103.017
"Neshoba",79.1,156.8,162.233,61.567,105.433,202.883,92.15,110.933,115.933,19.55,142.833,71.717,167.55,200.233,110.133,98.4,75.7,44.967,96.567,142.433,139.767,121.55,195.3,144.267,81.767,97.367,129.533,148.033,166.783,81.767,61.183,146.65,118.567,87.433,48.05,167.367,215.783,62.067,34.6,42.283,145.05,134.6,126.75,103.3,93.867,52.483,199.1,144.55,131.567,0,31.933,73.85,81.917,150.85,18.817,155.017,147.583,145.483,118.567,71.717,68.533,203.783,157.483,87.15,60.567,148.7,158.983,141.05,165.533,195.35,198.8,202.333,6.183,94.3,118.017,173.583,99.267,57.733,190.45,74.717,152.867,119.8
