"","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
"Silver Bow",57.367,228.2,270.383,72.683,206.767,165.983,115.467,155.1,230,495.833,361.233,31.517,337.233,257.75,220.45,97.533,348.183,220.583,198.917,73.9,297.7,41.583,195.017,164.533,102.6,231.867,94.783,88.783,408.7,125.533,139.55,94.717,260.583,100.4,280.433,329.95,180.583,336.517,31.517,331.117,126.883,464.15,446.5,276.767,250.433,66.55,0,235.333,225.967,155.1,199.333,249.4,399.233,54.45,381.7,191.683
"Stillwater",288.317,456.917,294.3,215.217,435.467,251.65,240.45,180.6,458.717,519.75,555.95,211.65,566.6,356.8,31.467,326.233,447.233,146.317,372.35,228.7,251.233,270.283,284.083,75.65,159.783,211.817,174.817,317.5,507.75,303.383,145.833,151.5,422.233,329.117,379.483,379.283,176.767,565.217,211.65,548.567,114.167,488.067,470.433,506.117,479.15,295.25,236.033,0,194.95,180.6,170.267,478.1,423.167,286.683,576.183,420.383
"Sweet Grass",277.317,349.933,156.967,170.717,351.667,125.867,114.65,86.117,351.733,382.417,430.483,221.367,440.8,231,199.217,275.483,321.45,52.817,246.55,252.117,90.867,223.1,158.283,244.1,244.8,74.483,161.5,281.867,384.8,197.667,281.733,236.9,296.433,271.35,253.7,241.95,50.967,458.233,221.367,422.783,275.517,350.733,333.083,380.317,372.167,263.6,225.033,192.95,0,86.117,32.783,371.117,285.817,226.283,450.717,309.083
"Teton",206.367,305.883,184.783,99.767,307.633,81.817,70.617,0,307.683,410.217,386.1,150.15,396.75,186.95,187.233,204.533,277.4,81.983,202.517,172.917,144.383,152.15,114.25,227.533,165.6,102.283,82.3,210.917,337.9,153.617,202.533,157.7,252.383,207.417,209.65,259.167,35.833,414.2,150.15,378.733,189.867,378.533,360.9,336.283,328.117,192.65,154.083,180.95,87.367,0,60.733,327.083,313.633,155.35,406.333,265.033
"Toole",252.35,324.967,123.8,145.767,326.7,100.9,89.683,61.167,326.767,349.25,397.317,196.4,405.217,202.833,176.05,250.517,296.483,26.133,221.6,227.167,89.517,198.133,133.333,220.933,219.833,41.317,136.55,256.9,351.65,172.7,256.767,211.95,271.467,246.4,228.733,208.783,26.017,433.283,196.4,395.517,244.1,317.567,299.933,355.35,347.2,238.633,200.083,169.783,32.5,61.167,0,346.15,252.667,201.333,417.55,284.117
"Treasure",290.167,54.1,278.55,271.483,123.183,292.9,295.95,325.233,20.883,254.017,120.567,273.533,96.583,184.35,462.483,208.667,138.967,364.383,124.217,315.917,401.917,221.383,215.183,406.567,344.633,336.067,327.45,253.733,153.667,208.833,381.567,336.733,95.1,157.15,155.433,230.9,324.383,131.25,273.533,90.467,368.9,285.9,210.867,36.117,9.783,261.1,249,477.35,369.767,325.233,343.15,0,231.533,202.15,141.033,64.5
"Valley",453.95,277.5,132.867,347.35,331.867,239.467,291.283,315.017,244.283,98.1,146.167,398,152.5,164.167,429.917,381.267,104.683,279.983,252.317,442.917,276.333,393.967,239.933,474.783,435.6,214.4,352.3,426.333,100.483,308.067,472.533,427.7,217.917,329.75,174.9,92.367,279.867,245.25,398,142.8,459.867,66.417,48.783,199.1,225.817,433.7,401.667,423.633,286.517,315.017,254,231.267,0,374.75,166.4,268.417
"Wheatland",93.65,181.9,270.233,72.533,160.45,165.833,115.317,154.95,183.7,448.367,314.933,77.017,290.933,211.433,265.967,51.217,301.883,220.433,152.617,119.4,297.55,24.867,171.65,210.05,148.117,231.717,128.5,66.95,362.383,74.283,185.05,140.233,214.283,54.1,234.133,283.65,180.433,290.217,77.017,284.817,172.383,439.483,405.217,230.467,204.133,64.583,52.483,280.833,225.817,154.95,199.183,203.083,374.567,0,335.4,145.367
"Wibaux",424.05,188,296.65,405.383,257.083,363.85,377.183,406.467,154.783,162.267,27.733,407.433,49.067,250.917,582.55,342.567,129.567,443.767,251.517,449.817,440.1,355.267,296.417,540.467,478.533,378.183,442.017,387.633,69.883,336.117,515.467,470.633,192.7,291.05,199.8,256.15,405.633,155.75,407.433,55.6,502.8,194.15,119.117,109.6,136.317,395,382.883,576.283,450.283,406.467,417.783,141.767,166.55,336.05,0,198.4
"Yellowstone",232.7,44.533,224.617,214.017,65.733,231.7,234.75,264.033,46.317,311,177.55,216.067,153.567,130.417,405.017,151.217,171.2,303.183,63.017,258.45,340.717,163.917,153.983,349.1,287.167,274.867,269.983,196.283,210.65,147.617,324.117,279.283,78.883,99.7,101.5,176.967,263.183,152.833,216.067,147.45,311.45,332.8,267.85,93.083,66.767,203.65,191.533,419.9,308.567,264.033,281.933,65.717,267.883,144.7,198.017,0
