"","Beaverhead","Big Horn","Blaine","Broadwater","Carbon","Carter","Cascade","Chouteau","Custer","Daniels","Dawson","Deer Lodge","Fallon","Fergus","Flathead","Gallatin","Garfield","Glacier","Golden Valley","Granite","Hill","Jefferson","Judith Basin","Lake","Lewis and Clark","Liberty","Lincoln","Madison","McCone","Meagher","Mineral","Missoula","Musselshell","Park","Petroleum","Phillips","Pondera","Powder River","Powell","Prairie","Ravalli","Richland","Roosevelt","Rosebud","Sanders","Sheridan","Silver Bow","Stillwater","Sweet Grass","Teton","Toole","Treasure","Valley","Wheatland","Wibaux","Yellowstone"
"Sanders",560.815,85.247,480.029,516.47,223.328,506.781,517.564,563.178,41.158,458.241,229.391,549.093,184.362,322.448,841.398,390.71,242.388,650.358,225.854,580.265,621.751,442.483,380.804,789.593,682.048,573.914,602.109,461.632,263.219,366.271,770.706,678.589,164.262,312.66,228.589,410.292,575.49,212.722,549.093,170.112,735.417,505.552,385.637,56.452,0,507.746,500.24,863.353,670.159,563.178,615.312,12.099,397.308,409.351,275.165,128.508
"Sheridan",83.397,456.32,524.062,172.454,386.787,350.058,265.286,326.439,466.884,962.174,733.324,149.187,688.295,462.825,441.492,150.352,621.789,473.022,370.295,180.359,505.257,67.814,370.064,389.687,282.142,457.42,258.393,30.959,728.294,217.24,370.8,278.683,471.549,194.247,500.878,591.24,398.154,649.703,149.187,674.045,335.511,850.782,889.57,560.385,507.692,0,100.334,463.447,492.823,326.439,437.976,503.237,741.712,102.642,779.098,380.496
"Silver Bow",114.169,448.931,477.102,125.494,379.398,303.098,218.326,279.479,459.495,852.91,725.935,52.26,680.906,455.436,344.565,165.71,614.4,426.062,362.906,83.432,458.297,62.108,356.288,292.76,185.215,410.46,161.466,131.086,720.905,209.851,273.873,181.756,464.16,186.858,493.489,583.851,351.194,642.314,52.26,666.656,238.584,805.599,775.106,552.996,500.303,100.127,0,366.52,445.863,279.479,391.016,495.848,696.529,95.253,771.709,373.107
"Stillwater",480.967,812.141,453.204,327.696,742.608,403.41,399.27,274.464,822.705,829.012,927.301,315.384,951.174,583.23,30.692,528.92,742.194,215.639,616.862,344.003,339.392,425.318,463.401,104.391,220.893,321.904,257.253,494.296,848.699,454.804,222.574,217.223,693.704,550.068,621.283,598.225,268.197,1005.524,315.384,905.114,158.732,781.701,751.208,839.001,863.513,463.337,369.346,0,291.055,274.464,253.344,859.058,672.631,435.078,972.526,736.317
"Sweet Grass",556.44,619.408,256.575,333.459,607.2,231.271,227.131,146.564,629.972,632.383,716.378,409.609,779.035,411.091,294.533,502.201,570.055,77.222,444.723,405.873,109.915,430.257,291.262,354.277,413.418,125.275,286.129,517.7,640.239,350.776,502.076,409.959,521.565,466.602,449.144,401.596,96.058,812.791,409.609,732.975,402.439,585.072,554.579,666.862,670.78,492.296,444.819,290.33,0,146.564,58.136,666.325,476.002,428.467,761.603,544.465
"Teton",390.546,512.849,292.223,167.565,500.641,124.712,120.572,0,523.413,668.031,648.603,241.403,672.476,304.532,278.761,336.307,463.496,127.409,338.164,252.224,195.566,264.363,184.703,367.314,259.769,160.923,132.48,351.806,570.001,244.217,348.427,256.31,415.006,357.455,342.585,432.947,50.506,706.232,241.403,626.416,313.138,620.72,590.227,560.303,564.221,326.402,278.925,274.558,147.21,0,92.363,559.766,511.65,262.573,693.828,437.906
"Toole",502.624,565.592,199.873,279.643,553.384,177.455,173.315,92.748,576.156,575.681,659.676,355.793,662.784,332.558,257.563,448.385,516.239,38.034,390.907,352.057,105.574,376.441,237.446,317.307,359.602,68.573,232.313,463.884,583.537,296.96,448.26,356.143,467.749,412.786,395.328,344.894,42.242,758.975,355.793,646.964,412.971,528.37,497.877,613.046,616.964,438.48,391.003,253.36,57.218,92.748,0,612.509,419.3,374.651,704.901,490.649
"Treasure",556.427,80.859,475.641,512.082,218.94,502.393,513.176,558.79,36.77,466.873,238.023,544.705,192.994,318.06,837.01,386.322,251.02,645.97,221.466,575.877,617.363,438.095,376.416,785.205,677.66,569.526,597.721,457.244,271.851,361.883,766.318,674.201,117.514,308.272,263.211,405.904,571.102,221.354,544.705,178.744,731.029,514.184,394.269,65.084,12.391,503.358,495.852,858.965,665.771,558.79,610.924,0,405.94,404.963,283.797,124.12
"Valley",807.882,478.904,220.087,584.901,546.226,393.808,478.573,512.053,434.815,156.768,240.763,661.051,243.484,278.905,676.868,624.77,179.659,457.339,428.73,695.83,396.775,676.543,400.255,736.612,703.375,350.935,576.086,695.692,164.624,511.853,792.033,699.916,341.354,546.72,301.871,150.49,461.547,412.942,661.051,227.664,756.744,109.457,78.964,341.221,396.97,741.806,696.261,672.665,476.51,512.053,419.291,405.756,0,643.411,285.988,445.168
"Wheatland",155.672,358.331,460.103,108.495,288.798,286.099,201.327,262.48,368.895,864.185,635.335,143.95,590.306,364.836,436.255,75.11,523.8,409.063,272.306,175.122,441.298,37.34,268.798,384.45,276.905,393.461,194.134,98.529,630.305,115.974,365.563,273.446,373.56,96.258,402.889,493.251,334.195,551.714,143.95,576.056,330.274,752.793,791.581,462.396,409.703,102.603,95.097,458.21,428.864,262.48,374.017,405.248,643.723,0,681.109,282.507
"Wibaux",832.697,357.129,505.884,788.352,495.21,619.58,648.054,693.668,313.04,280.202,46.151,820.975,92.873,443.188,976.733,662.592,230.482,743.136,465.429,852.147,682.572,714.365,511.294,1061.475,953.93,636.732,751.607,733.514,123.978,605.846,1042.588,950.471,366.613,584.542,352.694,436.287,705.98,291.167,820.975,107,1007.299,327.513,207.598,219.446,275.195,779.628,772.122,972.53,762.307,693.668,705.088,283.981,286.201,681.233,0,400.39
"Yellowstone",436.529,77.452,364.641,392.184,99.042,380.763,391.546,437.16,88.016,583.306,354.456,424.807,309.427,207.06,717.112,266.424,274.423,524.34,99.836,455.979,495.733,318.197,254.786,665.307,557.762,447.896,477.823,337.346,388.284,240.253,646.42,554.303,117.919,188.374,152.211,294.904,449.472,270.835,424.807,295.177,611.131,554.446,510.702,181.517,128.824,383.46,375.954,739.067,544.141,437.16,489.294,124.369,445.376,285.065,400.23,0
