"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Lee",120.246,353.062,358.011,340.939,383.321,642.204,186.443,489.645,257.697,198.708,601.149,85.645,477.287,291.825,186.506,406.906,682.828,229.885,136.198,333.951,535.452,269.384,42.597,439.764,522.216,234.103,622.036,317.436,248.625,472.253,298.773,168.103,101.078,281.389,0,379.675,172.774,307.484,12.979,411.852,52.529,355.037,677.615,361.491,222.371,336.972,473.598,202.22,342.335,575.389,301.775,381.469,398.351,197.213,384.518,431.953,384.913,207.799,485.919,256.124,149.519,132.476,287.209,257.224,126.304,514.097,237.418
"Leon",265.659,725.058,177.851,66.196,224.206,390.114,558.439,121.746,156.24,313.977,233.25,307.911,109.388,95.243,400.658,778.902,414.204,556.823,508.194,146.838,220.036,641.38,355.923,80.866,206.91,164.375,408.986,83.431,620.621,217.53,211.331,384.312,473.074,180.523,380.701,0,241.752,679.48,392.116,34.726,350.546,47.608,415.154,60.614,441.126,708.968,198.088,574.216,51.501,321.55,81.189,83.339,97.474,280.897,756.514,64.054,75.834,357.14,231.196,128.385,320.428,357.659,659.205,245.348,451.75,260.258,609.414
"Levy",51.07,517.514,219.175,202.103,257.75,503.368,285.411,350.809,84.018,126.673,462.313,82.06,338.451,152.989,172.987,571.358,543.992,305.237,300.65,195.115,396.616,335.894,148.379,300.928,383.38,76.343,483.2,178.6,413.077,333.417,163.099,154.584,208.97,142.553,173.157,240.839,0,471.936,184.572,273.016,143.002,216.201,538.779,222.655,208.852,501.424,334.762,295.578,203.499,436.553,162.939,215.192,259.515,109.575,548.97,293.117,246.077,146.151,347.083,117.288,79.91,150.115,451.661,121.55,200.164,375.261,401.87
"Liberty",419.205,61.769,656.97,639.898,682.28,941.163,151.742,788.604,556.656,497.667,900.108,384.604,776.246,590.784,485.465,119.669,981.787,211.581,175.301,632.91,834.411,174.041,341.32,738.723,821.175,533.062,920.995,616.395,66.64,771.212,597.732,467.062,218.882,580.348,308.224,678.634,471.733,0,293.868,710.811,351.488,653.996,976.574,660.45,521.33,49.735,772.557,181.51,641.294,874.348,600.734,680.428,697.31,496.172,97.281,730.912,683.872,506.758,784.878,555.083,423.801,431.435,23.193,556.183,230.846,813.056,80.556
"Madison",131.471,338.996,369.236,352.164,394.546,653.429,172.377,500.87,268.922,209.933,612.374,96.87,488.512,303.05,197.731,392.84,694.053,215.819,122.132,345.176,546.677,255.318,47.453,450.989,533.441,245.328,633.261,328.661,234.559,483.478,309.998,179.328,87.012,292.614,12.614,390.9,183.999,293.418,0,423.077,52.915,366.262,688.84,372.716,233.596,322.906,484.823,188.154,353.56,586.614,313,392.694,409.576,208.438,370.452,443.178,396.138,219.024,497.144,267.349,158.692,143.701,273.143,268.449,112.238,525.322,223.352
"Manatee",293.9,753.299,206.092,84.253,252.447,359.37,586.68,91.002,184.481,342.218,202.506,336.152,78.644,123.484,428.899,807.143,383.46,541.446,536.435,175.079,189.292,669.621,384.164,82.882,176.166,192.616,378.242,111.672,648.862,246.311,239.572,412.553,501.315,208.764,408.942,34.376,269.993,707.721,420.357,0,378.787,75.849,384.41,88.855,469.367,737.209,182.436,602.457,79.742,285.146,109.43,75.377,125.715,309.138,784.755,20.128,63.605,385.381,240.968,156.626,316.119,385.9,687.446,273.589,436.373,250.428,637.655
"Marion",89.251,396.595,327.016,309.944,352.423,611.209,229.976,458.65,226.702,167.81,570.154,54.65,446.292,260.83,155.608,450.439,651.833,273.418,179.731,302.956,504.457,312.917,10.779,408.769,491.221,203.108,591.041,286.441,292.158,441.258,267.778,137.205,144.611,250.394,52.238,348.68,141.779,351.017,63.653,380.857,0,324.042,646.62,330.496,191.473,380.505,442.603,245.753,311.34,544.394,270.78,350.474,367.356,166.315,428.051,400.958,353.918,176.901,454.924,225.129,136.723,101.578,330.742,226.229,169.837,483.102,280.951
"Martin",237.436,696.835,135.298,47.53,181.653,419.491,530.216,157.275,128.017,285.754,268.779,279.688,144.917,67.02,358.105,750.679,449.733,528.6,479.971,104.285,223.878,613.157,327.7,85.955,242.439,136.152,399.323,47.319,592.398,207.484,168.778,341.759,444.851,129.903,352.478,47.305,213.529,651.257,363.893,79.482,322.323,0,450.683,18.061,398.573,680.745,207.598,545.993,32.835,352.676,52.966,64.673,54.921,252.674,728.291,99.583,68.117,314.587,221.15,100.162,292.205,329.436,630.982,202.795,423.527,291.384,581.191
"Miami-Dade",563.279,1022.678,334.794,468.507,348.661,44.866,856.059,297.899,472.524,531.772,200.304,605.531,324.337,498.375,571.001,1076.522,10.703,854.443,805.814,348.443,176.75,939,653.543,307.381,202.632,480.659,63.729,454.946,918.241,222.531,428.387,554.655,770.694,428.808,678.321,413.892,539.372,977.1,689.736,385.262,648.166,450.74,0,404.935,611.469,1006.588,206.737,871.836,454.633,114.146,484.321,459.631,360.494,499.482,1054.134,370.548,447.859,527.483,210.34,450.428,618.048,627.129,956.825,463.329,749.37,193.119,907.034
"Monroe",245.567,704.966,123.686,53.542,170.041,407.879,538.347,170.53,136.148,307.264,282.034,287.819,123.696,75.151,346.493,758.81,448.503,536.731,488.102,92.673,212.266,621.288,335.831,84.722,209.138,144.283,387.711,29.545,600.529,195.872,157.166,330.147,452.982,118.291,360.609,60.56,221.66,659.388,372.024,92.737,330.454,18.025,443.29,0,386.961,688.876,195.986,554.124,38.847,341.064,61.097,70.685,43.309,249.286,736.422,112.838,74.129,302.975,209.538,72.448,300.336,337.567,639.113,191.183,431.658,279.772,589.322
