"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"Richland",69.733,172.233,115.417,76.15,127.983,159.233,225.267,240.567,245.867,138.45,192,165.65,57.617,229.8,197.367,202.15,99.567,293.7,142.067,88.917,22.383,142.85,29.65,119.067,137,115.517,91.5,51.133,73.683,33.167,226.2,126.3,264.433,252.033,170.55,119.617,224.333,138.65,127.533,129.6,195.383,0,193.033,148.833,102.067,162.633,106.55,116.783,93.45,48.317,22.383,152.3,159.75,265.5,77.583,99.2,49.167,218.133,76.317,250.367,99.15,284.717,132.3,170.7
"Sabine",243.067,33.033,214.983,245.55,110.133,70.867,100.333,105.017,110.317,82.033,135.033,181.167,171.7,150.083,158.5,46.183,187.683,229.1,214.267,155.817,195.717,95.133,173.65,257.9,199.45,254.35,150.933,146.8,247.017,174.067,129.15,214.417,201.917,184.667,39.25,258.45,153,276.45,176.067,65.4,59.6,192.217,0,287.683,254.467,239.183,232.867,237.3,105.067,168.367,195.717,248.517,255.433,212.183,250.917,220.833,177.683,127.25,120.2,114.6,186.7,220.1,193.15,78.783
"St. Bernard",102.717,268.383,87.117,114.2,205.783,255.033,321.417,336.733,342.017,234.6,287.867,261.467,155.983,288.383,202.767,298.317,105.583,275.767,136.667,184.733,139.083,238.667,160.017,37.567,142.4,46.683,187.317,155.983,96.367,163.533,311.35,98.55,241.95,304.767,266.7,39.367,282.917,29,141.533,225.75,291.55,150.233,289.183,0,63.733,111.683,98.933,66.1,189.6,170.117,139.083,76.517,106.533,274.617,95.183,91.967,179.533,314.283,172.467,346.533,108.083,292.233,137.7,266.85
"St. Charles",54.9,235.433,53.65,64.733,172.85,222.1,288.467,303.783,309.083,201.65,254.933,228.517,123.033,255.117,169.833,265.367,72.65,242.5,103.4,151.783,91.267,205.717,112.2,32.017,109.467,28.467,154.367,123.05,48.533,115.717,278.083,65.283,208.683,271.5,233.75,32.567,249.65,50.567,108.583,192.817,258.6,102.4,256.233,61.8,0,78.417,44.6,29.75,156.65,130.867,91.267,65.25,73.267,241.35,47.367,55.267,131.717,281.333,139.533,313.583,75.133,258.967,104.75,233.9
"St. Helena",117.333,219.183,77.133,107.467,129.25,210.333,253.4,287.517,292.817,189.917,190.6,216.767,111.283,198.933,105.517,249.1,60.9,186.317,24.967,140.033,152.35,193.967,138.15,79.067,42.117,75.517,142.617,111.283,109.633,138.55,221.9,38.817,152.483,215.317,217.5,79.617,193.467,97.617,64.983,176.55,242.333,156.7,239.983,108.833,77,0,97.283,59.933,144.917,125.417,152.35,56.05,16.233,185.167,108.45,85.25,141.717,231.433,127.783,255.167,63.383,202.783,59.067,213.367
"St. James",52.25,212.383,33.05,35.583,149.783,199.033,265.417,280.733,286.017,178.6,231.867,205.467,99.983,255.383,146.783,242.317,49.583,262.75,91.483,128.733,97.85,182.667,118.783,67.217,86.417,63.667,131.317,99.983,52.05,122.3,266.367,66.817,228.917,270.633,210.7,67.767,249.917,85.767,85.533,169.767,235.55,108.983,233.183,96.983,44.25,103.517,0,48.483,133.6,114.117,97.85,95.75,94.833,245.167,78.05,16.817,130.417,258.283,116.467,290.533,52.083,271.867,81.7,210.85
"St. John the Baptist",66.767,217.7,36.433,63.517,155.1,204.35,270.733,286.033,291.333,183.917,237.183,210.783,105.3,238.7,152.083,247.617,54.9,226.083,86.983,134.05,104.667,187.983,125.6,33.533,91.717,29.983,136.633,105.3,61.95,129.117,261.667,48.867,192.267,255.083,216.017,34.1,233.233,52.1,90.833,175.067,240.85,115.817,238.5,63.317,29.317,62,50.717,0,138.917,119.433,104.667,57.767,56.867,224.933,60.783,41.283,135.733,263.6,121.783,295.85,57.4,242.55,87.017,216.167
"St. Landry",143.367,84.733,115.283,145.85,39.883,87.883,137.767,153.083,158.367,50.95,104.5,148.067,72,142.3,118.9,114.667,87.983,206.217,122.633,76.867,96.017,62.533,73.967,158.2,107.4,154.65,83.6,47.1,147.317,74.367,138.717,114.717,176.933,164.533,83.05,158.75,136.833,176.75,84.033,42.1,107.9,92.517,105.533,187.983,154.767,146.617,133.183,137.6,0,68.667,96.017,148.817,148.183,178.017,151.217,121.15,77.983,130.633,20.517,162.883,87.017,197.217,101.117,83.2
"St. Martin",98.817,147.45,95.367,105.233,103.2,134.45,200.483,215.783,221.083,113.667,167.217,140.883,16.183,205.017,165.867,177.367,68.067,268.933,110.567,64.15,51.483,118.083,18.3,138.283,105.5,134.733,66.717,26.367,102.783,28.85,201.433,94.8,239.65,227.25,145.767,138.833,199.55,156.833,96.033,104.817,170.6,47.967,168.25,168.05,131.167,131.133,113.25,117.683,68.667,0,51.483,128.9,128.25,240.717,106.667,101.217,43.267,193.35,51.533,225.6,67.667,259.933,100.8,145.917
"St. Mary",58.55,175.267,104.233,64.967,131.017,162.267,228.3,243.6,248.9,141.483,195.033,168.7,60.65,232.833,200.4,205.183,102.6,296.75,145.1,91.967,0,145.9,32.683,107.867,140.033,104.317,94.55,54.183,62.5,36.2,229.25,129.333,267.467,255.067,173.583,108.433,227.367,127.467,130.567,132.633,198.417,22.883,196.067,137.65,90.883,154.267,95.367,105.6,96.483,51.35,0,141.117,149.133,268.55,66.4,88,52.2,221.167,79.35,253.417,102.2,287.75,135.333,173.733
