"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"Caldwell",244.183,111.25,209.733,237.817,107.383,157.9,90.833,129.35,140.95,108.133,0,228.583,172.833,42.4,82.083,141.183,181.75,106.317,166.767,171.483,196.85,141.233,174.783,252.65,153.817,249.1,172.467,147.917,248.15,175.183,65.367,209.183,79.133,64.633,98.633,253.217,36.933,271.2,164.233,80.633,115.85,193.333,133.583,282.433,249.217,186.15,227.633,232.05,106.183,169.5,196.85,233.867,189.117,81.75,252.033,215.6,178.817,55.533,121.333,98.65,185.433,97.317,149.367,57.017
"Cameron",215.1,208.15,186.65,215.717,186.867,110.983,259.2,276.5,281.783,148.25,225.933,0,143.367,263.733,240.333,222.733,159.35,327.65,201.85,91,167.75,120.517,145.683,229.567,196.783,226.017,86.117,118.833,219.05,146.583,260.15,186.083,298.367,285.983,205.9,230.117,258.283,248.117,187.317,163.55,231.317,164.25,180.417,259.333,226.117,222.417,204.533,208.967,147.1,140.4,167.75,220.183,219.533,299.45,222.95,192.5,128.4,252.067,136.567,286.3,158.95,318.667,192.083,204.633
"Catahoula",109.4,152.6,82.033,111.1,108.35,139.25,205.633,220.933,226.233,118.817,172.367,145.683,0,210.167,152.533,182.517,54.733,269.133,97.233,68.95,62.05,122.883,34.967,124.95,92.167,121.4,71.533,40.2,113.35,45.5,206.567,81.467,235.317,232.4,150.917,125.5,204.7,143.5,82.7,109.967,175.75,58.55,173.4,154.717,121.5,117.8,99.917,104.35,73.817,16.65,62.05,115.567,114.917,245.867,117.25,87.883,59.933,198.5,56.683,230.733,54.333,265.083,87.467,151.067
"Claiborne",281.667,127,235.383,263.45,144.85,195.367,58.483,90.95,102.55,145.617,43.233,266.05,210.3,0,107.717,116.1,207.383,84.683,192.417,208.967,234.317,178.7,212.25,255.35,179.467,251.8,209.933,185.4,288.367,212.65,26.967,222.5,57.5,40.25,114.367,255.9,8.6,273.9,189.867,118.117,100.417,230.817,149.317,285.117,253.283,195.733,253.267,236.217,143.65,206.967,234.317,232.333,187.583,65.8,284.733,241.233,216.283,36.517,158.8,60.25,211.083,75.683,175,72.75
"Concordia",180.833,139.817,127.65,155.733,94.233,174.95,163.383,195.55,207.15,125.183,85.083,243.083,151.25,108.6,0,169.75,99.65,115.967,84.683,181.083,200.8,155.733,178.733,170.567,71.733,167.017,183.667,151.867,180.65,179.133,131.567,127.083,82.133,123.85,138.133,171.117,103.133,189.117,82.15,97.2,162.983,197.283,160.617,200.35,167.133,104.067,145.55,149.967,120.683,165.383,200.8,151.783,107.033,98.383,199.967,133.5,182.767,134.85,124.467,164.85,103.35,125.083,67.283,110.817
"De Soto",251.633,32.333,223.55,254.117,118.7,114.667,79.8,61.667,66.95,105.183,141.783,224.967,180.267,117.95,167.067,0,196.25,196.95,222.817,178.933,204.283,138.933,182.217,266.467,208,262.917,181.55,155.367,255.583,182.617,95.4,222.983,169.767,152.517,49.183,267.017,120.867,285.017,184.633,73.967,33.05,200.783,47.9,296.233,263.017,247.75,241.433,245.867,113.617,176.933,204.283,257.083,264,178.067,259.483,229.4,186.25,116.733,128.767,68.267,195.267,187.967,201.717,85.533
"East Baton Rouge",84.467,165.733,31.283,59.367,107.133,152.383,218.767,234.083,239.367,131.95,186.167,158.817,53.333,209.667,101.067,195.667,0,217.033,45.767,82.083,102.267,136.017,80.2,74.2,40.7,70.65,84.667,53.333,84.267,80.6,219.717,30.717,183.217,224.933,164.05,74.75,204.217,92.75,39.817,123.1,188.9,98.75,186.533,103.983,70.75,67.05,49.167,53.6,86.95,67.467,102.267,64.817,64.167,199.467,103.6,37.133,83.767,211.633,69.817,243.883,5.433,226.15,36,164.2
"East Carroll",280.467,207,243.717,271.8,185.183,260.883,138.5,170.967,182.567,211.117,108.75,331.567,268.983,84.017,116.067,196.117,215.717,0,188.067,274.467,299.833,244.217,277.767,242.183,187.8,238.633,275.45,250.9,272.75,278.167,106.983,209.35,34.633,61.667,194.383,242.75,78.55,260.733,198.217,183.617,180.433,296.317,229.333,271.967,240.133,182.583,261.617,223.067,209.167,272.483,299.833,219.167,174.417,70.6,271.583,249.583,281.8,116.517,224.317,140.267,219.417,19.717,183.35,152.767
"East Feliciana",126.633,194.2,73.45,101.517,104.267,196.1,242.95,262.533,267.833,166.15,170.2,202.533,97.05,193.717,85.1,224.117,45.45,186.35,0,125.8,145.967,182.517,123.917,103.983,17.133,100.433,128.383,97.05,126.433,124.317,216.683,53.85,152.517,208.967,192.517,104.533,188.25,122.533,40,151.567,217.35,142.467,215,133.767,101.917,24.917,91.333,84.867,121.15,111.167,145.967,80.967,41.167,183.5,133.383,79.3,127.467,219.967,104.033,249.967,49.15,202.817,34.083,188.383
"Evangeline",140.033,150.617,111.583,140.667,113.183,84.517,203.65,218.967,224.267,96.3,170.383,90.95,68.317,208.183,182.1,180.55,84.3,272.1,126.8,0,92.7,68.15,70.633,154.5,121.733,150.95,15.833,43.783,144,71.033,204.6,111.033,242.817,230.433,148.933,155.067,202.733,173.067,112.267,108,173.783,89.2,153.95,184.283,151.067,147.367,129.483,133.9,75.633,65.35,92.7,145.133,144.483,243.9,147.9,117.45,62.167,196.517,61.517,228.767,83.9,263.117,117.033,149.083
"Franklin",58.55,175.267,104.233,64.967,131.017,162.267,228.3,243.6,248.9,141.483,195.033,168.7,60.65,232.833,200.4,205.183,102.6,296.75,145.1,91.967,0,145.9,32.683,107.867,140.033,104.317,94.55,54.183,62.5,36.2,229.25,129.333,267.467,255.067,173.583,108.433,227.367,127.467,130.567,132.633,198.417,22.883,196.067,137.65,90.883,154.267,95.367,105.6,96.483,51.35,0,141.117,149.133,268.55,66.4,88,52.2,221.167,79.35,253.417,102.2,287.75,135.333,173.733
"Grant",193.617,108.167,165.167,194.25,101.15,31.083,168.533,176.517,181.817,40.317,138.633,119.683,121.9,176.433,153.017,137.033,137.883,240.333,180.383,69.533,146.283,0,124.217,208.083,169.4,204.533,63.333,97.35,197.583,124.617,172.833,164.617,211.067,198.667,106.483,208.65,170.967,226.633,146.017,70.083,131.333,142.767,94.717,237.867,204.65,200.95,183.067,187.483,61.383,118.933,146.283,198.717,198.067,212.133,201.467,171.033,115.75,164.767,81.767,186.317,137.467,231.35,163.1,117.333
"Iberia",80.5,154.117,108.75,86.917,109.867,141.117,207.15,222.45,227.75,120.333,173.883,147.55,34.85,211.683,179.25,184.033,81.45,275.6,123.95,70.817,33.167,124.75,0,129.833,118.883,126.283,73.4,33.033,84.467,15.017,208.1,108.183,246.317,233.917,152.433,130.383,206.217,149.433,109.417,111.483,177.267,29.667,174.917,159.617,112.85,144.517,117.333,127.567,75.333,18.667,33.167,142.283,141.633,247.4,88.367,109.967,31.033,200.017,58.2,232.267,81.05,266.6,114.183,152.583
"Iberville",72.8,238.467,57.2,84.283,175.867,225.117,291.5,306.817,312.1,204.683,257.95,231.55,126.067,258.467,172.85,268.4,75.667,245.85,106.75,154.817,109.167,208.75,130.1,0,112.483,16,157.4,126.067,66.45,133.617,281.433,68.633,212.033,274.85,236.783,5.3,253,27.333,111.617,195.833,261.633,120.317,259.267,35.283,33.817,81.767,69.017,36.183,159.683,140.2,109.167,52.267,76.617,244.7,65.267,62.05,149.617,284.367,142.55,316.617,78.167,262.317,107.783,236.933
"Jackson",121.867,179.5,68.667,96.75,89.567,188.267,228.25,247.833,253.133,150.017,157.2,197.767,92.267,180.717,72.1,209.417,40.667,191.45,17.067,121.033,141.2,166.367,119.133,111.583,0,108.033,123.6,92.283,121.667,119.533,203.683,68.1,157.633,195.967,177.817,112.133,175.25,130.133,25.3,136.867,202.65,137.7,200.3,141.367,108.15,42,86.567,90.983,105.017,106.4,141.2,98.05,58.25,170.5,140.983,74.533,122.7,206.967,87.883,236.95,44.367,197.2,16.933,173.683
"Jefferson",68.7,234.367,53.083,80.167,171.767,221.017,287.4,302.7,308,200.583,253.85,227.45,121.95,254.367,168.75,264.283,71.567,241.75,102.633,150.717,105.067,204.65,126,13.683,108.383,0,153.3,121.967,62.333,129.517,277.333,64.517,207.917,270.75,232.683,14.233,248.9,32.233,107.5,191.733,257.517,116.2,255.167,44,29.717,77.65,64.9,32.083,155.567,136.083,105.067,46.95,72.517,240.6,61.167,57.95,145.517,280.25,138.45,312.5,74.05,258.217,103.683,232.817
"Jefferson Davis",141.1,149.25,112.65,141.733,114.25,80.55,202.283,217.583,222.883,91.317,169.017,86.983,69.383,206.817,183.4,179.167,85.367,270.733,127.867,15.717,93.767,63.167,71.7,155.567,122.8,152.017,0,44.833,145.067,72.1,203.233,112.1,241.45,229.05,147.567,156.133,201.35,174.117,113.333,106.617,172.4,90.25,150,185.35,152.133,148.433,130.55,134.967,82.65,66.417,93.767,146.2,145.55,242.517,148.95,118.517,57.183,195.15,62.583,227.4,84.95,261.733,118.1,147.717
"Lafayette",101.433,127.717,82.35,111.417,83.467,113.517,180.75,196.05,201.35,93.933,147.483,119.95,39.067,185.283,152.85,157.633,55.05,249.2,97.55,43.217,54.083,97.15,32.033,125.267,92.483,121.717,45.8,0,105.383,32.433,181.7,81.783,219.917,207.517,126.033,125.817,179.817,143.817,83.017,85.083,150.867,50.583,148.517,155.033,121.817,118.117,100.233,104.667,48.933,26.733,54.083,115.883,115.233,221,109.283,88.2,37.333,173.617,31.8,205.867,54.65,240.2,87.783,126.183
"Lafourche",7.25,227.517,67.333,32.017,183.267,214.5,280.55,295.85,301.15,193.733,247.283,220.933,112.9,285.083,183.5,257.433,86.317,277.3,128.2,144.2,63.983,198.133,84.917,66.817,123.133,63.267,146.783,106.417,0,88.433,281.483,101.217,243.483,307.367,225.833,67.383,279.617,86.417,122.267,184.883,250.667,75.133,248.317,96.6,49.833,113.217,51.7,63.733,148.717,103.6,63.983,100.067,108.083,281.9,32.5,57.167,104.45,273.4,131.6,305.65,88.817,293.783,118.433,225.967
"LaSalle",83.9,154.15,108.767,90.317,109.9,141.133,207.183,222.483,227.783,120.367,173.917,146.7,44.967,211.717,179.283,184.067,81.483,275.617,123.983,70.833,36.55,124.767,15.6,133.233,118.917,129.683,75.617,33.05,87.85,0,208.117,108.2,246.35,233.95,152.467,133.783,206.25,152.817,109.45,111.517,177.3,33.05,174.95,163,116.233,144.55,120.717,130.95,75.35,28.767,36.55,142.3,141.667,247.417,91.75,113.367,21.333,200.033,58.233,232.283,81.067,266.633,114.217,152.6
"Lincoln",275.95,104.95,247.883,278.45,139.15,185.067,39.667,71.467,83.067,141.183,64.6,260.35,204.6,27.033,129.083,96.617,220.583,106.05,213.783,203.267,228.617,173,206.55,276.7,200.833,273.15,204.233,179.7,279.917,206.95,0,243.867,78.867,61.617,92.317,277.267,29.967,295.267,205.083,113.683,81.95,225.117,127.267,306.483,274.65,217.1,265.767,257.583,137.95,201.267,228.617,253.7,208.933,87.167,283.817,253.733,210.583,21.85,153.1,40.767,219.6,97.05,196.367,56.95
