"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"Natchitoches",385.564,26.268,350.889,356.665,136.406,117.687,79.104,143.887,169.099,105.526,123.308,271.985,266.744,144.368,201.459,77.533,309.683,269.794,275.652,226.793,303.462,151.126,260.898,439.247,253.085,430.941,224.334,229.53,390.352,266.686,114.357,356.33,241.215,193.692,0,437.92,151.435,453.663,223.655,72.305,48.613,298.23,45.649,462.181,417.63,310.9,379.16,396.186,151.974,254.032,303.462,416.397,331.987,211.838,392.483,365.71,264.15,113.655,183.704,117.15,284.606,257.993,245.683,53.641
"Orleans",98.211,453.407,91.121,124.678,272.174,397.09,498.611,571.026,596.238,356.487,389.438,389.09,209.016,462.104,277.234,504.672,129.832,414.882,176.175,270.671,171.146,354.466,214.806,1.13,183.368,10.494,277.449,217.646,91.918,222.317,504.646,116.272,368.547,464.711,436.529,0,453.216,16.744,186.862,365.121,486.484,195.661,472.785,25.44,43.677,140.927,96.57,46.288,290.668,223.305,171.146,69.788,134.485,410.164,91.924,97.159,240.065,490.63,254.43,555.021,132.91,443.305,179.015,426.718
"Ouachita",451.861,171.203,341.117,383.457,195.399,265.894,96.951,171.959,199.799,195.026,52.207,378.913,333.041,9.13,150.764,214.924,299.829,119.28,267.804,293.09,369.759,248.315,327.195,454.962,247.638,446.656,294.515,295.827,414.205,332.983,51.672,393.195,90.701,43.178,151.589,453.635,0,469.378,272.869,165.962,162.418,364.527,196.788,477.896,448.464,339.367,369.388,417.33,218.271,320.329,369.759,405.101,322.19,88.514,496.711,355.938,330.447,58.632,250.001,115.54,303.878,107.479,249.64,98.328
"Plaquemines",115.588,470.784,108.498,142.055,289.551,414.467,515.988,588.403,613.615,373.864,406.815,406.467,226.393,479.481,294.611,522.049,147.209,432.259,193.552,288.048,188.523,371.843,232.183,21.381,200.745,27.871,294.826,235.023,109.295,239.694,522.023,133.649,385.924,482.088,453.906,18.149,470.593,0,204.239,382.498,503.861,213.038,490.162,12.229,61.054,158.304,113.947,63.665,308.045,240.682,188.523,87.165,151.862,427.541,109.301,114.536,257.442,508.007,271.807,572.398,150.287,460.682,196.392,444.095
"Pointe Coupee",172.633,240.181,100.005,142.345,87.243,217.895,277.972,357.8,383.012,188.665,226.894,284.118,104.044,286.3,122.205,291.446,58.717,288.089,53.955,165.699,186.606,187.936,144.042,188.363,31.388,180.057,172.477,112.674,173.093,149.83,280.457,105.446,241.754,289.592,223.303,187.036,277.412,202.779,0,151.895,273.258,181.374,259.559,211.297,166.746,89.203,128.276,145.302,122.846,118.333,186.606,165.513,110.29,240.378,230.112,114.826,146.88,269.991,86.608,341.795,62.766,293.083,23.986,206.079
"Rapides",313.528,88.967,278.853,284.629,64.37,109.473,156.677,206.586,231.798,45.028,115.13,236.696,194.708,175.09,129.423,140.232,237.647,262.634,203.616,154.757,231.426,90.628,188.862,367.211,181.049,358.905,152.298,157.494,318.316,194.65,168.02,284.294,216.099,202.668,72.089,365.884,166.202,381.627,151.619,0,122.044,226.194,108.345,390.145,345.594,238.864,307.124,324.15,79.938,181.996,231.426,344.361,259.951,190.708,320.447,293.674,192.114,157.554,111.668,190.581,212.57,250.833,173.647,93.642
"Red River",435.582,35.966,400.907,406.683,186.424,161.923,59.989,89.972,132.406,155.544,149.703,316.221,316.762,154.965,251.477,40.839,359.701,280.391,325.67,276.811,353.48,201.144,310.916,489.265,303.103,480.959,274.352,279.548,440.37,316.704,112.107,406.348,251.812,204.289,47.801,487.938,162.032,503.681,273.673,122.323,0,348.248,75.833,512.199,467.648,360.918,429.178,446.204,201.992,304.05,353.48,466.415,382.005,249.625,442.501,415.728,314.168,103.99,233.722,68.536,334.624,268.59,295.701,80.036
"Richland",107.81,314.908,152.973,111.531,189.345,258.881,360.112,432.527,457.739,217.988,313.358,250.881,70.147,373.318,306.048,366.173,157.583,460.862,211.861,132.462,25.708,216.257,40.553,196.911,212.182,188.605,139.24,70.807,112.598,48.064,362.597,204.23,410.676,400.896,298.03,195.584,364.43,196.748,182.016,226.622,347.985,0,334.286,219.845,164.938,237.899,142.198,186.055,152.169,56.094,25.708,244.554,272.306,385.285,114.729,134.553,65.812,352.131,115.931,416.522,156.256,449.061,207.829,288.219
"Sabine",421.293,39.867,386.618,392.394,172.135,89.201,124.334,150.806,176.018,111.505,168.538,243.499,302.473,189.598,237.188,67.591,345.412,315.024,311.381,223.164,339.191,126.459,296.627,474.976,288.814,466.67,214.692,265.259,426.081,302.415,159.587,392.059,286.445,238.922,45.657,473.649,196.665,489.392,259.384,108.034,75.866,333.959,0,497.91,453.359,346.629,414.889,431.915,187.703,289.761,339.191,452.126,367.716,257.068,428.212,401.439,299.879,158.885,219.433,144.403,320.335,303.223,281.412,98.871
"St. Bernard",122.431,477.627,115.341,148.898,296.394,421.31,522.831,595.246,620.458,380.707,413.658,413.31,233.236,486.324,301.454,528.892,154.052,439.102,200.395,294.891,195.366,378.686,239.026,24.929,207.588,36.315,301.669,241.866,116.138,246.537,528.866,140.492,392.767,488.931,460.749,25.459,477.436,12.249,211.082,389.341,510.704,219.881,497.005,0,67.897,165.147,120.79,70.508,314.888,247.525,195.366,107.929,158.705,434.384,116.144,121.379,264.285,514.85,278.65,579.241,157.13,467.525,203.235,450.938
"St. Charles",67.312,433.4,70.979,86.182,252.167,377.083,478.604,551.019,576.231,336.48,369.431,369.083,189.009,456.901,257.227,484.665,109.825,409.679,170.972,250.664,140.247,334.459,183.907,44.146,163.361,35.84,257.442,197.639,61.019,191.418,499.443,111.069,363.344,459.508,416.522,42.819,448.013,58.562,166.855,345.114,466.477,164.762,452.778,67.08,0,135.724,55.5,33.29,270.661,199.448,140.247,91.789,129.282,404.961,61.025,74.877,209.166,470.623,234.423,535.014,112.903,438.102,159.008,406.711
